Texas A&amp;M,2463,CSU Northridge,245
15:37,245,DJ Hogg made Free Throw.,14,6
15:22,2463,Tavrion Dawson made Jumper. Assisted by Kendall Smith.,14,8
15:11,245,Tyler Davis Turnover.,14,8
15:11,2463,Darin Johnson Steal.,14,8
15:11,245,Foul on DJ Hogg.,14,8
14:56,2463,Darin Johnson made Three Point Jumper. Assisted by Dylan Johns.,14,11
14:36,245,Admon Gilder made Three Point Jumper. Assisted by Tyler Davis.,17,11
14:19,245,Foul on JC Hampton.,17,11
14:17,2463,Aaron Parks missed Jumper.,17,11
14:16,245,Admon Gilder Block.,17,11
14:15,245,Tonny Trocha-Morelos Defensive Rebound.,17,11
13:56,2463,Foul on Dylan Johns.,17,11
13:40,245,Eric Vila missed Three Point Jumper.,17,11
13:40,245,Robert Williams Offensive Rebound.,17,11
13:34,245,Robert Williams made Layup.,19,11
13:16,2463,Tavrion Dawson made Jumper. Assisted by Jerron Wilbut.,19,13
12:52,245,Eric Vila missed Jumper.,19,13
12:52,2463,CSU Northridge Defensive Rebound.,19,13
12:34,2463,Jerron Wilbut missed Jumper.,19,13
12:34,245,Robert Williams Defensive Rebound.,19,13
12:23,245,Tavario Miller missed Layup.,19,13
12:23,2463,Darin Johnson Defensive Rebound.,19,13
12:21,2463,Kendall Smith missed Layup.,19,13
12:21,245,Robert Williams Block.,19,13
12:18,2463,Tavrion Dawson Offensive Rebound.,19,13
12:14,2463,Tavrion Dawson missed Jumper.,19,13
12:14,2463,Darin Johnson Offensive Rebound.,19,13
12:04,2463,Darin Johnson Turnover.,19,13
12:03,245,Robert Williams Steal.,19,13
11:51,245,Admon Gilder missed Jumper.,19,13
11:51,2463,Darin Johnson Defensive Rebound.,19,13
11:48,2463,Tavrion Dawson made Jumper. Assisted by Darin Johnson.,19,15
11:28,245,Robert Williams made Jumper.,21,15
11:06,2463,Tavrion Dawson Turnover.,21,15
11:05,245,Eric Vila Steal.,21,15
11:01,245,Eric Vila missed Dunk.,21,15
11:01,2463,Kendall Smith Defensive Rebound.,21,15
10:55,2463,Tavrion Dawson missed Layup.,21,15
10:55,245,Robert Williams Defensive Rebound.,21,15
10:48,245,Caleb Smith missed Three Point Jumper.,21,15
10:48,245,Admon Gilder Offensive Rebound.,21,15
10:43,245,Admon Gilder missed Layup.,21,15
10:43,2463,Darin Johnson Defensive Rebound.,21,15
10:39,245,Foul on Caleb Smith.,21,15
10:39,2463,Official TV Timeout,21,15
10:27,2463,Kendall Smith made Jumper.,21,17
9:59,245,Robert Williams missed Jumper.,21,17
9:59,245,Texas A&M Offensive Rebound.,21,17
9:53,245,Eric Vila made Jumper. Assisted by Admon Gilder.,23,17
9:43,2463,Micheal Warren Turnover.,23,17
9:28,2463,Foul on Mahamadou Kaba-Camara.,23,17
9:28,245,Tyler Davis missed Free Throw.,23,17
9:28,245,Texas A&M Deadball Team Rebound.,23,17
9:28,245,Tyler Davis made Free Throw.,24,17
9:12,2463,Tavrion Dawson made Three Point Jumper. Assisted by Kendall Smith.,24,20
8:53,245,Tavario Miller made Jumper. Assisted by Eric Vila.,26,20
8:30,245,Foul on Tavario Miller.,26,20
8:30,2463,Micheal Warren made Free Throw.,26,21
8:30,2463,Micheal Warren made Free Throw.,26,22
8:17,245,Tavario Miller Turnover.,26,22
8:15,2463,Micheal Warren Steal.,26,22
7:58,2463,Reggie Theus Jr. missed Jumper.,26,22
7:58,2463,Micheal Warren Offensive Rebound.,26,22
7:51,245,Foul on Tavario Miller.,26,22
7:51,2463,Official TV Timeout,26,22
7:51,2463,Micheal Warren made Free Throw.,26,23
7:51,2463,Micheal Warren made Free Throw.,26,24
7:31,245,JC Hampton made Three Point Jumper. Assisted by Tyler Davis.,29,24
7:14,2463,Tavrion Dawson missed Three Point Jumper.,29,24
7:14,2463,CSU Northridge Offensive Rebound.,29,24
6:42,2463,Reggie Theus Jr. missed Layup.,29,24
6:42,245,Tyler Davis Defensive Rebound.,29,24
6:30,245,Admon Gilder missed Three Point Jumper.,29,24
6:30,245,Tyler Davis Offensive Rebound.,29,24
6:26,245,Tyler Davis made Layup.,31,24
6:19,245,Foul on Admon Gilder.,31,24
6:19,2463,Aaron Parks made Free Throw.,31,25
6:19,2463,Aaron Parks made Free Throw.,31,26
6:00,245,JC Hampton missed Three Point Jumper.,31,26
6:00,245,Admon Gilder Offensive Rebound.,31,26
5:54,245,Admon Gilder made Layup.,33,26
5:27,2463,Darin Johnson missed Three Point Jumper.,33,26
5:27,245,Texas A&M Defensive Rebound.,33,26
5:25,2463,Foul on Tavrion Dawson.,33,26
5:12,245,Tyler Davis Turnover.,33,26
4:43,2463,Darin Johnson missed Jumper.,33,26
4:43,245,Tyler Davis Block.,33,26
4:38,245,Tyler Davis Defensive Rebound.,33,26
4:35,245,JC Hampton made Three Point Jumper. Assisted by Admon Gilder.,36,26
4:28,245,Foul on Eric Vila.,36,26
4:28,2463,Aaron Parks made Free Throw.,36,27
4:28,2463,Aaron Parks made Free Throw.,36,28
4:08,245,JC Hampton made Three Point Jumper. Assisted by Tyler Davis.,39,28
3:51,2463,Darin Johnson Turnover.,39,28
3:51,2463,Official TV Timeout,39,28
3:43,245,JC Hampton missed Three Point Jumper.,39,28
3:43,2463,Darin Johnson Defensive Rebound.,39,28
3:24,2463,Kendall Smith missed Three Point Jumper.,39,28
3:24,2463,Aaron Parks Offensive Rebound.,39,28
3:14,2463,Darin Johnson missed Layup.,39,28
3:14,245,JC Hampton Defensive Rebound.,39,28
2:58,245,Tyler Davis made Layup. Assisted by Tonny Trocha-Morelos.,41,28
2:39,2463,Tavrion Dawson missed Jumper.,41,28
2:39,245,Eric Vila Defensive Rebound.,41,28
2:30,245,Tonny Trocha-Morelos made Three Point Jumper. Assisted by Admon Gilder.,44,28
2:09,2463,Darin Johnson Turnover.,44,28
2:08,245,Eric Vila Steal.,44,28
2:02,245,Admon Gilder made Layup.,46,28
1:59,2463,CSU Northridge  Timeout,46,28
1:50,245,Foul on JC Hampton.,46,28
1:50,2463,Kendall Smith missed Free Throw.,46,28
1:50,245,Admon Gilder Defensive Rebound.,46,28
1:28,245,Tonny Trocha-Morelos made Jumper. Assisted by Admon Gilder.,48,28
1:08,2463,Kendall Smith missed Three Point Jumper.,48,28
1:08,245,Caleb Smith Defensive Rebound.,48,28
1:02,245,Admon Gilder made Dunk. Assisted by Caleb Smith.,50,28
0:37,2463,Kendall Smith Turnover.,50,28
0:12,245,Tonny Trocha-Morelos missed Three Point Jumper.,50,28
0:12,245,Robert Williams Offensive Rebound.,50,28
0:05,245,Robert Williams made Jumper.,52,28
0:05,2463,Foul on Mahamadou Kaba-Camara.,52,28
0:05,245,Robert Williams made Free Throw.,53,28
0:00,2463,End of 1st half,53,28
19:47,2463,Kendall Smith missed Three Point Jumper.,53,28
19:47,2463,CSU Northridge Offensive Rebound.,53,28
19:35,245,Foul on Tyler Davis.,53,28
19:35,2463,Darin Johnson made Free Throw.,53,29
19:35,2463,Darin Johnson made Free Throw.,53,30
19:23,245,Tonny Trocha-Morelos made Jumper. Assisted by DJ Hogg.,55,30
18:56,2463,Tavrion Dawson made Layup.,55,32
18:39,245,DJ Hogg made Jumper.,57,32
18:29,245,Foul on Admon Gilder.,57,32
18:29,2463,Aaron Parks made Free Throw.,57,33
18:29,2463,Aaron Parks made Free Throw.,57,34
18:16,245,DJ Hogg missed Layup.,57,34
18:16,2463,CSU Northridge Defensive Rebound.,57,34
17:57,2463,Darin Johnson missed Jumper.,57,34
17:57,245,Tyler Davis Block.,57,34
17:54,245,Admon Gilder Defensive Rebound.,57,34
17:49,2463,Foul on Tavrion Dawson.,57,34
17:49,245,Tonny Trocha-Morelos made Free Throw.,58,34
17:49,245,Tonny Trocha-Morelos made Free Throw.,59,34
17:34,2463,Aaron Parks missed Jumper.,59,34
17:34,245,Tyler Davis Defensive Rebound.,59,34
17:22,2463,Foul on Darin Johnson.,59,34
17:17,245,DJ Hogg made Layup. Assisted by Tonny Trocha-Morelos.,61,34
16:58,2463,Aaron Parks Turnover.,61,34
16:57,245,Admon Gilder Steal.,61,34
16:56,245,Admon Gilder made Layup. Assisted by DJ Hogg.,63,34
16:41,2463,Aaron Parks missed Three Point Jumper.,63,34
16:41,2463,Darin Johnson Offensive Rebound.,63,34
16:40,245,Foul on JC Hampton.,63,34
16:28,2463,Kendall Smith Turnover.,63,34
16:25,245,Admon Gilder Steal.,63,34
16:25,2463,Foul on Dylan Johns.,63,34
16:25,245,Admon Gilder made Free Throw.,64,34
16:25,245,Admon Gilder made Free Throw.,65,34
16:18,2463,Micheal Warren made Three Point Jumper. Assisted by Dylan Johns.,65,37
16:01,2463,Foul on Dylan Johns.,65,37
15:52,2463,Foul on Rakim Lubin.,65,37
15:52,2463,Official TV Timeout,65,37
15:38,2463,Foul on Reggie Theus Jr..,65,37
15:38,245,Tyler Davis missed Free Throw.,65,37
15:38,245,Texas A&M Deadball Team Rebound.,65,37
15:38,245,Tyler Davis made Free Throw.,66,37
15:25,2463,Tavrion Dawson missed Jumper.,66,37
15:25,2463,Kendall Smith Offensive Rebound.,66,37
15:20,2463,Kendall Smith Turnover.,66,37
15:19,245,DJ Hogg Steal.,66,37
15:14,245,Robert Williams missed Jumper.,66,37
15:14,2463,Micheal Warren Block.,66,37
15:14,245,Texas A&M Offensive Rebound.,66,37
15:12,245,DJ Hogg made Three Point Jumper. Assisted by Chase Carlton.,69,37
14:50,2463,Micheal Warren made Three Point Jumper. Assisted by Tavrion Dawson.,69,40
14:32,2463,Foul on Rakim Lubin.,69,40
14:32,245,Caleb Smith missed Free Throw.,69,40
14:32,2463,Micheal Warren Defensive Rebound.,69,40
14:23,2463,Kendall Smith made Three Point Jumper. Assisted by Reggie Theus Jr..,69,43
14:14,245,Tavario Miller missed Layup.,69,43
14:14,245,Tavario Miller Offensive Rebound.,69,43
14:08,245,Tavario Miller missed Layup.,69,43
14:08,2463,Dylan Johns Block.,69,43
14:07,245,Tavario Miller Offensive Rebound.,69,43
14:04,245,Tavario Miller Turnover.,69,43
14:04,2463,Kendall Smith Steal.,69,43
14:02,2463,Reggie Theus Jr. missed Three Point Jumper.,69,43
14:01,245,Robert Williams Block.,69,43
14:00,245,Caleb Smith Defensive Rebound.,69,43
13:53,245,DJ Hogg missed Three Point Jumper.,69,43
13:53,2463,Kendall Smith Defensive Rebound.,69,43
13:43,2463,Micheal Warren missed Three Point Jumper.,69,43
13:43,2463,Tavrion Dawson Offensive Rebound.,69,43
13:39,245,Foul on Tavario Miller.,69,43
13:39,2463,Tavrion Dawson missed Free Throw.,69,43
13:39,2463,CSU Northridge Deadball Team Rebound.,69,43
13:39,2463,Tavrion Dawson made Free Throw.,69,44
13:20,245,Caleb Smith Turnover.,69,44
13:19,2463,Kendall Smith Steal.,69,44
13:15,245,Chase Carlton Defensive Rebound.,69,44
13:15,2463,Kendall Smith missed Dunk.,69,44
13:08,2463,Foul on Jerron Wilbut.,69,44
13:08,245,Tavario Miller missed Free Throw.,69,44
13:08,245,Texas A&M Deadball Team Rebound.,69,44
13:08,245,Tavario Miller missed Free Throw.,69,44
13:08,245,DJ Hogg Offensive Rebound.,69,44
13:06,245,DJ Hogg made Layup.,71,44
12:46,245,Foul on Robert Williams.,71,44
12:37,2463,Jerron Wilbut missed Three Point Jumper.,71,44
12:37,2463,CSU Northridge Deadball Team Rebound.,71,44
12:36,245,Foul on Chase Carlton.,71,44
12:28,2463,Foul on Dylan Johns.,71,44
12:28,2463,Dylan Johns Turnover.,71,44
11:58,245,DJ Hogg made Jumper. Assisted by Chase Carlton.,73,44
11:44,2463,Micheal Warren missed Jumper.,73,44
11:44,2463,Rakim Lubin Offensive Rebound.,73,44
11:41,2463,Rakim Lubin made Layup.,73,46
11:22,245,Tavario Miller made Jumper. Assisted by DJ Hogg.,75,46
11:12,2463,Micheal Warren made Three Point Jumper. Assisted by Reggie Theus Jr..,75,49
10:49,245,Admon Gilder missed Three Point Jumper.,75,49
10:49,245,Tavario Miller Offensive Rebound.,75,49
10:43,245,DJ Hogg made Three Point Jumper. Assisted by Caleb Smith.,78,49
10:28,2463,Rakim Lubin made Layup. Assisted by Jerron Wilbut.,78,51
10:07,245,Admon Gilder made Layup.,80,51
9:57,2463,Rakim Lubin missed Jumper.,80,51
9:57,245,Caleb Smith Defensive Rebound.,80,51
9:41,2463,Foul on Micheal Warren.,80,51
9:41,2463,Official TV Timeout,80,51
9:41,245,DJ Hogg made Free Throw.,81,51
9:41,245,DJ Hogg missed Free Throw.,81,51
9:41,2463,Micheal Warren Defensive Rebound.,81,51
9:29,2463,Rakim Lubin missed Jumper.,81,51
9:29,245,Tavario Miller Defensive Rebound.,81,51
9:03,245,DJ Hogg missed Jumper.,81,51
9:03,2463,Jerron Wilbut Defensive Rebound.,81,51
8:55,2463,Kendall Smith missed Three Point Jumper.,81,51
8:55,245,Admon Gilder Defensive Rebound.,81,51
8:29,245,Tavario Miller missed Jumper.,81,51
8:29,245,Admon Gilder Offensive Rebound.,81,51
8:25,245,Admon Gilder Turnover.,81,51
8:24,2463,Tavrion Dawson Steal.,81,51
8:21,2463,Kendall Smith made Layup.,81,53
8:21,245,Foul on Chase Carlton.,81,53
8:21,2463,Kendall Smith missed Free Throw.,81,53
8:21,245,Eric Vila Defensive Rebound.,81,53
8:02,2463,Foul on Jerron Wilbut.,81,53
8:02,245,Tavario Miller missed Free Throw.,81,53
8:02,245,Texas A&M Deadball Team Rebound.,81,53
8:02,245,Tavario Miller made Free Throw.,82,53
7:54,2463,Official TV Timeout,82,53
7:49,245,Foul on Chase Carlton.,82,53
7:49,2463,Aaron Parks missed Free Throw.,82,53
7:49,245,Eric Vila Defensive Rebound.,82,53
7:23,245,Tavario Miller missed Jumper.,82,53
7:23,2463,Aaron Parks Defensive Rebound.,82,53
7:12,2463,Aaron Parks missed Three Point Jumper.,82,53
7:12,245,Tavario Miller Defensive Rebound.,82,53
6:51,245,Eric Vila missed Jumper.,82,53
6:51,245,Tavario Miller Offensive Rebound.,82,53
6:46,245,Tavario Miller missed Jumper.,82,53
6:46,2463,Aaron Parks Defensive Rebound.,82,53
6:37,2463,Aaron Parks made Jumper.,82,55
6:15,245,Chase Carlton missed Three Point Jumper.,82,55
6:15,245,Tavario Miller Offensive Rebound.,82,55
6:08,2463,Foul on Aaron Parks.,82,55
6:08,245,Tavario Miller made Free Throw.,83,55
6:08,245,Tavario Miller missed Free Throw.,83,55
6:08,2463,Jerron Wilbut Defensive Rebound.,83,55
6:02,2463,Jerron Wilbut made Three Point Jumper.,83,58
5:34,245,Tavario Miller made Layup. Assisted by Chase Carlton.,85,58
5:19,2463,Micheal Warren missed Three Point Jumper.,85,58
5:19,245,Robert Williams Defensive Rebound.,85,58
5:06,245,Robert Williams Turnover.,85,58
4:53,2463,Jerron Wilbut missed Jumper.,85,58
4:53,245,Chris Collins Defensive Rebound.,85,58
4:37,245,Tavario Miller Turnover.,85,58
4:28,245,Foul on Chase Carlton.,85,58
4:28,2463,Jason Richardson made Free Throw.,85,59
4:28,2463,Jason Richardson missed Free Throw.,85,59
4:28,245,Robert Williams Defensive Rebound.,85,59
4:14,245,Eric Vila Turnover.,85,59
4:14,2463,Jason Richardson Steal.,85,59
4:13,2463,Jason Richardson made Layup.,85,61
3:51,2463,Foul on Mahamadou Kaba-Camara.,85,61
3:51,2463,Official TV Timeout,85,61
3:51,245,Robert Williams made Free Throw.,86,61
3:51,245,Robert Williams made Free Throw.,87,61
3:37,2463,Micheal Warren Turnover.,87,61
3:35,245,Robert Williams Steal.,87,61
3:33,2463,Foul on Jason Richardson.,87,61
3:33,245,Eric Vila made Free Throw.,88,61
3:33,245,Eric Vila made Free Throw.,89,61
3:12,2463,Jerron Wilbut missed Layup.,89,61
3:12,245,Caleb Smith Defensive Rebound.,89,61
2:56,245,Chris Collins missed Three Point Jumper.,89,61
2:56,2463,Mahamadou Kaba-Camara Defensive Rebound.,89,61
2:47,2463,Jason Richardson missed Layup.,89,61
2:47,245,Robert Williams Block.,89,61
2:45,245,Caleb Smith Defensive Rebound.,89,61
2:41,245,Caleb Smith missed Layup.,89,61
2:41,245,Eric Vila Offensive Rebound.,89,61
2:39,245,Eric Vila made Layup.,91,61
2:17,2463,Mahamadou Kaba-Camara made Dunk. Assisted by Micheal Warren.,91,63
2:01,245,Robert Williams made Jumper. Assisted by Eric Vila.,93,63
1:47,2463,Jerron Wilbut missed Three Point Jumper.,93,63
1:47,245,Robert Williams Defensive Rebound.,93,63
1:37,245,Kobie Eubanks missed Three Point Jumper.,93,63
1:37,2463,Reggie Theus Jr. Defensive Rebound.,93,63
1:33,2463,Micheal Warren made Layup. Assisted by Reggie Theus Jr..,93,65
1:33,245,Foul on Kobie Eubanks.,93,65
1:33,2463,Micheal Warren made Free Throw.,93,66
1:22,245,Mark French Turnover.,93,66
1:20,2463,Jerron Wilbut Steal.,93,66
1:18,2463,Jerron Wilbut made Dunk.,93,68
1:09,245,Chris Collins made Jumper.,95,68
0:56,2463,Reggie Theus Jr. missed Jumper.,95,68
0:56,2463,Blair Orr Offensive Rebound.,95,68
0:51,2463,Blair Orr missed Jumper.,95,68
0:51,245,Robert Williams Block.,95,68
0:50,2463,CSU Northridge Offensive Rebound.,95,68
0:45,245,Foul on Mark French.,95,68
0:45,2463,Reggie Theus Jr. missed Free Throw.,95,68
0:45,2463,CSU Northridge Deadball Team Rebound.,95,68
0:45,2463,Reggie Theus Jr. missed Free Throw.,95,68
0:45,2463,CSU Northridge Deadball Team Rebound.,95,68
0:45,245,Foul on Chris Collins.,95,68
0:45,2463,Jerron Wilbut made Free Throw.,95,69
0:45,2463,Jerron Wilbut made Free Throw.,95,70
0:37,245,Mark French missed Layup.,95,70
0:37,2463,Micheal Warren Block.,95,70
0:35,2463,Jerron Wilbut Defensive Rebound.,95,70
0:29,2463,Micheal Warren made Three Point Jumper. Assisted by Jerron Wilbut.,95,73
0:00,2463,End of Game,95,73
