Santa Clara,12,Arizona,2541
2:21,2541,Jared Brownridge Steal.,31,32
1:54,2541,Nate Kratch missed Three Point Jumper.,31,32
1:54,12,Parker Jackson-Cartwright Defensive Rebound.,31,32
1:40,12,Dusan Ristic made Layup.,31,34
1:32,2541,Santa Clara  Timeout,31,34
1:29,12,Foul on Parker Jackson-Cartwright.,31,34
1:27,2541,Jarvis Pugh missed Layup.,31,34
1:27,12,Rawle Alkins Block.,31,34
1:25,12,Rawle Alkins Defensive Rebound.,31,34
1:19,12,Rawle Alkins Turnover.,31,34
1:18,2541,Matt Hauser Steal.,31,34
1:15,2541,Jared Brownridge missed Three Point Jumper.,31,34
1:15,12,Dusan Ristic Defensive Rebound.,31,34
0:54,12,Lauri Markkanen made Three Point Jumper. Assisted by Parker Jackson-Cartwright.,31,37
0:43,2541,Matt Hauser made Three Point Jumper.,34,37
0:22,12,Lauri Markkanen missed Three Point Jumper.,34,37
0:22,2541,Nate Kratch Defensive Rebound.,34,37
0:03,2541,Jared Brownridge missed Jumper.,34,37
0:00,2541,Matt Hubbard Offensive Rebound.,34,37
0:00,12,Official TV Timeout,34,37
0:00,12,End of 1st half,34,37
19:41,2541,Matt Hubbard missed Three Point Jumper.,34,37
19:41,12,Rawle Alkins Defensive Rebound.,34,37
19:14,12,Rawle Alkins missed Jumper.,34,37
19:14,2541,Matt Hauser Defensive Rebound.,34,37
19:02,2541,Matt Hubbard made Jumper.,36,37
18:43,12,Dusan Ristic missed Jumper.,36,37
18:43,2541,Jarvis Pugh Defensive Rebound.,36,37
18:32,2541,Matt Hauser missed Three Point Jumper.,36,37
18:30,12,Kadeem Allen Defensive Rebound.,36,37
18:28,12,Dusan Ristic made Jumper.,36,39
17:45,2541,Matt Hubbard missed Jumper.,36,39
17:40,12,Lauri Markkanen Defensive Rebound.,36,39
17:22,12,Lauri Markkanen missed Three Point Jumper.,36,39
17:20,12,Dusan Ristic Offensive Rebound.,36,39
16:59,12,Dusan Ristic made Jumper.,36,41
16:55,2541,Matt Hubbard Turnover.,36,41
16:49,12,Kadeem Allen missed Three Point Jumper.,36,41
16:46,12,Chance Comanche Offensive Rebound.,36,41
16:44,2541,Foul on Henrik Jadersten.,36,41
16:43,12,Chance Comanche missed Free Throw.,36,41
16:41,12,Arizona Deadball Team Rebound.,36,41
16:40,12,Chance Comanche made Free Throw.,36,42
16:30,12,Foul on Kadeem Allen.,36,42
16:22,2541,Jarvis Pugh missed Jumper.,36,42
16:16,12,Rawle Alkins Block.,36,42
16:15,2541,Jarvis Pugh Offensive Rebound.,36,42
16:07,12,Foul on Chance Comanche.,36,42
16:06,2541,Jarvis Pugh made Free Throw.,37,42
16:05,2541,Jarvis Pugh made Free Throw.,38,42
15:56,12,Dusan Ristic made Jumper.,38,44
15:50,2541,Nate Kratch missed Three Point Jumper.,38,44
15:49,12,Lauri Markkanen Defensive Rebound.,38,44
15:37,12,Chance Comanche made Jumper.,38,46
15:27,2541,Nate Kratch made Three Point Jumper.,41,46
15:17,12,Lauri Markkanen missed Jumper.,41,46
15:15,2541,Matt Hauser Defensive Rebound.,41,46
15:02,2541,Tony Lewis missed Three Point Jumper.,41,46
15:00,12,Lauri Markkanen Block.,41,46
14:59,12,Parker Jackson-Cartwright Defensive Rebound.,41,46
14:49,12,Kobi Simmons made Layup.,41,48
14:40,2541,Jarvis Pugh made Layup.,43,48
14:30,12,Kobi Simmons made Three Point Jumper.,43,51
14:24,2541,Jared Brownridge missed Three Point Jumper.,43,51
14:22,12,Lauri Markkanen Defensive Rebound.,43,51
14:18,12,Official TV Timeout,43,51
14:18,12,Arizona  Timeout,43,51
14:07,12,Kobi Simmons missed Jumper.,43,51
14:07,2541,Tony Lewis Defensive Rebound.,43,51
14:00,2541,Kai Healy missed Layup.,43,51
14:00,12,Arizona Defensive Rebound.,43,51
13:58,12,Official TV Timeout,43,51
13:46,2541,Foul on Tony Lewis.,43,51
13:40,12,Rawle Alkins missed Three Point Jumper.,43,51
13:40,2541,Tony Lewis Defensive Rebound.,43,51
13:23,2541,Tony Lewis missed Jumper.,43,51
13:23,12,Keanu Pinder Defensive Rebound.,43,51
13:02,2541,Foul on Tony Lewis.,43,51
13:02,12,Dusan Ristic missed Free Throw.,43,51
13:02,12,Arizona Deadball Team Rebound.,43,51
13:02,12,Dusan Ristic missed Free Throw.,43,51
13:02,2541,Kai Healy Defensive Rebound.,43,51
12:33,2541,Jared Brownridge made Layup.,45,51
12:32,12,Foul on Dusan Ristic.,45,51
12:32,2541,Jared Brownridge made Free Throw.,46,51
12:07,12,Rawle Alkins Turnover.,46,51
12:05,2541,Nate Kratch Steal.,46,51
11:48,2541,Jared Brownridge missed Three Point Jumper.,46,51
11:48,12,Chance Comanche Defensive Rebound.,46,51
11:34,2541,Foul on Nate Kratch.,46,51
11:34,12,Official TV Timeout,46,51
11:21,12,Foul on Chance Comanche.,46,51
11:21,12,Chance Comanche Turnover.,46,51
11:04,2541,Nate Kratch Turnover.,46,51
10:38,2541,Foul on Nate Kratch.,46,51
10:38,12,Kobi Simmons missed Free Throw.,46,51
10:38,12,Arizona Deadball Team Rebound.,46,51
10:38,12,Kobi Simmons missed Free Throw.,46,51
10:38,12,Arizona Deadball Team Rebound.,46,51
10:38,12,Kobi Simmons made Free Throw.,46,52
10:22,2541,Jared Brownridge missed Three Point Jumper.,46,52
10:22,12,Chance Comanche Defensive Rebound.,46,52
10:04,12,Lauri Markkanen made Three Point Jumper. Assisted by Kadeem Allen.,46,55
9:42,2541,Jarvis Pugh made Three Point Jumper. Assisted by Matt Hauser.,49,55
9:13,12,Chance Comanche made Layup.,49,57
8:49,2541,Nate Kratch made Three Point Jumper. Assisted by Matt Hauser.,52,57
8:25,12,Kobi Simmons Turnover.,52,57
8:05,2541,Jared Brownridge missed Three Point Jumper.,52,57
8:03,12,Kadeem Allen Block.,52,57
8:02,2541,Santa Clara Offensive Rebound.,52,57
7:59,2541,Jared Brownridge Turnover.,52,57
7:57,12,Official TV Timeout,52,57
7:46,12,Foul on Dusan Ristic.,52,57
7:46,12,Dusan Ristic Turnover.,52,57
7:15,2541,Jared Brownridge Turnover.,52,57
7:01,2541,Foul on Jarvis Pugh.,52,57
7:01,12,Lauri Markkanen made Free Throw.,52,58
7:01,12,Lauri Markkanen missed Free Throw.,52,58
7:01,12,Arizona Deadball Team Rebound.,52,58
7:01,12,Lauri Markkanen made Free Throw.,52,59
6:37,12,Foul on Lauri Markkanen.,52,59
6:12,2541,Henrik Jadersten made Three Point Jumper. Assisted by Matt Hauser.,55,59
5:44,12,Lauri Markkanen missed Jumper.,55,59
5:44,2541,Jared Brownridge Defensive Rebound.,55,59
5:13,2541,Jarvis Pugh Turnover.,55,59
4:52,12,Dusan Ristic missed Jumper.,55,59
4:52,2541,Matt Hauser Defensive Rebound.,55,59
4:21,2541,Jared Brownridge made Three Point Jumper. Assisted by Nate Kratch.,58,59
4:10,12,Arizona  Timeout,58,59
4:10,12,Official TV Timeout,58,59
4:05,2541,Foul on Nate Kratch.,58,59
4:05,12,Keanu Pinder made Free Throw.,58,60
4:05,12,Keanu Pinder made Free Throw.,58,61
3:41,2541,Foul on Jarvis Pugh.,58,61
3:41,2541,Jarvis Pugh Turnover.,58,61
3:27,12,Parker Jackson-Cartwright made Three Point Jumper. Assisted by Kadeem Allen.,58,64
2:58,2541,Jared Brownridge made Three Point Jumper.,61,64
2:25,12,Kobi Simmons made Jumper.,61,66
2:23,12,Arizona  Timeout,61,66
1:59,2541,Jared Brownridge missed Three Point Jumper.,61,66
1:59,12,Keanu Pinder Defensive Rebound.,61,66
1:40,12,Parker Jackson-Cartwright missed Layup.,61,66
1:40,2541,Jared Brownridge Block.,61,66
1:39,12,Arizona Offensive Rebound.,61,66
1:30,12,Kadeem Allen missed Jumper.,61,66
1:30,12,Lauri Markkanen Offensive Rebound.,61,66
1:25,12,Lauri Markkanen missed Jumper.,61,66
1:25,12,Lauri Markkanen Offensive Rebound.,61,66
1:04,12,Parker Jackson-Cartwright missed Jumper.,61,66
1:04,2541,Nate Kratch Defensive Rebound.,61,66
0:53,2541,Santa Clara  Timeout,61,66
0:41,2541,Jarvis Pugh missed Three Point Jumper.,61,66
0:41,12,Kadeem Allen Defensive Rebound.,61,66
0:33,2541,Foul on Jared Brownridge.,61,66
0:33,12,Parker Jackson-Cartwright made Free Throw.,61,67
0:33,12,Parker Jackson-Cartwright missed Free Throw.,61,67
0:33,2541,Nate Kratch Defensive Rebound.,61,67
0:21,2541,Henrik Jadersten missed Three Point Jumper.,61,67
0:21,12,Keanu Pinder Block.,61,67
0:19,2541,Henrik Jadersten Offensive Rebound.,61,67
0:16,12,Foul on Parker Jackson-Cartwright.,61,67
0:16,2541,Santa Clara  Timeout,61,67
0:16,2541,Matt Hauser missed Free Throw.,61,67
0:16,12,Lauri Markkanen Defensive Rebound.,61,67
0:14,2541,Foul on Matt Hauser.,61,67
0:14,12,Lauri Markkanen made Free Throw.,61,68
0:14,12,Lauri Markkanen made Free Throw.,61,69
0:04,2541,Jarvis Pugh missed Three Point Jumper.,61,69
0:04,12,Lauri Markkanen Defensive Rebound.,61,69
0:00,12,Official TV Timeout,61,69
0:00,12,End of Game,61,69
