Dayton,158,Nebraska,2168
7:09,2168,Ryan Mikesell missed Jumper.,20,26
7:09,158,Glynn Watson Jr. Defensive Rebound.,20,26
7:01,158,Nebraska  Turnover.,20,26
6:53,2168,John Crosby made Layup.,22,26
6:39,158,Ed Morrow missed Jumper.,22,26
6:39,2168,Kyle Davis Defensive Rebound.,22,26
6:29,158,Foul on Jeriah Horne.,22,26
6:29,2168,Kyle Davis made Free Throw.,23,26
6:29,2168,Kyle Davis made Free Throw.,24,26
6:11,158,Glynn Watson Jr. missed Jumper.,24,26
6:11,2168,Xeyrius Williams Block.,24,26
6:11,2168,Charles Cooke Defensive Rebound.,24,26
5:46,2168,Ryan Mikesell missed Three Point Jumper.,24,26
5:46,158,Anton Gill Defensive Rebound.,24,26
5:26,158,Jack McVeigh missed Three Point Jumper.,24,26
5:26,2168,Ryan Mikesell Defensive Rebound.,24,26
5:13,158,Foul on Anton Gill.,24,26
5:13,2168,Charles Cooke made Free Throw.,25,26
5:13,2168,Charles Cooke made Free Throw.,26,26
5:01,158,Anton Gill made Three Point Jumper. Assisted by Evan Taylor.,26,29
4:39,158,Foul on Anton Gill.,26,29
4:39,2168,Ryan Mikesell missed Free Throw.,26,29
4:39,158,Anton Gill Defensive Rebound.,26,29
4:20,158,Evan Taylor missed Jumper.,26,29
4:20,2168,John Crosby Defensive Rebound.,26,29
4:11,2168,Sam Miller made Three Point Jumper. Assisted by John Crosby.,29,29
3:53,158,Tai Webster made Three Point Jumper.,29,32
3:28,2168,Darrell Davis missed Three Point Jumper.,29,32
3:28,158,Tai Webster Defensive Rebound.,29,32
3:20,158,Tai Webster made Layup.,29,34
3:10,2168,Scoochie Smith missed Layup.,29,34
3:10,2168,Scoochie Smith Offensive Rebound.,29,34
3:08,2168,Scoochie Smith missed Layup.,29,34
3:08,158,Jack McVeigh Block.,29,34
3:08,2168,Scoochie Smith Offensive Rebound.,29,34
2:49,2168,Ryan Mikesell missed Jumper.,29,34
2:49,158,Tai Webster Defensive Rebound.,29,34
2:29,158,Anton Gill made Three Point Jumper. Assisted by Jack McVeigh.,29,37
2:08,2168,Scoochie Smith missed Three Point Jumper.,29,37
2:08,2168,Sam Miller Offensive Rebound.,29,37
1:53,2168,Sam Miller missed Jumper.,29,37
1:53,158,Evan Taylor Defensive Rebound.,29,37
1:30,158,Evan Taylor missed Jumper.,29,37
1:30,2168,John Crosby Defensive Rebound.,29,37
1:17,158,Foul on Tai Webster.,29,37
1:17,158,Official TV Timeout,29,37
1:17,2168,Ryan Mikesell made Free Throw.,30,37
1:17,2168,Ryan Mikesell made Free Throw.,31,37
0:58,158,Glynn Watson Jr. Turnover.,31,37
0:58,2168,Charles Cooke Steal.,31,37
0:50,2168,Kyle Davis missed Three Point Jumper.,31,37
0:50,158,Evan Taylor Defensive Rebound.,31,37
0:40,158,Jack McVeigh made Three Point Jumper. Assisted by Evan Taylor.,31,40
0:05,2168,Scoochie Smith missed Jumper.,31,40
0:05,158,Ed Morrow Defensive Rebound.,31,40
0:00,158,End of 1st half,31,40
20:00,2168,Jump Ball won by Dayton,31,40
19:43,2168,Charles Cooke Turnover.,31,40
19:43,158,Glynn Watson Jr. Steal.,31,40
19:34,158,Foul on Ed Morrow.,31,40
19:34,158,Ed Morrow Turnover.,31,40
19:20,2168,Sam Miller Turnover.,31,40
19:20,2168,Foul on Sam Miller.,31,40
19:07,158,Ed Morrow made Layup. Assisted by Glynn Watson Jr..,31,42
18:53,2168,Scoochie Smith made Three Point Jumper. Assisted by Charles Cooke.,34,42
18:48,2168,Dayton  Timeout,34,42
18:31,158,Tai Webster missed Three Point Jumper.,34,42
18:31,158,Ed Morrow Offensive Rebound.,34,42
18:27,2168,Foul on Sam Miller.,34,42
18:22,158,Tai Webster made Layup.,34,44
18:05,2168,Kyle Davis missed Jumper.,34,44
18:05,158,Michael Jacobson Block.,34,44
18:05,2168,Dayton Offensive Rebound.,34,44
17:54,2168,Charles Cooke made Jumper.,36,44
17:28,158,Jack McVeigh missed Three Point Jumper.,36,44
17:28,2168,Xeyrius Williams Defensive Rebound.,36,44
17:15,2168,Xeyrius Williams missed Jumper.,36,44
17:15,158,Nebraska Defensive Rebound.,36,44
16:49,158,Glynn Watson Jr. made Three Point Jumper. Assisted by Tai Webster.,36,47
16:11,158,Foul on Tai Webster.,36,47
16:09,2168,Charles Cooke missed Jumper.,36,47
16:09,2168,Xeyrius Williams Offensive Rebound.,36,47
16:00,2168,Scoochie Smith missed Three Point Jumper.,36,47
16:00,158,Ed Morrow Defensive Rebound.,36,47
15:50,158,Glynn Watson Jr. missed Jumper.,36,47
15:50,158,Ed Morrow Offensive Rebound.,36,47
15:43,158,Ed Morrow made Layup.,36,49
15:31,2168,Foul on Xeyrius Williams.,36,49
15:31,2168,Xeyrius Williams Turnover.,36,49
15:31,158,Official TV Timeout,36,49
15:18,158,Anton Gill Turnover.,36,49
14:57,158,Foul on Michael Jacobson.,36,49
14:57,2168,Ryan Mikesell made Free Throw.,37,49
14:57,2168,Ryan Mikesell made Free Throw.,38,49
14:43,158,Jack McVeigh missed Three Point Jumper.,38,49
14:43,2168,Darrell Davis Defensive Rebound.,38,49
14:26,158,Foul on Glynn Watson Jr..,38,49
14:25,2168,Xeyrius Williams missed Jumper.,38,49
14:25,158,Nebraska Defensive Rebound.,38,49
14:24,2168,Foul on Ryan Mikesell.,38,49
14:10,2168,Foul on John Crosby.,38,49
14:10,158,Glynn Watson Jr. made Free Throw.,38,50
14:10,158,Glynn Watson Jr. made Free Throw.,38,51
13:56,2168,Xeyrius Williams made Jumper. Assisted by John Crosby.,40,51
13:31,158,Glynn Watson Jr. made Jumper.,40,53
13:12,2168,Charles Cooke made Layup.,42,53
12:54,158,Jack McVeigh missed Three Point Jumper.,42,53
12:54,2168,Ryan Mikesell Defensive Rebound.,42,53
12:40,2168,Ryan Mikesell missed Jumper.,42,53
12:40,158,Isaiah Roby Block.,42,53
12:40,158,Jack McVeigh Defensive Rebound.,42,53
12:16,158,Evan Taylor missed Three Point Jumper.,42,53
12:16,2168,Charles Cooke Defensive Rebound.,42,53
12:05,158,Foul on Evan Taylor.,42,53
12:01,2168,Foul on John Crosby.,42,53
12:01,2168,John Crosby Turnover.,42,53
12:00,158,Jack McVeigh Turnover.,42,53
11:56,2168,Darrell Davis missed Three Point Jumper.,42,53
11:56,2168,Darrell Davis Offensive Rebound.,42,53
11:49,2168,Darrell Davis missed Jumper.,42,53
11:49,158,Isaiah Roby Block.,42,53
11:49,158,Nebraska Defensive Rebound.,42,53
11:48,158,Official TV Timeout,42,53
11:25,158,Ed Morrow missed Jumper.,42,53
11:25,2168,Dayton Defensive Rebound.,42,53
11:12,2168,Xeyrius Williams missed Three Point Jumper.,42,53
11:12,158,Evan Taylor Defensive Rebound.,42,53
10:44,2168,Foul on Trey Landers.,42,53
10:44,158,Isaiah Roby missed Free Throw.,42,53
10:44,2168,Ryan Mikesell Defensive Rebound.,42,53
10:37,2168,Darrell Davis missed Three Point Jumper.,42,53
10:37,158,Evan Taylor Defensive Rebound.,42,53
10:14,158,Ed Morrow made Jumper.,42,55
10:14,2168,Foul on Sam Miller.,42,55
10:14,158,Ed Morrow missed Free Throw.,42,55
10:14,2168,Xeyrius Williams Defensive Rebound.,42,55
10:03,2168,Xeyrius Williams made Jumper. Assisted by Ryan Mikesell.,44,55
9:48,158,Ed Morrow made Layup.,44,57
9:27,158,Foul on Isaiah Roby.,44,57
9:27,2168,Kyle Davis made Free Throw.,45,57
9:27,2168,Kyle Davis made Free Throw.,46,57
9:01,158,Tai Webster missed Three Point Jumper.,46,57
9:01,2168,Xeyrius Williams Defensive Rebound.,46,57
8:50,158,Foul on Tai Webster.,46,57
8:50,2168,Kyle Davis missed Free Throw.,46,57
8:50,2168,Dayton Deadball Team Rebound.,46,57
8:50,2168,Kyle Davis made Free Throw.,47,57
8:40,2168,Foul on Ryan Mikesell.,47,57
8:40,158,Michael Jacobson made Free Throw.,47,58
8:40,158,Michael Jacobson made Free Throw.,47,59
8:34,2168,Xeyrius Williams made Three Point Jumper. Assisted by Kyle Davis.,50,59
8:04,158,Anton Gill missed Three Point Jumper.,50,59
8:04,2168,Kyle Davis Defensive Rebound.,50,59
7:57,2168,John Crosby made Three Point Jumper. Assisted by Kyle Davis.,53,59
7:43,158,Nebraska  Timeout,53,59
7:30,158,Michael Jacobson missed Three Point Jumper.,53,59
7:30,2168,Kyle Davis Defensive Rebound.,53,59
7:18,2168,John Crosby missed Layup.,53,59
7:18,158,Nebraska Defensive Rebound.,53,59
6:55,158,Anton Gill made Jumper.,53,61
6:42,2168,Kyle Davis Turnover.,53,61
6:42,158,Glynn Watson Jr. Steal.,53,61
6:35,158,Glynn Watson Jr. missed Jumper.,53,61
6:35,158,Ed Morrow Offensive Rebound.,53,61
6:35,158,Ed Morrow made Two Point Tip Shot.,53,63
6:21,2168,Charles Cooke made Layup.,55,63
5:59,2168,Foul on Xeyrius Williams.,55,63
5:59,158,Michael Jacobson missed Free Throw.,55,63
5:59,158,Nebraska Deadball Team Rebound.,55,63
5:59,158,Michael Jacobson made Free Throw.,55,64
5:53,158,Foul on Michael Jacobson.,55,64
5:53,2168,Ryan Mikesell made Free Throw.,56,64
5:53,2168,Ryan Mikesell missed Free Throw.,56,64
5:53,2168,Xeyrius Williams Offensive Rebound.,56,64
5:49,2168,Charles Cooke made Three Point Jumper. Assisted by Scoochie Smith.,59,64
5:31,158,Glynn Watson Jr. made Three Point Jumper.,59,67
5:10,2168,Xeyrius Williams made Three Point Jumper. Assisted by Charles Cooke.,62,67
5:10,2168,Dayton  Timeout,62,67
4:44,158,Glynn Watson Jr. Turnover.,62,67
4:34,158,Foul on Glynn Watson Jr..,62,67
4:34,2168,Charles Cooke missed Free Throw.,62,67
4:34,2168,Dayton Deadball Team Rebound.,62,67
4:34,2168,Charles Cooke missed Free Throw.,62,67
4:34,2168,Ryan Mikesell Offensive Rebound.,62,67
4:29,2168,Ryan Mikesell made Layup.,64,67
4:05,2168,Foul on Ryan Mikesell.,64,67
4:05,158,Tai Webster made Free Throw.,64,68
4:05,158,Tai Webster made Free Throw.,64,69
3:56,2168,Xeyrius Williams Turnover.,64,69
3:56,158,Glynn Watson Jr. Steal.,64,69
3:30,158,Tai Webster made Layup.,64,71
3:20,158,Foul on Ed Morrow.,64,71
3:20,158,Official TV Timeout,64,71
3:20,2168,John Crosby missed Free Throw.,64,71
3:20,2168,Dayton Deadball Team Rebound.,64,71
3:20,2168,John Crosby made Free Throw.,65,71
2:58,158,Ed Morrow made Dunk. Assisted by Anton Gill.,65,73
2:44,2168,Sam Miller made Three Point Jumper. Assisted by Scoochie Smith.,68,73
2:32,2168,Foul on Scoochie Smith.,68,73
2:32,158,Glynn Watson Jr. made Free Throw.,68,74
2:32,158,Glynn Watson Jr. missed Free Throw.,68,74
2:32,158,Ed Morrow Offensive Rebound.,68,74
2:31,158,Ed Morrow Turnover.,68,74
2:15,2168,Charles Cooke missed Three Point Jumper.,68,74
2:15,158,Glynn Watson Jr. Defensive Rebound.,68,74
1:57,158,Tai Webster Turnover.,68,74
1:57,2168,Sam Miller Steal.,68,74
1:39,2168,Xeyrius Williams missed Three Point Jumper.,68,74
1:39,2168,Xeyrius Williams Offensive Rebound.,68,74
1:35,2168,Foul on Charles Cooke.,68,74
1:35,2168,Charles Cooke Turnover.,68,74
1:11,158,Ed Morrow Turnover.,68,74
1:05,2168,Scoochie Smith made Jumper.,70,74
0:44,2168,Foul on Kyle Davis.,70,74
0:44,158,Tai Webster made Free Throw.,70,75
0:44,158,Tai Webster missed Free Throw.,70,75
0:44,2168,Xeyrius Williams Defensive Rebound.,70,75
0:44,158,Foul on Michael Jacobson.,70,75
0:44,2168,Xeyrius Williams missed Free Throw.,70,75
0:44,2168,Dayton Deadball Team Rebound.,70,75
0:44,2168,Xeyrius Williams made Free Throw.,71,75
0:42,2168,Foul on Scoochie Smith.,71,75
0:42,158,Jack McVeigh made Free Throw.,71,76
0:42,158,Jack McVeigh made Free Throw.,71,77
0:36,2168,Scoochie Smith made Layup.,73,77
0:36,2168,Dayton  Timeout,73,77
0:34,158,Jack McVeigh Turnover.,73,77
0:34,2168,Charles Cooke Steal.,73,77
0:32,2168,Charles Cooke made Layup.,75,77
0:32,158,Foul on Tai Webster.,75,77
0:32,2168,Charles Cooke made Free Throw.,76,77
0:26,158,Nebraska  Timeout,76,77
0:24,158,Jack McVeigh Turnover.,76,77
0:24,2168,Xeyrius Williams Steal.,76,77
0:15,2168,Scoochie Smith made Layup.,78,77
0:09,2168,Foul on Charles Cooke.,78,77
0:09,158,Glynn Watson Jr. made Free Throw.,78,78
0:09,158,Glynn Watson Jr. made Free Throw.,78,79
0:02,2168,Scoochie Smith missed Layup.,78,79
0:02,158,Ed Morrow Defensive Rebound.,78,79
0:02,2168,Foul on Scoochie Smith.,78,79
0:02,158,Ed Morrow missed Free Throw.,78,79
0:02,158,Nebraska Deadball Team Rebound.,78,79
0:02,158,Ed Morrow made Free Throw.,78,80
0:00,158,End of Game,78,80
