Stanford,2390,Miami,24
14:56,2390,Dewan Huell made Free Throw.,4,7
14:42,24,Marcus Sheffield missed Jumper.,4,7
14:42,24,Michael Humphrey Offensive Rebound.,4,7
14:36,24,Dorian Pickens made Three Point Jumper. Assisted by Robert Cartwright.,7,7
14:15,2390,Foul on Anthony Lawrence Jr..,7,7
14:15,2390,Anthony Lawrence Jr. Turnover.,7,7
14:05,2390,Foul on Dewan Huell.,7,7
13:59,2390,Foul on Anthony Lawrence Jr..,7,7
13:55,24,Michael Humphrey missed Three Point Jumper.,7,7
13:55,2390,Bruce Brown Defensive Rebound.,7,7
13:40,2390,Bruce Brown missed Three Point Jumper.,7,7
13:40,24,Michael Humphrey Defensive Rebound.,7,7
13:11,24,Michael Humphrey made Layup. Assisted by Marcus Sheffield.,9,7
12:48,2390,Davon Reed missed Jumper.,9,7
12:48,24,Reid Travis Defensive Rebound.,9,7
12:30,24,Michael Humphrey missed Jumper.,9,7
12:30,2390,Davon Reed Defensive Rebound.,9,7
12:12,2390,Ja'Quan Newton missed Jumper.,9,7
12:12,24,Michael Humphrey Defensive Rebound.,9,7
11:55,24,Reid Travis made Layup.,11,7
11:30,2390,Bruce Brown missed Jumper.,11,7
11:30,2390,Kamari Murphy Offensive Rebound.,11,7
11:30,2390,Kamari Murphy made Two Point Tip Shot.,11,9
11:11,2390,Foul on Ja'Quan Newton.,11,9
11:11,2390,Official TV Timeout,11,9
11:06,24,Dorian Pickens made Three Point Jumper. Assisted by Robert Cartwright.,14,9
10:49,2390,Dejan Vasiljevic Turnover.,14,9
10:38,24,Grant Verhoeven missed Jumper.,14,9
10:38,2390,Dejan Vasiljevic Defensive Rebound.,14,9
10:14,2390,Kamari Murphy missed Jumper.,14,9
10:14,24,Robert Cartwright Defensive Rebound.,14,9
10:04,24,Robert Cartwright made Jumper.,16,9
9:58,2390,Miami  Timeout,16,9
9:38,2390,Davon Reed missed Three Point Jumper.,16,9
9:38,2390,Ebuka Izundu Offensive Rebound.,16,9
9:35,24,Foul on Grant Verhoeven.,16,9
9:19,2390,Ja'Quan Newton missed Jumper.,16,9
9:19,24,Reid Travis Defensive Rebound.,16,9
9:02,24,Michael Humphrey missed Jumper.,16,9
9:02,2390,Kamari Murphy Defensive Rebound.,16,9
8:49,2390,Ebuka Izundu missed Layup.,16,9
8:49,24,Michael Humphrey Defensive Rebound.,16,9
8:22,2390,Foul on Ebuka Izundu.,16,9
8:03,24,Michael Humphrey missed Jumper.,16,9
8:03,24,Reid Travis Offensive Rebound.,16,9
7:56,24,Foul on Reid Travis.,16,9
7:56,24,Reid Travis Turnover.,16,9
7:56,2390,Official TV Timeout,16,9
7:39,24,Foul on Michael Humphrey.,16,9
7:39,2390,Bruce Brown made Free Throw.,16,10
7:39,2390,Bruce Brown missed Free Throw.,16,10
7:39,24,Reid Travis Defensive Rebound.,16,10
7:23,2390,Foul on Kamari Murphy.,16,10
7:00,24,Grant Verhoeven made Three Point Jumper. Assisted by Dorian Pickens.,19,10
6:35,2390,Dejan Vasiljevic made Three Point Jumper. Assisted by Bruce Brown.,19,13
6:00,24,Dorian Pickens missed Three Point Jumper.,19,13
6:00,2390,Dewan Huell Defensive Rebound.,19,13
5:44,2390,Kamari Murphy Turnover.,19,13
5:25,24,Marcus Sheffield Turnover.,19,13
5:13,24,Foul on Marcus Sheffield.,19,13
5:13,2390,Ja'Quan Newton made Free Throw.,19,14
5:13,2390,Ja'Quan Newton made Free Throw.,19,15
5:02,24,Robert Cartwright Turnover.,19,15
5:02,2390,Ja'Quan Newton Steal.,19,15
4:59,2390,Davon Reed Turnover.,19,15
4:59,24,Marcus Sheffield Steal.,19,15
4:47,24,Reid Travis made Layup. Assisted by Marcus Sheffield.,21,15
4:29,2390,Ja'Quan Newton made Layup.,21,17
4:14,24,Grant Verhoeven made Layup. Assisted by Dorian Pickens.,23,17
3:55,2390,Ja'Quan Newton made Jumper.,23,19
3:28,24,Grant Verhoeven Turnover.,23,19
3:28,2390,Dewan Huell Steal.,23,19
3:21,2390,Ja'Quan Newton made Jumper.,23,21
2:50,24,Reid Travis missed Jumper.,23,21
2:50,2390,Dewan Huell Defensive Rebound.,23,21
2:36,24,Foul on Grant Verhoeven.,23,21
2:36,2390,Official TV Timeout,23,21
2:36,2390,Ja'Quan Newton made Free Throw.,23,22
2:36,2390,Ja'Quan Newton made Free Throw.,23,23
2:28,24,Marcus Sheffield made Jumper.,25,23
2:10,24,Foul on Marcus Sheffield.,25,23
2:10,2390,Ja'Quan Newton missed Free Throw.,25,23
2:10,2390,Miami Deadball Team Rebound.,25,23
2:10,2390,Ja'Quan Newton missed Free Throw.,25,23
2:10,24,Josh Sharma Defensive Rebound.,25,23
1:47,24,Josh Sharma missed Three Point Jumper.,25,23
1:47,24,Marcus Allen Offensive Rebound.,25,23
1:32,24,Foul on Josh Sharma.,25,23
1:32,24,Josh Sharma Turnover.,25,23
1:16,2390,Davon Reed Turnover.,25,23
1:16,2390,Foul on Davon Reed.,25,23
1:03,24,Marcus Allen missed Layup.,25,23
1:03,24,Marcus Allen Offensive Rebound.,25,23
0:54,24,Foul on Dorian Pickens.,25,23
0:54,24,Dorian Pickens Turnover.,25,23
0:38,2390,Bruce Brown missed Jumper.,25,23
0:38,24,Cameron Walker Defensive Rebound.,25,23
0:35,2390,Foul on Kamari Murphy.,25,23
0:35,24,Cameron Walker made Free Throw.,26,23
0:35,24,Cameron Walker made Free Throw.,27,23
0:09,2390,Ja'Quan Newton missed Jumper.,27,23
0:09,2390,Bruce Brown Offensive Rebound.,27,23
0:09,2390,Bruce Brown missed Two Point Tip Shot.,27,23
0:09,24,Stanford Deadball Team Rebound.,27,23
0:00,2390,End of 1st half,27,23
20:00,2390,Jump Ball won by Miami,27,23
19:43,2390,Davon Reed missed Jumper.,27,23
19:43,24,Reid Travis Defensive Rebound.,27,23
19:23,24,Marcus Allen made Jumper. Assisted by Christian Sanders.,29,23
19:04,2390,Ja'Quan Newton made Layup.,29,25
18:50,24,Michael Humphrey missed Layup.,29,25
18:50,2390,Kamari Murphy Block.,29,25
18:50,24,Stanford Offensive Rebound.,29,25
18:41,24,Dorian Pickens made Jumper.,31,25
18:41,2390,Foul on Anthony Lawrence Jr..,31,25
18:41,24,Dorian Pickens made Free Throw.,32,25
18:21,2390,Ja'Quan Newton missed Jumper.,32,25
18:21,24,Dorian Pickens Defensive Rebound.,32,25
18:12,24,Dorian Pickens missed Three Point Jumper.,32,25
18:12,24,Michael Humphrey Offensive Rebound.,32,25
17:44,2390,Foul on Ebuka Izundu.,32,25
17:44,24,Michael Humphrey missed Free Throw.,32,25
17:44,24,Stanford Deadball Team Rebound.,32,25
17:44,24,Michael Humphrey made Free Throw.,33,25
17:16,24,Foul on Christian Sanders.,33,25
16:59,2390,Anthony Lawrence Jr. made Three Point Jumper. Assisted by Kamari Murphy.,33,28
16:43,24,Christian Sanders Turnover.,33,28
16:43,2390,Anthony Lawrence Jr. Steal.,33,28
16:36,2390,Davon Reed made Layup.,33,30
16:17,2390,Foul on Dejan Vasiljevic.,33,30
16:15,24,Marcus Allen Turnover.,33,30
15:43,2390,Anthony Lawrence Jr. made Layup. Assisted by Ja'Quan Newton.,33,32
15:43,24,Foul on Reid Travis.,33,32
15:43,2390,Anthony Lawrence Jr. made Free Throw.,33,33
15:41,2390,Official TV Timeout,33,33
15:18,24,Dorian Pickens made Jumper.,35,33
15:01,2390,Davon Reed made Three Point Jumper. Assisted by Dejan Vasiljevic.,35,36
14:39,24,Robert Cartwright Turnover.,35,36
14:21,2390,Davon Reed Turnover.,35,36
14:21,24,Dorian Pickens Steal.,35,36
14:16,24,Reid Travis made Layup.,37,36
13:55,24,Foul on Robert Cartwright.,37,36
13:50,24,Foul on Marcus Sheffield.,37,36
13:49,2390,Davon Reed missed Three Point Jumper.,37,36
13:49,24,Reid Travis Defensive Rebound.,37,36
13:37,24,Josh Sharma made Dunk. Assisted by Robert Cartwright.,39,36
13:20,2390,Anthony Lawrence Jr. missed Three Point Jumper.,39,36
13:20,24,Reid Travis Defensive Rebound.,39,36
12:59,24,Marcus Allen missed Three Point Jumper.,39,36
12:59,2390,Kamari Murphy Defensive Rebound.,39,36
12:47,2390,Kamari Murphy made Dunk. Assisted by Ja'Quan Newton.,39,38
12:47,24,Foul on Josh Sharma.,39,38
12:47,2390,Kamari Murphy missed Free Throw.,39,38
12:47,24,Marcus Allen Defensive Rebound.,39,38
12:35,24,Robert Cartwright missed Layup.,39,38
12:35,2390,Ja'Quan Newton Defensive Rebound.,39,38
12:17,24,Foul on Robert Cartwright.,39,38
12:05,2390,Ja'Quan Newton missed Jumper.,39,38
12:05,2390,Bruce Brown Offensive Rebound.,39,38
12:01,2390,Bruce Brown made Layup.,39,40
11:43,2390,Foul on Ja'Quan Newton.,39,40
11:43,2390,Official TV Timeout,39,40
11:41,24,Michael Humphrey made Dunk.,41,40
11:25,2390,Dejan Vasiljevic missed Three Point Jumper.,41,40
11:25,24,Marcus Sheffield Defensive Rebound.,41,40
11:12,24,Marcus Sheffield Turnover.,41,40
11:12,2390,Anthony Lawrence Jr. Steal.,41,40
11:08,2390,Anthony Lawrence Jr. made Dunk.,41,42
10:55,24,Michael Humphrey missed Layup.,41,42
10:55,24,Grant Verhoeven Offensive Rebound.,41,42
10:46,24,Grant Verhoeven made Jumper. Assisted by Marcus Sheffield.,43,42
10:25,2390,Anthony Lawrence Jr. made Three Point Jumper.,43,45
9:51,2390,Foul on Bruce Brown.,43,45
9:46,24,Dorian Pickens made Layup.,45,45
9:21,2390,Anthony Lawrence Jr. made Three Point Jumper. Assisted by Bruce Brown.,45,48
9:06,24,Dorian Pickens missed Layup.,45,48
9:06,2390,Bruce Brown Defensive Rebound.,45,48
9:03,24,Foul on Dorian Pickens.,45,48
9:03,2390,Bruce Brown made Free Throw.,45,49
9:03,2390,Bruce Brown missed Free Throw.,45,49
9:03,24,Stanford Defensive Rebound.,45,49
8:35,2390,Foul on Dewan Huell.,45,49
8:35,24,Christian Sanders made Free Throw.,46,49
8:35,24,Christian Sanders made Free Throw.,47,49
8:13,2390,Davon Reed missed Layup.,47,49
8:13,24,Christian Sanders Defensive Rebound.,47,49
8:01,24,Dorian Pickens made Jumper.,49,49
7:49,24,Foul on Christian Sanders.,49,49
7:49,2390,Official TV Timeout,49,49
7:49,2390,Bruce Brown made Free Throw.,49,50
7:49,2390,Bruce Brown made Free Throw.,49,51
7:41,24,Dorian Pickens missed Three Point Jumper.,49,51
7:41,2390,Kamari Murphy Defensive Rebound.,49,51
7:16,2390,Anthony Lawrence Jr. missed Three Point Jumper.,49,51
7:16,24,Marcus Sheffield Defensive Rebound.,49,51
6:57,24,Michael Humphrey Turnover.,49,51
6:57,2390,Anthony Lawrence Jr. Steal.,49,51
6:54,2390,Kamari Murphy Turnover.,49,51
6:54,24,Marcus Sheffield Steal.,49,51
6:54,24,Marcus Sheffield missed Jumper.,49,51
6:54,2390,Dejan Vasiljevic Block.,49,51
6:54,2390,Anthony Lawrence Jr. Defensive Rebound.,49,51
6:37,24,Foul on Michael Humphrey.,49,51
6:37,2390,Anthony Lawrence Jr. made Free Throw.,49,52
6:37,2390,Anthony Lawrence Jr. made Free Throw.,49,53
6:16,24,Reid Travis made Layup.,51,53
5:48,2390,Foul on Kamari Murphy.,51,53
5:48,2390,Kamari Murphy Turnover.,51,53
5:36,24,Dorian Pickens Turnover.,51,53
5:21,2390,Ja'Quan Newton Turnover.,51,53
5:21,24,Robert Cartwright Steal.,51,53
5:05,24,Marcus Sheffield missed Jumper.,51,53
5:05,2390,Bruce Brown Defensive Rebound.,51,53
4:37,2390,Bruce Brown made Layup.,51,55
4:10,24,Michael Humphrey missed Three Point Jumper.,51,55
4:10,2390,Davon Reed Defensive Rebound.,51,55
4:03,24,Foul on Robert Cartwright.,51,55
4:03,2390,Ja'Quan Newton made Free Throw.,51,56
4:03,2390,Ja'Quan Newton missed Free Throw.,51,56
4:03,24,Reid Travis Defensive Rebound.,51,56
3:41,2390,Foul on Bruce Brown.,51,56
3:41,2390,Official TV Timeout,51,56
3:41,24,Marcus Sheffield made Free Throw.,52,56
3:41,24,Marcus Sheffield missed Free Throw.,52,56
3:41,2390,Bruce Brown Defensive Rebound.,52,56
3:24,2390,Ja'Quan Newton made Jumper.,52,58
2:59,24,Reid Travis missed Layup.,52,58
2:59,2390,Anthony Lawrence Jr. Defensive Rebound.,52,58
2:38,24,Foul on Marcus Allen.,52,58
2:38,2390,Ja'Quan Newton made Free Throw.,52,59
2:38,2390,Ja'Quan Newton missed Free Throw.,52,59
2:38,24,Michael Humphrey Defensive Rebound.,52,59
2:23,24,Michael Humphrey missed Jumper.,52,59
2:23,2390,Ja'Quan Newton Defensive Rebound.,52,59
2:14,2390,Bruce Brown missed Three Point Jumper.,52,59
2:14,24,Michael Humphrey Defensive Rebound.,52,59
2:01,24,Robert Cartwright Turnover.,52,59
2:01,2390,Davon Reed Steal.,52,59
1:29,2390,Bruce Brown made Layup.,52,61
1:22,24,Robert Cartwright missed Layup.,52,61
1:22,2390,Kamari Murphy Defensive Rebound.,52,61
1:17,24,Foul on Robert Cartwright.,52,61
1:17,2390,Davon Reed made Free Throw.,52,62
1:17,2390,Davon Reed made Free Throw.,52,63
1:06,24,Marcus Sheffield Turnover.,52,63
1:06,2390,Bruce Brown Steal.,52,63
1:01,2390,Ja'Quan Newton made Dunk. Assisted by Anthony Lawrence Jr..,52,65
0:51,2390,Foul on Bruce Brown.,52,65
0:51,24,Reid Travis made Free Throw.,53,65
0:51,24,Reid Travis missed Free Throw.,53,65
0:51,2390,Anthony Lawrence Jr. Defensive Rebound.,53,65
0:23,2390,Anthony Lawrence Jr. made Layup.,53,67
0:18,24,Robert Cartwright missed Three Point Jumper.,53,67
0:18,2390,Miami Defensive Rebound.,53,67
0:00,2390,End of Game,53,67
