Temple,52,Florida State,218
1:26,218,Shizz Alston Jr. missed Jumper.,87,84
1:26,52,Trent Forrest Defensive Rebound.,87,84
1:20,52,Trent Forrest made Layup.,87,86
1:06,218,Temple  Timeout,87,86
0:49,218,Shizz Alston Jr. missed Three Point Jumper.,87,86
0:49,218,Daniel Dingle Offensive Rebound.,87,86
0:19,218,Daniel Dingle missed Jumper.,87,86
0:19,52,Jonathan Isaac Defensive Rebound.,87,86
0:04,52,Florida St  Timeout,87,86
0:02,52,Jonathan Isaac missed Layup.,87,86
0:01,218,Quinton Rose Defensive Rebound.,87,86
0:01,52,Foul on Terance Mann.,87,86
0:01,218,Quinton Rose made Free Throw.,88,86
0:01,218,Quinton Rose made Free Throw.,89,86
0:01,52,Xavier Rathan-Mayes missed Three Point Jumper.,89,86
0:01,218,Temple Defensive Rebound.,89,86
0:00,52,End of Game,89,86
