South Wesleyan,Error,North Carolina Central,2428
9:29,-1,Darius Sharpe missed Layup.,11,24
9:29,-1,Jt Noellert Offensive Rebound.,11,24
9:26,-1,Jt Noellert missed Two Point Tip Shot.,11,24
9:26,2428,Pablo Rivas Defensive Rebound.,11,24
9:26,-1,Foul on Zalan Richards.,11,24
9:11,-1,Foul on Jt Noellert.,11,24
9:11,2428,Del'Vin Dickerson made Layup.,11,26
9:11,2428,Del'Vin Dickerson missed Free Throw.,11,26
9:11,-1,Zalan Richards Defensive Rebound.,11,26
8:57,-1,Jerome Wimphrie Turnover.,11,26
8:45,2428,C.J. Wiggins Turnover.,11,26
8:45,2428,Foul on C.J. Wiggins.,11,26
8:30,-1,Zalan Richards Turnover.,11,26
8:30,-1,Foul on Zalan Richards.,11,26
8:16,2428,Ron Trapps missed Three Point Jumper.,11,26
8:16,-1,Tyus Gaines Defensive Rebound.,11,26
8:02,2428,Foul on Raekwon Harney.,11,26
7:57,-1,Justice McCullough missed Layup.,11,26
7:57,2428,Pablo Rivas Block.,11,26
7:56,-1,Southern Wesleyan Offensive Rebound.,11,26
7:56,2428,Official TV Timeout,11,26
7:49,-1,Darius Sharpe Turnover.,11,26
7:38,2428,Raekwon Harney missed Jumper.,11,26
7:38,2428,Will Ransom Offensive Rebound.,11,26
7:34,2428,Patrick Cole made Three Point Jumper. Assisted by Raekwon Harney.,11,29
7:02,-1,Justice McCullough made Layup. Assisted by Tyus Gaines.,13,29
6:56,2428,Patrick Cole Turnover.,13,29
6:43,-1,Justice McCullough missed Jumper.,13,29
6:43,2428,Will Ransom Defensive Rebound.,13,29
6:33,2428,Pablo Rivas Turnover.,13,29
6:09,-1,Kevin Stamps Turnover.,13,29
6:09,-1,Foul on Kevin Stamps.,13,29
6:02,2428,Pablo Rivas made Jumper. Assisted by Dajuan Graf.,13,31
5:38,-1,Tyus Gaines Turnover.,13,31
5:19,2428,Patrick Cole missed Three Point Jumper.,13,31
5:19,2428,Pablo Rivas Offensive Rebound.,13,31
5:15,-1,Foul on Justice McCullough.,13,31
5:15,2428,Pablo Rivas made Free Throw.,13,32
5:15,2428,Pablo Rivas made Free Throw.,13,33
4:48,-1,Darius Sharpe missed Layup.,13,33
4:48,2428,Pablo Rivas Block.,13,33
4:47,-1,Southern Wesleyan Offensive Rebound.,13,33
4:46,-1,Darius Sharpe made Three Point Jumper.,16,33
4:33,2428,Rashaun Madison made Three Point Jumper. Assisted by Dajuan Graf.,16,36
4:02,-1,Jerome Wimphrie missed Three Point Jumper.,16,36
4:02,2428,Patrick Cole Defensive Rebound.,16,36
3:53,2428,Dajuan Graf Turnover.,16,36
3:50,-1,Dj Dobson Steal.,16,36
3:47,2428,Foul on Patrick Cole.,16,36
3:47,2428,Official TV Timeout,16,36
3:47,2428,Foul on Rashaun Madison.,16,36
3:47,-1,Tyus Gaines made Free Throw.,17,36
3:47,-1,Tyus Gaines made Free Throw.,18,36
3:27,2428,Pablo Rivas made Layup. Assisted by Patrick Cole.,18,38
3:10,-1,Dj Dobson missed Jumper.,18,38
3:10,2428,Pablo Rivas Defensive Rebound.,18,38
3:02,2428,Dajuan Graf missed Jumper.,18,38
3:02,-1,Jerome Wimphrie Defensive Rebound.,18,38
2:52,-1,Justice McCullough missed Jumper.,18,38
2:52,-1,Tyus Gaines Offensive Rebound.,18,38
2:47,-1,Jerome Wimphrie missed Three Point Jumper.,18,38
2:47,2428,Rashaun Madison Defensive Rebound.,18,38
2:40,-1,Foul on Dj Dobson.,18,38
2:40,2428,Dajuan Graf missed Free Throw.,18,38
2:40,2428,North Carolina Central Deadball Team Rebound.,18,38
2:40,2428,Dajuan Graf made Free Throw.,18,39
2:24,-1,De'Quan Weldon missed Three Point Jumper.,18,39
2:24,-1,Justice McCullough Offensive Rebound.,18,39
2:22,2428,Foul on Will Ransom.,18,39
2:22,-1,Justice McCullough made Free Throw.,19,39
2:22,-1,Justice McCullough made Free Throw.,20,39
2:05,2428,Patrick Cole missed Jumper.,20,39
2:05,-1,Justice McCullough Defensive Rebound.,20,39
1:53,-1,Darius Sharpe made Layup. Assisted by Darrian Brown.,22,39
1:42,2428,Dajuan Graf missed Jumper.,22,39
1:42,-1,Justice McCullough Defensive Rebound.,22,39
1:41,2428,Foul on Dajuan Graf.,22,39
1:41,-1,Justice McCullough missed Free Throw.,22,39
1:41,2428,Patrick Cole Defensive Rebound.,22,39
1:35,2428,Patrick Cole missed Layup.,22,39
1:35,-1,De'Quan Weldon Defensive Rebound.,22,39
1:21,-1,Justice McCullough made Layup. Assisted by Darrian Brown.,24,39
0:48,2428,Patrick Cole made Jumper.,24,41
0:33,-1,Darrian Brown missed Layup.,24,41
0:33,-1,Justice McCullough Offensive Rebound.,24,41
0:30,-1,Justice McCullough missed Two Point Tip Shot.,24,41
0:30,-1,De'Quan Weldon Offensive Rebound.,24,41
0:28,-1,De'Quan Weldon missed Jumper.,24,41
0:28,-1,Justice McCullough Offensive Rebound.,24,41
0:24,-1,Justice McCullough missed Jumper.,24,41
0:24,-1,Darrian Brown Offensive Rebound.,24,41
0:17,-1,Darius Sharpe missed Three Point Jumper.,24,41
0:17,2428,Patrick Cole Defensive Rebound.,24,41
0:16,-1,Foul on Dj Dobson.,24,41
0:16,2428,Patrick Cole made Free Throw.,24,42
0:16,2428,Patrick Cole made Free Throw.,24,43
0:04,2428,Foul on Ron Trapps.,24,43
0:04,-1,Darius Sharpe made Free Throw.,25,43
0:04,-1,Darius Sharpe made Free Throw.,26,43
0:04,-1,Darius Sharpe made Free Throw.,27,43
0:01,2428,Pablo Rivas made Three Point Jumper. Assisted by C.J. Wiggins.,27,46
0:00,2428,End of 1st half,27,46
19:36,-1,Tyus Gaines Turnover.,27,46
19:20,2428,Dajuan Graf missed Layup.,27,46
19:20,-1,Southern Wesleyan Defensive Rebound.,27,46
19:03,-1,Jeremy Wert missed Three Point Jumper.,27,46
19:03,2428,Will Ransom Defensive Rebound.,27,46
18:59,-1,Southern Wesleyan  Timeout,27,46
18:38,2428,Dajuan Graf missed Three Point Jumper.,27,46
18:38,2428,Del'Vin Dickerson Offensive Rebound.,27,46
18:34,2428,Del'Vin Dickerson missed Layup.,27,46
18:34,2428,Del'Vin Dickerson Offensive Rebound.,27,46
18:32,2428,Del'Vin Dickerson missed Layup.,27,46
18:32,-1,Darius Sharpe Defensive Rebound.,27,46
18:18,-1,Justice McCullough missed Jumper.,27,46
18:18,2428,Will Ransom Defensive Rebound.,27,46
18:12,2428,Rashaun Madison made Layup. Assisted by Patrick Cole.,27,48
17:54,-1,Southern Wesleyan  Timeout,27,48
17:54,2428,Official TV Timeout,27,48
17:41,-1,Tyus Gaines missed Jumper.,27,48
17:41,2428,Del'Vin Dickerson Block.,27,48
17:39,2428,Rashaun Madison Defensive Rebound.,27,48
17:33,2428,Rashaun Madison missed Three Point Jumper.,27,48
17:33,2428,Del'Vin Dickerson Offensive Rebound.,27,48
17:19,2428,Del'Vin Dickerson missed Layup.,27,48
17:19,-1,Justice McCullough Block.,27,48
17:18,-1,Justice McCullough Defensive Rebound.,27,48
16:56,-1,Darius Sharpe missed Three Point Jumper.,27,48
16:56,-1,Jeremy Wert Offensive Rebound.,27,48
16:54,-1,Jeremy Wert made Two Point Tip Shot.,29,48
16:54,2428,Foul on Del'Vin Dickerson.,29,48
16:54,-1,Jeremy Wert made Free Throw.,30,48
16:37,2428,Patrick Cole missed Three Point Jumper.,30,48
16:37,2428,Dajuan Graf Offensive Rebound.,30,48
16:21,2428,Pablo Rivas missed Jumper.,30,48
16:21,-1,Tyus Gaines Defensive Rebound.,30,48
16:08,-1,Darius Sharpe made Three Point Jumper. Assisted by Tyus Gaines.,33,48
15:50,-1,Foul on Kevin Stamps.,33,48
15:50,2428,Official TV Timeout,33,48
15:50,2428,Pablo Rivas made Free Throw.,33,49
15:50,2428,Pablo Rivas made Free Throw.,33,50
15:30,-1,Tyus Gaines Turnover.,33,50
15:29,2428,Will Ransom made Layup.,33,52
14:52,-1,Jeremy Wert missed Layup.,33,52
14:52,-1,Justice McCullough Offensive Rebound.,33,52
14:32,-1,Kevin Stamps missed Three Point Jumper.,33,52
14:32,-1,Justice McCullough Offensive Rebound.,33,52
14:14,-1,Kevin Stamps made Dunk. Assisted by Justice McCullough.,35,52
13:56,2428,Pablo Rivas missed Jumper.,35,52
13:56,2428,Will Ransom Offensive Rebound.,35,52
13:51,2428,Will Ransom made Dunk.,35,54
13:37,2428,Foul on Rashaun Madison.,35,54
13:30,-1,Jeremy Wert made Layup.,37,54
13:23,2428,Patrick Cole made Jumper.,37,56
13:23,-1,Foul on Jeremy Wert.,37,56
13:23,2428,Patrick Cole missed Free Throw.,37,56
13:23,-1,Kevin Stamps Defensive Rebound.,37,56
13:13,-1,Jeremy Wert Turnover.,37,56
13:02,2428,Pablo Rivas made Jumper.,37,58
12:46,2428,Foul on Pablo Rivas.,37,58
12:35,-1,Darius Sharpe Turnover.,37,58
12:33,2428,Pablo Rivas Steal.,37,58
12:30,2428,Pablo Rivas made Dunk. Assisted by Patrick Cole.,37,60
12:11,-1,Tyus Gaines missed Layup.,37,60
12:11,-1,Justice McCullough Offensive Rebound.,37,60
12:08,-1,Justice McCullough missed Jumper.,37,60
12:08,-1,Kevin Stamps Offensive Rebound.,37,60
12:04,2428,Foul on Pablo Rivas.,37,60
12:04,-1,Kevin Stamps missed Free Throw.,37,60
12:04,-1,Southern Wesleyan Deadball Team Rebound.,37,60
12:04,-1,Kevin Stamps made Free Throw.,38,60
11:50,2428,Rashaun Madison made Three Point Jumper. Assisted by Patrick Cole.,38,63
11:25,2428,Foul on Patrick Cole.,38,63
11:25,2428,Official TV Timeout,38,63
11:23,-1,Zalan Richards made Layup. Assisted by Tyus Gaines.,40,63
11:05,2428,Patrick Cole made Layup.,40,65
10:47,-1,Zalan Richards missed Layup.,40,65
10:47,2428,Pablo Rivas Block.,40,65
10:45,2428,Patrick Cole Defensive Rebound.,40,65
10:41,2428,Rashaun Madison made Three Point Jumper. Assisted by Patrick Cole.,40,68
10:17,-1,Jt Noellert missed Jumper.,40,68
10:17,2428,Will Ransom Defensive Rebound.,40,68
10:07,2428,Dajuan Graf missed Layup.,40,68
10:07,-1,Jt Noellert Defensive Rebound.,40,68
9:45,-1,Jerome Wimphrie missed Three Point Jumper.,40,68
9:45,2428,Will Ransom Defensive Rebound.,40,68
9:38,2428,Rashaun Madison made Three Point Jumper. Assisted by Dajuan Graf.,40,71
9:20,-1,Tyus Gaines missed Jumper.,40,71
9:20,2428,Will Ransom Defensive Rebound.,40,71
9:13,2428,Patrick Cole Turnover.,40,71
9:03,-1,Darius Sharpe missed Jumper.,40,71
9:03,2428,Pablo Rivas Defensive Rebound.,40,71
8:56,2428,Rashaun Madison missed Three Point Jumper.,40,71
8:56,-1,Darryl Gerald Defensive Rebound.,40,71
8:53,2428,Foul on Ron Trapps.,40,71
8:29,-1,Darrian Brown Turnover.,40,71
8:15,2428,Ron Trapps made Three Point Jumper. Assisted by Rashaun Madison.,40,74
8:01,-1,Darrian Brown missed Layup.,40,74
8:01,-1,Justice McCullough Offensive Rebound.,40,74
7:53,-1,Darryl Gerald missed Three Point Jumper.,40,74
7:53,2428,Ron Trapps Defensive Rebound.,40,74
7:41,2428,Michael Wolfe made Layup. Assisted by Pablo Rivas.,40,76
7:24,-1,Darrian Brown Turnover.,40,76
7:23,2428,Rashaun Madison Steal.,40,76
7:20,2428,Michael Wolfe made Dunk. Assisted by Ron Trapps.,40,78
7:07,-1,Southern Wesleyan  Timeout,40,78
7:07,2428,Official TV Timeout,40,78
6:50,2428,Foul on Michael Wolfe.,40,78
6:50,-1,Justice McCullough made Free Throw.,41,78
6:50,-1,Justice McCullough missed Free Throw.,41,78
6:50,2428,Michael Wolfe Defensive Rebound.,41,78
6:33,2428,Del'Vin Dickerson missed Jumper.,41,78
6:33,2428,Ron Trapps Offensive Rebound.,41,78
6:28,2428,Ron Trapps made Two Point Tip Shot.,41,80
6:06,2428,Foul on Del'Vin Dickerson.,41,80
6:06,-1,Kevin Stamps missed Free Throw.,41,80
6:06,-1,Southern Wesleyan Deadball Team Rebound.,41,80
6:06,-1,Kevin Stamps made Free Throw.,42,80
5:56,2428,Michael Wolfe missed Three Point Jumper.,42,80
5:56,-1,Justice McCullough Defensive Rebound.,42,80
5:48,-1,De'Quan Weldon Turnover.,42,80
5:30,-1,Foul on Darryl Gerald.,42,80
5:30,2428,C.J. Wiggins missed Free Throw.,42,80
5:30,2428,North Carolina Central Deadball Team Rebound.,42,80
5:30,2428,C.J. Wiggins made Free Throw.,42,81
5:14,-1,Darius Sharpe missed Three Point Jumper.,42,81
5:14,2428,Del'Vin Dickerson Defensive Rebound.,42,81
4:53,2428,Raekwon Harney missed Jumper.,42,81
4:53,2428,Michael Wolfe Offensive Rebound.,42,81
4:47,2428,C.J. Wiggins missed Three Point Jumper.,42,81
4:47,-1,Southern Wesleyan Defensive Rebound.,42,81
4:25,-1,Darius Sharpe made Three Point Jumper. Assisted by Dj Dobson.,45,81
4:10,2428,Ron Trapps made Three Point Jumper. Assisted by C.J. Wiggins.,45,84
3:52,-1,Tyus Gaines Turnover.,45,84
3:51,2428,Raekwon Harney Steal.,45,84
3:47,2428,Raekwon Harney missed Layup.,45,84
3:47,-1,Justice McCullough Defensive Rebound.,45,84
3:40,-1,Dj Dobson made Layup. Assisted by Darius Sharpe.,47,84
3:32,2428,North Carolina Central  Timeout,47,84
3:32,2428,Official TV Timeout,47,84
3:17,2428,C.J. Wiggins missed Layup.,47,84
3:17,-1,Kevin Stamps Defensive Rebound.,47,84
3:06,2428,Foul on John Guerra.,47,84
3:06,-1,Darius Sharpe missed Free Throw.,47,84
3:06,-1,Southern Wesleyan Deadball Team Rebound.,47,84
3:06,-1,Darius Sharpe made Free Throw.,48,84
2:50,-1,Foul on Kevin Stamps.,48,84
2:50,2428,Del'Vin Dickerson made Free Throw.,48,85
2:50,2428,Del'Vin Dickerson missed Free Throw.,48,85
2:50,-1,Justice McCullough Defensive Rebound.,48,85
2:34,-1,Kevin Stamps made Three Point Jumper. Assisted by Justice McCullough.,51,85
2:02,2428,John Guerra Turnover.,51,85
1:59,-1,Darius Sharpe Steal.,51,85
1:59,2428,Foul on Raekwon Harney.,51,85
1:59,-1,Darius Sharpe made Free Throw.,52,85
1:59,-1,Darius Sharpe made Free Throw.,53,85
1:41,2428,Michael Wolfe made Three Point Jumper. Assisted by Raekwon Harney.,53,88
1:24,2428,Foul on John Guerra.,53,88
1:24,-1,Tyus Gaines made Free Throw.,54,88
1:24,-1,Tyus Gaines made Free Throw.,55,88
1:01,2428,C.J. Wiggins missed Three Point Jumper.,55,88
1:01,2428,C.J. Wiggins Offensive Rebound.,55,88
0:48,2428,Del'Vin Dickerson made Jumper.,55,90
0:38,-1,Dj Dobson Turnover.,55,90
0:37,2428,C.J. Wiggins Steal.,55,90
0:27,2428,Michael Wolfe made Jumper. Assisted by C.J. Wiggins.,55,92
0:05,-1,Tyus Gaines missed Three Point Jumper.,55,92
0:05,-1,Justice McCullough Offensive Rebound.,55,92
0:03,-1,Justice McCullough missed Layup.,55,92
0:01,2428,Michael Wolfe Defensive Rebound.,55,92
0:00,2428,End of Game,55,92
