UT Martin,2029,Arkansas-Pine Bluff,2630
7:44,2029,Artavious McDyess Offensive Rebound.,23,22
7:34,2630,Foul on Malik London.,23,22
7:30,2029,Official TV Timeout,23,22
7:30,2029,Marcus Wallace made Free Throw.,23,23
7:30,2029,Marcus Wallace made Free Throw.,23,24
7:19,2029,Foul on Artavious McDyess.,23,24
7:19,2630,Malik London made Free Throw.,24,24
7:19,2630,Malik London made Free Throw.,25,24
7:13,2029,Artavious McDyess missed Jumper.,25,24
7:13,2630,Malik Pugh Defensive Rebound.,25,24
6:50,2630,Kedar Edwards made Layup. Assisted by Matthew Butler.,27,24
6:31,2630,Kedar Edwards Steal.,27,24
6:29,2029,Artavious McDyess Turnover.,27,24
6:27,2630,Kedar Edwards made Dunk.,29,24
6:08,2630,Foul on Malik Pugh.,29,24
6:02,2029,Ghiavonni Robinson missed Three Point Jumper.,29,24
6:02,2630,Malik London Defensive Rebound.,29,24
5:59,2029,Foul on Devin Berry.,29,24
5:47,2630,Malik London made Dunk. Assisted by Chandler Rowe.,31,24
5:23,2029,Travon Harper missed Three Point Jumper.,31,24
5:23,2630,Malik Pugh Defensive Rebound.,31,24
5:10,2630,Malik London missed Jumper.,31,24
5:10,2029,Travon Harper Block.,31,24
5:08,2029,Joe'Randle Toliver Defensive Rebound.,31,24
5:06,2029,Devin Berry Turnover.,31,24
4:43,2630,Kedar Edwards made Three Point Jumper. Assisted by Chandler Rowe.,34,24
4:28,2029,Joe'Randle Toliver made Three Point Jumper.,34,27
4:12,2029,Foul on Travon Harper.,34,27
4:12,2630,Malik London made Free Throw.,35,27
4:12,2630,Malik London missed Free Throw.,35,27
4:12,2029,Travon Harper Defensive Rebound.,35,27
3:55,2029,Marcus Wallace made Three Point Jumper. Assisted by Cedric Turner.,35,30
3:39,2630,Malik Pugh missed Three Point Jumper.,35,30
3:39,2630,Chandler Rowe Offensive Rebound.,35,30
3:31,2630,Malik London made Dunk. Assisted by Malik Pugh.,37,30
3:15,2029,Kennedy McKinney missed Jumper.,37,30
3:15,2630,Malik London Defensive Rebound.,37,30
3:04,2630,Matthew Butler missed Jumper.,37,30
3:04,2630,Kedar Edwards Offensive Rebound.,37,30
2:40,2029,Joe'Randle Toliver Steal.,37,30
2:38,2630,Malik London Turnover.,37,30
2:36,2029,Joe'Randle Toliver made Layup.,37,32
2:36,2630,Foul on Malik Pugh.,37,32
2:33,2029,Official TV Timeout,37,32
2:33,2029,Joe'Randle Toliver missed Free Throw.,37,32
2:33,2029,Ghiavonni Robinson Offensive Rebound.,37,32
2:13,2029,Marcus Wallace missed Three Point Jumper.,37,32
2:13,2029,Cedric Turner Offensive Rebound.,37,32
2:09,2029,Cedric Turner missed Jumper.,37,32
2:09,2630,Kedar Edwards Block.,37,32
2:06,2029,Ghiavonni Robinson Offensive Rebound.,37,32
2:00,2029,Joe'Randle Toliver made Three Point Jumper. Assisted by Marcus Wallace.,37,35
1:36,2029,Foul on Travon Harper.,37,35
1:36,2630,Kedar Edwards missed Free Throw.,37,35
1:36,2029,Travon Harper Defensive Rebound.,37,35
1:12,2029,Travon Harper missed Jumper.,37,35
1:12,2630,Fatodd Lewis Defensive Rebound.,37,35
1:05,2630,Malik Pugh missed Layup.,37,35
1:05,2630,Malik London Offensive Rebound.,37,35
1:01,2630,Malik London missed Two Point Tip Shot.,37,35
1:01,2029,Joe'Randle Toliver Defensive Rebound.,37,35
0:53,2029,Ghiavonni Robinson missed Jumper.,37,35
0:53,2029,Travon Harper Offensive Rebound.,37,35
0:48,2630,Foul on Malik Pugh.,37,35
0:48,2029,Travon Harper missed Free Throw.,37,35
0:48,2029,Arkansas-Pine Bluff Deadball Team Rebound.,37,35
0:48,2029,Travon Harper made Free Throw.,37,36
0:34,2630,Jalen Jackson Turnover.,37,36
0:04,2630,Foul on Fatodd Lewis.,37,36
0:04,2029,Ghiavonni Robinson made Free Throw.,37,37
0:04,2029,Ghiavonni Robinson made Free Throw.,37,38
0:00,2630,Kedar Edwards missed Three Point Jumper.,37,38
0:00,2029,Arkansas-Pine Bluff Defensive Rebound.,37,38
0:00,2029,End of 1st half,37,38
19:39,2029,Devin Berry missed Layup.,37,38
19:39,2029,Ghiavonni Robinson Offensive Rebound.,37,38
19:28,2029,Ghiavonni Robinson Turnover.,37,38
19:26,2630,Kedar Edwards Steal.,37,38
19:19,2630,Chandler Rowe made Layup. Assisted by Kedar Edwards.,39,38
19:02,2630,Foul on Chandler Rowe.,39,38
18:55,2029,Trent Steen missed Jumper.,39,38
18:55,2029,Travon Harper Offensive Rebound.,39,38
18:51,2029,Travon Harper missed Jumper.,39,38
18:51,2630,Matthew Butler Block.,39,38
18:51,2029,Arkansas-Pine Bluff Offensive Rebound.,39,38
18:45,2029,Joe'Randle Toliver missed Three Point Jumper.,39,38
18:45,2630,Fatodd Lewis Defensive Rebound.,39,38
18:36,2630,Matthew Butler missed Jumper.,39,38
18:36,2029,Trent Steen Defensive Rebound.,39,38
18:04,2029,Ghiavonni Robinson missed Three Point Jumper.,39,38
18:04,2029,Trent Steen Offensive Rebound.,39,38
17:58,2029,Travon Harper made Three Point Jumper. Assisted by Ghiavonni Robinson.,39,41
17:35,2630,Matthew Butler missed Three Point Jumper.,39,41
17:35,2630,Kedar Edwards Offensive Rebound.,39,41
17:24,2630,Fatodd Lewis made Jumper. Assisted by Matthew Butler.,41,41
16:59,2029,Devin Berry made Jumper. Assisted by Travon Harper.,41,43
16:47,2630,Kedar Edwards missed Three Point Jumper.,41,43
16:47,2630,Chandler Rowe Offensive Rebound.,41,43
16:27,2630,Dante Bailey made Jumper.,43,43
16:27,2029,Foul on Devin Berry.,43,43
16:27,2630,Dante Bailey made Free Throw.,44,43
16:15,2029,Kennedy McKinney Turnover.,44,43
16:02,2630,Dante Bailey missed Three Point Jumper.,44,43
16:02,2029,Kennedy McKinney Defensive Rebound.,44,43
15:52,2029,Trent Steen missed Jumper.,44,43
15:52,2630,Fatodd Lewis Defensive Rebound.,44,43
15:35,2630,Fatodd Lewis missed Jumper.,44,43
15:35,2029,Trent Steen Defensive Rebound.,44,43
15:19,2029,Official TV Timeout,44,43
15:17,2029,Foul on Trent Steen.,44,43
15:17,2029,Trent Steen Turnover.,44,43
14:57,2630,Kedar Edwards Turnover.,44,43
14:38,2630,Chandler Rowe Steal.,44,43
14:36,2029,Ghiavonni Robinson Turnover.,44,43
14:31,2630,Fatodd Lewis missed Three Point Jumper.,44,43
14:31,2029,Travon Harper Defensive Rebound.,44,43
14:15,2630,Chandler Rowe Steal.,44,43
14:13,2029,Jaquan Lynch Turnover.,44,43
14:13,2029,Foul on Travon Harper.,44,43
13:59,2630,Chandler Rowe made Layup.,46,43
13:36,2029,Jaquan Lynch made Three Point Jumper. Assisted by Kennedy McKinney.,46,46
13:20,2029,Foul on David Tillman.,46,46
13:20,2630,Chandler Rowe missed Free Throw.,46,46
13:20,2630,UT Martin Deadball Team Rebound.,46,46
13:20,2630,Chandler Rowe missed Free Throw.,46,46
13:20,2630,Kedar Edwards Offensive Rebound.,46,46
13:17,2630,Kedar Edwards missed Layup.,46,46
13:17,2029,Marquis Cunningham Block.,46,46
13:15,2630,Chandler Rowe Offensive Rebound.,46,46
13:10,2630,Matthew Butler missed Three Point Jumper.,46,46
13:10,2630,Kedar Edwards Offensive Rebound.,46,46
13:05,2630,Kedar Edwards made Two Point Tip Shot.,48,46
13:05,2029,Foul on Kennedy McKinney.,48,46
13:05,2630,Kedar Edwards missed Free Throw.,48,46
13:05,2630,Kedar Edwards Offensive Rebound.,48,46
13:05,2630,Kedar Edwards made Two Point Tip Shot.,50,46
12:56,2630,Foul on Jalen Jackson.,50,46
12:41,2029,Foul on Travon Harper.,50,46
12:41,2029,Travon Harper Turnover.,50,46
12:31,2630,Matthew Butler Turnover.,50,46
12:28,2029,Kennedy McKinney Steal.,50,46
12:25,2029,Jaquan Lynch missed Layup.,50,46
12:25,2029,Kennedy McKinney Offensive Rebound.,50,46
12:16,2029,Marquis Cunningham missed Jumper.,50,46
12:16,2630,Matthew Butler Defensive Rebound.,50,46
12:05,2630,Fatodd Lewis missed Three Point Jumper.,50,46
12:05,2029,Jaquan Lynch Defensive Rebound.,50,46
11:57,2029,Kennedy McKinney missed Layup.,50,46
11:57,2029,Kennedy McKinney Offensive Rebound.,50,46
11:54,2029,Official TV Timeout,50,46
11:54,2630,Foul on Kedar Edwards.,50,46
11:54,2029,Joe'Randle Toliver missed Three Point Jumper.,50,46
11:54,2029,Kennedy McKinney Offensive Rebound.,50,46
11:32,2630,Foul on Chandler Rowe.,50,46
11:26,2029,Kennedy McKinney missed Layup.,50,46
11:26,2630,Fatodd Lewis Defensive Rebound.,50,46
11:04,2630,Jalen Jackson made Three Point Jumper. Assisted by Kedar Edwards.,53,46
10:33,2029,Joe'Randle Toliver missed Three Point Jumper.,53,46
10:33,2630,Matthew Butler Defensive Rebound.,53,46
10:17,2630,Kedar Edwards made Layup. Assisted by Chandler Rowe.,55,46
10:08,2029,Arkansas-Pine Bluff  Timeout,55,46
10:08,2029,Official TV Timeout,55,46
10:00,2029,Kennedy McKinney made Layup.,55,48
9:39,2029,Foul on Marquis Cunningham.,55,48
9:39,2630,Fatodd Lewis made Free Throw.,56,48
9:39,2630,Fatodd Lewis made Free Throw.,57,48
9:30,2029,Marcus Wallace Turnover.,57,48
9:28,2630,Kedar Edwards Steal.,57,48
9:25,2630,Kedar Edwards made Dunk.,59,48
9:00,2029,Marcus Wallace missed Layup.,59,48
9:00,2630,Fatodd Lewis Block.,59,48
9:00,2029,Arkansas-Pine Bluff Offensive Rebound.,59,48
8:55,2029,Ghiavonni Robinson made Three Point Jumper.,59,51
8:52,2630,Foul on Jalen Jackson.,59,51
8:52,2029,Ghiavonni Robinson missed Free Throw.,59,51
8:52,2029,Ghiavonni Robinson Offensive Rebound.,59,51
8:41,2029,Ghiavonni Robinson made Three Point Jumper. Assisted by Joe'Randle Toliver.,59,54
8:21,2029,Marquis Cunningham Steal.,59,54
8:19,2630,Chandler Rowe Turnover.,59,54
8:03,2029,Jaquan Lynch missed Three Point Jumper.,59,54
8:03,2630,UT Martin Defensive Rebound.,59,54
7:57,2029,Foul on Cedric Turner.,59,54
7:57,2029,Official TV Timeout,59,54
7:57,2630,Matthew Butler missed Free Throw.,59,54
7:57,2029,Ghiavonni Robinson Defensive Rebound.,59,54
7:45,2029,Ghiavonni Robinson missed Three Point Jumper.,59,54
7:45,2630,UT Martin Defensive Rebound.,59,54
7:25,2029,Foul on Cedric Turner.,59,54
7:25,2630,Kedar Edwards missed Free Throw.,59,54
7:25,2630,UT Martin Deadball Team Rebound.,59,54
7:25,2630,Kedar Edwards made Free Throw.,60,54
7:12,2630,Chandler Rowe Steal.,60,54
7:11,2029,Cedric Turner Turnover.,60,54
7:08,2630,Kedar Edwards made Dunk. Assisted by Malik Pugh.,62,54
6:49,2630,Foul on Fatodd Lewis.,62,54
6:47,2029,Cedric Turner missed Free Throw.,62,54
6:47,2029,Arkansas-Pine Bluff Deadball Team Rebound.,62,54
6:47,2029,Cedric Turner missed Free Throw.,62,54
6:47,2630,Kedar Edwards Defensive Rebound.,62,54
6:26,2630,Kedar Edwards Turnover.,62,54
6:11,2630,Kedar Edwards Steal.,62,54
6:10,2029,Marquis Cunningham Turnover.,62,54
5:38,2029,Cedric Turner missed Jumper.,62,54
5:38,2630,Chandler Rowe Defensive Rebound.,62,54
5:18,2630,Matthew Butler missed Three Point Jumper.,62,54
5:18,2029,Kennedy McKinney Defensive Rebound.,62,54
5:06,2029,Kennedy McKinney missed Three Point Jumper.,62,54
5:06,2630,Fatodd Lewis Defensive Rebound.,62,54
4:57,2029,Foul on Cedric Turner.,62,54
4:57,2630,Fatodd Lewis missed Free Throw.,62,54
4:57,2630,UT Martin Deadball Team Rebound.,62,54
4:57,2630,Fatodd Lewis missed Free Throw.,62,54
4:57,2029,Kennedy McKinney Defensive Rebound.,62,54
4:39,2029,Trent Steen made Jumper. Assisted by Kennedy McKinney.,62,56
4:09,2630,Chandler Rowe made Layup.,64,56
4:07,2630,UT Martin  Timeout,64,56
4:07,2029,Official TV Timeout,64,56
3:46,2029,Marcus Wallace missed Jumper.,64,56
3:46,2029,Joe'Randle Toliver Offensive Rebound.,64,56
3:46,2029,Joe'Randle Toliver made Layup.,64,58
3:11,2630,Chandler Rowe Turnover.,64,58
3:08,2029,Kennedy McKinney Steal.,64,58
3:06,2029,Foul on Kennedy McKinney.,64,58
3:06,2029,Kennedy McKinney Turnover.,64,58
3:02,2029,Joe'Randle Toliver made Three Point Jumper. Assisted by Kennedy McKinney.,64,61
2:43,2630,Malik London Turnover.,64,61
2:28,2630,Foul on Chandler Rowe.,64,61
2:28,2029,Travon Harper made Free Throw.,64,62
2:28,2029,Travon Harper made Free Throw.,64,63
1:59,2630,Fatodd Lewis made Layup. Assisted by Malik Pugh.,66,63
1:32,2029,Kennedy McKinney made Jumper.,66,65
1:20,2630,Malik Pugh Turnover.,66,65
1:20,2630,UT Martin  Timeout,66,65
1:11,2029,Trent Steen Turnover.,66,65
1:09,2630,Kedar Edwards Steal.,66,65
1:09,2029,Foul on Trent Steen.,66,65
1:09,2630,Kedar Edwards made Free Throw.,67,65
1:09,2630,Kedar Edwards made Free Throw.,68,65
0:55,2029,Arkansas-Pine Bluff  Timeout,68,65
0:37,2630,Kedar Edwards Steal.,68,65
0:35,2029,Marcus Wallace Turnover.,68,65
0:23,2029,Foul on Marcus Wallace.,68,65
0:23,2630,Jalen Jackson missed Free Throw.,68,65
0:23,2630,UT Martin Deadball Team Rebound.,68,65
0:23,2630,Jalen Jackson missed Free Throw.,68,65
0:23,2630,Kedar Edwards Offensive Rebound.,68,65
0:22,2029,Foul on Kennedy McKinney.,68,65
0:22,2630,Kedar Edwards made Free Throw.,69,65
0:22,2630,Kedar Edwards made Free Throw.,70,65
0:17,2029,Ghiavonni Robinson made Layup.,70,67
0:17,2630,Foul on Fatodd Lewis.,70,67
0:17,2029,Ghiavonni Robinson made Free Throw.,70,68
0:17,2630,UT Martin  Timeout,70,68
0:12,2029,Foul on Joe'Randle Toliver.,70,68
0:12,2630,Jalen Jackson made Free Throw.,71,68
0:12,2630,Jalen Jackson made Free Throw.,72,68
0:09,2029,Foul on Ghiavonni Robinson.,72,68
0:09,2029,Ghiavonni Robinson Turnover.,72,68
0:03,2029,Foul on Joe'Randle Toliver.,72,68
0:03,2630,Matthew Butler missed Free Throw.,72,68
0:03,2630,UT Martin Deadball Team Rebound.,72,68
0:03,2630,Matthew Butler made Free Throw.,73,68
0:00,2029,End of Game,73,68
