Tennessee Tech,288,Lipscomb,2635
12:39,2635,Tennessee Tech  Timeout,12,25
12:32,288,Foul on Michael Buckland.,12,25
12:30,288,Foul on Michael Buckland.,12,25
12:11,2635,Kajon Mack missed Free Throw.,12,25
12:11,2635,Tennessee Tech Deadball Team Rebound.,12,25
12:11,2635,Kajon Mack made Free Throw.,13,25
11:59,288,Josh Williams Offensive Rebound.,13,25
11:57,288,Josh Williams missed Layup.,13,25
11:46,2635,Kajon Mack missed Three Point Jumper.,13,25
11:46,288,Eli Pepper Defensive Rebound.,13,25
11:33,288,Josh Williams made Three Point Jumper. Assisted by Eli Pepper.,13,28
11:11,288,Foul on Rob Marberry.,13,28
11:11,288,Official TV Timeout,13,28
11:11,2635,Hakeem Rogers made Free Throw.,14,28
11:11,2635,Hakeem Rogers made Free Throw.,15,28
10:54,288,Nathan Moran made Three Point Jumper. Assisted by Cam Miller.,15,31
10:27,2635,Micaiah Henry made Jumper. Assisted by Stephaun Adams.,17,31
10:17,288,Cam Miller made Layup.,17,33
10:17,2635,Foul on Stephaun Adams.,17,33
10:17,288,Cam Miller missed Free Throw.,17,33
10:04,288,Rob Marberry Defensive Rebound.,17,33
10:02,2635,Foul on Micaiah Henry.,17,33
10:02,288,Rob Marberry missed Free Throw.,17,33
10:02,2635,Courtney Alexander II Defensive Rebound.,17,33
9:14,288,Michael Buckland missed Jumper.,17,33
9:14,288,Eli Pepper Offensive Rebound.,17,33
9:12,2635,Foul on Kajon Mack.,17,33
8:45,288,Eli Pepper Turnover.,17,33
8:44,2635,Courtney Alexander II Steal.,17,33
8:41,2635,Hakeem Rogers missed Three Point Jumper.,17,33
8:41,288,Eli Pepper Defensive Rebound.,17,33
8:22,2635,Foul on Courtney Alexander II.,17,33
8:22,288,Lipscomb Deadball Team Rebound.,17,33
8:22,288,Eli Pepper made Free Throw.,17,34
7:59,288,Foul on Josh Williams.,17,34
7:59,2635,Micaiah Henry missed Free Throw.,17,34
7:46,288,Josh Williams missed Layup.,17,34
7:27,2635,Markell Henderson missed Layup.,17,34
7:27,288,Eli Pepper Defensive Rebound.,17,34
7:26,288,Eli Pepper made Free Throw.,17,35
7:26,288,Eli Pepper missed Free Throw.,17,35
7:26,2635,Mason Ramsey Defensive Rebound.,17,35
7:07,2635,Savonte Frazier missed Three Point Jumper.,17,35
7:07,288,Josh Williams Defensive Rebound.,17,35
6:56,288,Eli Pepper made Dunk. Assisted by Nathan Moran.,17,37
6:46,288,Foul on Cam Miller.,17,37
6:46,2635,Aleksa Jugovic made Free Throw.,18,37
6:46,2635,Aleksa Jugovic missed Free Throw.,18,37
6:46,288,Eli Pepper Defensive Rebound.,18,37
6:36,288,Rob Marberry made Layup. Assisted by Nathan Moran.,18,39
6:08,2635,JaCardo Hawkins missed Layup.,18,39
6:08,288,Eli Pepper Block.,18,39
6:07,288,Josh Williams Defensive Rebound.,18,39
6:05,288,Josh Williams made Free Throw.,18,41
5:52,2635,Kajon Mack made Jumper.,20,41
5:27,288,Aaron Korn made Three Point Jumper.,20,44
5:09,2635,Courtney Alexander II Turnover.,20,44
4:26,2635,Kajon Mack missed Layup.,20,46
4:26,288,Michael Buckland Defensive Rebound.,20,46
4:05,288,Josh Williams missed Three Point Jumper.,20,46
4:05,2635,Aleksa Jugovic Defensive Rebound.,20,46
3:25,2635,Foul on Mason Ramsey.,20,48
3:25,288,George Brammeier made Free Throw.,20,49
2:59,2635,Hakeem Rogers missed Layup.,20,49
2:59,2635,Micaiah Henry Offensive Rebound.,20,49
2:52,288,Foul on Rob Marberry.,20,49
2:52,2635,Micaiah Henry made Free Throw.,21,49
2:52,2635,Micaiah Henry made Free Throw.,22,49
2:35,2635,Foul on Courtney Alexander II.,22,49
2:35,288,Lipscomb Deadball Team Rebound.,22,49
2:35,288,Josh Williams made Free Throw.,22,50
2:17,2635,Kajon Mack Turnover.,22,50
1:58,2635,Foul on Micaiah Henry.,22,50
1:58,288,George Brammeier made Free Throw.,22,51
1:58,288,George Brammeier missed Free Throw.,22,51
1:58,2635,Colton Blevins Defensive Rebound.,22,51
1:58,2635,Colton Blevins made Free Throw.,23,51
1:58,2635,Colton Blevins made Free Throw.,24,51
1:45,288,Nathan Moran Turnover.,24,51
1:29,288,Nathan Moran Turnover.,24,51
1:27,2635,Hakeem Rogers Steal.,24,51
1:25,2635,Hakeem Rogers made Layup.,26,51
1:25,288,Foul on Aaron Korn.,26,51
1:25,2635,Hakeem Rogers missed Free Throw.,26,51
1:25,2635,Hakeem Rogers Offensive Rebound.,26,51
1:16,2635,Savonte Frazier missed Layup.,26,51
1:16,288,George Brammeier Block.,26,51
1:15,288,Eli Pepper Defensive Rebound.,26,51
1:10,288,Aaron Korn made Three Point Jumper. Assisted by Kenny Cooper.,26,54
0:55,2635,Hakeem Rogers made Layup.,28,54
0:27,288,George Brammeier Turnover.,28,54
0:15,2635,Aleksa Jugovic made Jumper.,30,54
0:00,288,End of 1st half,30,54
19:53,2635,Foul on Mason Ramsey.,30,54
19:44,288,Josh Williams missed Three Point Jumper.,30,54
19:44,288,Eli Pepper Offensive Rebound.,30,54
19:42,2635,Foul on Aleksa Jugovic.,30,54
19:32,288,Nathan Moran missed Three Point Jumper.,30,54
19:32,288,Lipscomb Deadball Team Rebound.,30,54
19:30,2635,Foul on Courtney Alexander II.,30,54
19:24,288,Nathan Moran made Three Point Jumper. Assisted by Garrison Mathews.,30,57
19:03,2635,Kajon Mack missed Jumper.,30,57
19:03,288,Rob Marberry Defensive Rebound.,30,57
18:53,288,Josh Williams missed Three Point Jumper.,30,57
18:51,2635,Foul on Kajon Mack.,30,57
18:51,2635,Foul on Colton Blevins.,30,57
18:49,288,Garrison Mathews missed Three Point Jumper.,30,57
18:47,288,Foul on Josh Williams.,30,57
18:38,2635,Colton Blevins made Jumper. Assisted by Markell Henderson.,32,57
18:38,288,Foul on Rob Marberry.,32,57
18:33,288,Nathan Moran Turnover.,33,57
18:32,2635,Aleksa Jugovic Steal.,33,57
18:31,288,Foul on Nathan Moran.,33,57
18:26,2635,Foul on JaCardo Hawkins.,33,57
18:26,288,Garrison Mathews made Free Throw.,33,58
18:26,288,Garrison Mathews missed Free Throw.,33,59
18:26,2635,Foul on JaCardo Hawkins.,33,57
18:26,288,Garrison Mathews Turnover.,33,57
18:26,2635,Technical Foul on JaCardo Hawkins.,33,57
18:26,288,Lipscomb Deadball Team Rebound.,33,59
18:18,288,Nathan Moran Turnover.,33,60
18:18,2635,Courtney Alexander II Turnover.,33,60
18:14,288,Kenny Cooper made Layup.,33,62
17:52,288,Foul on Kenny Cooper.,33,62
17:40,2635,Colton Blevins Turnover.,33,62
17:32,288,Nathan Moran made Free Throw.,33,64
17:32,288,Nathan Moran made Free Throw.,33,63
17:22,2635,Markell Henderson missed Jumper.,33,64
17:22,288,Rob Marberry Defensive Rebound.,33,64
17:15,288,Josh Williams made Free Throw.,33,65
17:15,288,Josh Williams made Free Throw.,33,66
17:06,2635,Kajon Mack missed Jumper.,33,66
17:06,2635,Colton Blevins Offensive Rebound.,33,66
17:00,2635,Colton Blevins made Jumper.,35,66
16:52,288,Garrison Mathews missed Three Point Jumper.,35,66
16:20,2635,Foul on Markell Henderson.,38,66
16:20,288,Garrison Mathews made Free Throw.,38,67
16:20,288,Garrison Mathews missed Free Throw.,38,67
16:20,2635,Tennessee Tech Deadball Team Rebound.,38,67
16:06,2635,Colton Blevins made Layup. Assisted by Hakeem Rogers.,40,67
16:06,2635,Colton Blevins missed Free Throw.,40,67
16:06,2635,Courtney Alexander II Offensive Rebound.,40,67
16:06,2635,Aleksa Jugovic missed Three Point Jumper.,40,67
16:06,288,Nathan Moran Defensive Rebound.,40,67
16:01,288,Aaron Korn made Three Point Jumper. Assisted by Garrison Mathews.,40,70
15:37,2635,Courtney Alexander II missed Layup.,40,70
15:37,2635,Tennessee Tech Offensive Rebound.,40,70
15:36,288,Official TV Timeout,40,70
15:33,288,Foul on Aaron Korn.,40,70
15:30,2635,Courtney Alexander II missed Layup.,40,70
15:30,288,George Brammeier Defensive Rebound.,40,70
15:22,288,Nathan Moran Turnover.,40,70
15:13,2635,Aleksa Jugovic made Free Throw.,41,70
15:13,2635,Aleksa Jugovic made Free Throw.,42,70
15:10,288,Nathan Moran Turnover.,42,70
15:09,2635,Courtney Alexander II Steal.,42,70
15:08,2635,Courtney Alexander II made Dunk.,44,70
15:08,288,Lipscomb  Timeout,44,70
14:59,2635,Foul on Micaiah Henry.,44,70
14:59,288,George Brammeier made Free Throw.,44,71
14:59,288,George Brammeier missed Free Throw.,44,71
14:59,2635,Courtney Alexander II Defensive Rebound.,44,71
14:49,2635,Hakeem Rogers missed Three Point Jumper.,44,71
14:49,288,George Brammeier Defensive Rebound.,44,71
14:34,2635,Foul on Savonte Frazier.,44,71
14:34,288,Kenny Cooper missed Free Throw.,44,71
14:34,288,Lipscomb Deadball Team Rebound.,44,71
14:34,288,Kenny Cooper missed Free Throw.,44,71
14:34,2635,Courtney Alexander II Defensive Rebound.,44,71
14:27,2635,Hakeem Rogers made Layup.,46,71
14:00,288,Kenny Cooper missed Layup.,46,71
14:00,288,Aaron Korn Offensive Rebound.,46,71
13:56,288,Aaron Korn Turnover.,46,71
13:54,2635,Savonte Frazier Steal.,46,71
13:52,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Savonte Frazier.,49,71
13:51,2635,Tennessee Tech  Timeout,49,71
13:29,288,Garrison Mathews made Three Point Jumper. Assisted by Kenny Cooper.,49,74
13:07,2635,Courtney Alexander II missed Layup.,49,74
13:01,2635,Hakeem Rogers missed Three Point Jumper.,49,74
12:42,288,Kenny Cooper missed Three Point Jumper.,49,74
12:42,288,Josh Williams Offensive Rebound.,49,74
12:37,288,Josh Williams missed Layup.,49,74
12:37,288,Kenny Cooper Offensive Rebound.,49,74
12:32,288,Foul on Kenny Cooper.,49,74
12:32,288,Kenny Cooper Turnover.,49,74
12:07,2635,Foul on Stephaun Adams.,49,74
12:07,2635,Stephaun Adams Turnover.,49,74
11:52,288,Rob Marberry made Layup. Assisted by Garrison Mathews.,49,76
11:36,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Micaiah Henry.,52,76
11:16,288,Michael Buckland missed Three Point Jumper.,52,76
11:16,2635,Aleksa Jugovic Defensive Rebound.,52,76
11:04,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Hakeem Rogers.,55,76
11:01,2635,Tennessee Tech  Timeout,55,76
11:01,288,Official TV Timeout,55,76
10:58,288,Eli Pepper Turnover.,55,76
10:50,2635,Foul on Aleksa Jugovic.,55,76
10:50,2635,Aleksa Jugovic Turnover.,55,76
10:39,2635,Foul on Micaiah Henry.,55,76
10:39,288,Rob Marberry made Free Throw.,55,77
10:39,288,Rob Marberry made Free Throw.,55,78
10:31,288,Foul on Eli Pepper.,55,78
10:31,2635,Stephaun Adams missed Free Throw.,55,78
10:31,2635,Tennessee Tech Deadball Team Rebound.,55,78
10:31,2635,Stephaun Adams made Free Throw.,56,78
10:19,2635,Foul on Stephaun Adams.,56,78
10:19,288,Michael Buckland made Free Throw.,56,79
10:19,288,Michael Buckland missed Free Throw.,56,79
10:19,2635,Stephaun Adams Defensive Rebound.,56,79
10:11,2635,Stephaun Adams missed Jumper.,56,79
10:11,288,Rob Marberry Defensive Rebound.,56,79
9:46,288,Josh Williams missed Three Point Jumper.,56,79
9:46,2635,Savonte Frazier Defensive Rebound.,56,79
9:39,2635,Hakeem Rogers made Three Point Jumper. Assisted by Savonte Frazier.,59,79
9:12,288,Cam Miller Turnover.,59,79
9:11,2635,Hakeem Rogers Steal.,59,79
9:08,288,Foul on Aaron Korn.,59,79
9:08,2635,Hakeem Rogers missed Free Throw.,59,79
9:08,2635,Tennessee Tech Deadball Team Rebound.,59,79
9:08,2635,Hakeem Rogers missed Free Throw.,59,79
9:08,2635,Tennessee Tech Deadball Team Rebound.,59,79
9:08,2635,Hakeem Rogers made Free Throw.,60,79
8:56,288,Garrison Mathews Turnover.,60,79
8:44,2635,Foul on Mason Ramsey.,60,79
8:44,2635,Mason Ramsey Turnover.,60,79
8:33,288,Rob Marberry made Layup. Assisted by Garrison Mathews.,60,81
8:19,2635,Foul on Stephaun Adams.,60,81
8:19,2635,Stephaun Adams Turnover.,60,81
7:55,2635,Foul on Courtney Alexander II.,60,81
7:55,288,Official TV Timeout,60,81
7:55,288,Nathan Moran made Free Throw.,60,82
7:55,288,Nathan Moran made Free Throw.,60,83
7:41,2635,Foul on Hakeem Rogers.,60,83
7:41,2635,Hakeem Rogers Turnover.,60,83
7:36,2635,Technical Foul on Tennessee Tech.,60,83
7:36,288,Nathan Moran made Free Throw.,60,84
7:36,288,Nathan Moran made Free Throw.,60,85
7:27,288,Garrison Mathews made Layup.,60,87
7:18,2635,Kajon Mack missed Three Point Jumper.,60,87
7:18,288,Lipscomb Defensive Rebound.,60,87
7:08,288,Josh Williams Turnover.,60,87
6:52,2635,Savonte Frazier missed Layup.,60,87
6:52,288,Nathan Moran Defensive Rebound.,60,87
6:44,288,Josh Williams missed Three Point Jumper.,60,87
6:44,2635,Stephaun Adams Defensive Rebound.,60,87
6:37,2635,Stephaun Adams made Layup.,62,87
6:37,288,Foul on Michael Buckland.,62,87
6:37,2635,Stephaun Adams missed Free Throw.,62,87
6:37,288,Josh Williams Defensive Rebound.,62,87
6:23,288,Cam Miller missed Three Point Jumper.,62,87
6:23,2635,Stephaun Adams Defensive Rebound.,62,87
6:16,2635,Hakeem Rogers missed Three Point Jumper.,62,87
6:16,2635,Savonte Frazier Offensive Rebound.,62,87
6:01,288,Foul on Nathan Moran.,62,87
6:01,2635,Stephaun Adams made Free Throw.,63,87
6:01,2635,Stephaun Adams made Free Throw.,64,87
5:51,288,Nathan Moran made Three Point Jumper. Assisted by Cam Miller.,64,90
5:39,288,Foul on Rob Marberry.,64,90
5:39,2635,Colton Blevins missed Free Throw.,64,90
5:39,2635,Tennessee Tech Deadball Team Rebound.,64,90
5:39,2635,Colton Blevins made Free Throw.,65,90
5:28,288,Cam Miller Turnover.,65,90
5:27,2635,Stephaun Adams Steal.,65,90
5:25,2635,Stephaun Adams made Layup.,67,90
5:19,288,Kenny Cooper Turnover.,67,90
5:18,2635,Stephaun Adams Steal.,67,90
5:15,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Stephaun Adams.,70,90
4:53,288,Kenny Cooper made Three Point Jumper. Assisted by Michael Buckland.,70,93
4:49,288,Lipscomb  Timeout,70,93
4:40,2635,Colton Blevins missed Three Point Jumper.,70,93
4:40,288,Aaron Korn Defensive Rebound.,70,93
4:30,2635,Foul on Aleksa Jugovic.,70,93
4:30,288,Garrison Mathews missed Free Throw.,70,93
4:30,288,Lipscomb Deadball Team Rebound.,70,93
4:30,288,Garrison Mathews made Free Throw.,70,94
4:18,2635,Stephaun Adams Turnover.,70,94
4:17,288,Kenny Cooper Steal.,70,94
4:15,288,Kenny Cooper made Layup.,70,96
4:01,2635,Stephaun Adams missed Jumper.,70,96
4:01,2635,Colton Blevins Offensive Rebound.,70,96
3:53,288,Foul on George Brammeier.,70,96
3:53,288,Official TV Timeout,70,96
3:53,2635,Colton Blevins made Free Throw.,71,96
3:53,2635,Colton Blevins made Free Throw.,72,96
3:36,288,Kenny Cooper Turnover.,72,96
3:33,2635,Stephaun Adams Steal.,72,96
3:32,2635,Savonte Frazier missed Layup.,72,96
3:32,288,Kenny Cooper Block.,72,96
3:30,288,Aaron Korn Defensive Rebound.,72,96
3:03,288,Garrison Mathews made Layup.,72,98
2:49,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Savonte Frazier.,75,98
2:26,288,Kenny Cooper missed Three Point Jumper.,75,98
2:26,2635,Colton Blevins Defensive Rebound.,75,98
2:16,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Stephaun Adams.,78,98
2:06,288,Michael Buckland made Layup.,78,100
1:53,2635,Aleksa Jugovic made Three Point Jumper. Assisted by Savonte Frazier.,81,100
1:50,2635,Tennessee Tech  Timeout,81,100
1:31,288,Garrison Mathews missed Three Point Jumper.,81,100
1:31,288,Michael Buckland Offensive Rebound.,81,100
1:26,288,Garrison Mathews made Layup.,81,102
1:14,2635,Aleksa Jugovic missed Three Point Jumper.,81,102
1:14,288,Garrison Mathews Defensive Rebound.,81,102
0:59,288,Aaron Korn made Layup.,81,104
0:47,288,Foul on Kenny Cooper.,81,104
0:47,2635,Aleksa Jugovic made Free Throw.,82,104
0:47,2635,Aleksa Jugovic made Free Throw.,83,104
0:28,288,Aaron Korn Turnover.,83,104
0:28,2635,Stephaun Adams Steal.,83,104
0:18,288,Foul on Aaron Korn.,83,104
0:18,2635,Hakeem Rogers made Free Throw.,84,104
0:18,2635,Hakeem Rogers missed Free Throw.,84,104
0:18,2635,Tennessee Tech Deadball Team Rebound.,84,104
0:18,2635,Hakeem Rogers made Free Throw.,85,104
0:00,288,End of Game,85,104
