Rhode Island,2550,Seton Hall,227
6:54,227,Jared Terrell made Free Throw.,36,29
6:54,227,Jared Terrell made Free Throw.,37,29
6:40,2550,Myles Powell missed Three Point Jumper.,37,29
6:40,2550,Angel Delgado Offensive Rebound.,37,29
6:36,2550,Angel Delgado made Layup.,37,31
6:19,227,Foul on Mike Layssard.,37,31
6:19,227,Mike Layssard Turnover.,37,31
6:09,2550,Myles Powell missed Jumper.,37,31
6:09,227,Jeff Dowtin Defensive Rebound.,37,31
6:03,227,Fatts Russell made Layup.,39,31
5:41,2550,Angel Delgado missed Jumper.,39,31
5:41,2550,Myles Powell Offensive Rebound.,39,31
5:39,227,Foul on Mike Layssard.,39,31
5:39,2550,Myles Powell made Free Throw.,39,32
5:39,2550,Myles Powell made Free Throw.,39,33
5:27,227,Jared Terrell missed Jumper.,39,33
5:27,2550,Myles Powell Defensive Rebound.,39,33
5:21,2550,Myles Cale made Dunk. Assisted by Myles Powell.,39,35
5:03,227,Foul on Mike Layssard.,39,35
5:03,227,Mike Layssard Turnover.,39,35
4:51,2550,Khadeen Carrington missed Jumper.,39,35
4:51,2550,Michael Nzei Offensive Rebound.,39,35
4:50,227,Foul on Stanford Robinson.,39,35
4:50,2550,Michael Nzei made Free Throw.,39,36
4:50,2550,Michael Nzei missed Free Throw.,39,36
4:50,227,Ryan Preston Defensive Rebound.,39,36
4:34,227,Fatts Russell missed Three Point Jumper.,39,36
4:34,2550,Myles Cale Defensive Rebound.,39,36
4:13,2550,Myles Powell missed Jumper.,39,36
4:13,227,Jared Terrell Defensive Rebound.,39,36
4:02,227,Jeff Dowtin missed Jumper.,39,36
4:02,2550,Michael Nzei Block.,39,36
3:58,2550,Sandro Mamukelashvili Defensive Rebound.,39,36
3:56,2550,Myles Powell made Layup.,39,38
3:39,2550,Foul on Myles Cale.,39,38
3:39,2550,Official TV Timeout,39,38
3:39,227,Jared Terrell made Free Throw.,40,38
3:39,227,Jared Terrell made Free Throw.,41,38
3:20,2550,Myles Powell made Three Point Jumper. Assisted by Sandro Mamukelashvili.,41,41
3:01,227,Fatts Russell made Three Point Jumper. Assisted by Ryan Preston.,44,41
2:44,2550,Angel Delgado Turnover.,44,41
2:25,227,Stanford Robinson made Layup.,46,41
2:01,2550,Myles Powell Turnover.,46,41
1:50,227,Stanford Robinson Turnover.,46,41
1:49,2550,Myles Powell Steal.,46,41
1:47,2550,Myles Powell missed Layup.,46,41
1:47,227,Ryan Preston Block.,46,41
1:47,2550,Seton Hall Offensive Rebound.,46,41
1:44,2550,Desi Rodriguez missed Jumper.,46,41
1:44,2550,Angel Delgado Offensive Rebound.,46,41
1:40,2550,Angel Delgado made Two Point Tip Shot.,46,43
1:22,2550,Foul on Desi Rodriguez.,46,43
1:22,227,Jared Terrell made Free Throw.,47,43
1:22,227,Jared Terrell made Free Throw.,48,43
1:03,2550,Desi Rodriguez missed Three Point Jumper.,48,43
1:03,2550,Angel Delgado Offensive Rebound.,48,43
0:58,2550,Desi Rodriguez made Layup. Assisted by Angel Delgado.,48,45
0:47,227,Stanford Robinson made Three Point Jumper.,51,45
0:24,2550,Desi Rodriguez Turnover.,51,45
0:22,227,Ryan Preston Steal.,51,45
0:17,227,Rhode Island  Timeout,51,45
0:03,227,Stanford Robinson made Layup.,53,45
0:03,2550,Foul on Desi Rodriguez.,53,45
0:03,227,Stanford Robinson made Free Throw.,54,45
0:01,2550,Myles Powell missed Three Point Jumper.,54,45
0:01,227,Jeff Dowtin Block.,54,45
0:00,2550,Seton Hall Offensive Rebound.,54,45
0:00,2550,End of 1st half,54,45
19:48,2550,Khadeen Carrington missed Jumper.,54,45
19:48,227,Stanford Robinson Defensive Rebound.,54,45
19:36,227,Jared Terrell missed Jumper.,54,45
19:36,2550,Michael Nzei Defensive Rebound.,54,45
19:28,2550,Myles Cale missed Three Point Jumper.,54,45
19:28,227,Jeff Dowtin Defensive Rebound.,54,45
19:21,227,Stanford Robinson missed Three Point Jumper.,54,45
19:21,227,Jeff Dowtin Offensive Rebound.,54,45
18:49,227,Stanford Robinson missed Jumper.,54,45
18:49,2550,Angel Delgado Defensive Rebound.,54,45
18:39,2550,Michael Nzei missed Layup.,54,45
18:39,227,Jeff Dowtin Defensive Rebound.,54,45
18:30,227,Andre Berry missed Jumper.,54,45
18:30,2550,Angel Delgado Defensive Rebound.,54,45
18:22,2550,Khadeen Carrington missed Jumper.,54,45
18:22,227,Stanford Robinson Defensive Rebound.,54,45
18:04,227,Stanford Robinson made Layup.,56,45
17:48,2550,Angel Delgado made Jumper.,56,47
17:32,227,Stanford Robinson missed Jumper.,56,47
17:32,2550,Angel Delgado Defensive Rebound.,56,47
17:30,227,Foul on Andre Berry.,56,47
17:09,2550,Angel Delgado made Layup.,56,49
16:47,227,Ryan Preston Turnover.,56,49
16:36,2550,Foul on Myles Powell.,56,49
16:36,2550,Myles Powell Turnover.,56,49
16:17,227,Jared Terrell made Layup.,58,49
16:02,2550,Angel Delgado made Jumper. Assisted by Myles Powell.,58,51
15:49,227,Ryan Preston missed Layup.,58,51
15:49,2550,Myles Powell Block.,58,51
15:47,227,Ryan Preston Offensive Rebound.,58,51
15:47,2550,Official TV Timeout,58,51
15:46,2550,Official TV Timeout,58,51
15:35,227,Jared Terrell missed Jumper.,58,51
15:35,227,Ryan Preston Offensive Rebound.,58,51
15:33,227,Ryan Preston missed Two Point Tip Shot.,58,51
15:33,2550,Khadeen Carrington Defensive Rebound.,58,51
15:31,227,Foul on Ryan Preston.,58,51
15:12,227,Foul on Ryan Preston.,58,51
15:12,2550,Desi Rodriguez missed Free Throw.,58,51
15:12,2550,Seton Hall Deadball Team Rebound.,58,51
15:12,2550,Desi Rodriguez made Free Throw.,58,52
14:52,227,Jared Terrell made Layup.,60,52
14:34,2550,Angel Delgado made Layup.,60,54
14:21,227,Fatts Russell Turnover.,60,54
14:19,2550,Desi Rodriguez Steal.,60,54
14:17,2550,Desi Rodriguez made Layup.,60,56
14:17,227,Rhode Island  Timeout,60,56
14:17,227,Foul on Fatts Russell.,60,56
14:17,227,Technical Foul on Fatts Russell.,60,56
14:17,2550,Foul on Myles Powell.,60,56
14:17,2550,Technical Foul on Myles Powell.,60,56
14:04,227,Jared Terrell made Three Point Jumper. Assisted by Jeff Dowtin.,63,56
13:47,2550,Khadeen Carrington missed Three Point Jumper.,63,56
13:47,227,Jeff Dowtin Defensive Rebound.,63,56
13:13,227,Rhode Island  Turnover.,63,56
12:43,2550,Seton Hall  Turnover.,63,56
12:26,227,Fatts Russell missed Three Point Jumper.,63,56
12:26,2550,Sandro Mamukelashvili Defensive Rebound.,63,56
12:05,2550,Desi Rodriguez made Jumper.,63,58
12:05,227,Foul on Jared Terrell.,63,58
12:05,2550,Desi Rodriguez made Free Throw.,63,59
11:48,227,Jeff Dowtin missed Three Point Jumper.,63,59
11:48,2550,Ismael Sanogo Defensive Rebound.,63,59
11:30,227,Foul on Jeff Dowtin.,63,59
11:30,2550,Official TV Timeout,63,59
11:26,2550,Desi Rodriguez missed Jumper.,63,59
11:26,227,Andre Berry Defensive Rebound.,63,59
11:04,227,Jared Terrell made Three Point Jumper. Assisted by Jarvis Garrett.,66,59
10:57,2550,Seton Hall  Timeout,66,59
10:42,2550,Ismael Sanogo missed Layup.,66,59
10:42,227,Andre Berry Defensive Rebound.,66,59
10:32,227,Andre Berry made Layup. Assisted by Nicola Akele.,68,59
10:12,2550,Khadeen Carrington made Jumper.,68,61
9:54,2550,Foul on Ismael Sanogo.,68,61
9:54,227,Jared Terrell made Free Throw.,69,61
9:54,227,Jared Terrell made Free Throw.,70,61
9:33,2550,Angel Delgado missed Jumper.,70,61
9:33,2550,Michael Nzei Offensive Rebound.,70,61
9:28,2550,Myles Powell made Three Point Jumper. Assisted by Michael Nzei.,70,64
9:11,227,Nicola Akele missed Jumper.,70,64
9:11,2550,Myles Powell Defensive Rebound.,70,64
8:54,2550,Khadeen Carrington made Jumper.,70,66
8:27,227,Jared Terrell missed Three Point Jumper.,70,66
8:27,2550,Seton Hall Defensive Rebound.,70,66
8:12,2550,Myles Powell Turnover.,70,66
8:10,227,Jared Terrell Steal.,70,66
7:50,227,Fatts Russell missed Three Point Jumper.,70,66
7:50,2550,Khadeen Carrington Defensive Rebound.,70,66
7:39,2550,Khadeen Carrington made Layup.,70,68
7:23,2550,Foul on Khadeen Carrington.,70,68
7:23,2550,Official TV Timeout,70,68
7:23,227,Jeff Dowtin missed Free Throw.,70,68
7:23,227,Rhode Island Deadball Team Rebound.,70,68
7:23,227,Jeff Dowtin made Free Throw.,71,68
7:04,2550,Angel Delgado made Layup.,71,70
7:04,227,Foul on Andre Berry.,71,70
7:04,2550,Angel Delgado missed Free Throw.,71,70
7:04,227,Stanford Robinson Defensive Rebound.,71,70
6:41,227,Jeff Dowtin missed Jumper.,71,70
6:41,227,Andre Berry Offensive Rebound.,71,70
6:39,227,Andre Berry missed Layup.,71,70
6:39,2550,Angel Delgado Defensive Rebound.,71,70
6:24,2550,Angel Delgado missed Jumper.,71,70
6:24,227,Fatts Russell Defensive Rebound.,71,70
6:13,227,Fatts Russell missed Layup.,71,70
6:13,2550,Michael Nzei Defensive Rebound.,71,70
5:54,227,Foul on Stanford Robinson.,71,70
5:54,2550,Khadeen Carrington made Free Throw.,71,71
5:54,2550,Khadeen Carrington made Free Throw.,71,72
5:24,227,Ryan Preston missed Jumper.,71,72
5:24,2550,Seton Hall Defensive Rebound.,71,72
4:57,2550,Khadeen Carrington Turnover.,71,72
4:56,227,Jarvis Garrett Steal.,71,72
4:53,227,Jeff Dowtin Turnover.,71,72
4:52,2550,Desi Rodriguez Steal.,71,72
4:33,2550,Angel Delgado missed Jumper.,71,72
4:33,227,Jeff Dowtin Defensive Rebound.,71,72
4:23,227,Ryan Preston missed Layup.,71,72
4:23,2550,Angel Delgado Defensive Rebound.,71,72
4:20,227,Foul on Ryan Preston.,71,72
4:20,2550,Angel Delgado missed Free Throw.,71,72
4:20,227,Andre Berry Defensive Rebound.,71,72
4:05,227,Andre Berry made Layup. Assisted by Jarvis Garrett.,73,72
3:40,2550,Official TV Timeout,73,72
3:40,2550,Angel Delgado Turnover.,73,72
3:40,227,Andre Berry Steal.,73,72
3:40,2550,Official TV Timeout,73,72
3:14,227,Jared Terrell missed Jumper.,73,72
3:14,227,Andre Berry Offensive Rebound.,73,72
3:11,2550,Foul on Desi Rodriguez.,73,72
3:10,227,Jared Terrell Turnover.,73,72
3:08,2550,Myles Powell Steal.,73,72
3:06,2550,Myles Powell missed Layup.,73,72
3:06,227,Stanford Robinson Block.,73,72
3:03,2550,Angel Delgado Offensive Rebound.,73,72
2:57,2550,Khadeen Carrington missed Three Point Jumper.,73,72
2:57,2550,Desi Rodriguez Offensive Rebound.,73,72
2:53,2550,Desi Rodriguez missed Layup.,73,72
2:53,2550,Angel Delgado Offensive Rebound.,73,72
2:51,2550,Angel Delgado Turnover.,73,72
2:24,227,Andre Berry missed Jumper.,73,72
2:24,2550,Desi Rodriguez Defensive Rebound.,73,72
2:06,2550,Desi Rodriguez missed Jumper.,73,72
2:06,2550,Ismael Sanogo Offensive Rebound.,73,72
2:03,2550,Ismael Sanogo made Layup.,73,74
1:35,227,Jeff Dowtin missed Jumper.,73,74
1:35,2550,Ismael Sanogo Defensive Rebound.,73,74
1:12,2550,Myles Powell missed Layup.,73,74
1:12,227,Jarvis Garrett Defensive Rebound.,73,74
1:08,2550,Foul on Angel Delgado.,73,74
1:03,227,Rhode Island  Timeout,73,74
0:51,227,Jeff Dowtin missed Three Point Jumper.,73,74
0:51,227,Jared Terrell Offensive Rebound.,73,74
0:47,227,Jared Terrell missed Layup.,73,74
0:47,2550,Angel Delgado Block.,73,74
0:45,2550,Angel Delgado Defensive Rebound.,73,74
0:29,2550,Desi Rodriguez Turnover.,73,74
0:28,227,Jarvis Garrett Steal.,73,74
0:24,227,Jarvis Garrett Turnover.,73,74
0:23,2550,Ismael Sanogo Steal.,73,74
0:21,2550,Angel Delgado Turnover.,73,74
0:21,227,Rhode Island  Timeout,73,74
0:04,227,Jared Terrell made Jumper.,75,74
0:00,2550,End of Game,75,74
