Michigan State,305,DePaul,127
5:23,127,Foul on Matt McQuaid.,20,20
5:23,305,Max Strus made Free Throw.,20,21
5:23,305,Max Strus made Free Throw.,20,22
5:08,127,Matt McQuaid Turnover.,20,22
5:08,305,Max Strus Steal.,20,22
5:02,127,Foul on Joshua Langford.,20,22
5:02,305,Max Strus made Free Throw.,20,23
5:02,305,Max Strus made Free Throw.,20,24
4:47,127,Cassius Winston missed Jumper.,20,24
4:47,305,DePaul Deadball Team Rebound.,20,24
4:45,127,Foul on Ben Carter.,20,24
4:45,305,Marin Maric made Free Throw.,20,25
4:45,305,Marin Maric made Free Throw.,20,26
4:39,127,Cassius Winston missed Three Point Jumper.,20,26
4:39,127,Jaren Jackson Jr. Offensive Rebound.,20,26
4:34,127,Jaren Jackson Jr. made Layup.,22,26
4:19,305,Tre'Darius McCallum missed Three Point Jumper.,22,26
4:19,127,Matt McQuaid Defensive Rebound.,22,26
3:58,127,Jaren Jackson Jr. made Jumper.,24,26
3:30,305,Marin Maric missed Jumper.,24,26
3:30,127,Ben Carter Defensive Rebound.,24,26
3:18,127,Matt McQuaid made Three Point Jumper. Assisted by Cassius Winston.,27,26
2:51,305,Max Strus missed Layup.,27,26
2:51,127,Cassius Winston Defensive Rebound.,27,26
2:49,305,Foul on Max Strus.,27,26
2:49,305,Official TV Timeout,27,26
2:49,127,Matt McQuaid made Free Throw.,28,26
2:49,127,Matt McQuaid made Free Throw.,29,26
2:37,305,Devin Gage missed Jumper.,29,26
2:37,127,Ben Carter Defensive Rebound.,29,26
2:19,127,Matt McQuaid Turnover.,29,26
2:19,305,Marin Maric Steal.,29,26
2:11,127,Foul on Matt McQuaid.,29,26
2:11,305,Eli Cain missed Free Throw.,29,26
2:11,305,DePaul Deadball Team Rebound.,29,26
2:11,305,Eli Cain made Free Throw.,29,27
1:58,127,Ben Carter missed Jumper.,29,27
1:58,305,Marin Maric Defensive Rebound.,29,27
1:23,305,Marin Maric missed Jumper.,29,27
1:23,127,Cassius Winston Defensive Rebound.,29,27
1:00,127,Michigan State  Timeout,29,27
0:54,127,Jaren Jackson Jr. Turnover.,29,27
0:54,305,Tre'Darius McCallum Steal.,29,27
0:48,127,Foul on Cassius Winston.,29,27
0:48,305,Tre'Darius McCallum missed Free Throw.,29,27
0:48,305,DePaul Deadball Team Rebound.,29,27
0:48,305,Tre'Darius McCallum made Free Throw.,29,28
0:33,127,Jaren Jackson Jr. missed Three Point Jumper.,29,28
0:33,127,Conner George Offensive Rebound.,29,28
0:24,127,Conner George missed Layup.,29,28
0:24,127,Xavier Tillman Offensive Rebound.,29,28
0:24,127,Xavier Tillman made Two Point Tip Shot.,31,28
0:01,305,Eli Cain made Three Point Jumper. Assisted by Brandon Cyrus.,31,31
0:00,305,End of 1st half,31,31
20:00,127,Jump Ball won by Michigan State,31,31
19:45,305,Foul on Tre'Darius McCallum.,31,31
19:26,127,Cassius Winston missed Jumper.,31,31
19:26,305,Eli Cain Defensive Rebound.,31,31
19:01,305,Tre'Darius McCallum made Dunk. Assisted by Eli Cain.,31,33
18:44,127,Jaren Jackson Jr. made Layup.,33,33
18:15,305,Eli Cain made Layup.,33,35
18:01,127,Nick Ward made Layup. Assisted by Cassius Winston.,35,35
17:50,305,Eli Cain missed Jumper.,35,35
17:50,127,Jaren Jackson Jr. Defensive Rebound.,35,35
17:41,127,Joshua Langford made Layup. Assisted by Cassius Winston.,37,35
17:17,305,Marin Maric made Jumper. Assisted by Tre'Darius McCallum.,37,37
17:03,305,Foul on Tre'Darius McCallum.,37,37
17:03,127,Joshua Langford Turnover.,37,37
17:03,127,Foul on Joshua Langford.,37,37
16:41,305,Marin Maric missed Three Point Jumper.,37,37
16:41,127,Cassius Winston Defensive Rebound.,37,37
16:37,305,Foul on Devin Gage.,37,37
16:26,127,Matt McQuaid made Three Point Jumper. Assisted by Lourawls Nairn Jr..,40,37
16:10,305,Devin Gage missed Jumper.,40,37
16:10,305,Jaylen Butz Offensive Rebound.,40,37
16:02,305,Jump Ball won by DePaul,40,37
16:01,305,Max Strus missed Jumper.,40,37
16:01,127,Nick Ward Defensive Rebound.,40,37
15:47,305,Foul on Jaylen Butz.,40,37
15:47,305,Official TV Timeout,40,37
15:35,127,Nick Ward missed Jumper.,40,37
15:35,305,Max Strus Defensive Rebound.,40,37
15:28,305,Devin Gage missed Layup.,40,37
15:28,127,Nick Ward Defensive Rebound.,40,37
15:03,127,Jaren Jackson Jr. missed Jumper.,40,37
15:03,305,Marin Maric Defensive Rebound.,40,37
14:44,127,Foul on Nick Ward.,40,37
14:43,305,Max Strus missed Layup.,40,37
14:43,127,Jaren Jackson Jr. Defensive Rebound.,40,37
14:34,127,Joshua Langford missed Jumper.,40,37
14:34,305,Marin Maric Defensive Rebound.,40,37
14:18,305,Marin Maric Turnover.,40,37
14:03,127,Joshua Langford made Jumper. Assisted by Cassius Winston.,42,37
13:37,305,Max Strus Turnover.,42,37
13:22,127,Joshua Langford made Three Point Jumper. Assisted by Lourawls Nairn Jr..,45,37
12:50,127,Foul on Joshua Langford.,45,37
12:49,127,Foul on Cassius Winston.,45,37
12:45,127,Foul on Matt McQuaid.,45,37
12:45,305,Eli Cain missed Free Throw.,45,37
12:45,305,DePaul Deadball Team Rebound.,45,37
12:45,305,Eli Cain missed Free Throw.,45,37
12:45,127,Ben Carter Defensive Rebound.,45,37
12:18,127,Matt McQuaid made Three Point Jumper. Assisted by Ben Carter.,48,37
12:07,305,DePaul  Timeout,48,37
12:07,305,Official TV Timeout,48,37
11:56,305,Devin Gage missed Layup.,48,37
11:56,127,Cassius Winston Defensive Rebound.,48,37
11:40,127,Cassius Winston missed Three Point Jumper.,48,37
11:40,127,Conner George Offensive Rebound.,48,37
11:13,127,Gavin Schilling missed Layup.,48,37
11:13,127,Conner George Offensive Rebound.,48,37
11:09,305,Official TV Timeout,48,37
11:08,305,Official TV Timeout,48,37
10:58,127,Jaren Jackson Jr. missed Three Point Jumper.,48,37
10:58,127,Conner George Offensive Rebound.,48,37
10:44,127,Matt McQuaid made Three Point Jumper. Assisted by Lourawls Nairn Jr..,51,37
10:26,305,Devin Gage Turnover.,51,37
10:26,127,Xavier Tillman Steal.,51,37
10:20,305,Foul on Tre'Darius McCallum.,51,37
10:20,127,Conner George missed Free Throw.,51,37
10:20,127,Michigan State Deadball Team Rebound.,51,37
10:20,127,Conner George missed Free Throw.,51,37
10:20,305,Eli Cain Defensive Rebound.,51,37
10:13,127,Foul on Conner George.,51,37
10:13,305,Eli Cain made Free Throw.,51,38
10:13,305,Eli Cain made Free Throw.,51,39
9:57,305,Foul on Jaylen Butz.,51,39
9:57,127,Jaren Jackson Jr. made Free Throw.,52,39
9:57,127,Jaren Jackson Jr. made Free Throw.,53,39
9:42,305,Justin Roberts missed Layup.,53,39
9:42,305,Max Strus Offensive Rebound.,53,39
9:40,127,Foul on Cassius Winston.,53,39
9:40,305,Max Strus made Free Throw.,53,40
9:40,305,Max Strus made Free Throw.,53,41
9:14,305,Foul on Justin Roberts.,53,41
9:14,127,Jaren Jackson Jr. made Free Throw.,54,41
9:14,127,Jaren Jackson Jr. made Free Throw.,55,41
8:59,305,Marin Maric missed Layup.,55,41
8:59,127,Jaren Jackson Jr. Defensive Rebound.,55,41
8:40,127,Matt McQuaid missed Three Point Jumper.,55,41
8:40,305,Justin Roberts Defensive Rebound.,55,41
8:31,305,Justin Roberts missed Jumper.,55,41
8:31,127,Xavier Tillman Defensive Rebound.,55,41
8:13,127,Foul on Jaren Jackson Jr..,55,41
8:13,127,Jaren Jackson Jr. Turnover.,55,41
8:00,305,Marin Maric Turnover.,55,41
8:00,127,Conner George Steal.,55,41
7:29,127,Xavier Tillman made Layup. Assisted by Lourawls Nairn Jr..,57,41
7:22,305,Brandon Cyrus made Layup. Assisted by Devin Gage.,57,43
6:59,127,Foul on Jaren Jackson Jr..,57,43
6:59,127,Jaren Jackson Jr. Turnover.,57,43
6:59,305,Official TV Timeout,57,43
6:51,305,Brandon Cyrus missed Jumper.,57,43
6:51,127,Cassius Winston Defensive Rebound.,57,43
6:51,127,Jump Ball won by Michigan State,57,43
6:27,127,Cassius Winston made Three Point Jumper. Assisted by Jaren Jackson Jr..,60,43
6:12,305,Devin Gage missed Three Point Jumper.,60,43
6:12,127,Jaren Jackson Jr. Defensive Rebound.,60,43
5:47,127,Jaren Jackson Jr. missed Jumper.,60,43
5:47,305,DePaul Defensive Rebound.,60,43
5:33,127,Foul on Conner George.,60,43
5:33,305,Max Strus made Free Throw.,60,44
5:33,305,Max Strus made Free Throw.,60,45
5:27,127,Jaren Jackson Jr. missed Layup.,60,45
5:27,127,Nick Ward Offensive Rebound.,60,45
5:24,127,Nick Ward made Layup.,62,45
5:24,305,Foul on Max Strus.,62,45
5:24,127,Nick Ward made Free Throw.,63,45
5:14,305,Foul on Eli Cain.,63,45
5:14,305,Eli Cain Turnover.,63,45
5:08,127,Nick Ward made Dunk. Assisted by Lourawls Nairn Jr..,65,45
4:56,305,Eli Cain missed Jumper.,65,45
4:56,127,Jaren Jackson Jr. Defensive Rebound.,65,45
4:30,305,Foul on Devin Gage.,65,45
4:30,127,Cassius Winston made Free Throw.,66,45
4:30,127,Cassius Winston made Free Throw.,67,45
4:18,305,Brandon Cyrus missed Three Point Jumper.,67,45
4:18,127,Cassius Winston Defensive Rebound.,67,45
3:56,127,Nick Ward Turnover.,67,45
3:56,305,Devin Gage Steal.,67,45
3:50,305,Devin Gage made Jumper.,67,47
3:21,305,Foul on Marin Maric.,67,47
3:21,305,Official TV Timeout,67,47
3:21,127,Cassius Winston made Free Throw.,68,47
3:21,127,Cassius Winston made Free Throw.,69,47
3:12,127,Foul on Joshua Langford.,69,47
3:12,305,Max Strus made Free Throw.,69,48
3:12,305,Max Strus made Free Throw.,69,49
2:55,127,Xavier Tillman made Layup. Assisted by Cassius Winston.,71,49
2:38,305,Eli Cain missed Jumper.,71,49
2:38,127,Xavier Tillman Block.,71,49
2:38,305,DePaul Offensive Rebound.,71,49
2:37,305,Max Strus missed Three Point Jumper.,71,49
2:37,127,Cassius Winston Defensive Rebound.,71,49
2:12,127,Cassius Winston missed Jumper.,71,49
2:12,127,Conner George Offensive Rebound.,71,49
1:42,127,Conner George made Jumper.,73,49
1:32,127,Foul on Ben Carter.,73,49
1:32,305,Tre'Darius McCallum made Free Throw.,73,50
1:32,305,Tre'Darius McCallum made Free Throw.,73,51
1:10,127,Cassius Winston Turnover.,73,51
1:10,305,Paul Reed Steal.,73,51
1:02,305,Paul Reed missed Jumper.,73,51
1:02,127,Conner George Defensive Rebound.,73,51
0:34,127,Foul on Lourawls Nairn Jr..,73,51
0:34,127,Lourawls Nairn Jr. Turnover.,73,51
0:26,305,Justin Roberts missed Jumper.,73,51
0:26,127,Conner George Defensive Rebound.,73,51
0:00,305,End of Game,73,51
