Arkansas,201,Oklahoma,8
11:47,201,Jamuni McNeace Turnover.,23,18
11:31,8,Dustin Thomas Turnover.,23,18
11:31,201,Trae Young Turnover.,23,18
11:31,8,Darious Hall Steal.,23,18
10:44,8,Jaylen Barford made Jumper.,25,18
10:40,201,Kameron McGusty missed Jumper.,25,18
10:40,8,Daniel Gafford Defensive Rebound.,25,18
10:33,8,C.J. Jones missed Three Point Jumper.,25,18
10:33,201,Jamuni McNeace Defensive Rebound.,25,18
10:21,201,Trae Young made Layup.,25,20
10:11,8,Jaylen Barford missed Jumper.,25,20
10:11,8,Dustin Thomas Offensive Rebound.,25,20
10:05,8,Dustin Thomas made Layup.,27,20
9:50,201,Matt Freeman missed Three Point Jumper.,27,20
9:50,8,Jaylen Barford Defensive Rebound.,27,20
9:44,8,Daniel Gafford made Dunk. Assisted by Jaylen Barford.,29,20
9:30,201,Kameron McGusty missed Three Point Jumper.,29,20
9:30,8,C.J. Jones Defensive Rebound.,29,20
9:19,8,Jaylen Barford missed Jumper.,29,20
9:19,201,Oklahoma Defensive Rebound.,29,20
9:03,201,Kameron McGusty made Jumper.,29,22
8:47,8,Daryl Macon made Three Point Jumper. Assisted by Trey Thompson.,32,22
8:28,201,Trae Young made Layup.,32,24
8:28,8,Foul on Dustin Thomas.,32,24
8:28,201,Trae Young made Free Throw.,32,25
8:13,8,Darious Hall missed Jumper.,32,25
8:13,201,Kameron McGusty Defensive Rebound.,32,25
8:05,201,Kameron McGusty made Jumper.,32,27
8:05,8,Foul on Anton Beard.,32,27
8:05,201,Official TV Timeout,32,27
8:05,201,Kameron McGusty made Free Throw.,32,28
7:48,8,Anton Beard missed Jumper.,32,28
7:48,201,Christian James Defensive Rebound.,32,28
7:39,201,Kameron McGusty missed Jumper.,32,28
7:39,8,Darious Hall Defensive Rebound.,32,28
7:13,8,Daryl Macon Turnover.,32,28
7:13,201,Khadeem Lattin Steal.,32,28
7:06,201,Trae Young missed Layup.,32,28
7:06,201,Christian James Offensive Rebound.,32,28
6:54,201,Christian James made Jumper.,32,30
6:38,8,Daryl Macon missed Jumper.,32,30
6:38,201,Trae Young Block.,32,30
6:38,8,Arkansas Offensive Rebound.,32,30
6:38,8,Jaylen Barford made Three Point Jumper. Assisted by Daryl Macon.,35,30
6:22,201,Khadeem Lattin made Dunk. Assisted by Brady Manek.,35,32
6:08,8,Anton Beard made Layup. Assisted by Daniel Gafford.,37,32
6:00,201,Jordan Shepherd made Layup.,37,34
5:41,8,Adrio Bailey missed Layup.,37,34
5:41,201,Brady Manek Block.,37,34
5:41,8,Adrio Bailey Offensive Rebound.,37,34
5:25,8,Adrio Bailey made Layup.,39,34
5:19,201,Trae Young made Three Point Jumper. Assisted by Christian James.,39,37
4:53,8,Jaylen Barford missed Jumper.,39,37
4:53,201,Khadeem Lattin Defensive Rebound.,39,37
4:44,201,Christian James made Three Point Jumper. Assisted by Trae Young.,39,40
4:27,8,Anton Beard made Jumper.,41,40
4:07,201,Jordan Shepherd missed Three Point Jumper.,41,40
4:07,8,Adrio Bailey Defensive Rebound.,41,40
3:59,8,Anton Beard made Layup.,43,40
3:38,201,Trae Young missed Three Point Jumper.,43,40
3:38,8,Jaylen Barford Defensive Rebound.,43,40
3:29,8,Daryl Macon Turnover.,43,40
3:29,201,Jordan Shepherd Steal.,43,40
3:19,8,Foul on Jaylen Barford.,43,40
3:19,201,Official TV Timeout,43,40
3:19,201,Christian James missed Free Throw.,43,40
3:19,201,Oklahoma Deadball Team Rebound.,43,40
3:19,201,Christian James made Free Throw.,43,41
3:12,8,Daryl Macon missed Three Point Jumper.,43,41
3:12,201,Brady Manek Defensive Rebound.,43,41
2:55,201,Christian James missed Three Point Jumper.,43,41
2:55,8,Daryl Macon Defensive Rebound.,43,41
2:49,8,Jaylen Barford missed Three Point Jumper.,43,41
2:49,201,Brady Manek Defensive Rebound.,43,41
2:39,201,Foul on Christian James.,43,41
2:39,201,Christian James Turnover.,43,41
2:20,201,Foul on Jordan Shepherd.,43,41
2:20,8,Anton Beard made Free Throw.,44,41
2:20,8,Anton Beard made Free Throw.,45,41
2:09,201,Brady Manek missed Three Point Jumper.,45,41
2:09,8,Daryl Macon Defensive Rebound.,45,41
1:58,8,Jaylen Barford missed Jumper.,45,41
1:58,201,Khadeem Lattin Block.,45,41
1:58,201,Kameron McGusty Defensive Rebound.,45,41
1:50,201,Kameron McGusty missed Layup.,45,41
1:50,8,Daniel Gafford Defensive Rebound.,45,41
1:35,8,Dustin Thomas missed Jumper.,45,41
1:35,201,Khadeem Lattin Defensive Rebound.,45,41
1:27,201,Brady Manek made Layup. Assisted by Trae Young.,45,43
1:13,8,Anton Beard made Jumper.,47,43
0:57,201,Oklahoma  Timeout,47,43
0:50,201,Trae Young missed Three Point Jumper.,47,43
0:50,8,Daniel Gafford Defensive Rebound.,47,43
0:44,201,Foul on Khadeem Lattin.,47,43
0:44,8,Daniel Gafford missed Free Throw.,47,43
0:44,8,Arkansas Deadball Team Rebound.,47,43
0:44,8,Daniel Gafford made Free Throw.,48,43
0:31,201,Trae Young missed Three Point Jumper.,48,43
0:31,8,Daniel Gafford Defensive Rebound.,48,43
0:26,8,Daryl Macon made Layup. Assisted by Daniel Gafford.,50,43
0:19,201,Khadeem Lattin Turnover.,50,43
0:19,8,Daryl Macon Steal.,50,43
0:12,8,Daryl Macon missed Layup.,50,43
0:12,201,Trae Young Defensive Rebound.,50,43
0:06,201,Brady Manek made Layup. Assisted by Trae Young.,50,45
0:03,8,Jaylen Barford Turnover.,50,45
0:01,201,Trae Young missed Three Point Jumper.,50,45
0:01,8,Jaylen Barford Block.,50,45
0:01,8,Adrio Bailey Defensive Rebound.,50,45
0:00,201,End of 1st half,50,45
20:00,201,Jump Ball won by Oklahoma,50,45
19:47,201,Christian James missed Three Point Jumper.,50,45
19:47,8,Trey Thompson Defensive Rebound.,50,45
19:26,8,Jaylen Barford missed Three Point Jumper.,50,45
19:26,201,Rashard Odomes Defensive Rebound.,50,45
19:06,201,Brady Manek missed Three Point Jumper.,50,45
19:06,8,Anton Beard Defensive Rebound.,50,45
19:00,8,Jaylen Barford Turnover.,50,45
19:00,201,Khadeem Lattin Steal.,50,45
18:54,201,Khadeem Lattin made Dunk. Assisted by Christian James.,50,47
18:24,8,Trey Thompson made Jumper. Assisted by Adrio Bailey.,52,47
18:14,201,Rashard Odomes made Layup.,52,49
17:52,8,Daryl Macon missed Jumper.,52,49
17:52,8,Trey Thompson Offensive Rebound.,52,49
17:45,201,Foul on Brady Manek.,52,49
17:45,8,Adrio Bailey missed Free Throw.,52,49
17:45,8,Arkansas Deadball Team Rebound.,52,49
17:45,8,Adrio Bailey made Free Throw.,53,49
17:36,201,Khadeem Lattin made Dunk. Assisted by Trae Young.,53,51
17:04,8,Jaylen Barford missed Three Point Jumper.,53,51
17:04,201,Brady Manek Defensive Rebound.,53,51
17:00,201,Christian James missed Three Point Jumper.,53,51
17:00,8,Daryl Macon Defensive Rebound.,53,51
16:49,8,Adrio Bailey made Layup. Assisted by Trey Thompson.,55,51
16:36,201,Brady Manek missed Three Point Jumper.,55,51
16:36,8,Daryl Macon Defensive Rebound.,55,51
16:27,8,Jaylen Barford missed Jumper.,55,51
16:27,201,Brady Manek Block.,55,51
16:27,201,Trae Young Defensive Rebound.,55,51
16:22,201,Rashard Odomes made Layup. Assisted by Trae Young.,55,53
16:21,8,Foul on Trey Thompson.,55,53
16:21,201,Rashard Odomes made Free Throw.,55,54
15:55,8,Anton Beard missed Jumper.,55,54
15:55,8,Adrio Bailey Offensive Rebound.,55,54
15:55,8,Adrio Bailey missed Jumper.,55,54
15:55,201,Oklahoma Defensive Rebound.,55,54
15:55,201,Trae Young missed Layup.,55,54
15:55,8,Adrio Bailey Block.,55,54
15:55,8,Daryl Macon Defensive Rebound.,55,54
15:55,201,Foul on Jamuni McNeace.,55,54
15:55,201,Official TV Timeout,55,54
15:42,8,Trey Thompson Turnover.,55,54
15:42,201,Trae Young Steal.,55,54
15:41,8,Foul on Daryl Macon.,55,54
15:33,201,Christian James Turnover.,55,54
15:33,8,Anton Beard Steal.,55,54
15:24,201,Foul on Rashard Odomes.,55,54
15:18,8,Anton Beard missed Jumper.,55,54
15:18,201,Brady Manek Defensive Rebound.,55,54
15:10,201,Trae Young Turnover.,55,54
15:10,8,Daniel Gafford Steal.,55,54
14:56,8,Arkansas  Timeout,55,54
14:54,8,Daniel Gafford made Jumper.,57,54
14:43,201,Kameron McGusty missed Three Point Jumper.,57,54
14:43,8,Adrio Bailey Defensive Rebound.,57,54
14:42,201,Foul on Jamuni McNeace.,57,54
14:20,8,Daryl Macon Turnover.,57,54
14:20,201,Jamuni McNeace Steal.,57,54
14:20,8,Foul on Daniel Gafford.,57,54
14:03,8,Foul on C.J. Jones.,57,54
13:55,201,Kameron McGusty missed Three Point Jumper.,57,54
13:55,8,Daniel Gafford Defensive Rebound.,57,54
13:44,8,Daryl Macon made Three Point Jumper. Assisted by Anton Beard.,60,54
13:33,201,Kameron McGusty missed Jumper.,60,54
13:33,8,Daniel Gafford Block.,60,54
13:33,8,Daniel Gafford Defensive Rebound.,60,54
13:24,8,C.J. Jones missed Three Point Jumper.,60,54
13:24,8,Anton Beard Offensive Rebound.,60,54
13:22,8,Anton Beard Turnover.,60,54
13:02,201,Christian James made Jumper.,60,56
12:40,201,Foul on Jamuni McNeace.,60,56
12:40,8,Daniel Gafford made Free Throw.,61,56
12:40,8,Daniel Gafford made Free Throw.,62,56
12:33,201,Jordan Shepherd Turnover.,62,56
12:33,8,Daniel Gafford Steal.,62,56
12:02,8,Daniel Gafford missed Jumper.,62,56
12:02,201,Matt Freeman Defensive Rebound.,62,56
11:51,201,Jordan Shepherd made Three Point Jumper.,62,59
11:32,8,C.J. Jones Turnover.,62,59
11:32,201,Jordan Shepherd Steal.,62,59
11:19,8,Foul on Dustin Thomas.,62,59
11:19,201,Official TV Timeout,62,59
11:19,201,Jordan Shepherd made Free Throw.,62,60
11:19,201,Jordan Shepherd made Free Throw.,62,61
11:13,8,C.J. Jones made Layup.,64,61
11:09,201,Khadeem Lattin made Dunk. Assisted by Matt Freeman.,64,63
10:50,201,Foul on Matt Freeman.,64,63
10:50,8,Darious Hall made Free Throw.,65,63
10:50,8,Darious Hall missed Free Throw.,65,63
10:50,201,Rashard Odomes Defensive Rebound.,65,63
10:50,8,Foul on Darious Hall.,65,63
10:44,201,Christian James made Layup. Assisted by Matt Freeman.,65,65
10:20,8,Jaylen Barford made Layup.,67,65
10:10,201,Matt Freeman made Layup.,67,67
9:39,8,Anton Beard missed Jumper.,67,67
9:39,201,Khadeem Lattin Defensive Rebound.,67,67
9:29,201,Kameron McGusty missed Three Point Jumper.,67,67
9:29,8,Arkansas Defensive Rebound.,67,67
9:03,201,Foul on Matt Freeman.,67,67
9:03,8,Dustin Thomas made Free Throw.,68,67
9:03,8,Dustin Thomas made Free Throw.,69,67
9:00,201,Christian James missed Jumper.,69,67
9:00,201,Khadeem Lattin Offensive Rebound.,69,67
8:56,201,Khadeem Lattin Turnover.,69,67
8:56,8,Dustin Thomas Steal.,69,67
8:49,8,Jaylen Barford missed Jumper.,69,67
8:49,8,Dustin Thomas Offensive Rebound.,69,67
8:24,8,Daryl Macon missed Three Point Jumper.,69,67
8:24,201,Oklahoma Defensive Rebound.,69,67
7:57,201,Official TV Timeout,69,67
7:56,201,Trae Young Turnover.,69,67
7:45,8,Daniel Gafford Turnover.,69,67
7:43,201,Brady Manek missed Three Point Jumper.,69,67
7:43,201,Khadeem Lattin Offensive Rebound.,69,67
7:40,8,Foul on Daniel Gafford.,69,67
7:40,201,Khadeem Lattin missed Free Throw.,69,67
7:40,8,Dustin Thomas Defensive Rebound.,69,67
7:35,8,Daryl Macon made Three Point Jumper. Assisted by Anton Beard.,72,67
7:30,201,Christian James missed Three Point Jumper.,72,67
7:30,8,Dustin Thomas Defensive Rebound.,72,67
7:10,8,Daniel Gafford missed Jumper.,72,67
7:10,201,Khadeem Lattin Defensive Rebound.,72,67
7:01,8,Foul on Anton Beard.,72,67
7:01,201,Trae Young made Free Throw.,72,68
7:01,201,Trae Young made Free Throw.,72,69
6:35,201,Foul on Khadeem Lattin.,72,69
6:35,8,Daryl Macon made Free Throw.,73,69
6:35,8,Daryl Macon made Free Throw.,74,69
6:21,201,Jordan Shepherd missed Jumper.,74,69
6:21,8,Trey Thompson Defensive Rebound.,74,69
6:15,8,Anton Beard Turnover.,74,69
6:15,201,Trae Young Steal.,74,69
6:10,201,Trae Young made Layup. Assisted by Jordan Shepherd.,74,71
5:43,8,Jaylen Barford made Jumper.,76,71
5:33,201,Trae Young made Three Point Jumper.,76,74
5:18,201,Foul on Jordan Shepherd.,76,74
5:18,8,Daryl Macon made Free Throw.,77,74
5:18,8,Daryl Macon made Free Throw.,78,74
5:18,8,Daryl Macon made Free Throw.,79,74
5:12,8,Foul on Trey Thompson.,79,74
5:12,201,Khadeem Lattin made Free Throw.,79,75
5:12,201,Khadeem Lattin made Free Throw.,79,76
4:51,8,Jaylen Barford missed Three Point Jumper.,79,76
4:51,201,Brady Manek Defensive Rebound.,79,76
4:36,8,Foul on Jaylen Barford.,79,76
4:36,201,Trae Young made Free Throw.,79,77
4:36,201,Trae Young missed Free Throw.,79,77
4:36,8,Dustin Thomas Defensive Rebound.,79,77
4:21,8,Anton Beard missed Jumper.,79,77
4:21,201,Khadeem Lattin Defensive Rebound.,79,77
4:18,201,Jordan Shepherd Turnover.,79,77
3:42,201,Foul on Christian James.,79,77
3:42,201,Official TV Timeout,79,77
3:42,8,Jaylen Barford missed Free Throw.,79,77
3:42,8,Arkansas Deadball Team Rebound.,79,77
3:42,8,Jaylen Barford made Free Throw.,80,77
3:30,201,Christian James missed Jumper.,80,77
3:30,8,Jaylen Barford Block.,80,77
3:30,201,Khadeem Lattin Offensive Rebound.,80,77
3:22,201,Jordan Shepherd made Layup.,80,79
3:10,201,Foul on Jordan Shepherd.,80,79
3:10,8,Daryl Macon made Free Throw.,81,79
3:10,8,Daryl Macon made Free Throw.,82,79
2:59,8,Foul on Daniel Gafford.,82,79
2:59,201,Christian James missed Free Throw.,82,79
2:59,201,Oklahoma Deadball Team Rebound.,82,79
2:59,201,Christian James missed Free Throw.,82,79
2:59,8,Dustin Thomas Defensive Rebound.,82,79
2:39,201,Foul on Trae Young.,82,79
2:39,8,Dustin Thomas missed Free Throw.,82,79
2:39,8,Arkansas Deadball Team Rebound.,82,79
2:39,8,Dustin Thomas made Free Throw.,83,79
2:22,201,Khadeem Lattin missed Layup.,83,79
2:22,201,Oklahoma Offensive Rebound.,83,79
2:08,201,Brady Manek Turnover.,83,79
1:42,8,Anton Beard missed Three Point Jumper.,83,79
1:42,201,Khadeem Lattin Defensive Rebound.,83,79
1:35,8,Foul on Dustin Thomas.,83,79
1:35,201,Trae Young made Free Throw.,83,80
1:35,201,Trae Young made Free Throw.,83,81
1:05,8,Daniel Gafford made Jumper. Assisted by Anton Beard.,85,81
0:55,201,Trae Young missed Jumper.,85,81
0:55,8,Daniel Gafford Defensive Rebound.,85,81
0:55,8,Daniel Gafford Turnover.,85,81
0:47,201,Trae Young missed Jumper.,85,81
0:47,8,Daniel Gafford Defensive Rebound.,85,81
0:42,201,Foul on Trae Young.,85,81
0:42,8,Daniel Gafford made Free Throw.,86,81
0:42,8,Daniel Gafford made Free Throw.,87,81
0:34,201,Trae Young missed Jumper.,87,81
0:34,8,Dustin Thomas Defensive Rebound.,87,81
0:22,201,Foul on Khadeem Lattin.,87,81
0:22,8,Anton Beard made Free Throw.,88,81
0:22,8,Anton Beard made Free Throw.,89,81
0:20,201,Trae Young made Layup.,89,83
0:17,201,Oklahoma  Timeout,89,83
0:16,201,Foul on Jordan Shepherd.,89,83
0:16,8,Jaylen Barford made Free Throw.,90,83
0:16,8,Jaylen Barford missed Free Throw.,90,83
0:16,201,Brady Manek Defensive Rebound.,90,83
0:10,201,Khadeem Lattin missed Three Point Jumper.,90,83
0:10,8,Dustin Thomas Defensive Rebound.,90,83
0:10,201,Foul on Khadeem Lattin.,90,83
0:10,8,Anton Beard made Free Throw.,91,83
0:10,8,Anton Beard made Free Throw.,92,83
0:00,201,End of Game,92,83
