Georgia,2239,CS Fullerton,61
13:17,61,Juwan Parker Turnover.,31,37
13:06,2239,Khalil Ahmad missed Three Point Jumper.,31,37
13:06,61,Juwan Parker Defensive Rebound.,31,37
12:43,61,William Jackson II made Jumper.,33,37
12:29,2239,Kyle Allman missed Jumper.,33,37
12:29,61,Nicolas Claxton Block.,33,37
12:27,2239,Arkim Robertson Offensive Rebound.,33,37
12:24,2239,Davon Clare missed Three Point Jumper.,33,37
12:24,61,Nicolas Claxton Defensive Rebound.,33,37
12:22,2239,Foul on Arkim Robertson.,33,37
12:12,61,Foul on Jordan Harris.,33,37
12:12,61,Jordan Harris Turnover.,33,37
11:59,2239,Austen Awosika Turnover.,33,37
11:59,61,Jordan Harris Steal.,33,37
11:54,2239,Official TV Timeout,33,37
11:54,2239,Foul on Kyle Allman.,33,37
11:54,2239,Official TV Timeout,33,37
11:42,61,Yante Maten missed Jumper.,33,37
11:42,2239,Austen Awosika Defensive Rebound.,33,37
11:38,61,Foul on Nicolas Claxton.,33,37
11:22,2239,Kyle Allman missed Jumper.,33,37
11:22,61,Nicolas Claxton Defensive Rebound.,33,37
11:17,2239,Foul on Davon Clare.,33,37
11:17,61,Tyree Crump made Free Throw.,34,37
11:17,61,Tyree Crump made Free Throw.,35,37
10:54,2239,Davon Clare made Layup.,35,39
10:42,61,William Jackson II made Three Point Jumper. Assisted by Tyree Crump.,38,39
10:24,2239,CSU Fullerton  Timeout,38,39
10:03,2239,Austen Awosika Turnover.,38,39
9:46,61,Tyree Crump missed Jumper.,38,39
9:46,61,Nicolas Claxton Offensive Rebound.,38,39
9:45,61,Nicolas Claxton made Two Point Tip Shot.,40,39
9:25,2239,Kyle Allman missed Three Point Jumper.,40,39
9:25,61,Nicolas Claxton Defensive Rebound.,40,39
8:55,61,William Jackson II made Jumper.,42,39
8:24,61,Foul on Derek Ogbeide.,42,39
8:24,2239,Kyle Allman made Free Throw.,42,40
8:24,2239,Kyle Allman made Free Throw.,42,41
8:02,61,Tyree Crump missed Three Point Jumper.,42,41
8:02,2239,Kyle Allman Defensive Rebound.,42,41
7:40,2239,Ian Fox missed Three Point Jumper.,42,41
7:40,61,Rayshaun Hammonds Defensive Rebound.,42,41
7:13,2239,Foul on Davon Clare.,42,41
7:13,2239,Official TV Timeout,42,41
7:13,61,Nicolas Claxton made Free Throw.,43,41
7:13,61,Nicolas Claxton missed Free Throw.,43,41
7:13,2239,Jackson Rowe Defensive Rebound.,43,41
6:43,61,Foul on Nicolas Claxton.,43,41
6:43,2239,Jackson Rowe made Free Throw.,43,42
6:43,2239,Jackson Rowe made Free Throw.,43,43
