Santa Clara,Error,Alaska Anchorage,2541
18:00,1,Josiah Wood made Layup. Assisted by Dj Ursery.,37,38
17:38,2541,Foul on KJ Feagin.,37,38
17:38,2541,KJ Feagin Turnover.,37,38
17:24,1,Dj Ursery made Layup. Assisted by Maleke Haynes.,37,40
17:16,2541,Santa Clara  Timeout,37,40
17:03,2541,Henry Caruso missed Layup.,37,40
17:03,1,Jacob Lampkin Block.,37,40
17:01,1,Maleke Haynes Defensive Rebound.,37,40
16:58,1,Maleke Haynes missed Layup.,37,40
16:58,2541,Josip Vrankic Defensive Rebound.,37,40
16:56,1,Foul on Maleke Haynes.,37,40
16:45,2541,Matt Turner missed Three Point Jumper.,37,40
16:45,1,Malik Clements Defensive Rebound.,37,40
16:22,1,Malik Clements missed Three Point Jumper.,37,40
16:22,2541,KJ Feagin Defensive Rebound.,37,40
15:57,2541,Matt Hauser made Three Point Jumper. Assisted by Henry Caruso.,40,40
15:47,1,Jacob Lampkin missed Layup.,40,40
15:47,2541,Henry Caruso Defensive Rebound.,40,40
15:37,2541,Matt Turner missed Three Point Jumper.,40,40
15:37,1,Malik Clements Defensive Rebound.,40,40
15:34,1,Malik Clements Turnover.,40,40
15:34,1,Official TV Timeout,40,40
15:28,1,Foul on Dj Ursery.,40,40
15:28,2541,Josip Vrankic made Free Throw.,41,40
15:28,2541,Josip Vrankic made Free Throw.,42,40
15:03,1,Brian Pearson missed Layup.,42,40
15:03,2541,Matt Hauser Defensive Rebound.,42,40
14:56,2541,KJ Feagin made Jumper. Assisted by Matt Hauser.,44,40
14:45,1,Brian Pearson made Layup. Assisted by Josiah Wood.,44,42
14:18,2541,Foul on Josip Vrankic.,44,42
14:18,2541,Josip Vrankic Turnover.,44,42
14:05,1,Josiah Wood Turnover.,44,42
13:46,2541,Henry Caruso missed Layup.,44,42
13:46,1,Dj Ursery Block.,44,42
13:43,1,Malik Clements Defensive Rebound.,44,42
13:30,2541,Foul on Matt Turner.,44,42
13:18,1,Kylan Osborne Turnover.,44,42
13:17,2541,Emmanuel Ndumanya Steal.,44,42
13:02,2541,Matt Hauser missed Three Point Jumper.,44,42
13:02,1,Brian Pearson Defensive Rebound.,44,42
12:39,2541,Foul on Matt Hauser.,44,42
12:21,1,Brian Pearson missed Layup.,44,42
12:21,2541,KJ Feagin Block.,44,42
12:18,2541,Emmanuel Ndumanya Defensive Rebound.,44,42
12:14,2541,Jarvis Pugh made Layup. Assisted by KJ Feagin.,46,42
11:46,1,Malik Clements missed Layup.,46,42
11:46,1,Brian Pearson Offensive Rebound.,46,42
11:42,1,Kylan Osborne missed Three Point Jumper.,46,42
11:42,1,Brian Pearson Offensive Rebound.,46,42
11:41,2541,Foul on Jarvis Pugh.,46,42
11:41,1,Official TV Timeout,46,42
11:37,1,Jacob Lampkin missed Layup.,46,42
11:37,2541,Henry Caruso Defensive Rebound.,46,42
11:31,2541,Matt Hauser Turnover.,46,42
11:16,1,Kylan Osborne missed Jumper.,46,42
11:16,2541,Jarvis Pugh Defensive Rebound.,46,42
11:14,1,Foul on Kylan Osborne.,46,42
10:50,2541,Josip Vrankic made Jumper. Assisted by Jarvis Pugh.,48,42
10:28,1,Dj Ursery missed Jumper.,48,42
10:28,1,Jacob Lampkin Offensive Rebound.,48,42
10:26,1,Jacob Lampkin made Layup.,48,44
10:05,2541,Matt Hauser missed Three Point Jumper.,48,44
10:05,2541,Henry Caruso Offensive Rebound.,48,44
10:00,1,Foul on Dj Ursery.,48,44
10:00,2541,Matt Hauser made Free Throw.,49,44
10:00,2541,Henry Caruso made Free Throw.,50,44
9:39,1,Foul on Josiah Wood.,50,44
9:39,1,Josiah Wood Turnover.,50,44
9:13,2541,KJ Feagin made Jumper.,52,44
8:54,1,Jacob Lampkin missed Layup.,52,44
8:54,2541,Josip Vrankic Block.,52,44
8:54,1,Alaska Anchorage Offensive Rebound.,52,44
8:33,1,Jack Macdonald made Jumper.,52,46
8:15,1,Foul on Drew Peterson.,52,46
8:15,2541,Jarvis Pugh missed Free Throw.,52,46
8:15,1,Jacob Lampkin Defensive Rebound.,52,46
7:56,1,Dj Ursery missed Jumper.,52,46
7:56,2541,Santa Clara Defensive Rebound.,52,46
7:54,1,Official TV Timeout,52,46
7:31,2541,Matt Hauser made Layup.,54,46
7:19,1,Jacob Lampkin made Layup. Assisted by Josiah Wood.,54,48
7:04,2541,Matt Hauser made Three Point Jumper. Assisted by Henry Caruso.,57,48
6:32,1,Dj Ursery missed Jumper.,57,48
6:32,2541,Josip Vrankic Defensive Rebound.,57,48
6:28,2541,Josip Vrankic Turnover.,57,48
6:27,1,Malik Clements Steal.,57,48
6:26,2541,Foul on Josip Vrankic.,57,48
6:26,1,Malik Clements made Free Throw.,57,49
6:26,1,Malik Clements missed Free Throw.,57,49
6:26,2541,Henry Caruso Defensive Rebound.,57,49
6:24,1,Foul on Maleke Haynes.,57,49
6:24,2541,Henry Caruso made Free Throw.,58,49
6:24,2541,Henry Caruso missed Free Throw.,58,49
6:24,1,Dj Ursery Defensive Rebound.,58,49
5:59,2541,Foul on Matt Hauser.,58,49
5:59,1,Malik Clements made Free Throw.,58,50
5:59,1,Malik Clements made Free Throw.,58,51
5:41,2541,KJ Feagin made Jumper. Assisted by Jarvis Pugh.,60,51
5:20,2541,Foul on Josip Vrankic.,60,51
5:20,1,Jacob Lampkin missed Free Throw.,60,51
5:20,2541,Henry Caruso Defensive Rebound.,60,51
5:01,2541,Henry Caruso Turnover.,60,51
5:00,1,Josiah Wood Steal.,60,51
4:48,2541,Foul on Matt Turner.,60,51
4:48,1,Josiah Wood made Free Throw.,60,52
4:48,1,Josiah Wood missed Free Throw.,60,52
4:48,2541,Henry Caruso Defensive Rebound.,60,52
4:33,2541,Josip Vrankic missed Three Point Jumper.,60,52
4:33,1,Maleke Haynes Defensive Rebound.,60,52
4:16,2541,Foul on Jarvis Pugh.,60,52
4:16,1,Josiah Wood made Free Throw.,60,53
4:16,1,Josiah Wood made Free Throw.,60,54
3:57,1,Foul on Malik Clements.,60,54
3:57,1,Official TV Timeout,60,54
3:57,2541,Josip Vrankic missed Free Throw.,60,54
3:57,2541,Santa Clara Deadball Team Rebound.,60,54
3:57,2541,Josip Vrankic made Free Throw.,61,54
3:40,1,Jacob Lampkin made Layup. Assisted by Maleke Haynes.,61,56
3:29,2541,Henry Caruso Turnover.,61,56
3:14,1,Malik Clements missed Layup.,61,56
3:14,2541,Jarvis Pugh Defensive Rebound.,61,56
3:05,2541,KJ Feagin Turnover.,61,56
3:04,1,Maleke Haynes Steal.,61,56
2:42,1,Dj Ursery made Jumper. Assisted by Malik Clements.,61,58
2:10,2541,Matt Hauser made Three Point Jumper. Assisted by Henry Caruso.,64,58
1:59,1,Alaska Anchorage  Timeout,64,58
1:50,1,Maleke Haynes missed Three Point Jumper.,64,58
1:50,1,Jacob Lampkin Offensive Rebound.,64,58
1:45,1,Jacob Lampkin made Layup.,64,60
1:29,1,Foul on Maleke Haynes.,64,60
1:29,2541,KJ Feagin made Free Throw.,65,60
1:29,2541,KJ Feagin made Free Throw.,66,60
1:18,1,Foul on Josiah Wood.,66,60
1:18,1,Josiah Wood Turnover.,66,60
0:50,2541,Josip Vrankic Turnover.,66,60
0:48,1,Malik Clements Steal.,66,60
0:35,1,Malik Clements made Three Point Jumper. Assisted by Dj Ursery.,66,63
0:35,1,Official TV Timeout,66,63
0:35,1,Alaska Anchorage  Timeout,66,63
0:13,2541,Santa Clara  Timeout,66,63
0:07,2541,Matt Hauser missed Jumper.,66,63
0:07,1,Dj Ursery Defensive Rebound.,66,63
0:05,1,Alaska Anchorage  Timeout,66,63
0:00,1,Maleke Haynes made Three Point Jumper.,66,66
0:00,1,End of 2nd half,66,66
4:33,2541,Foul on Jarvis Pugh.,66,66
4:33,1,Jacob Lampkin missed Free Throw.,66,66
4:33,1,Alaska Anchorage Deadball Team Rebound.,66,66
4:33,1,Jacob Lampkin missed Free Throw.,66,66
4:33,2541,KJ Feagin Defensive Rebound.,66,66
4:02,2541,Matt Hauser missed Jumper.,66,66
4:02,1,Jacob Lampkin Defensive Rebound.,66,66
3:48,1,Jacob Lampkin made Layup. Assisted by Malik Clements.,66,68
3:29,1,Foul on Jacob Lampkin.,66,68
3:29,2541,KJ Feagin made Free Throw.,67,68
3:29,2541,KJ Feagin made Free Throw.,68,68
3:17,2541,Foul on Emmanuel Ndumanya.,68,68
3:17,1,Maleke Haynes made Free Throw.,68,69
3:17,1,Maleke Haynes made Free Throw.,68,70
2:51,2541,KJ Feagin missed Jumper.,68,70
2:51,1,Dj Ursery Defensive Rebound.,68,70
2:23,1,Malik Clements missed Three Point Jumper.,68,70
2:23,1,Jacob Lampkin Offensive Rebound.,68,70
2:20,1,Jacob Lampkin made Layup.,68,72
2:14,2541,Santa Clara  Timeout,68,72
1:49,2541,Matt Hauser missed Three Point Jumper.,68,72
1:49,1,Jacob Lampkin Defensive Rebound.,68,72
1:20,1,Jacob Lampkin made Dunk. Assisted by Maleke Haynes.,68,74
1:06,2541,Josip Vrankic made Layup.,70,74
1:06,1,Foul on Jacob Lampkin.,70,74
1:06,2541,Josip Vrankic made Free Throw.,71,74
0:35,1,Maleke Haynes missed Three Point Jumper.,71,74
0:35,2541,Henry Caruso Defensive Rebound.,71,74
0:16,2541,KJ Feagin missed Three Point Jumper.,71,74
0:16,1,Jacob Lampkin Defensive Rebound.,71,74
0:09,2541,Foul on Matt Hauser.,71,74
0:09,1,Maleke Haynes missed Free Throw.,71,74
0:09,1,Alaska Anchorage Deadball Team Rebound.,71,74
0:09,1,Maleke Haynes made Free Throw.,71,75
0:09,1,Alaska Anchorage  Timeout,71,75
0:04,2541,KJ Feagin made Jumper.,73,75
0:03,2541,Foul on Henry Caruso.,73,75
0:03,1,Maleke Haynes made Free Throw.,73,76
0:03,1,Maleke Haynes missed Free Throw.,73,76
0:03,2541,Henry Caruso Defensive Rebound.,73,76
0:01,2541,Henry Caruso Turnover.,73,76
0:01,1,Malik Clements Steal.,73,76
0:01,2541,Foul on Jarvis Pugh.,73,76
0:01,1,Malik Clements made Free Throw.,73,77
0:01,1,Malik Clements made Free Throw.,73,78
0:00,1,End of Game,73,76
