Saint Mary's,108,Harvard,2608
9:10,2608,Cullen Neal missed Three Point Jumper.,29,13
9:10,108,Seth Towns Defensive Rebound.,29,13
8:54,108,Bryce Aiken missed Three Point Jumper.,29,13
8:54,2608,Jock Landale Defensive Rebound.,29,13
8:41,108,Foul on Rio Haskett.,29,13
8:41,2608,Jock Landale made Free Throw.,30,13
8:41,2608,Jock Landale made Free Throw.,31,13
8:27,108,Seth Towns missed Dunk.,31,13
8:27,2608,Emmett Naar Defensive Rebound.,31,13
8:00,2608,Jordan Hunter missed Layup.,31,13
8:00,108,Chris Lewis Defensive Rebound.,31,13
7:53,108,Rio Haskett Turnover.,31,13
7:53,108,Official TV Timeout,31,13
7:38,2608,Cullen Neal missed Three Point Jumper.,31,13
7:38,108,Seth Towns Defensive Rebound.,31,13
7:26,108,Seth Towns missed Jumper.,31,13
7:26,2608,Kyle Clark Defensive Rebound.,31,13
7:05,2608,Foul on Jordan Hunter.,31,13
7:05,2608,Jordan Hunter Turnover.,31,13
6:50,108,Chris Lewis missed Jumper.,31,13
6:50,2608,Jordan Ford Defensive Rebound.,31,13
6:32,2608,Jock Landale made Layup.,33,13
6:09,108,Seth Towns missed Jumper.,33,13
6:09,2608,Emmett Naar Defensive Rebound.,33,13
5:56,2608,Emmett Naar Turnover.,33,13
5:55,108,Chris Lewis Steal.,33,13
5:42,108,Christian Juzang missed Layup.,33,13
5:42,108,Danilo Djuricic Offensive Rebound.,33,13
5:39,108,Danilo Djuricic missed Two Point Tip Shot.,33,13
5:39,108,Danilo Djuricic Offensive Rebound.,33,13
5:37,108,Danilo Djuricic missed Two Point Tip Shot.,33,13
5:37,108,Chris Lewis Offensive Rebound.,33,13
5:33,108,Chris Lewis missed Jumper.,33,13
5:33,2608,Jordan Ford Defensive Rebound.,33,13
5:11,2608,Tanner Krebs missed Jumper.,33,13
5:11,2608,Kyle Clark Offensive Rebound.,33,13
5:07,2608,Kyle Clark made Layup.,35,13
4:51,108,Danilo Djuricic missed Three Point Jumper.,35,13
4:51,2608,Jock Landale Defensive Rebound.,35,13
4:39,2608,Tanner Krebs missed Three Point Jumper.,35,13
4:39,108,Harvard Defensive Rebound.,35,13
4:37,2608,Foul on Kyle Clark.,35,13
4:16,108,Corey Johnson missed Three Point Jumper.,35,13
4:16,2608,Jordan Ford Defensive Rebound.,35,13
3:52,2608,Tanner Krebs missed Jumper.,35,13
3:52,108,Henry Welsh Defensive Rebound.,35,13
3:40,108,Seth Towns made Jumper. Assisted by Rio Haskett.,35,15
3:22,108,Foul on Robert Baker.,35,15
3:22,108,Official TV Timeout,35,15
3:22,2608,Jock Landale made Free Throw.,36,15
3:22,2608,Jock Landale made Free Throw.,37,15
3:11,2608,Foul on Calvin Hermanson.,37,15
3:07,108,Rio Haskett missed Jumper.,37,15
3:07,2608,Jordan Ford Defensive Rebound.,37,15
2:47,108,Foul on Henry Welsh.,37,15
2:47,2608,Jock Landale made Free Throw.,38,15
2:47,2608,Jock Landale made Free Throw.,39,15
2:35,108,Seth Towns missed Layup.,39,15
2:35,108,Robert Baker Offensive Rebound.,39,15
2:33,2608,Foul on Calvin Hermanson.,39,15
2:33,108,Robert Baker missed Free Throw.,39,15
2:33,108,Harvard Deadball Team Rebound.,39,15
2:33,108,Robert Baker made Free Throw.,39,16
2:17,2608,Calvin Hermanson made Layup.,41,16
2:00,108,Rio Haskett missed Three Point Jumper.,41,16
2:00,2608,Kyle Clark Defensive Rebound.,41,16
1:46,2608,Calvin Hermanson missed Three Point Jumper.,41,16
1:46,108,Seth Towns Defensive Rebound.,41,16
1:35,108,Robert Baker Turnover.,41,16
1:35,2608,Jordan Ford Steal.,41,16
1:17,2608,Jordan Hunter made Layup.,43,16
0:59,108,Chris Lewis made Layup.,43,18
0:42,2608,Calvin Hermanson made Three Point Jumper. Assisted by Emmett Naar.,46,18
0:21,108,Chris Lewis made Layup. Assisted by Seth Towns.,46,20
0:00,108,End of 1st half,46,20
19:44,108,Chris Lewis made Layup.,46,22
19:44,2608,Foul on Jock Landale.,46,22
19:44,108,Chris Lewis missed Free Throw.,46,22
19:44,108,Harvard Offensive Rebound.,46,22
19:29,108,Seth Towns made Jumper.,46,24
19:11,2608,Evan Fitzner Turnover.,46,24
19:10,108,Justin Bassey Steal.,46,24
19:07,108,Justin Bassey made Layup.,46,26
18:56,2608,Foul on Evan Fitzner.,46,26
18:56,2608,Evan Fitzner Turnover.,46,26
18:45,108,Chris Lewis made Jumper. Assisted by Corey Johnson.,46,28
18:16,2608,Emmett Naar Turnover.,46,28
18:15,108,Corey Johnson Steal.,46,28
18:13,108,Seth Towns made Layup. Assisted by Corey Johnson.,46,30
18:13,2608,Foul on Calvin Hermanson.,46,30
18:13,108,Seth Towns missed Free Throw.,46,30
18:13,2608,Jordan Ford Defensive Rebound.,46,30
18:03,2608,Jock Landale Turnover.,46,30
17:48,108,Seth Towns made Jumper.,46,32
17:33,2608,Jock Landale Turnover.,46,32
17:32,108,Seth Towns Steal.,46,32
17:26,108,Seth Towns Turnover.,46,32
17:25,2608,Calvin Hermanson Steal.,46,32
17:20,2608,Saint Mary's  Timeout,46,32
17:08,2608,Kyle Clark missed Three Point Jumper.,46,32
17:08,2608,Kyle Clark Offensive Rebound.,46,32
17:01,2608,Emmett Naar made Layup. Assisted by Kyle Clark.,48,32
17:01,108,Foul on Bryce Aiken.,48,32
17:01,2608,Emmett Naar made Free Throw.,49,32
16:47,108,Bryce Aiken made Layup. Assisted by Chris Lewis.,49,34
16:24,108,Foul on Chris Lewis.,49,34
16:24,2608,Jock Landale made Free Throw.,50,34
16:24,2608,Jock Landale made Free Throw.,51,34
16:14,108,Bryce Aiken missed Three Point Jumper.,51,34
16:14,2608,Jordan Ford Defensive Rebound.,51,34
15:55,2608,Jock Landale made Dunk.,53,34
15:40,108,Seth Towns missed Three Point Jumper.,53,34
15:40,2608,Jock Landale Defensive Rebound.,53,34
15:23,2608,Emmett Naar missed Three Point Jumper.,53,34
15:23,108,Harvard Defensive Rebound.,53,34
15:20,2608,Foul on Kyle Clark.,53,34
15:20,108,Official TV Timeout,53,34
15:06,108,Chris Lewis made Layup. Assisted by Corey Johnson.,53,36
14:48,2608,Calvin Hermanson made Jumper. Assisted by Jordan Ford.,55,36
14:27,108,Chris Lewis missed Jumper.,55,36
14:27,2608,Calvin Hermanson Defensive Rebound.,55,36
13:56,2608,Calvin Hermanson missed Three Point Jumper.,55,36
13:56,108,Bryce Aiken Defensive Rebound.,55,36
13:39,108,Henry Welsh made Jumper. Assisted by Rio Haskett.,55,38
13:16,2608,Jordan Ford made Three Point Jumper. Assisted by Emmett Naar.,58,38
13:04,108,Bryce Aiken made Jumper.,58,40
13:02,108,Harvard  Timeout,58,40
12:46,2608,Calvin Hermanson missed Three Point Jumper.,58,40
12:46,108,Robert Baker Defensive Rebound.,58,40
12:29,2608,Foul on Jordan Ford.,58,40
12:24,108,Henry Welsh missed Jumper.,58,40
12:24,2608,Calvin Hermanson Defensive Rebound.,58,40
12:03,108,Foul on Rio Haskett.,58,40
11:57,108,Foul on Robert Baker.,58,40
11:57,108,Official TV Timeout,58,40
11:16,2608,Jock Landale made Dunk. Assisted by Emmett Naar.,60,40
10:59,108,Robert Baker missed Three Point Jumper.,60,40
10:59,2608,Jock Landale Defensive Rebound.,60,40
10:52,108,Foul on Rio Haskett.,60,40
10:52,2608,Cullen Neal made Free Throw.,61,40
10:52,2608,Cullen Neal made Free Throw.,62,40
10:41,2608,Foul on Jock Landale.,62,40
10:27,108,Corey Johnson Turnover.,62,40
10:26,2608,Jock Landale Steal.,62,40
10:14,108,Foul on Chris Lewis.,62,40
10:14,2608,Jock Landale missed Free Throw.,62,40
10:14,2608,Saint Mary's Deadball Team Rebound.,62,40
10:14,2608,Jock Landale made Free Throw.,63,40
10:03,108,Bryce Aiken made Jumper.,63,42
9:40,2608,Emmett Naar Turnover.,63,42
9:37,108,Bryce Aiken made Three Point Jumper. Assisted by Justin Bassey.,63,45
9:11,2608,Cullen Neal made Jumper.,65,45
9:03,108,Bryce Aiken made Three Point Jumper.,65,48
8:40,2608,Cullen Neal made Layup.,67,48
8:17,108,Seth Towns made Layup.,67,50
7:56,2608,Cullen Neal missed Three Point Jumper.,67,50
7:56,108,Seth Towns Defensive Rebound.,67,50
7:44,2608,Foul on Jordan Hunter.,67,50
7:44,108,Official TV Timeout,67,50
7:44,108,Chris Lewis made Free Throw.,67,51
7:44,108,Chris Lewis made Free Throw.,67,52
7:24,2608,Calvin Hermanson missed Three Point Jumper.,67,52
7:24,108,Corey Johnson Defensive Rebound.,67,52
7:16,2608,Foul on Tanner Krebs.,67,52
7:16,108,Bryce Aiken made Free Throw.,67,53
7:16,108,Bryce Aiken made Free Throw.,67,54
7:06,108,Foul on Seth Towns.,67,54
7:06,2608,Jock Landale made Free Throw.,68,54
7:06,2608,Jock Landale made Free Throw.,69,54
6:55,108,Bryce Aiken made Jumper.,69,56
6:40,2608,Jock Landale Turnover.,69,56
6:40,108,Justin Bassey Steal.,69,56
6:39,2608,Foul on Kyle Clark.,69,56
6:39,108,Justin Bassey made Free Throw.,69,57
6:39,108,Justin Bassey made Free Throw.,69,58
6:26,2608,Emmett Naar missed Three Point Jumper.,69,58
6:26,108,Bryce Aiken Defensive Rebound.,69,58
6:23,2608,Foul on Kyle Clark.,69,58
6:23,108,Bryce Aiken made Free Throw.,69,59
6:23,108,Bryce Aiken made Free Throw.,69,60
6:10,2608,Jock Landale made Dunk. Assisted by Emmett Naar.,71,60
6:03,108,Bryce Aiken missed Three Point Jumper.,71,60
6:03,2608,Emmett Naar Defensive Rebound.,71,60
5:32,2608,Jordan Ford missed Jumper.,71,60
5:32,108,Chris Lewis Defensive Rebound.,71,60
5:10,108,Bryce Aiken missed Three Point Jumper.,71,60
5:10,2608,Emmett Naar Defensive Rebound.,71,60
4:42,108,Foul on Justin Bassey.,71,60
4:42,2608,Emmett Naar made Free Throw.,72,60
4:42,2608,Emmett Naar made Free Throw.,73,60
4:25,108,Corey Johnson made Three Point Jumper. Assisted by Justin Bassey.,73,63
4:02,2608,Jordan Ford made Three Point Jumper. Assisted by Emmett Naar.,76,63
3:49,108,Henry Welsh missed Jumper.,76,63
3:49,2608,Emmett Naar Defensive Rebound.,76,63
3:31,2608,Jordan Ford Turnover.,76,63
3:30,108,Corey Johnson Steal.,76,63
3:26,108,Corey Johnson made Jumper. Assisted by Rio Haskett.,76,65
3:22,108,Official TV Timeout,76,65
3:22,108,Harvard  Timeout,76,65
2:54,2608,Emmett Naar made Jumper.,78,65
2:40,2608,Foul on Jordan Ford.,78,65
2:40,108,Bryce Aiken made Free Throw.,78,66
2:40,108,Bryce Aiken made Free Throw.,78,67
2:19,108,Foul on Rio Haskett.,78,67
2:19,2608,Emmett Naar made Free Throw.,79,67
2:19,2608,Emmett Naar made Free Throw.,80,67
2:09,108,Chris Lewis made Layup. Assisted by Bryce Aiken.,80,69
1:55,108,Foul on Justin Bassey.,80,69
1:55,2608,Emmett Naar made Free Throw.,81,69
1:55,2608,Emmett Naar made Free Throw.,82,69
1:44,108,Seth Towns missed Three Point Jumper.,82,69
1:44,2608,Emmett Naar Defensive Rebound.,82,69
1:12,2608,Emmett Naar Turnover.,82,69
1:02,108,Bryce Aiken Turnover.,82,69
0:58,108,Foul on Bryce Aiken.,82,69
0:58,2608,Cullen Neal made Free Throw.,83,69
0:58,2608,Cullen Neal made Free Throw.,84,69
0:48,108,Danilo Djuricic missed Jumper.,84,69
0:48,2608,Tanner Krebs Defensive Rebound.,84,69
0:45,108,Foul on Justin Bassey.,84,69
0:45,2608,Tanner Krebs made Free Throw.,85,69
0:45,2608,Tanner Krebs made Free Throw.,86,69
0:37,108,Rio Haskett made Layup.,86,71
0:15,2608,Jock Perry made Three Point Jumper. Assisted by Tommy Kuhse.,89,71
0:04,108,Christian Juzang missed Three Point Jumper.,89,71
0:04,2608,Saint Mary's Defensive Rebound.,89,71
0:00,108,End of Game,89,71
