Butler,251,Texas,2086
20:00,2086,Jump Ball won by Butler,19,22
19:41,2086,Kelan Martin made Jumper.,21,22
19:11,251,Matt Coleman missed Three Point Jumper.,21,22
19:11,2086,Tyler Wideman Defensive Rebound.,21,22
19:11,2086,Tyler Wideman Turnover.,21,22
18:54,2086,Foul on Tyler Wideman.,21,22
18:49,251,Dylan Osetkowski missed Three Point Jumper.,21,22
18:49,2086,Aaron Thompson Defensive Rebound.,21,22
18:21,2086,Sean McDermott Turnover.,21,22
18:21,251,Mohamed Bamba Steal.,21,22
18:11,2086,Foul on Aaron Thompson.,21,22
17:58,251,Andrew Jones missed Layup.,21,22
17:58,251,Mohamed Bamba Offensive Rebound.,21,22
17:55,251,Mohamed Bamba made Dunk.,21,24
17:36,2086,Aaron Thompson Turnover.,21,24
17:36,251,Matt Coleman Steal.,21,24
17:28,251,Kerwin Roach II made Dunk. Assisted by Matt Coleman.,21,26
17:04,2086,Kelan Martin missed Jumper.,21,26
17:04,251,Mohamed Bamba Defensive Rebound.,21,26
16:55,2086,Foul on Sean McDermott.,21,26
16:43,251,Kerwin Roach II missed Three Point Jumper.,21,26
16:43,2086,Sean McDermott Defensive Rebound.,21,26
16:33,2086,Kamar Baldwin missed Jumper.,21,26
16:33,251,Dylan Osetkowski Defensive Rebound.,21,26
16:13,2086,Foul on Kamar Baldwin.,21,26
16:13,251,Mohamed Bamba made Free Throw.,21,27
16:13,251,Mohamed Bamba made Free Throw.,21,28
15:59,2086,Kamar Baldwin missed Layup.,21,28
15:59,251,Mohamed Bamba Defensive Rebound.,21,28
15:31,251,Andrew Jones missed Three Point Jumper.,21,28
15:31,2086,Kamar Baldwin Defensive Rebound.,21,28
15:22,2086,Nate Fowler missed Layup.,21,28
15:22,251,Mohamed Bamba Block.,21,28
15:22,2086,Sean McDermott Offensive Rebound.,21,28
15:18,2086,Sean McDermott made Layup.,23,28
15:14,251,Andrew Jones made Layup. Assisted by Matt Coleman.,23,30
14:51,2086,Paul Jorgensen missed Jumper.,23,30
14:51,251,Mohamed Bamba Block.,23,30
14:51,251,Matt Coleman Defensive Rebound.,23,30
14:43,251,Eric Davis Jr. made Three Point Jumper. Assisted by Matt Coleman.,23,33
14:41,2086,Butler  Timeout,23,33
14:18,2086,Aaron Thompson made Layup.,25,33
14:10,251,Eric Davis Jr. missed Three Point Jumper.,25,33
14:10,2086,Aaron Thompson Defensive Rebound.,25,33
13:50,251,Foul on Jericho Sims.,25,33
13:50,251,Official TV Timeout,25,33
13:35,2086,Nate Fowler missed Jumper.,25,33
13:35,2086,Nate Fowler Offensive Rebound.,25,33
13:23,2086,Kelan Martin missed Three Point Jumper.,25,33
13:23,251,Andrew Jones Defensive Rebound.,25,33
12:52,251,Andrew Jones missed Jumper.,25,33
12:52,2086,Nate Fowler Defensive Rebound.,25,33
12:51,251,Foul on Andrew Jones.,25,33
12:35,2086,Nate Fowler made Layup. Assisted by Aaron Thompson.,27,33
12:16,251,Eric Davis Jr. made Three Point Jumper. Assisted by Matt Coleman.,27,36
11:51,2086,Kelan Martin missed Jumper.,27,36
11:51,251,Mohamed Bamba Block.,27,36
11:51,2086,Kelan Martin Offensive Rebound.,27,36
11:42,2086,Kamar Baldwin made Three Point Jumper. Assisted by Kelan Martin.,30,36
11:35,2086,Foul on Kelan Martin.,30,36
11:35,251,Official TV Timeout,30,36
11:35,251,Dylan Osetkowski made Free Throw.,30,37
11:35,251,Dylan Osetkowski made Free Throw.,30,38
11:17,2086,Nate Fowler made Layup.,32,38
10:51,251,Mohamed Bamba Turnover.,32,38
10:51,2086,Sean McDermott Steal.,32,38
10:36,2086,Kelan Martin made Layup.,34,38
10:17,251,Matt Coleman made Three Point Jumper. Assisted by Kerwin Roach II.,34,41
9:55,2086,Nate Fowler missed Layup.,34,41
9:55,251,Matt Coleman Defensive Rebound.,34,41
9:50,251,Matt Coleman missed Three Point Jumper.,34,41
9:50,251,Mohamed Bamba Offensive Rebound.,34,41
9:50,251,Kerwin Roach II missed Jumper.,34,41
9:50,2086,Kamar Baldwin Defensive Rebound.,34,41
9:12,2086,Kelan Martin missed Layup.,34,41
9:12,251,Dylan Osetkowski Defensive Rebound.,34,41
9:06,251,Eric Davis Jr. missed Three Point Jumper.,34,41
9:06,2086,Aaron Thompson Block.,34,41
9:06,2086,Nate Fowler Defensive Rebound.,34,41
8:59,251,Foul on Matt Coleman.,34,41
8:59,2086,Kamar Baldwin made Free Throw.,35,41
8:59,2086,Kamar Baldwin made Free Throw.,36,41
8:35,251,Andrew Jones made Jumper.,36,43
8:12,2086,Kelan Martin made Three Point Jumper. Assisted by Kamar Baldwin.,39,43
7:54,251,Dylan Osetkowski missed Layup.,39,43
7:54,2086,Tyler Wideman Defensive Rebound.,39,43
7:43,2086,Paul Jorgensen missed Three Point Jumper.,39,43
7:43,251,Dylan Osetkowski Defensive Rebound.,39,43
7:20,251,Kerwin Roach II made Layup.,39,45
6:50,2086,Kelan Martin missed Three Point Jumper.,39,45
6:50,251,Jericho Sims Defensive Rebound.,39,45
6:50,251,Jump Ball won by Texas,39,45
6:50,251,Official TV Timeout,39,45
6:28,251,Kerwin Roach II Turnover.,39,45
6:28,2086,Tyler Wideman Steal.,39,45
6:20,251,Foul on Mohamed Bamba.,39,45
6:01,2086,Kelan Martin made Three Point Jumper. Assisted by Kamar Baldwin.,42,45
5:44,251,Matt Coleman missed Three Point Jumper.,42,45
5:44,251,Jericho Sims Offensive Rebound.,42,45
5:44,251,Jericho Sims missed Two Point Tip Shot.,42,45
5:44,251,Mohamed Bamba Offensive Rebound.,42,45
5:36,251,Mohamed Bamba made Dunk.,42,47
5:03,2086,Kelan Martin missed Three Point Jumper.,42,47
5:03,251,Texas Defensive Rebound.,42,47
4:43,251,Dylan Osetkowski missed Jumper.,42,47
4:43,2086,Butler Defensive Rebound.,42,47
4:13,2086,Kamar Baldwin made Layup.,44,47
4:13,251,Foul on Matt Coleman.,44,47
4:13,2086,Kamar Baldwin missed Free Throw.,44,47
4:13,251,Mohamed Bamba Defensive Rebound.,44,47
3:42,251,Dylan Osetkowski made Jumper.,44,49
3:13,2086,Kamar Baldwin Turnover.,44,49
3:13,251,Kerwin Roach II Steal.,44,49
3:06,251,Official TV Timeout,44,49
2:54,251,Dylan Osetkowski made Dunk. Assisted by Matt Coleman.,44,51
2:36,2086,Aaron Thompson made Layup.,46,51
2:17,251,Dylan Osetkowski made Dunk. Assisted by Kerwin Roach II.,46,53
1:52,2086,Sean McDermott missed Three Point Jumper.,46,53
1:52,251,Kerwin Roach II Block.,46,53
1:52,251,Mohamed Bamba Defensive Rebound.,46,53
1:47,251,Kerwin Roach II made Layup. Assisted by Mohamed Bamba.,46,55
1:41,2086,Butler  Timeout,46,55
1:30,251,Foul on Kerwin Roach II.,46,55
1:22,2086,Kamar Baldwin made Layup.,48,55
1:06,2086,Foul on Kamar Baldwin.,48,55
1:01,2086,Foul on Aaron Thompson.,48,55
1:01,251,Matt Coleman made Free Throw.,48,56
1:01,251,Matt Coleman made Free Throw.,48,57
0:56,2086,Kamar Baldwin Turnover.,48,57
0:56,251,Matt Coleman Steal.,48,57
0:52,251,Matt Coleman made Dunk.,48,59
0:44,2086,Kelan Martin missed Three Point Jumper.,48,59
0:44,2086,Kamar Baldwin Offensive Rebound.,48,59
0:36,2086,Paul Jorgensen missed Three Point Jumper.,48,59
0:36,251,Matt Coleman Defensive Rebound.,48,59
0:30,2086,Foul on Sean McDermott.,48,59
0:30,251,Kerwin Roach II made Free Throw.,48,60
0:30,251,Kerwin Roach II made Free Throw.,48,61
0:20,2086,Kelan Martin missed Three Point Jumper.,48,61
0:20,251,Mohamed Bamba Defensive Rebound.,48,61
0:00,251,End of Game,48,61
