Purdue,98,Western Kentucky,2509
11:18,98,Foul on Marek Nelson.,14,23
11:18,98,Official TV Timeout,14,23
11:18,2509,Isaac Haas missed Free Throw.,14,23
11:18,2509,Purdue Deadball Team Rebound.,14,23
11:18,2509,Isaac Haas made Free Throw.,15,23
11:02,2509,Foul on Ryan Cline.,15,23
10:59,98,Darius Thompson missed Jumper.,15,23
10:59,2509,Ryan Cline Defensive Rebound.,15,23
10:50,2509,Carsen Edwards missed Jumper.,15,23
10:50,2509,Purdue Offensive Rebound.,15,23
10:44,98,Foul on Dwight Coleby.,15,23
10:44,2509,Grady Eifert missed Free Throw.,15,23
10:44,2509,Purdue Deadball Team Rebound.,15,23
10:44,2509,Grady Eifert made Free Throw.,16,23
10:27,98,Justin Johnson Turnover.,16,23
10:27,2509,Nojel Eastern Steal.,16,23
10:20,2509,Foul on Nojel Eastern.,16,23
10:20,2509,Nojel Eastern Turnover.,16,23
9:54,98,Jake Ohmer made Jumper.,16,25
9:34,2509,Isaac Haas Turnover.,16,25
9:18,2509,Foul on Ryan Cline.,16,25
9:18,98,Jake Ohmer made Free Throw.,16,26
9:18,98,Jake Ohmer made Free Throw.,16,27
9:07,2509,Isaac Haas Turnover.,16,27
9:07,98,Jake Ohmer Steal.,16,27
9:02,98,Lamonte Bearden missed Layup.,16,27
9:02,98,Justin Johnson Offensive Rebound.,16,27
8:58,98,Justin Johnson missed Layup.,16,27
8:56,2509,Isaac Haas Defensive Rebound.,16,27
8:55,98,Technical Foul on Justin Johnson.,16,27
8:55,98,Foul on Justin Johnson.,16,27
8:55,2509,Vincent Edwards made Free Throw.,18,27
8:55,2509,Vincent Edwards made Free Throw.,17,27
8:36,2509,Dakota Mathias missed Three Point Jumper.,18,27
8:36,2509,Vincent Edwards Offensive Rebound.,18,27
8:32,2509,Vincent Edwards missed Layup.,18,27
8:32,98,Marek Nelson Block.,18,27
8:32,98,Tyler Miller Defensive Rebound.,18,27
8:21,98,Justin Johnson missed Three Point Jumper.,18,27
8:21,2509,Dakota Mathias Defensive Rebound.,18,27
8:08,2509,Carsen Edwards Turnover.,18,27
7:51,98,Lamonte Bearden missed Layup.,18,27
7:51,2509,Isaac Haas Block.,18,27
7:51,98,Tyler Miller Offensive Rebound.,18,27
7:45,98,Tyler Miller made Layup.,18,29
7:27,2509,Carsen Edwards made Jumper.,20,29
6:58,2509,Foul on P.J. Thompson.,20,29
6:58,98,Official TV Timeout,20,29
6:58,98,Lamonte Bearden made Free Throw.,20,30
6:58,98,Lamonte Bearden made Free Throw.,20,31
6:46,2509,Dakota Mathias missed Three Point Jumper.,20,31
6:46,98,Marek Nelson Defensive Rebound.,20,31
6:27,98,Justin Johnson made Jumper. Assisted by Lamonte Bearden.,20,33
6:09,2509,Carsen Edwards Turnover.,20,33
5:54,98,Taveion Hollingsworth missed Jumper.,20,33
5:54,98,Taveion Hollingsworth Offensive Rebound.,20,33
5:30,98,Justin Johnson missed Three Point Jumper.,20,33
5:30,2509,Vincent Edwards Defensive Rebound.,20,33
5:26,98,Foul on Marek Nelson.,20,33
5:14,2509,P.J. Thompson made Three Point Jumper. Assisted by Carsen Edwards.,23,33
4:48,98,Marek Nelson missed Layup.,23,33
4:48,2509,Isaac Haas Defensive Rebound.,23,33
4:43,98,Foul on Darius Thompson.,23,33
4:43,2509,P.J. Thompson made Free Throw.,24,33
4:43,2509,P.J. Thompson made Free Throw.,25,33
4:26,98,Justin Johnson made Dunk. Assisted by Taveion Hollingsworth.,25,35
4:12,2509,Matt Haarms made Layup.,27,35
3:50,98,Lamonte Bearden missed Jumper.,27,35
3:50,2509,Carsen Edwards Defensive Rebound.,27,35
3:44,98,Official TV Timeout,27,35
3:33,2509,Vincent Edwards made Jumper.,29,35
3:09,98,Lamonte Bearden missed Layup.,29,35
3:09,2509,Matt Haarms Block.,29,35
3:09,2509,Matt Haarms Defensive Rebound.,29,35
2:57,2509,Vincent Edwards missed Jumper.,29,35
2:57,98,Taveion Hollingsworth Defensive Rebound.,29,35
2:36,98,Taveion Hollingsworth made Jumper.,29,37
2:26,2509,P.J. Thompson missed Three Point Jumper.,29,37
2:26,98,Justin Johnson Defensive Rebound.,29,37
2:03,2509,Foul on Matt Haarms.,29,37
2:03,98,Justin Johnson missed Free Throw.,29,37
2:03,98,Western Kentucky Deadball Team Rebound.,29,37
2:03,98,Justin Johnson missed Free Throw.,29,37
2:03,2509,Carsen Edwards Defensive Rebound.,29,37
1:42,2509,Matt Haarms missed Jumper.,29,37
1:42,98,Justin Johnson Defensive Rebound.,29,37
1:40,2509,Foul on Matt Haarms.,29,37
1:40,98,Justin Johnson missed Free Throw.,29,37
1:40,2509,Carsen Edwards Defensive Rebound.,29,37
1:27,2509,P.J. Thompson missed Jumper.,29,37
1:27,98,Justin Johnson Defensive Rebound.,29,37
1:25,2509,Foul on Isaac Haas.,29,37
1:25,98,Justin Johnson missed Free Throw.,29,37
1:25,98,Western Kentucky Deadball Team Rebound.,29,37
1:25,98,Justin Johnson missed Free Throw.,29,37
1:25,2509,Isaac Haas Defensive Rebound.,29,37
1:10,2509,Dakota Mathias missed Jumper.,29,37
1:10,98,Western Kentucky Defensive Rebound.,29,37
1:04,98,Western Kentucky  Timeout,29,37
0:54,98,Darius Thompson made Layup. Assisted by Lamonte Bearden.,29,39
0:38,2509,Isaac Haas made Jumper. Assisted by Dakota Mathias.,31,39
0:05,98,Jake Ohmer made Three Point Jumper. Assisted by Lamonte Bearden.,31,42
0:01,2509,Vincent Edwards Turnover.,31,42
0:01,98,Lamonte Bearden Steal.,31,42
0:00,98,End of 1st half,31,42
20:00,2509,Jump Ball won by Purdue,31,42
19:50,2509,P.J. Thompson Turnover.,31,42
19:50,98,Lamonte Bearden Steal.,31,42
19:45,98,Lamonte Bearden Turnover.,31,42
19:33,98,Foul on Dwight Coleby.,31,42
19:33,2509,Isaac Haas made Free Throw.,32,42
19:33,2509,Isaac Haas made Free Throw.,33,42
19:17,98,Darius Thompson missed Jumper.,33,42
19:17,2509,Vincent Edwards Defensive Rebound.,33,42
19:08,2509,P.J. Thompson made Three Point Jumper. Assisted by Vincent Edwards.,36,42
18:49,2509,Foul on Carsen Edwards.,36,42
18:49,98,Taveion Hollingsworth made Free Throw.,36,43
18:49,98,Taveion Hollingsworth made Free Throw.,36,44
18:38,2509,Isaac Haas made Layup. Assisted by Dakota Mathias.,38,44
18:19,2509,Foul on Dakota Mathias.,38,44
18:13,98,Lamonte Bearden made Jumper.,38,46
17:55,2509,Carsen Edwards Turnover.,38,46
17:36,98,Justin Johnson missed Jumper.,38,46
17:36,98,Dwight Coleby Offensive Rebound.,38,46
17:31,98,Darius Thompson missed Three Point Jumper.,38,46
17:31,98,Dwight Coleby Offensive Rebound.,38,46
17:26,98,Dwight Coleby made Dunk.,38,48
17:20,2509,Vincent Edwards missed Three Point Jumper.,38,48
17:20,2509,Carsen Edwards Offensive Rebound.,38,48
17:15,2509,Carsen Edwards made Layup.,40,48
16:53,98,Lamonte Bearden Turnover.,40,48
16:53,2509,Carsen Edwards Steal.,40,48
16:45,2509,Carsen Edwards Turnover.,40,48
16:45,98,Taveion Hollingsworth Steal.,40,48
16:31,2509,Foul on Vincent Edwards.,40,48
16:25,98,Darius Thompson missed Jumper.,40,48
16:25,2509,Ryan Cline Defensive Rebound.,40,48
16:05,2509,Isaac Haas made Jumper. Assisted by Dakota Mathias.,42,48
15:37,98,Taveion Hollingsworth Turnover.,42,48
15:37,98,Official TV Timeout,42,48
15:17,2509,Vincent Edwards missed Three Point Jumper.,42,48
15:17,98,Western Kentucky Defensive Rebound.,42,48
14:55,98,Justin Johnson missed Layup.,42,48
14:55,2509,Isaac Haas Block.,42,48
14:55,98,Justin Johnson Offensive Rebound.,42,48
14:50,98,Justin Johnson made Layup.,42,50
14:33,2509,Isaac Haas made Jumper. Assisted by Vincent Edwards.,44,50
14:09,2509,Foul on Isaac Haas.,44,50
14:09,98,Lamonte Bearden made Free Throw.,44,51
14:09,98,Lamonte Bearden made Free Throw.,44,52
13:54,2509,P.J. Thompson made Three Point Jumper. Assisted by Vincent Edwards.,47,52
13:28,98,Taveion Hollingsworth missed Three Point Jumper.,47,52
13:28,2509,Vincent Edwards Defensive Rebound.,47,52
13:20,2509,P.J. Thompson missed Three Point Jumper.,47,52
13:20,98,Taveion Hollingsworth Defensive Rebound.,47,52
12:52,98,Justin Johnson missed Three Point Jumper.,47,52
12:52,2509,Purdue Defensive Rebound.,47,52
12:40,2509,P.J. Thompson missed Three Point Jumper.,47,52
12:40,98,Marek Nelson Defensive Rebound.,47,52
12:20,98,Justin Johnson made Dunk. Assisted by Darius Thompson.,47,54
12:03,2509,Purdue  Timeout,47,54
12:03,98,Official TV Timeout,47,54
11:51,2509,Dakota Mathias missed Three Point Jumper.,47,54
11:51,2509,Purdue Offensive Rebound.,47,54
11:47,98,Official TV Timeout,47,54
11:47,98,Foul on Marek Nelson.,47,54
11:38,2509,Ryan Cline made Three Point Jumper. Assisted by Dakota Mathias.,50,54
11:05,98,Taveion Hollingsworth missed Jumper.,50,54
11:05,98,Dwight Coleby Offensive Rebound.,50,54
10:58,98,Taveion Hollingsworth made Jumper.,50,56
10:30,2509,Ryan Cline missed Three Point Jumper.,50,56
10:30,98,Taveion Hollingsworth Defensive Rebound.,50,56
10:15,98,Jake Ohmer missed Jumper.,50,56
10:15,2509,Ryan Cline Defensive Rebound.,50,56
10:08,98,Foul on Darius Thompson.,50,56
10:08,2509,Dakota Mathias made Free Throw.,51,56
10:08,2509,Dakota Mathias made Free Throw.,52,56
9:51,98,Taveion Hollingsworth missed Jumper.,52,56
9:51,2509,Isaac Haas Defensive Rebound.,52,56
9:47,98,Foul on Dwight Coleby.,52,56
9:38,2509,Carsen Edwards missed Three Point Jumper.,52,56
9:38,2509,Vincent Edwards Offensive Rebound.,52,56
9:33,2509,Vincent Edwards missed Layup.,52,56
9:33,98,Justin Johnson Defensive Rebound.,52,56
9:07,98,Marek Nelson missed Layup.,52,56
9:07,2509,Ryan Cline Defensive Rebound.,52,56
8:59,2509,Carsen Edwards missed Dunk.,52,56
8:59,98,Lamonte Bearden Defensive Rebound.,52,56
8:52,98,Jake Ohmer made Layup. Assisted by Lamonte Bearden.,52,58
8:41,2509,Foul on Isaac Haas.,52,58
8:41,2509,Isaac Haas Turnover.,52,58
8:25,98,Marek Nelson made Layup. Assisted by Taveion Hollingsworth.,52,60
8:06,2509,Ryan Cline Turnover.,52,60
8:06,98,Jake Ohmer Steal.,52,60
8:02,98,Jake Ohmer Turnover.,52,60
8:02,2509,P.J. Thompson Steal.,52,60
7:54,2509,Foul on Carsen Edwards.,52,60
7:54,2509,Carsen Edwards Turnover.,52,60
7:54,98,Official TV Timeout,52,60
7:38,98,Darius Thompson Turnover.,52,60
7:38,2509,Carsen Edwards Steal.,52,60
7:22,2509,Carsen Edwards made Jumper. Assisted by Isaac Haas.,54,60
6:59,98,Justin Johnson made Layup.,54,62
6:42,98,Foul on Justin Johnson.,54,62
6:40,2509,Dakota Mathias missed Jumper.,54,62
6:40,98,Lamonte Bearden Defensive Rebound.,54,62
6:38,2509,Foul on Isaac Haas.,54,62
6:38,98,Lamonte Bearden missed Free Throw.,54,62
6:38,2509,Isaac Haas Defensive Rebound.,54,62
6:27,98,Foul on Justin Johnson.,54,62
6:27,2509,Isaac Haas made Free Throw.,55,62
6:27,2509,Isaac Haas made Free Throw.,56,62
6:04,98,Jake Ohmer Turnover.,56,62
5:46,2509,Carsen Edwards missed Three Point Jumper.,56,62
5:46,98,Justin Johnson Defensive Rebound.,56,62
5:31,98,Western Kentucky  Timeout,56,62
5:12,98,Taveion Hollingsworth Turnover.,56,62
5:02,2509,Carsen Edwards Turnover.,56,62
5:02,98,Darius Thompson Steal.,56,62
4:56,98,Darius Thompson made Dunk.,56,64
4:42,2509,Vincent Edwards made Layup.,58,64
4:18,98,Lamonte Bearden Turnover.,58,64
4:18,2509,Dakota Mathias Steal.,58,64
4:05,2509,Vincent Edwards made Layup.,60,64
3:47,2509,Foul on Dakota Mathias.,60,64
3:47,98,Official TV Timeout,60,64
3:47,98,Darius Thompson made Free Throw.,60,65
3:47,98,Darius Thompson made Free Throw.,60,66
3:38,2509,Vincent Edwards made Layup. Assisted by Dakota Mathias.,62,66
3:13,98,Darius Thompson made Jumper.,62,68
2:52,2509,Dakota Mathias made Three Point Jumper. Assisted by Isaac Haas.,65,68
2:28,98,Darius Thompson missed Three Point Jumper.,65,68
2:28,98,Lamonte Bearden Offensive Rebound.,65,68
2:25,2509,Foul on P.J. Thompson.,65,68
2:25,98,Lamonte Bearden made Free Throw.,65,69
2:25,98,Lamonte Bearden made Free Throw.,65,70
2:07,2509,Isaac Haas made Jumper.,67,70
1:44,98,Dwight Coleby made Dunk. Assisted by Justin Johnson.,67,72
1:43,98,Western Kentucky  Timeout,67,72
1:33,2509,P.J. Thompson missed Three Point Jumper.,67,72
1:33,98,Darius Thompson Defensive Rebound.,67,72
1:04,98,Taveion Hollingsworth missed Jumper.,67,72
1:04,2509,Dakota Mathias Defensive Rebound.,67,72
0:50,98,Foul on Darius Thompson.,67,72
0:50,2509,Isaac Haas made Free Throw.,68,72
0:50,2509,Isaac Haas made Free Throw.,69,72
0:22,98,Justin Johnson made Layup.,69,74
0:21,98,Western Kentucky  Timeout,69,74
0:15,98,Foul on Darius Thompson.,69,74
0:15,2509,Isaac Haas made Free Throw.,70,74
0:15,2509,Isaac Haas missed Free Throw.,70,74
0:15,98,Taveion Hollingsworth Defensive Rebound.,70,74
0:14,2509,Foul on P.J. Thompson.,70,74
0:14,98,Taveion Hollingsworth made Free Throw.,70,75
0:14,98,Taveion Hollingsworth missed Free Throw.,70,75
0:14,2509,Ryan Cline Defensive Rebound.,70,75
0:09,2509,P.J. Thompson made Three Point Jumper. Assisted by Dakota Mathias.,73,75
0:06,2509,Purdue  Timeout,73,75
0:05,2509,Foul on Dakota Mathias.,73,75
0:05,2509,Purdue  Timeout,73,75
0:05,98,Darius Thompson made Free Throw.,73,76
0:05,98,Darius Thompson made Free Throw.,73,77
0:02,2509,Isaac Haas missed Layup.,73,77
0:02,2509,Vincent Edwards Offensive Rebound.,73,77
0:01,2509,Vincent Edwards missed Layup.,73,77
0:01,98,Justin Johnson Block.,73,77
0:01,98,Marek Nelson Defensive Rebound.,73,77
0:00,98,End of Game,73,77
