Chicago State,2378,UMBC,2130
3:48,2378,Daniel Akin made Layup. Assisted by K.J. Maura.,30,38
3:34,2130,Rob Shaw missed Jumper.,30,38
3:34,2378,Jourdan Grant Defensive Rebound.,30,38
3:25,2378,Joe Sherburne made Three Point Jumper. Assisted by K.J. Maura.,30,41
3:24,2130,Chicago State  Timeout,30,41
3:24,2378,Official TV Timeout,30,41
3:05,2130,Cameron Bowles Turnover.,30,41
2:39,2378,K.J. Maura missed Jumper.,30,41
2:39,2378,UMBC Offensive Rebound.,30,41
2:38,2130,Foul on Cameron Bowles.,30,41
2:38,2378,Daniel Akin missed Free Throw.,30,41
2:38,2378,UMBC Deadball Team Rebound.,30,41
2:38,2378,Daniel Akin missed Free Throw.,30,41
2:38,2130,Patrick Szpir Defensive Rebound.,30,41
2:38,2130,Patrick Szpir Turnover.,30,41
2:37,2378,K.J. Maura Steal.,30,41
2:22,2378,Daniel Akin Turnover.,30,41
2:06,2378,Foul on Joe Sherburne.,30,41
2:06,2130,Simeon Henton made Free Throw.,31,41
2:06,2130,Simeon Henton made Free Throw.,32,41
1:54,2378,Arkel Lamar missed Jumper.,32,41
1:54,2130,Travon Bell Defensive Rebound.,32,41
1:35,2378,Foul on Arkel Lamar.,32,41
1:35,2130,Fred Sims Jr. made Free Throw.,33,41
1:35,2130,Fred Sims Jr. made Free Throw.,34,41
1:16,2378,Jourdan Grant missed Three Point Jumper.,34,41
1:16,2130,Travon Bell Defensive Rebound.,34,41
1:04,2130,Anthony Harris missed Layup.,34,41
1:04,2130,Anthony Harris Offensive Rebound.,34,41
1:01,2130,Anthony Harris missed Layup.,34,41
1:01,2378,Brandon Horvath Block.,34,41
1:00,2378,K.J. Maura Defensive Rebound.,34,41
0:54,2378,Jairus Lyles made Three Point Jumper. Assisted by Brandon Horvath.,34,44
0:44,2130,Foul on Patrick Szpir.,34,44
0:44,2130,Patrick Szpir Turnover.,34,44
0:31,2378,Jairus Lyles missed Three Point Jumper.,34,44
0:31,2130,Patrick Szpir Defensive Rebound.,34,44
0:04,2130,Patrick Szpir made Layup.,36,44
0:01,2378,Jairus Lyles Turnover.,36,44
0:00,2378,End of 1st half,36,44
19:50,2378,Arkel Lamar made Three Point Jumper. Assisted by Jairus Lyles.,36,47
19:37,2130,Fred Sims Jr. Turnover.,36,47
19:34,2378,Nolan Gerrity Steal.,36,47
19:19,2378,Jairus Lyles Turnover.,36,47
19:18,2130,Glen Burns Steal.,36,47
19:13,2130,Anthony Harris made Layup.,38,47
18:58,2378,Max Curran missed Three Point Jumper.,38,47
18:58,2130,Fred Sims Jr. Defensive Rebound.,38,47
18:47,2130,Fred Sims Jr. Turnover.,38,47
18:45,2378,Jairus Lyles Steal.,38,47
18:42,2378,Jairus Lyles missed Layup.,38,47
18:42,2378,Nolan Gerrity Offensive Rebound.,38,47
18:32,2378,Jourdan Grant made Layup. Assisted by Nolan Gerrity.,38,49
18:07,2130,Fred Sims Jr. missed Three Point Jumper.,38,49
18:07,2378,Arkel Lamar Defensive Rebound.,38,49
17:54,2378,Jourdan Grant missed Layup.,38,49
17:54,2130,Fred Sims Jr. Defensive Rebound.,38,49
17:46,2130,Anthony Harris made Layup. Assisted by Fred Sims Jr..,40,49
17:31,2130,Chicago State  Timeout,40,49
17:19,2130,Foul on Anthony Harris.,40,49
17:19,2378,Max Curran made Free Throw.,40,50
17:19,2378,Max Curran made Free Throw.,40,51
16:54,2130,Travon Bell missed Three Point Jumper.,40,51
16:54,2378,Jairus Lyles Defensive Rebound.,40,51
16:46,2378,Arkel Lamar made Three Point Jumper. Assisted by Jourdan Grant.,40,54
16:21,2130,Travon Bell made Three Point Jumper. Assisted by Jelani Pruitt.,43,54
16:09,2378,Foul on Max Curran.,43,54
16:09,2378,Max Curran Turnover.,43,54
15:59,2130,Anthony Harris made Layup.,45,54
15:49,2130,Foul on Anthony Harris.,45,54
15:49,2378,Official TV Timeout,45,54
15:41,2378,Joe Sherburne missed Three Point Jumper.,45,54
15:41,2130,Travon Bell Defensive Rebound.,45,54
15:33,2378,Foul on Arkel Lamar.,45,54
15:27,2130,Travon Bell missed Three Point Jumper.,45,54
15:27,2378,Joe Sherburne Defensive Rebound.,45,54
14:51,2378,Arkel Lamar made Jumper.,45,56
14:39,2378,Foul on Nolan Gerrity.,45,56
14:25,2130,Deionte Simmons missed Jumper.,45,56
14:25,2378,Max Portmann Defensive Rebound.,45,56
14:15,2378,Max Portmann made Jumper. Assisted by Jourdan Grant.,45,58
14:06,2130,Glen Burns Turnover.,45,58
13:59,2378,Arkel Lamar made Three Point Jumper. Assisted by Max Portmann.,45,61
13:14,2378,Foul on Max Portmann.,45,61
12:57,2378,Foul on Jourdan Grant.,45,61
12:57,2130,Anthony Harris made Free Throw.,46,61
12:57,2130,Anthony Harris made Free Throw.,47,61
12:26,2378,Joe Sherburne missed Layup.,47,61
12:26,2130,Jelani Pruitt Defensive Rebound.,47,61
12:23,2130,Jelani Pruitt Turnover.,47,61
12:15,2378,Jairus Lyles missed Three Point Jumper.,47,61
12:14,2130,Deionte Simmons Defensive Rebound.,47,61
12:13,2130,Glen Burns made Layup.,49,61
12:13,2378,Foul on Max Portmann.,49,61
12:13,2130,Glen Burns made Free Throw.,50,61
11:42,2378,Jairus Lyles made Layup.,50,63
11:34,2378,Foul on Arkel Lamar.,50,63
11:34,2378,Official TV Timeout,50,63
11:34,2130,Jelani Pruitt made Free Throw.,51,63
11:34,2130,Glen Burns missed Free Throw.,51,63
11:34,2378,Brandon Horvath Defensive Rebound.,51,63
11:07,2378,Joe Sherburne missed Three Point Jumper.,51,63
11:07,2378,Brandon Horvath Offensive Rebound.,51,63
11:06,2130,Foul on Anthony Harris.,51,63
10:51,2378,Jairus Lyles missed Layup.,51,63
10:51,2130,Jelani Pruitt Defensive Rebound.,51,63
10:34,2130,Jelani Pruitt missed Layup.,51,63
10:34,2378,Jairus Lyles Block.,51,63
10:31,2378,K.J. Maura Defensive Rebound.,51,63
10:15,2378,Daniel Akin missed Layup.,51,63
10:15,2378,Daniel Akin Offensive Rebound.,51,63
10:14,2130,Foul on Patrick Szpir.,51,63
10:07,2378,K.J. Maura Turnover.,51,63
10:06,2130,Travon Bell Steal.,51,63
9:58,2130,Travon Bell made Three Point Jumper. Assisted by Anthony Harris.,54,63
9:30,2378,K.J. Maura missed Three Point Jumper.,54,63
9:30,2130,Glen Burns Defensive Rebound.,54,63
9:07,2130,Anthony Harris Turnover.,54,63
8:38,2130,Foul on Montana Byrd.,54,63
8:36,2378,Joe Sherburne made Three Point Jumper. Assisted by Jourdan Grant.,54,66
7:59,2130,Chicago State  Turnover.,54,66
7:59,2378,Official TV Timeout,54,66
7:44,2378,Jourdan Grant Turnover.,54,66
7:43,2130,Travon Bell Steal.,54,66
7:23,2130,Glen Burns missed Layup.,54,66
7:23,2130,Patrick Szpir Offensive Rebound.,54,66
7:19,2130,Patrick Szpir missed Layup.,54,66
7:19,2378,Max Portmann Defensive Rebound.,54,66
6:57,2378,Joe Sherburne made Three Point Jumper. Assisted by Jourdan Grant.,54,69
6:40,2130,Travon Bell missed Three Point Jumper.,54,69
6:40,2130,Chicago State Offensive Rebound.,54,69
6:23,2130,Travon Bell Turnover.,54,69
6:22,2378,Joe Sherburne Steal.,54,69
6:03,2378,Max Portmann made Layup. Assisted by Jourdan Grant.,54,71
5:41,2130,Fred Sims Jr. missed Layup.,54,71
5:41,2378,Jourdan Grant Defensive Rebound.,54,71
5:32,2378,Joe Sherburne missed Three Point Jumper.,54,71
5:32,2130,Glen Burns Defensive Rebound.,54,71
5:18,2130,Glen Burns made Layup.,56,71
4:54,2378,Jairus Lyles made Three Point Jumper. Assisted by K.J. Maura.,56,74
4:30,2130,Deionte Simmons made Layup. Assisted by Glen Burns.,58,74
4:30,2378,Foul on K.J. Maura.,58,74
4:30,2130,Deionte Simmons made Free Throw.,59,74
4:04,2378,Nolan Gerrity made Layup. Assisted by K.J. Maura.,59,76
3:49,2130,Jelani Pruitt missed Layup.,59,76
3:49,2130,Deionte Simmons Offensive Rebound.,59,76
3:45,2130,Deionte Simmons made Layup.,61,76
3:30,2378,Jourdan Grant made Three Point Jumper. Assisted by K.J. Maura.,61,79
3:17,2130,Jelani Pruitt missed Jumper.,61,79
3:17,2378,Jairus Lyles Defensive Rebound.,61,79
2:51,2130,Foul on Fred Sims Jr..,61,79
2:51,2378,Official TV Timeout,61,79
2:42,2378,Nolan Gerrity missed Layup.,61,79
2:42,2130,Fred Sims Jr. Defensive Rebound.,61,79
2:20,2130,Glen Burns made Layup.,63,79
1:54,2130,Foul on Deionte Simmons.,63,79
1:54,2378,Nolan Gerrity made Free Throw.,63,80
1:54,2378,Nolan Gerrity missed Free Throw.,63,80
1:54,2130,Jelani Pruitt Defensive Rebound.,63,80
1:48,2130,Rob Shaw Turnover.,63,80
1:46,2378,Jourdan Grant Steal.,63,80
1:43,2378,Jourdan Grant missed Layup.,63,80
1:43,2130,Glen Burns Defensive Rebound.,63,80
1:38,2130,Jelani Pruitt made Layup. Assisted by Glen Burns.,65,80
1:28,2378,Josh Rosario missed Three Point Jumper.,65,80
1:28,2130,Jelani Pruitt Defensive Rebound.,65,80
1:21,2378,Foul on Jourdan Grant.,65,80
1:21,2130,Jelani Pruitt made Free Throw.,66,80
1:21,2130,Jelani Pruitt made Free Throw.,67,80
0:59,2378,Brandon Horvath missed Three Point Jumper.,67,80
0:59,2130,Jelani Pruitt Defensive Rebound.,67,80
0:48,2130,Deionte Simmons made Dunk. Assisted by Glen Burns.,69,80
0:48,2130,Chicago State  Timeout,69,80
0:46,2130,Foul on Anthony Harris.,69,80
0:46,2378,Ishmail Jabbie missed Free Throw.,69,80
0:46,2378,UMBC Offensive Rebound.,69,80
0:44,2378,Ishmail Jabbie Turnover.,69,80
0:44,2130,Jelani Pruitt Steal.,69,80
0:44,2130,Jelani Pruitt Turnover.,69,80
0:42,2378,UMBC  Timeout,69,80
0:41,2130,Foul on Glen Burns.,69,80
0:41,2378,Josh Rosario made Free Throw.,69,81
0:41,2378,Josh Rosario missed Free Throw.,69,81
0:41,2130,Jelani Pruitt Defensive Rebound.,69,81
0:28,2130,Fred Sims Jr. missed Jumper.,69,81
0:28,2130,Fred Sims Jr. Offensive Rebound.,69,81
0:25,2130,Fred Sims Jr. missed Layup.,69,81
0:25,2130,Glen Burns Offensive Rebound.,69,81
0:22,2130,Glen Burns made Layup.,71,81
0:22,2378,Foul on Josh Rosario.,71,81
0:22,2130,Chicago State  Turnover.,71,81
0:21,2130,Foul on Fred Sims Jr..,71,81
0:21,2378,K.J. Maura made Free Throw.,71,82
0:21,2378,K.J. Maura missed Free Throw.,71,82
0:21,2130,Deionte Simmons Defensive Rebound.,71,82
0:15,2130,Fred Sims Jr. missed Layup.,71,82
0:15,2130,Glen Burns Offensive Rebound.,71,82
0:11,2130,Glen Burns made Layup.,73,82
0:06,2130,Foul on Fred Sims Jr..,73,82
0:06,2378,Josh Rosario made Free Throw.,73,83
0:06,2378,Josh Rosario made Free Throw.,73,84
0:02,2130,Jelani Pruitt Turnover.,73,84
0:01,2378,K.J. Maura Steal.,73,84
0:00,2378,End of Game,73,84
