Portland St,150,Duke,2502
1:57,2502,Deante Strickland missed Jumper.,42,42
1:57,2502,Brandon Hollins Offensive Rebound.,42,42
1:36,2502,Holland Woods missed Three Point Jumper.,42,42
1:36,150,Duke Defensive Rebound.,42,42
1:26,150,Marvin Bagley III missed Jumper.,42,42
1:26,2502,Bryce Canda Defensive Rebound.,42,42
1:03,150,Foul on Marques Bolden.,42,42
1:03,2502,Michael Mayhew made Free Throw.,43,42
1:03,2502,Michael Mayhew made Free Throw.,44,42
0:54,150,Grayson Allen missed Three Point Jumper.,44,42
0:54,2502,Portland State Defensive Rebound.,44,42
0:49,150,Foul on Wendell Carter Jr.,44,42
0:49,2502,Brendan Rumel made Free Throw.,45,42
0:49,2502,Brendan Rumel made Free Throw.,46,42
0:32,150,Wendell Carter Jr made Layup. Assisted by Grayson Allen.,46,44
0:32,2502,Foul on Brendan Rumel.,46,44
0:32,150,Wendell Carter Jr made Free Throw.,46,45
0:07,2502,Michael Mayhew made Three Point Jumper. Assisted by Deontae North.,49,45
0:04,150,Duke  Timeout,49,45
0:01,150,Trevon Duval missed Layup.,49,45
0:01,150,Duke Deadball Team Rebound.,49,45
0:00,150,End of 1st half,49,45
20:00,2502,Jump Ball won by Portland State,49,45
19:53,2502,Traylin Farris made Layup. Assisted by Deante Strickland.,51,45
19:33,150,Foul on Trevon Duval.,51,45
19:33,150,Trevon Duval Turnover.,51,45
19:10,2502,Ryan Edwards Turnover.,51,45
19:10,2502,Foul on Ryan Edwards.,51,45
18:48,150,Marques Bolden missed Layup.,51,45
18:48,150,Marques Bolden Offensive Rebound.,51,45
18:39,150,Marques Bolden missed Layup.,51,45
18:39,2502,Michael Mayhew Defensive Rebound.,51,45
18:39,2502,Deante Strickland Turnover.,51,45
18:08,150,Marvin Bagley III missed Layup.,51,45
18:08,150,Marvin Bagley III Offensive Rebound.,51,45
18:08,150,Marvin Bagley III made Two Point Tip Shot.,51,47
17:38,2502,Ryan Edwards missed Jumper.,51,47
17:38,150,Marques Bolden Block.,51,47
17:38,2502,Portland State Offensive Rebound.,51,47
17:16,2502,Michael Mayhew missed Three Point Jumper.,51,47
17:16,2502,Deante Strickland Offensive Rebound.,51,47
17:10,2502,Deontae North made Layup. Assisted by Michael Mayhew.,53,47
17:01,150,Grayson Allen missed Three Point Jumper.,53,47
17:01,150,Marvin Bagley III Offensive Rebound.,53,47
17:01,150,Marvin Bagley III missed Two Point Tip Shot.,53,47
17:01,150,Marvin Bagley III Offensive Rebound.,53,47
17:01,150,Marvin Bagley III made Two Point Tip Shot.,53,49
17:01,2502,Foul on Traylin Farris.,53,49
17:01,150,Marvin Bagley III missed Free Throw.,53,49
17:01,2502,Traylin Farris Defensive Rebound.,53,49
16:45,2502,Michael Mayhew missed Three Point Jumper.,53,49
16:45,2502,Bryce Canda Offensive Rebound.,53,49
16:45,2502,Michael Mayhew missed Jumper.,53,49
16:45,2502,Deontae North Offensive Rebound.,53,49
16:33,2502,Deontae North missed Jumper.,53,49
16:33,150,Wendell Carter Jr Block.,53,49
16:33,150,Wendell Carter Jr Defensive Rebound.,53,49
16:20,150,Gary Trent Jr made Three Point Jumper. Assisted by Trevon Duval.,53,52
16:04,2502,Deante Strickland missed Three Point Jumper.,53,52
16:04,150,Duke Defensive Rebound.,53,52
16:01,2502,Foul on Michael Mayhew.,53,52
15:40,150,Wendell Carter Jr made Layup.,53,54
15:17,2502,Deontae North made Jumper. Assisted by Holland Woods.,55,54
15:14,2502,Portland State  Timeout,55,54
14:46,150,Gary Trent Jr missed Three Point Jumper.,55,54
14:46,2502,Holland Woods Defensive Rebound.,55,54
14:37,2502,Bryce Canda made Three Point Jumper. Assisted by Deontae North.,58,54
14:36,150,Trevon Duval made Layup.,58,56
14:36,2502,Foul on Brandon Hollins.,58,56
14:36,150,Official TV Timeout,58,56
14:36,150,Trevon Duval made Free Throw.,58,57
14:33,2502,Holland Woods Turnover.,58,57
14:33,150,Trevon Duval Steal.,58,57
14:31,2502,Foul on Holland Woods.,58,57
14:31,150,Trevon Duval made Free Throw.,58,58
14:31,150,Trevon Duval made Free Throw.,58,59
14:15,2502,Traylin Farris missed Jumper.,58,59
14:15,2502,Traylin Farris Offensive Rebound.,58,59
14:15,2502,Traylin Farris made Two Point Tip Shot.,60,59
14:03,150,Trevon Duval missed Dunk.,60,59
14:03,150,Wendell Carter Jr Offensive Rebound.,60,59
13:53,150,Wendell Carter Jr made Layup. Assisted by Gary Trent Jr.,60,61
13:45,2502,Michael Mayhew missed Three Point Jumper.,60,61
13:45,150,Marvin Bagley III Defensive Rebound.,60,61
13:42,2502,Foul on Deontae North.,60,61
13:25,150,Gary Trent Jr missed Three Point Jumper.,60,61
13:25,150,Marvin Bagley III Offensive Rebound.,60,61
13:25,150,Marvin Bagley III made Two Point Tip Shot.,60,63
13:15,150,Foul on Gary Trent Jr.,60,63
13:01,2502,Deontae North missed Jumper.,60,63
13:01,150,Wendell Carter Jr Defensive Rebound.,60,63
12:58,2502,Technical Foul on Deontae North.,60,63
12:58,2502,Foul on Deontae North.,60,63
12:58,150,Grayson Allen made Free Throw.,60,64
12:58,150,Grayson Allen made Free Throw.,60,65
12:22,150,Trevon Duval missed Layup.,60,65
12:22,150,Wendell Carter Jr Offensive Rebound.,60,65
12:15,150,Wendell Carter Jr made Dunk. Assisted by Grayson Allen.,60,67
12:03,2502,Bryce Canda made Layup. Assisted by Jamie Orme.,62,67
11:55,150,Foul on Trevon Duval.,62,67
11:55,150,Trevon Duval Turnover.,62,67
11:55,150,Official TV Timeout,62,67
11:43,2502,Michael Mayhew missed Three Point Jumper.,62,67
11:43,150,Marvin Bagley III Defensive Rebound.,62,67
11:28,150,Wendell Carter Jr made Layup. Assisted by Grayson Allen.,62,69
11:28,2502,Foul on Jamie Orme.,62,69
11:28,150,Wendell Carter Jr made Free Throw.,62,70
11:13,2502,Bryce Canda missed Three Point Jumper.,62,70
11:13,150,Marvin Bagley III Defensive Rebound.,62,70
11:10,2502,Foul on Michael Mayhew.,62,70
11:10,150,Marvin Bagley III missed Free Throw.,62,70
11:10,2502,Bryce Canda Defensive Rebound.,62,70
11:07,2502,Deante Strickland made Three Point Jumper. Assisted by Bryce Canda.,65,70
10:55,150,Wendell Carter Jr missed Layup.,65,70
10:55,2502,Bryce Canda Defensive Rebound.,65,70
10:32,2502,Bryce Canda made Layup. Assisted by Deante Strickland.,67,70
10:16,150,Trevon Duval missed Three Point Jumper.,67,70
10:16,150,Duke Offensive Rebound.,67,70
10:08,2502,Foul on Traylin Farris.,67,70
10:08,150,Marvin Bagley III made Free Throw.,67,71
10:08,150,Marvin Bagley III made Free Throw.,67,72
10:03,2502,Holland Woods missed Three Point Jumper.,67,72
10:03,2502,Ryan Edwards Offensive Rebound.,67,72
10:03,2502,Ryan Edwards missed Two Point Tip Shot.,67,72
10:03,150,Wendell Carter Jr Block.,67,72
10:03,2502,Holland Woods Offensive Rebound.,67,72
10:03,2502,Ryan Edwards missed Two Point Tip Shot.,67,72
10:03,2502,Ryan Edwards Offensive Rebound.,67,72
9:32,2502,Deante Strickland missed Three Point Jumper.,67,72
9:32,150,Wendell Carter Jr Defensive Rebound.,67,72
9:24,150,Marvin Bagley III missed Three Point Jumper.,67,72
9:24,150,Marvin Bagley III Offensive Rebound.,67,72
9:11,2502,Foul on Ryan Edwards.,67,72
9:11,150,Gary Trent Jr made Free Throw.,67,73
9:11,150,Gary Trent Jr made Free Throw.,67,74
8:42,2502,Bryce Canda made Jumper. Assisted by Holland Woods.,69,74
8:38,2502,Technical Foul on Deontae North.,69,74
8:38,2502,Foul on Deontae North.,69,74
8:38,150,Grayson Allen made Free Throw.,69,75
8:38,150,Grayson Allen missed Free Throw.,69,75
8:18,150,Wendell Carter Jr made Dunk. Assisted by Grayson Allen.,69,77
7:46,2502,Deante Strickland missed Three Point Jumper.,69,77
7:46,150,Wendell Carter Jr Defensive Rebound.,69,77
7:35,150,Grayson Allen Turnover.,69,77
7:35,2502,Ryan Edwards Steal.,69,77
7:24,2502,Portland State  Timeout,69,77
7:24,150,Official TV Timeout,69,77
7:22,2502,Ryan Edwards Turnover.,69,77
7:22,150,Trevon Duval Steal.,69,77
7:18,150,Trevon Duval made Dunk.,69,79
6:51,2502,Michael Mayhew missed Three Point Jumper.,69,79
6:51,150,Grayson Allen Defensive Rebound.,69,79
6:35,2502,Foul on Michael Mayhew.,69,79
6:35,150,Trevon Duval made Free Throw.,69,80
6:35,150,Trevon Duval missed Free Throw.,69,80
6:35,2502,Portland State Defensive Rebound.,69,80
6:23,150,Foul on Grayson Allen.,69,80
6:16,2502,Bryce Canda missed Three Point Jumper.,69,80
6:16,150,Wendell Carter Jr Defensive Rebound.,69,80
6:02,2502,Foul on Brandon Hollins.,69,80
6:02,150,Grayson Allen made Free Throw.,69,81
6:02,150,Grayson Allen made Free Throw.,69,82
5:43,2502,Holland Woods made Three Point Jumper.,72,82
5:27,2502,Foul on Deante Strickland.,72,82
5:27,150,Trevon Duval made Free Throw.,72,83
5:27,150,Trevon Duval made Free Throw.,72,84
5:00,2502,Holland Woods Turnover.,72,84
4:51,150,Marvin Bagley III Turnover.,72,84
4:44,2502,Deante Strickland missed Jumper.,72,84
4:44,150,Marvin Bagley III Defensive Rebound.,72,84
4:33,150,Wendell Carter Jr made Layup. Assisted by Grayson Allen.,72,86
4:12,2502,Bryce Canda missed Three Point Jumper.,72,86
4:12,150,Wendell Carter Jr Defensive Rebound.,72,86
4:03,150,Marvin Bagley III Turnover.,72,86
4:03,2502,Bryce Canda Steal.,72,86
4:02,150,Foul on Wendell Carter Jr.,72,86
4:02,2502,Bryce Canda missed Free Throw.,72,86
4:02,2502,Portland State Deadball Team Rebound.,72,86
4:02,2502,Bryce Canda made Free Throw.,73,86
3:44,150,Trevon Duval made Layup. Assisted by Wendell Carter Jr.,73,88
3:36,150,Foul on Grayson Allen.,73,88
3:36,150,Official TV Timeout,73,88
3:32,150,Foul on Marvin Bagley III.,73,88
3:32,2502,Deante Strickland missed Free Throw.,73,88
3:32,150,Duke Defensive Rebound.,73,88
3:31,150,Marvin Bagley III Turnover.,73,88
3:31,150,Duke  Timeout,73,88
3:20,2502,Bryce Canda missed Jumper.,73,88
3:20,150,Wendell Carter Jr Defensive Rebound.,73,88
3:07,150,Trevon Duval made Layup.,73,90
3:00,2502,Holland Woods missed Three Point Jumper.,73,90
3:00,150,Wendell Carter Jr Defensive Rebound.,73,90
2:52,150,Trevon Duval missed Layup.,73,90
2:52,2502,Brandon Hollins Defensive Rebound.,73,90
2:38,2502,Brandon Hollins made Layup.,75,90
2:19,2502,Foul on Traylin Farris.,75,90
2:19,2502,Technical Foul on Bryce Canda.,75,90
2:19,2502,Foul on Bryce Canda.,75,90
2:19,150,Technical Foul on Grayson Allen.,75,90
2:19,150,Foul on Grayson Allen.,75,90
2:19,150,Grayson Allen made Free Throw.,75,91
2:19,150,Grayson Allen made Free Throw.,75,92
1:56,2502,Deante Strickland missed Jumper.,75,92
1:56,2502,Portland State Offensive Rebound.,75,92
1:48,2502,Holland Woods made Three Point Jumper. Assisted by Deante Strickland.,78,92
1:17,150,Marvin Bagley III missed Three Point Jumper.,78,92
1:17,150,Alex O'Connell Offensive Rebound.,78,92
1:17,150,Alex O'Connell made Two Point Tip Shot.,78,94
1:04,2502,Jamie Orme Turnover.,78,94
1:04,2502,Foul on Brandon Hollins.,78,94
1:04,150,Javin DeLaurier made Free Throw.,78,95
1:04,150,Javin DeLaurier missed Free Throw.,78,95
1:03,2502,Jamie Orme Defensive Rebound.,78,95
1:03,150,Foul on Marques Bolden.,78,95
1:03,2502,Jamie Orme missed Free Throw.,78,95
1:03,150,Marques Bolden Defensive Rebound.,78,95
0:56,2502,Foul on Jamie Orme.,78,95
0:56,150,Gary Trent Jr made Free Throw.,78,96
0:56,150,Gary Trent Jr made Free Throw.,78,97
0:50,2502,Holland Woods missed Three Point Jumper.,78,97
0:50,150,Javin DeLaurier Defensive Rebound.,78,97
0:40,150,Alex O'Connell missed Three Point Jumper.,78,97
0:40,2502,Ryan Edwards Defensive Rebound.,78,97
0:32,2502,Devyn Wilson missed Jumper.,78,97
0:32,150,Alex O'Connell Block.,78,97
0:32,150,Justin Robinson Defensive Rebound.,78,97
0:06,150,Marques Bolden made Layup. Assisted by Javin DeLaurier.,78,99
0:04,2502,Vonte Carter made Three Point Jumper. Assisted by Holland Woods.,81,99
0:00,150,End of Game,81,99
