UC Irvine,2520,Rider,300
10:37,2520,Foul on Paxton Wilson.,13,18
10:37,300,Evan Leonard made Free Throw.,14,18
10:37,300,Evan Leonard made Free Throw.,15,18
10:21,2520,Tyere Marshall made Layup.,15,20
10:01,300,Eyassu Worku missed Jumper.,15,20
10:01,2520,Jordan Allen Defensive Rebound.,15,20
9:54,2520,Anthony Durham missed Layup.,15,20
9:54,2520,Devine Eke Offensive Rebound.,15,20
9:53,2520,Devine Eke made Layup.,15,22
9:53,300,Foul on Elston Jones.,15,22
9:53,2520,Devine Eke missed Free Throw.,15,22
9:53,300,Elston Jones Defensive Rebound.,15,22
9:39,300,Max Hazzard made Three Point Jumper. Assisted by Evan Leonard.,18,22
9:15,2520,Anthony Durham missed Three Point Jumper.,18,22
9:15,2520,Jordan Allen Offensive Rebound.,18,22
9:08,2520,Stevie Jordan missed Three Point Jumper.,18,22
9:08,2520,Jordan Allen Offensive Rebound.,18,22
9:03,2520,Jordan Allen missed Jumper.,18,22
9:03,300,UC Irvine Defensive Rebound.,18,22
9:03,2520,Foul on Anthony Durham.,18,22
8:55,300,Foul on Jonathan Galloway.,18,22
8:55,300,Jonathan Galloway Turnover.,18,22
8:49,2520,Foul on Tyere Marshall.,18,22
8:49,2520,Tyere Marshall Turnover.,18,22
8:35,300,Max Hazzard missed Three Point Jumper.,18,22
8:35,2520,Devine Eke Defensive Rebound.,18,22
8:18,2520,Devine Eke made Three Point Jumper. Assisted by Anthony Durham.,18,25
8:02,300,Evan Leonard missed Three Point Jumper.,18,25
8:02,2520,Devine Eke Defensive Rebound.,18,25
7:56,2520,Jordan Allen made Three Point Jumper. Assisted by Kealen Washington-Ives.,18,28
7:52,300,UC Irvine  Timeout,18,28
7:33,300,Justin Wertner made Three Point Jumper. Assisted by Brad Greene.,21,28
7:17,300,Foul on Brad Greene.,21,28
7:17,2520,Frederick Scott missed Three Point Jumper.,21,28
7:17,2520,Rider Deadball Team Rebound.,21,28
7:17,2520,Frederick Scott missed Free Throw.,21,28
7:17,300,Elston Jones Defensive Rebound.,21,28
7:01,300,Foul on Elston Jones.,21,28
7:01,300,Elston Jones Turnover.,21,28
6:49,2520,Anthony Durham missed Layup.,21,28
6:49,300,Elston Jones Block.,21,28
6:46,300,Max Hazzard Defensive Rebound.,21,28
6:38,2520,Foul on Tyere Marshall.,21,28
6:37,300,Elston Jones missed Free Throw.,21,28
6:37,2520,Dimencio Vaughn Defensive Rebound.,21,28
6:21,2520,Kealen Washington-Ives made Three Point Jumper. Assisted by Karamoko Cisse.,21,31
6:08,2520,Foul on Kealen Washington-Ives.,21,31
6:08,300,Max Hazzard missed Free Throw.,21,31
6:08,2520,Dimencio Vaughn Defensive Rebound.,21,31
5:55,2520,Jordan Allen missed Jumper.,21,31
5:55,300,Max Hazzard Defensive Rebound.,21,31
5:49,300,Max Hazzard missed Layup.,21,31
5:49,300,Jonathan Galloway Offensive Rebound.,21,31
5:42,300,Jonathan Galloway made Layup.,23,31
5:29,2520,Jordan Allen made Jumper.,23,33
5:14,300,Justin Wertner missed Three Point Jumper.,23,33
5:14,2520,Karamoko Cisse Defensive Rebound.,23,33
5:05,2520,Jordan Allen made Three Point Jumper. Assisted by Kealen Washington-Ives.,23,36
4:45,2520,Foul on Karamoko Cisse.,23,36
4:45,300,Max Hazzard made Free Throw.,24,36
4:45,300,Max Hazzard missed Free Throw.,24,36
4:45,2520,Frederick Scott Defensive Rebound.,24,36
4:30,2520,Stevie Jordan Turnover.,24,36
3:59,300,Brandon Smith made Layup.,26,36
3:44,2520,Frederick Scott missed Three Point Jumper.,26,36
3:44,300,Riley Welch Defensive Rebound.,26,36
3:33,300,John Edgar Jr. made Three Point Jumper. Assisted by Max Hazzard.,29,36
3:31,2520,Rider  Timeout,29,36
3:13,2520,Stevie Jordan missed Three Point Jumper.,29,36
3:13,300,Jonathan Galloway Defensive Rebound.,29,36
2:46,2520,Foul on Karamoko Cisse.,29,36
2:46,300,Jonathan Galloway missed Free Throw.,29,36
2:46,300,UC Irvine Deadball Team Rebound.,29,36
2:46,300,Jonathan Galloway made Free Throw.,30,36
2:35,2520,Dimencio Vaughn made Layup. Assisted by Frederick Scott.,30,38
2:16,300,Brandon Smith missed Jumper.,30,38
2:16,2520,Jordan Allen Defensive Rebound.,30,38
2:04,2520,Frederick Scott missed Three Point Jumper.,30,38
2:04,300,Jonathan Galloway Defensive Rebound.,30,38
1:54,300,Evan Leonard missed Three Point Jumper.,30,38
1:54,2520,Frederick Scott Defensive Rebound.,30,38
1:48,2520,Frederick Scott Turnover.,30,38
1:47,300,Eyassu Worku Steal.,30,38
1:44,300,Eyassu Worku made Layup.,32,38
1:21,2520,Foul on Dimencio Vaughn.,32,38
1:21,2520,Dimencio Vaughn Turnover.,32,38
1:09,300,Eyassu Worku missed Layup.,32,38
1:09,2520,Dimencio Vaughn Defensive Rebound.,32,38
1:02,2520,Stevie Jordan Turnover.,32,38
0:47,300,Evan Leonard made Layup.,34,38
0:29,2520,Jordan Allen missed Three Point Jumper.,34,38
0:29,300,Brandon Smith Defensive Rebound.,34,38
0:05,2520,Foul on Frederick Scott.,34,38
0:05,300,Eyassu Worku made Free Throw.,35,38
0:05,300,Eyassu Worku made Free Throw.,36,38
0:00,2520,Stevie Jordan made Jumper.,36,40
0:00,2520,End of 1st half,36,40
19:39,2520,Tyere Marshall missed Layup.,36,40
19:39,300,Jonathan Galloway Block.,36,40
19:36,300,Evan Leonard Defensive Rebound.,36,40
19:34,300,Evan Leonard missed Layup.,36,40
19:34,2520,Stevie Jordan Block.,36,40
19:32,2520,Anthony Durham Defensive Rebound.,36,40
19:28,300,Foul on Tommy Rutherford.,36,40
19:28,2520,Frederick Scott made Free Throw.,36,41
19:28,2520,Frederick Scott missed Free Throw.,36,41
19:28,300,Jonathan Galloway Defensive Rebound.,36,41
19:11,300,Jonathan Galloway missed Layup.,36,41
19:11,2520,Frederick Scott Defensive Rebound.,36,41
19:01,2520,Frederick Scott made Layup.,36,43
18:37,300,Tommy Rutherford made Layup. Assisted by Max Hazzard.,38,43
18:20,2520,Anthony Durham made Jumper.,38,45
17:55,300,Jonathan Galloway missed Layup.,38,45
17:55,2520,Stevie Jordan Defensive Rebound.,38,45
17:45,2520,Frederick Scott missed Layup.,38,45
17:45,300,Jonathan Galloway Block.,38,45
17:43,2520,Jordan Allen Offensive Rebound.,38,45
17:41,2520,Jordan Allen missed Three Point Jumper.,38,45
17:41,2520,Frederick Scott Offensive Rebound.,38,45
17:36,2520,Frederick Scott made Two Point Tip Shot.,38,47
17:36,300,UC Irvine  Timeout,38,47
17:24,300,Tommy Rutherford made Three Point Jumper. Assisted by Evan Leonard.,41,47
17:05,2520,Frederick Scott made Layup.,41,49
16:44,300,Tommy Rutherford Turnover.,41,49
16:32,2520,Jordan Allen made Layup. Assisted by Frederick Scott.,41,51
16:32,300,Foul on Eyassu Worku.,41,51
16:32,2520,Jordan Allen made Free Throw.,41,52
16:07,300,Eyassu Worku made Layup.,43,52
16:07,2520,Foul on Jordan Allen.,43,52
16:07,300,Eyassu Worku missed Free Throw.,43,52
16:07,2520,Jordan Allen Defensive Rebound.,43,52
16:00,2520,Anthony Durham made Layup.,43,54
15:44,300,Evan Leonard made Three Point Jumper. Assisted by Eyassu Worku.,46,54
15:30,2520,Stevie Jordan missed Layup.,46,54
15:30,300,Brad Greene Defensive Rebound.,46,54
15:20,300,John Edgar Jr. Turnover.,46,54
15:19,2520,Frederick Scott Steal.,46,54
15:14,2520,Jordan Allen made Layup. Assisted by Stevie Jordan.,46,56
14:50,300,John Edgar Jr. Turnover.,46,56
14:49,2520,Tyere Marshall Steal.,46,56
14:31,2520,Jordan Allen made Layup.,46,58
14:27,2520,Rider  Timeout,46,58
14:12,300,Elston Jones missed Layup.,46,58
14:12,300,UC Irvine Offensive Rebound.,46,58
14:12,2520,Foul on Kealen Washington-Ives.,46,58
14:11,300,Brandon Smith made Layup. Assisted by Eyassu Worku.,48,58
13:48,2520,Dimencio Vaughn made Three Point Jumper. Assisted by Stevie Jordan.,48,61
13:31,300,Foul on Evan Leonard.,48,61
13:31,300,Evan Leonard Turnover.,48,61
13:10,300,Foul on Elston Jones.,48,61
13:10,2520,Karamoko Cisse missed Free Throw.,48,61
13:10,2520,Rider Deadball Team Rebound.,48,61
13:10,2520,Dimencio Vaughn Turnover.,48,61
12:55,300,Brandon Smith made Layup.,50,61
12:46,2520,Jordan Allen missed Three Point Jumper.,50,61
12:46,300,Evan Leonard Defensive Rebound.,50,61
12:40,300,Max Hazzard missed Three Point Jumper.,50,61
12:40,300,Tommy Rutherford Offensive Rebound.,50,61
12:33,300,Tommy Rutherford Turnover.,50,61
12:18,2520,Kealen Washington-Ives missed Three Point Jumper.,50,61
12:18,300,Evan Leonard Defensive Rebound.,50,61
12:12,300,Evan Leonard Turnover.,50,61
12:11,2520,Stevie Jordan Steal.,50,61
12:08,2520,Kealen Washington-Ives missed Jumper.,50,61
12:08,2520,Dimencio Vaughn Offensive Rebound.,50,61
11:33,2520,Karamoko Cisse made Jumper. Assisted by Dimencio Vaughn.,50,63
11:15,300,Tommy Rutherford Turnover.,50,63
11:15,2520,Official TV Timeout,50,63
11:05,2520,Stevie Jordan missed Layup.,50,63
11:05,300,Brandon Smith Defensive Rebound.,50,63
10:59,300,Brandon Smith made Layup.,52,63
10:40,2520,Stevie Jordan missed Jumper.,52,63
10:39,2520,Devine Eke Offensive Rebound.,52,63
10:37,300,Foul on Brandon Smith.,52,63
10:36,2520,Devine Eke missed Free Throw.,52,63
10:35,2520,Rider Deadball Team Rebound.,52,63
10:34,2520,Devine Eke missed Free Throw.,52,63
10:33,2520,Rider Deadball Team Rebound.,52,63
10:20,300,Brad Greene missed Layup.,52,63
10:19,300,UC Irvine Offensive Rebound.,52,63
10:17,2520,Foul on Dimencio Vaughn.,52,63
10:05,300,Brandon Smith missed Three Point Jumper.,52,63
10:05,2520,Dimencio Vaughn Defensive Rebound.,52,63
9:59,2520,Tyere Marshall missed Layup.,52,63
9:59,300,Brad Greene Defensive Rebound.,52,63
9:49,300,Max Hazzard Turnover.,52,63
9:48,2520,Stevie Jordan Steal.,52,63
9:45,300,Foul on Jonathan Galloway.,52,63
9:45,2520,Stevie Jordan made Free Throw.,52,64
9:45,2520,Stevie Jordan made Free Throw.,52,65
9:34,300,Brandon Smith missed Layup.,52,65
9:34,300,Brad Greene Offensive Rebound.,52,65
9:30,300,Brad Greene missed Layup.,52,65
9:30,300,Jonathan Galloway Offensive Rebound.,52,65
9:26,300,Jonathan Galloway missed Jumper.,52,65
9:26,300,Jonathan Galloway Offensive Rebound.,52,65
9:18,300,Eyassu Worku made Three Point Jumper. Assisted by Brandon Smith.,55,65
9:00,300,Foul on Jonathan Galloway.,55,65
9:00,2520,Frederick Scott missed Free Throw.,55,65
9:00,2520,Rider Deadball Team Rebound.,55,65
9:00,2520,Frederick Scott made Free Throw.,55,66
8:46,300,Tommy Rutherford missed Three Point Jumper.,55,66
8:46,2520,Dimencio Vaughn Defensive Rebound.,55,66
8:33,300,Foul on Jonathan Galloway.,55,66
8:33,2520,Dimencio Vaughn missed Free Throw.,55,66
8:33,2520,Rider Deadball Team Rebound.,55,66
8:33,2520,Dimencio Vaughn made Free Throw.,55,67
8:18,300,Eyassu Worku missed Three Point Jumper.,55,67
8:18,2520,Stevie Jordan Defensive Rebound.,55,67
8:12,2520,Dimencio Vaughn made Layup. Assisted by Stevie Jordan.,55,69
8:12,300,Foul on Justin Wertner.,55,69
8:12,2520,Dimencio Vaughn made Free Throw.,55,70
7:52,300,Justin Wertner made Three Point Jumper. Assisted by Tommy Rutherford.,58,70
7:42,2520,Frederick Scott missed Three Point Jumper.,58,70
7:41,300,Justin Wertner Block.,58,70
7:40,300,Max Hazzard Defensive Rebound.,58,70
7:12,2520,Foul on Dimencio Vaughn.,58,70
7:12,2520,Official TV Timeout,58,70
7:12,300,Tommy Rutherford made Free Throw.,59,70
7:12,300,Tommy Rutherford missed Free Throw.,59,70
7:12,300,UC Irvine Deadball Team Rebound.,59,70
6:53,300,Elston Jones Defensive Rebound.,59,70
6:53,2520,Stevie Jordan missed Jumper.,59,70
6:41,300,Elston Jones made Jumper.,61,70
6:21,2520,Frederick Scott made Three Point Jumper. Assisted by Dimencio Vaughn.,61,73
5:57,300,Tommy Rutherford made Dunk. Assisted by Brandon Smith.,63,73
5:29,2520,Stevie Jordan Turnover.,63,73
5:27,300,Elston Jones Steal.,63,73
5:24,300,Max Hazzard made Layup.,65,73
5:24,2520,Foul on Frederick Scott.,65,73
5:24,300,Max Hazzard made Free Throw.,66,73
5:07,300,Foul on Jonathan Galloway.,66,73
5:07,2520,Dimencio Vaughn made Free Throw.,66,74
5:07,2520,Dimencio Vaughn made Free Throw.,66,75
5:00,2520,Foul on Tyere Marshall.,66,75
4:50,300,Elston Jones Turnover.,66,75
4:48,2520,Stevie Jordan Steal.,66,75
4:40,2520,Dimencio Vaughn missed Jumper.,66,75
4:40,300,Elston Jones Defensive Rebound.,66,75
4:19,300,Elston Jones missed Jumper.,66,75
4:19,2520,Dimencio Vaughn Defensive Rebound.,66,75
4:02,2520,Stevie Jordan missed Layup.,66,75
4:02,300,Tommy Rutherford Defensive Rebound.,66,75
3:56,2520,Foul on Dimencio Vaughn.,66,75
3:56,2520,Official TV Timeout,66,75
3:56,300,Max Hazzard missed Free Throw.,66,75
3:56,2520,Frederick Scott Defensive Rebound.,66,75
3:44,2520,Stevie Jordan Turnover.,66,75
3:20,300,Evan Leonard missed Three Point Jumper.,66,75
3:20,2520,Rider Defensive Rebound.,66,75
2:53,2520,Stevie Jordan Turnover.,66,75
2:52,300,Brandon Smith Steal.,66,75
2:49,300,Brandon Smith made Dunk.,68,75
2:37,2520,Frederick Scott missed Layup.,68,75
2:37,300,Elston Jones Block.,68,75
2:34,2520,Frederick Scott Offensive Rebound.,68,75
2:28,300,Foul on Elston Jones.,68,75
2:28,2520,Tyere Marshall made Free Throw.,68,76
2:28,2520,Tyere Marshall made Free Throw.,68,77
2:28,2520,Rider  Timeout,68,77
2:11,300,Eyassu Worku missed Layup.,68,77
2:11,2520,Tyere Marshall Block.,68,77
2:09,2520,Anthony Durham Defensive Rebound.,68,77
1:53,300,Foul on Tommy Rutherford.,68,77
1:53,2520,Frederick Scott made Free Throw.,68,78
1:53,2520,Frederick Scott made Free Throw.,68,79
1:44,300,Evan Leonard made Three Point Jumper. Assisted by Eyassu Worku.,71,79
1:32,300,Foul on John Edgar Jr..,71,79
1:32,2520,Frederick Scott missed Free Throw.,71,79
1:32,2520,Rider Deadball Team Rebound.,71,79
1:32,2520,Frederick Scott made Free Throw.,71,80
1:22,300,John Edgar Jr. made Three Point Jumper. Assisted by Max Hazzard.,74,80
1:12,300,Foul on Evan Leonard.,74,80
1:12,2520,Stevie Jordan made Free Throw.,74,81
1:12,2520,Stevie Jordan missed Free Throw.,74,81
1:12,300,Eyassu Worku Defensive Rebound.,74,81
1:02,300,Tommy Rutherford made Layup. Assisted by Eyassu Worku.,76,81
0:58,300,Foul on Eyassu Worku.,76,81
0:58,2520,Frederick Scott made Free Throw.,76,82
0:58,2520,Frederick Scott made Free Throw.,76,83
0:55,300,Max Hazzard missed Three Point Jumper.,76,83
0:55,2520,Frederick Scott Defensive Rebound.,76,83
0:52,300,Foul on John Edgar Jr..,76,83
0:52,2520,Frederick Scott made Free Throw.,76,84
0:52,2520,Frederick Scott made Free Throw.,76,85
0:47,300,Evan Leonard Turnover.,76,85
0:44,300,Foul on Max Hazzard.,76,85
0:44,2520,Jordan Allen missed Free Throw.,76,85
0:44,2520,Rider Deadball Team Rebound.,76,85
0:44,2520,Jordan Allen made Free Throw.,76,86
0:38,300,Foul on Eyassu Worku.,76,86
0:38,300,Eyassu Worku Turnover.,76,86
0:38,2520,Stevie Jordan made Free Throw.,76,87
0:38,2520,Stevie Jordan made Free Throw.,76,88
0:36,300,Max Hazzard made Layup.,78,88
0:23,2520,Stevie Jordan Turnover.,78,88
0:22,300,Tommy Rutherford Steal.,78,88
0:18,300,John Edgar Jr. made Layup. Assisted by Darrian Traylor.,80,88
0:15,2520,Rider  Timeout,80,88
0:10,2520,Dimencio Vaughn made Dunk.,80,90
0:03,300,Brandon Smith missed Jumper.,80,90
0:03,300,Max Hazzard Offensive Rebound.,80,90
0:00,300,Max Hazzard made Two Point Tip Shot.,82,90
0:00,2520,End of Game,82,90
