Maine,259,Virginia Tech,311
7:14,259,Justin Bibbs missed Three Point Jumper.,52,70
7:14,311,Austin Howard Defensive Rebound.,52,70
7:06,311,Wesley Myers missed Layup.,52,70
7:02,259,Chris Clarke Defensive Rebound.,52,70
6:55,259,Justin Bibbs missed Layup.,52,70
6:55,311,Andrew Fleming Defensive Rebound.,52,70
6:49,259,Virginia Tech  Timeout,52,70
6:49,259,Official TV Timeout,52,70
6:48,311,Danny Evans missed Layup.,52,70
6:48,259,Chris Clarke Defensive Rebound.,52,70
6:36,259,Justin Bibbs missed Jumper.,52,70
6:36,311,Vincent Eze Defensive Rebound.,52,70
6:20,311,Vincent Eze missed Jumper.,52,70
6:20,259,Zach LeDay Defensive Rebound.,52,70
6:10,311,Foul on Vincent Eze.,52,70
6:10,259,Zach LeDay made Free Throw.,52,71
6:10,259,Zach LeDay made Free Throw.,52,72
5:53,311,Danny Evans missed Three Point Jumper.,52,72
5:53,259,Chris Clarke Defensive Rebound.,52,72
5:47,311,Foul on Wesley Myers.,52,72
5:47,259,Chris Clarke made Free Throw.,52,73
5:47,259,Chris Clarke made Free Throw.,52,74
5:34,311,Aaron Calixte missed Three Point Jumper.,52,74
5:34,259,Ahmed Hill Defensive Rebound.,52,74
5:27,259,Ahmed Hill missed Layup.,52,74
5:27,311,Andrew Fleming Defensive Rebound.,52,74
5:19,311,Austin Howard missed Three Point Jumper.,52,74
5:19,259,Virginia Tech Defensive Rebound.,52,74
5:00,259,Justin Bibbs missed Layup.,52,74
5:00,311,Wesley Myers Defensive Rebound.,52,74
4:48,311,Danny Evans missed Three Point Jumper.,52,74
4:48,311,Maine Offensive Rebound.,52,74
4:38,259,Foul on Ty Outlaw.,52,74
4:27,311,Andrew Fleming missed Layup.,52,74
4:27,259,Khadim Sy Block.,52,74
4:25,259,Khadim Sy Defensive Rebound.,52,74
4:17,259,Seth Allen made Layup.,52,76
4:07,311,Andrew Fleming Turnover.,52,76
4:07,311,Foul on Andrew Fleming.,52,76
3:52,259,Ahmed Hill Turnover.,52,76
3:52,259,Official TV Timeout,52,76
3:37,259,Foul on Ty Outlaw.,52,76
3:37,311,Wesley Myers made Free Throw.,53,76
3:37,311,Wesley Myers missed Free Throw.,53,76
3:37,259,Ty Outlaw Defensive Rebound.,53,76
3:37,311,Foul on Ilker Er.,53,76
3:37,259,Ty Outlaw made Free Throw.,53,77
3:37,259,Ty Outlaw missed Free Throw.,53,77
3:37,311,Wesley Myers Defensive Rebound.,53,77
3:18,311,Andrew Fleming made Jumper. Assisted by Ryan Bernstein.,55,77
3:02,259,Justin Bibbs made Three Point Jumper.,55,80
2:48,311,Andrew Fleming made Jumper. Assisted by Danny Evans.,57,80
2:39,259,Virginia Tech  Timeout,57,80
2:26,259,Ty Outlaw missed Jumper.,57,80
2:26,311,Jaquan McKennon Defensive Rebound.,57,80
2:18,311,Dennis Ashley made Three Point Jumper. Assisted by Jaquan McKennon.,60,80
1:49,259,Chris Clarke Turnover.,60,80
1:45,311,Jaquan McKennon made Layup.,62,80
1:28,259,Matt Galloway missed Three Point Jumper.,62,80
1:28,311,Andrew Fleming Defensive Rebound.,62,80
1:19,311,Ryan Bernstein made Layup.,64,80
0:54,259,Ty Outlaw Turnover.,64,80
0:53,311,Ryan Bernstein Steal.,64,80
0:43,311,Jaquan McKennon missed Three Point Jumper.,64,80
0:43,259,Virginia Tech Defensive Rebound.,64,80
0:27,259,Matt Galloway missed Three Point Jumper.,64,80
0:27,311,Danny Evans Defensive Rebound.,64,80
0:19,311,Dennis Ashley made Three Point Jumper. Assisted by Danny Evans.,67,80
0:00,259,End of Game,67,80
