Arizona,127,Michigan State,12
7:08,12,Keanu Pinder Steal.,19,21
6:46,12,Lauri Markkanen missed Jumper.,19,21
6:46,12,Lauri Markkanen Offensive Rebound.,19,21
6:46,12,Lauri Markkanen missed Jumper.,19,21
6:46,12,Arizona Offensive Rebound.,19,21
6:30,12,Kadeem Allen missed Jumper.,19,21
6:30,127,Lourawls Nairn Jr. Defensive Rebound.,19,21
6:25,127,Lourawls Nairn Jr. Turnover.,19,21
6:19,127,Foul on Eron Harris.,19,21
6:19,12,Kobi Simmons made Free Throw.,20,21
6:19,12,Kobi Simmons made Free Throw.,21,21
6:09,127,Lourawls Nairn Jr. Turnover.,21,21
6:09,12,Kadeem Allen Steal.,21,21
6:04,12,Kadeem Allen Turnover.,21,21
5:40,127,Kenny Goins Turnover.,21,21
5:40,127,Foul on Kenny Goins.,21,21
5:27,12,Kobi Simmons made Three Point Jumper.,24,21
5:16,12,Foul on Parker Jackson-Cartwright.,24,21
5:16,127,Lourawls Nairn Jr. missed Free Throw.,24,21
5:16,12,Arizona Defensive Rebound.,24,21
4:58,127,Foul on Lourawls Nairn Jr..,24,21
4:58,12,Kobi Simmons missed Free Throw.,24,21
4:58,12,Arizona Deadball Team Rebound.,24,21
4:58,12,Kobi Simmons made Free Throw.,25,21
4:39,127,Nick Ward made Jumper. Assisted by Lourawls Nairn Jr..,25,23
4:06,12,Parker Jackson-Cartwright made Three Point Jumper.,28,23
3:40,127,Nick Ward made Dunk. Assisted by Miles Bridges.,28,25
3:12,127,Foul on Alvin Ellis III.,28,25
3:12,127,Official TV Timeout,28,25
3:12,12,Lauri Markkanen made Free Throw.,29,25
3:12,12,Lauri Markkanen missed Free Throw.,29,25
3:12,127,Michigan St Deadball Team Rebound.,29,25
3:12,12,Foul on Dusan Ristic.,29,25
3:12,127,Nick Ward missed Free Throw.,29,25
3:12,127,Michigan St Deadball Team Rebound.,29,25
3:12,127,Nick Ward made Free Throw.,29,26
2:59,12,Lauri Markkanen made Three Point Jumper. Assisted by Rawle Alkins.,32,26
2:38,127,Matt McQuaid missed Three Point Jumper.,32,26
2:38,12,Chance Comanche Defensive Rebound.,32,26
2:38,12,Foul on Chance Comanche.,32,26
2:38,127,Nick Ward made Free Throw.,32,27
2:38,127,Nick Ward made Free Throw.,32,28
2:28,12,Kobi Simmons missed Jumper.,32,28
2:28,12,Arizona Offensive Rebound.,32,28
2:16,12,Kadeem Allen missed Jumper.,32,28
2:16,12,Keanu Pinder Offensive Rebound.,32,28
2:12,12,Keanu Pinder Turnover.,32,28
2:12,127,Nick Ward Steal.,32,28
2:03,127,Miles Bridges missed Three Point Jumper.,32,28
2:03,12,Keanu Pinder Defensive Rebound.,32,28
1:45,12,Kadeem Allen missed Three Point Jumper.,32,28
1:45,12,Arizona Offensive Rebound.,32,28
1:37,127,Foul on Alvin Ellis III.,32,28
1:37,12,Kobi Simmons made Free Throw.,33,28
1:37,12,Kobi Simmons made Free Throw.,34,28
1:07,127,Lourawls Nairn Jr. missed Three Point Jumper.,34,28
1:07,12,Keanu Pinder Defensive Rebound.,34,28
0:45,12,Parker Jackson-Cartwright missed Three Point Jumper.,34,28
0:45,127,Lourawls Nairn Jr. Defensive Rebound.,34,28
0:36,127,Nick Ward missed Layup.,34,28
0:36,127,Miles Bridges Offensive Rebound.,34,28
0:26,127,Miles Bridges made Layup.,34,30
0:04,12,Kobi Simmons missed Three Point Jumper.,34,30
0:04,127,Michigan St Defensive Rebound.,34,30
0:04,127,Michigan St  Timeout,34,30
0:00,127,End of 1st half,34,30
20:00,12,Jump Ball won by Arizona,34,30
19:40,12,Dusan Ristic missed Layup.,34,30
19:40,127,Miles Bridges Defensive Rebound.,34,30
19:15,127,Miles Bridges made Layup.,34,32
19:04,12,Foul on Rawle Alkins.,34,32
19:04,12,Rawle Alkins Turnover.,34,32
18:56,127,Eron Harris Turnover.,34,32
18:56,12,Rawle Alkins Steal.,34,32
18:50,12,Rawle Alkins missed Layup.,34,32
18:50,12,Rawle Alkins Offensive Rebound.,34,32
18:50,12,Rawle Alkins made Layup.,36,32
18:50,127,Foul on Matt McQuaid.,36,32
18:50,12,Rawle Alkins made Free Throw.,37,32
18:26,127,Matt McQuaid missed Three Point Jumper.,37,32
18:26,12,Arizona Defensive Rebound.,37,32
18:16,127,Foul on Eron Harris.,37,32
17:54,12,Dusan Ristic missed Jumper.,37,32
17:54,127,Kenny Goins Defensive Rebound.,37,32
17:49,127,Miles Bridges made Dunk. Assisted by Lourawls Nairn Jr..,37,34
17:31,127,Foul on Lourawls Nairn Jr..,37,34
17:20,12,Kadeem Allen missed Layup.,37,34
17:20,12,Chance Comanche Offensive Rebound.,37,34
17:17,12,Chance Comanche made Layup.,39,34
16:55,127,Cassius Winston Turnover.,39,34
16:55,12,Kadeem Allen Steal.,39,34
16:50,12,Lauri Markkanen missed Layup.,39,34
16:50,12,Chance Comanche Offensive Rebound.,39,34
16:44,12,Lauri Markkanen made Layup. Assisted by Kobi Simmons.,41,34
16:28,127,Miles Bridges Turnover.,41,34
16:28,12,Chance Comanche Steal.,41,34
16:17,127,Foul on Nick Ward.,41,34
16:17,12,Kadeem Allen made Free Throw.,42,34
16:17,12,Kadeem Allen made Free Throw.,43,34
16:04,127,Matt McQuaid made Three Point Jumper. Assisted by Joshua Langford.,43,37
15:48,12,Kadeem Allen missed Jumper.,43,37
15:48,127,Miles Bridges Defensive Rebound.,43,37
15:34,127,Joshua Langford missed Layup.,43,37
15:34,127,Nick Ward Offensive Rebound.,43,37
15:34,127,Nick Ward made Layup.,43,39
15:34,12,Foul on Keanu Pinder.,43,39
15:34,127,Official TV Timeout,43,39
15:34,127,Nick Ward missed Free Throw.,43,39
15:34,12,Keanu Pinder Defensive Rebound.,43,39
15:34,12,Keanu Pinder Turnover.,43,39
15:34,127,Miles Bridges Steal.,43,39
15:12,127,Nick Ward missed Layup.,43,39
15:12,12,Lauri Markkanen Defensive Rebound.,43,39
14:56,127,Foul on Cassius Winston.,43,39
14:55,127,Foul on Matt McQuaid.,43,39
14:55,12,Keanu Pinder made Free Throw.,44,39
14:55,12,Keanu Pinder missed Free Throw.,44,39
14:55,127,Miles Bridges Defensive Rebound.,44,39
14:37,12,Foul on Lauri Markkanen.,44,39
14:31,127,Miles Bridges made Dunk.,44,41
14:14,127,Foul on Joshua Langford.,44,41
14:14,12,Rawle Alkins missed Free Throw.,44,41
14:14,127,Michigan St Defensive Rebound.,44,41
13:48,127,Matt McQuaid made Three Point Jumper. Assisted by Alvin Ellis III.,44,44
13:34,12,Arizona  Timeout,44,44
13:19,127,Foul on Miles Bridges.,44,44
13:19,12,Lauri Markkanen made Free Throw.,45,44
13:19,12,Lauri Markkanen made Free Throw.,46,44
13:12,127,Miles Bridges made Dunk. Assisted by Alvin Ellis III.,46,46
12:53,12,Kadeem Allen missed Layup.,46,46
12:53,12,Arizona Offensive Rebound.,46,46
12:30,12,Kadeem Allen missed Jumper.,46,46
12:30,127,Alvin Ellis III Defensive Rebound.,46,46
12:06,127,Lourawls Nairn Jr. Turnover.,46,46
12:06,12,Parker Jackson-Cartwright Steal.,46,46
11:51,12,Parker Jackson-Cartwright missed Jumper.,46,46
11:51,12,Dusan Ristic Offensive Rebound.,46,46
11:46,12,Dusan Ristic missed Layup.,46,46
11:46,127,Kenny Goins Defensive Rebound.,46,46
11:43,12,Foul on Kadeem Allen.,46,46
11:43,127,Official TV Timeout,46,46
11:17,12,Foul on Kobi Simmons.,46,46
11:08,127,Lourawls Nairn Jr. made Layup.,46,48
10:53,12,Chance Comanche Turnover.,46,48
10:53,127,Lourawls Nairn Jr. Steal.,46,48
10:43,127,Alvin Ellis III made Three Point Jumper. Assisted by Lourawls Nairn Jr..,46,51
10:35,12,Arizona  Timeout,46,51
10:17,12,Chance Comanche made Layup.,48,51
9:54,127,Nick Ward missed Layup.,48,51
9:54,12,Parker Jackson-Cartwright Defensive Rebound.,48,51
9:45,12,Lauri Markkanen missed Three Point Jumper.,48,51
9:45,127,Michigan St Deadball Team Rebound.,48,51
9:38,12,Foul on Lauri Markkanen.,48,51
9:24,127,Miles Bridges missed Jumper.,48,51
9:24,12,Chance Comanche Defensive Rebound.,48,51
9:17,127,Foul on Lourawls Nairn Jr..,48,51
9:17,12,Kobi Simmons made Free Throw.,49,51
9:17,12,Kobi Simmons made Free Throw.,50,51
8:57,12,Foul on Chance Comanche.,50,51
8:57,127,Miles Bridges made Free Throw.,50,52
8:57,127,Miles Bridges made Free Throw.,50,53
8:44,12,Chance Comanche made Dunk. Assisted by Parker Jackson-Cartwright.,52,53
8:31,127,Cassius Winston Turnover.,52,53
8:31,12,Lauri Markkanen Steal.,52,53
8:22,12,Parker Jackson-Cartwright missed Three Point Jumper.,52,53
8:22,127,Kenny Goins Defensive Rebound.,52,53
7:45,127,Cassius Winston missed Three Point Jumper.,52,53
7:45,127,Michigan St Offensive Rebound.,52,53
7:45,127,Official TV Timeout,52,53
7:25,127,Matt McQuaid made Three Point Jumper. Assisted by Cassius Winston.,52,56
6:59,12,Dusan Ristic made Jumper.,54,56
6:30,127,Eron Harris missed Jumper.,54,56
6:30,12,Dusan Ristic Defensive Rebound.,54,56
6:15,12,Parker Jackson-Cartwright missed Three Point Jumper.,54,56
6:15,12,Arizona Offensive Rebound.,54,56
5:58,127,Foul on Kenny Goins.,54,56
5:58,12,Kobi Simmons missed Free Throw.,54,56
5:58,12,Arizona Deadball Team Rebound.,54,56
5:58,12,Kobi Simmons made Free Throw.,55,56
5:49,127,Cassius Winston missed Jumper.,55,56
5:49,12,Parker Jackson-Cartwright Block.,55,56
5:49,127,Cassius Winston Offensive Rebound.,55,56
5:42,127,Miles Bridges missed Three Point Jumper.,55,56
5:42,12,Lauri Markkanen Defensive Rebound.,55,56
5:33,12,Parker Jackson-Cartwright missed Layup.,55,56
5:33,12,Keanu Pinder Offensive Rebound.,55,56
5:28,12,Keanu Pinder missed Layup.,55,56
5:28,127,Eron Harris Defensive Rebound.,55,56
5:19,127,Michigan St  Timeout,55,56
5:04,127,Miles Bridges Turnover.,55,56
5:04,12,Parker Jackson-Cartwright Steal.,55,56
4:57,12,Parker Jackson-Cartwright made Layup.,57,56
4:57,127,Technical Foul on Miles Bridges.,57,56
4:57,127,Foul on Miles Bridges.,57,56
4:57,12,Technical Foul on Parker Jackson-Cartwright.,57,56
4:57,12,Foul on Parker Jackson-Cartwright.,57,56
4:45,127,Eron Harris made Jumper.,57,58
4:22,12,Lauri Markkanen missed Jumper.,57,58
4:22,127,Kenny Goins Defensive Rebound.,57,58
3:53,127,Miles Bridges missed Three Point Jumper.,57,58
3:53,12,Arizona Defensive Rebound.,57,58
3:53,127,Official TV Timeout,57,58
3:38,12,Kobi Simmons missed Jumper.,57,58
3:38,127,Lourawls Nairn Jr. Defensive Rebound.,57,58
3:26,127,Eron Harris missed Three Point Jumper.,57,58
3:26,12,Kadeem Allen Defensive Rebound.,57,58
3:20,12,Kadeem Allen made Layup.,59,58
3:09,127,Michigan St  Timeout,59,58
2:59,127,Miles Bridges made Layup.,59,60
2:47,12,Foul on Chance Comanche.,59,60
2:47,12,Chance Comanche Turnover.,59,60
2:27,127,Matt McQuaid missed Three Point Jumper.,59,60
2:27,12,Parker Jackson-Cartwright Defensive Rebound.,59,60
2:17,12,Parker Jackson-Cartwright Turnover.,59,60
1:44,127,Eron Harris missed Jumper.,59,60
1:44,12,Kadeem Allen Block.,59,60
1:44,12,Kadeem Allen Defensive Rebound.,59,60
1:29,12,Lauri Markkanen made Jumper. Assisted by Rawle Alkins.,61,60
1:11,127,Matt McQuaid missed Three Point Jumper.,61,60
1:11,12,Parker Jackson-Cartwright Defensive Rebound.,61,60
0:41,12,Parker Jackson-Cartwright made Jumper.,63,60
0:35,127,Michigan St  Timeout,63,60
0:23,127,Eron Harris missed Three Point Jumper.,63,60
0:23,127,Miles Bridges Offensive Rebound.,63,60
0:07,127,Lourawls Nairn Jr. made Three Point Jumper.,63,63
0:07,12,Arizona  Timeout,63,63
0:02,12,Kadeem Allen made Layup.,65,63
0:00,127,End of Game,65,63
