Sewanee,Error,Lipscomb,288
10:56,288,Josh Williams missed Two Point Tip Shot.,10,18
10:56,-1,Brody Stone Defensive Rebound.,10,18
10:47,-1,Clay Born missed Jumper.,10,18
10:47,-1,Sewanee Offensive Rebound.,10,18
10:30,-1,Hunter Buescher Turnover.,10,18
10:30,-1,Foul on Hunter Buescher.,10,18
10:30,288,Josh Williams Steal.,10,18
10:30,288,Josh Williams made Free Throw.,10,19
10:30,288,Josh Williams made Free Throw.,10,20
10:12,-1,Brody Stone missed Jumper.,10,20
10:12,288,Garrison Mathews Defensive Rebound.,10,20
10:06,288,Garrison Mathews Turnover.,10,20
9:41,-1,Hunter Buescher missed Jumper.,10,20
9:41,288,Josh Williams Defensive Rebound.,10,20
9:31,288,Foul on Garrison Mathews.,10,20
9:31,288,Garrison Mathews Turnover.,10,20
9:15,-1,Jorden Williams missed Jumper.,10,20
9:15,-1,Brody Stone Offensive Rebound.,10,20
9:13,-1,Brody Stone missed Jumper.,10,20
9:13,288,George Brammeier Defensive Rebound.,10,20
9:00,288,Josh Williams missed Three Point Jumper.,10,20
9:00,-1,Leo Born Defensive Rebound.,10,20
8:59,288,Foul on George Brammeier.,10,20
8:59,-1,Leo Born made Free Throw.,11,20
8:59,-1,Leo Born missed Free Throw.,11,20
8:59,288,Aaron Korn Defensive Rebound.,11,20
8:45,288,Aaron Korn made Three Point Jumper. Assisted by Nathan Moran.,11,23
8:18,288,Foul on George Brammeier.,11,23
8:18,-1,Leo Born made Free Throw.,12,23
8:18,-1,Leo Born missed Free Throw.,12,23
8:18,288,Aaron Korn Defensive Rebound.,12,23
8:00,288,Aaron Korn made Three Point Jumper. Assisted by Nathan Moran.,12,26
7:39,-1,Adrian Thomas missed Jumper.,12,26
7:39,288,Michael Buckland Block.,12,26
7:36,288,Rob Marberry Defensive Rebound.,12,26
7:26,288,Nathan Moran missed Three Point Jumper.,12,26
7:26,-1,Leo Born Defensive Rebound.,12,26
7:09,-1,Jorden Williams missed Three Point Jumper.,12,26
7:09,288,Josh Williams Defensive Rebound.,12,26
6:59,288,Rob Marberry missed Jumper.,12,26
6:59,288,Rob Marberry Offensive Rebound.,12,26
6:56,288,Rob Marberry made Jumper.,12,28
6:37,-1,Adrian Thomas missed Three Point Jumper.,12,28
6:37,288,Rob Marberry Defensive Rebound.,12,28
6:21,288,Rob Marberry made Jumper. Assisted by Nathan Moran.,12,30
6:04,288,Foul on Josh Williams.,12,30
6:04,288,Official TV Timeout,12,30
6:04,-1,Jorden Williams made Free Throw.,13,30
6:04,-1,Jorden Williams made Free Throw.,14,30
5:57,288,Aaron Korn missed Jumper.,14,30
5:57,-1,Adrian Thomas Defensive Rebound.,14,30
5:28,-1,Jorden Williams made Jumper.,16,30
5:18,288,Garrison Mathews missed Three Point Jumper.,16,30
5:18,288,Michael Buckland Offensive Rebound.,16,30
5:15,288,Michael Buckland made Jumper.,16,32
4:59,-1,Matthew Lee missed Jumper.,16,32
4:59,288,Kenny Cooper Defensive Rebound.,16,32
4:51,288,Garrison Mathews missed Three Point Jumper.,16,32
4:51,-1,Clay Born Defensive Rebound.,16,32
4:34,-1,Matthew Lee missed Three Point Jumper.,16,32
4:34,288,Michael Buckland Defensive Rebound.,16,32
4:25,288,Michael Buckland made Three Point Jumper. Assisted by Kenny Cooper.,16,35
4:03,-1,Brody Stone missed Three Point Jumper.,16,35
4:03,-1,Brody Stone Offensive Rebound.,16,35
3:56,-1,Jorden Williams missed Jumper.,16,35
3:56,288,Brett Wishon Defensive Rebound.,16,35
3:49,288,Garrison Mathews missed Jumper.,16,35
3:49,-1,Brody Stone Defensive Rebound.,16,35
3:42,288,Foul on Kenny Cooper.,16,35
3:42,288,Official TV Timeout,16,35
3:42,-1,Clay Born made Free Throw.,17,35
3:42,-1,Clay Born made Free Throw.,18,35
3:28,288,Nathan Moran made Three Point Jumper. Assisted by Michael Buckland.,18,38
2:58,-1,Brody Stone missed Three Point Jumper.,18,38
2:58,-1,Cam Caldwell Offensive Rebound.,18,38
2:37,-1,Clay Born made Jumper.,20,38
2:24,288,Aaron Korn missed Three Point Jumper.,20,38
2:24,-1,Jorden Williams Defensive Rebound.,20,38
2:07,-1,Brody Stone missed Jumper.,20,38
2:07,288,Aaron Korn Defensive Rebound.,20,38
1:49,288,Aaron Korn missed Three Point Jumper.,20,38
1:49,288,Rob Marberry Offensive Rebound.,20,38
1:46,288,Rob Marberry made Jumper.,20,40
1:12,-1,Brody Stone missed Three Point Jumper.,20,40
1:12,288,Kenny Cooper Defensive Rebound.,20,40
1:03,288,Rob Marberry missed Jumper.,20,40
1:03,288,Rob Marberry Offensive Rebound.,20,40
1:01,288,Rob Marberry made Two Point Tip Shot.,20,42
0:59,288,Lipscomb  Timeout,20,42
0:51,-1,Jorden Williams missed Jumper.,20,42
0:51,-1,Brody Stone Offensive Rebound.,20,42
0:48,-1,Brody Stone made Two Point Tip Shot.,22,42
0:34,288,Kenny Cooper missed Three Point Jumper.,22,42
0:34,-1,Brody Stone Defensive Rebound.,22,42
0:20,-1,Sewanee  Timeout,22,42
0:03,-1,Clay Born missed Three Point Jumper.,22,42
0:03,288,Kenny Cooper Defensive Rebound.,22,42
0:00,288,End of 1st half,22,42
19:49,288,Rob Marberry Turnover.,22,42
19:48,-1,Leo Born Steal.,22,42
19:35,-1,Foul on Brody Stone.,22,42
19:35,-1,Brody Stone Turnover.,22,42
19:12,288,Rob Marberry made Jumper.,22,44
18:54,-1,Hunter Buescher missed Jumper.,22,44
18:54,-1,Brody Stone Offensive Rebound.,22,44
18:51,-1,Leo Born made Two Point Tip Shot.,24,44
18:39,288,Garrison Mathews made Three Point Jumper. Assisted by Rob Marberry.,24,47
18:04,-1,Clay Born Turnover.,24,47
18:03,288,Nathan Moran Steal.,24,47
18:02,288,Josh Williams made Three Point Jumper. Assisted by Nathan Moran.,24,50
17:54,-1,Sewanee  Timeout,24,50
17:54,288,Official TV Timeout,24,50
17:42,-1,Clay Born Turnover.,24,50
17:41,288,Nathan Moran Steal.,24,50
17:35,288,Josh Williams missed Three Point Jumper.,24,50
17:35,288,Josh Williams Offensive Rebound.,24,50
17:24,288,Josh Williams missed Jumper.,24,50
17:24,-1,Brody Stone Defensive Rebound.,24,50
17:11,-1,Jorden Williams missed Jumper.,24,50
17:11,288,Garrison Mathews Defensive Rebound.,24,50
17:01,288,Nathan Moran made Three Point Jumper. Assisted by Kenny Cooper.,24,53
16:41,288,Foul on George Brammeier.,24,53
16:37,-1,Brody Stone Turnover.,24,53
16:28,288,Brett Wishon missed Three Point Jumper.,24,53
16:28,288,George Brammeier Offensive Rebound.,24,53
16:17,-1,Foul on Brody Stone.,24,53
16:14,288,Aaron Korn made Layup.,24,55
15:55,-1,Leo Born Turnover.,24,55
15:55,288,Official TV Timeout,24,55
15:37,-1,Foul on Hunter Buescher.,24,55
15:28,288,George Brammeier made Layup. Assisted by Aaron Korn.,24,57
15:09,-1,Jorden Williams made Jumper.,26,57
14:58,288,Kenny Cooper missed Jumper.,26,57
14:58,-1,Sewanee Defensive Rebound.,26,57
14:34,-1,Clay Born made Three Point Jumper. Assisted by Jorden Williams.,29,57
14:21,-1,Foul on Adrian Thomas.,29,57
14:18,288,Josh Williams made Layup.,29,59
14:18,-1,Foul on Clay Born.,29,59
14:18,288,Josh Williams missed Free Throw.,29,59
14:18,-1,Matthew Lee Defensive Rebound.,29,59
13:59,288,Foul on Aaron Korn.,29,59
13:59,288,Foul on Kenny Cooper.,29,59
13:48,-1,Jorden Williams missed Three Point Jumper.,29,59
13:48,288,Garrison Mathews Defensive Rebound.,29,59
13:44,288,Kenny Cooper Turnover.,29,59
13:27,288,Foul on Kenny Cooper.,29,59
13:24,-1,Hunter Buescher Turnover.,29,59
13:21,288,Josh Williams made Layup.,29,61
12:56,-1,Hunter Buescher missed Three Point Jumper.,29,61
12:56,288,Michael Buckland Defensive Rebound.,29,61
12:47,288,Josh Williams made Layup. Assisted by Michael Buckland.,29,63
12:32,288,Foul on George Brammeier.,29,63
12:11,-1,Hunter Buescher made Jumper.,31,63
12:03,288,Michael Buckland missed Three Point Jumper.,31,63
12:03,288,Cam Miller Offensive Rebound.,31,63
11:59,288,Michael Buckland made Layup.,31,65
11:42,-1,Hunter Buescher made Jumper. Assisted by Brody Stone.,33,65
11:25,-1,Foul on Brody Stone.,33,65
11:25,288,Official TV Timeout,33,65
11:21,288,Josh Williams made Jumper. Assisted by Michael Buckland.,33,67
11:11,288,Foul on Rob Marberry.,33,67
11:03,-1,Adrian Thomas made Layup.,35,67
10:56,-1,Foul on Hunter Buescher.,35,67
10:56,288,Nathan Moran made Free Throw.,35,68
10:56,288,Nathan Moran missed Free Throw.,35,68
10:56,288,Rob Marberry Offensive Rebound.,35,68
10:48,288,Garrison Mathews missed Three Point Jumper.,35,68
10:48,288,Rob Marberry Offensive Rebound.,35,68
10:46,-1,Foul on Matthew Lee.,35,68
10:46,288,Nathan Moran made Free Throw.,35,69
10:46,288,Nathan Moran made Free Throw.,35,70
10:31,-1,Hunter Buescher Turnover.,35,70
10:16,288,Josh Williams missed Three Point Jumper.,35,70
10:16,-1,Taylor Howell Defensive Rebound.,35,70
10:01,-1,Hunter Buescher made Three Point Jumper. Assisted by J.C. Spencer.,38,70
9:53,-1,Foul on J.C. Spencer.,38,70
9:53,288,Rob Marberry missed Free Throw.,38,70
9:53,-1,J.C. Spencer Defensive Rebound.,38,70
9:43,-1,Taylor Howell made Jumper.,40,70
9:32,288,Michael Buckland missed Three Point Jumper.,40,70
9:32,288,Garrison Mathews Offensive Rebound.,40,70
9:24,288,Aaron Korn made Layup.,40,72
9:06,-1,Jorden Williams missed Three Point Jumper.,40,72
9:06,288,Aaron Korn Defensive Rebound.,40,72
9:01,288,Rob Marberry made Layup. Assisted by Aaron Korn.,40,74
8:40,-1,Adrian Thomas missed Three Point Jumper.,40,74
8:40,288,Garrison Mathews Defensive Rebound.,40,74
8:22,288,Rob Marberry Turnover.,40,74
8:22,-1,Michael Barry Steal.,40,74
8:18,-1,Michael Barry missed Three Point Jumper.,40,74
8:18,288,Michael Buckland Defensive Rebound.,40,74
8:09,-1,Foul on J.C. Spencer.,40,74
8:09,288,Rob Marberry made Free Throw.,40,75
8:09,288,Rob Marberry made Free Throw.,40,76
7:53,-1,Leo Born missed Jumper.,40,76
7:53,288,Brett Wishon Defensive Rebound.,40,76
7:48,288,Garrison Mathews Turnover.,40,76
7:48,288,Official TV Timeout,40,76
7:36,-1,Jorden Williams missed Three Point Jumper.,40,76
7:36,288,Josh Williams Defensive Rebound.,40,76
7:33,-1,Foul on Leo Born.,40,76
7:33,288,Josh Williams made Free Throw.,40,77
7:33,288,Josh Williams missed Free Throw.,40,77
7:33,-1,Adrian Thomas Defensive Rebound.,40,77
7:17,-1,Jorden Williams missed Jumper.,40,77
7:17,288,Michael Buckland Defensive Rebound.,40,77
7:10,-1,Foul on Leo Born.,40,77
7:10,288,Aaron Korn made Free Throw.,40,78
7:10,288,Aaron Korn made Free Throw.,40,79
6:56,-1,Jorden Williams made Layup.,42,79
6:53,288,Kenny Cooper Turnover.,42,79
6:53,-1,Foul on Clay Born.,42,79
6:53,-1,Clay Born Turnover.,42,79
6:38,288,George Brammeier made Layup. Assisted by Kenny Cooper.,42,81
6:22,-1,Taylor Howell missed Jumper.,42,81
6:22,288,Aaron Korn Block.,42,81
6:21,-1,Sewanee Offensive Rebound.,42,81
6:12,-1,Jorden Williams made Three Point Jumper. Assisted by Adrian Thomas.,45,81
5:59,288,George Brammeier Turnover.,45,81
5:58,-1,Jorden Williams Steal.,45,81
5:28,-1,Clay Born missed Three Point Jumper.,45,81
5:28,288,Aaron Korn Defensive Rebound.,45,81
5:14,288,Kenny Cooper missed Three Point Jumper.,45,81
5:14,288,George Brammeier Offensive Rebound.,45,81
5:14,-1,Foul on Matthew Lee.,45,81
5:14,288,George Brammeier missed Free Throw.,45,81
5:14,288,Lipscomb Deadball Team Rebound.,45,81
5:14,288,George Brammeier made Free Throw.,45,82
4:54,-1,Adrian Thomas made Layup. Assisted by Jorden Williams.,47,82
4:43,-1,Foul on Adrian Thomas.,47,82
4:43,288,Brett Wishon made Free Throw.,47,83
4:43,288,Brett Wishon made Free Throw.,47,84
4:27,-1,Jorden Williams made Jumper.,49,84
4:05,288,Kenny Cooper missed Three Point Jumper.,49,84
4:05,288,Aaron Korn Offensive Rebound.,49,84
4:04,-1,Foul on Hunter Buescher.,49,84
4:04,288,Aaron Korn missed Free Throw.,49,84
4:04,288,Lipscomb Deadball Team Rebound.,49,84
4:04,288,Aaron Korn made Free Throw.,49,85
3:52,-1,Matthew Lee Turnover.,49,85
3:50,288,Kenny Cooper Steal.,49,85
3:46,288,Michael Buckland Turnover.,49,85
3:46,288,Official TV Timeout,49,85
3:14,-1,David Johnson made Layup.,51,85
3:01,-1,Foul on Adrian Thomas.,51,85
3:01,288,George Brammeier missed Free Throw.,51,85
3:01,288,Lipscomb Deadball Team Rebound.,51,85
3:01,288,George Brammeier made Free Throw.,51,86
2:43,-1,Adrian Thomas Turnover.,51,86
2:23,288,Kenny Cooper made Layup.,51,88
2:23,-1,Foul on Cam Caldwell.,51,88
2:23,288,Kenny Cooper made Free Throw.,51,89
2:22,-1,Brody Stone made Layup.,53,89
2:14,288,George Brammeier made Layup. Assisted by Michael Buckland.,53,91
1:29,-1,J.C. Spencer missed Jumper.,53,91
1:29,288,Michael Buckland Defensive Rebound.,53,91
1:17,288,Nathan Moran made Three Point Jumper. Assisted by Aaron Korn.,53,94
0:44,-1,David Johnson missed Jumper.,53,94
0:44,288,Michael Buckland Defensive Rebound.,53,94
0:11,288,Michael Buckland made Layup.,53,96
0:00,288,End of Game,53,96
