Buffalo,315,Niagara,2084
13:15,315,Kahlil Dukes Steal.,50,43
13:13,315,Matt Scott made Dunk. Assisted by Kahlil Dukes.,50,45
12:47,2084,James Jones made Three Point Jumper.,53,45
12:28,315,Kahlil Dukes Turnover.,53,45
12:27,2084,Nikola Rakicevic Steal.,53,45
12:24,315,Foul on Marvin Prochet.,53,45
12:11,2084,Nikola Rakicevic missed Layup.,53,45
12:11,315,Ali Tew Defensive Rebound.,53,45
11:56,2084,Foul on Dontay Caruthers.,53,45
11:56,315,Official TV Timeout,53,45
11:56,315,James Towns missed Free Throw.,53,45
11:56,2084,Blake Hamilton Defensive Rebound.,53,45
11:39,2084,Willie Conner missed Layup.,53,45
11:39,2084,Willie Conner Offensive Rebound.,53,45
11:34,2084,Willie Conner Turnover.,53,45
11:34,315,Matt Scott Steal.,53,45
11:34,2084,Foul on Ikenna Smart.,53,45
11:34,315,Matt Scott made Free Throw.,53,46
11:34,315,Matt Scott made Free Throw.,53,47
11:20,2084,Blake Hamilton missed Three Point Jumper.,53,47
11:20,315,Kevin Larkin Defensive Rebound.,53,47
11:11,2084,Foul on Nikola Rakicevic.,53,47
11:11,315,Matt Scott made Free Throw.,53,48
11:11,315,Matt Scott made Free Throw.,53,49
10:55,315,Foul on Chris Barton.,53,49
10:43,2084,Nick Perkins made Layup. Assisted by Blake Hamilton.,55,49
10:20,2084,Foul on Quate McKinzie.,55,49
10:20,315,Ali Tew missed Free Throw.,55,49
10:20,315,Niagara Deadball Team Rebound.,55,49
10:20,315,Ali Tew missed Free Throw.,55,49
10:20,2084,Blake Hamilton Defensive Rebound.,55,49
9:57,2084,Nick Perkins missed Jumper.,55,49
9:57,315,Kevin Larkin Defensive Rebound.,55,49
9:38,315,Matt Scott missed Three Point Jumper.,55,49
9:38,315,Ali Tew Offensive Rebound.,55,49
9:33,315,Ali Tew made Layup.,55,51
9:10,315,Foul on James Towns.,55,51
9:10,2084,Blake Hamilton missed Free Throw.,55,51
9:10,315,Ali Tew Defensive Rebound.,55,51
8:49,315,Kevin Larkin made Jumper.,55,53
8:30,2084,Nick Perkins Turnover.,55,53
8:30,2084,Foul on Nick Perkins.,55,53
8:06,315,James Towns missed Layup.,55,53
8:06,2084,Quate McKinzie Block.,55,53
8:05,315,Niagara Offensive Rebound.,55,53
8:01,315,James Towns missed Three Point Jumper.,55,53
8:01,2084,Quate McKinzie Defensive Rebound.,55,53
7:58,2084,Willie Conner made Layup. Assisted by Quate McKinzie.,57,53
7:32,315,Kevin Larkin missed Layup.,57,53
7:32,315,Matt Scott Offensive Rebound.,57,53
7:30,315,Matt Scott made Layup.,57,55
7:15,2084,Willie Conner missed Three Point Jumper.,57,55
7:15,315,Chris Barton Defensive Rebound.,57,55
7:08,315,Matt Scott made Three Point Jumper. Assisted by James Towns.,57,58
6:57,2084,Buffalo  Timeout,57,58
6:57,315,Official TV Timeout,57,58
6:44,2084,Nick Perkins missed Layup.,57,58
6:44,2084,Quate McKinzie Offensive Rebound.,57,58
6:40,2084,Quate McKinzie made Dunk.,59,58
6:26,315,Matt Scott missed Layup.,59,58
6:26,2084,Nick Perkins Defensive Rebound.,59,58
6:20,2084,Willie Conner missed Layup.,59,58
6:20,2084,Nick Perkins Offensive Rebound.,59,58
6:17,2084,Nick Perkins made Dunk.,61,58
5:59,315,James Towns made Three Point Jumper. Assisted by Matt Scott.,61,61
5:25,2084,Nick Perkins missed Three Point Jumper.,61,61
5:25,315,Kevin Larkin Defensive Rebound.,61,61
5:01,315,Kevin Larkin missed Three Point Jumper.,61,61
5:01,315,Ali Tew Offensive Rebound.,61,61
4:55,315,Ali Tew Turnover.,61,61
4:52,2084,Willie Conner Steal.,61,61
4:32,2084,Davonta Jordan Turnover.,61,61
4:30,315,Matt Scott Steal.,61,61
4:26,2084,Foul on Blake Hamilton.,61,61
4:26,315,Chris Barton made Free Throw.,61,62
4:26,315,Chris Barton made Free Throw.,61,63
4:09,2084,Willie Conner Turnover.,61,63
3:54,315,Matt Scott missed Layup.,61,63
3:54,2084,Quate McKinzie Block.,61,63
3:52,315,Ali Tew Offensive Rebound.,61,63
3:51,315,Official TV Timeout,61,63
3:51,315,Ali Tew missed Layup.,61,63
3:51,2084,Quate McKinzie Block.,61,63
3:51,2084,Quate McKinzie Defensive Rebound.,61,63
3:32,2084,Willie Conner made Three Point Jumper. Assisted by Davonta Jordan.,64,63
3:25,315,Matt Scott missed Layup.,64,63
3:25,2084,Blake Hamilton Block.,64,63
3:24,2084,Nick Perkins Defensive Rebound.,64,63
3:15,2084,Quate McKinzie made Layup. Assisted by Davonta Jordan.,66,63
2:49,315,Ali Tew Turnover.,66,63
2:39,2084,Blake Hamilton missed Layup.,66,63
2:39,315,Dominic Robb Block.,66,63
2:39,2084,Buffalo Offensive Rebound.,66,63
2:37,2084,Willie Conner made Three Point Jumper. Assisted by Davonta Jordan.,69,63
2:37,315,Foul on Kahlil Dukes.,69,63
2:37,2084,Willie Conner made Free Throw.,70,63
2:07,315,Matt Scott missed Three Point Jumper.,70,63
2:07,315,Niagara Offensive Rebound.,70,63
2:03,315,Niagara  Timeout,70,63
2:01,315,James Towns Turnover.,70,63
1:59,2084,Nick Perkins Steal.,70,63
1:55,2084,Quate McKinzie made Layup. Assisted by Davonta Jordan.,72,63
1:30,315,Dominic Robb missed Jumper.,72,63
1:30,315,Marvin Prochet Offensive Rebound.,72,63
1:10,2084,Foul on Davonta Jordan.,72,63
1:10,315,James Towns missed Free Throw.,72,63
1:10,315,Niagara Deadball Team Rebound.,72,63
1:10,315,James Towns made Free Throw.,72,64
1:01,2084,Quate McKinzie made Dunk. Assisted by Blake Hamilton.,74,64
0:54,2084,Foul on Nick Perkins.,74,64
0:54,315,James Towns made Free Throw.,74,65
0:54,315,James Towns made Free Throw.,74,66
0:53,2084,Technical Foul on Blake Hamilton.,74,66
0:53,315,Technical Foul on Matt Scott.,74,66
0:53,2084,Foul on Blake Hamilton.,74,66
0:53,315,Foul on Matt Scott.,74,66
0:53,315,Foul on James Towns.,74,66
0:53,2084,Dontay Caruthers missed Free Throw.,74,66
0:53,2084,Buffalo Deadball Team Rebound.,74,66
0:53,2084,Dontay Caruthers missed Free Throw.,74,66
0:53,315,Niagara Defensive Rebound.,74,66
0:40,315,Chris Barton Turnover.,74,66
0:39,2084,Dontay Caruthers Steal.,74,66
0:29,2084,Buffalo  Timeout,74,66
0:28,315,Foul on Maurice Taylor Jr..,74,66
0:28,2084,Nick Perkins made Free Throw.,75,66
0:28,2084,Nick Perkins made Free Throw.,76,66
0:21,315,Dwayne Pow missed Layup.,76,66
0:21,2084,Quate McKinzie Defensive Rebound.,76,66
