Western Carolina,2390,Miami,2717
11:30,2390,Ja'Quan Newton Defensive Rebound.,2,15
11:12,2390,Kamari Murphy missed Jumper.,2,15
11:12,2717,Devin Peterson Defensive Rebound.,2,15
10:41,2717,Onno Steger made Jumper.,4,15
10:18,2390,Dejan Vasiljevic missed Three Point Jumper.,4,15
10:18,2390,Dewan Huell Offensive Rebound.,4,15
10:16,2390,Dewan Huell made Jumper.,4,17
10:16,2717,Foul on Devin Peterson.,4,17
10:16,2390,Dewan Huell made Free Throw.,4,18
10:02,2717,Deriece Parks missed Jumper.,4,18
10:02,2390,Kamari Murphy Defensive Rebound.,4,18
9:52,2390,Bruce Brown Turnover.,4,18
9:51,2717,Marc Gosselin Steal.,4,18
9:46,2717,Elijah Pughsley missed Three Point Jumper.,4,18
9:46,2717,Deriece Parks Offensive Rebound.,4,18
9:23,2717,Marc Gosselin made Jumper.,6,18
9:01,2390,Dewan Huell missed Jumper.,6,18
9:01,2717,Marc Gosselin Defensive Rebound.,6,18
8:49,2717,Deriece Parks made Jumper. Assisted by Elijah Pughsley.,8,18
8:29,2390,Kamari Murphy made Jumper.,8,20
8:29,2717,Foul on Marc Gosselin.,8,20
8:29,2390,Kamari Murphy made Free Throw.,8,21
8:20,2717,Onno Steger Turnover.,8,21
8:12,2390,Anthony Lawrence Jr. made Three Point Jumper. Assisted by Ja'Quan Newton.,8,24
7:37,2717,Onno Steger made Layup.,10,24
7:20,2390,Ja'Quan Newton missed Layup.,10,24
7:20,2390,Kamari Murphy Offensive Rebound.,10,24
7:17,2390,Kamari Murphy made Dunk.,10,26
7:00,2717,Deriece Parks made Three Point Jumper. Assisted by Elijah Pughsley.,13,26
6:44,2390,Ja'Quan Newton missed Layup.,13,26
6:44,2390,Kamari Murphy Offensive Rebound.,13,26
6:40,2390,Kamari Murphy made Dunk.,13,28
6:27,2717,Onno Steger missed Three Point Jumper.,13,28
6:27,2390,Ja'Quan Newton Defensive Rebound.,13,28
6:20,2390,Ja'Quan Newton missed Layup.,13,28
6:20,2717,Jesse Deloach Block.,13,28
6:18,2717,Onno Steger Defensive Rebound.,13,28
6:13,2390,Foul on Dejan Vasiljevic.,13,28
6:13,2390,Official TV Timeout,13,28
6:09,2717,Onno Steger missed Jumper.,13,28
6:09,2390,Bruce Brown Block.,13,28
6:09,2717,Western Carolina Offensive Rebound.,13,28
5:53,2717,Elijah Pughsley Turnover.,13,28
5:38,2390,Davon Reed missed Jumper.,13,28
5:38,2717,Yalim Olcay Defensive Rebound.,13,28
5:30,2717,Elijah Pughsley missed Three Point Jumper.,13,28
5:30,2390,Miami Defensive Rebound.,13,28
5:17,2717,Foul on Onno Steger.,13,28
5:17,2390,Bruce Brown missed Free Throw.,13,28
5:17,2390,Miami Deadball Team Rebound.,13,28
5:17,2390,Bruce Brown made Free Throw.,13,29
5:05,2717,Jesse Deloach missed Layup.,13,29
5:05,2390,Anthony Lawrence Jr. Block.,13,29
5:04,2717,Yalim Olcay Offensive Rebound.,13,29
5:00,2717,Yalim Olcay missed Layup.,13,29
5:00,2390,Davon Reed Defensive Rebound.,13,29
4:55,2390,Ja'Quan Newton Turnover.,13,29
4:55,2717,Deriece Parks Steal.,13,29
4:54,2717,Deriece Parks Turnover.,13,29
4:54,2390,Ja'Quan Newton Steal.,13,29
4:51,2390,Anthony Lawrence Jr. missed Jumper.,13,29
4:51,2717,Yalim Olcay Defensive Rebound.,13,29
4:44,2390,Foul on Anthony Lawrence Jr..,13,29
4:44,2717,Yalim Olcay missed Free Throw.,13,29
4:44,2390,Bruce Brown Defensive Rebound.,13,29
4:38,2390,Davon Reed made Three Point Jumper. Assisted by Bruce Brown.,13,32
4:17,2717,Elijah Pughsley missed Three Point Jumper.,13,32
4:17,2717,Onno Steger Offensive Rebound.,13,32
4:13,2717,Onno Steger missed Layup.,13,32
4:13,2390,Dewan Huell Block.,13,32
4:11,2390,Davon Reed Defensive Rebound.,13,32
4:03,2390,Davon Reed missed Layup.,13,32
4:01,2390,Foul on Anthony Lawrence Jr..,13,32
4:01,2717,Onno Steger Defensive Rebound.,13,32
4:01,2717,Foul on Elijah Pughsley.,13,32
4:01,2717,Elijah Pughsley Turnover.,13,32
3:46,2717,Foul on Jesse Deloach.,13,32
3:46,2390,Official TV Timeout,13,32
3:46,2390,Davon Reed missed Free Throw.,13,32
3:46,2390,Miami Deadball Team Rebound.,13,32
3:46,2390,Davon Reed missed Free Throw.,13,32
3:46,2717,Yalim Olcay Defensive Rebound.,13,32
3:29,2717,Onno Steger missed Three Point Jumper.,13,32
3:29,2390,Kamari Murphy Defensive Rebound.,13,32
3:21,2390,Bruce Brown missed Layup.,13,32
3:21,2390,Dewan Huell Offensive Rebound.,13,32
3:19,2390,Dewan Huell missed Layup.,13,32
3:19,2717,Yalim Olcay Defensive Rebound.,13,32
2:59,2717,Deriece Parks made Three Point Jumper.,16,32
2:30,2390,Kamari Murphy missed Layup.,16,32
2:30,2717,Jesse Deloach Block.,16,32
2:28,2390,Kamari Murphy Offensive Rebound.,16,32
2:26,2390,Kamari Murphy made Layup.,16,34
2:12,2717,Deriece Parks missed Three Point Jumper.,16,34
2:12,2390,Dewan Huell Defensive Rebound.,16,34
2:01,2390,Ja'Quan Newton made Layup.,16,36
2:01,2717,Foul on Yalim Olcay.,16,36
2:01,2390,Ja'Quan Newton made Free Throw.,16,37
1:47,2717,Yalim Olcay made Layup. Assisted by Onno Steger.,18,37
1:31,2717,Foul on Jesse Deloach.,18,37
1:31,2390,Rodney Miller missed Free Throw.,18,37
1:31,2390,Miami Deadball Team Rebound.,18,37
1:31,2390,Rodney Miller made Free Throw.,18,38
1:14,2717,Jason McMillan missed Three Point Jumper.,18,38
1:14,2390,Miami Defensive Rebound.,18,38
0:58,2390,Dejan Vasiljevic made Three Point Jumper. Assisted by Ja'Quan Newton.,18,41
0:32,2717,Jason McMillan missed Three Point Jumper.,18,41
0:32,2390,Dejan Vasiljevic Defensive Rebound.,18,41
0:03,2390,Dejan Vasiljevic missed Three Point Jumper.,18,41
0:03,2717,Deriece Parks Defensive Rebound.,18,41
0:00,2390,End of 1st half,18,41
19:33,2717,Devin Peterson missed Jumper.,18,41
19:33,2390,Kamari Murphy Defensive Rebound.,18,41
19:10,2390,Ebuka Izundu made Jumper.,18,43
18:51,2717,Deriece Parks missed Three Point Jumper.,18,43
18:51,2390,Anthony Lawrence Jr. Defensive Rebound.,18,43
18:43,2390,Ja'Quan Newton made Layup. Assisted by Anthony Lawrence Jr..,18,45
18:43,2717,Foul on Deriece Parks.,18,45
18:43,2390,Ja'Quan Newton missed Free Throw.,18,45
18:43,2717,Deriece Parks Defensive Rebound.,18,45
18:22,2717,Elijah Pughsley Turnover.,18,45
18:21,2390,Anthony Lawrence Jr. Steal.,18,45
17:57,2390,Anthony Lawrence Jr. made Jumper.,18,47
17:51,2717,Devin Peterson missed Layup.,18,47
17:51,2390,Anthony Lawrence Jr. Block.,18,47
17:51,2717,Western Carolina Offensive Rebound.,18,47
17:49,2717,Elijah Pughsley missed Three Point Jumper.,18,47
17:49,2717,Charlendez Brooks Offensive Rebound.,18,47
17:44,2717,Charlendez Brooks Turnover.,18,47
17:38,2390,Ebuka Izundu Steal.,18,47
17:37,2390,Ja'Quan Newton made Layup. Assisted by Ebuka Izundu.,18,49
17:25,2717,Devin Peterson missed Layup.,18,49
17:25,2390,Ebuka Izundu Block.,18,49
17:25,2717,Western Carolina Offensive Rebound.,18,49
17:09,2717,Elijah Pughsley Turnover.,18,49
17:08,2390,Anthony Lawrence Jr. Steal.,18,49
16:58,2390,Ja'Quan Newton missed Jumper.,18,49
16:58,2390,Ebuka Izundu Offensive Rebound.,18,49
16:55,2390,Ebuka Izundu made Layup.,18,51
16:33,2717,Deriece Parks missed Three Point Jumper.,18,51
16:33,2390,Bruce Brown Defensive Rebound.,18,51
16:26,2390,Bruce Brown made Jumper.,18,53
16:26,2717,Foul on Elijah Pughsley.,18,53
16:26,2390,Bruce Brown missed Free Throw.,18,53
16:26,2390,Bruce Brown Offensive Rebound.,18,53
16:16,2717,Foul on Onno Steger.,18,53
15:58,2390,Bruce Brown missed Layup.,18,53
15:58,2717,Onno Steger Defensive Rebound.,18,53
15:54,2717,Onno Steger Turnover.,18,53
15:54,2390,Official TV Timeout,18,53
15:39,2390,Dewan Huell made Jumper. Assisted by Bruce Brown.,18,55
15:16,2717,Yalim Olcay made Layup.,20,55
14:58,2390,Ebuka Izundu made Jumper. Assisted by Dewan Huell.,20,57
14:39,2717,Devin Peterson missed Layup.,20,57
14:39,2717,Deriece Parks Offensive Rebound.,20,57
14:31,2717,Onno Steger made Three Point Jumper. Assisted by Deriece Parks.,23,57
14:21,2390,Bruce Brown missed Layup.,23,57
14:21,2390,Miami Offensive Rebound.,23,57
14:15,2390,Anthony Lawrence Jr. made Dunk.,23,59
14:15,2717,Foul on Yalim Olcay.,23,59
14:15,2390,Anthony Lawrence Jr. made Free Throw.,23,60
13:55,2717,Marc Gosselin missed Three Point Jumper.,23,60
13:55,2390,Bruce Brown Defensive Rebound.,23,60
13:48,2390,Foul on Dewan Huell.,23,60
13:48,2390,Dewan Huell Turnover.,23,60
13:33,2717,Deriece Parks made Layup.,25,60
13:02,2717,Foul on Devin Peterson.,25,60
13:02,2390,Bruce Brown missed Free Throw.,25,60
13:02,2390,Miami Deadball Team Rebound.,25,60
13:02,2390,Bruce Brown made Free Throw.,25,61
12:50,2717,Maurice Smith missed Layup.,25,61
12:50,2717,Yalim Olcay Offensive Rebound.,25,61
12:32,2717,Deriece Parks missed Three Point Jumper.,25,61
12:32,2390,Ja'Quan Newton Defensive Rebound.,25,61
12:30,2717,Foul on Yalim Olcay.,25,61
12:08,2390,Foul on Ebuka Izundu.,25,61
12:08,2390,Ebuka Izundu Turnover.,25,61
11:48,2717,Elijah Pughsley Turnover.,25,61
11:48,2390,Official TV Timeout,25,61
11:35,2717,Foul on Yalim Olcay.,25,61
11:35,2390,Rodney Miller made Free Throw.,25,62
11:35,2390,Rodney Miller missed Free Throw.,25,62
11:35,2390,Davon Reed Offensive Rebound.,25,62
11:17,2717,Foul on Maurice Smith.,25,62
11:17,2390,Ja'Quan Newton made Free Throw.,25,63
11:17,2390,Ja'Quan Newton missed Free Throw.,25,63
11:17,2717,Maurice Smith Defensive Rebound.,25,63
10:54,2390,Foul on Ja'Quan Newton.,25,63
10:31,2717,Maurice Smith missed Three Point Jumper.,25,63
10:31,2390,Kamari Murphy Defensive Rebound.,25,63
10:18,2717,Foul on Yalim Olcay.,25,63
10:18,2390,Ja'Quan Newton made Free Throw.,25,64
10:18,2390,Ja'Quan Newton made Free Throw.,25,65
10:01,2717,Deriece Parks missed Three Point Jumper.,25,65
10:01,2390,Bruce Brown Defensive Rebound.,25,65
9:53,2717,Foul on Jesse Deloach.,25,65
9:53,2390,Kamari Murphy made Free Throw.,25,66
9:53,2390,Kamari Murphy made Free Throw.,25,67
9:36,2717,Jesse Deloach made Dunk. Assisted by Deriece Parks.,27,67
9:13,2390,Kamari Murphy missed Layup.,27,67
9:13,2390,Rodney Miller Offensive Rebound.,27,67
9:11,2390,Rodney Miller missed Layup.,27,67
9:11,2390,Rodney Miller Offensive Rebound.,27,67
9:08,2390,Rodney Miller made Layup.,27,69
9:02,2390,Foul on Rodney Miller.,27,69
8:45,2390,Foul on Dejan Vasiljevic.,27,69
8:39,2717,Devin Peterson made Jumper. Assisted by Deriece Parks.,29,69
8:19,2390,Ebuka Izundu made Layup.,29,71
8:11,2390,Foul on Dejan Vasiljevic.,29,71
8:04,2717,Devin Peterson missed Jumper.,29,71
8:04,2390,Ebuka Izundu Defensive Rebound.,29,71
8:00,2717,Foul on Adam Sledd.,29,71
8:00,2390,Ebuka Izundu made Free Throw.,29,72
8:00,2390,Ebuka Izundu made Free Throw.,29,73
7:41,2717,Maurice Smith Turnover.,29,73
7:39,2390,Dejan Vasiljevic Steal.,29,73
7:34,2390,Anthony Lawrence Jr. Turnover.,29,73
7:33,2717,Devin Peterson Steal.,29,73
7:30,2390,Foul on Dejan Vasiljevic.,29,73
7:30,2390,Official TV Timeout,29,73
7:30,2717,Devin Peterson made Free Throw.,30,73
7:30,2717,Devin Peterson made Free Throw.,31,73
7:18,2390,Ebuka Izundu made Dunk.,31,75
7:06,2717,Devin Peterson missed Jumper.,31,75
7:06,2390,Anthony Lawrence Jr. Defensive Rebound.,31,75
6:45,2717,Foul on Adam Sledd.,31,75
6:45,2390,Dewan Huell made Free Throw.,31,76
6:45,2390,Dewan Huell made Free Throw.,31,77
6:24,2717,Elijah Pughsley missed Three Point Jumper.,31,77
6:24,2390,Dewan Huell Defensive Rebound.,31,77
6:04,2390,Bruce Brown missed Three Point Jumper.,31,77
6:04,2390,Anthony Lawrence Jr. Offensive Rebound.,31,77
6:02,2390,Anthony Lawrence Jr. missed Layup.,31,77
6:02,2717,Devin Peterson Defensive Rebound.,31,77
5:44,2717,Elijah Pughsley missed Three Point Jumper.,31,77
5:44,2390,Ebuka Izundu Defensive Rebound.,31,77
5:34,2390,Dejan Vasiljevic missed Three Point Jumper.,31,77
5:34,2717,Adam Sledd Defensive Rebound.,31,77
5:27,2717,Elijah Pughsley missed Layup.,31,77
5:27,2390,Ebuka Izundu Defensive Rebound.,31,77
5:21,2390,Dejan Vasiljevic made Three Point Jumper. Assisted by Bruce Brown.,31,80
5:04,2717,Elijah Pughsley missed Three Point Jumper.,31,80
5:04,2390,Anthony Lawrence Jr. Defensive Rebound.,31,80
4:48,2390,Dewan Huell missed Jumper.,31,80
4:48,2390,Ebuka Izundu Offensive Rebound.,31,80
4:46,2717,Foul on Elijah Pughsley.,31,80
4:46,2390,Ebuka Izundu made Free Throw.,31,81
4:46,2390,Ebuka Izundu made Free Throw.,31,82
4:29,2717,Maurice Smith missed Jumper.,31,82
4:29,2390,Bruce Brown Defensive Rebound.,31,82
4:21,2390,Bruce Brown missed Layup.,31,82
4:21,2717,Onno Steger Block.,31,82
4:18,2717,Maurice Smith Defensive Rebound.,31,82
4:01,2717,Onno Steger missed Three Point Jumper.,31,82
4:01,2390,Dewan Huell Defensive Rebound.,31,82
3:55,2390,Dejan Vasiljevic made Three Point Jumper. Assisted by Bruce Brown.,31,85
3:26,2717,Devonte Fuller missed Three Point Jumper.,31,85
3:26,2390,Dewan Huell Defensive Rebound.,31,85
3:13,2717,Foul on Adam Sledd.,31,85
3:13,2390,Official TV Timeout,31,85
3:13,2390,Rodney Miller missed Free Throw.,31,85
3:13,2390,Miami Deadball Team Rebound.,31,85
3:13,2390,Rodney Miller made Free Throw.,31,86
2:56,2717,Devonte Fuller Turnover.,31,86
2:55,2390,Mike Robinson Steal.,31,86
2:50,2390,Dewan Huell made Dunk. Assisted by Dejan Vasiljevic.,31,88
2:41,2717,Western Carolina  Timeout,31,88
2:41,2390,Official TV Timeout,31,88
2:30,2717,Jason McMillan missed Three Point Jumper.,31,88
2:30,2717,Devonte Fuller Offensive Rebound.,31,88
2:23,2717,Devonte Fuller missed Layup.,31,88
2:23,2717,Onno Steger Offensive Rebound.,31,88
2:16,2717,Jason McMillan made Three Point Jumper. Assisted by Devonte Fuller.,34,88
2:03,2390,Dewan Huell made Jumper. Assisted by Dejan Vasiljevic.,34,90
1:35,2717,Jason McMillan made Three Point Jumper. Assisted by Onno Steger.,37,90
1:11,2390,Rodney Miller missed Jumper.,37,90
1:11,2717,Maurice Smith Defensive Rebound.,37,90
0:54,2717,Jason McMillan made Three Point Jumper. Assisted by Maurice Smith.,40,90
0:33,2390,Rodney Miller missed Layup.,40,90
0:33,2390,Dejan Vasiljevic Offensive Rebound.,40,90
0:30,2390,Dejan Vasiljevic made Layup.,40,92
0:16,2717,Onno Steger made Three Point Jumper. Assisted by Maurice Smith.,43,92
0:00,2390,End of Game,43,92
