Earlham,Error,Northern Kentucky,94
15:53,-1,Thomas Sandborn missed Three Point Jumper.,8,11
15:53,94,Blake Spellman Defensive Rebound.,8,11
15:35,94,Jordan Garnett Turnover.,8,11
15:33,-1,Kenneth Stalling Jr. Steal.,8,11
15:25,-1,Kenneth Stalling Jr. missed Layup.,8,11
15:25,94,Brennan Gillis Defensive Rebound.,8,11
15:01,94,Mason Faulkner missed Three Point Jumper.,8,11
15:01,94,Jordan Garnett Offensive Rebound.,8,11
14:46,-1,Foul on Darrell Hutchison.,8,11
14:46,94,Mason Faulkner missed Free Throw.,8,11
14:46,94,Northern Kentucky Deadball Team Rebound.,8,11
14:46,94,Mason Faulkner made Free Throw.,8,12
14:39,-1,Kamari Hunter missed Jumper.,8,12
14:39,94,Northern Kentucky Defensive Rebound.,8,12
14:19,94,Brennan Gillis made Layup.,8,14
13:58,-1,Kenneth Stalling Jr. missed Three Point Jumper.,8,14
13:58,-1,Thomas Sandborn Offensive Rebound.,8,14
13:55,-1,Thomas Sandborn made Two Point Tip Shot.,10,14
13:40,94,Foul on Mason Faulkner.,10,14
13:40,94,Mason Faulkner Turnover.,10,14
13:22,-1,Elijah Wilson-Thomas missed Three Point Jumper.,10,14
13:22,-1,John Sakaleros Offensive Rebound.,10,14
13:19,94,Foul on Jordan Garnett.,10,14
13:17,-1,John Sakaleros made Layup.,12,14
12:46,94,Dantez Walton Turnover.,12,14
12:46,-1,Elijah Wilson-Thomas Steal.,12,14
12:46,94,Foul on Dantez Walton.,12,14
12:23,94,Foul on Brennan Gillis.,12,14
12:12,-1,Thomas Sandborn missed Three Point Jumper.,12,14
12:12,94,Brandon Maxwell Defensive Rebound.,12,14
11:52,94,Drew McDonald missed Layup.,12,14
11:46,94,Drew McDonald Offensive Rebound.,12,14
11:44,94,Drew McDonald made Layup.,12,16
11:33,-1,John Sakaleros made Layup. Assisted by Kamari Hunter.,14,16
11:21,94,Brandon Maxwell missed Three Point Jumper.,14,16
11:21,-1,Earlham College Defensive Rebound.,14,16
11:18,94,Official TV Timeout,14,16
10:58,-1,Blake Bonin Turnover.,14,16
10:56,94,Drew McDonald Steal.,14,16
10:54,94,Lavone Holland Ii made Layup. Assisted by Drew McDonald.,14,18
10:54,-1,Foul on Alex Topalovic.,14,18
10:54,94,Lavone Holland Ii made Free Throw.,14,19
10:23,-1,Tarig Eldosougi missed Three Point Jumper.,14,19
10:23,94,Northern Kentucky Deadball Team Rebound.,14,19
10:12,94,Brandon Maxwell Turnover.,14,19
9:55,-1,Darrell Hutchison missed Jumper.,14,19
9:55,94,Jeff Garrett Defensive Rebound.,14,19
9:47,94,Jeff Garrett missed Layup.,14,19
9:47,94,Jeff Garrett Offensive Rebound.,14,19
9:43,-1,Foul on Tarig Eldosougi.,14,19
9:43,94,Jeff Garrett missed Free Throw.,14,19
9:43,94,Northern Kentucky Deadball Team Rebound.,14,19
9:43,94,Jeff Garrett missed Free Throw.,14,19
9:43,-1,Tarig Eldosougi Defensive Rebound.,14,19
9:31,-1,Thomas Sandborn Turnover.,14,19
9:14,-1,Foul on Tarig Eldosougi.,14,19
9:14,94,Jeff Garrett made Free Throw.,14,20
9:14,94,Jeff Garrett made Free Throw.,14,21
9:00,94,Foul on Jalen Tate.,14,21
9:00,-1,Darrell Hutchison missed Free Throw.,14,21
9:00,94,Jeff Garrett Defensive Rebound.,14,21
8:54,94,Jalen Tate missed Layup.,14,21
8:54,94,Carson Williams Offensive Rebound.,14,21
8:51,94,Carson Williams made Layup.,14,23
8:32,-1,Darrell Hutchison Turnover.,14,23
8:29,94,Jeff Garrett Steal.,14,23
8:26,94,Jeff Garrett made Dunk.,14,25
8:14,-1,Blake Bonin missed Three Point Jumper.,14,25
8:14,94,Lavone Holland Ii Defensive Rebound.,14,25
8:04,94,Drew McDonald made Layup. Assisted by Lavone Holland Ii.,14,27
8:02,-1,Earlham College  Timeout,14,27
7:45,-1,Darrell Hutchison Turnover.,14,27
7:38,-1,Foul on Blake Bonin.,14,27
7:38,94,Carson Williams missed Free Throw.,14,27
7:38,94,Northern Kentucky Deadball Team Rebound.,14,27
7:38,94,Carson Williams made Free Throw.,14,28
7:32,-1,Blake Bonin Turnover.,14,28
7:30,94,Mason Faulkner Steal.,14,28
7:28,94,Lavone Holland Ii made Dunk. Assisted by Mason Faulkner.,14,30
7:04,94,Foul on Mason Faulkner.,14,30
7:04,-1,Bailey Stewart made Free Throw.,15,30
7:04,-1,Bailey Stewart made Free Throw.,16,30
6:50,94,Cole Murray made Three Point Jumper. Assisted by Mason Faulkner.,16,33
6:13,-1,Nick Sands Turnover.,16,33
6:12,94,Jalen Tate Steal.,16,33
6:10,94,Cole Murray missed Three Point Jumper.,16,33
6:10,-1,Kamari Hunter Defensive Rebound.,16,33
6:10,94,Foul on Carson Williams.,16,33
6:10,-1,Kamari Hunter made Free Throw.,17,33
6:10,-1,Kamari Hunter made Free Throw.,18,33
5:51,94,Lavone Holland Ii Turnover.,18,33
5:48,-1,Thomas Sandborn Steal.,18,33
5:37,94,Foul on Cole Murray.,18,33
5:37,-1,Thomas Sandborn missed Free Throw.,18,33
5:37,-1,Earlham College Deadball Team Rebound.,18,33
5:37,-1,Thomas Sandborn made Free Throw.,19,33
5:17,94,Jalen Tate missed Three Point Jumper.,19,33
5:17,94,Carson Williams Offensive Rebound.,19,33
5:13,-1,Foul on Nick Sands.,19,33
5:13,94,Carson Williams made Free Throw.,19,34
5:13,94,Carson Williams made Free Throw.,19,35
5:03,-1,John Sakaleros Turnover.,19,35
5:00,94,Carson Williams made Dunk. Assisted by Brandon Maxwell.,19,37
4:44,-1,Kamari Hunter Turnover.,19,37
4:42,94,Jeff Garrett Steal.,19,37
4:39,94,Jeff Garrett made Dunk.,19,39
4:36,-1,Earlham College  Timeout,19,39
4:18,-1,Blake Bonin missed Layup.,19,39
4:18,-1,Darrell Hutchison Offensive Rebound.,19,39
4:14,-1,Darrell Hutchison missed Layup.,19,39
4:14,94,Carson Williams Block.,19,39
4:12,-1,Blake Bonin Offensive Rebound.,19,39
4:08,-1,Blake Bonin made Jumper.,21,39
4:01,94,Carson Williams missed Layup.,21,39
4:01,94,Carson Williams Offensive Rebound.,21,39
3:59,94,Carson Williams made Layup.,21,41
3:36,-1,Darrell Hutchison Turnover.,21,41
3:36,-1,Foul on Darrell Hutchison.,21,41
3:36,94,Official TV Timeout,21,41
3:18,94,Drew McDonald missed Three Point Jumper.,21,41
3:18,94,Jeff Garrett Offensive Rebound.,21,41
3:15,94,Jeff Garrett made Layup.,21,43
2:55,94,Foul on Dantez Walton.,21,43
2:55,-1,Alex Topalovic made Free Throw.,22,43
2:55,-1,Alex Topalovic missed Free Throw.,22,43
2:55,94,Jeff Garrett Defensive Rebound.,22,43
2:28,94,Dantez Walton made Free Throw.,22,44
2:28,94,Dantez Walton made Free Throw.,22,45
2:28,-1,Foul on John Sakaleros.,22,45
2:21,94,Jeff Garrett Block.,22,45
2:21,-1,Thomas Sandborn missed Three Point Jumper.,22,45
2:19,94,Jeff Garrett Defensive Rebound.,22,45
1:57,94,Blake Spellman made Three Point Jumper. Assisted by Jeff Garrett.,22,48
1:29,-1,Blake Bonin missed Three Point Jumper.,22,48
1:29,94,Jeff Garrett Defensive Rebound.,22,48
1:21,94,Dantez Walton missed Three Point Jumper.,22,48
1:21,-1,Blake Bonin Defensive Rebound.,22,48
0:57,-1,Thomas Sandborn missed Jumper.,22,48
0:57,94,Jeff Garrett Defensive Rebound.,22,48
0:52,94,Northern Kentucky  Timeout,22,48
0:52,94,Dantez Walton missed Layup.,22,48
0:52,-1,Kamari Hunter Defensive Rebound.,22,48
0:14,-1,John Sakaleros missed Jumper.,22,48
0:14,94,Jordan Garnett Defensive Rebound.,22,48
0:07,94,Drew McDonald Turnover.,22,48
0:05,-1,Tarig Eldosougi missed Three Point Jumper.,22,48
0:05,94,Northern Kentucky Deadball Team Rebound.,22,48
0:00,94,End of 1st half,22,48
19:49,94,Jeff Garrett made Dunk. Assisted by Lavone Holland Ii.,22,50
19:30,-1,Darrell Hutchison missed Layup.,22,50
19:30,94,Drew McDonald Defensive Rebound.,22,50
19:22,94,Lavone Holland Ii Turnover.,22,50
19:17,-1,Nick Sands made Three Point Jumper. Assisted by Blake Bonin.,25,50
19:04,94,Jalen Tate made Layup.,25,52
18:43,-1,Elijah Wilson-Thomas missed Three Point Jumper.,25,52
18:43,-1,Blake Bonin Offensive Rebound.,25,52
18:36,-1,Elijah Wilson-Thomas made Layup. Assisted by Blake Bonin.,27,52
18:27,94,Carson Williams made Layup. Assisted by Lavone Holland Ii.,27,54
18:25,-1,Earlham College  Timeout,27,54
18:07,-1,Thomas Sandborn made Three Point Jumper. Assisted by Blake Bonin.,30,54
17:56,94,Brandon Maxwell Turnover.,30,54
17:47,94,Foul on Blake Spellman.,30,54
17:38,-1,Nick Sands missed Layup.,30,54
17:38,94,Brennan Gillis Block.,30,54
17:37,-1,Earlham College Offensive Rebound.,30,54
17:33,-1,Darrell Hutchison missed Layup.,30,54
17:33,94,Northern Kentucky Defensive Rebound.,30,54
17:17,94,Brandon Maxwell Turnover.,30,54
17:14,-1,Blake Bonin Turnover.,30,54
17:13,94,Jordan Garnett Steal.,30,54
17:12,94,Jalen Tate made Dunk. Assisted by Jordan Garnett.,30,56
16:59,-1,Nick Sands missed Three Point Jumper.,30,56
16:59,94,Cole Murray Defensive Rebound.,30,56
16:50,94,Jalen Tate Turnover.,30,56
16:34,-1,Darrell Hutchison missed Jumper.,30,56
16:34,94,Cole Murray Defensive Rebound.,30,56
16:26,94,Cole Murray made Three Point Jumper. Assisted by Mason Faulkner.,30,59
15:56,-1,Blake Bonin missed Layup.,30,59
15:56,94,Brennan Gillis Block.,30,59
15:54,94,Cole Murray Defensive Rebound.,30,59
15:50,94,Brennan Gillis Turnover.,30,59
15:50,94,Foul on Brennan Gillis.,30,59
15:50,94,Official TV Timeout,30,59
15:47,94,Foul on Jalen Tate.,30,59
15:16,-1,Blake Bonin missed Three Point Jumper.,30,59
15:16,94,Jalen Tate Block.,30,59
15:16,94,Northern Kentucky Deadball Team Rebound.,30,59
15:11,94,Mason Faulkner made Layup.,30,61
15:02,94,Foul on Mason Faulkner.,30,61
14:58,-1,Nick Sands made Three Point Jumper. Assisted by Darrell Hutchison.,33,61
14:44,94,Jalen Tate made Layup. Assisted by Brennan Gillis.,33,63
14:44,-1,Foul on Alex Topalovic.,33,63
14:44,94,Jalen Tate made Free Throw.,33,64
14:33,-1,Nick Sands missed Layup.,33,64
14:29,94,Lavone Holland Ii Defensive Rebound.,33,64
14:25,94,Drew McDonald made Layup. Assisted by Lavone Holland Ii.,33,66
14:25,-1,Foul on Blake Bonin.,33,66
14:25,94,Drew McDonald missed Free Throw.,33,66
14:25,-1,Kenneth Stalling Jr. Defensive Rebound.,33,66
14:11,-1,Thomas Sandborn Turnover.,33,66
14:10,94,Jeff Garrett Steal.,33,66
14:08,94,Jeff Garrett made Dunk.,33,68
13:41,-1,Blake Bonin missed Three Point Jumper.,33,68
13:41,94,Drew McDonald Defensive Rebound.,33,68
13:32,94,Lavone Holland Ii missed Three Point Jumper.,33,68
13:32,-1,Nick Sands Defensive Rebound.,33,68
13:22,-1,Darrell Hutchison missed Jumper.,33,68
13:22,94,Jeff Garrett Defensive Rebound.,33,68
13:12,94,Carson Williams made Layup.,33,70
13:12,-1,Foul on Darrell Hutchison.,33,70
13:12,94,Carson Williams missed Free Throw.,33,70
13:12,-1,Kenneth Stalling Jr. Defensive Rebound.,33,70
12:43,-1,Kamari Hunter missed Three Point Jumper.,33,70
12:43,94,Jeff Garrett Defensive Rebound.,33,70
12:36,94,Drew McDonald made Layup. Assisted by Jeff Garrett.,33,72
12:11,-1,John Sakaleros made Layup. Assisted by Kenneth Stalling Jr..,35,72
11:57,94,Lavone Holland Ii Turnover.,35,72
11:57,94,Official TV Timeout,35,72
11:34,-1,Nick Sands made Three Point Jumper. Assisted by Kamari Hunter.,38,72
11:11,94,Lavone Holland Ii Turnover.,38,72
10:59,-1,Nick Sands Turnover.,38,72
10:59,-1,Foul on Nick Sands.,38,72
10:43,94,Dantez Walton made Layup. Assisted by Drew McDonald.,38,74
10:20,-1,John Sakaleros made Jumper.,40,74
10:14,94,Cole Murray missed Three Point Jumper.,40,74
10:14,-1,Elijah Wilson-Thomas Defensive Rebound.,40,74
9:51,-1,John Sakaleros Turnover.,40,74
9:43,94,Blake Spellman Turnover.,40,74
9:41,-1,Elijah Wilson-Thomas Steal.,40,74
9:36,-1,Kenneth Stalling Jr. Turnover.,40,74
9:28,94,Cole Murray missed Three Point Jumper.,40,74
9:28,94,Dantez Walton Offensive Rebound.,40,74
9:22,94,Dantez Walton made Layup.,40,76
9:12,-1,Kamari Hunter made Three Point Jumper.,43,76
8:53,94,Dantez Walton made Three Point Jumper. Assisted by Lavone Holland Ii.,43,79
8:31,-1,Elijah Wilson-Thomas Turnover.,43,79
8:31,-1,Foul on Elijah Wilson-Thomas.,43,79
8:20,94,Blake Spellman made Three Point Jumper. Assisted by Dantez Walton.,43,82
7:49,-1,Kenneth Stalling Jr. missed Three Point Jumper.,43,82
7:49,94,Cole Murray Defensive Rebound.,43,82
7:36,94,Cole Murray missed Three Point Jumper.,43,82
7:36,-1,Elijah Wilson-Thomas Defensive Rebound.,43,82
7:16,-1,Elijah Wilson-Thomas missed Layup.,43,82
7:16,-1,Earlham College Offensive Rebound.,43,82
7:13,94,Official TV Timeout,43,82
7:05,-1,Bailey Stewart missed Three Point Jumper.,43,82
7:05,94,Dantez Walton Defensive Rebound.,43,82
6:58,94,Mason Faulkner Turnover.,43,82
6:42,-1,Darrell Hutchison made Jumper.,45,82
6:23,94,Brandon Maxwell made Layup.,45,84
6:08,-1,Darrell Hutchison missed Jumper.,45,84
6:08,94,Northern Kentucky Defensive Rebound.,45,84
5:55,94,Brennan Gillis made Layup. Assisted by Brandon Maxwell.,45,86
5:32,-1,Kamari Hunter made Three Point Jumper. Assisted by Tarig Eldosougi.,48,86
5:12,94,Brennan Gillis missed Three Point Jumper.,48,86
5:12,-1,Darrell Hutchison Defensive Rebound.,48,86
4:55,-1,Darrell Hutchison made Layup. Assisted by Kamari Hunter.,50,86
4:55,94,Foul on Brandon Maxwell.,50,86
4:55,-1,Darrell Hutchison missed Free Throw.,50,86
4:55,94,Dantez Walton Defensive Rebound.,50,86
4:41,-1,Foul on Bailey Stewart.,50,86
4:41,94,Mason Faulkner made Free Throw.,50,87
4:41,94,Mason Faulkner made Free Throw.,50,88
4:33,-1,Darrell Hutchison made Jumper.,52,88
4:14,94,Dantez Walton made Layup. Assisted by Brennan Gillis.,52,90
4:01,-1,Kamari Hunter missed Jumper.,52,90
4:01,94,Northern Kentucky Defensive Rebound.,52,90
3:58,94,Official TV Timeout,52,90
3:43,94,Brennan Gillis made Layup. Assisted by Jordan Garnett.,52,92
3:25,94,Foul on Brandon Maxwell.,52,92
3:25,-1,Bailey Stewart missed Free Throw.,52,92
3:25,-1,Earlham College Deadball Team Rebound.,52,92
3:25,-1,Bailey Stewart missed Free Throw.,52,92
3:25,94,Dantez Walton Defensive Rebound.,52,92
3:13,94,Brandon Maxwell Turnover.,52,92
2:59,-1,Tarig Eldosougi missed Three Point Jumper.,52,92
2:59,94,Mason Faulkner Defensive Rebound.,52,92
2:52,94,Mason Faulkner made Layup.,52,94
2:37,-1,Darrell Hutchison missed Layup.,52,94
2:37,94,Brennan Gillis Block.,52,94
2:34,-1,Tarig Eldosougi Offensive Rebound.,52,94
2:33,-1,Tarig Eldosougi made Jumper.,54,94
2:24,94,Brandon Maxwell Turnover.,54,94
2:23,-1,Kamari Hunter Steal.,54,94
2:19,-1,Tarig Eldosougi made Dunk.,56,94
1:52,94,Brennan Gillis missed Layup.,56,94
1:52,-1,Darrell Hutchison Defensive Rebound.,56,94
1:43,-1,Earlham College  Timeout,56,94
1:39,-1,John Sakaleros missed Jumper.,56,94
1:39,94,Dantez Walton Defensive Rebound.,56,94
1:23,94,Mason Faulkner missed Three Point Jumper.,56,94
1:23,-1,Earlham College Defensive Rebound.,56,94
0:59,-1,Alex Topalovic missed Jumper.,56,94
0:59,94,Dantez Walton Defensive Rebound.,56,94
0:49,94,Mason Faulkner Turnover.,56,94
0:48,-1,Nick Sands Steal.,56,94
0:42,-1,Earlham College  Timeout,56,94
0:32,-1,Cezannie Mount Turnover.,56,94
0:09,94,Brennan Gillis made Layup. Assisted by Mason Faulkner.,56,96
0:00,94,End of Game,56,96
