Coastal Carolina,333,Alabama,324
4:00,333,Foul on Bola Olaniyan.,24,18
4:00,333,Bola Olaniyan Turnover.,24,18
3:49,333,Foul on Dazon Ingram.,24,18
3:49,333,Official TV Timeout,24,18
3:49,324,Elijah Wilson missed Free Throw.,24,18
3:49,324,Coastal Carolina Offensive Rebound.,24,18
3:49,333,Foul on Shannon Hale.,24,18
3:49,324,Amidou Bamba made Free Throw.,25,18
3:49,324,Amidou Bamba missed Free Throw.,25,18
3:49,333,Alabama Defensive Rebound.,25,18
3:49,324,Foul on Joseph Williams-Powell.,25,18
3:47,333,Shannon Hale missed Free Throw.,25,18
3:47,324,Amidou Bamba Defensive Rebound.,25,18
3:23,324,Amidou Bamba missed Layup.,25,18
3:23,333,Jimmie Taylor Block.,25,18
3:20,333,Alabama Defensive Rebound.,25,18
3:07,333,Shannon Hale missed Three Point Jumper.,25,18
3:07,324,Elijah Wilson Defensive Rebound.,25,18
3:03,333,Foul on Dazon Ingram.,25,18
3:00,324,Elijah Wilson missed Free Throw.,25,18
3:00,324,Coastal Carolina Deadball Team Rebound.,25,18
3:00,324,Elijah Wilson made Free Throw.,26,18
2:45,333,Shannon Hale made Jumper.,26,20
2:36,324,Demario Beck missed Three Point Jumper.,26,20
2:36,333,Braxton Key Defensive Rebound.,26,20
2:29,333,Ar'Mond Davis missed Three Point Jumper.,26,20
2:29,324,Coastal Carolina Defensive Rebound.,26,20
2:09,333,Foul on Corban Collins.,26,20
2:09,324,Jaylen Shaw missed Free Throw.,26,20
2:09,324,Coastal Carolina Deadball Team Rebound.,26,20
2:09,324,Jaylen Shaw made Free Throw.,27,20
1:54,333,Ar'Mond Davis missed Three Point Jumper.,27,20
1:54,324,Coastal Carolina Defensive Rebound.,27,20
1:38,324,Colton Ray-St Cyr missed Three Point Jumper.,27,20
1:38,333,Shannon Hale Defensive Rebound.,27,20
1:26,333,Donta Hall made Layup. Assisted by Corban Collins.,27,22
1:10,324,Elijah Wilson made Three Point Jumper. Assisted by Colton Ray-St Cyr.,30,22
0:58,333,Corban Collins made Three Point Jumper.,30,25
0:41,324,Colton Ray-St Cyr made Three Point Jumper.,33,25
0:20,324,Foul on Amidou Bamba.,33,25
0:20,333,Corban Collins made Free Throw.,33,26
0:20,333,Corban Collins made Free Throw.,33,27
0:20,324,Coastal Carolina  Timeout,33,27
0:05,324,Elijah Wilson missed Jumper.,33,27
0:05,333,Donta Hall Defensive Rebound.,33,27
0:00,333,End of 1st half,33,27
19:41,333,Bola Olaniyan made Jumper.,33,29
19:41,324,Foul on Josh Coleman.,33,29
19:41,333,Bola Olaniyan made Free Throw.,33,30
19:24,324,Jaylan Robertson missed Three Point Jumper.,33,30
19:24,324,Coastal Carolina Offensive Rebound.,33,30
19:18,324,Elijah Wilson made Three Point Jumper. Assisted by Colton Ray-St Cyr.,36,30
19:02,333,Dazon Ingram made Three Point Jumper.,36,33
18:46,333,Foul on Bola Olaniyan.,36,33
18:46,324,Josh Coleman made Free Throw.,37,33
18:46,324,Josh Coleman made Free Throw.,38,33
18:29,333,Braxton Key missed Three Point Jumper.,38,33
18:29,333,Jimmie Taylor Offensive Rebound.,38,33
18:25,324,Foul on Demario Beck.,38,33
18:25,333,Jimmie Taylor missed Free Throw.,38,33
18:25,333,Alabama Deadball Team Rebound.,38,33
18:25,333,Jimmie Taylor made Free Throw.,38,34
18:07,324,Elijah Wilson missed Three Point Jumper.,38,34
18:07,333,Dazon Ingram Defensive Rebound.,38,34
17:57,333,Jimmie Taylor made Layup.,38,36
17:57,324,Foul on Josh Coleman.,38,36
17:57,333,Jimmie Taylor made Free Throw.,38,37
17:41,324,Elijah Wilson missed Layup.,38,37
17:41,324,Elijah Wilson Offensive Rebound.,38,37
17:38,324,Elijah Wilson missed Layup.,38,37
17:38,333,Corban Collins Defensive Rebound.,38,37
17:32,333,Dazon Ingram Turnover.,38,37
17:21,324,Foul on Demario Beck.,38,37
17:21,324,Demario Beck Turnover.,38,37
17:05,333,Riley Norris missed Three Point Jumper.,38,37
17:05,324,Demario Beck Defensive Rebound.,38,37
16:54,324,Colton Ray-St Cyr Turnover.,38,37
16:34,333,Riley Norris made Layup. Assisted by Corban Collins.,38,39
16:20,333,Foul on Dazon Ingram.,38,39
16:14,333,Foul on Jimmie Taylor.,38,39
16:01,324,Jaylan Robertson missed Jumper.,38,39
16:01,333,Jimmie Taylor Defensive Rebound.,38,39
15:56,333,Corban Collins made Three Point Jumper. Assisted by Dazon Ingram.,38,42
15:23,324,Artur Labinowicz missed Jumper.,38,42
15:23,333,Riley Norris Defensive Rebound.,38,42
15:13,324,Foul on Amidou Bamba.,38,42
15:13,333,Official TV Timeout,38,42
14:57,324,Foul on Jaylan Robertson.,38,42
14:51,333,Dazon Ingram made Layup.,38,44
14:23,324,Amidou Bamba missed Layup.,38,44
14:23,333,Jimmie Taylor Block.,38,44
14:21,333,Riley Norris Defensive Rebound.,38,44
14:17,324,Foul on Jaylan Robertson.,38,44
14:17,333,Corban Collins made Free Throw.,38,45
14:17,333,Corban Collins made Free Throw.,38,46
13:57,324,Jaylen Shaw missed Jumper.,38,46
13:57,333,Jimmie Taylor Defensive Rebound.,38,46
13:54,324,Foul on Demario Beck.,38,46
13:54,333,Jimmie Taylor made Free Throw.,38,47
13:54,333,Jimmie Taylor missed Free Throw.,38,47
13:54,324,Joseph Williams-Powell Defensive Rebound.,38,47
13:30,333,Foul on Corban Collins.,38,47
13:30,324,Jaylen Shaw made Free Throw.,39,47
13:30,324,Jaylen Shaw made Free Throw.,40,47
13:30,324,Jaylen Shaw missed Free Throw.,40,47
13:30,333,Dazon Ingram Defensive Rebound.,40,47
13:09,333,Ar'Mond Davis made Three Point Jumper. Assisted by Braxton Key.,40,50
12:46,324,Jaylen Shaw missed Jumper.,40,50
12:46,333,Ar'Mond Davis Defensive Rebound.,40,50
12:34,324,Foul on Elijah Wilson.,40,50
12:34,333,Jimmie Taylor missed Free Throw.,40,50
12:34,324,Amidou Bamba Defensive Rebound.,40,50
12:15,324,Joseph Williams-Powell missed Layup.,40,50
12:15,333,Jimmie Taylor Block.,40,50
12:13,324,Jaylen Shaw Offensive Rebound.,40,50
12:08,324,Jaylen Shaw missed Three Point Jumper.,40,50
12:08,333,Jimmie Taylor Defensive Rebound.,40,50
11:51,333,Ar'Mond Davis missed Three Point Jumper.,40,50
11:51,333,Riley Norris Offensive Rebound.,40,50
11:48,333,Riley Norris missed Layup.,40,50
11:48,324,Amidou Bamba Block.,40,50
11:47,324,Coastal Carolina Defensive Rebound.,40,50
11:45,333,Official TV Timeout,40,50
