American,120,Maryland,44
4:20,120,Anthony Cowan Turnover.,21,18
4:20,44,Sa'eed Nelson Steal.,21,18
4:17,44,Sa'eed Nelson made Layup.,23,18
4:14,120,Maryland  Timeout,23,18
4:04,120,Anthony Cowan made Three Point Jumper. Assisted by Melo Trimble.,23,21
4:00,44,Leon Tolksdorf Turnover.,23,21
3:17,44,Foul on James Washington.,23,21
3:17,120,Anthony Cowan missed Free Throw.,23,21
3:17,120,Dion Wiley Offensive Rebound.,23,21
3:14,120,Dion Wiley missed Jumper.,23,21
3:14,44,Matt Cimino Block.,23,21
3:14,120,Anthony Cowan Offensive Rebound.,23,21
3:14,44,Foul on Sa'eed Nelson.,23,21
3:14,120,Anthony Cowan made Free Throw.,23,22
3:14,120,Anthony Cowan made Free Throw.,23,23
2:55,44,Charlie Jones Turnover.,23,23
2:55,120,Anthony Cowan Steal.,23,23
2:50,120,Anthony Cowan made Layup.,23,25
2:50,44,Foul on James Washington.,23,25
2:50,120,Anthony Cowan made Free Throw.,23,26
2:25,44,Leon Tolksdorf missed Three Point Jumper.,23,26
2:25,120,Melo Trimble Defensive Rebound.,23,26
2:19,44,Foul on Jalen Rhea.,23,26
2:19,120,Melo Trimble made Free Throw.,23,27
2:19,120,Melo Trimble made Free Throw.,23,28
1:55,44,James Washington missed Three Point Jumper.,23,28
1:55,120,Melo Trimble Defensive Rebound.,23,28
1:37,120,Kevin Huerter missed Jumper.,23,28
1:37,120,Justin Jackson Offensive Rebound.,23,28
1:33,120,Justin Jackson missed Layup.,23,28
1:33,120,Maryland Offensive Rebound.,23,28
1:10,120,Melo Trimble Turnover.,23,28
1:05,44,Sa'eed Nelson made Layup. Assisted by Charlie Jones.,25,28
0:44,120,Melo Trimble made Layup.,25,30
0:32,44,American  Timeout,25,30
0:07,44,Delante Jones Turnover.,25,30
0:03,44,Foul on Charlie Jones.,25,30
0:03,120,Melo Trimble made Free Throw.,25,31
0:03,120,Melo Trimble missed Free Throw.,25,31
0:03,44,Charlie Jones Defensive Rebound.,25,31
0:00,120,End of 1st half,25,31
20:00,44,Jump Ball won by American,25,31
19:51,120,Foul on Kevin Huerter.,25,31
19:41,44,Mark Gasperini Turnover.,25,31
19:41,120,Justin Jackson Steal.,25,31
19:41,120,Jump Ball won by Maryland,25,31
19:24,120,Melo Trimble Turnover.,25,31
19:24,44,Sa'eed Nelson Steal.,25,31
19:05,44,Mark Gasperini made Three Point Jumper. Assisted by Leon Tolksdorf.,28,31
18:42,120,Anthony Cowan Turnover.,28,31
18:42,44,Leon Tolksdorf Steal.,28,31
18:28,44,Sa'eed Nelson missed Three Point Jumper.,28,31
18:28,120,Kevin Huerter Defensive Rebound.,28,31
18:17,120,Melo Trimble missed Jumper.,28,31
18:17,44,Leon Tolksdorf Defensive Rebound.,28,31
18:06,120,Foul on Anthony Cowan.,28,31
18:06,44,Sa'eed Nelson missed Free Throw.,28,31
18:06,44,American Deadball Team Rebound.,28,31
18:06,44,Sa'eed Nelson made Free Throw.,29,31
17:51,44,Foul on Delante Jones.,29,31
17:51,120,Damonte Dodd made Free Throw.,29,32
17:51,120,Damonte Dodd missed Free Throw.,29,32
17:51,120,Justin Jackson Offensive Rebound.,29,32
17:48,120,Melo Trimble made Layup.,29,34
17:32,44,Delante Jones made Three Point Jumper. Assisted by Mark Gasperini.,32,34
17:19,120,Melo Trimble missed Jumper.,32,34
17:19,120,Anthony Cowan Offensive Rebound.,32,34
17:13,120,Kevin Huerter missed Layup.,32,34
17:13,120,Anthony Cowan Offensive Rebound.,32,34
17:08,120,Melo Trimble missed Three Point Jumper.,32,34
17:08,44,Mark Gasperini Defensive Rebound.,32,34
16:50,44,Leon Tolksdorf missed Three Point Jumper.,32,34
16:50,120,Anthony Cowan Defensive Rebound.,32,34
16:43,120,Anthony Cowan made Layup.,32,36
16:27,44,Mark Gasperini missed Three Point Jumper.,32,36
16:27,120,Kevin Huerter Defensive Rebound.,32,36
16:16,120,Anthony Cowan Turnover.,32,36
16:16,44,Delante Jones Steal.,32,36
15:51,44,Mark Gasperini made Layup. Assisted by Delante Jones.,34,36
15:29,120,Kevin Huerter missed Layup.,34,36
15:29,44,Leon Tolksdorf Block.,34,36
15:29,44,James Washington Defensive Rebound.,34,36
15:22,44,Delante Jones missed Dunk.,34,36
15:22,120,Justin Jackson Defensive Rebound.,34,36
15:08,120,Damonte Dodd missed Jumper.,34,36
15:08,44,Mark Gasperini Defensive Rebound.,34,36
14:44,44,James Washington made Jumper.,36,36
14:38,44,American  Timeout,36,36
14:26,120,Dion Wiley missed Jumper.,36,36
14:26,120,Ivan Bender Offensive Rebound.,36,36
14:18,120,Ivan Bender missed Layup.,36,36
14:18,44,Matt Cimino Block.,36,36
14:18,120,Dion Wiley Offensive Rebound.,36,36
14:09,120,Jaylen Brantley Turnover.,36,36
13:43,44,Delante Jones Turnover.,36,36
13:43,120,Official TV Timeout,36,36
13:26,120,Dion Wiley missed Jumper.,36,36
13:26,44,Charlie Jones Block.,36,36
13:26,44,Matt Cimino Defensive Rebound.,36,36
13:10,44,Delante Jones missed Three Point Jumper.,36,36
13:10,120,Jaylen Brantley Defensive Rebound.,36,36
13:01,120,Jared Nickens missed Jumper.,36,36
13:01,44,Matt Cimino Defensive Rebound.,36,36
12:39,120,Foul on Dion Wiley.,36,36
12:39,44,Sa'eed Nelson made Free Throw.,37,36
12:39,44,Sa'eed Nelson made Free Throw.,38,36
12:39,44,Sa'eed Nelson made Free Throw.,39,36
12:28,120,L.G. Gill made Jumper. Assisted by Melo Trimble.,39,38
12:01,44,Jalen Rhea missed Three Point Jumper.,39,38
12:01,120,Jaylen Brantley Defensive Rebound.,39,38
11:39,120,Foul on Jaylen Brantley.,39,38
11:39,120,Jaylen Brantley Turnover.,39,38
11:39,120,Official TV Timeout,39,38
11:16,44,Delante Jones missed Jumper.,39,38
11:16,120,Kevin Huerter Defensive Rebound.,39,38
11:05,44,Foul on Delante Jones.,39,38
10:52,120,Damonte Dodd made Jumper. Assisted by Melo Trimble.,39,40
10:52,44,Foul on Mark Gasperini.,39,40
10:52,120,Damonte Dodd missed Free Throw.,39,40
10:52,44,Charlie Jones Defensive Rebound.,39,40
10:37,44,Mark Gasperini made Three Point Jumper. Assisted by Charlie Jones.,42,40
10:10,120,Kevin Huerter made Three Point Jumper. Assisted by Damonte Dodd.,42,43
9:50,120,Foul on Melo Trimble.,42,43
9:21,44,Matt Cimino missed Jumper.,42,43
9:21,120,Kevin Huerter Defensive Rebound.,42,43
8:50,120,Melo Trimble missed Three Point Jumper.,42,43
8:50,120,Jared Nickens Offensive Rebound.,42,43
8:46,44,Foul on Jalen Rhea.,42,43
8:22,120,Damonte Dodd missed Jumper.,42,43
8:22,44,James Washington Defensive Rebound.,42,43
8:01,44,Matt Cimino made Three Point Jumper. Assisted by Leon Tolksdorf.,45,43
7:40,120,Kevin Huerter Turnover.,45,43
7:40,44,Charlie Jones Steal.,45,43
7:33,44,James Washington made Layup.,47,43
7:25,120,Maryland  Timeout,47,43
7:22,120,Kevin Huerter Turnover.,47,43
7:22,44,Charlie Jones Steal.,47,43
7:04,44,Charlie Jones missed Three Point Jumper.,47,43
7:04,120,L.G. Gill Defensive Rebound.,47,43
6:46,44,Foul on Sa'eed Nelson.,47,43
6:41,120,Melo Trimble missed Three Point Jumper.,47,43
6:41,120,Anthony Cowan Offensive Rebound.,47,43
6:32,120,Melo Trimble made Jumper.,47,45
6:09,44,James Washington missed Three Point Jumper.,47,45
6:09,120,Anthony Cowan Defensive Rebound.,47,45
5:41,120,Melo Trimble made Layup.,47,47
5:23,44,James Washington missed Three Point Jumper.,47,47
5:23,120,Kevin Huerter Defensive Rebound.,47,47
5:09,120,Melo Trimble missed Three Point Jumper.,47,47
5:09,44,James Washington Defensive Rebound.,47,47
4:58,44,Charlie Jones Turnover.,47,47
4:58,120,Justin Jackson Steal.,47,47
4:51,44,Foul on Charlie Jones.,47,47
4:51,120,Justin Jackson missed Free Throw.,47,47
4:51,120,Maryland Deadball Team Rebound.,47,47
4:51,120,Justin Jackson made Free Throw.,47,48
4:34,44,James Washington Turnover.,47,48
4:24,44,Foul on James Washington.,47,48
4:24,120,L.G. Gill made Free Throw.,47,49
4:24,120,L.G. Gill made Free Throw.,47,50
4:11,44,Charlie Jones made Layup. Assisted by Delante Jones.,49,50
3:55,120,Melo Trimble missed Layup.,49,50
3:55,44,Charlie Jones Block.,49,50
3:55,120,Maryland Offensive Rebound.,49,50
3:54,120,Official TV Timeout,49,50
3:53,120,Jared Nickens missed Three Point Jumper.,49,50
3:53,120,L.G. Gill Offensive Rebound.,49,50
3:48,44,Foul on Mark Gasperini.,49,50
3:48,120,L.G. Gill made Free Throw.,49,51
3:48,120,L.G. Gill made Free Throw.,49,52
3:33,44,Delante Jones missed Layup.,49,52
3:33,120,Justin Jackson Defensive Rebound.,49,52
3:05,120,Kevin Huerter made Three Point Jumper. Assisted by Melo Trimble.,49,55
2:42,44,Mark Gasperini made Jumper.,51,55
2:37,44,American  Timeout,51,55
2:17,120,L.G. Gill missed Jumper.,51,55
2:17,120,Justin Jackson Offensive Rebound.,51,55
2:17,120,Justin Jackson made Two Point Tip Shot.,51,57
1:53,44,Mark Gasperini missed Three Point Jumper.,51,57
1:53,44,Jalen Rhea Offensive Rebound.,51,57
1:48,44,Jump Ball won by American,51,57
1:37,44,Delante Jones made Three Point Jumper. Assisted by Mark Gasperini.,54,57
1:08,120,Melo Trimble made Layup.,54,59
0:55,44,American  Timeout,54,59
0:34,44,Delante Jones missed Layup.,54,59
0:34,120,Justin Jackson Defensive Rebound.,54,59
0:22,44,Foul on Charlie Jones.,54,59
0:22,120,Anthony Cowan made Free Throw.,54,60
0:22,120,Anthony Cowan made Free Throw.,54,61
0:13,44,Sa'eed Nelson missed Layup.,54,61
0:13,120,L.G. Gill Block.,54,61
0:13,44,American Offensive Rebound.,54,61
0:09,44,Sa'eed Nelson made Layup.,56,61
0:04,44,Foul on Leon Tolksdorf.,56,61
0:04,120,Melo Trimble made Free Throw.,56,62
0:04,120,Melo Trimble missed Free Throw.,56,62
0:04,44,Mark Gasperini Defensive Rebound.,56,62
0:00,120,End of Game,56,62
