North Florida,2,Auburn,2454
8:04,2454,Romelo Banks Offensive Rebound.,19,21
7:52,2454,Chris Davenport missed Jumper.,19,21
7:52,2,Auburn Deadball Team Rebound.,19,21
7:51,2454,Foul on Romelo Banks.,19,21
7:51,2,Official TV Timeout,19,21
7:51,2,LaRon Smith missed Free Throw.,19,21
7:51,2,Auburn Deadball Team Rebound.,19,21
7:51,2,LaRon Smith made Free Throw.,19,22
7:46,2454,Wajid Aminu Turnover.,19,22
7:35,2454,Foul on Wajid Aminu.,19,22
7:35,2,Jared Harper made Free Throw.,19,23
7:35,2,Jared Harper made Free Throw.,19,24
7:27,2454,Aaron Bodager Turnover.,19,24
7:26,2,Jared Harper Steal.,19,24
7:24,2454,Foul on Aaron Bodager.,19,24
7:24,2,Jared Harper missed Free Throw.,19,24
7:24,2,Auburn Deadball Team Rebound.,19,24
7:24,2,T.J. Dunans Turnover.,19,24
7:18,2454,Wajid Aminu missed Layup.,19,24
7:18,2,Jared Harper Block.,19,24
7:16,2454,Wajid Aminu Offensive Rebound.,19,24
7:14,2454,Wajid Aminu made Layup.,21,24
7:00,2,Mustapha Heron made Three Point Jumper. Assisted by T.J. Dunans.,21,27
6:51,2454,Wajid Aminu missed Layup.,21,27
6:51,2,T.J. Dunans Block.,21,27
6:49,2,LaRon Smith Defensive Rebound.,21,27
6:48,2,Auburn  Timeout,21,27
6:40,2,Jared Harper missed Three Point Jumper.,21,27
6:40,2454,Garrett Sams Defensive Rebound.,21,27
6:27,2454,Chris Davenport missed Three Point Jumper.,21,27
6:27,2,T.J. Dunans Defensive Rebound.,21,27
6:01,2,Danjel Purifoy made Three Point Jumper. Assisted by T.J. Dunans.,21,30
5:40,2454,Chris Davenport missed Jumper.,21,30
5:40,2,T.J. Dunans Defensive Rebound.,21,30
5:32,2,Danjel Purifoy missed Three Point Jumper.,21,30
5:32,2454,Garrett Sams Defensive Rebound.,21,30
5:24,2454,Dallas Moore missed Jumper.,21,30
5:24,2,TJ Lang Defensive Rebound.,21,30
5:14,2,TJ Lang made Three Point Jumper. Assisted by T.J. Dunans.,21,33
5:11,2454,North Florida  Timeout,21,33
4:56,2,Foul on T.J. Dunans.,21,33
4:56,2454,Garrett Sams made Free Throw.,22,33
4:56,2454,Garrett Sams made Free Throw.,23,33
4:56,2454,Garrett Sams made Free Throw.,24,33
4:44,2,TJ Lang made Three Point Jumper. Assisted by Ronnie Johnson.,24,36
4:35,2454,Aaron Bodager made Three Point Jumper. Assisted by Dallas Moore.,27,36
4:20,2,Ronnie Johnson missed Jumper.,27,36
4:20,2,Ronnie Johnson Offensive Rebound.,27,36
4:17,2,Ronnie Johnson made Jumper.,27,38
4:08,2454,Osborn Blount missed Three Point Jumper.,27,38
4:08,2,Ronnie Johnson Defensive Rebound.,27,38
4:00,2,Horace Spencer missed Layup.,27,38
4:00,2454,Romelo Banks Defensive Rebound.,27,38
3:59,2,Foul on Horace Spencer.,27,38
3:59,2,Official TV Timeout,27,38
3:44,2454,Aaron Bodager missed Three Point Jumper.,27,38
3:44,2454,Osborn Blount Offensive Rebound.,27,38
3:28,2454,Osborn Blount Turnover.,27,38
3:20,2,Danjel Purifoy made Jumper. Assisted by TJ Lang.,27,40
2:49,2454,Dallas Moore missed Three Point Jumper.,27,40
2:49,2,Auburn Defensive Rebound.,27,40
2:32,2,Bryce Brown made Jumper.,27,42
2:23,2454,Nick Malonga missed Three Point Jumper.,27,42
2:23,2,Horace Spencer Block.,27,42
2:21,2,TJ Lang Defensive Rebound.,27,42
2:13,2,TJ Lang made Three Point Jumper. Assisted by Horace Spencer.,27,45
1:57,2454,Aaron Bodager made Three Point Jumper.,30,45
1:37,2454,Foul on Romelo Banks.,30,45
1:37,2,Horace Spencer made Free Throw.,30,46
1:37,2,Horace Spencer missed Free Throw.,30,46
1:37,2454,Chris Davenport Defensive Rebound.,30,46
1:32,2454,Chris Davenport Turnover.,30,46
1:17,2,Bryce Brown Turnover.,30,46
1:15,2454,Wajid Aminu Steal.,30,46
1:10,2454,Nick Malonga Turnover.,30,46
0:55,2,Ronnie Johnson missed Jumper.,30,46
0:55,2454,Dallas Moore Block.,30,46
0:54,2,Auburn Offensive Rebound.,30,46
0:49,2,Danjel Purifoy missed Three Point Jumper.,30,46
0:49,2454,North Florida Defensive Rebound.,30,46
0:34,2,Foul on Ronnie Johnson.,30,46
0:34,2454,Wajid Aminu missed Free Throw.,30,46
0:34,2454,North Florida Deadball Team Rebound.,30,46
0:34,2454,Wajid Aminu missed Free Throw.,30,46
0:34,2454,Aaron Bodager Offensive Rebound.,30,46
0:16,2454,Wajid Aminu missed Jumper.,30,46
0:16,2,Horace Spencer Block.,30,46
0:14,2,Horace Spencer Defensive Rebound.,30,46
0:11,2,Bryce Brown made Three Point Jumper. Assisted by Mustapha Heron.,30,49
0:02,2454,Dallas Moore missed Three Point Jumper.,30,49
0:02,2,Mustapha Heron Defensive Rebound.,30,49
0:00,2,End of 1st half,30,49
19:36,2454,Nick Malonga missed Jumper.,30,49
19:36,2,Danjel Purifoy Defensive Rebound.,30,49
19:24,2,Bryce Brown made Three Point Jumper. Assisted by Danjel Purifoy.,30,52
19:11,2454,Dallas Moore missed Three Point Jumper.,30,52
19:11,2,Horace Spencer Defensive Rebound.,30,52
19:01,2454,Foul on Chris Davenport.,30,52
19:01,2,Jared Harper missed Free Throw.,30,52
19:01,2,Auburn Deadball Team Rebound.,30,52
19:01,2,Jared Harper made Free Throw.,30,53
18:51,2454,Chris Davenport Turnover.,30,53
18:49,2,Bryce Brown Steal.,30,53
18:46,2,Danjel Purifoy made Dunk. Assisted by Bryce Brown.,30,55
18:20,2454,Aaron Bodager missed Three Point Jumper.,30,55
18:20,2,Danjel Purifoy Defensive Rebound.,30,55
18:10,2,Danjel Purifoy missed Jumper.,30,55
18:10,2454,Romelo Banks Defensive Rebound.,30,55
17:49,2454,Foul on Chris Davenport.,30,55
17:49,2454,Chris Davenport Turnover.,30,55
17:24,2,Jared Harper made Jumper.,30,57
17:04,2454,Nick Malonga Turnover.,30,57
16:53,2,Mustapha Heron missed Layup.,30,57
16:53,2454,Aaron Bodager Defensive Rebound.,30,57
16:41,2,Foul on Horace Spencer.,30,57
16:41,2454,Romelo Banks missed Free Throw.,30,57
16:41,2454,North Florida Deadball Team Rebound.,30,57
16:41,2454,Romelo Banks made Free Throw.,31,57
16:35,2454,Foul on Wajid Aminu.,31,57
16:30,2,Jared Harper made Three Point Jumper. Assisted by Danjel Purifoy.,31,60
16:16,2454,Dallas Moore missed Jumper.,31,60
16:16,2,LaRon Smith Defensive Rebound.,31,60
16:09,2,T.J. Dunans missed Three Point Jumper.,31,60
16:09,2,LaRon Smith Offensive Rebound.,31,60
16:06,2,LaRon Smith missed Dunk.,31,60
16:06,2454,Romelo Banks Defensive Rebound.,31,60
15:56,2454,Wajid Aminu missed Three Point Jumper.,31,60
15:56,2454,Garrett Sams Offensive Rebound.,31,60
15:54,2,Foul on Mustapha Heron.,31,60
15:54,2,Official TV Timeout,31,60
15:49,2454,Aaron Bodager Turnover.,31,60
15:47,2,Jared Harper Steal.,31,60
15:46,2454,Foul on Wajid Aminu.,31,60
15:46,2,Anfernee McLemore made Free Throw.,31,61
15:46,2,T.J. Dunans Turnover.,31,61
15:30,2454,Chris Davenport Turnover.,31,61
15:29,2,Horace Spencer Steal.,31,61
15:23,2454,Foul on Chris Davenport.,31,61
15:10,2454,Foul on Garrett Sams.,31,61
15:10,2454,North Florida  Timeout,31,61
14:54,2,T.J. Dunans missed Three Point Jumper.,31,61
14:54,2454,Aaron Bodager Defensive Rebound.,31,61
14:42,2454,Aaron Bodager missed Three Point Jumper.,31,61
14:42,2,T.J. Dunans Defensive Rebound.,31,61
14:36,2,TJ Lang missed Three Point Jumper.,31,61
14:36,2,TJ Lang Offensive Rebound.,31,61
14:27,2454,Foul on Karlos Odum.,31,61
14:27,2,TJ Lang missed Free Throw.,31,61
14:27,2454,Dallas Moore Defensive Rebound.,31,61
14:22,2454,Romelo Banks made Dunk. Assisted by Dallas Moore.,33,61
14:04,2454,Foul on Karlos Odum.,33,61
14:04,2,T.J. Dunans made Free Throw.,33,62
14:04,2,T.J. Dunans made Free Throw.,33,63
13:47,2454,Dallas Moore missed Layup.,33,63
13:47,2,Horace Spencer Defensive Rebound.,33,63
13:40,2,Foul on Anfernee McLemore.,33,63
13:40,2,Anfernee McLemore Turnover.,33,63
13:24,2454,Garrett Sams made Layup.,35,63
13:00,2,LaRon Smith Turnover.,35,63
12:51,2454,Dallas Moore missed Three Point Jumper.,35,63
12:51,2454,North Florida Deadball Team Rebound.,35,63
12:51,2,Foul on LaRon Smith.,35,63
12:46,2454,Chris Davenport made Three Point Jumper. Assisted by Aaron Horne.,38,63
12:33,2454,Foul on Karlos Odum.,38,63
12:33,2,LaRon Smith made Free Throw.,38,64
12:33,2,LaRon Smith missed Free Throw.,38,64
12:33,2454,Chris Davenport Defensive Rebound.,38,64
12:27,2454,Foul on Chris Davenport.,38,64
12:27,2454,Chris Davenport Turnover.,38,64
12:27,2454,Foul on Karlos Odum.,38,64
12:27,2,Ronnie Johnson missed Free Throw.,38,64
12:27,2,Auburn Deadball Team Rebound.,38,64
12:27,2,Ronnie Johnson made Free Throw.,38,65
12:17,2,Foul on Danjel Purifoy.,38,65
12:17,2454,Karlos Odum made Free Throw.,39,65
12:17,2454,Karlos Odum made Free Throw.,40,65
12:07,2,LaRon Smith made Layup.,40,67
11:48,2454,Karlos Odum made Layup.,42,67
11:39,2454,Foul on Aaron Horne.,42,67
11:39,2,Official TV Timeout,42,67
11:39,2,Danjel Purifoy missed Free Throw.,42,67
11:39,2,Auburn Deadball Team Rebound.,42,67
11:39,2,Danjel Purifoy missed Free Throw.,42,67
11:39,2454,Wajid Aminu Defensive Rebound.,42,67
11:35,2454,Wajid Aminu Turnover.,42,67
11:34,2,Bryce Brown Steal.,42,67
11:25,2,Mustapha Heron missed Jumper.,42,67
11:25,2454,CJ Fisher Defensive Rebound.,42,67
11:08,2454,Romelo Banks made Jumper. Assisted by Aaron Horne.,44,67
10:52,2,Danjel Purifoy Turnover.,44,67
10:33,2454,Garrett Sams Turnover.,44,67
10:31,2,Bryce Brown Steal.,44,67
10:24,2,Danjel Purifoy missed Three Point Jumper.,44,67
10:24,2,Mustapha Heron Offensive Rebound.,44,67
10:20,2,Mustapha Heron missed Layup.,44,67
10:20,2454,Romelo Banks Defensive Rebound.,44,67
10:03,2454,Wajid Aminu made Layup.,46,67
9:48,2,Mustapha Heron missed Three Point Jumper.,46,67
9:48,2454,North Florida Deadball Team Rebound.,46,67
9:48,2,Foul on LaRon Smith.,46,67
9:30,2,Foul on Bryce Brown.,46,67
9:30,2454,Garrett Sams missed Free Throw.,46,67
9:30,2454,Garrett Sams Offensive Rebound.,46,67
9:25,2454,Garrett Sams made Layup.,48,67
9:18,2,Auburn  Timeout,48,67
9:01,2,Bryce Brown made Three Point Jumper. Assisted by Jared Harper.,48,70
8:48,2454,Foul on Romelo Banks.,48,70
8:48,2454,Romelo Banks Turnover.,48,70
8:38,2,Bryce Brown missed Three Point Jumper.,48,70
8:38,2,Jared Harper Offensive Rebound.,48,70
8:23,2,Jared Harper Turnover.,48,70
8:01,2,Foul on Horace Spencer.,48,70
8:01,2454,Romelo Banks made Free Throw.,49,70
8:01,2454,Romelo Banks made Free Throw.,50,70
7:50,2,Horace Spencer made Dunk. Assisted by TJ Lang.,50,72
7:32,2454,Romelo Banks missed Jumper.,50,72
7:32,2,Horace Spencer Defensive Rebound.,50,72
7:25,2,TJ Lang missed Three Point Jumper.,50,72
7:25,2454,Garrett Sams Defensive Rebound.,50,72
7:19,2454,Aaron Horne made Dunk. Assisted by Garrett Sams.,52,72
7:05,2,Jared Harper missed Three Point Jumper.,52,72
7:05,2454,Karlos Odum Defensive Rebound.,52,72
7:02,2,Foul on TJ Lang.,52,72
7:02,2,Official TV Timeout,52,72
7:02,2454,Karlos Odum missed Free Throw.,52,72
7:02,2454,Aaron Bodager Offensive Rebound.,52,72
6:54,2,Foul on Danjel Purifoy.,52,72
6:54,2454,Karlos Odum made Free Throw.,53,72
6:54,2454,Karlos Odum made Free Throw.,54,72
6:37,2,Horace Spencer made Layup. Assisted by T.J. Dunans.,54,74
6:37,2454,Foul on Aaron Bodager.,54,74
6:37,2,Horace Spencer made Free Throw.,54,75
6:20,2454,Aaron Horne Turnover.,54,75
6:18,2,Jared Harper Steal.,54,75
6:13,2,Horace Spencer Turnover.,54,75
5:51,2454,Aaron Horne made Jumper.,56,75
5:51,2,Foul on Horace Spencer.,56,75
5:51,2454,Aaron Horne made Free Throw.,57,75
5:36,2,LaRon Smith missed Jumper.,57,75
5:36,2454,North Florida Defensive Rebound.,57,75
5:25,2454,Karlos Odum made Layup. Assisted by Dallas Moore.,59,75
4:55,2,Jared Harper Turnover.,59,75
4:33,2454,Garrett Sams Turnover.,59,75
4:20,2,Bryce Brown missed Three Point Jumper.,59,75
4:20,2454,Garrett Sams Defensive Rebound.,59,75
4:13,2,Foul on Mustapha Heron.,59,75
4:13,2454,Garrett Sams made Free Throw.,60,75
4:13,2454,Garrett Sams missed Free Throw.,60,75
4:13,2454,Aaron Bodager Offensive Rebound.,60,75
4:08,2,Foul on LaRon Smith.,60,75
4:08,2454,Garrett Sams made Free Throw.,61,75
4:08,2454,Garrett Sams missed Free Throw.,61,75
4:08,2,Danjel Purifoy Defensive Rebound.,61,75
3:48,2,Jared Harper missed Jumper.,61,75
3:47,2,Auburn Deadball Team Rebound.,61,75
3:46,2454,Foul on Aaron Bodager.,61,75
3:46,2,Official TV Timeout,61,75
3:46,2,Danjel Purifoy made Free Throw.,61,76
3:46,2,Danjel Purifoy made Free Throw.,61,77
3:38,2454,Aaron Bodager Turnover.,61,77
3:36,2,Jared Harper Steal.,61,77
3:34,2,Jared Harper made Layup.,61,79
3:17,2454,Foul on Wajid Aminu.,61,79
3:17,2454,Wajid Aminu Turnover.,61,79
2:47,2,Bryce Brown missed Three Point Jumper.,61,79
2:47,2454,Karlos Odum Defensive Rebound.,61,79
2:35,2454,Garrett Sams made Layup.,63,79
2:22,2,Danjel Purifoy missed Three Point Jumper.,63,79
2:22,2,LaRon Smith Offensive Rebound.,63,79
2:16,2,LaRon Smith made Two Point Tip Shot.,63,81
2:16,2454,Dallas Moore Turnover.,63,81
1:51,2,TJ Lang Turnover.,63,81
1:40,2454,Romelo Banks made Jumper. Assisted by CJ Fisher.,65,81
1:12,2,TJ Lang missed Three Point Jumper.,65,81
1:12,2454,Romelo Banks Defensive Rebound.,65,81
0:55,2,Foul on Horace Spencer.,65,81
0:55,2454,Romelo Banks made Free Throw.,66,81
0:55,2454,Romelo Banks missed Free Throw.,66,81
0:55,2,Bryce Brown Defensive Rebound.,66,81
0:49,2,Auburn  Timeout,66,81
0:42,2454,Foul on CJ Fisher.,66,81
0:42,2,Bryce Brown made Free Throw.,66,82
0:42,2,Bryce Brown made Free Throw.,66,83
0:24,2454,Garrett Sams Turnover.,66,83
0:00,2,End of Game,66,83
