Brewton Parker,Error,Mercer,2382
7:43,2382,Andrew Fishler Defensive Rebound.,16,25
7:30,2382,Ross Cummings made Three Point Jumper. Assisted by Jordan Strawberry.,16,28
7:05,-1,McKell Miller made Three Point Jumper.,19,28
6:37,2382,Official TV Timeout,19,28
6:32,2382,Rashad Lewis made Jumper. Assisted by Ria'n Holland.,19,30
6:13,2382,Foul on Stephon Jelks.,19,30
6:12,-1,McKell Miller made Free Throw.,20,30
6:12,-1,McKell Miller made Free Throw.,21,30
6:00,2382,Stephon Jelks Turnover.,21,30
5:42,-1,Marcus Ford missed Layup.,21,30
5:42,2382,Desmond Ringer Defensive Rebound.,21,30
5:28,2382,Ria'n Holland missed Jumper.,21,30
5:28,-1,McKell Miller Defensive Rebound.,21,30
5:12,-1,McKell Miller made Jumper.,23,30
5:03,2382,Darius Roy missed Three Point Jumper.,23,30
5:03,-1,McKell Miller Defensive Rebound.,23,30
4:49,-1,McKell Miller missed Three Point Jumper.,23,30
4:49,-1,John Walker Offensive Rebound.,23,30
4:46,-1,John Walker made Layup.,25,30
4:44,2382,Mercer  Timeout,25,30
4:25,2382,Demetre Rivers missed Jumper.,25,30
4:25,2382,Stephon Jelks Offensive Rebound.,25,30
4:21,2382,Stephon Jelks made Layup.,25,32
3:54,-1,Dava'Dre Puryear missed Layup.,25,32
3:54,-1,Cameron Bokenham Offensive Rebound.,25,32
3:37,-1,Dava'Dre Puryear Turnover.,25,32
3:37,-1,Foul on Dava'Dre Puryear.,25,32
3:26,2382,Demetre Rivers missed Layup.,25,32
3:26,-1,Cameron Bokenham Block.,25,32
3:24,-1,Cameron Bokenham Defensive Rebound.,25,32
3:10,-1,Cameron Bokenham made Three Point Jumper. Assisted by Marcus Ford.,28,32
2:49,2382,Demetre Rivers made Layup.,28,34
2:35,-1,Marcus Ford made Layup.,30,34
2:18,-1,Foul on Marcus Ford.,30,34
2:17,2382,Ria'n Holland made Three Point Jumper. Assisted by Jordan Strawberry.,30,37
1:56,-1,Marcus Ford made Three Point Jumper. Assisted by Cameron Bokenham.,33,37
1:32,2382,Demetre Rivers made Three Point Jumper. Assisted by Jordan Strawberry.,33,40
1:05,-1,Jamelle Lanier missed Layup.,33,40
1:05,2382,Desmond Ringer Defensive Rebound.,33,40
1:02,-1,Foul on Jamelle Lanier.,33,40
0:49,-1,Foul on Cameron Bokenham.,33,40
0:49,2382,Ria'n Holland made Free Throw.,33,41
0:49,2382,Ria'n Holland made Free Throw.,33,42
0:27,-1,Malik Wright made Layup.,35,42
0:03,2382,Ria'n Holland made Three Point Jumper. Assisted by Jordan Strawberry.,35,45
0:00,2382,End of 1st half,35,45
19:40,-1,Cameron Bokenham made Three Point Jumper. Assisted by McKell Miller.,38,45
19:15,2382,Stephon Jelks missed Jumper.,38,45
19:15,2382,Demetre Rivers Offensive Rebound.,38,45
19:12,2382,Demetre Rivers missed Layup.,38,45
19:12,-1,Cameron Bokenham Block.,38,45
19:11,2382,Stephon Jelks Offensive Rebound.,38,45
19:08,2382,Stephon Jelks made Layup.,38,47
19:00,-1,John Walker made Three Point Jumper. Assisted by Cameron Bokenham.,41,47
18:33,2382,Ria'n Holland missed Three Point Jumper.,41,47
18:33,2382,Stephon Jelks Offensive Rebound.,41,47
18:29,2382,Stephon Jelks made Layup.,41,49
18:18,-1,Brewton Parker  Timeout,41,49
18:16,-1,McKell Miller made Layup.,43,49
17:50,2382,Desmond Ringer made Layup. Assisted by Stephon Jelks.,43,51
17:36,-1,Dava'Dre Puryear Turnover.,43,51
17:34,2382,Jordan Strawberry Steal.,43,51
17:30,2382,Ria'n Holland missed Three Point Jumper.,43,51
17:30,2382,Mercer Offensive Rebound.,43,51
17:26,2382,Desmond Ringer made Layup. Assisted by Jordan Strawberry.,43,53
17:11,-1,Cameron Bokenham missed Three Point Jumper.,43,53
17:11,2382,Mercer Defensive Rebound.,43,53
16:45,2382,Stephon Jelks missed Three Point Jumper.,43,53
16:45,2382,Demetre Rivers Offensive Rebound.,43,53
16:42,-1,Foul on John Walker.,43,53
16:42,2382,Desmond Ringer missed Layup.,43,53
16:42,-1,McKell Miller Defensive Rebound.,43,53
16:42,-1,Jamelle Lanier missed Layup.,43,53
16:42,-1,Brewton Parker Offensive Rebound.,43,53
16:21,-1,Malik Wright missed Jumper.,43,53
16:21,2382,Ryan Johnson Defensive Rebound.,43,53
16:05,2382,Ria'n Holland made Layup. Assisted by Rashad Lewis.,43,55
15:42,-1,McKell Miller Turnover.,43,55
15:42,-1,Foul on McKell Miller.,43,55
15:42,2382,Official TV Timeout,43,55
15:29,2382,Ryan Johnson missed Layup.,43,55
15:29,2382,Mercer Offensive Rebound.,43,55
15:18,2382,JJ N'Ganga made Layup.,43,57
15:04,-1,Myles White made Three Point Jumper.,46,57
14:46,2382,JJ N'Ganga Turnover.,46,57
14:28,-1,Jamelle Lanier missed Three Point Jumper.,46,57
14:28,-1,Malik Wright Offensive Rebound.,46,57
14:23,-1,Malik Wright missed Layup.,46,57
14:23,2382,JJ N'Ganga Block.,46,57
14:22,-1,Jamelle Lanier Offensive Rebound.,46,57
14:20,-1,Jamelle Lanier made Layup.,48,57
14:09,2382,Rashad Lewis missed Three Point Jumper.,48,57
14:09,-1,Marcus Ford Defensive Rebound.,48,57
14:01,-1,Cameron Bokenham missed Three Point Jumper.,48,57
14:01,2382,Mercer Defensive Rebound.,48,57
13:54,-1,Foul on Marcus Ford.,48,57
13:46,2382,Demetre Rivers missed Three Point Jumper.,48,57
13:46,2382,Stephon Jelks Offensive Rebound.,48,57
13:37,2382,Stephon Jelks made Layup. Assisted by Jordan Strawberry.,48,59
13:16,-1,Myles White missed Three Point Jumper.,48,59
13:16,-1,Cameron Bokenham Offensive Rebound.,48,59
13:03,-1,Marcus Ford made Jumper.,50,59
12:38,2382,Stephon Jelks Turnover.,50,59
12:37,-1,Jamelle Lanier Steal.,50,59
12:31,-1,Myles White missed Three Point Jumper.,50,59
12:31,-1,Marcus Ford Offensive Rebound.,50,59
12:25,-1,Jamelle Lanier made Three Point Jumper. Assisted by Marcus Ford.,53,59
12:08,2382,Stephon Jelks made Layup. Assisted by Jordan Strawberry.,53,61
11:51,-1,Malik Wright missed Layup.,53,61
11:51,2382,Desmond Ringer Defensive Rebound.,53,61
11:30,-1,Foul on John Walker.,53,61
11:30,2382,Official TV Timeout,53,61
11:30,2382,Ria'n Holland made Three Point Jumper. Assisted by Jordan Strawberry.,53,64
11:30,-1,McKell Miller missed Layup.,53,64
11:30,2382,Jordan Strawberry Defensive Rebound.,53,64
11:30,2382,Jordan Strawberry Turnover.,53,64
11:30,-1,John Walker Steal.,53,64
11:30,-1,Marcus Ford missed Three Point Jumper.,53,64
11:30,2382,Jordan Strawberry Defensive Rebound.,53,64
11:30,2382,Ria'n Holland Turnover.,53,64
11:30,-1,Jamelle Lanier Steal.,53,64
11:30,-1,Jamelle Lanier Turnover.,53,64
11:30,2382,Ria'n Holland Steal.,53,64
11:30,2382,Jordan Strawberry missed Jumper.,53,64
11:30,2382,Jordan Strawberry Offensive Rebound.,53,64
11:30,2382,Ria'n Holland missed Three Point Jumper.,53,64
11:30,-1,John Walker Defensive Rebound.,53,64
9:51,-1,McKell Miller Turnover.,53,64
9:50,2382,Jordan Strawberry Steal.,53,64
9:43,2382,Demetre Rivers missed Jumper.,53,64
9:43,-1,Marcus Ford Defensive Rebound.,53,64
9:37,-1,Foul on John Walker.,53,64
9:28,2382,Desmond Ringer missed Layup.,53,64
9:28,-1,Myles White Defensive Rebound.,53,64
9:18,-1,Marcus Ford missed Three Point Jumper.,53,64
9:18,2382,Desmond Ringer Defensive Rebound.,53,64
9:03,-1,Foul on Cameron Bokenham.,53,64
9:03,2382,Ryan Johnson made Layup. Assisted by Jordan Strawberry.,53,66
8:48,-1,Jamelle Lanier missed Three Point Jumper.,53,66
8:48,2382,Ryan Johnson Defensive Rebound.,53,66
8:16,2382,Ria'n Holland Turnover.,53,66
8:15,-1,Dava'Dre Puryear Steal.,53,66
8:07,-1,Jamelle Lanier missed Layup.,53,66
8:07,2382,Mercer Defensive Rebound.,53,66
7:39,2382,Ria'n Holland made Layup.,53,68
7:39,-1,Foul on Arthur Hairston.,53,68
7:39,2382,Official TV Timeout,53,68
7:39,2382,Ria'n Holland made Free Throw.,53,69
7:23,2382,Foul on Ria'n Holland.,53,69
7:14,-1,Dava'Dre Puryear missed Layup.,53,69
7:14,2382,Ryan Johnson Defensive Rebound.,53,69
7:00,-1,Foul on Dava'Dre Puryear.,53,69
7:00,2382,Rashad Lewis made Free Throw.,53,70
7:00,2382,Rashad Lewis missed Free Throw.,53,70
7:00,-1,John Walker Defensive Rebound.,53,70
6:32,2382,Foul on Demetre Rivers.,53,70
6:28,-1,McKell Miller missed Three Point Jumper.,53,70
6:28,2382,Ryan Johnson Defensive Rebound.,53,70
6:04,2382,Demetre Rivers made Layup.,53,72
5:53,-1,McKell Miller Turnover.,53,72
5:53,2382,Rashad Lewis Steal.,53,72
5:41,2382,Demetre Rivers made Dunk. Assisted by Rashad Lewis.,53,74
5:23,-1,McKell Miller missed Three Point Jumper.,53,74
5:23,2382,Demetre Rivers Defensive Rebound.,53,74
4:58,2382,Ryan Johnson made Three Point Jumper. Assisted by Cory Kilby.,53,77
4:47,-1,Brewton Parker  Timeout,53,77
4:36,-1,Marcus Ford missed Jumper.,53,77
4:36,-1,Marcus Ford Offensive Rebound.,53,77
4:23,2382,Foul on Demetre Rivers.,53,77
4:22,-1,John Walker missed Three Point Jumper.,53,77
4:22,2382,Cory Kilby Defensive Rebound.,53,77
4:03,2382,Demetre Rivers made Three Point Jumper. Assisted by Ryan Johnson.,53,80
3:47,-1,Marcus Ford missed Three Point Jumper.,53,80
3:47,-1,Malik Wright Offensive Rebound.,53,80
3:42,2382,Foul on Ryan Johnson.,53,80
3:42,2382,Official TV Timeout,53,80
3:41,-1,Marcus Ford missed Jumper.,53,80
3:41,2382,Rashad Lewis Defensive Rebound.,53,80
3:34,2382,Ryan Johnson missed Three Point Jumper.,53,80
3:34,2382,Darius Roy Offensive Rebound.,53,80
3:31,2382,Darius Roy made Layup.,53,82
3:19,-1,Jaylan Patrick missed Three Point Jumper.,53,82
3:19,-1,Amori Atkinson Offensive Rebound.,53,82
3:12,-1,Malik Wright missed Three Point Jumper.,53,82
3:12,2382,Ryan Johnson Defensive Rebound.,53,82
2:36,-1,Foul on Cedric Woodson.,53,82
2:36,2382,JJ N'Ganga missed Free Throw.,53,82
2:36,2382,Mercer Deadball Team Rebound.,53,82
2:36,2382,JJ N'Ganga made Free Throw.,53,83
2:22,-1,Trey Sparrow missed Three Point Jumper.,53,83
2:22,2382,Cory Kilby Defensive Rebound.,53,83
2:21,-1,Foul on Amori Atkinson.,53,83
2:19,2382,Cory Kilby missed Free Throw.,53,83
2:19,2382,Mercer Deadball Team Rebound.,53,83
2:19,2382,Cory Kilby made Free Throw.,53,84
2:06,-1,Timothy Gaint missed Three Point Jumper.,53,84
2:06,2382,Cory Kilby Defensive Rebound.,53,84
1:48,2382,Darius Roy Turnover.,53,84
1:41,-1,Cedric Woodson missed Jumper.,53,84
1:41,-1,Jaylan Patrick Offensive Rebound.,53,84
1:35,-1,Jaylan Patrick missed Three Point Jumper.,53,84
1:35,2382,Darius Roy Defensive Rebound.,53,84
1:26,2382,Darius Roy missed Three Point Jumper.,53,84
1:26,-1,Amori Atkinson Defensive Rebound.,53,84
1:21,2382,Foul on Andrew Fishler.,53,84
1:10,-1,Timothy Gaint missed Jumper.,53,84
1:10,2382,Andrew Fishler Defensive Rebound.,53,84
0:57,2382,Cory Kilby made Layup. Assisted by Ross Cummings.,53,86
0:39,-1,Jaylan Patrick Turnover.,53,86
0:27,-1,Foul on Amori Atkinson.,53,86
0:27,2382,Andrew Fishler missed Free Throw.,53,86
0:27,2382,Mercer Deadball Team Rebound.,53,86
0:27,2382,Andrew Fishler made Free Throw.,53,87
0:18,2382,Ria'n Holland missed Three Point Jumper.,53,87
0:18,-1,Yanick Cox Defensive Rebound.,53,87
0:00,2382,End of Game,53,87
