Our Lady of the Lake,Error,Texas A&amp;M-CC,357
13:05,-1,Foul on Kellen Sweetwyne.,6,15
13:05,357,Alex Holcombe made Free Throw.,6,16
13:05,357,Alex Holcombe made Free Throw.,6,17
12:49,357,Foul on Jake Kocher.,6,17
12:49,-1,Kellen Sweetwyne missed Free Throw.,6,17
12:49,-1,Our Lady Of The Lake Deadball Team Rebound.,6,17
12:49,-1,Kellen Sweetwyne missed Free Throw.,6,17
12:49,357,Rashawn Thomas Defensive Rebound.,6,17
12:37,357,Rashawn Thomas missed Jumper.,6,17
12:37,357,Kareem South Offensive Rebound.,6,17
12:33,357,Cole Martinez made Three Point Jumper. Assisted by Rashawn Thomas.,6,20
12:18,-1,Marko Tutunovic missed Layup.,6,20
12:18,357,Alex Holcombe Block.,6,20
12:18,-1,Our Lady Of The Lake Offensive Rebound.,6,20
12:08,357,Foul on Cole Martinez.,6,20
12:08,-1,Joe Jackson made Free Throw.,7,20
12:08,-1,Joe Jackson made Free Throw.,8,20
11:54,357,Rashawn Thomas Turnover.,8,20
11:54,-1,Joe Jackson Steal.,8,20
11:54,357,Official TV Timeout,8,20
11:36,-1,Joe Jackson missed Jumper.,8,20
11:36,357,Cole Martinez Defensive Rebound.,8,20
11:22,357,Rashawn Thomas made Layup.,8,22
11:13,-1,Marko Tutunovic missed Three Point Jumper.,8,22
11:13,357,Ehab Amin Block.,8,22
11:13,-1,Kellen Sweetwyne Offensive Rebound.,8,22
11:11,-1,Kellen Sweetwyne made Layup.,10,22
11:11,357,Foul on Alex Holcombe.,10,22
11:11,-1,Kellen Sweetwyne made Free Throw.,11,22
11:01,357,Jake Kocher made Layup. Assisted by Cole Martinez.,11,24
10:45,-1,Marko Tutunovic missed Jumper.,11,24
10:45,357,Joseph Kilgore Block.,11,24
10:45,-1,Joe Jackson Offensive Rebound.,11,24
10:40,357,Foul on Cole Martinez.,11,24
10:40,-1,Joe Jackson made Free Throw.,12,24
10:40,-1,Joe Jackson made Free Throw.,13,24
10:28,357,Rashawn Thomas missed Layup.,13,24
10:28,357,Rashawn Thomas Offensive Rebound.,13,24
10:27,-1,Foul on Michael Hagan-Daniel.,13,24
10:27,357,Rashawn Thomas missed Free Throw.,13,24
10:27,357,Texas A&M-CC Deadball Team Rebound.,13,24
10:27,357,Rashawn Thomas made Free Throw.,13,25
10:19,-1,Joe Jackson missed Three Point Jumper.,13,25
10:19,357,Texas A&M-CC Defensive Rebound.,13,25
10:09,-1,Foul on Joe Jackson.,13,25
10:01,357,Rashawn Thomas made Layup.,13,27
9:39,-1,P.J. Escobar missed Three Point Jumper.,13,27
9:39,-1,Joshua Santos Offensive Rebound.,13,27
9:35,-1,Joshua Santos made Layup.,15,27
9:18,357,Rashawn Thomas made Layup. Assisted by Joseph Kilgore.,15,29
9:07,-1,Joshua Santos Turnover.,15,29
9:06,357,Jake Kocher Steal.,15,29
9:03,357,Jake Kocher Turnover.,15,29
8:39,-1,P.J. Escobar missed Three Point Jumper.,15,29
8:39,357,Rashawn Thomas Defensive Rebound.,15,29
8:31,-1,Foul on Darion Brown.,15,29
8:31,357,Ehab Amin missed Free Throw.,15,29
8:31,357,Texas A&M-CC Deadball Team Rebound.,15,29
8:31,357,Ehab Amin missed Free Throw.,15,29
8:31,-1,Michael Hagan-Daniel Defensive Rebound.,15,29
8:25,-1,Michael Hagan-Daniel made Layup.,17,29
8:13,357,- Null missed Three Point Jumper.,17,29
8:13,-1,Allen Wilcher Defensive Rebound.,17,29
8:04,-1,Michael Hagan-Daniel made Layup.,19,29
7:57,357,Texas A&M-CC  Timeout,19,29
7:57,357,Official TV Timeout,19,29
7:48,357,Rashawn Thomas missed Layup.,19,29
7:48,-1,Michael Hagan-Daniel Block.,19,29
7:48,-1,P.J. Escobar Defensive Rebound.,19,29
7:42,-1,Allen Wilcher missed Three Point Jumper.,19,29
7:42,357,- Null Defensive Rebound.,19,29
7:39,-1,Foul on Dav'vin Hill.,19,29
7:39,357,- Null made Free Throw.,19,30
7:39,357,- Null made Free Throw.,19,31
7:39,357,- Null made Free Throw.,19,31
7:39,357,- Null made Free Throw.,19,31
7:12,-1,Allen Wilcher missed Layup.,19,31
7:12,357,Rashawn Thomas Defensive Rebound.,19,31
7:12,-1,Allen Wilcher missed Layup.,19,31
7:09,-1,Foul on Allen Wilcher.,19,31
7:03,357,Kareem South made Free Throw.,19,33
7:03,357,Kareem South made Free Throw.,19,32
6:39,-1,Michael Hagan-Daniel missed Jumper.,19,33
6:39,357,Joseph Kilgore Defensive Rebound.,19,33
6:28,357,- Null missed Layup.,19,33
6:28,357,Rashawn Thomas Offensive Rebound.,19,33
6:23,357,Kareem South missed Three Point Jumper.,19,33
6:23,357,Ehab Amin Offensive Rebound.,19,33
6:18,357,Ehab Amin made Layup.,19,35
6:17,-1,Foul on Joshua Santos.,19,35
6:17,357,Ehab Amin made Free Throw.,19,36
6:03,-1,Dilepso Blanco missed Jumper.,19,36
6:03,357,Ehab Amin Defensive Rebound.,19,36
5:53,357,Rashawn Thomas Turnover.,19,36
5:52,-1,Kellen Sweetwyne Steal.,19,36
5:45,-1,Dilepso Blanco missed Layup.,19,36
5:45,357,Rashawn Thomas Block.,19,36
5:45,357,Ehab Amin Defensive Rebound.,19,36
5:32,-1,Foul on Brandell Collins.,19,36
5:32,357,Joseph Kilgore made Free Throw.,19,37
5:32,357,Joseph Kilgore made Free Throw.,19,38
5:18,-1,Kellen Sweetwyne made Layup. Assisted by Brandell Collins.,21,38
5:02,357,Joseph Kilgore Turnover.,21,38
5:01,-1,Brandell Collins Steal.,21,38
5:00,-1,Brandell Collins made Layup.,23,38
5:00,357,Foul on Ehab Amin.,23,38
5:00,-1,Brandell Collins missed Free Throw.,23,38
5:00,357,Texas A&M-CC Defensive Rebound.,23,38
4:44,357,Alex Holcombe missed Layup.,23,38
4:44,-1,Brandell Collins Defensive Rebound.,23,38
4:39,357,Foul on Rashawn Thomas.,23,38
4:39,-1,Maurice Jackson made Free Throw.,24,38
4:39,-1,Maurice Jackson made Free Throw.,25,38
4:39,-1,Maurice Jackson made Free Throw.,26,38
4:32,-1,Foul on Kellen Sweetwyne.,26,38
4:32,357,- Null missed Free Throw.,26,38
4:32,357,Texas A&M-CC Deadball Team Rebound.,26,38
4:32,357,- Null made Free Throw.,26,39
4:03,-1,Dilepso Blanco made Three Point Jumper.,29,39
3:47,357,Joseph Kilgore made Layup. Assisted by Cole Martinez.,29,41
3:37,-1,Dilepso Blanco missed Layup.,29,41
3:37,357,Rashawn Thomas Block.,29,41
3:37,-1,Dilepso Blanco missed Layup.,29,41
3:37,357,Rashawn Thomas Block.,29,41
3:37,-1,Marko Tutunovic Offensive Rebound.,29,41
3:29,-1,Allen Wilcher missed Layup.,29,41
3:29,357,Rashawn Thomas Defensive Rebound.,29,41
3:20,357,Joseph Kilgore made Layup. Assisted by Jake Kocher.,29,43
3:07,-1,Marko Tutunovic missed Three Point Jumper.,29,43
3:07,357,Cole Martinez Defensive Rebound.,29,43
2:58,357,Official TV Timeout,29,43
2:58,-1,Foul on Allen Wilcher.,29,43
2:58,357,Rashawn Thomas made Free Throw.,29,44
2:58,357,Rashawn Thomas missed Free Throw.,29,44
2:58,-1,Michael Hagan-Daniel Defensive Rebound.,29,44
2:32,-1,Dilepso Blanco made Three Point Jumper. Assisted by Michael Hagan-Daniel.,32,44
2:32,-1,Dilepso Blanco made Three Point Jumper. Assisted by Michael Hagan-Daniel.,32,44
2:19,357,Cole Martinez missed Three Point Jumper.,32,44
2:19,357,Ehab Amin Offensive Rebound.,32,44
2:19,357,Cole Martinez missed Three Point Jumper.,32,44
2:19,357,Ehab Amin Offensive Rebound.,32,44
2:12,357,Rashawn Thomas made Layup. Assisted by Ehab Amin.,32,46
2:12,357,Rashawn Thomas made Layup. Assisted by Ehab Amin.,32,46
1:52,-1,Michael Hagan-Daniel made Layup. Assisted by Darion Brown.,34,46
1:52,-1,Michael Hagan-Daniel made Layup. Assisted by Darion Brown.,34,46
1:41,-1,Foul on Joshua Santos.,34,46
1:41,357,Rashawn Thomas made Free Throw.,34,47
1:41,-1,Foul on Joshua Santos.,34,46
1:41,357,Rashawn Thomas made Free Throw.,34,47
1:41,357,Rashawn Thomas made Free Throw.,34,48
1:28,-1,Joshua Santos made Three Point Jumper. Assisted by P.J. Escobar.,37,48
1:15,357,Jake Kocher made Layup. Assisted by Cole Martinez.,37,50
1:07,-1,Darion Brown missed Jumper.,37,50
1:07,357,Ehab Amin Defensive Rebound.,37,50
0:57,357,Jake Kocher made Three Point Jumper. Assisted by Joseph Kilgore.,37,53
0:38,-1,Michael Hagan-Daniel Turnover.,37,53
0:37,357,Rashawn Thomas Steal.,37,53
0:33,357,Joseph Kilgore made Layup. Assisted by Rashawn Thomas.,37,55
0:10,-1,Darion Brown Turnover.,37,55
0:04,357,Ehab Amin Turnover.,37,55
0:03,-1,P.J. Escobar Steal.,37,55
0:00,357,End of 1st half,37,55
19:37,-1,Darion Brown Turnover.,37,55
19:37,357,Ehab Amin Steal.,37,55
19:37,357,Ehab Amin Turnover.,37,55
19:37,-1,Joe Jackson Steal.,37,55
19:37,-1,P.J. Escobar missed Three Point Jumper.,37,55
19:37,357,Elijah Schmidt Defensive Rebound.,37,55
19:11,-1,Foul on Joe Jackson.,37,55
19:05,357,Cole Martinez made Three Point Jumper. Assisted by Rashawn Thomas.,37,58
18:44,-1,Marko Tutunovic made Layup.,39,58
18:34,357,Rashawn Thomas made Dunk. Assisted by Ehab Amin.,39,60
18:13,-1,Joshua Santos Turnover.,39,60
18:11,357,Ehab Amin Steal.,39,60
18:10,-1,Foul on P.J. Escobar.,39,60
18:00,357,Cole Martinez made Three Point Jumper. Assisted by Joseph Kilgore.,39,63
17:44,-1,Joe Jackson missed Three Point Jumper.,39,63
17:44,357,Elijah Schmidt Defensive Rebound.,39,63
17:35,357,Ehab Amin Turnover.,39,63
17:34,-1,Marko Tutunovic Steal.,39,63
17:30,-1,Marko Tutunovic Turnover.,39,63
17:28,357,Cole Martinez Steal.,39,63
17:15,357,Rashawn Thomas missed Layup.,39,63
17:15,-1,Brandell Collins Defensive Rebound.,39,63
17:09,-1,P.J. Escobar made Three Point Jumper. Assisted by Darion Brown.,42,63
16:47,-1,Foul on P.J. Escobar.,42,63
16:40,357,Elijah Schmidt made Layup. Assisted by Joseph Kilgore.,42,65
16:24,-1,P.J. Escobar missed Three Point Jumper.,42,65
16:24,357,Joseph Kilgore Defensive Rebound.,42,65
16:11,357,Kareem South made Three Point Jumper. Assisted by Cole Martinez.,42,68
16:01,357,Foul on Kareem South.,42,68
15:59,357,Official TV Timeout,42,68
15:51,-1,Brandell Collins Turnover.,42,68
15:46,357,Rashawn Thomas Turnover.,42,68
15:45,-1,Brandell Collins Steal.,42,68
15:43,-1,Brandell Collins Turnover.,42,68
15:42,357,Joseph Kilgore Steal.,42,68
15:40,357,Kareem South made Layup.,42,70
15:25,-1,Brandell Collins Turnover.,42,70
15:23,357,Joseph Kilgore Steal.,42,70
15:16,357,Elijah Schmidt missed Layup.,42,70
15:16,357,Rashawn Thomas Offensive Rebound.,42,70
15:13,357,Rashawn Thomas made Layup.,42,72
15:06,-1,Brandell Collins made Layup. Assisted by Dilepso Blanco.,44,72
14:55,-1,Foul on Dilepso Blanco.,44,72
14:45,357,Cole Martinez made Three Point Jumper. Assisted by Ehab Amin.,44,75
14:34,357,Foul on Kareem South.,44,75
14:34,-1,Maurice Jackson missed Three Point Jumper.,44,75
14:34,357,Ehab Amin Defensive Rebound.,44,75
14:25,-1,Foul on Dav'vin Hill.,44,75
14:19,357,Rashawn Thomas made Free Throw.,44,76
14:19,357,Rashawn Thomas made Free Throw.,44,77
14:19,357,- Null Turnover.,44,77
14:19,-1,Dilepso Blanco Steal.,44,77
14:16,-1,Dilepso Blanco Turnover.,44,77
14:15,357,Elijah Schmidt Steal.,44,77
14:12,357,Ehab Amin made Layup. Assisted by Rashawn Thomas.,44,79
13:55,357,Foul on Cole Martinez.,44,79
13:46,-1,Joe Jackson made Three Point Jumper. Assisted by Darion Brown.,47,79
13:39,-1,Foul on Brandell Collins.,47,79
13:24,357,Jake Kocher missed Three Point Jumper.,47,79
13:22,357,Rashawn Thomas Offensive Rebound.,47,79
13:21,357,Rashawn Thomas missed Layup.,47,79
13:20,357,Rashawn Thomas Offensive Rebound.,47,79
13:15,357,Rashawn Thomas missed Layup.,47,79
13:14,357,Rashawn Thomas Offensive Rebound.,47,79
13:01,357,Official TV Timeout,47,79
13:01,-1,Foul on P.J. Escobar.,47,79
13:01,357,Ehab Amin made Free Throw.,47,80
13:01,357,Ehab Amin made Free Throw.,47,81
12:50,-1,Darion Brown made Three Point Jumper. Assisted by Joe Jackson.,50,81
12:39,357,Jake Kocher made Layup. Assisted by Ehab Amin.,50,83
12:30,357,Foul on Elijah Schmidt.,50,83
12:30,-1,Joe Jackson made Free Throw.,51,83
12:30,-1,Joe Jackson made Free Throw.,52,83
12:20,357,Elijah Schmidt made Layup. Assisted by - Null.,52,85
12:15,-1,Dilepso Blanco made Three Point Jumper. Assisted by Darion Brown.,55,85
12:03,-1,Foul on Dilepso Blanco.,55,85
12:03,357,Ehab Amin made Free Throw.,55,86
12:03,357,Ehab Amin made Free Throw.,55,87
11:55,-1,Dilepso Blanco Turnover.,55,87
11:54,357,- Null Steal.,55,87
11:50,357,- Null Turnover.,55,87
11:49,-1,Dilepso Blanco Steal.,55,87
11:47,357,Foul on - Null.,55,87
11:47,357,Official TV Timeout,55,87
11:47,-1,Dilepso Blanco missed Free Throw.,55,87
11:47,-1,Our Lady Of The Lake Deadball Team Rebound.,55,87
11:47,-1,Dilepso Blanco made Free Throw.,56,87
11:36,357,Joseph Kilgore made Jumper.,56,89
11:20,-1,Dilepso Blanco made Layup. Assisted by Darion Brown.,58,89
10:51,357,Joseph Kilgore missed Three Point Jumper.,58,89
10:51,357,Alex Holcombe Offensive Rebound.,58,89
10:45,357,Alex Holcombe made Two Point Tip Shot.,58,91
10:37,-1,Joe Jackson missed Layup.,58,91
10:37,-1,Our Lady Of The Lake Offensive Rebound.,58,91
10:24,-1,Joe Jackson made Three Point Jumper. Assisted by Darion Brown.,61,91
10:21,357,Foul on Alex Holcombe.,61,91
10:21,-1,Joe Jackson made Free Throw.,62,91
10:17,-1,Foul on Marko Tutunovic.,62,91
10:17,357,Ehab Amin made Free Throw.,62,92
10:17,357,Ehab Amin made Free Throw.,62,93
10:09,-1,Joe Jackson missed Three Point Jumper.,62,93
10:09,357,Alex Holcombe Defensive Rebound.,62,93
9:50,357,Ehab Amin made Jumper.,62,95
9:33,-1,Kellen Sweetwyne Turnover.,62,95
9:32,357,Ehab Amin Steal.,62,95
9:23,-1,Foul on Brandell Collins.,62,95
9:23,357,Kareem South missed Free Throw.,62,95
9:23,357,Texas A&M-CC Deadball Team Rebound.,62,95
9:23,357,Kareem South made Free Throw.,62,96
9:11,-1,Marko Tutunovic made Jumper.,64,96
8:59,357,Jake Kocher made Layup. Assisted by Jamell Bradley.,64,98
8:50,357,Foul on Alex Holcombe.,64,98
8:50,-1,Marko Tutunovic missed Free Throw.,64,98
8:50,-1,Our Lady Of The Lake Deadball Team Rebound.,64,98
8:50,-1,Marko Tutunovic made Free Throw.,65,98
8:42,357,Jake Kocher made Layup.,65,100
8:34,-1,Maurice Jackson missed Layup.,65,100
8:34,-1,Brandell Collins Offensive Rebound.,65,100
8:26,-1,Brandell Collins made Layup.,67,100
8:26,-1,Brandell Collins missed Layup.,65,100
8:26,-1,Brandell Collins Offensive Rebound.,65,100
8:26,357,Foul on Jamell Bradley.,67,100
8:26,-1,Brandell Collins made Free Throw.,68,100
8:02,357,Joseph Kilgore missed Jumper.,68,100
8:02,-1,Joe Jackson Defensive Rebound.,68,100
7:55,357,Foul on Joseph Kilgore.,68,100
7:55,357,Official TV Timeout,68,100
7:55,-1,Joe Jackson made Free Throw.,69,100
7:55,-1,Joe Jackson made Free Throw.,70,100
7:42,357,Foul on Perry Francois.,70,100
7:42,357,Perry Francois Turnover.,70,100
7:28,357,Foul on Jake Kocher.,70,100
7:28,-1,Joe Jackson made Free Throw.,71,100
7:28,-1,Joe Jackson missed Free Throw.,71,100
7:28,357,Jamell Bradley Defensive Rebound.,71,100
7:22,357,Perry Francois missed Jumper.,71,100
7:22,-1,Aaron Sancho Block.,71,100
7:22,357,Perry Francois Offensive Rebound.,71,100
7:10,357,Perry Francois missed Layup.,71,100
7:10,-1,Joe Jackson Block.,71,100
7:10,-1,Allen Wilcher Defensive Rebound.,71,100
7:03,357,Foul on Cole Martinez.,71,100
7:03,-1,Maurice Jackson made Free Throw.,72,100
7:03,-1,Maurice Jackson made Free Throw.,73,100
6:48,357,Texas A&M-CC  Timeout,73,100
6:31,357,Perry Francois made Layup. Assisted by Cole Martinez.,73,102
6:25,-1,Allen Wilcher missed Three Point Jumper.,73,102
6:25,357,Jamell Bradley Defensive Rebound.,73,102
6:15,-1,Foul on Dav'vin Hill.,73,102
6:15,357,- Null missed Free Throw.,73,102
6:15,357,Texas A&M-CC Deadball Team Rebound.,73,102
6:15,357,- Null made Free Throw.,73,103
6:08,357,Foul on Perry Francois.,73,103
6:08,-1,Maurice Jackson made Free Throw.,74,103
6:08,-1,Maurice Jackson missed Free Throw.,74,103
6:08,-1,Aaron Sancho Offensive Rebound.,74,103
6:06,-1,Joe Jackson missed Jumper.,74,103
6:06,357,Joseph Kilgore Defensive Rebound.,74,103
5:52,357,Jamell Bradley missed Three Point Jumper.,74,103
5:52,-1,Dav'vin Hill Defensive Rebound.,74,103
5:45,-1,Maurice Jackson missed Three Point Jumper.,74,103
5:45,-1,Joe Jackson Offensive Rebound.,74,103
5:43,357,Foul on - Null.,74,103
5:43,-1,Joe Jackson made Free Throw.,75,103
5:43,-1,Joe Jackson missed Free Throw.,75,103
5:43,357,Joseph Kilgore Defensive Rebound.,75,103
5:29,357,Perry Francois Turnover.,75,103
5:28,-1,Joe Jackson Steal.,75,103
5:24,-1,Maurice Jackson missed Layup.,75,103
5:24,357,Joseph Kilgore Block.,75,103
5:24,357,Cole Martinez Defensive Rebound.,75,103
5:16,357,Colin Hale missed Layup.,75,103
5:16,-1,Aaron Sancho Block.,75,103
5:16,-1,Our Lady Of The Lake Defensive Rebound.,75,103
5:04,-1,Dilepso Blanco made Three Point Jumper.,78,103
5:01,-1,Our Lady Of The Lake  Timeout,78,103
4:48,357,Perry Francois made Layup. Assisted by Colin Hale.,78,105
4:35,-1,Joe Jackson made Jumper.,80,105
4:31,-1,Our Lady Of The Lake  Timeout,80,105
4:31,357,Official TV Timeout,80,105
4:24,357,Colin Hale Turnover.,80,105
4:23,-1,Dilepso Blanco Steal.,80,105
4:20,-1,Joe Jackson missed Layup.,80,105
4:20,357,Perry Francois Defensive Rebound.,80,105
4:17,-1,Foul on Aaron Sancho.,80,105
4:17,357,Perry Francois made Free Throw.,80,106
4:17,357,Perry Francois missed Free Throw.,80,106
4:17,-1,Joe Jackson Defensive Rebound.,80,106
4:04,-1,Maurice Jackson missed Three Point Jumper.,80,106
4:04,357,Cole Martinez Defensive Rebound.,80,106
3:51,357,Perry Francois Turnover.,80,106
3:51,357,Perry Francois Turnover.,80,106
3:50,-1,Joe Jackson Steal.,80,106
3:46,-1,Dilepso Blanco made Layup. Assisted by Maurice Jackson.,82,106
3:40,-1,Foul on Dav'vin Hill.,82,106
3:40,357,- Null made Free Throw.,82,107
3:40,357,- Null missed Free Throw.,82,107
3:40,-1,Joe Jackson Defensive Rebound.,82,107
3:32,357,Foul on Joseph Kilgore.,82,107
3:32,-1,Joe Jackson missed Free Throw.,82,107
3:32,-1,Our Lady Of The Lake Deadball Team Rebound.,82,107
3:32,-1,Joe Jackson made Free Throw.,83,107
3:32,-1,Joe Jackson missed Free Throw.,83,107
3:32,357,Joseph Kilgore Defensive Rebound.,83,107
3:30,357,Joseph Kilgore Turnover.,83,107
3:29,-1,Aaron Sancho Steal.,83,107
3:28,-1,Dilepso Blanco made Layup.,85,107
3:26,-1,Our Lady Of The Lake  Timeout,85,107
3:26,357,David Bloom missed Layup.,85,107
3:26,357,Joseph Kilgore Offensive Rebound.,85,107
3:26,357,Joseph Kilgore made Two Point Tip Shot.,85,109
3:17,-1,Dilepso Blanco made Jumper.,87,109
2:39,-1,Foul on Aaron Sancho.,87,109
2:39,357,Joseph Kilgore made Free Throw.,87,110
2:39,357,- Null missed Free Throw.,87,110
2:39,-1,Brandell Collins Defensive Rebound.,87,110
2:28,-1,Dilepso Blanco made Layup.,89,110
2:11,357,Joseph Kilgore missed Jumper.,89,110
2:11,-1,Brandell Collins Defensive Rebound.,89,110
1:57,-1,Aaron Sancho Turnover.,89,110
1:57,357,- Null Steal.,89,110
1:53,357,Colin Hale missed Layup.,89,110
1:53,-1,Aaron Sancho Defensive Rebound.,89,110
1:45,-1,Maurice Jackson made Three Point Jumper. Assisted by Dav'vin Hill.,92,110
1:24,357,Joseph Kilgore Turnover.,92,110
1:24,357,Joseph Kilgore Turnover.,92,110
1:21,-1,Dav'vin Hill Steal.,92,110
1:21,-1,Dav'vin Hill Steal.,92,110
1:19,-1,Aaron Sancho made Layup. Assisted by Dav'vin Hill.,94,110
1:05,357,David Bloom missed Layup.,94,110
1:05,357,Kareem South Offensive Rebound.,94,110
1:01,-1,Foul on Brandell Collins.,94,110
1:01,357,Kareem South made Free Throw.,94,111
1:01,357,Kareem South made Free Throw.,94,112
0:56,-1,Dilepso Blanco missed Three Point Jumper.,94,112
0:56,357,Colin Hale Defensive Rebound.,94,112
0:48,-1,Foul on Maurice Jackson.,94,112
0:48,357,Colin Hale made Free Throw.,94,113
0:48,357,Colin Hale missed Free Throw.,94,113
0:48,-1,Brandell Collins Defensive Rebound.,94,113
0:40,-1,Dilepso Blanco made Layup.,96,113
0:39,357,Foul on - Null.,96,113
0:39,-1,Dilepso Blanco missed Free Throw.,96,113
0:39,357,Jamell Bradley Defensive Rebound.,96,113
0:30,357,Kareem South Turnover.,96,113
0:29,-1,Brandell Collins Steal.,96,113
0:24,357,Foul on Colin Hale.,96,113
0:24,-1,Brandell Collins made Free Throw.,97,113
0:24,-1,Brandell Collins made Free Throw.,98,113
0:11,357,David Bloom Turnover.,98,113
0:11,357,David Bloom Turnover.,98,113
0:10,-1,Aaron Sancho Steal.,98,113
0:02,-1,Allen Wilcher made Layup.,100,113
0:02,-1,Foul on Maurice Jackson.,100,113
0:02,357,- Null made Free Throw.,100,114
0:02,357,- Null made Free Throw.,100,115
0:00,357,End of 2nd half,100,115
