Northern Arizona,2541,Santa Clara,2464
4:06,2464,Jordyn Martin Offensive Rebound.,24,22
4:02,2464,Jordyn Martin missed Layup.,24,22
4:02,2541,Tony Lewis Defensive Rebound.,24,22
3:52,2541,Jared Brownridge Turnover.,24,22
3:32,2464,Mike Green missed Three Point Jumper.,24,22
3:32,2464,Felix Rivera-Vega Offensive Rebound.,24,22
3:19,2464,Ako Kaluna missed Three Point Jumper.,24,22
3:19,2541,Jared Brownridge Defensive Rebound.,24,22
3:06,2541,Jared Brownridge missed Jumper.,24,22
3:06,2464,Jordyn Martin Block.,24,22
2:59,2541,Santa Clara Offensive Rebound.,24,22
2:47,2541,Matt Hauser missed Three Point Jumper.,24,22
2:47,2464,Marcus DeBerry Defensive Rebound.,24,22
2:31,2541,Foul on Tony Lewis.,24,22
2:31,2464,Ako Kaluna made Free Throw.,25,22
2:31,2464,Ako Kaluna made Free Throw.,26,22
2:22,2541,Matt Hauser missed Three Point Jumper.,26,22
2:22,2464,Felix Rivera-Vega Defensive Rebound.,26,22
2:14,2464,Marcus DeBerry Turnover.,26,22
2:01,2541,Nate Kratch missed Three Point Jumper.,26,22
2:01,2464,Marcus DeBerry Defensive Rebound.,26,22
1:37,2464,Jordyn Martin Turnover.,26,22
1:22,2541,Jarvis Pugh made Three Point Jumper. Assisted by Jared Brownridge.,26,25
1:02,2464,Mike Green missed Layup.,26,25
1:02,2541,Jarvis Pugh Defensive Rebound.,26,25
0:58,2541,Jared Brownridge missed Three Point Jumper.,26,25
0:58,2541,Matt Hauser Offensive Rebound.,26,25
0:50,2541,Jared Brownridge made Three Point Jumper. Assisted by Kai Healy.,26,28
0:32,2464,Ako Kaluna missed Jumper.,26,28
0:32,2541,Jared Brownridge Defensive Rebound.,26,28
0:02,2541,Matt Hauser missed Three Point Jumper.,26,28
0:02,2464,Torry Johnson Defensive Rebound.,26,28
0:00,2541,End of 1st half,26,28
19:42,2541,Tony Lewis missed Jumper.,26,28
19:42,2464,Marcus DeBerry Defensive Rebound.,26,28
19:34,2541,Foul on Jared Brownridge.,26,28
19:34,2464,Jaleni Neely missed Free Throw.,26,28
19:34,2464,Northern Arizona Deadball Team Rebound.,26,28
19:34,2464,Jaleni Neely made Free Throw.,27,28
19:17,2541,Jarvis Pugh missed Layup.,27,28
19:17,2464,Jordyn Martin Defensive Rebound.,27,28
19:12,2464,Marcus DeBerry made Three Point Jumper. Assisted by Jaleni Neely.,30,28
18:56,2541,Tony Lewis missed Jumper.,30,28
18:56,2464,Marcus DeBerry Defensive Rebound.,30,28
18:35,2464,Jaleni Neely made Three Point Jumper.,33,28
18:21,2541,Nate Kratch Turnover.,33,28
18:19,2464,Jaleni Neely Steal.,33,28
18:15,2464,Marcus DeBerry missed Jumper.,33,28
18:15,2541,Nate Kratch Defensive Rebound.,33,28
18:04,2541,Nate Kratch missed Three Point Jumper.,33,28
18:04,2464,Marcus DeBerry Defensive Rebound.,33,28
17:34,2464,Ako Kaluna missed Three Point Jumper.,33,28
17:34,2464,Jordyn Martin Offensive Rebound.,33,28
17:30,2541,Foul on Tony Lewis.,33,28
17:30,2464,Jordyn Martin made Free Throw.,34,28
17:30,2464,Jordyn Martin made Free Throw.,35,28
17:09,2541,Matt Hubbard Turnover.,35,28
17:08,2464,Jaleni Neely Steal.,35,28
17:03,2464,Jaleni Neely missed Three Point Jumper.,35,28
17:03,2541,Jarvis Pugh Defensive Rebound.,35,28
16:48,2541,Matt Hauser made Jumper.,35,30
16:31,2464,Jaleni Neely missed Three Point Jumper.,35,30
16:31,2541,Matt Hubbard Defensive Rebound.,35,30
16:20,2541,Jarvis Pugh missed Three Point Jumper.,35,30
16:20,2464,Ako Kaluna Defensive Rebound.,35,30
15:56,2464,Marcus DeBerry missed Jumper.,35,30
15:56,2541,Jared Brownridge Defensive Rebound.,35,30
15:50,2464,Foul on Marcus DeBerry.,35,30
15:50,2541,Official TV Timeout,35,30
15:40,2541,Jared Brownridge made Layup.,35,32
15:28,2464,Mike Green made Layup.,37,32
15:00,2541,Jarvis Pugh missed Three Point Jumper.,37,32
15:00,2464,Felix Rivera-Vega Defensive Rebound.,37,32
14:39,2464,Felix Rivera-Vega missed Three Point Jumper.,37,32
14:39,2541,Nate Kratch Defensive Rebound.,37,32
14:30,2464,Foul on Mike Green.,37,32
14:13,2464,Foul on Felix Rivera-Vega.,37,32
14:13,2541,Kai Healy missed Three Point Jumper.,37,32
14:13,2464,Corey Brown Defensive Rebound.,37,32
13:53,2541,Foul on Nate Kratch.,37,32
13:35,2464,Felix Rivera-Vega missed Three Point Jumper.,37,32
13:35,2541,Santa Clara Defensive Rebound.,37,32
13:21,2541,Jarvis Pugh made Layup.,37,34
13:21,2464,Foul on Ako Kaluna.,37,34
13:21,2541,Jarvis Pugh made Free Throw.,37,35
12:58,2464,Jaleni Neely missed Three Point Jumper.,37,35
12:58,2541,Kai Healy Defensive Rebound.,37,35
12:51,2541,Jarvis Pugh made Layup. Assisted by Kai Healy.,37,37
12:16,2464,Ako Kaluna missed Jumper.,37,37
12:16,2541,Jarvis Pugh Defensive Rebound.,37,37
11:58,2541,Matt Hauser made Layup.,37,39
11:39,2541,Foul on Nate Kratch.,37,39
11:39,2541,Official TV Timeout,37,39
11:39,2464,Ako Kaluna missed Free Throw.,37,39
11:39,2464,Northern Arizona Deadball Team Rebound.,37,39
11:39,2464,Ako Kaluna made Free Throw.,38,39
11:31,2541,Matt Hauser made Layup. Assisted by Jared Brownridge.,38,41
11:17,2464,Jaleni Neely Turnover.,38,41
11:16,2541,Kai Healy Steal.,38,41
11:08,2541,Jarvis Pugh missed Three Point Jumper.,38,41
11:08,2541,Henrik Jadersten Offensive Rebound.,38,41
11:03,2464,Foul on Ako Kaluna.,38,41
11:03,2541,Kai Healy made Free Throw.,38,42
11:03,2541,Kai Healy missed Free Throw.,38,42
11:03,2464,Jordyn Martin Defensive Rebound.,38,42
10:54,2464,Marcus DeBerry made Three Point Jumper. Assisted by Mike Green.,41,42
10:37,2541,Jared Brownridge made Layup.,41,44
10:07,2464,Mike Green made Jumper.,43,44
9:50,2541,Kai Healy missed Three Point Jumper.,43,44
9:50,2464,Marcus DeBerry Block.,43,44
9:45,2464,Jordyn Martin Defensive Rebound.,43,44
9:42,2464,Mike Green made Three Point Jumper. Assisted by Jordyn Martin.,46,44
9:20,2541,Jared Brownridge missed Three Point Jumper.,46,44
9:20,2464,Northern Arizona Defensive Rebound.,46,44
8:48,2541,Foul on Jarvis Pugh.,46,44
8:34,2464,Jordyn Martin made Jumper. Assisted by Chris Bowling.,48,44
8:17,2541,Kai Healy made Layup.,48,46
8:04,2464,Northern Arizona  Timeout,48,46
7:54,2464,Jordyn Martin made Jumper.,50,46
7:44,2541,Matt Hauser missed Layup.,50,46
7:44,2464,Jordyn Martin Defensive Rebound.,50,46
7:39,2464,Mike Green missed Three Point Jumper.,50,46
7:39,2541,Jared Brownridge Defensive Rebound.,50,46
7:24,2541,Henrik Jadersten made Three Point Jumper. Assisted by Jarvis Pugh.,50,49
7:00,2541,Foul on Henrik Jadersten.,50,49
6:59,2541,Official TV Timeout,50,49
6:47,2464,Ako Kaluna missed Jumper.,50,49
6:47,2464,Jordyn Martin Offensive Rebound.,50,49
6:46,2541,Foul on Henrik Jadersten.,50,49
6:46,2464,Jordyn Martin made Free Throw.,51,49
6:46,2464,Jordyn Martin made Free Throw.,52,49
6:25,2541,Jared Brownridge missed Three Point Jumper.,52,49
6:25,2541,Nate Kratch Offensive Rebound.,52,49
6:14,2541,Matt Hauser missed Three Point Jumper.,52,49
6:14,2464,Ako Kaluna Defensive Rebound.,52,49
5:56,2464,Ako Kaluna missed Layup.,52,49
5:56,2541,Kai Healy Defensive Rebound.,52,49
5:35,2541,Kai Healy made Three Point Jumper. Assisted by Jared Brownridge.,52,52
5:13,2541,Foul on Jarvis Pugh.,52,52
5:13,2464,Ako Kaluna missed Free Throw.,52,52
5:13,2464,Northern Arizona Deadball Team Rebound.,52,52
5:13,2464,Ako Kaluna made Free Throw.,53,52
5:05,2541,Kai Healy made Layup.,53,54
4:46,2464,Mike Green Turnover.,53,54
4:28,2541,Jarvis Pugh made Layup.,53,56
4:11,2464,Mike Green made Layup.,55,56
3:49,2464,Foul on Felix Rivera-Vega.,55,56
3:49,2541,Official TV Timeout,55,56
3:49,2541,Nate Kratch missed Free Throw.,55,56
3:49,2541,Santa Clara Deadball Team Rebound.,55,56
3:49,2541,Nate Kratch made Free Throw.,55,57
3:33,2464,Jordyn Martin missed Layup.,55,57
3:33,2464,Jordyn Martin Offensive Rebound.,55,57
3:31,2464,Jordyn Martin missed Layup.,55,57
3:31,2541,Kai Healy Block.,55,57
3:30,2464,Northern Arizona Offensive Rebound.,55,57
3:04,2464,Jaleni Neely missed Jumper.,55,57
3:04,2464,Ako Kaluna Offensive Rebound.,55,57
2:54,2464,Ako Kaluna missed Layup.,55,57
2:54,2541,Jarvis Pugh Defensive Rebound.,55,57
2:54,2464,Foul on Jordyn Martin.,55,57
2:54,2541,Jarvis Pugh made Free Throw.,55,58
2:54,2541,Jarvis Pugh made Free Throw.,55,59
2:40,2464,Mike Green Turnover.,55,59
2:40,2541,Jarvis Pugh Steal.,55,59
2:40,2464,Foul on Ako Kaluna.,55,59
2:40,2541,Jarvis Pugh made Free Throw.,55,60
2:40,2541,Jarvis Pugh made Free Throw.,55,61
2:20,2541,Foul on Matt Hauser.,55,61
2:20,2464,Jaleni Neely made Free Throw.,56,61
2:20,2464,Jaleni Neely made Free Throw.,57,61
1:55,2541,Jared Brownridge made Layup.,57,63
1:34,2464,Marcus DeBerry missed Three Point Jumper.,57,63
1:34,2541,Jarvis Pugh Defensive Rebound.,57,63
1:00,2541,Jared Brownridge missed Three Point Jumper.,57,63
1:00,2464,Northern Arizona Deadball Team Rebound.,57,63
0:49,2464,Jaleni Neely made Layup.,59,63
0:47,2464,Northern Arizona  Timeout,59,63
0:39,2464,Foul on Mike Green.,59,63
0:39,2541,Matt Hauser made Free Throw.,59,64
0:39,2541,Matt Hauser missed Free Throw.,59,64
0:39,2464,Jordyn Martin Defensive Rebound.,59,64
0:31,2464,Jaleni Neely Turnover.,59,64
0:31,2541,Jarvis Pugh Steal.,59,64
0:31,2541,Santa Clara  Timeout,59,64
0:29,2464,Foul on Mike Green.,59,64
0:29,2541,Jarvis Pugh made Free Throw.,59,65
0:29,2541,Jarvis Pugh missed Free Throw.,59,65
0:29,2464,Jordyn Martin Defensive Rebound.,59,65
0:19,2464,Mike Green missed Three Point Jumper.,59,65
0:19,2541,Nate Kratch Defensive Rebound.,59,65
0:10,2541,Matt Hauser Turnover.,59,65
0:07,2464,Jordyn Martin Steal.,59,65
0:06,2464,Jaleni Neely made Free Throw.,60,65
0:06,2464,Northern Arizona  Timeout,60,65
0:06,2464,Jaleni Neely made Free Throw.,61,65
0:05,2541,Jared Brownridge made Free Throw.,61,66
0:05,2541,Jared Brownridge made Free Throw.,61,67
0:04,2464,Mike Green missed Three Point Jumper.,59,65
0:04,2464,Jaleni Neely Offensive Rebound.,59,65
0:04,2541,Foul on Jarvis Pugh.,59,65
0:03,2464,Foul on Mike Green.,61,65
0:01,2464,Marcus DeBerry made Three Point Jumper. Assisted by Jaleni Neely.,64,67
0:00,2541,End of Game,61,65
