Cal Poly,2492,Pepperdine,13
14:44,2492,Lamond Murray Jr. made Three Point Jumper. Assisted by Jeremy Major.,9,9
14:38,13,Kyle Toth made Three Point Jumper. Assisted by Jaylen Shead.,12,9
14:18,2492,Chris Reyes made Dunk. Assisted by Jeremy Major.,12,11
13:48,13,Luke Meikle Turnover.,12,11
13:47,2492,Lamond Murray Jr. Steal.,12,11
13:44,2492,Lamond Murray Jr. missed Layup.,12,11
13:44,2492,Chris Reyes Offensive Rebound.,12,11
13:43,2492,Chris Reyes made Layup.,12,13
13:17,13,Zach Gordon missed Layup.,12,13
13:17,2492,Nate Gehring Block.,12,13
13:15,2492,Pepperdine Defensive Rebound.,12,13
13:03,2492,Lamond Murray Jr. missed Three Point Jumper.,12,13
13:03,13,Luke Meikle Defensive Rebound.,12,13
12:47,13,Foul on Zach Gordon.,12,13
12:47,13,Zach Gordon Turnover.,12,13
12:35,2492,Nate Gehring missed Jumper.,12,13
12:35,13,Josh Martin Defensive Rebound.,12,13
12:12,13,Donovan Fields made Jumper.,14,13
11:51,13,Foul on Kyle Toth.,14,13
11:51,2492,Official TV Timeout,14,13
11:51,2492,Nate Gehring made Free Throw.,14,14
11:51,2492,Nate Gehring made Free Throw.,14,15
11:44,2492,Foul on Elijah Lee.,14,15
11:36,13,Josh Martin missed Jumper.,14,15
11:36,2492,Nate Gehring Defensive Rebound.,14,15
11:24,2492,Amadi Udenyi missed Three Point Jumper.,14,15
11:24,2492,Pepperdine Offensive Rebound.,14,15
11:21,13,Foul on Zach Gordon.,14,15
11:16,2492,Craig LeCesne missed Jumper.,14,15
11:16,13,Aleks Abrams Defensive Rebound.,14,15
10:50,13,Josh Martin Turnover.,14,15
10:49,2492,Elijah Lee Steal.,14,15
10:47,2492,Elijah Lee Turnover.,14,15
10:47,13,Cal Poly  Timeout,14,15
10:38,13,Donovan Fields missed Three Point Jumper.,14,15
10:38,13,Cal Poly Offensive Rebound.,14,15
10:19,13,Donovan Fields missed Three Point Jumper.,14,15
10:19,2492,Craig LeCesne Defensive Rebound.,14,15
9:58,2492,Lamond Murray Jr. missed Jumper.,14,15
9:58,13,Josh Martin Defensive Rebound.,14,15
9:48,2492,Foul on Craig LeCesne.,14,15
9:48,13,Josh Martin missed Free Throw.,14,15
9:48,13,Cal Poly Deadball Team Rebound.,14,15
9:48,13,Josh Martin missed Free Throw.,14,15
9:48,2492,Craig LeCesne Defensive Rebound.,14,15
9:30,2492,Craig LeCesne made Layup. Assisted by Chris Reyes.,14,17
9:22,2492,Foul on Elijah Lee.,14,17
9:04,13,Victor Joseph missed Layup.,14,17
9:04,13,Josh Martin Offensive Rebound.,14,17
9:02,2492,Foul on Jeremy Major.,14,17
9:02,13,Josh Martin made Free Throw.,15,17
9:02,13,Josh Martin made Free Throw.,16,17
8:47,2492,Chris Reyes made Dunk. Assisted by Amadi Udenyi.,16,19
8:32,13,Josh Martin missed Layup.,16,19
8:32,2492,Chris Reyes Block.,16,19
8:31,13,Josh Martin Offensive Rebound.,16,19
8:17,13,Luke Meikle missed Jumper.,16,19
8:17,2492,Craig LeCesne Defensive Rebound.,16,19
8:02,2492,Amadi Udenyi made Three Point Jumper. Assisted by Jeremy Major.,16,22
7:47,13,Victor Joseph made Three Point Jumper.,19,22
7:27,2492,Amadi Udenyi made Three Point Jumper. Assisted by Chris Reyes.,19,25
7:07,13,Hank Hollingsworth Turnover.,19,25
7:07,2492,Amadi Udenyi Steal.,19,25
7:07,2492,Official TV Timeout,19,25
6:50,2492,Chris Reyes made Jumper. Assisted by Jeremy Major.,19,27
6:24,13,Josh Mishler made Three Point Jumper. Assisted by Jaylen Shead.,22,27
6:05,2492,Chris Reyes made Layup. Assisted by Ryan Keenan.,22,29
5:41,13,Luke Meikle made Layup.,24,29
5:15,2492,Ryan Keenan made Layup. Assisted by Chris Reyes.,24,31
5:06,13,Jaylen Shead missed Jumper.,24,31
5:06,2492,Ryan Keenan Defensive Rebound.,24,31
4:43,13,Foul on Josh Mishler.,24,31
4:43,2492,Knox Hellums made Free Throw.,24,32
4:43,2492,Knox Hellums made Free Throw.,24,33
4:18,13,Luke Meikle missed Jumper.,24,33
4:18,13,Josh Martin Offensive Rebound.,24,33
4:16,2492,Foul on Kaijae Yee-Stephens.,24,33
4:14,13,Josh Martin missed Layup.,24,33
4:14,13,Josh Martin Offensive Rebound.,24,33
4:12,13,Josh Martin missed Jumper.,24,33
4:12,2492,Chris Reyes Defensive Rebound.,24,33
4:03,2492,Chris Reyes made Layup. Assisted by Amadi Udenyi.,24,35
3:44,13,Donovan Fields Turnover.,24,35
3:43,2492,Amadi Udenyi Steal.,24,35
3:39,2492,Lamond Murray Jr. made Layup. Assisted by Amadi Udenyi.,24,37
3:27,13,Ridge Shipley missed Jumper.,24,37
3:27,2492,Pepperdine Defensive Rebound.,24,37
3:24,2492,Official TV Timeout,24,37
3:02,2492,Lamond Murray Jr. missed Jumper.,24,37
3:02,13,Luke Meikle Defensive Rebound.,24,37
2:56,13,Luke Meikle Turnover.,24,37
2:44,2492,Amadi Udenyi made Layup.,24,39
2:44,13,Foul on Josh Martin.,24,39
2:44,2492,Amadi Udenyi missed Free Throw.,24,39
2:44,13,Josh Martin Defensive Rebound.,24,39
2:22,2492,Foul on Ryan Keenan.,24,39
2:22,13,Josh Martin missed Free Throw.,24,39
2:22,13,Cal Poly Deadball Team Rebound.,24,39
2:22,13,Josh Martin made Free Throw.,25,39
2:03,13,Foul on Kyle Toth.,25,39
1:46,2492,Chris Reyes Turnover.,25,39
1:28,2492,Foul on Kaijae Yee-Stephens.,25,39
1:28,13,Jaylen Shead made Free Throw.,26,39
1:28,13,Jaylen Shead missed Free Throw.,26,39
1:28,2492,Ryan Keenan Defensive Rebound.,26,39
1:09,2492,Chris Reyes Turnover.,26,39
1:09,2492,Foul on Chris Reyes.,26,39
0:55,13,Jaylen Shead made Layup. Assisted by Josh Martin.,28,39
0:34,2492,Amadi Udenyi Turnover.,28,39
0:29,13,Luke Meikle made Three Point Jumper. Assisted by Ridge Shipley.,31,39
0:05,2492,Amadi Udenyi missed Layup.,31,39
0:05,13,Josh Martin Defensive Rebound.,31,39
0:00,2492,End of 1st half,31,39
19:41,13,Luke Meikle missed Jumper.,31,39
19:41,2492,Amadi Udenyi Defensive Rebound.,31,39
19:24,2492,Chris Reyes missed Jumper.,31,39
19:24,13,Josh Martin Defensive Rebound.,31,39
19:18,13,Jaylen Shead missed Layup.,31,39
19:18,2492,Chris Reyes Defensive Rebound.,31,39
19:10,2492,Amadi Udenyi missed Layup.,31,39
19:10,13,Josh Martin Defensive Rebound.,31,39
19:08,2492,Foul on Amadi Udenyi.,31,39
18:54,13,Luke Meikle missed Jumper.,31,39
18:54,2492,Jeremy Major Defensive Rebound.,31,39
18:40,2492,Nate Gehring missed Jumper.,31,39
18:40,13,Josh Martin Defensive Rebound.,31,39
18:21,2492,Foul on Nate Gehring.,31,39
18:21,13,Luke Meikle made Free Throw.,32,39
18:21,13,Luke Meikle made Free Throw.,33,39
18:04,2492,Jeremy Major missed Three Point Jumper.,33,39
18:04,13,Josh Martin Defensive Rebound.,33,39
17:37,13,Josh Martin made Layup.,35,39
17:17,2492,Chris Reyes made Jumper. Assisted by Jeremy Major.,35,41
16:56,13,Kyle Toth missed Three Point Jumper.,35,41
16:56,2492,Jeremy Major Defensive Rebound.,35,41
16:48,2492,Jeremy Major missed Layup.,35,41
16:48,2492,Nate Gehring Offensive Rebound.,35,41
16:44,2492,Nate Gehring made Two Point Tip Shot.,35,43
16:27,13,Josh Martin made Three Point Jumper. Assisted by Jaylen Shead.,38,43
16:01,2492,Lamond Murray Jr. made Jumper.,38,45
15:45,13,Jaylen Shead missed Layup.,38,45
15:45,2492,Nate Gehring Block.,38,45
15:44,2492,Nate Gehring Defensive Rebound.,38,45
15:41,2492,Lamond Murray Jr. made Layup. Assisted by Jeremy Major.,38,47
15:31,13,Cal Poly  Timeout,38,47
15:20,13,Luke Meikle missed Three Point Jumper.,38,47
15:20,2492,Lamond Murray Jr. Defensive Rebound.,38,47
15:04,2492,Jeremy Major missed Jumper.,38,47
15:04,13,Josh Martin Defensive Rebound.,38,47
14:48,13,Josh Martin missed Three Point Jumper.,38,47
14:48,2492,Lamond Murray Jr. Defensive Rebound.,38,47
14:38,13,Foul on Josh Martin.,38,47
14:38,2492,Official TV Timeout,38,47
14:38,2492,Chris Reyes missed Free Throw.,38,47
14:38,2492,Pepperdine Deadball Team Rebound.,38,47
14:38,2492,Chris Reyes missed Free Throw.,38,47
14:38,13,Josh Martin Defensive Rebound.,38,47
14:22,13,Kyle Toth made Layup. Assisted by Jaylen Shead.,40,47
14:22,2492,Foul on Lamond Murray Jr..,40,47
14:22,13,Kyle Toth made Free Throw.,41,47
14:09,13,Foul on Ridge Shipley.,41,47
14:04,2492,Jeremy Major missed Three Point Jumper.,41,47
14:04,13,Jaylen Shead Defensive Rebound.,41,47
13:59,13,Ridge Shipley Turnover.,41,47
13:52,2492,Foul on Ryan Keenan.,41,47
13:52,2492,Ryan Keenan Turnover.,41,47
13:40,13,Jaylen Shead Turnover.,41,47
13:27,2492,Ryan Keenan made Layup. Assisted by Chris Reyes.,41,49
13:14,13,Josh Martin made Jumper.,43,49
13:14,2492,Foul on Ryan Keenan.,43,49
13:14,13,Josh Martin made Free Throw.,44,49
13:03,2492,Jeremy Major missed Three Point Jumper.,44,49
13:03,2492,Craig LeCesne Offensive Rebound.,44,49
12:53,2492,Elijah Lee Turnover.,44,49
12:53,2492,Foul on Elijah Lee.,44,49
12:46,13,Donovan Fields made Free Throw.,45,49
12:36,2492,Foul on Chris Reyes.,45,49
12:36,13,Donovan Fields made Free Throw.,46,49
12:17,2492,Craig LeCesne missed Jumper.,46,49
12:17,2492,Craig LeCesne Offensive Rebound.,46,49
12:17,13,Foul on Zach Gordon.,46,49
12:17,2492,Craig LeCesne made Free Throw.,46,50
12:17,2492,Craig LeCesne made Free Throw.,46,51
12:00,13,Ridge Shipley missed Jumper.,46,51
12:00,13,Josh Martin Offensive Rebound.,46,51
11:57,13,Josh Martin made Dunk.,48,51
11:37,2492,Chris Reyes Turnover.,48,51
11:37,2492,Official TV Timeout,48,51
11:13,13,Zach Gordon missed Jumper.,48,51
11:13,2492,Chris Reyes Defensive Rebound.,48,51
11:07,2492,Chris Reyes Turnover.,48,51
11:07,2492,Foul on Craig LeCesne.,48,51
10:54,13,Victor Joseph made Three Point Jumper. Assisted by Zach Gordon.,51,51
10:54,2492,Foul on Craig LeCesne.,51,51
10:54,13,Victor Joseph missed Free Throw.,51,51
10:54,2492,Elijah Lee Defensive Rebound.,51,51
10:46,13,Foul on Victor Joseph.,51,51
10:33,2492,Chris Reyes made Dunk. Assisted by Jeremy Major.,51,53
10:33,13,Foul on Josh Martin.,51,53
10:33,2492,Chris Reyes missed Free Throw.,51,53
10:33,13,Zach Gordon Defensive Rebound.,51,53
10:14,13,Luke Meikle Turnover.,51,53
10:14,2492,Jeremy Major Steal.,51,53
10:06,2492,Lamond Murray Jr. made Jumper. Assisted by Amadi Udenyi.,51,55
9:54,13,Donovan Fields missed Jumper.,51,55
9:54,13,Donovan Fields Offensive Rebound.,51,55
9:38,13,Victor Joseph Turnover.,51,55
9:37,2492,Chris Reyes Steal.,51,55
9:29,13,Foul on Victor Joseph.,51,55
9:28,2492,Lamond Murray Jr. made Jumper. Assisted by Amadi Udenyi.,51,57
9:13,13,Cal Poly  Timeout,51,57
8:57,13,Donovan Fields missed Jumper.,51,57
8:57,2492,Jeremy Major Defensive Rebound.,51,57
8:44,2492,Foul on Craig LeCesne.,51,57
8:44,2492,Craig LeCesne Turnover.,51,57
8:31,13,Victor Joseph missed Three Point Jumper.,51,57
8:31,2492,Lamond Murray Jr. Defensive Rebound.,51,57
8:15,2492,Craig LeCesne missed Jumper.,51,57
8:15,13,Victor Joseph Defensive Rebound.,51,57
8:07,13,Luke Meikle missed Three Point Jumper.,51,57
8:07,2492,Amadi Udenyi Defensive Rebound.,51,57
7:45,2492,Amadi Udenyi made Jumper.,51,59
7:45,13,Foul on Victor Joseph.,51,59
7:45,2492,Official TV Timeout,51,59
7:45,2492,Amadi Udenyi made Free Throw.,51,60
7:36,13,Jaylen Shead made Layup.,53,60
7:18,2492,Lamond Murray Jr. missed Jumper.,53,60
7:18,13,Josh Martin Defensive Rebound.,53,60
7:06,13,Ridge Shipley Turnover.,53,60
6:52,2492,Ryan Keenan made Layup. Assisted by Chris Reyes.,53,62
6:35,13,Luke Meikle made Layup. Assisted by Ridge Shipley.,55,62
6:20,13,Foul on Luke Meikle.,55,62
6:20,2492,Ryan Keenan missed Free Throw.,55,62
6:20,13,Kyle Toth Defensive Rebound.,55,62
5:53,13,Josh Martin Turnover.,55,62
5:50,2492,Lamond Murray Jr. Steal.,55,62
5:40,2492,Lamond Murray Jr. missed Jumper.,55,62
5:40,13,Josh Martin Defensive Rebound.,55,62
5:28,13,Ridge Shipley missed Three Point Jumper.,55,62
5:28,13,Cal Poly Offensive Rebound.,55,62
5:26,2492,Foul on Ryan Keenan.,55,62
5:26,13,Josh Martin missed Free Throw.,55,62
5:26,13,Cal Poly Deadball Team Rebound.,55,62
5:26,13,Josh Martin made Free Throw.,56,62
5:10,2492,Craig LeCesne made Layup. Assisted by Jeremy Major.,56,64
4:52,13,Josh Martin missed Layup.,56,64
4:52,13,Josh Martin Offensive Rebound.,56,64
4:51,13,Josh Martin missed Layup.,56,64
4:51,2492,Ryan Keenan Block.,56,64
4:49,13,Cal Poly Offensive Rebound.,56,64
4:48,2492,Foul on Ryan Keenan.,56,64
4:48,13,Josh Martin made Free Throw.,57,64
4:48,13,Josh Martin missed Free Throw.,57,64
4:48,2492,Nate Gehring Defensive Rebound.,57,64
4:35,2492,Nate Gehring made Layup. Assisted by Jeremy Major.,57,66
4:35,13,Foul on Luke Meikle.,57,66
4:35,2492,Nate Gehring missed Free Throw.,57,66
4:35,13,Jaylen Shead Defensive Rebound.,57,66
4:21,13,Luke Meikle made Jumper.,59,66
4:03,2492,Jeremy Major missed Jumper.,59,66
4:03,13,Luke Meikle Defensive Rebound.,59,66
3:38,13,Luke Meikle made Jumper. Assisted by Kyle Toth.,61,66
3:20,2492,Amadi Udenyi missed Layup.,61,66
3:20,2492,Nate Gehring Offensive Rebound.,61,66
3:17,2492,Nate Gehring missed Two Point Tip Shot.,61,66
3:17,2492,Pepperdine Offensive Rebound.,61,66
3:15,2492,Official TV Timeout,61,66
3:06,13,Foul on Ridge Shipley.,61,66
3:06,2492,Lamond Murray Jr. made Free Throw.,61,67
3:06,2492,Lamond Murray Jr. missed Free Throw.,61,67
3:06,13,Josh Martin Defensive Rebound.,61,67
2:49,13,Jaylen Shead missed Three Point Jumper.,61,67
2:49,2492,Chris Reyes Defensive Rebound.,61,67
2:35,2492,Jeremy Major missed Layup.,61,67
2:35,13,Josh Martin Defensive Rebound.,61,67
2:21,2492,Foul on Craig LeCesne.,61,67
2:21,13,Josh Martin made Free Throw.,62,67
2:21,13,Josh Martin made Free Throw.,63,67
2:05,2492,Lamond Murray Jr. made Jumper.,63,69
1:54,2492,Foul on Lamond Murray Jr..,63,69
1:54,13,Ridge Shipley missed Free Throw.,63,69
1:54,13,Cal Poly Deadball Team Rebound.,63,69
1:54,13,Ridge Shipley made Free Throw.,64,69
1:35,2492,Lamond Murray Jr. made Three Point Jumper. Assisted by Chris Reyes.,64,72
1:28,13,Jaylen Shead Turnover.,64,72
1:28,2492,Amadi Udenyi Steal.,64,72
1:28,13,Foul on Ridge Shipley.,64,72
1:19,13,Foul on Jaylen Shead.,64,72
1:19,2492,Jeremy Major made Free Throw.,64,73
1:19,2492,Jeremy Major made Free Throw.,64,74
1:06,13,Jaylen Shead missed Three Point Jumper.,64,74
1:06,2492,Lamond Murray Jr. Defensive Rebound.,64,74
0:55,2492,Chris Reyes made Layup. Assisted by Amadi Udenyi.,64,76
0:51,13,Josh Martin Turnover.,64,76
0:50,2492,Amadi Udenyi Steal.,64,76
0:48,13,Foul on Ridge Shipley.,64,76
0:48,2492,Amadi Udenyi made Free Throw.,64,77
0:48,2492,Amadi Udenyi missed Free Throw.,64,77
0:48,13,Luke Meikle Defensive Rebound.,64,77
0:38,13,Jaylen Shead made Layup.,66,77
0:35,13,Foul on Aleks Abrams.,66,77
0:35,2492,Jeremy Major missed Free Throw.,66,77
0:35,2492,Pepperdine Deadball Team Rebound.,66,77
0:35,2492,Jeremy Major missed Free Throw.,66,77
0:35,13,Josh Mishler Defensive Rebound.,66,77
0:23,13,Jaylen Shead made Jumper.,68,77
0:22,2492,Lamond Murray Jr. Turnover.,68,77
0:22,13,Victor Joseph Steal.,68,77
0:19,13,Luke Meikle missed Jumper.,68,77
0:19,13,Aleks Abrams Offensive Rebound.,68,77
0:16,13,Aleks Abrams missed Layup.,68,77
0:16,2492,Chris Reyes Block.,68,77
0:15,13,Cal Poly Offensive Rebound.,68,77
0:13,13,Luke Meikle missed Three Point Jumper.,68,77
0:13,2492,Elijah Lee Defensive Rebound.,68,77
0:00,2492,End of Game,68,77
