Southern Utah,2674,Valparaiso,253
6:46,253,Foul on Randy Onwuasor.,14,19
6:46,2674,Alec Peters made Free Throw.,14,20
6:46,2674,Alec Peters made Free Throw.,14,21
6:35,2674,Foul on Tevonn Walker.,14,21
6:35,253,Race Parsons made Free Throw.,15,21
6:35,253,Race Parsons made Free Throw.,16,21
6:19,2674,Max Joseph made Layup.,16,23
6:19,253,Foul on Ivan Madunic.,16,23
6:19,2674,Max Joseph made Free Throw.,16,24
6:11,253,Randy Onwuasor made Layup.,18,24
5:56,2674,Tevonn Walker missed Three Point Jumper.,18,24
5:56,253,Southern Utah Defensive Rebound.,18,24
5:42,253,Randy Onwuasor missed Jumper.,18,24
5:42,2674,Alec Peters Defensive Rebound.,18,24
5:28,2674,Max Joseph missed Three Point Jumper.,18,24
5:28,2674,Valparaiso Offensive Rebound.,18,24
5:25,253,Foul on Christian Musoko.,18,24
5:25,2674,Alec Peters made Free Throw.,18,25
5:25,2674,Alec Peters made Free Throw.,18,26
5:06,2674,Foul on Shane Hammink.,18,26
5:06,253,Randy Onwuasor made Free Throw.,19,26
5:06,253,Randy Onwuasor made Free Throw.,20,26
4:49,2674,Max Joseph missed Jumper.,20,26
4:49,2674,Tevonn Walker Offensive Rebound.,20,26
4:46,253,Foul on Brayden Holker.,20,26
4:46,2674,Tevonn Walker made Free Throw.,20,27
4:46,2674,Tevonn Walker made Free Throw.,20,28
4:23,253,Randy Onwuasor missed Jumper.,20,28
4:23,2674,Max Joseph Defensive Rebound.,20,28
4:07,253,Foul on James McGee.,20,28
4:07,2674,Max Joseph made Free Throw.,20,29
4:07,2674,Max Joseph made Free Throw.,20,30
3:48,253,Decardo Day missed Three Point Jumper.,20,30
3:48,2674,Max Joseph Defensive Rebound.,20,30
3:39,2674,Tevonn Walker missed Three Point Jumper.,20,30
3:39,253,Race Parsons Defensive Rebound.,20,30
3:29,2674,Foul on Max Joseph.,20,30
3:29,2674,Official TV Timeout,20,30
3:29,253,Race Parsons made Free Throw.,21,30
3:29,253,Race Parsons made Free Throw.,22,30
3:15,253,Foul on Race Parsons.,22,30
3:15,2674,Alec Peters made Free Throw.,22,31
3:15,2674,Alec Peters made Free Throw.,22,32
3:02,253,Randy Onwuasor made Jumper.,24,32
2:40,2674,Micah Bradford missed Layup.,24,32
2:40,253,Will Joyce Defensive Rebound.,24,32
2:38,253,Will Joyce Turnover.,24,32
2:38,2674,Micah Bradford Steal.,24,32
2:36,2674,Micah Bradford missed Jumper.,24,32
2:36,253,Southern Utah Defensive Rebound.,24,32
2:34,2674,Foul on Jaume Sorolla.,24,32
2:34,253,Decardo Day missed Free Throw.,24,32
2:34,253,Southern Utah Deadball Team Rebound.,24,32
2:34,253,Decardo Day missed Free Throw.,24,32
2:34,2674,Alec Peters Defensive Rebound.,24,32
2:14,2674,Alec Peters made Layup.,24,34
1:58,253,Decardo Day Turnover.,24,34
1:57,2674,Max Joseph Steal.,24,34
1:52,2674,Micah Bradford missed Jumper.,24,34
1:52,2674,Alec Peters Offensive Rebound.,24,34
1:47,2674,Alec Peters made Layup.,24,36
1:20,253,Randy Onwuasor made Layup.,26,36
1:01,2674,Alec Peters made Layup.,26,38
0:49,253,Randy Onwuasor missed Layup.,26,38
0:49,2674,Jubril Adekoya Block.,26,38
0:49,253,Southern Utah Offensive Rebound.,26,38
0:44,253,Randy Onwuasor made Jumper.,28,38
0:26,253,Foul on Brayden Holker.,28,38
0:26,2674,Alec Peters made Free Throw.,28,39
0:26,2674,Alec Peters made Free Throw.,28,40
0:04,253,Race Parsons missed Three Point Jumper.,28,40
0:04,2674,Valparaiso Defensive Rebound.,28,40
0:00,2674,End of 1st half,28,40
19:53,2674,Alec Peters made Layup. Assisted by Shane Hammink.,28,42
19:32,253,Ivan Madunic made Three Point Jumper. Assisted by James McGee.,31,42
19:11,2674,Alec Peters missed Layup.,31,42
19:11,253,Christian Musoko Defensive Rebound.,31,42
18:53,253,Ivan Madunic made Dunk. Assisted by Randy Onwuasor.,33,42
18:23,2674,Jubril Adekoya missed Three Point Jumper.,33,42
18:23,253,James McGee Defensive Rebound.,33,42
18:12,253,Ivan Madunic made Three Point Jumper. Assisted by Randy Onwuasor.,36,42
18:12,2674,Valparaiso  Timeout,36,42
17:58,2674,Shane Hammink made Layup.,36,44
17:40,253,Race Parsons missed Three Point Jumper.,36,44
17:40,2674,Valparaiso Defensive Rebound.,36,44
17:22,2674,Shane Hammink missed Three Point Jumper.,36,44
17:22,253,James McGee Defensive Rebound.,36,44
17:16,253,James McGee Turnover.,36,44
17:06,2674,Shane Hammink made Dunk. Assisted by Alec Peters.,36,46
16:51,253,Randy Onwuasor made Three Point Jumper.,39,46
16:32,253,Foul on Ivan Madunic.,39,46
16:32,2674,Alec Peters made Free Throw.,39,47
16:32,2674,Alec Peters made Free Throw.,39,48
16:24,253,Randy Onwuasor made Jumper.,41,48
16:08,253,Foul on Brayden Holker.,41,48
15:59,2674,Alec Peters made Layup. Assisted by Lexus Williams.,41,50
15:31,253,James McGee missed Three Point Jumper.,41,50
15:31,2674,Tevonn Walker Defensive Rebound.,41,50
15:27,253,Foul on Will Joyce.,41,50
15:27,2674,Official TV Timeout,41,50
15:17,2674,Jubril Adekoya Turnover.,41,50
15:17,253,James McGee Steal.,41,50
15:04,2674,Foul on Max Joseph.,41,50
15:01,253,James McGee made Three Point Jumper. Assisted by Randy Onwuasor.,44,50
14:45,253,Foul on Christian Musoko.,44,50
14:45,2674,Shane Hammink missed Free Throw.,44,50
14:45,2674,Valparaiso Deadball Team Rebound.,44,50
14:45,2674,Shane Hammink made Free Throw.,44,51
14:23,253,Randy Onwuasor Turnover.,44,51
14:12,2674,Shane Hammink Turnover.,44,51
14:11,253,Christian Musoko Steal.,44,51
14:07,253,Foul on Randy Onwuasor.,44,51
14:07,253,Randy Onwuasor Turnover.,44,51
13:46,253,Foul on Will Joyce.,44,51
13:44,2674,Jubril Adekoya Turnover.,44,51
13:43,253,Will Joyce Steal.,44,51
13:35,253,James McGee Turnover.,44,51
13:23,2674,Foul on Shane Hammink.,44,51
13:23,2674,Shane Hammink Turnover.,44,51
13:14,253,Randy Onwuasor missed Layup.,44,51
13:14,2674,Shane Hammink Block.,44,51
13:13,2674,Jubril Adekoya Defensive Rebound.,44,51
13:05,2674,Jubril Adekoya made Jumper.,44,53
13:05,253,Foul on Christian Musoko.,44,53
13:05,2674,Jubril Adekoya missed Free Throw.,44,53
13:05,2674,Jubril Adekoya Offensive Rebound.,44,53
12:57,2674,Micah Bradford missed Three Point Jumper.,44,53
12:57,2674,Jubril Adekoya Offensive Rebound.,44,53
12:54,253,Foul on Race Parsons.,44,53
12:54,2674,Jubril Adekoya made Free Throw.,44,54
12:54,2674,Jubril Adekoya made Free Throw.,44,55
12:40,253,James McGee missed Three Point Jumper.,44,55
12:40,253,Will Joyce Offensive Rebound.,44,55
12:33,2674,Foul on Jaume Sorolla.,44,55
12:30,253,Randy Onwuasor made Three Point Jumper.,47,55
12:14,2674,Alec Peters Turnover.,47,55
11:55,253,Race Parsons missed Layup.,47,55
11:55,2674,Jaume Sorolla Block.,47,55
11:55,253,Jacob Calloway Offensive Rebound.,47,55
11:51,253,Jacob Calloway Turnover.,47,55
11:51,2674,Max Joseph Steal.,47,55
11:44,2674,Alec Peters missed Three Point Jumper.,47,55
11:44,253,Race Parsons Defensive Rebound.,47,55
11:35,253,James McGee missed Three Point Jumper.,47,55
11:35,2674,Max Joseph Defensive Rebound.,47,55
11:23,2674,Alec Peters Turnover.,47,55
11:23,253,Ivan Madunic Steal.,47,55
11:23,2674,Foul on Derrik Smits.,47,55
11:23,2674,Official TV Timeout,47,55
11:02,253,Race Parsons missed Three Point Jumper.,47,55
11:02,2674,Shane Hammink Defensive Rebound.,47,55
10:37,2674,Max Joseph missed Jumper.,47,55
10:37,253,Jacob Calloway Block.,47,55
10:36,253,Jacob Calloway Defensive Rebound.,47,55
10:34,2674,Foul on Max Joseph.,47,55
10:24,253,Randy Onwuasor made Jumper.,49,55
10:00,2674,Lexus Williams missed Layup.,49,55
10:00,2674,Valparaiso Offensive Rebound.,49,55
9:55,2674,Shane Hammink missed Three Point Jumper.,49,55
9:55,253,Randy Onwuasor Defensive Rebound.,49,55
9:37,253,Randy Onwuasor made Layup.,51,55
9:37,2674,Foul on Jubril Adekoya.,51,55
9:37,253,Randy Onwuasor missed Free Throw.,51,55
9:37,253,Ivan Madunic Offensive Rebound.,51,55
9:35,253,Ivan Madunic made Layup.,53,55
9:18,253,Foul on Jacob Calloway.,53,55
9:18,2674,Lexus Williams made Free Throw.,53,56
9:18,2674,Lexus Williams made Free Throw.,53,57
9:05,253,Jacob Calloway missed Three Point Jumper.,53,57
9:05,2674,Shane Hammink Defensive Rebound.,53,57
8:52,2674,Jubril Adekoya missed Jumper.,53,57
8:52,253,Ivan Madunic Defensive Rebound.,53,57
8:40,253,Jacob Calloway missed Three Point Jumper.,53,57
8:40,253,Ivan Madunic Offensive Rebound.,53,57
8:37,2674,Foul on Max Joseph.,53,57
8:37,253,Ivan Madunic missed Free Throw.,53,57
8:37,2674,Jaume Sorolla Defensive Rebound.,53,57
8:21,2674,Jubril Adekoya missed Layup.,53,57
8:21,2674,Jaume Sorolla Offensive Rebound.,53,57
8:19,253,Foul on Jacob Calloway.,53,57
8:19,2674,Jaume Sorolla made Free Throw.,53,58
8:19,2674,Jaume Sorolla made Free Throw.,53,59
8:10,2674,Foul on Micah Bradford.,53,59
8:10,253,Randy Onwuasor made Free Throw.,54,59
8:10,253,Randy Onwuasor missed Free Throw.,54,59
8:10,2674,Jaume Sorolla Defensive Rebound.,54,59
7:59,2674,Shane Hammink missed Jumper.,54,59
7:59,253,Ivan Madunic Defensive Rebound.,54,59
7:56,2674,Foul on Jaume Sorolla.,54,59
7:56,2674,Official TV Timeout,54,59
7:56,253,Ivan Madunic missed Free Throw.,54,59
7:56,2674,Alec Peters Defensive Rebound.,54,59
7:38,2674,Micah Bradford Turnover.,54,59
7:25,253,Race Parsons made Three Point Jumper. Assisted by Jacob Calloway.,57,59
7:02,2674,Jubril Adekoya missed Jumper.,57,59
7:02,253,Ivan Madunic Defensive Rebound.,57,59
6:49,253,Randy Onwuasor Turnover.,57,59
6:27,253,Foul on Race Parsons.,57,59
6:27,2674,Jubril Adekoya made Free Throw.,57,60
6:27,2674,Jubril Adekoya made Free Throw.,57,61
6:08,253,Randy Onwuasor Turnover.,57,61
5:56,2674,Lexus Williams missed Three Point Jumper.,57,61
5:56,253,James McGee Defensive Rebound.,57,61
5:47,253,James McGee missed Layup.,57,61
5:47,253,Randy Onwuasor Offensive Rebound.,57,61
5:46,2674,Foul on Jubril Adekoya.,57,61
5:46,253,Randy Onwuasor made Free Throw.,58,61
5:46,253,Randy Onwuasor missed Free Throw.,58,61
5:46,2674,Jubril Adekoya Defensive Rebound.,58,61
5:36,2674,Max Joseph made Layup.,58,63
5:36,253,Foul on Jacob Calloway.,58,63
5:36,2674,Max Joseph made Free Throw.,58,64
5:36,253,Southern Utah  Timeout,58,64
5:17,2674,Jaume Sorolla missed Three Point Jumper.,58,64
5:17,253,Randy Onwuasor Offensive Rebound.,58,64
5:10,253,Southern Utah  Timeout,58,64
4:51,253,Race Parsons missed Three Point Jumper.,58,64
4:51,2674,Jubril Adekoya Defensive Rebound.,58,64
4:40,2674,Shane Hammink missed Jumper.,58,64
4:40,253,Ivan Madunic Block.,58,64
4:39,2674,Shane Hammink Offensive Rebound.,58,64
4:35,2674,Shane Hammink made Layup.,58,66
4:19,253,Ivan Madunic missed Jumper.,58,66
4:19,253,Jacob Calloway Offensive Rebound.,58,66
4:15,253,Race Parsons missed Three Point Jumper.,58,66
4:15,253,Race Parsons Offensive Rebound.,58,66
4:11,253,Race Parsons Turnover.,58,66
4:10,2674,Shane Hammink Steal.,58,66
3:45,253,Foul on Christian Musoko.,58,66
3:45,2674,Official TV Timeout,58,66
3:45,2674,Alec Peters made Free Throw.,58,67
3:45,2674,Alec Peters made Free Throw.,58,68
3:22,253,Randy Onwuasor missed Jumper.,58,68
3:22,2674,Alec Peters Defensive Rebound.,58,68
3:13,253,Foul on James McGee.,58,68
3:13,2674,Max Joseph made Free Throw.,58,69
3:13,2674,Max Joseph made Free Throw.,58,70
2:58,2674,Foul on Lexus Williams.,58,70
2:58,253,James McGee made Free Throw.,59,70
2:58,253,James McGee made Free Throw.,60,70
2:48,2674,Shane Hammink made Layup.,60,72
2:26,253,James McGee missed Three Point Jumper.,60,72
2:26,2674,Shane Hammink Defensive Rebound.,60,72
2:18,253,Foul on Race Parsons.,60,72
2:18,2674,Shane Hammink made Free Throw.,60,73
2:18,2674,Shane Hammink made Free Throw.,60,74
1:55,2674,Foul on Shane Hammink.,60,74
1:55,253,Randy Onwuasor made Free Throw.,61,74
1:55,253,Randy Onwuasor made Free Throw.,62,74
1:30,2674,Max Joseph made Three Point Jumper. Assisted by Shane Hammink.,62,77
1:17,253,Randy Onwuasor missed Three Point Jumper.,62,77
1:17,253,Race Parsons Offensive Rebound.,62,77
1:11,253,Race Parsons missed Layup.,62,77
1:11,2674,Valparaiso Defensive Rebound.,62,77
1:10,2674,Shane Hammink made Dunk. Assisted by Alec Peters.,62,79
0:57,253,Ivan Madunic made Three Point Jumper. Assisted by Randy Onwuasor.,65,79
0:30,2674,Alec Peters missed Three Point Jumper.,65,79
0:30,2674,Max Joseph Offensive Rebound.,65,79
0:00,2674,End of Game,65,79
