James Madison,295,Old Dominion,256
9:30,256,Shakir Brown missed Jumper.,16,14
9:30,256,Ivan Lukic Offensive Rebound.,16,14
9:19,295,Foul on Denzell Taylor.,16,14
9:19,295,Foul on Aaron Carver.,16,14
9:12,256,Dimitrije Cabarkapa missed Jumper.,16,14
9:12,295,Travis Fields Defensive Rebound.,16,14
8:44,295,Foul on B.J. Stith.,16,14
8:42,295,B.J. Stith Turnover.,16,14
8:22,256,Dimitrije Cabarkapa made Layup. Assisted by Shakir Brown.,18,14
8:01,295,Jordan Baker made Layup.,18,16
8:01,256,Foul on Ivan Lukic.,18,16
8:01,295,Jordan Baker made Free Throw.,18,17
7:41,256,Shakir Brown missed Three Point Jumper.,18,17
7:41,295,Brandan Stith Defensive Rebound.,18,17
7:25,295,Aaron Carver missed Jumper.,18,17
7:25,256,Jackson Kent Defensive Rebound.,18,17
7:13,256,Ivan Lukic Turnover.,18,17
7:12,295,Aaron Carver Steal.,18,17
7:07,256,Foul on Ivan Lukic.,18,17
7:07,295,Official TV Timeout,18,17
7:07,295,Aaron Carver made Free Throw.,18,18
7:07,295,Aaron Carver made Free Throw.,18,19
6:39,256,Dimitrije Cabarkapa Turnover.,18,19
6:36,295,Jordan Baker Steal.,18,19
6:35,295,Foul on Zoran Talley.,18,19
6:35,295,Zoran Talley Turnover.,18,19
6:21,256,Foul on Shakir Brown.,18,19
6:21,256,Shakir Brown Turnover.,18,19
6:06,295,Jordan Baker made Three Point Jumper. Assisted by Zoran Talley.,18,22
5:41,256,Joey McLean made Three Point Jumper. Assisted by Dimitrije Cabarkapa.,21,22
5:16,295,Travis Fields missed Three Point Jumper.,21,22
5:16,256,Paulius Satkus Defensive Rebound.,21,22
5:14,295,Foul on Aaron Carver.,21,22
5:14,256,Paulius Satkus made Free Throw.,22,22
5:14,256,Paulius Satkus made Free Throw.,23,22
4:45,295,Zoran Talley made Layup. Assisted by Ahmad Caver.,23,24
4:45,256,Foul on Paulius Satkus.,23,24
4:45,295,Zoran Talley missed Free Throw.,23,24
4:45,256,Dimitrije Cabarkapa Defensive Rebound.,23,24
4:21,256,Dimitrije Cabarkapa missed Three Point Jumper.,23,24
4:21,256,James Madison Offensive Rebound.,23,24
4:09,295,Foul on Zoran Talley.,23,24
4:09,256,Paulius Satkus made Free Throw.,24,24
4:09,256,Paulius Satkus missed Free Throw.,24,24
4:09,256,James Madison Offensive Rebound.,24,24
4:00,256,Joey McLean made Jumper.,26,24
3:29,295,B.J. Stith missed Three Point Jumper.,26,24
3:29,256,Jackson Kent Defensive Rebound.,26,24
3:21,256,Joey McLean missed Three Point Jumper.,26,24
3:21,295,Jordan Baker Defensive Rebound.,26,24
3:12,295,Ahmad Caver missed Jumper.,26,24
3:12,295,B.J. Stith Offensive Rebound.,26,24
3:08,295,B.J. Stith missed Layup.,26,24
3:08,256,Ramone Snowden Block.,26,24
3:06,256,Jackson Kent Defensive Rebound.,26,24
2:59,256,Foul on Joey McLean.,26,24
2:59,256,Joey McLean Turnover.,26,24
2:59,295,Official TV Timeout,26,24
2:59,256,Technical Foul on James Madison.,26,24
2:59,295,Jordan Baker made Free Throw.,26,25
2:34,295,Randy Haynes missed Three Point Jumper.,26,25
2:34,256,Paulius Satkus Defensive Rebound.,26,25
2:09,256,Foul on Dimitrije Cabarkapa.,26,25
2:09,256,Dimitrije Cabarkapa Turnover.,26,25
1:44,295,Randy Haynes missed Layup.,26,25
1:44,295,Brandan Stith Offensive Rebound.,26,25
1:40,295,Brandan Stith made Layup.,26,27
1:31,256,Ramone Snowden made Three Point Jumper.,29,27
1:06,295,Jordan Baker made Three Point Jumper. Assisted by Randy Haynes.,29,30
0:51,256,Ramone Snowden missed Layup.,29,30
0:51,295,Aaron Carver Block.,29,30
0:49,256,James Madison Offensive Rebound.,29,30
0:47,256,Dimitrije Cabarkapa missed Layup.,29,30
0:47,295,Trey Porter Block.,29,30
0:47,256,James Madison Offensive Rebound.,29,30
0:35,256,Dimitrije Cabarkapa made Layup. Assisted by Paulius Satkus.,31,30
0:05,295,Ahmad Caver missed Layup.,31,30
0:05,295,Old Dominion Offensive Rebound.,31,30
0:04,295,Old Dominion  Turnover.,31,30
0:00,256,Jackson Kent missed Three Point Jumper.,31,30
0:00,256,James Madison Offensive Rebound.,31,30
0:00,295,End of 1st half,31,30
19:47,295,Brandan Stith made Jumper. Assisted by Travis Fields.,31,32
19:17,256,Joey McLean missed Three Point Jumper.,31,32
19:17,295,Brandan Stith Defensive Rebound.,31,32
18:58,295,Brandan Stith missed Jumper.,31,32
18:58,295,Denzell Taylor Offensive Rebound.,31,32
18:56,295,Denzell Taylor missed Layup.,31,32
18:56,256,Yohanny Dalembert Defensive Rebound.,31,32
18:56,295,Foul on Denzell Taylor.,31,32
18:36,256,Shakir Brown missed Three Point Jumper.,31,32
18:36,295,Brandan Stith Defensive Rebound.,31,32
18:19,295,Travis Fields missed Jumper.,31,32
18:19,295,Aaron Carver Offensive Rebound.,31,32
17:57,295,Brandan Stith made Jumper.,31,34
17:31,256,Ivan Lukic missed Layup.,31,34
17:31,295,Brandan Stith Block.,31,34
17:28,295,Aaron Carver Defensive Rebound.,31,34
17:14,295,Zoran Talley missed Jumper.,31,34
17:14,256,Yohanny Dalembert Defensive Rebound.,31,34
16:49,256,Jackson Kent made Jumper.,33,34
16:26,295,Jordan Baker made Three Point Jumper. Assisted by Zoran Talley.,33,37
16:04,256,Jackson Kent missed Three Point Jumper.,33,37
16:04,295,Jordan Baker Defensive Rebound.,33,37
15:51,295,Zoran Talley missed Layup.,33,37
15:51,256,Yohanny Dalembert Defensive Rebound.,33,37
15:43,256,Jackson Kent missed Layup.,33,37
15:43,295,Aaron Carver Block.,33,37
15:41,295,Aaron Carver Defensive Rebound.,33,37
15:24,256,Foul on Ivan Lukic.,33,37
15:24,295,Official TV Timeout,33,37
15:24,295,Brandan Stith made Free Throw.,33,38
15:24,295,Brandan Stith made Free Throw.,33,39
14:55,256,Shakir Brown made Layup.,35,39
14:27,295,Jordan Baker missed Three Point Jumper.,35,39
14:27,256,Jackson Kent Defensive Rebound.,35,39
14:19,256,Tom Vodanovich missed Layup.,35,39
14:19,256,Tom Vodanovich Offensive Rebound.,35,39
14:15,256,Tom Vodanovich made Layup.,37,39
13:54,295,Ahmad Caver missed Three Point Jumper.,37,39
13:54,256,James Madison Defensive Rebound.,37,39
13:33,295,Foul on B.J. Stith.,37,39
13:15,256,Tom Vodanovich missed Three Point Jumper.,37,39
13:15,295,Ahmad Caver Defensive Rebound.,37,39
12:50,295,Brandan Stith made Layup. Assisted by Ahmad Caver.,37,41
12:36,256,Dimitrije Cabarkapa Turnover.,37,41
12:25,295,Brandan Stith made Jumper. Assisted by Zoran Talley.,37,43
12:06,256,Dimitrije Cabarkapa Turnover.,37,43
11:46,295,Aaron Carver missed Jumper.,37,43
11:46,295,Old Dominion Offensive Rebound.,37,43
11:44,295,Official TV Timeout,37,43
11:32,295,Ahmad Caver made Jumper.,37,45
11:07,256,Tom Vodanovich Turnover.,37,45
10:49,295,Brandan Stith Turnover.,37,45
10:47,256,Tom Vodanovich Steal.,37,45
10:43,295,Foul on Zoran Talley.,37,45
10:43,256,Ramone Snowden made Free Throw.,38,45
10:43,256,Ramone Snowden made Free Throw.,39,45
10:27,256,Foul on Yohanny Dalembert.,39,45
10:09,295,Ahmad Caver missed Layup.,39,45
10:09,295,Aaron Carver Offensive Rebound.,39,45
10:03,295,Aaron Carver Turnover.,39,45
10:01,256,Jackson Kent Steal.,39,45
9:47,256,Tom Vodanovich missed Three Point Jumper.,39,45
9:47,295,Randy Haynes Defensive Rebound.,39,45
9:26,256,Foul on Ramone Snowden.,39,45
9:26,295,Randy Haynes made Free Throw.,39,46
9:26,295,Randy Haynes missed Free Throw.,39,46
9:26,256,Tom Vodanovich Defensive Rebound.,39,46
9:06,256,Shakir Brown missed Layup.,39,46
9:06,295,Trey Porter Defensive Rebound.,39,46
8:59,295,Ahmad Caver missed Layup.,39,46
8:59,295,Brandan Stith Offensive Rebound.,39,46
8:56,256,Foul on Yohanny Dalembert.,39,46
8:56,295,Brandan Stith missed Free Throw.,39,46
8:56,295,Old Dominion Deadball Team Rebound.,39,46
8:56,295,Brandan Stith made Free Throw.,39,47
8:44,295,Foul on Ahmad Caver.,39,47
8:36,256,Dimitrije Cabarkapa missed Layup.,39,47
8:36,295,Brandan Stith Defensive Rebound.,39,47
8:18,295,Randy Haynes missed Three Point Jumper.,39,47
8:18,256,Dimitrije Cabarkapa Defensive Rebound.,39,47
8:11,256,Shakir Brown made Layup.,41,47
8:11,295,Foul on B.J. Stith.,41,47
8:11,256,Shakir Brown missed Free Throw.,41,47
8:11,295,Trey Porter Defensive Rebound.,41,47
7:49,295,Randy Haynes missed Jumper.,41,47
7:49,256,Jackson Kent Defensive Rebound.,41,47
7:40,256,Shakir Brown missed Layup.,41,47
7:40,295,Brandan Stith Defensive Rebound.,41,47
7:22,295,Brandan Stith missed Jumper.,41,47
7:22,295,Trey Porter Offensive Rebound.,41,47
7:22,295,Official TV Timeout,41,47
7:22,256,Foul on Ramone Snowden.,41,47
7:08,295,Jordan Baker missed Three Point Jumper.,41,47
7:08,256,Jackson Kent Defensive Rebound.,41,47
6:47,256,Joey McLean made Three Point Jumper. Assisted by Ramone Snowden.,44,47
6:20,295,Brandan Stith made Jumper. Assisted by Ahmad Caver.,44,49
5:47,256,Jackson Kent Turnover.,44,49
5:38,256,Foul on Yohanny Dalembert.,44,49
5:38,295,Trey Porter missed Free Throw.,44,49
5:38,295,Old Dominion Deadball Team Rebound.,44,49
5:38,295,Trey Porter made Free Throw.,44,50
5:11,256,Dimitrije Cabarkapa missed Layup.,44,50
5:11,295,Trey Porter Block.,44,50
5:09,295,Jordan Baker Defensive Rebound.,44,50
4:44,295,Ahmad Caver missed Three Point Jumper.,44,50
4:44,295,Trey Porter Offensive Rebound.,44,50
4:25,256,Foul on Jackson Kent.,44,50
4:25,295,Ahmad Caver missed Free Throw.,44,50
4:25,256,Dimitrije Cabarkapa Defensive Rebound.,44,50
4:11,295,Foul on Denzell Taylor.,44,50
3:56,256,Dimitrije Cabarkapa missed Layup.,44,50
3:56,295,Aaron Carver Defensive Rebound.,44,50
3:39,295,Jordan Baker made Three Point Jumper. Assisted by Zoran Talley.,44,53
3:30,295,Official TV Timeout,44,53
3:20,256,Ramone Snowden missed Three Point Jumper.,44,53
3:20,295,Aaron Carver Defensive Rebound.,44,53
2:58,295,Zoran Talley missed Layup.,44,53
2:58,256,Jackson Kent Defensive Rebound.,44,53
2:52,256,Shakir Brown made Three Point Jumper. Assisted by Jackson Kent.,47,53
2:52,256,James Madison  Timeout,47,53
2:31,256,Foul on Shakir Brown.,47,53
2:31,295,Zoran Talley made Free Throw.,47,54
2:31,295,Zoran Talley made Free Throw.,47,55
2:20,256,Shakir Brown made Layup.,49,55
2:17,256,Technical Foul on Shakir Brown.,49,55
2:17,295,Jordan Baker missed Free Throw.,49,55
2:17,295,Old Dominion Deadball Team Rebound.,49,55
2:17,295,Jordan Baker made Free Throw.,49,56
2:10,295,Brandan Stith made Dunk. Assisted by Denzell Taylor.,49,58
1:58,256,Shakir Brown missed Three Point Jumper.,49,58
1:58,295,Brandan Stith Defensive Rebound.,49,58
1:40,295,Brandan Stith Turnover.,49,58
1:18,256,Ivan Lukic missed Jumper.,49,58
1:18,256,Shakir Brown Offensive Rebound.,49,58
1:15,256,Shakir Brown made Jumper.,51,58
1:04,256,Foul on Joey McLean.,51,58
1:04,295,Ahmad Caver made Free Throw.,51,59
1:04,295,Ahmad Caver missed Free Throw.,51,59
1:04,256,Ivan Lukic Defensive Rebound.,51,59
0:51,295,Foul on Jordan Baker.,51,59
0:51,256,Tom Vodanovich made Free Throw.,52,59
0:51,256,Tom Vodanovich missed Free Throw.,52,59
0:51,256,Tom Vodanovich Offensive Rebound.,52,59
0:45,256,Ivan Lukic made Layup.,54,59
0:45,256,James Madison  Timeout,54,59
0:40,256,Foul on Tom Vodanovich.,54,59
0:40,295,Brandan Stith missed Free Throw.,54,59
0:40,295,Old Dominion Deadball Team Rebound.,54,59
0:40,295,Brandan Stith missed Free Throw.,54,59
0:40,256,Shakir Brown Defensive Rebound.,54,59
0:39,256,Foul on Joey McLean.,54,59
0:39,256,Joey McLean Turnover.,54,59
0:36,256,Foul on Joey McLean.,54,59
0:36,295,Ahmad Caver missed Free Throw.,54,59
0:36,295,Old Dominion Deadball Team Rebound.,54,59
0:36,295,Ahmad Caver made Free Throw.,54,60
0:26,256,Shakir Brown missed Three Point Jumper.,54,60
0:26,256,Tyriq Nady Offensive Rebound.,54,60
0:22,256,Tyriq Nady missed Jumper.,54,60
0:22,295,Zoran Talley Block.,54,60
0:22,256,James Madison Offensive Rebound.,54,60
0:20,256,Shakir Brown missed Three Point Jumper.,54,60
0:20,256,Jackson Kent Offensive Rebound.,54,60
0:16,256,Jackson Kent missed Three Point Jumper.,54,60
0:16,295,Jordan Baker Defensive Rebound.,54,60
0:13,256,Foul on Tyriq Nady.,54,60
0:13,295,Jordan Baker made Free Throw.,54,61
0:13,295,Jordan Baker made Free Throw.,54,62
0:06,295,Foul on Jordan Baker.,54,62
0:06,256,Jackson Kent made Free Throw.,55,62
0:06,256,Jackson Kent missed Free Throw.,55,62
0:06,295,Old Dominion Defensive Rebound.,55,62
0:00,295,End of Game,55,62
