Mt. St. Mary's,277,West Virginia,116
6:49,116,Junior Robinson missed Jumper.,12,25
6:49,116,Mt. St. Mary's Offensive Rebound.,12,25
6:44,116,Mawdo Sallah missed Jumper.,12,25
6:44,277,Esa Ahmad Defensive Rebound.,12,25
6:18,277,Elijah Macon Turnover.,12,25
6:17,116,Chris Wray Steal.,12,25
6:13,116,Junior Robinson made Three Point Jumper. Assisted by Elijah Long.,15,25
5:44,277,Jevon Carter made Jumper.,15,27
5:30,116,Elijah Long Turnover.,15,27
5:30,277,Teyvon Myers Steal.,15,27
5:16,116,Foul on Chris Wray.,15,27
5:16,277,Nathan Adrian made Free Throw.,15,28
5:16,277,Nathan Adrian made Free Throw.,15,29
5:00,116,Will Miller missed Three Point Jumper.,15,29
5:00,277,Chase Harler Defensive Rebound.,15,29
4:52,277,Nathan Adrian missed Layup.,15,29
4:52,277,Brandon Watkins Offensive Rebound.,15,29
4:49,277,Brandon Watkins made Dunk.,15,31
4:28,116,Elijah Long missed Jumper.,15,31
4:28,277,Brandon Watkins Defensive Rebound.,15,31
4:27,116,Foul on Mawdo Sallah.,15,31
4:27,277,Brandon Watkins missed Free Throw.,15,31
4:27,277,West Virginia Deadball Team Rebound.,15,31
4:27,277,Brandon Watkins made Free Throw.,15,32
4:21,116,Miles Wilson made Three Point Jumper. Assisted by Elijah Long.,18,32
3:46,277,Official TV Timeout,18,32
3:45,277,Chase Harler missed Layup.,18,32
3:45,277,West Virginia Offensive Rebound.,18,32
3:34,277,Esa Ahmad made Layup. Assisted by Nathan Adrian.,18,34
3:11,116,Elijah Long Turnover.,18,34
2:51,277,Brandon Watkins made Jumper. Assisted by Nathan Adrian.,18,36
2:40,116,Elijah Long missed Layup.,18,36
2:40,116,Mawdo Sallah Offensive Rebound.,18,36
2:39,277,Foul on Brandon Watkins.,18,36
2:39,116,Mawdo Sallah missed Free Throw.,18,36
2:39,116,Mt. St. Mary's Deadball Team Rebound.,18,36
2:39,116,Mawdo Sallah made Free Throw.,19,36
2:18,116,Foul on Mawdo Sallah.,19,36
2:18,277,Jevon Carter missed Free Throw.,19,36
2:18,277,West Virginia Deadball Team Rebound.,19,36
2:18,277,Jevon Carter made Free Throw.,19,37
2:09,277,Foul on Lamont West.,19,37
2:09,116,Elijah Long made Free Throw.,20,37
2:09,116,Elijah Long made Free Throw.,21,37
1:59,277,Teyvon Myers missed Three Point Jumper.,21,37
1:59,277,Lamont West Offensive Rebound.,21,37
1:53,277,Lamont West made Layup.,21,39
1:33,116,Khalid Nwandu Turnover.,21,39
1:32,277,Lamont West Steal.,21,39
1:29,277,Lamont West made Dunk.,21,41
1:02,116,Charles Glover missed Three Point Jumper.,21,41
1:02,116,Junior Robinson Offensive Rebound.,21,41
0:58,116,Will Miller made Three Point Jumper. Assisted by Junior Robinson.,24,41
0:32,277,Jevon Carter made Layup.,24,43
0:01,116,Greg Alexander missed Layup.,24,43
0:01,277,Elijah Macon Block.,24,43
0:01,116,Mt. St. Mary's Offensive Rebound.,24,43
0:00,277,End of 1st half,24,43
19:45,277,Foul on Esa Ahmad.,24,43
19:45,116,Chris Wray missed Free Throw.,24,43
19:45,116,Mt. St. Mary's Deadball Team Rebound.,24,43
19:45,116,Chris Wray made Free Throw.,25,43
19:36,116,Foul on Mawdo Sallah.,25,43
19:36,277,Elijah Macon missed Free Throw.,25,43
19:36,277,West Virginia Deadball Team Rebound.,25,43
19:36,277,Elijah Macon made Free Throw.,25,44
19:27,116,Elijah Long Turnover.,25,44
19:26,277,Elijah Macon Steal.,25,44
19:25,277,Elijah Macon made Dunk.,25,46
19:00,116,Elijah Long missed Three Point Jumper.,25,46
19:00,277,Nathan Adrian Defensive Rebound.,25,46
18:54,116,Foul on Mawdo Sallah.,25,46
18:47,116,Foul on Elijah Long.,25,46
18:39,116,Foul on Chris Wray.,25,46
18:39,277,Nathan Adrian made Free Throw.,25,47
18:39,277,Nathan Adrian Turnover.,25,47
18:34,277,Foul on Nathan Adrian.,25,47
18:27,277,Foul on Lamont West.,25,47
18:23,116,Elijah Long Turnover.,25,47
18:19,277,Jevon Carter Turnover.,25,47
18:18,116,Junior Robinson Steal.,25,47
18:12,116,Elijah Long made Layup.,27,47
17:52,277,Esa Ahmad missed Jumper.,27,47
17:52,277,Lamont West Offensive Rebound.,27,47
17:48,277,Lamont West missed Layup.,27,47
17:48,277,Lamont West Offensive Rebound.,27,47
17:43,277,Lamont West missed Layup.,27,47
17:43,116,Greg Alexander Block.,27,47
17:42,277,Elijah Macon Offensive Rebound.,27,47
17:40,277,Nathan Adrian made Layup. Assisted by Esa Ahmad.,27,49
17:32,277,Foul on Elijah Macon.,27,49
17:17,116,Junior Robinson missed Layup.,27,49
17:17,116,Chris Wray Offensive Rebound.,27,49
17:13,116,Chris Wray Turnover.,27,49
17:04,277,Tarik Phillip Turnover.,27,49
17:03,116,Will Miller Steal.,27,49
17:01,116,Greg Alexander made Dunk. Assisted by Will Miller.,29,49
16:45,277,Esa Ahmad missed Layup.,29,49
16:45,116,Will Miller Defensive Rebound.,29,49
16:37,116,Greg Alexander made Three Point Jumper. Assisted by Elijah Long.,32,49
16:02,277,Tarik Phillip missed Three Point Jumper.,32,49
16:02,277,Brandon Watkins Offensive Rebound.,32,49
16:00,277,Brandon Watkins made Layup.,32,51
15:57,116,Junior Robinson missed Three Point Jumper.,32,51
15:57,277,Tarik Phillip Defensive Rebound.,32,51
15:42,277,Nathan Adrian made Layup. Assisted by Brandon Watkins.,32,53
15:15,116,Chris Wray made Dunk. Assisted by Elijah Long.,34,53
14:57,277,Brandon Watkins Turnover.,34,53
14:57,116,Greg Alexander Steal.,34,53
14:54,116,Junior Robinson missed Three Point Jumper.,34,53
14:54,277,Brandon Watkins Defensive Rebound.,34,53
14:47,277,Official TV Timeout,34,53
14:27,277,Chase Harler missed Layup.,34,53
14:27,116,Greg Alexander Defensive Rebound.,34,53
14:21,116,Will Miller missed Three Point Jumper.,34,53
14:21,277,Sagaba Konate Defensive Rebound.,34,53
14:06,116,Foul on Khalid Nwandu.,34,53
13:54,277,Teyvon Myers missed Jumper.,34,53
13:54,116,Elijah Long Defensive Rebound.,34,53
13:48,277,Foul on Chase Harler.,34,53
13:48,116,Elijah Long made Free Throw.,35,53
13:48,116,Elijah Long made Free Throw.,36,53
13:33,116,Foul on Miles Wilson.,36,53
13:24,277,Sagaba Konate missed Dunk.,36,53
13:24,116,Miles Wilson Block.,36,53
13:24,277,West Virginia Offensive Rebound.,36,53
13:17,277,Teyvon Myers made Layup.,36,55
13:03,116,Miles Wilson missed Dunk.,36,55
13:03,277,James Bolden Defensive Rebound.,36,55
12:59,116,Foul on Khalid Nwandu.,36,55
12:59,277,Nathan Adrian made Free Throw.,36,56
12:59,277,Nathan Adrian missed Free Throw.,36,56
12:59,277,West Virginia Offensive Rebound.,36,56
12:46,277,James Bolden missed Three Point Jumper.,36,56
12:46,277,Sagaba Konate Offensive Rebound.,36,56
12:44,277,Sagaba Konate made Jumper.,36,58
12:33,116,Chris Wray made Layup.,38,58
11:59,277,Sagaba Konate made Jumper. Assisted by Esa Ahmad.,38,60
11:49,116,Greg Alexander missed Three Point Jumper.,38,60
11:49,277,Sagaba Konate Defensive Rebound.,38,60
11:35,277,Teyvon Myers missed Layup.,38,60
11:35,116,Junior Robinson Block.,38,60
11:33,116,Miles Wilson Defensive Rebound.,38,60
11:30,116,Miles Wilson Turnover.,38,60
11:30,116,Foul on Miles Wilson.,38,60
11:30,277,Official TV Timeout,38,60
11:08,277,Maciej Bender missed Three Point Jumper.,38,60
11:08,277,Sagaba Konate Offensive Rebound.,38,60
11:06,277,Sagaba Konate made Jumper.,38,62
10:54,116,Elijah Long made Layup.,40,62
10:29,277,James Bolden made Three Point Jumper. Assisted by Teyvon Myers.,40,65
10:13,116,Miles Wilson missed Layup.,40,65
10:13,277,Sagaba Konate Block.,40,65
10:12,277,Sagaba Konate Defensive Rebound.,40,65
10:02,277,Jevon Carter missed Three Point Jumper.,40,65
10:02,116,Ryan Gomes Defensive Rebound.,40,65
9:36,116,Greg Alexander made Three Point Jumper.,43,65
9:10,116,Foul on Ryan Gomes.,43,65
9:10,277,Sagaba Konate made Free Throw.,43,66
9:10,277,Sagaba Konate made Free Throw.,43,67
8:59,116,Elijah Long missed Layup.,43,67
8:59,277,Elijah Macon Defensive Rebound.,43,67
8:54,277,Tarik Phillip made Layup.,43,69
8:32,116,Junior Robinson Turnover.,43,69
8:31,277,Maciej Bender Steal.,43,69
8:22,277,Elijah Macon missed Jumper.,43,69
8:22,116,Ryan Gomes Defensive Rebound.,43,69
8:02,116,Greg Alexander made Three Point Jumper. Assisted by Junior Robinson.,46,69
7:28,277,Tarik Phillip made Three Point Jumper.,46,72
7:12,116,Greg Alexander missed Three Point Jumper.,46,72
7:12,116,Ryan Gomes Offensive Rebound.,46,72
7:08,116,Ryan Gomes missed Layup.,46,72
7:08,277,Maciej Bender Block.,46,72
7:06,116,Miles Wilson Offensive Rebound.,46,72
6:50,116,Miles Wilson made Layup.,48,72
6:42,277,Tarik Phillip made Jumper.,48,74
6:28,116,Miles Wilson made Layup.,50,74
6:26,277,West Virginia  Timeout,50,74
6:03,277,James Bolden missed Three Point Jumper.,50,74
6:03,116,Ryan Gomes Defensive Rebound.,50,74
5:54,116,Miles Wilson made Layup.,52,74
5:40,277,Brandon Watkins missed Jumper.,52,74
5:40,277,Nathan Adrian Offensive Rebound.,52,74
5:32,277,Official TV Timeout,52,74
5:15,277,Chase Harler missed Jumper.,52,74
5:15,277,Brandon Watkins Offensive Rebound.,52,74
5:15,116,Foul on Miles Wilson.,52,74
5:15,277,Brandon Watkins missed Free Throw.,52,74
5:15,277,West Virginia Deadball Team Rebound.,52,74
5:15,277,Brandon Watkins missed Free Throw.,52,74
5:15,116,Elijah Long Defensive Rebound.,52,74
5:08,277,Foul on Lamont West.,52,74
5:08,116,Khalid Nwandu made Free Throw.,53,74
5:08,116,Khalid Nwandu missed Free Throw.,53,74
5:08,277,Jevon Carter Defensive Rebound.,53,74
5:00,116,Foul on Ryan Gomes.,53,74
5:00,277,Sagaba Konate missed Free Throw.,53,74
5:00,277,Sagaba Konate made Free Throw.,53,75
4:42,116,Elijah Long Turnover.,53,75
4:37,277,Jevon Carter made Three Point Jumper.,53,78
4:22,116,Miles Wilson missed Layup.,53,78
4:22,277,Sagaba Konate Block.,53,78
4:20,116,Mt. St. Mary's Offensive Rebound.,53,78
4:10,116,Bryce Thurston made Jumper. Assisted by Charles Glover.,55,78
3:54,277,Jevon Carter missed Three Point Jumper.,55,78
3:54,116,Khalid Nwandu Defensive Rebound.,55,78
3:40,277,Foul on James Bolden.,55,78
3:40,277,Official TV Timeout,55,78
3:40,116,Khalid Nwandu missed Free Throw.,55,78
3:40,116,Miles Wilson Offensive Rebound.,55,78
3:37,116,Miles Wilson Turnover.,55,78
3:12,277,Lamont West made Three Point Jumper. Assisted by Jevon Carter.,55,81
2:49,116,Khalid Nwandu missed Layup.,55,81
2:49,277,Lamont West Block.,55,81
2:49,116,Mt. St. Mary's Offensive Rebound.,55,81
2:37,116,Khalid Nwandu Turnover.,55,81
2:24,116,Foul on Ryan Gomes.,55,81
2:24,277,Sagaba Konate made Free Throw.,55,82
2:24,277,Sagaba Konate made Free Throw.,55,83
2:11,277,Foul on James Long.,55,83
2:11,116,Miles Wilson made Free Throw.,56,83
2:11,116,Miles Wilson made Free Throw.,57,83
1:53,277,Chase Harler missed Layup.,57,83
1:53,116,Khalid Nwandu Block.,57,83
1:52,116,Sean Gurdon Defensive Rebound.,57,83
1:48,116,Khalid Nwandu missed Layup.,57,83
1:48,277,Sagaba Konate Defensive Rebound.,57,83
1:30,277,James Bolden made Three Point Jumper.,57,86
1:21,277,Foul on Lamont West.,57,86
1:21,116,Khalid Nwandu missed Free Throw.,57,86
1:21,277,Chase Harler Defensive Rebound.,57,86
0:58,277,Sagaba Konate missed Jumper.,57,86
0:58,277,Lamont West Offensive Rebound.,57,86
0:56,277,Lamont West missed Layup.,57,86
0:56,277,James Bolden Offensive Rebound.,57,86
0:52,277,James Bolden missed Jumper.,57,86
0:52,116,Bryce Thurston Defensive Rebound.,57,86
0:40,116,Charles Glover Turnover.,57,86
0:33,116,Foul on Miles Wilson.,57,86
0:33,277,Chase Harler missed Free Throw.,57,86
0:33,277,West Virginia Deadball Team Rebound.,57,86
0:33,277,Chase Harler made Free Throw.,57,87
0:19,277,Foul on James Bolden.,57,87
0:19,116,Khalid Nwandu made Free Throw.,58,87
0:19,116,Khalid Nwandu made Free Throw.,59,87
0:00,277,End of Game,59,87
