Millsaps,Error,SE Louisiana,2545
6:51,-1,Brennan Gager made Jumper. Assisted by Robert Gardner.,15,26
6:35,-1,Foul on Trent Markwith.,15,26
6:35,2545,Marlain Veal made Free Throw.,15,27
6:35,2545,Marlain Veal made Free Throw.,15,28
6:22,2545,Foul on Marlain Veal.,15,28
6:22,-1,Sam Kohnke missed Free Throw.,15,28
6:22,-1,Millsaps Deadball Team Rebound.,15,28
6:22,-1,Sam Kohnke missed Free Throw.,15,28
6:22,2545,Jordan Capps Defensive Rebound.,15,28
5:50,2545,Dimi Cook Turnover.,15,28
5:30,-1,Brennan Gager missed Jumper.,15,28
5:30,2545,Dimi Cook Defensive Rebound.,15,28
5:15,2545,Jabbar Singleton Turnover.,15,28
5:14,-1,Buck Blanz Steal.,15,28
5:09,-1,Sam Kohnke missed Three Point Jumper.,15,28
5:09,-1,Sam Kohnke Offensive Rebound.,15,28
5:06,-1,Buck Blanz made Jumper. Assisted by Sam Kohnke.,17,28
5:04,2545,SE Louisiana  Timeout,17,28
4:59,2545,Jordan Capps made Jumper.,17,30
4:27,-1,Foul on James Turner.,17,30
4:25,2545,Jabbar Singleton made Free Throw.,17,31
4:19,2545,Jabbar Singleton made Free Throw.,17,32
4:03,-1,Daniel Coleman missed Layup.,17,32
4:03,2545,Moses Greenwood Defensive Rebound.,17,32
3:53,2545,Chris Mejia made Three Point Jumper. Assisted by Jabbar Singleton.,17,35
3:34,-1,Buck Blanz missed Layup.,17,35
3:34,2545,Jabbar Singleton Defensive Rebound.,17,35
3:27,2545,Jabbar Singleton Turnover.,17,35
3:27,-1,Sam Kohnke Steal.,17,35
3:20,2545,Official TV Timeout,17,35
3:13,-1,Sam Kohnke made Three Point Jumper. Assisted by Brennan Gager.,20,35
3:08,2545,SE Louisiana  Timeout,20,35
3:02,2545,Jordan Capps missed Jumper.,20,35
2:57,-1,Sam Kohnke Offensive Rebound.,20,35
2:56,2545,Moses Greenwood made Jumper.,20,37
2:41,2545,Foul on Chris Mejia.,20,37
2:41,-1,Trent Markwith missed Free Throw.,20,37
2:41,-1,Millsaps Deadball Team Rebound.,20,37
2:41,-1,Trent Markwith made Free Throw.,21,37
2:29,-1,Foul on James Turner.,21,37
2:29,2545,Jordan Capps made Free Throw.,21,38
2:29,2545,Jordan Capps missed Free Throw.,21,38
2:29,-1,Sam Kohnke Defensive Rebound.,21,38
2:24,-1,James Turner Turnover.,21,38
2:22,-1,Foul on James Turner.,21,38
2:07,2545,Jordan Capps made Jumper. Assisted by George Brock.,21,40
1:51,-1,Asa Wise missed Three Point Jumper.,21,40
1:51,2545,Moses Greenwood Defensive Rebound.,21,40
1:38,2545,Jordan Capps made Dunk. Assisted by Jabbar Singleton.,21,42
1:12,-1,Wade Mason Turnover.,21,42
1:12,-1,Foul on Wade Mason.,21,42
0:54,-1,Foul on Wade Mason.,21,42
0:54,2545,Jordan Capps missed Free Throw.,21,42
0:54,2545,SE Louisiana Deadball Team Rebound.,21,42
0:54,2545,Jordan Capps made Free Throw.,21,43
0:48,-1,Asa Wise missed Three Point Jumper.,21,43
0:48,2545,George Brock Defensive Rebound.,21,43
0:39,2545,Davon Hayes missed Jumper.,21,43
0:39,2545,Davon Hayes Offensive Rebound.,21,43
0:22,2545,Michael Corchiani missed Three Point Jumper.,21,43
0:22,2545,Moses Greenwood Offensive Rebound.,21,43
0:18,-1,Foul on Buck Blanz.,21,43
0:18,2545,Moses Greenwood made Free Throw.,21,44
0:18,2545,Moses Greenwood made Free Throw.,21,45
0:10,-1,Brennan Gager missed Three Point Jumper.,21,45
0:10,2545,Jordan Capps Defensive Rebound.,21,45
0:06,2545,Foul on Moses Greenwood.,21,45
0:06,-1,Wade Mason missed Free Throw.,21,45
0:06,-1,Millsaps Deadball Team Rebound.,21,45
0:06,-1,Wade Mason missed Free Throw.,21,45
0:06,2545,Eddy Polanco Defensive Rebound.,21,45
0:00,2545,End of 1st half,21,45
19:57,2545,Eddy Polanco missed Three Point Jumper.,21,45
19:57,-1,Brennan Gager Defensive Rebound.,21,45
19:48,-1,Logan Mancuso missed Jumper.,21,45
19:48,2545,Davon Hayes Defensive Rebound.,21,45
19:35,2545,Dominic Nelson made Dunk. Assisted by Jordan Capps.,21,47
18:48,-1,Robert Gardner missed Three Point Jumper.,21,47
18:48,2545,Jordan Capps Defensive Rebound.,21,47
18:34,-1,Foul on Logan Mancuso.,21,47
18:34,2545,Jordan Capps missed Free Throw.,21,47
18:34,2545,SE Louisiana Deadball Team Rebound.,21,47
18:18,-1,Trent Markwith missed Jumper.,21,47
18:18,2545,Dominic Nelson Defensive Rebound.,21,47
18:01,2545,Marlain Veal Turnover.,21,47
18:00,-1,Robert Gardner Steal.,21,47
17:39,-1,Trent Markwith missed Jumper.,21,47
17:39,2545,Jordan Capps Defensive Rebound.,21,47
17:26,2545,Davon Hayes made Three Point Jumper. Assisted by Dominic Nelson.,21,50
17:05,-1,Trent Markwith missed Jumper.,21,50
17:05,2545,Jordan Capps Defensive Rebound.,21,50
16:40,2545,Marlain Veal made Three Point Jumper. Assisted by Jabbar Singleton.,21,53
16:26,-1,Brennan Gager made Three Point Jumper.,24,53
16:13,2545,Davon Hayes missed Three Point Jumper.,24,53
16:13,-1,Zachary Tullos Defensive Rebound.,24,53
15:59,-1,Zachary Tullos missed Jumper.,24,53
15:59,2545,Dominic Nelson Defensive Rebound.,24,53
15:43,2545,Davon Hayes missed Jumper.,24,53
15:43,-1,Trent Markwith Defensive Rebound.,24,53
15:37,-1,Zachary Tullos made Layup.,26,53
15:11,2545,Jordan Capps made Jumper. Assisted by Davon Hayes.,26,55
15:08,-1,Foul on Buck Blanz.,26,55
15:08,-1,Millsaps  Timeout,26,55
15:07,2545,Jordan Capps made Free Throw.,26,56
15:04,-1,Zachary Tullos made Jumper. Assisted by Sam Kohnke.,28,56
14:58,2545,Davon Hayes missed Three Point Jumper.,28,56
14:58,-1,Brennan Gager Defensive Rebound.,28,56
14:36,-1,Trent Markwith made Layup.,30,56
14:12,2545,Moses Greenwood made Jumper. Assisted by Dominic Nelson.,30,58
13:41,-1,James Turner Turnover.,30,58
13:26,-1,Foul on Zachary Tullos.,30,58
13:13,2545,Dominic Nelson Turnover.,30,58
12:58,2545,Foul on Michael Corchiani.,30,58
12:45,2545,Foul on Dominic Nelson.,30,58
12:45,-1,Logan Mancuso missed Free Throw.,30,58
12:45,-1,Millsaps Deadball Team Rebound.,30,58
12:45,-1,Logan Mancuso made Free Throw.,31,58
12:36,2545,Moses Greenwood missed Jumper.,31,58
12:36,-1,Sam Kohnke Defensive Rebound.,31,58
12:23,-1,Robert Gardner made Jumper. Assisted by Logan Mancuso.,33,58
12:09,2545,Michael Corchiani missed Three Point Jumper.,33,58
12:09,2545,Eddy Polanco Offensive Rebound.,33,58
11:47,2545,Dominic Nelson Turnover.,33,58
11:47,2545,Foul on Dominic Nelson.,33,58
11:47,2545,Official TV Timeout,33,58
11:42,2545,Foul on Michael Corchiani.,33,58
11:29,-1,Robert Gardner missed Jumper.,33,58
11:29,2545,Moses Greenwood Block.,33,58
11:27,2545,Michael Corchiani Defensive Rebound.,33,58
11:23,2545,Jordan Capps made Dunk. Assisted by Michael Corchiani.,33,60
11:01,-1,Johnathan Manning Turnover.,33,60
11:00,2545,Moses Greenwood Steal.,33,60
10:58,2545,Moses Greenwood Turnover.,33,60
10:58,2545,Foul on Moses Greenwood.,33,60
10:46,-1,Brennan Gager Turnover.,33,60
10:22,2545,George Brock missed Three Point Jumper.,33,60
10:22,-1,Brennan Gager Defensive Rebound.,33,60
10:14,2545,Foul on Michael Corchiani.,33,60
10:10,-1,Zachary Tullos made Jumper. Assisted by Sam Kohnke.,35,60
9:47,2545,Marlain Veal made Jumper.,35,62
9:30,-1,Zachary Tullos missed Jumper.,35,62
9:30,2545,Jordan Capps Defensive Rebound.,35,62
9:14,2545,George Brock missed Jumper.,35,62
9:14,-1,Millsaps Defensive Rebound.,35,62
8:49,-1,Buck Blanz Turnover.,35,62
8:49,2545,Moses Greenwood Steal.,35,62
8:49,-1,Foul on Zachary Tullos.,35,62
8:40,2545,Jordan Capps Turnover.,35,62
8:40,2545,Foul on Jordan Capps.,35,62
8:36,-1,Brennan Gager made Layup.,37,62
8:22,2545,Jordan Capps made Dunk. Assisted by George Brock.,37,64
8:18,-1,Foul on Logan Mancuso.,37,64
8:18,2545,Jordan Capps missed Free Throw.,37,64
8:18,-1,Buck Blanz Defensive Rebound.,37,64
8:02,-1,Robert Gardner Turnover.,37,64
7:55,2545,Official TV Timeout,37,64
7:53,2545,Jordan Capps made Dunk. Assisted by Marlain Veal.,37,66
7:31,-1,Buck Blanz made Jumper. Assisted by Brennan Gager.,39,66
7:21,2545,Moses Greenwood made Jumper. Assisted by Jordan Capps.,39,68
7:05,-1,Robert Gardner Turnover.,39,68
6:37,2545,Moses Greenwood made Jumper. Assisted by Marlain Veal.,39,70
6:18,-1,Brennan Gager Turnover.,39,70
5:54,2545,Moses Greenwood Steal.,39,70
5:47,2545,Moses Greenwood Turnover.,39,70
5:28,-1,Trent Markwith Turnover.,39,70
5:28,2545,Jordan Capps Steal.,39,70
5:28,2545,Jordan Capps made Dunk.,39,72
5:28,-1,Buck Blanz Turnover.,39,72
5:28,2545,Marlain Veal Steal.,39,72
5:28,2545,Chris Mejia missed Three Point Jumper.,39,72
5:28,2545,Jordan Capps Offensive Rebound.,39,72
5:28,2545,Jabbar Singleton Turnover.,39,72
5:12,-1,Saxton Becker missed Jumper.,39,72
5:12,2545,Dominic Nelson Defensive Rebound.,39,72
5:02,2545,Marlain Veal made Jumper.,39,74
4:48,-1,Brennan Gager Turnover.,39,74
4:47,2545,Marlain Veal Steal.,39,74
4:43,2545,Jordan Capps made Layup. Assisted by Marlain Veal.,39,76
4:24,-1,Millsaps  Timeout,39,76
4:18,-1,Sam Kohnke missed Layup.,39,76
4:18,2545,Dominic Nelson Block.,39,76
4:17,2545,Moses Greenwood Defensive Rebound.,39,76
4:14,2545,Chris Mejia missed Three Point Jumper.,39,76
4:14,-1,James Turner Defensive Rebound.,39,76
4:08,-1,Brennan Gager missed Three Point Jumper.,39,76
4:08,2545,Moses Greenwood Defensive Rebound.,39,76
4:00,-1,Brennan Gager missed Layup.,39,76
4:00,2545,Dominic Nelson Block.,39,76
3:58,-1,Sam Kohnke Offensive Rebound.,39,76
3:53,-1,Wade Mason missed Jumper.,39,76
3:53,2545,Dominic Nelson Defensive Rebound.,39,76
3:37,2545,Davon Hayes missed Three Point Jumper.,39,76
3:37,-1,Brennan Gager Defensive Rebound.,39,76
3:21,-1,Brennan Gager missed Three Point Jumper.,39,76
3:21,2545,Dominic Nelson Defensive Rebound.,39,76
3:08,2545,Chris Mejia made Three Point Jumper. Assisted by Davon Hayes.,39,79
2:53,-1,Sam Kohnke Turnover.,39,79
2:51,2545,Official TV Timeout,39,79
2:35,2545,Davon Hayes missed Jumper.,39,79
2:35,2545,Davon Hayes Offensive Rebound.,39,79
2:16,2545,Chris Mejia missed Three Point Jumper.,39,79
2:16,2545,Dominic Nelson Offensive Rebound.,39,79
2:07,-1,Foul on Saxton Becker.,39,79
1:59,2545,Moses Greenwood missed Jumper.,39,79
1:59,2545,Moses Greenwood Offensive Rebound.,39,79
1:57,2545,Moses Greenwood made Jumper.,39,81
1:39,2545,Foul on Michael Corchiani.,39,81
1:36,-1,Derrick Burt missed Free Throw.,39,81
1:36,-1,Millsaps Deadball Team Rebound.,39,81
1:16,-1,Johnathan Manning missed Jumper.,39,81
1:16,2545,Moses Greenwood Defensive Rebound.,39,81
1:10,2545,Dominic Nelson made Layup. Assisted by Moses Greenwood.,39,83
0:57,-1,Asa Wise Turnover.,39,83
0:55,2545,Davon Hayes Steal.,39,83
0:54,2545,Davon Hayes made Dunk.,39,85
0:36,-1,James Turner missed Jumper.,39,85
0:36,2545,Moses Greenwood Defensive Rebound.,39,85
0:00,2545,End of Game,39,85
