Sul Ross,Error,North Texas,249
4:24,-1,Xavier Webb missed Three Point Jumper.,25,27
4:24,249,Ja'Michael Brown Defensive Rebound.,25,27
4:08,249,Rickey Brice Jr. made Jumper.,25,29
3:57,-1,Damien Rhodriquez missed Jumper.,25,29
3:57,249,A.J. Lawson Defensive Rebound.,25,29
3:42,249,A.J. Lawson made Jumper.,25,31
3:35,-1,A.J. James Turnover.,25,31
3:25,249,A.J. Lawson made Jumper.,25,33
3:00,-1,Brock Anders missed Jumper.,25,33
3:00,249,Rickey Brice Jr. Defensive Rebound.,25,33
2:47,-1,Foul on Xavier Webb.,25,33
2:47,249,Deckie Johnson made Free Throw.,25,34
2:47,249,Deckie Johnson made Free Throw.,25,35
2:40,-1,C.J. Ross Turnover.,25,35
2:40,-1,Foul on C.J. Ross.,25,35
2:16,249,Rickey Brice Jr. missed Jumper.,25,35
2:16,-1,Brock Anders Defensive Rebound.,25,35
2:07,-1,Caleb Thomasson missed Layup.,25,35
2:07,249,Rickey Brice Jr. Defensive Rebound.,25,35
2:00,249,A.J. Lawson Turnover.,25,35
1:44,-1,Brock Anders made Jumper.,27,35
1:24,249,Deckie Johnson Turnover.,27,35
1:22,-1,Isaiah Tillman Steal.,27,35
1:18,-1,DeVondre Livingston missed Layup.,27,35
1:18,-1,DeVondre Livingston Offensive Rebound.,27,35
1:10,-1,DeVondre Livingston made Layup.,29,35
1:06,249,North Texas  Timeout,29,35
0:57,249,Ja'Michael Brown made Three Point Jumper. Assisted by Deckie Johnson.,29,38
0:45,-1,Caleb Thomasson Turnover.,29,38
0:25,249,Deckie Johnson missed Jumper.,29,38
0:25,249,Rickey Brice Jr. Offensive Rebound.,29,38
0:21,249,Rickey Brice Jr. made Layup.,29,40
0:06,-1,Caleb Thomasson made Three Point Jumper. Assisted by Brock Anders.,32,40
0:02,-1,Sul Ross State  Timeout,32,40
0:02,249,Jeremy Combs Turnover.,32,40
0:01,249,Foul on Jeremy Combs.,32,40
0:01,-1,Caleb Thomasson made Free Throw.,33,40
0:01,-1,Caleb Thomasson made Free Throw.,34,40
0:00,249,End of 1st half,34,40
19:44,249,Deckie Johnson made Three Point Jumper. Assisted by Derail Green.,34,43
19:26,-1,Damien Rhodriquez missed Jumper.,34,43
19:26,249,Jeremy Combs Block.,34,43
19:22,249,Jeremy Combs Defensive Rebound.,34,43
19:09,-1,Foul on Caleb Thomasson.,34,43
19:09,249,Jeremy Combs missed Free Throw.,34,43
19:09,249,North Texas Deadball Team Rebound.,34,43
19:09,249,Jeremy Combs missed Free Throw.,34,43
19:09,-1,Damien Rhodriquez Defensive Rebound.,34,43
18:59,-1,Brock Anders made Layup.,36,43
18:49,249,Derail Green made Three Point Jumper.,36,46
18:33,249,Foul on Allante Holston.,36,46
18:33,-1,Sul Ross State  Timeout,36,46
18:30,-1,Brock Anders made Jumper. Assisted by C.J. Ross.,38,46
18:13,249,Derail Green missed Three Point Jumper.,38,46
18:13,-1,Isaiah Tillman Defensive Rebound.,38,46
18:11,-1,C.J. Ross missed Jumper.,38,46
18:11,249,Derail Green Defensive Rebound.,38,46
18:03,249,Derail Green Turnover.,38,46
18:01,-1,C.J. Ross Steal.,38,46
17:57,-1,Damien Rhodriquez made Layup. Assisted by Isaiah Tillman.,40,46
17:14,-1,Foul on Xavier Webb.,40,46
17:14,249,Jeremy Combs missed Free Throw.,40,46
17:14,249,North Texas Deadball Team Rebound.,40,46
17:14,249,Jeremy Combs made Free Throw.,40,47
17:09,249,Foul on Deckie Johnson.,40,47
17:04,-1,C.J. Ross Turnover.,40,47
16:57,249,Ja'Michael Brown made Layup.,40,49
16:43,-1,C.J. Ross Turnover.,40,49
16:33,249,Ja'Michael Brown missed Jumper.,40,49
16:33,-1,Damien Rhodriquez Block.,40,49
16:30,-1,C.J. Ross Defensive Rebound.,40,49
16:28,249,Foul on Ja'Michael Brown.,40,49
16:19,-1,Xavier Webb missed Layup.,40,49
16:19,249,Ja'Michael Brown Defensive Rebound.,40,49
16:09,-1,Foul on Damien Rhodriquez.,40,49
16:09,249,Deckie Johnson made Free Throw.,40,50
16:09,249,Deckie Johnson made Free Throw.,40,51
15:56,249,Foul on A.J. Lawson.,40,51
15:56,249,Official TV Timeout,40,51
15:51,249,Foul on Deckie Johnson.,40,51
15:51,-1,C.J. Ross made Free Throw.,41,51
15:42,-1,Foul on Caleb Thomasson.,41,51
15:34,249,Rickey Brice Jr. Turnover.,41,51
15:34,249,Foul on Rickey Brice Jr..,41,51
15:21,-1,Xavier Webb missed Three Point Jumper.,41,51
15:21,249,Allante Holston Defensive Rebound.,41,51
15:10,249,A.J. Lawson missed Three Point Jumper.,41,51
15:10,-1,Damien Rhodriquez Defensive Rebound.,41,51
15:08,249,Foul on Derail Green.,41,51
15:08,-1,Damien Rhodriquez made Free Throw.,42,51
15:08,-1,Damien Rhodriquez missed Free Throw.,42,51
15:08,249,Rickey Brice Jr. Defensive Rebound.,42,51
14:49,249,Allante Holston missed Jumper.,42,51
14:49,249,North Texas Offensive Rebound.,42,51
14:31,249,Allante Holston Turnover.,42,51
14:28,-1,Jacob Dawson Steal.,42,51
14:23,-1,Isaiah Tillman missed Three Point Jumper.,42,51
14:23,249,Ja'Michael Brown Defensive Rebound.,42,51
14:15,249,Ja'Michael Brown Turnover.,42,51
14:15,-1,Isaiah Tillman Steal.,42,51
14:06,-1,Jacob Dawson Turnover.,42,51
14:03,249,Ja'Michael Brown Steal.,42,51
14:01,249,Ja'Michael Brown missed Layup.,42,51
14:01,249,Jeremy Combs Offensive Rebound.,42,51
13:59,249,Allante Holston made Layup.,42,53
13:59,-1,Foul on Jacob Dawson.,42,53
13:59,249,Allante Holston made Free Throw.,42,54
13:44,-1,Brock Anders missed Three Point Jumper.,42,54
13:44,249,Allante Holston Defensive Rebound.,42,54
13:39,249,Allante Holston Turnover.,42,54
13:36,-1,C.J. Ross Steal.,42,54
13:33,-1,DeVondre Livingston made Layup. Assisted by C.J. Ross.,44,54
13:24,249,Allante Holston Turnover.,44,54
13:24,-1,C.J. Ross Steal.,44,54
13:13,-1,Foul on Brock Anders.,44,54
13:13,-1,Brock Anders Turnover.,44,54
13:01,-1,Foul on DeVondre Livingston.,44,54
13:01,249,Jeremy Combs missed Free Throw.,44,54
13:01,249,North Texas Deadball Team Rebound.,44,54
13:01,249,Jeremy Combs made Free Throw.,44,55
12:42,-1,DeVondre Livingston missed Jumper.,44,55
12:42,249,Rickey Brice Jr. Block.,44,55
12:39,-1,DeVondre Livingston Offensive Rebound.,44,55
12:36,-1,DeVondre Livingston made Layup.,46,55
12:25,249,Rickey Brice Jr. Turnover.,46,55
12:23,-1,C.J. Ross Steal.,46,55
12:21,249,Foul on Allante Holston.,46,55
12:21,-1,C.J. Ross made Free Throw.,47,55
12:21,-1,C.J. Ross made Free Throw.,48,55
12:06,249,A.J. Lawson made Three Point Jumper. Assisted by Allante Holston.,48,58
11:56,-1,C.J. Ross Turnover.,48,58
11:56,249,Official TV Timeout,48,58
11:32,249,Ja'Michael Brown missed Three Point Jumper.,48,58
11:32,249,North Texas Offensive Rebound.,48,58
11:24,-1,Foul on DeVondre Livingston.,48,58
11:24,249,Allante Holston missed Free Throw.,48,58
11:24,249,North Texas Deadball Team Rebound.,48,58
11:24,249,Allante Holston missed Free Throw.,48,58
11:24,-1,Jacob Dawson Defensive Rebound.,48,58
11:17,-1,Jacob Dawson missed Jumper.,48,58
11:17,-1,Brock Anders Offensive Rebound.,48,58
11:11,-1,Brock Anders made Layup.,50,58
10:58,249,Shane Temara missed Layup.,50,58
10:58,-1,Brock Anders Defensive Rebound.,50,58
10:42,-1,C.J. Ross missed Jumper.,50,58
10:42,249,Shane Temara Defensive Rebound.,50,58
10:22,249,Shane Temara missed Three Point Jumper.,50,58
10:22,249,A.J. Lawson Offensive Rebound.,50,58
10:12,249,A.J. Lawson made Two Point Tip Shot.,50,60
10:06,-1,C.J. Ross made Layup.,52,60
9:54,249,Jeremy Combs missed Jumper.,52,60
9:54,-1,Xavier Webb Defensive Rebound.,52,60
9:45,-1,Brock Anders missed Three Point Jumper.,52,60
9:45,249,Jeremy Combs Defensive Rebound.,52,60
9:40,249,Jeremy Combs made Layup. Assisted by Allante Holston.,52,62
9:28,-1,C.J. Ross made Three Point Jumper. Assisted by Damien Rhodriquez.,55,62
8:52,249,North Texas  Timeout,55,62
8:38,249,Shane Temara missed Jumper.,55,62
8:38,-1,C.J. Ross Defensive Rebound.,55,62
8:28,-1,Isaiah Tillman Turnover.,55,62
8:24,249,A.J. Lawson made Layup.,55,64
8:12,-1,A.J. James missed Three Point Jumper.,55,64
8:12,249,A.J. Lawson Block.,55,64
8:06,249,Shane Temara Defensive Rebound.,55,64
8:01,-1,Foul on C.J. Ross.,55,64
7:50,249,Shane Temara made Free Throw.,55,65
7:50,249,Shane Temara made Free Throw.,55,66
7:49,-1,Isaiah Tillman Turnover.,55,66
7:40,249,A.J. Lawson made Layup. Assisted by Derail Green.,55,68
7:28,249,Foul on Greg White-Pittman.,55,68
7:28,-1,Isaiah Tillman made Free Throw.,56,68
7:28,-1,Isaiah Tillman made Free Throw.,57,68
7:13,249,Shane Temara Turnover.,57,68
6:56,-1,Jacob Dawson missed Three Point Jumper.,57,68
6:56,249,Deckie Johnson Defensive Rebound.,57,68
6:43,-1,Foul on Isaiah Tillman.,57,68
6:43,249,Deckie Johnson made Free Throw.,57,69
6:43,249,Deckie Johnson made Free Throw.,57,70
6:28,-1,B.J. Hollis missed Jumper.,57,70
6:28,249,Deckie Johnson Defensive Rebound.,57,70
6:10,249,Deckie Johnson made Layup.,57,72
5:45,-1,Isaiah Tillman missed Three Point Jumper.,57,72
5:45,249,North Texas Defensive Rebound.,57,72
5:38,-1,Foul on B.J. Hollis.,57,72
5:38,249,Jeremy Combs missed Free Throw.,57,72
5:38,249,North Texas Deadball Team Rebound.,57,72
5:38,249,Jeremy Combs made Free Throw.,57,73
5:24,-1,Jacob Dawson made Layup.,59,73
5:16,249,Jeremy Combs Turnover.,59,73
5:01,-1,Brock Anders missed Three Point Jumper.,59,73
5:01,249,Jeremy Combs Defensive Rebound.,59,73
4:52,-1,Foul on Caleb Thomasson.,59,73
4:52,249,Deckie Johnson made Free Throw.,59,74
4:52,249,Deckie Johnson made Free Throw.,59,75
4:27,-1,Jacob Dawson missed Layup.,59,75
4:27,249,Jeremy Combs Defensive Rebound.,59,75
4:14,249,A.J. Lawson missed Three Point Jumper.,59,75
4:14,249,Rickey Brice Jr. Offensive Rebound.,59,75
4:06,249,Rickey Brice Jr. made Jumper.,59,77
3:58,-1,C.J. Ross missed Three Point Jumper.,59,77
3:58,-1,Jacob Dawson Offensive Rebound.,59,77
3:47,-1,DeVondre Livingston made Layup.,61,77
3:47,249,Foul on Jeremy Combs.,61,77
3:47,249,Official TV Timeout,61,77
3:47,-1,DeVondre Livingston made Free Throw.,62,77
3:30,-1,Foul on C.J. Ross.,62,77
3:30,249,Deckie Johnson made Free Throw.,62,78
3:30,249,Deckie Johnson made Free Throw.,62,79
3:18,-1,A.J. James made Jumper.,64,79
3:03,249,A.J. Lawson Turnover.,64,79
2:41,-1,DeVondre Livingston made Jumper.,66,79
2:19,249,DJ Draper made Three Point Jumper. Assisted by A.J. Lawson.,66,82
2:11,-1,Brock Anders made Jumper. Assisted by Conner Dawson.,68,82
1:55,249,Shane Temara made Dunk.,68,84
1:37,-1,Conner Dawson missed Three Point Jumper.,68,84
1:37,-1,Sul Ross State Offensive Rebound.,68,84
1:30,-1,Jacob Dawson made Three Point Jumper. Assisted by DeVondre Livingston.,71,84
1:13,249,Foul on DJ Draper.,71,84
1:10,249,DJ Draper Turnover.,71,84
1:10,249,Technical Foul on North Texas.,71,84
1:10,-1,Jacob Dawson made Free Throw.,72,84
1:10,-1,Jacob Dawson made Free Throw.,73,84
1:10,249,North Texas  Turnover.,73,84
1:08,-1,A.J. James Turnover.,73,84
0:57,-1,Foul on Conner Dawson.,73,84
0:57,249,A.J. Lawson made Free Throw.,73,85
0:57,249,A.J. Lawson missed Free Throw.,73,85
0:57,-1,Conner Dawson Defensive Rebound.,73,85
0:57,-1,Conner Dawson missed Jumper.,73,85
0:57,-1,DeVondre Livingston Offensive Rebound.,73,85
0:57,-1,DeVondre Livingston made Two Point Tip Shot.,75,85
0:57,249,Shane Temara missed Layup.,75,85
0:57,-1,Aaron Anderson Defensive Rebound.,75,85
0:55,249,Foul on Bryce Jackson.,75,85
0:23,-1,Aaron Anderson missed Free Throw.,75,85
0:23,-1,Sul Ross State Deadball Team Rebound.,75,85
0:23,-1,Aaron Anderson missed Free Throw.,75,85
0:23,249,Bryce Jackson Defensive Rebound.,75,85
0:17,249,Jacob Gross Turnover.,75,85
0:15,-1,A.J. James Steal.,75,85
0:12,-1,B.J. Hollis made Layup.,77,85
0:00,249,End of Game,77,85
