Boston University,111,Northeastern,104
13:41,111,T.J. Williams missed Jumper.,10,13
13:41,111,T.J. Williams Offensive Rebound.,10,13
13:37,111,T.J. Williams made Layup.,10,15
13:25,104,Kyle Foreman Turnover.,10,15
13:07,111,Foul on Alex Murphy.,10,15
13:07,111,Alex Murphy Turnover.,10,15
12:55,104,Kyle Foreman made Three Point Jumper. Assisted by Tyler Scanlon.,13,15
12:45,104,Foul on Kyle Foreman.,13,15
12:35,111,Maxime Boursiquot missed Layup.,13,15
12:35,104,Eric Fanning Block.,13,15
12:32,104,Cheddi Mosely Defensive Rebound.,13,15
12:11,104,Foul on Eric Fanning.,13,15
12:11,104,Eric Fanning Turnover.,13,15
11:49,111,Bolden Brace made Three Point Jumper. Assisted by Donnell Gresham Jr..,13,18
11:28,104,Cedric Hankerson missed Three Point Jumper.,13,18
11:28,111,Jeremy Miller Defensive Rebound.,13,18
11:16,111,Bolden Brace missed Three Point Jumper.,13,18
11:16,104,Cedric Hankerson Defensive Rebound.,13,18
11:02,104,Cedric Hankerson missed Layup.,13,18
11:02,104,Justin Alston Offensive Rebound.,13,18
11:00,104,Justin Alston made Dunk.,15,18
11:00,111,Official TV Timeout,15,18
10:46,111,Jeremy Miller missed Three Point Jumper.,15,18
10:46,111,Northeastern Offensive Rebound.,15,18
10:35,111,Jeremy Miller made Layup. Assisted by T.J. Williams.,15,20
10:11,111,Foul on Donnell Gresham Jr..,15,20
10:03,104,Kyle Foreman Turnover.,15,20
10:02,111,Devon Begley Steal.,15,20
9:59,104,Foul on Kyle Foreman.,15,20
9:55,111,T.J. Williams made Three Point Jumper. Assisted by Devon Begley.,15,23
9:38,104,Justin Alston missed Layup.,15,23
9:38,111,Maxime Boursiquot Block.,15,23
9:36,111,Devon Begley Defensive Rebound.,15,23
9:27,111,Jeremy Miller Turnover.,15,23
9:25,104,Tyler Scanlon Steal.,15,23
9:22,104,Eric Fanning Turnover.,15,23
9:05,111,T.J. Williams made Dunk.,15,25
9:03,104,Boston University  Timeout,15,25
8:37,104,Eric Fanning missed Three Point Jumper.,15,25
8:37,111,Devon Begley Defensive Rebound.,15,25
8:28,111,Shawn Occeus Turnover.,15,25
8:16,104,Eric Fanning missed Three Point Jumper.,15,25
8:16,111,Anthony Green Defensive Rebound.,15,25
8:07,111,Jimmy Marshall missed Three Point Jumper.,15,25
8:07,104,Cheddi Mosely Defensive Rebound.,15,25
7:54,111,Foul on Anthony Green.,15,25
7:54,111,Official TV Timeout,15,25
7:54,104,Nick Havener made Free Throw.,16,25
7:54,104,Nick Havener made Free Throw.,17,25
7:45,111,Alex Murphy made Dunk. Assisted by T.J. Williams.,17,27
7:26,104,Cedric Hankerson missed Three Point Jumper.,17,27
7:26,111,Maxime Boursiquot Defensive Rebound.,17,27
7:13,111,Maxime Boursiquot Turnover.,17,27
7:11,104,Eric Fanning Steal.,17,27
7:09,104,Eric Fanning made Dunk.,19,27
6:52,111,T.J. Williams made Layup.,19,29
6:28,104,Nick Havener Turnover.,19,29
6:09,111,Shawn Occeus missed Three Point Jumper.,19,29
6:09,104,Max Mahoney Defensive Rebound.,19,29
5:47,104,Cheddi Mosely missed Three Point Jumper.,19,29
5:47,111,Alex Murphy Defensive Rebound.,19,29
5:36,111,Maxime Boursiquot made Three Point Jumper. Assisted by T.J. Williams.,19,32
5:17,104,Cedric Hankerson missed Three Point Jumper.,19,32
5:17,104,Eric Fanning Offensive Rebound.,19,32
5:12,104,Eric Fanning made Layup.,21,32
4:52,111,Maxime Boursiquot made Layup. Assisted by Alex Murphy.,21,34
4:52,104,Foul on Eric Fanning.,21,34
4:52,111,Maxime Boursiquot missed Free Throw.,21,34
4:52,104,Nick Havener Defensive Rebound.,21,34
4:32,104,Justin Alston Turnover.,21,34
4:32,111,Maxime Boursiquot Steal.,21,34
4:13,111,T.J. Williams missed Jumper.,21,34
4:13,104,Justin Alston Defensive Rebound.,21,34
3:49,104,Kyle Foreman missed Three Point Jumper.,21,34
3:49,111,Donnell Gresham Jr. Defensive Rebound.,21,34
3:45,111,Official TV Timeout,21,34
3:28,111,Donnell Gresham Jr. made Three Point Jumper.,21,37
3:07,104,Kyle Foreman missed Jumper.,21,37
3:07,111,Bolden Brace Defensive Rebound.,21,37
2:57,111,Jeremy Miller missed Three Point Jumper.,21,37
2:57,104,Kyle Foreman Defensive Rebound.,21,37
2:40,104,Tyler Scanlon missed Jumper.,21,37
2:40,104,Justin Alston Offensive Rebound.,21,37
2:36,104,Justin Alston made Two Point Tip Shot.,23,37
2:09,111,T.J. Williams missed Three Point Jumper.,23,37
2:09,104,Justin Alston Defensive Rebound.,23,37
1:44,104,Cedric Hankerson missed Three Point Jumper.,23,37
1:44,111,Jeremy Miller Defensive Rebound.,23,37
1:36,111,Bolden Brace missed Three Point Jumper.,23,37
1:36,111,Maxime Boursiquot Offensive Rebound.,23,37
1:33,104,Foul on Cedric Hankerson.,23,37
1:33,111,Maxime Boursiquot made Free Throw.,23,38
1:33,111,Maxime Boursiquot missed Free Throw.,23,38
1:33,104,Nick Havener Defensive Rebound.,23,38
1:14,104,Kyle Foreman Turnover.,23,38
1:13,111,T.J. Williams Steal.,23,38
1:08,104,Foul on Kyle Foreman.,23,38
1:01,111,Maxime Boursiquot missed Jumper.,23,38
1:01,111,Jeremy Miller Offensive Rebound.,23,38
0:59,104,Foul on Nick Havener.,23,38
0:59,111,Jeremy Miller missed Free Throw.,23,38
0:59,111,Northeastern Deadball Team Rebound.,23,38
0:59,111,Jeremy Miller made Free Throw.,23,39
0:42,104,Tyler Scanlon missed Three Point Jumper.,23,39
0:42,111,Jeremy Miller Defensive Rebound.,23,39
0:11,111,Jeremy Miller made Layup. Assisted by T.J. Williams.,23,41
0:00,104,Destin Barnes made Layup. Assisted by Nick Havener.,25,41
0:00,111,End of 1st half,25,41
19:28,104,Justin Alston made Dunk.,27,41
19:13,111,Alex Murphy made Layup.,27,43
18:53,104,Eric Fanning missed Jumper.,27,43
18:53,111,Northeastern Defensive Rebound.,27,43
18:33,104,Foul on Kyle Foreman.,27,43
18:31,111,Alex Murphy missed Jumper.,27,43
18:31,104,Eric Fanning Defensive Rebound.,27,43
18:13,104,Destin Barnes made Three Point Jumper. Assisted by Nick Havener.,30,43
17:57,111,T.J. Williams Turnover.,30,43
17:56,104,Cheddi Mosely Steal.,30,43
17:53,104,Cheddi Mosely made Layup.,32,43
17:52,111,Northeastern  Timeout,32,43
17:24,111,T.J. Williams missed Layup.,32,43
17:24,111,Jeremy Miller Offensive Rebound.,32,43
17:23,104,Foul on Justin Alston.,32,43
17:23,111,Jeremy Miller made Free Throw.,32,44
17:23,111,Jeremy Miller missed Free Throw.,32,44
17:23,104,Cedric Hankerson Defensive Rebound.,32,44
17:13,111,Foul on Jeremy Miller.,32,44
17:13,104,Eric Fanning missed Free Throw.,32,44
17:13,104,Boston University Deadball Team Rebound.,32,44
17:13,104,Eric Fanning missed Free Throw.,32,44
17:13,104,Destin Barnes Offensive Rebound.,32,44
17:01,104,Cheddi Mosely missed Three Point Jumper.,32,44
17:01,111,Shawn Occeus Defensive Rebound.,32,44
16:45,111,T.J. Williams made Dunk.,32,46
16:28,104,Destin Barnes missed Three Point Jumper.,32,46
16:28,111,Donnell Gresham Jr. Defensive Rebound.,32,46
16:21,111,Foul on Maxime Boursiquot.,32,46
16:21,111,Maxime Boursiquot Turnover.,32,46
16:02,104,Justin Alston made Layup. Assisted by Destin Barnes.,34,46
15:44,111,Northeastern  Timeout,34,46
15:28,111,T.J. Williams made Layup.,34,48
15:11,104,Cheddi Mosely made Three Point Jumper. Assisted by Eric Fanning.,37,48
15:00,104,Foul on Cheddi Mosely.,37,48
14:42,111,Devon Begley made Three Point Jumper. Assisted by Alex Murphy.,37,51
14:17,104,Cheddi Mosely missed Three Point Jumper.,37,51
14:17,111,Bolden Brace Defensive Rebound.,37,51
13:51,111,T.J. Williams Turnover.,37,51
13:50,104,Cheddi Mosely Steal.,37,51
13:47,104,Cheddi Mosely made Layup.,39,51
13:25,111,Bolden Brace missed Three Point Jumper.,39,51
13:25,104,Cheddi Mosely Defensive Rebound.,39,51
13:16,104,Eric Fanning made Layup.,41,51
12:49,104,Foul on Cheddi Mosely.,41,51
12:49,111,T.J. Williams made Free Throw.,41,52
12:49,111,T.J. Williams missed Free Throw.,41,52
12:49,104,Nick Havener Defensive Rebound.,41,52
12:38,104,Destin Barnes made Three Point Jumper. Assisted by Cheddi Mosely.,44,52
12:22,104,Foul on Destin Barnes.,44,52
12:20,111,Alex Murphy missed Layup.,44,52
12:20,104,Destin Barnes Defensive Rebound.,44,52
12:03,104,Cheddi Mosely missed Three Point Jumper.,44,52
12:03,111,Northeastern Defensive Rebound.,44,52
11:50,104,Foul on Destin Barnes.,44,52
11:50,111,Official TV Timeout,44,52
11:50,111,Donnell Gresham Jr. made Free Throw.,44,53
11:50,111,Donnell Gresham Jr. made Free Throw.,44,54
11:35,104,Cedric Hankerson made Three Point Jumper. Assisted by Tyler Scanlon.,47,54
11:17,111,Devon Begley Turnover.,47,54
11:16,104,Cedric Hankerson Steal.,47,54
11:14,104,Cheddi Mosely made Layup.,49,54
10:56,111,Bolden Brace missed Three Point Jumper.,49,54
10:56,111,Alex Murphy Offensive Rebound.,49,54
10:54,104,Foul on Tyler Scanlon.,49,54
10:54,111,Alex Murphy made Free Throw.,49,55
10:54,111,Alex Murphy missed Free Throw.,49,55
10:54,104,Nick Havener Defensive Rebound.,49,55
10:36,104,Destin Barnes missed Jumper.,49,55
10:36,111,T.J. Williams Defensive Rebound.,49,55
10:28,104,Foul on Destin Barnes.,49,55
10:28,111,Alex Murphy missed Free Throw.,49,55
10:28,111,Northeastern Deadball Team Rebound.,49,55
10:28,111,Alex Murphy made Free Throw.,49,56
10:14,104,Eric Fanning missed Layup.,49,56
10:14,111,Jeremy Miller Defensive Rebound.,49,56
10:06,111,Shawn Occeus made Layup.,49,58
9:51,104,Eric Fanning made Layup.,51,58
9:47,104,Technical Foul on Boston University.,51,58
9:47,111,Donnell Gresham Jr. made Free Throw.,51,59
9:36,111,Alex Murphy made Layup. Assisted by T.J. Williams.,51,61
9:26,104,Boston University  Timeout,51,61
9:19,104,Tyler Scanlon missed Three Point Jumper.,51,61
9:19,104,Cedric Hankerson Offensive Rebound.,51,61
9:14,104,Tyler Scanlon made Jumper. Assisted by Cedric Hankerson.,53,61
8:59,104,Foul on Cheddi Mosely.,53,61
8:59,111,T.J. Williams made Free Throw.,53,62
8:59,111,T.J. Williams missed Free Throw.,53,62
8:59,104,Cedric Hankerson Defensive Rebound.,53,62
8:38,104,Eric Fanning made Layup.,55,62
8:18,111,Foul on Shawn Occeus.,55,62
8:18,111,Shawn Occeus Turnover.,55,62
8:07,104,Cedric Hankerson missed Three Point Jumper.,55,62
8:07,111,T.J. Williams Defensive Rebound.,55,62
7:59,104,Foul on Justin Alston.,55,62
7:59,111,Official TV Timeout,55,62
7:59,111,Alex Murphy made Free Throw.,55,63
7:59,111,Alex Murphy missed Free Throw.,55,63
7:59,104,Eric Fanning Defensive Rebound.,55,63
7:45,104,Kyle Foreman missed Three Point Jumper.,55,63
7:45,104,Kyle Foreman Offensive Rebound.,55,63
7:40,104,Tyler Scanlon missed Jumper.,55,63
7:40,104,Boston University Offensive Rebound.,55,63
7:39,111,Foul on Devon Begley.,55,63
7:26,104,Eric Fanning made Layup.,57,63
7:08,111,Alex Murphy made Dunk.,57,65
6:53,104,Eric Fanning Turnover.,57,65
6:52,111,Jeremy Miller Steal.,57,65
6:45,111,T.J. Williams made Layup.,57,67
6:25,104,Eric Fanning missed Layup.,57,67
6:25,111,Jeremy Miller Block.,57,67
6:25,104,Boston University Offensive Rebound.,57,67
6:25,111,Foul on Jeremy Miller.,57,67
5:58,104,Cheddi Mosely made Three Point Jumper. Assisted by Kyle Foreman.,60,67
5:28,104,Foul on Justin Alston.,60,67
5:28,111,T.J. Williams missed Free Throw.,60,67
5:28,111,Northeastern Deadball Team Rebound.,60,67
5:28,111,T.J. Williams made Free Throw.,60,68
5:15,104,Eric Fanning missed Layup.,60,68
5:15,104,Eric Fanning Offensive Rebound.,60,68
5:13,104,Eric Fanning missed Layup.,60,68
5:13,111,T.J. Williams Defensive Rebound.,60,68
5:09,104,Foul on Kyle Foreman.,60,68
5:09,111,T.J. Williams missed Free Throw.,60,68
5:09,111,Northeastern Deadball Team Rebound.,60,68
5:09,111,T.J. Williams made Free Throw.,60,69
4:53,104,Cheddi Mosely missed Three Point Jumper.,60,69
4:53,104,Destin Barnes Offensive Rebound.,60,69
4:43,104,Justin Alston missed Layup.,60,69
4:43,111,Alex Murphy Defensive Rebound.,60,69
4:28,111,T.J. Williams Turnover.,60,69
4:27,104,Eric Fanning Steal.,60,69
4:25,111,Foul on Devon Begley.,60,69
4:25,111,Foul on Maxime Boursiquot.,60,69
4:25,104,Eric Fanning made Free Throw.,61,69
4:25,104,Eric Fanning made Free Throw.,62,69
4:12,111,Alex Murphy made Three Point Jumper. Assisted by T.J. Williams.,62,72
3:55,111,Foul on Donnell Gresham Jr..,62,72
3:55,111,Official TV Timeout,62,72
3:55,104,Eric Fanning made Free Throw.,63,72
3:55,104,Eric Fanning made Free Throw.,64,72
3:34,111,Alex Murphy made Three Point Jumper. Assisted by T.J. Williams.,64,75
3:05,104,Cedric Hankerson made Three Point Jumper. Assisted by Eric Fanning.,67,75
2:45,111,Alex Murphy Turnover.,67,75
2:43,104,Cheddi Mosely Steal.,67,75
2:41,104,Destin Barnes Turnover.,67,75
2:41,111,T.J. Williams Steal.,67,75
2:36,104,Foul on Cedric Hankerson.,67,75
2:36,111,T.J. Williams made Free Throw.,67,76
2:20,104,Eric Fanning Turnover.,67,77
2:19,111,Shawn Occeus Steal.,67,77
1:59,111,Jimmy Marshall missed Layup.,67,77
1:59,104,Justin Alston Defensive Rebound.,67,77
1:51,104,Eric Fanning missed Layup.,67,77
1:51,104,Eric Fanning Offensive Rebound.,67,77
1:49,104,Eric Fanning made Layup.,69,77
1:49,104,Boston University  Timeout,69,77
1:41,111,T.J. Williams made Layup.,69,79
1:41,104,Foul on Nick Havener.,69,79
1:41,111,T.J. Williams made Free Throw.,69,80
1:29,111,Foul on Donnell Gresham Jr..,69,80
1:29,104,Eric Fanning made Free Throw.,70,80
1:29,104,Eric Fanning made Free Throw.,71,80
1:07,111,Donnell Gresham Jr. missed Layup.,71,80
1:07,104,Boston University Defensive Rebound.,71,80
0:58,104,Cedric Hankerson missed Three Point Jumper.,71,80
0:58,111,Donnell Gresham Jr. Defensive Rebound.,71,80
0:54,104,Foul on Nick Havener.,71,80
0:54,111,Donnell Gresham Jr. made Free Throw.,71,81
0:54,111,Donnell Gresham Jr. made Free Throw.,71,82
0:43,104,Destin Barnes made Three Point Jumper. Assisted by Eric Fanning.,74,82
0:42,104,Boston University  Timeout,74,82
0:32,111,Devon Begley Turnover.,74,82
0:31,104,Cheddi Mosely Steal.,74,82
0:30,104,Cheddi Mosely Turnover.,74,82
0:29,111,Devon Begley Steal.,74,82
0:29,104,Foul on Eric Fanning.,74,82
0:29,111,Devon Begley missed Free Throw.,74,82
0:29,111,Northeastern Deadball Team Rebound.,74,82
0:29,111,Devon Begley missed Free Throw.,74,82
0:29,104,Nick Havener Defensive Rebound.,74,82
0:20,111,Foul on Alex Murphy.,74,82
0:20,104,Cheddi Mosely missed Free Throw.,74,82
0:20,104,Boston University Deadball Team Rebound.,74,82
0:20,104,Eric Fanning Turnover.,74,82
0:20,111,Northeastern  Timeout,74,82
0:20,104,Foul on Eric Fanning.,74,82
0:20,111,T.J. Williams made Free Throw.,74,83
0:20,111,T.J. Williams made Free Throw.,74,84
0:16,104,Eric Fanning made Dunk.,76,84
0:14,104,Foul on Nick Havener.,76,84
0:14,111,Donnell Gresham Jr. missed Free Throw.,76,84
0:14,111,Northeastern Deadball Team Rebound.,76,84
0:14,111,Donnell Gresham Jr. made Free Throw.,76,85
0:13,111,Foul on Donnell Gresham Jr..,76,85
0:13,104,Eric Fanning missed Free Throw.,76,85
0:13,104,Boston University Deadball Team Rebound.,76,85
0:13,104,Eric Fanning made Free Throw.,77,85
0:12,104,Foul on Nick Havener.,77,85
0:12,111,T.J. Williams made Free Throw.,77,86
0:12,111,T.J. Williams made Free Throw.,77,87
0:04,104,Cheddi Mosely missed Three Point Jumper.,77,87
0:04,111,Alex Murphy Defensive Rebound.,77,87
0:00,111,End of Game,77,87
