Thomas (GA),Error,Nicholls,2447
14:56,-1,Foul on Tre' Ford.,6,9
14:56,-1,Tre' Ford Turnover.,6,9
14:33,2447,Liam Thomas missed Layup.,6,9
14:33,-1,Katrell Myers Defensive Rebound.,6,9
14:28,-1,Katrell Myers missed Layup.,6,9
14:28,-1,Ivan Tomic Offensive Rebound.,6,9
14:25,-1,Ivan Tomic missed Layup.,6,9
14:25,-1,Ivan Tomic Offensive Rebound.,6,9
14:23,-1,Ivan Tomic missed Layup.,6,9
14:23,2447,Nicholls Defensive Rebound.,6,9
14:14,2447,DeAndre Harris missed Jumper.,6,9
14:14,-1,Javoris Cooks Defensive Rebound.,6,9
14:04,-1,Javoris Cooks missed Three Point Jumper.,6,9
14:04,2447,Nicholls Defensive Rebound.,6,9
14:04,-1,Foul on Katrell Myers.,6,9
13:39,2447,DeAndre Harris missed Layup.,6,9
13:39,2447,DeAndre Harris Offensive Rebound.,6,9
13:35,2447,DeAndre Harris made Layup.,6,11
13:20,-1,Katrell Myers missed Jumper.,6,11
13:20,2447,Liam Thomas Block.,6,11
13:18,2447,Liam Thomas Defensive Rebound.,6,11
13:08,2447,DeAndre Harris made Three Point Jumper.,6,14
12:45,-1,Ivan Tomic Turnover.,6,14
12:29,2447,DeAndre Harris made Three Point Jumper.,6,17
12:17,-1,Dante DiSipio Turnover.,6,17
12:15,2447,Tre O'Neal Steal.,6,17
12:09,2447,Liam Thomas Turnover.,6,17
12:07,-1,Jamison Williams Steal.,6,17
11:48,2447,Official TV Timeout,6,17
11:42,-1,Tj Rines missed Layup.,6,17
11:42,2447,Adam Ward Block.,6,17
11:42,2447,Nicholls Defensive Rebound.,6,17
11:32,-1,Foul on Tj Rines.,6,17
11:20,2447,Ja'Dante' Frye made Jumper.,6,19
10:53,-1,Ivan Tomic missed Layup.,6,19
10:53,2447,Adam Ward Block.,6,19
10:51,2447,Stevie Repichowski Defensive Rebound.,6,19
10:48,2447,Stevie Repichowski Turnover.,6,19
10:47,-1,Tre' Ford Steal.,6,19
10:46,2447,Foul on Adam Ward.,6,19
10:46,-1,Tre' Ford missed Free Throw.,6,19
10:46,-1,Thomas (GA) Deadball Team Rebound.,6,19
10:46,-1,Tre' Ford missed Free Throw.,6,19
10:46,2447,Johnathan Bell Defensive Rebound.,6,19
10:26,2447,Ja'Dante' Frye missed Layup.,6,19
10:26,-1,Katrell Myers Defensive Rebound.,6,19
10:12,2447,Foul on DeAndre Harris.,6,19
10:05,-1,Katrell Myers missed Dunk.,6,19
10:05,2447,Nicholls Defensive Rebound.,6,19
9:38,2447,Stevie Repichowski made Three Point Jumper. Assisted by DeAndre Harris.,6,22
9:35,-1,Thomas (GA)  Timeout,6,22
9:32,-1,Jalen Bonds missed Jumper.,6,22
9:32,2447,DeAndre Harris Defensive Rebound.,6,22
9:26,2447,DeAndre Harris missed Layup.,6,22
9:26,-1,Tre' Ford Defensive Rebound.,6,22
9:18,2447,Foul on DeAndre Harris.,6,22
9:09,-1,Javoris Cooks Turnover.,6,22
9:08,2447,Jahvaughn Powell Steal.,6,22
9:06,2447,Ja'Dante' Frye missed Layup.,6,22
9:06,2447,Nicholls Offensive Rebound.,6,22
8:57,-1,Foul on Jalen Bonds.,6,22
8:57,-1,Foul on Tre' Ford.,6,22
8:50,2447,Luka Kamber missed Jumper.,6,22
8:50,-1,Jalen Bonds Defensive Rebound.,6,22
8:43,-1,Hezekiah Goodwin missed Three Point Jumper.,6,22
8:43,2447,Jahvaughn Powell Defensive Rebound.,6,22
8:29,2447,Johnathan Bell missed Three Point Jumper.,6,22
8:29,-1,Jamison Williams Defensive Rebound.,6,22
8:28,2447,Foul on Luka Kamber.,6,22
8:28,-1,Jamison Williams made Free Throw.,7,22
8:28,-1,Jamison Williams made Free Throw.,8,22
8:11,2447,Stevie Repichowski missed Three Point Jumper.,8,22
8:11,-1,Tre' Ford Defensive Rebound.,8,22
8:04,-1,Hezekiah Goodwin Turnover.,8,22
7:49,-1,Foul on Traevon Gresham.,8,22
7:49,2447,Official TV Timeout,8,22
7:49,2447,Johnathan Bell made Free Throw.,8,23
7:49,2447,Johnathan Bell made Free Throw.,8,24
7:35,-1,Traevon Gresham missed Layup.,8,24
7:35,2447,Liam Thomas Defensive Rebound.,8,24
7:24,2447,Jahvaughn Powell missed Jumper.,8,24
7:24,-1,Traevon Gresham Defensive Rebound.,8,24
7:08,-1,Jamison Williams missed Three Point Jumper.,8,24
7:08,2447,Ja'Dante' Frye Defensive Rebound.,8,24
6:58,2447,Johnathan Bell Turnover.,8,24
6:33,-1,Hezekiah Goodwin missed Three Point Jumper.,8,24
6:33,2447,DeAndre Harris Defensive Rebound.,8,24
6:15,2447,Ja'Dante' Frye made Three Point Jumper. Assisted by Liam Thomas.,8,27
6:06,-1,Ivan Tomic Turnover.,8,27
6:04,2447,Jahvaughn Powell Steal.,8,27
6:02,2447,Johnathan Bell made Layup. Assisted by Jahvaughn Powell.,8,29
5:41,-1,Javoris Cooks missed Three Point Jumper.,8,29
5:41,-1,Tre' Ford Offensive Rebound.,8,29
5:38,-1,Tre' Ford missed Layup.,8,29
5:38,2447,Liam Thomas Block.,8,29
5:36,2447,Ja'Dante' Frye Defensive Rebound.,8,29
5:15,-1,Foul on Ivan Tomic.,8,29
5:15,2447,Ja'Dante' Frye made Free Throw.,8,30
5:15,2447,Ja'Dante' Frye missed Free Throw.,8,30
5:15,-1,Katrell Myers Defensive Rebound.,8,30
5:11,2447,Foul on DeAndre Harris.,8,30
5:11,-1,Katrell Myers made Free Throw.,9,30
5:11,-1,Katrell Myers made Free Throw.,10,30
5:00,-1,Foul on Dante DiSipio.,10,30
5:00,2447,Liam Thomas made Free Throw.,10,31
5:00,2447,Liam Thomas made Free Throw.,10,32
4:51,-1,Ivan Tomic missed Layup.,10,32
4:51,2447,Liam Thomas Block.,10,32
4:49,2447,Stevie Repichowski Defensive Rebound.,10,32
4:28,2447,Zach Young missed Three Point Jumper.,10,32
4:28,-1,Dante DiSipio Defensive Rebound.,10,32
4:22,2447,Foul on Zach Young.,10,32
4:22,-1,Javoris Cooks made Free Throw.,11,32
4:22,-1,Javoris Cooks made Free Throw.,12,32
4:12,-1,Foul on Jamison Williams.,12,32
4:12,2447,Ja'Dante' Frye made Free Throw.,12,33
4:12,2447,Ja'Dante' Frye made Free Throw.,12,34
4:04,-1,Dante DiSipio made Layup. Assisted by Jamison Williams.,14,34
3:43,2447,Zach Young made Three Point Jumper. Assisted by Johnathan Bell.,14,37
3:31,-1,Javoris Cooks made Layup.,16,37
3:23,2447,Johnathan Bell Turnover.,16,37
3:23,-1,Tj Rines Steal.,16,37
3:23,2447,Official TV Timeout,16,37
3:08,-1,Javoris Cooks missed Layup.,16,37
3:08,2447,Liam Thomas Block.,16,37
3:06,2447,Ja'Dante' Frye Defensive Rebound.,16,37
2:45,2447,Liam Thomas made Dunk. Assisted by Ja'Dante' Frye.,16,39
2:30,-1,Katrell Myers missed Three Point Jumper.,16,39
2:30,-1,Thomas (GA) Offensive Rebound.,16,39
2:07,-1,Jalen Bonds Turnover.,16,39
1:49,2447,Zach Young Turnover.,16,39
1:48,-1,Javoris Cooks Steal.,16,39
1:45,-1,Javoris Cooks missed Layup.,16,39
1:45,2447,Liam Thomas Defensive Rebound.,16,39
1:34,2447,Stevie Repichowski missed Three Point Jumper.,16,39
1:34,-1,Jalen Bonds Defensive Rebound.,16,39
1:27,-1,Katrell Myers made Layup.,18,39
1:27,2447,Foul on Johnathan Bell.,18,39
1:27,-1,Katrell Myers made Free Throw.,19,39
1:15,2447,Johnathan Bell missed Layup.,19,39
1:15,2447,Liam Thomas Offensive Rebound.,19,39
1:12,-1,Foul on Jalen Bonds.,19,39
1:12,2447,Liam Thomas made Free Throw.,19,40
1:12,2447,Liam Thomas made Free Throw.,19,41
0:42,-1,Foul on Jamison Williams.,19,41
0:38,-1,Jamison Williams Turnover.,19,41
0:30,2447,Ja'Dante' Frye made Jumper.,19,43
0:18,-1,Jamison Williams missed Layup.,19,43
0:18,2447,Liam Thomas Block.,19,43
0:16,2447,Liam Thomas Defensive Rebound.,19,43
0:00,2447,Jahvaughn Powell missed Three Point Jumper.,19,43
0:00,-1,Thomas (GA) Defensive Rebound.,19,43
0:00,2447,End of 1st half,19,43
19:53,2447,Johnathan Bell missed Jumper.,19,43
19:53,2447,Liam Thomas Offensive Rebound.,19,43
19:48,2447,Liam Thomas made Two Point Tip Shot.,19,45
19:41,2447,Foul on Johnathan Bell.,19,45
19:27,2447,Foul on Jahvaughn Powell.,19,45
19:22,-1,Katrell Myers made Layup.,21,45
19:14,2447,Liam Thomas missed Dunk.,21,45
19:14,-1,Jamison Williams Defensive Rebound.,21,45
19:05,-1,Katrell Myers missed Three Point Jumper.,21,45
19:05,2447,Liam Thomas Defensive Rebound.,21,45
18:49,2447,Liam Thomas made Layup. Assisted by Ja'Dante' Frye.,21,47
18:32,-1,Javoris Cooks made Layup.,23,47
18:32,2447,Foul on Liam Thomas.,23,47
18:32,-1,Javoris Cooks made Free Throw.,24,47
18:10,-1,Foul on Katrell Myers.,24,47
18:10,2447,DeAndre Harris made Free Throw.,24,48
18:10,2447,DeAndre Harris made Free Throw.,24,49
18:04,-1,Javoris Cooks made Layup.,26,49
18:04,2447,Foul on Liam Thomas.,26,49
18:04,2447,Nicholls  Timeout,26,49
18:04,-1,Javoris Cooks made Free Throw.,27,49
17:48,2447,DeAndre Harris made Three Point Jumper. Assisted by Liam Thomas.,27,52
17:32,-1,Tre' Ford made Layup.,29,52
17:11,-1,Foul on Katrell Myers.,29,52
16:40,2447,Stevie Repichowski missed Three Point Jumper.,29,52
16:40,-1,Tre' Ford Defensive Rebound.,29,52
16:29,-1,Javoris Cooks made Three Point Jumper. Assisted by Tre' Ford.,32,52
16:17,-1,Foul on Javoris Cooks.,32,52
16:05,-1,Foul on Ivan Tomic.,32,52
16:01,-1,Foul on Jamison Williams.,32,52
16:01,2447,Ja'Dante' Frye made Free Throw.,32,53
16:01,2447,Ja'Dante' Frye made Free Throw.,32,54
15:50,2447,Foul on Adam Ward.,32,54
15:50,2447,Official TV Timeout,32,54
15:50,-1,Jamison Williams missed Free Throw.,32,54
15:50,-1,Thomas (GA) Deadball Team Rebound.,32,54
15:50,-1,Jamison Williams made Free Throw.,33,54
15:29,-1,Foul on Dj Roulhac.,33,54
15:20,2447,Adam Ward Turnover.,33,54
15:19,-1,Jalen Bonds Steal.,33,54
15:16,-1,Jamison Williams made Layup.,35,54
15:04,2447,Jahvaughn Powell Turnover.,35,54
15:03,-1,Jamison Williams Steal.,35,54
15:00,-1,Jamison Williams missed Three Point Jumper.,35,54
15:00,2447,Ja'Dante' Frye Defensive Rebound.,35,54
14:42,-1,Foul on Javoris Cooks.,35,54
14:42,2447,Johnathan Bell made Free Throw.,35,55
14:42,2447,Johnathan Bell made Free Throw.,35,56
14:35,-1,Tre' Ford Turnover.,35,56
14:34,2447,DeAndre Harris Steal.,35,56
14:33,2447,DeAndre Harris made Jumper.,35,58
14:33,-1,Foul on Tre' Ford.,35,58
14:33,2447,DeAndre Harris made Free Throw.,35,59
14:22,-1,Tj Rines missed Layup.,35,59
14:22,2447,Adam Ward Block.,35,59
14:21,2447,Johnathan Bell Defensive Rebound.,35,59
14:02,2447,Jahvaughn Powell made Three Point Jumper. Assisted by Johnathan Bell.,35,62
13:49,-1,Tre' Ford Turnover.,35,62
13:49,2447,Jahvaughn Powell Steal.,35,62
13:49,-1,Foul on Tre' Ford.,35,62
13:39,2447,Jahvaughn Powell made Three Point Jumper.,35,65
13:35,2447,Technical Foul on Jahvaughn Powell.,35,65
13:35,2447,Foul on Jahvaughn Powell.,35,65
13:35,-1,Javoris Cooks made Free Throw.,36,65
13:35,-1,Javoris Cooks made Free Throw.,37,65
13:24,-1,Katrell Myers Turnover.,37,65
13:24,-1,Foul on Katrell Myers.,37,65
13:24,2447,DeAndre Harris missed Free Throw.,37,65
13:24,2447,Nicholls Deadball Team Rebound.,37,65
13:24,2447,DeAndre Harris made Free Throw.,37,66
13:07,-1,Dante DiSipio made Layup. Assisted by Jalen Bonds.,39,66
12:46,2447,Stevie Repichowski made Three Point Jumper. Assisted by Johnathan Bell.,39,69
12:36,-1,Traevon Gresham missed Layup.,39,69
12:36,2447,Adam Ward Block.,39,69
12:34,2447,DeAndre Harris Defensive Rebound.,39,69
12:29,-1,Foul on Tj Rines.,39,69
12:29,2447,Technical Foul on DeAndre Harris.,39,69
12:29,2447,Foul on DeAndre Harris.,39,69
12:29,-1,Javoris Cooks made Free Throw.,40,69
12:29,-1,Javoris Cooks made Free Throw.,41,69
12:29,2447,DeAndre Harris made Free Throw.,41,70
12:29,2447,DeAndre Harris made Free Throw.,41,71
12:18,-1,Javoris Cooks missed Three Point Jumper.,41,71
12:18,-1,Tj Rines Offensive Rebound.,41,71
12:11,-1,Javoris Cooks made Layup.,43,71
11:57,2447,Stevie Repichowski made Three Point Jumper. Assisted by Ja'Dante' Frye.,43,74
11:46,-1,Tj Rines made Jumper.,45,74
11:46,2447,Foul on Adam Ward.,45,74
11:46,2447,Official TV Timeout,45,74
11:46,-1,Dante DiSipio made Free Throw.,46,74
11:46,-1,Dante DiSipio missed Free Throw.,46,74
11:46,-1,Jalen Bonds Offensive Rebound.,46,74
11:45,-1,Jalen Bonds made Layup.,48,74
11:40,-1,Foul on Traevon Gresham.,48,74
11:40,2447,Johnathan Bell made Free Throw.,48,75
11:40,2447,Johnathan Bell made Free Throw.,48,76
11:28,-1,Traevon Gresham missed Three Point Jumper.,48,76
11:28,2447,Stevie Repichowski Defensive Rebound.,48,76
11:18,2447,Liam Thomas Turnover.,48,76
11:06,-1,Jamison Williams Turnover.,48,76
10:55,-1,Foul on Tj Rines.,48,76
10:55,2447,Zach Young made Free Throw.,48,77
10:55,2447,Zach Young made Free Throw.,48,78
10:42,-1,Jamison Williams missed Jumper.,48,78
10:42,-1,Jamison Williams Offensive Rebound.,48,78
10:38,-1,Jamison Williams Turnover.,48,78
10:37,2447,Ja'Dante' Frye Steal.,48,78
10:34,2447,Johnathan Bell missed Layup.,48,78
10:34,-1,Jamison Williams Defensive Rebound.,48,78
10:26,-1,Traevon Gresham made Layup.,50,78
10:19,-1,Foul on Dj Roulhac.,50,78
10:19,2447,Zach Young missed Free Throw.,50,78
10:19,2447,Nicholls Deadball Team Rebound.,50,78
10:19,2447,Zach Young made Free Throw.,50,79
10:11,-1,Jalen Bonds missed Jumper.,50,79
10:11,2447,Ja'Dante' Frye Defensive Rebound.,50,79
9:50,2447,Ja'Dante' Frye missed Three Point Jumper.,50,79
9:50,-1,Javoris Cooks Defensive Rebound.,50,79
9:42,-1,Katrell Myers missed Three Point Jumper.,50,79
9:42,2447,Liam Thomas Defensive Rebound.,50,79
9:21,2447,Zach Young missed Three Point Jumper.,50,79
9:21,-1,Traevon Gresham Defensive Rebound.,50,79
9:17,2447,Foul on Zach Young.,50,79
9:17,-1,Javoris Cooks made Free Throw.,51,79
9:17,-1,Javoris Cooks made Free Throw.,52,79
9:17,-1,Foul on Traevon Gresham.,52,79
9:17,2447,Johnathan Bell made Free Throw.,52,80
9:17,2447,Johnathan Bell missed Free Throw.,52,80
9:17,-1,Jamison Williams Defensive Rebound.,52,80
9:10,-1,Dj Roulhac made Layup.,54,80
8:44,2447,Foul on Liam Thomas.,54,80
8:44,2447,Liam Thomas Turnover.,54,80
8:25,-1,Dj Roulhac missed Three Point Jumper.,54,80
8:25,2447,Ja'Dante' Frye Defensive Rebound.,54,80
8:18,2447,Johnathan Bell missed Jumper.,54,80
8:18,2447,Ja'Dante' Frye Offensive Rebound.,54,80
8:12,2447,Ja'Dante' Frye missed Jumper.,54,80
8:12,-1,Jamison Williams Defensive Rebound.,54,80
8:04,-1,Traevon Gresham Turnover.,54,80
8:03,2447,Johnathan Bell Steal.,54,80
8:01,-1,Foul on Jamison Williams.,54,80
8:01,2447,Zach Young made Free Throw.,54,81
8:01,2447,Zach Young made Free Throw.,54,82
7:54,-1,Tre' Ford Turnover.,54,82
7:52,2447,Liam Thomas Steal.,54,82
7:36,2447,Liam Thomas made Layup. Assisted by Zach Young.,54,84
7:22,-1,Tre' Ford missed Layup.,54,84
7:22,2447,Liam Thomas Block.,54,84
7:20,2447,Stevie Repichowski Defensive Rebound.,54,84
7:17,-1,Foul on Hezekiah Goodwin.,54,84
7:17,2447,Official TV Timeout,54,84
7:17,2447,Johnathan Bell made Free Throw.,54,85
7:17,2447,Johnathan Bell missed Free Throw.,54,85
7:17,2447,Johnathan Bell Offensive Rebound.,54,85
7:06,-1,Foul on Hezekiah Goodwin.,54,85
7:06,2447,Zach Young made Free Throw.,54,86
7:06,2447,Zach Young made Free Throw.,54,87
7:00,-1,Katrell Myers made Three Point Jumper. Assisted by Hezekiah Goodwin.,57,87
6:31,2447,Zach Young missed Three Point Jumper.,57,87
6:31,-1,Tre' Ford Defensive Rebound.,57,87
6:16,2447,Foul on Stevie Repichowski.,57,87
6:16,-1,Katrell Myers missed Free Throw.,57,87
6:16,-1,Thomas (GA) Deadball Team Rebound.,57,87
6:16,-1,Katrell Myers missed Free Throw.,57,87
6:16,2447,Ja'Dante' Frye Defensive Rebound.,57,87
6:02,2447,Jahvaughn Powell missed Jumper.,57,87
6:02,-1,Jamison Williams Defensive Rebound.,57,87
5:51,-1,Tre' Ford missed Layup.,57,87
5:51,-1,Thomas (GA) Offensive Rebound.,57,87
5:49,-1,Tre' Ford Turnover.,57,87
5:46,2447,Jahvaughn Powell Steal.,57,87
5:44,2447,Ja'Dante' Frye missed Layup.,57,87
5:44,2447,Ja'Dante' Frye Offensive Rebound.,57,87
5:42,-1,Foul on Dante DiSipio.,57,87
5:42,2447,Ja'Dante' Frye made Free Throw.,57,88
5:42,2447,Ja'Dante' Frye missed Free Throw.,57,88
5:42,-1,Katrell Myers Defensive Rebound.,57,88
5:35,-1,Katrell Myers Turnover.,57,88
5:34,2447,Jahvaughn Powell Steal.,57,88
5:23,-1,Foul on Dante DiSipio.,57,88
5:23,2447,Adam Ward missed Free Throw.,57,88
5:23,2447,Nicholls Deadball Team Rebound.,57,88
5:23,2447,Adam Ward missed Free Throw.,57,88
5:23,-1,Dante DiSipio Defensive Rebound.,57,88
5:14,-1,Javoris Cooks missed Layup.,57,88
5:14,-1,Dante DiSipio Offensive Rebound.,57,88
5:12,-1,Dante DiSipio missed Layup.,57,88
5:12,2447,Luka Kamber Defensive Rebound.,57,88
4:52,2447,Jahvaughn Powell missed Three Point Jumper.,57,88
4:52,-1,Dante DiSipio Defensive Rebound.,57,88
4:45,-1,Katrell Myers missed Three Point Jumper.,57,88
4:45,2447,Stevie Repichowski Defensive Rebound.,57,88
4:22,-1,Foul on Katrell Myers.,57,88
4:22,2447,Jahvaughn Powell made Free Throw.,57,89
4:22,2447,Jahvaughn Powell made Free Throw.,57,90
4:22,2447,Jahvaughn Powell made Free Throw.,57,91
4:09,-1,Jalen Bonds made Layup.,59,91
3:47,-1,Foul on Dj Roulhac.,59,91
3:47,2447,Official TV Timeout,59,91
3:47,2447,Adam Ward missed Free Throw.,59,91
3:47,2447,Nicholls Deadball Team Rebound.,59,91
3:47,2447,Adam Ward missed Free Throw.,59,91
3:47,-1,Jalen Bonds Defensive Rebound.,59,91
3:31,-1,Jalen Bonds Turnover.,59,91
3:01,2447,Foul on Brett Weaver.,59,91
3:01,2447,Brett Weaver Turnover.,59,91
2:55,-1,Dante DiSipio Turnover.,59,91
2:51,-1,Thomas (GA)  Timeout,59,91
2:44,2447,Zach Young Turnover.,59,91
2:42,-1,Traevon Gresham Steal.,59,91
2:41,-1,Traevon Gresham made Layup.,61,91
2:21,2447,Brett Weaver made Layup. Assisted by Zach Young.,61,93
2:21,-1,Foul on Hezekiah Goodwin.,61,93
2:21,2447,Brett Weaver missed Free Throw.,61,93
2:21,-1,Jalen Bonds Defensive Rebound.,61,93
2:14,2447,Foul on Adam Ward.,61,93
2:14,-1,Traevon Gresham made Free Throw.,62,93
2:14,-1,Traevon Gresham made Free Throw.,63,93
1:45,2447,Stevie Repichowski missed Three Point Jumper.,63,93
1:45,-1,Thomas (GA) Defensive Rebound.,63,93
1:31,-1,Jalen Bonds Turnover.,63,93
1:30,2447,Brett Weaver Steal.,63,93
1:27,2447,Stevie Repichowski missed Layup.,63,93
1:27,-1,Jalen Bonds Block.,63,93
1:24,-1,Jalen Bonds Defensive Rebound.,63,93
1:20,-1,Dante DiSipio Turnover.,63,93
1:19,2447,Luka Kamber Steal.,63,93
1:15,2447,Stevie Repichowski made Layup.,63,95
1:05,-1,Dj Roulhac missed Layup.,63,95
1:05,2447,Adam Ward Block.,63,95
1:04,2447,Luka Kamber Defensive Rebound.,63,95
0:43,2447,Zach Young missed Jumper.,63,95
0:43,-1,Jalen Bonds Defensive Rebound.,63,95
0:33,-1,Dante DiSipio missed Jumper.,63,95
0:33,2447,Stevie Repichowski Defensive Rebound.,63,95
0:07,2447,Stevie Repichowski missed Three Point Jumper.,63,95
0:07,-1,Dante DiSipio Defensive Rebound.,63,95
0:00,2447,End of Game,63,95
