Sacred Heart,322,Lafayette,2529
11:21,322,Myles Cherry Defensive Rebound.,14,13
11:10,322,Hunter Janacek made Three Point Jumper. Assisted by Auston Evans.,14,16
10:51,2529,Matej Buovac missed Three Point Jumper.,14,16
10:51,2529,Cole Walton Offensive Rebound.,14,16
10:45,322,Foul on Myles Cherry.,14,16
10:45,322,Official TV Timeout,14,16
10:45,2529,Matej Buovac missed Free Throw.,14,16
10:45,2529,Sacred Heart Deadball Team Rebound.,14,16
10:45,2529,Matej Buovac made Free Throw.,15,16
10:31,322,Matt Klinewski made Jumper.,15,18
10:31,2529,Foul on Cole Walton.,15,18
10:31,322,Matt Klinewski missed Free Throw.,15,18
10:31,2529,Matej Buovac Defensive Rebound.,15,18
10:07,2529,Chris Robinson made Three Point Jumper. Assisted by Matej Buovac.,18,18
9:53,322,Auston Evans missed Layup.,18,18
9:53,322,Matt Klinewski Offensive Rebound.,18,18
9:47,322,Kyle Stout missed Three Point Jumper.,18,18
9:47,2529,Matej Buovac Defensive Rebound.,18,18
9:32,2529,Chris Robinson missed Layup.,18,18
9:32,322,Matt Klinewski Defensive Rebound.,18,18
9:20,322,Matt Klinewski missed Jumper.,18,18
9:20,2529,Cole Walton Defensive Rebound.,18,18
9:13,2529,Chris Robinson Turnover.,18,18
8:55,322,Kyle Stout Turnover.,18,18
8:55,322,Foul on Kyle Stout.,18,18
8:44,2529,Joseph Lopez missed Jumper.,18,18
8:44,2529,Quincy McKnight Offensive Rebound.,18,18
8:32,2529,Sean Hoehn made Three Point Jumper. Assisted by Quincy McKnight.,21,18
8:19,322,Hunter Janacek missed Three Point Jumper.,21,18
8:19,2529,Quincy McKnight Defensive Rebound.,21,18
8:07,2529,Joseph Lopez made Layup. Assisted by Charles Tucker Jr..,23,18
7:59,322,Lafayette  Timeout,23,18
7:36,322,Matt Klinewski missed Layup.,23,18
7:36,322,Paulius Zalys Offensive Rebound.,23,18
7:34,322,Paulius Zalys missed Jumper.,23,18
7:34,2529,De'von Barnett Defensive Rebound.,23,18
7:25,2529,Charles Tucker Jr. made Layup.,25,18
7:08,322,Hunter Janacek missed Jumper.,25,18
7:08,2529,Quincy McKnight Defensive Rebound.,25,18
7:03,2529,Joseph Lopez made Layup. Assisted by Quincy McKnight.,27,18
6:39,322,Nick Lindner made Three Point Jumper. Assisted by Kyle Stout.,27,21
6:21,2529,Joseph Lopez missed Jumper.,27,21
6:21,322,Paulius Zalys Defensive Rebound.,27,21
6:12,322,Kyle Stout missed Three Point Jumper.,27,21
6:12,2529,Joseph Lopez Defensive Rebound.,27,21
6:06,2529,Quincy McKnight made Layup. Assisted by Charles Tucker Jr..,29,21
5:45,322,Matt Klinewski missed Jumper.,29,21
5:45,2529,Joseph Lopez Defensive Rebound.,29,21
5:32,2529,Joseph Lopez Turnover.,29,21
5:15,322,Auston Evans made Layup.,29,23
4:54,2529,Joseph Lopez made Layup. Assisted by Chris Robinson.,31,23
4:47,322,Paulius Zalys Turnover.,31,23
4:32,2529,Matej Buovac missed Three Point Jumper.,31,23
4:32,322,Eric Stafford Defensive Rebound.,31,23
4:27,322,Eric Stafford Turnover.,31,23
4:13,2529,Chris Robinson made Three Point Jumper. Assisted by Charles Tucker Jr..,34,23
3:50,2529,Foul on Matej Buovac.,34,23
3:50,322,Official TV Timeout,34,23
3:44,322,Hunter Janacek made Three Point Jumper. Assisted by Nick Lindner.,34,26
3:10,2529,Quincy McKnight missed Jumper.,34,26
3:10,2529,Sacred Heart Defensive Rebound.,34,26
3:02,322,Matt Klinewski missed Jumper.,34,26
3:01,322,Lafayette Defensive Rebound.,34,26
2:50,2529,Quincy McKnight made Layup.,36,26
2:47,322,Nick Lindner missed Layup.,36,26
2:47,322,Lafayette Offensive Rebound.,36,26
2:42,2529,Foul on Quincy McKnight.,36,26
2:42,2529,Foul on Chris Robinson.,36,26
2:37,322,Paulius Zalys missed Free Throw.,36,26
2:37,2529,Joseph Lopez Defensive Rebound.,36,26
2:37,2529,Sean Hoehn made Jumper. Assisted by Matej Buovac.,38,26
2:34,322,Nick Lindner Turnover.,38,26
2:13,2529,Charles Tucker Jr. made Layup.,40,26
2:02,2529,Foul on Charles Tucker Jr..,40,26
2:02,322,Nick Lindner made Free Throw.,40,27
2:02,322,Nick Lindner missed Free Throw.,40,27
2:02,2529,Matej Buovac Defensive Rebound.,40,27
1:35,2529,Foul on Quincy McKnight.,40,27
1:11,322,Auston Evans missed Jumper.,40,27
1:11,2529,Joseph Lopez Defensive Rebound.,40,27
0:57,2529,Sacred Heart  Timeout,40,27
0:35,2529,Quincy McKnight missed Layup.,40,27
0:35,322,Auston Evans Block.,40,27
0:35,322,Paulius Zalys Defensive Rebound.,40,27
0:21,322,Kyle Stout made Three Point Jumper. Assisted by Eric Stafford.,40,30
0:03,2529,Matej Buovac made Three Point Jumper. Assisted by Charles Tucker Jr..,43,30
0:00,322,End of 1st half,43,30
19:54,322,Nick Lindner missed Layup.,43,30
19:54,322,Paulius Zalys Offensive Rebound.,43,30
19:53,2529,Foul on De'von Barnett.,43,30
19:53,322,Paulius Zalys made Free Throw.,43,31
19:53,322,Paulius Zalys made Free Throw.,43,32
19:34,2529,Charles Tucker Jr. made Jumper.,45,32
19:13,322,Eric Stafford missed Jumper.,45,32
19:13,2529,Joseph Lopez Defensive Rebound.,45,32
18:58,2529,Joseph Lopez made Jumper.,47,32
18:39,322,Eric Stafford missed Jumper.,47,32
18:39,2529,Charles Tucker Jr. Defensive Rebound.,47,32
18:39,322,Foul on Matt Klinewski.,47,32
18:27,2529,Quincy McKnight missed Layup.,47,32
18:27,322,Paulius Zalys Defensive Rebound.,47,32
18:22,322,Nick Lindner missed Layup.,47,32
18:22,2529,Joseph Lopez Defensive Rebound.,47,32
18:15,2529,De'von Barnett missed Layup.,47,32
18:15,2529,Quincy McKnight Offensive Rebound.,47,32
18:13,322,Foul on Auston Evans.,47,32
18:10,322,Foul on Auston Evans.,47,32
18:10,2529,Quincy McKnight made Free Throw.,48,32
18:10,2529,Quincy McKnight missed Free Throw.,48,32
18:10,2529,Joseph Lopez Offensive Rebound.,48,32
18:04,2529,Quincy McKnight missed Layup.,48,32
18:04,2529,Quincy McKnight Offensive Rebound.,48,32
18:02,2529,Quincy McKnight made Two Point Tip Shot.,50,32
17:51,322,Matt Klinewski made Layup. Assisted by Paulius Zalys.,50,34
17:35,322,Foul on Matt Klinewski.,50,34
17:35,2529,Joseph Lopez missed Free Throw.,50,34
17:35,2529,Sacred Heart Deadball Team Rebound.,50,34
17:35,2529,Joseph Lopez made Free Throw.,51,34
17:24,2529,Foul on Quincy McKnight.,51,34
17:24,322,Paulius Zalys made Free Throw.,51,35
17:24,322,Paulius Zalys missed Free Throw.,51,35
17:24,2529,De'von Barnett Defensive Rebound.,51,35
17:05,2529,De'von Barnett made Layup. Assisted by Charles Tucker Jr..,53,35
16:56,322,Nick Lindner missed Three Point Jumper.,53,35
16:56,2529,Joseph Lopez Defensive Rebound.,53,35
16:49,2529,Charles Tucker Jr. made Layup.,55,35
16:40,322,Auston Evans missed Three Point Jumper.,55,35
16:40,322,Auston Evans Offensive Rebound.,55,35
16:34,322,Nick Lindner Turnover.,55,35
16:33,2529,Matej Buovac Steal.,55,35
16:23,322,Foul on Kyle Stout.,55,35
16:23,2529,Sean Hoehn made Free Throw.,56,35
16:23,2529,Sean Hoehn made Free Throw.,57,35
16:16,322,Paulius Zalys missed Jumper.,57,35
16:16,2529,Joseph Lopez Defensive Rebound.,57,35
16:07,2529,Sean Hoehn missed Three Point Jumper.,57,35
16:07,2529,Joseph Lopez Offensive Rebound.,57,35
16:05,322,Foul on Paulius Zalys.,57,35
16:03,2529,De'von Barnett missed Jumper.,57,35
16:03,322,Lukas Jarrett Block.,57,35
16:00,2529,De'von Barnett Offensive Rebound.,57,35
15:59,2529,Sean Hoehn missed Three Point Jumper.,57,35
15:59,322,Hunter Janacek Defensive Rebound.,57,35
15:50,322,Myles Cherry missed Jumper.,57,35
15:50,2529,Sean Hoehn Block.,57,35
15:49,322,Lafayette Offensive Rebound.,57,35
15:46,322,Official TV Timeout,57,35
15:26,322,Kyle Stout made Three Point Jumper. Assisted by Eric Stafford.,57,38
15:13,2529,Chris Robinson Turnover.,57,38
15:12,322,Matt Klinewski Steal.,57,38
15:10,2529,Foul on Matej Buovac.,57,38
15:10,322,Eric Stafford missed Free Throw.,57,38
15:10,322,Lafayette Deadball Team Rebound.,57,38
15:10,322,Eric Stafford made Free Throw.,57,39
14:55,322,Foul on Kyle Stout.,57,39
14:55,2529,Quincy McKnight made Free Throw.,58,39
14:55,2529,Quincy McKnight made Free Throw.,59,39
14:46,322,Hunter Janacek missed Three Point Jumper.,59,39
14:46,2529,Quincy McKnight Defensive Rebound.,59,39
14:29,2529,Charles Tucker Jr. missed Jumper.,59,39
14:29,322,Hunter Janacek Defensive Rebound.,59,39
14:17,2529,Foul on Cole Walton.,59,39
14:04,322,Matt Klinewski missed Jumper.,59,39
14:04,2529,Chris Robinson Defensive Rebound.,59,39
13:47,2529,Quincy McKnight Turnover.,59,39
13:16,322,Nick Lindner Turnover.,59,39
13:15,2529,Chris Robinson Steal.,59,39
13:12,2529,Quincy McKnight missed Layup.,59,39
13:12,322,Auston Evans Block.,59,39
13:11,322,Auston Evans Defensive Rebound.,59,39
13:09,2529,Chris Robinson missed Three Point Jumper.,59,39
13:09,2529,Matej Buovac Offensive Rebound.,59,39
13:06,322,Matt Klinewski missed Layup.,59,39
13:06,2529,Joseph Lopez Block.,59,39
13:04,322,Paulius Zalys Offensive Rebound.,59,39
13:02,322,Lukas Jarrett made Layup.,59,41
12:54,322,Foul on Lukas Jarrett.,59,41
12:54,322,Foul on Hunter Janacek.,59,41
12:37,2529,Sean Hoehn missed Jumper.,59,41
12:37,322,Nick Lindner Defensive Rebound.,59,41
12:32,322,Nick Lindner made Three Point Jumper.,59,44
12:12,322,Foul on Lukas Jarrett.,59,44
12:12,2529,Matej Buovac missed Free Throw.,59,44
12:12,322,Kyle Stout Defensive Rebound.,59,44
11:59,322,Auston Evans missed Layup.,59,44
11:59,2529,Sean Hoehn Defensive Rebound.,59,44
11:43,322,Foul on Nick Lindner.,59,44
11:43,322,Official TV Timeout,59,44
11:43,2529,Charles Tucker Jr. made Free Throw.,60,44
11:43,2529,Charles Tucker Jr. made Free Throw.,61,44
11:30,322,Nick Lindner Turnover.,61,44
11:30,2529,De'von Barnett Steal.,61,44
11:30,2529,Sacred Heart  Timeout,61,44
10:56,322,Foul on Lukas Jarrett.,61,44
10:56,2529,Joseph Lopez made Layup.,63,44
10:56,2529,De'von Barnett made Free Throw.,64,44
10:56,2529,De'von Barnett missed Free Throw.,64,44
10:56,322,Auston Evans Defensive Rebound.,64,44
10:56,322,Lukas Jarrett missed Jumper.,64,44
10:56,2529,De'von Barnett Defensive Rebound.,64,44
10:18,322,Foul on Lukas Jarrett.,64,44
10:18,2529,Quincy McKnight made Free Throw.,65,44
10:18,2529,Quincy McKnight made Free Throw.,66,44
10:08,322,Auston Evans made Jumper.,66,46
9:56,322,Auston Evans missed Jumper.,66,46
9:56,322,Matt Klinewski Offensive Rebound.,66,46
9:49,2529,Foul on Joseph Lopez.,66,46
9:33,322,Auston Evans Turnover.,66,46
9:33,2529,Sean Hoehn Steal.,66,46
9:16,2529,Joseph Lopez made Layup. Assisted by Quincy McKnight.,68,46
9:16,322,Foul on Auston Evans.,68,46
9:16,2529,Joseph Lopez missed Free Throw.,68,46
8:54,322,Lukas Jarrett Defensive Rebound.,68,46
8:53,322,Lukas Jarrett made Jumper. Assisted by Hunter Janacek.,68,48
8:52,2529,Sean Hoehn Turnover.,68,48
8:38,322,Hunter Janacek missed Three Point Jumper.,68,48
8:38,2529,Chris Robinson Defensive Rebound.,68,48
7:56,2529,Matej Buovac made Layup. Assisted by Charles Tucker Jr..,70,48
7:46,322,Hunter Janacek made Three Point Jumper. Assisted by Myles Cherry.,70,51
7:22,2529,Matej Buovac missed Three Point Jumper.,70,51
7:22,322,Eric Stafford Defensive Rebound.,70,51
7:12,322,Lukas Jarrett made Jumper. Assisted by Eric Stafford.,70,53
6:59,322,Official TV Timeout,70,53
6:46,2529,Chris Robinson made Three Point Jumper.,73,53
6:24,322,Eric Stafford missed Jumper.,73,53
6:24,2529,Chris Robinson Defensive Rebound.,73,53
6:19,2529,Quincy McKnight Turnover.,73,53
5:59,322,Myles Cherry missed Layup.,73,53
5:59,2529,Quincy McKnight Defensive Rebound.,73,53
5:35,2529,Sean Hoehn made Three Point Jumper.,76,53
5:26,322,Kyle Stout Turnover.,76,53
5:25,2529,Quincy McKnight Steal.,76,53
5:19,2529,Quincy McKnight missed Jumper.,76,53
5:19,322,Nick Lindner Defensive Rebound.,76,53
5:12,322,Kyle Stout missed Layup.,76,53
5:12,2529,Matej Buovac Defensive Rebound.,76,53
5:04,2529,Chris Robinson made Three Point Jumper. Assisted by Matej Buovac.,79,53
4:59,322,Lafayette  Timeout,79,53
4:30,322,Hunter Janacek missed Three Point Jumper.,79,53
4:30,322,Lafayette Offensive Rebound.,79,53
4:21,2529,De'von Barnett missed Three Point Jumper.,79,53
4:21,322,Eric Stafford Defensive Rebound.,79,53
3:59,2529,Sean Hoehn Turnover.,79,53
3:57,322,Nick Lindner Steal.,79,53
3:56,2529,Foul on Charles Tucker Jr..,79,53
3:56,322,Paulius Zalys made Free Throw.,79,54
3:56,322,Paulius Zalys made Free Throw.,79,55
3:53,2529,De'von Barnett Turnover.,79,55
3:42,322,Eric Stafford missed Layup.,79,55
3:42,2529,Joseph Lopez Defensive Rebound.,79,55
3:23,322,Foul on Nick Lindner.,79,55
3:23,2529,Charles Tucker Jr. made Free Throw.,80,55
3:22,2529,Charles Tucker Jr. made Free Throw.,81,55
3:15,2529,Foul on De'von Barnett.,81,55
3:15,322,Paulius Zalys made Free Throw.,81,56
3:15,322,Paulius Zalys missed Free Throw.,81,56
3:15,2529,Sean Hoehn Defensive Rebound.,81,56
2:45,2529,Quincy McKnight missed Layup.,81,56
2:45,2529,De'von Barnett Offensive Rebound.,81,56
2:45,2529,De'von Barnett made Two Point Tip Shot.,83,56
2:45,322,Myles Cherry made Layup.,83,58
2:09,2529,Joseph Lopez missed Jumper.,83,58
2:09,322,Myles Cherry Defensive Rebound.,83,58
2:07,2529,Foul on Sean Hoehn.,83,58
2:07,322,Eric Stafford missed Free Throw.,83,58
2:07,322,Lafayette Deadball Team Rebound.,83,58
2:07,322,Auston Evans missed Free Throw.,83,58
2:07,2529,Zach Radz Defensive Rebound.,83,58
1:42,2529,Zach Radz Turnover.,83,58
1:38,322,Hunter Janacek made Three Point Jumper. Assisted by Eric Stafford.,83,61
1:14,2529,Charles Tucker Jr. Turnover.,83,61
1:13,322,Lukas Jarrett Steal.,83,61
1:01,322,Kyle Stout missed Three Point Jumper.,83,61
1:01,2529,Cole Walton Defensive Rebound.,83,61
0:31,2529,Shawn Montague made Layup.,85,61
0:16,2529,Foul on Cole Walton.,85,61
0:16,322,Kyle Stout missed Free Throw.,85,61
0:16,322,Lafayette Deadball Team Rebound.,85,61
0:16,322,Kyle Stout missed Free Throw.,85,61
0:16,2529,Shawn Montague Defensive Rebound.,85,61
0:00,322,End of Game,85,61
