Siena Heights,Error,Eastern Michigan,2199
6:03,2199,Nick Madray Defensive Rebound.,13,42
5:52,2199,James Thompson IV made Dunk. Assisted by Willie Mangum IV.,13,44
5:17,2199,Foul on Nick Madray.,13,44
5:17,-1,Tremaine Brown missed Free Throw.,13,44
5:17,-1,Siena Heights Deadball Team Rebound.,13,44
5:17,-1,Tremaine Brown made Free Throw.,14,44
5:04,2199,James Thompson IV made Jumper. Assisted by Willie Mangum IV.,14,46
4:51,-1,Tremaine Brown Turnover.,14,46
4:50,2199,Jordan Nobles Steal.,14,46
4:48,2199,Willie Mangum IV made Layup. Assisted by Jordan Nobles.,14,48
4:27,-1,Josh Winowiecki Turnover.,14,48
4:22,2199,Tim Bond made Jumper.,14,50
4:06,-1,Lavario Smith missed Layup.,14,50
4:06,-1,Lavario Smith Offensive Rebound.,14,50
4:04,2199,Foul on James Thompson IV.,14,50
4:04,-1,Lavario Smith missed Free Throw.,14,50
4:04,-1,Siena Heights Deadball Team Rebound.,14,50
4:04,-1,Lavario Smith missed Free Throw.,14,50
4:04,-1,Erik Johnson Offensive Rebound.,14,50
4:00,-1,Trevor Holston made Three Point Jumper. Assisted by Erik Johnson.,17,50
3:44,2199,James Thompson IV missed Layup.,17,50
3:44,2199,James Thompson IV Offensive Rebound.,17,50
3:41,-1,Foul on Tremaine Brown.,17,50
3:41,2199,Official TV Timeout,17,50
3:41,2199,James Thompson IV made Free Throw.,17,51
3:41,2199,James Thompson IV missed Free Throw.,17,51
3:41,-1,Trevor Holston Defensive Rebound.,17,51
3:29,2199,Foul on Baylee Steele.,17,51
3:29,-1,Lavario Smith made Free Throw.,18,51
3:29,-1,Lavario Smith made Free Throw.,19,51
3:16,-1,Foul on Erik Johnson.,19,51
3:15,2199,Willie Mangum IV made Three Point Jumper. Assisted by Tim Bond.,19,54
3:00,2199,Foul on Ty Toney.,19,54
3:00,-1,Lavario Smith made Free Throw.,20,54
3:00,-1,Lavario Smith made Free Throw.,21,54
2:52,-1,Foul on Erik Johnson.,21,54
2:49,2199,Tim Bond made Jumper. Assisted by Baylee Steele.,21,56
2:38,-1,Keith Jordan Jr. missed Layup.,21,56
2:38,2199,James Thompson IV Defensive Rebound.,21,56
2:29,2199,James Thompson IV made Three Point Jumper. Assisted by Tim Bond.,21,59
2:11,-1,Kevin Smith II Turnover.,21,59
2:10,2199,Ty Toney Steal.,21,59
1:59,2199,Willie Mangum IV missed Jumper.,21,59
1:59,-1,Lavario Smith Defensive Rebound.,21,59
1:35,-1,Tremaine Brown Turnover.,21,59
1:35,2199,Eastern Michigan  Timeout,21,59
1:19,2199,Baylee Steele missed Dunk.,21,59
1:19,-1,Kevin Smith II Defensive Rebound.,21,59
1:12,2199,Foul on Tim Bond.,21,59
1:12,-1,Lavario Smith made Free Throw.,22,59
1:12,-1,Lavario Smith made Free Throw.,23,59
0:59,2199,Ty Toney made Three Point Jumper. Assisted by Baylee Steele.,23,62
0:52,-1,Siena Heights  Timeout,23,62
0:27,-1,Keith Jordan Jr. missed Dunk.,23,62
0:27,-1,Josh Winowiecki Offensive Rebound.,23,62
0:23,-1,Tremaine Brown missed Jumper.,23,62
0:23,-1,Keith Jordan Jr. Offensive Rebound.,23,62
0:04,-1,Tremaine Brown Turnover.,23,62
0:00,2199,Ty Toney made Jumper.,23,64
0:00,2199,End of 1st half,23,64
19:49,2199,James Thompson IV made Layup.,23,66
19:20,-1,Christopher Pearl missed Three Point Jumper.,23,66
19:20,-1,Jerrell Martin Offensive Rebound.,23,66
19:11,-1,Trevor Holston missed Three Point Jumper.,23,66
19:11,2199,Baylee Steele Defensive Rebound.,23,66
18:49,2199,Willie Mangum IV made Three Point Jumper. Assisted by James Thompson IV.,23,69
18:18,-1,Jerrell Martin missed Jumper.,23,69
18:18,-1,Christopher Pearl Offensive Rebound.,23,69
18:13,-1,Christopher Pearl made Two Point Tip Shot.,25,69
18:02,-1,Foul on Trevor Holston.,25,69
17:58,2199,Willie Mangum IV made Jumper.,25,71
17:58,-1,Foul on Tony Jackson II.,25,71
17:58,2199,Willie Mangum IV made Free Throw.,25,72
17:42,-1,Jerrell Martin Turnover.,25,72
17:41,2199,Willie Mangum IV Steal.,25,72
17:26,2199,Willie Mangum IV missed Three Point Jumper.,25,72
17:26,-1,Christopher Pearl Defensive Rebound.,25,72
17:20,-1,Christopher Pearl Turnover.,25,72
17:20,-1,Foul on Christopher Pearl.,25,72
17:11,-1,Foul on Nick Randle.,25,72
17:11,2199,Ty Toney made Free Throw.,25,73
17:11,2199,Ty Toney missed Free Throw.,25,73
17:11,-1,Trevor Holston Defensive Rebound.,25,73
16:46,-1,Tony Jackson II made Jumper.,27,73
16:32,2199,Ty Toney missed Three Point Jumper.,27,73
16:32,2199,Quaran Jones Offensive Rebound.,27,73
16:28,2199,Baylee Steele missed Layup.,27,73
16:28,-1,Trevor Holston Defensive Rebound.,27,73
16:22,-1,Jerrell Martin missed Dunk.,27,73
16:22,-1,Trevor Holston Offensive Rebound.,27,73
16:20,-1,Trevor Holston made Two Point Tip Shot.,29,73
16:04,-1,Foul on Jerrell Martin.,29,73
16:04,2199,Quaran Jones missed Free Throw.,29,73
16:04,2199,Eastern Michigan Deadball Team Rebound.,29,73
16:04,2199,Quaran Jones made Free Throw.,29,74
15:54,2199,Foul on Baylee Steele.,29,74
15:54,2199,Official TV Timeout,29,74
15:54,-1,Jerrell Martin missed Free Throw.,29,74
15:54,-1,Siena Heights Deadball Team Rebound.,29,74
15:54,-1,Jerrell Martin made Free Throw.,30,74
15:39,2199,Quaran Jones made Jumper. Assisted by Ty Toney.,30,76
15:14,-1,Jerrell Martin missed Layup.,30,76
15:14,2199,Baylee Steele Defensive Rebound.,30,76
15:06,-1,Foul on Jerrell Martin.,30,76
15:06,2199,Ty Toney made Free Throw.,30,77
15:06,2199,Ty Toney made Free Throw.,30,78
14:46,-1,Lavario Smith missed Jumper.,30,78
14:46,-1,Lavario Smith Offensive Rebound.,30,78
14:39,-1,Josh Winowiecki missed Layup.,30,78
14:39,2199,Nick Madray Block.,30,78
14:38,2199,Nick Madray Defensive Rebound.,30,78
14:30,2199,Ty Toney missed Jumper.,30,78
14:30,2199,Lamar Wofford-Humphrey Offensive Rebound.,30,78
14:28,2199,Lamar Wofford-Humphrey made Layup.,30,80
14:01,-1,Tony Jackson II missed Three Point Jumper.,30,80
14:01,2199,Tim Bond Defensive Rebound.,30,80
13:53,2199,Jordan Nobles Turnover.,30,80
13:36,-1,Josh Winowiecki missed Three Point Jumper.,30,80
13:36,-1,Nick Randle Offensive Rebound.,30,80
13:26,-1,Tony Jackson II Turnover.,30,80
13:25,2199,Tim Bond Steal.,30,80
13:22,2199,Tim Bond made Layup.,30,82
13:10,-1,Nick Randle missed Three Point Jumper.,30,82
13:10,2199,Nick Madray Defensive Rebound.,30,82
13:01,-1,Foul on Josh Winowiecki.,30,82
13:01,2199,Lamar Wofford-Humphrey made Free Throw.,30,83
13:01,2199,Lamar Wofford-Humphrey missed Free Throw.,30,83
13:01,-1,Lavario Smith Defensive Rebound.,30,83
12:41,-1,Lavario Smith Turnover.,30,83
12:40,2199,Tim Bond Steal.,30,83
12:37,2199,Jordan Nobles made Dunk. Assisted by Tim Bond.,30,85
12:37,2199,Technical Foul on Jordan Nobles.,30,85
12:37,-1,Jon Hovermale made Free Throw.,31,85
12:29,-1,Jon Hovermale Turnover.,31,85
12:28,2199,Jalen Brown Steal.,31,85
12:26,2199,Tim Bond made Layup. Assisted by Jalen Brown.,31,87
12:13,-1,Lavario Smith Turnover.,31,87
11:59,2199,Nick Madray missed Layup.,31,87
11:59,2199,Nick Madray Offensive Rebound.,31,87
11:58,-1,Foul on Lavario Smith.,31,87
11:58,2199,Official TV Timeout,31,87
11:58,2199,Nick Madray made Free Throw.,31,88
11:58,2199,Nick Madray made Free Throw.,31,89
11:50,-1,Lavario Smith missed Jumper.,31,89
11:50,2199,Lamar Wofford-Humphrey Defensive Rebound.,31,89
11:35,2199,Lamar Wofford-Humphrey made Layup. Assisted by Tim Bond.,31,91
11:04,-1,Jon Hovermale made Three Point Jumper. Assisted by Lavario Smith.,34,91
10:49,2199,Tim Bond missed Jumper.,34,91
10:49,2199,Blake Brown Offensive Rebound.,34,91
10:47,2199,Blake Brown missed Layup.,34,91
10:47,2199,Tim Bond Offensive Rebound.,34,91
10:40,2199,Tim Bond Turnover.,34,91
10:12,2199,Foul on Jalen Brown.,34,91
9:48,2199,Foul on Blake Brown.,34,91
9:36,-1,Keith Jordan Jr. missed Jumper.,34,91
9:36,2199,Lamar Wofford-Humphrey Defensive Rebound.,34,91
9:27,2199,Nick Madray missed Three Point Jumper.,34,91
9:27,2199,Lamar Wofford-Humphrey Offensive Rebound.,34,91
9:22,2199,Lamar Wofford-Humphrey missed Layup.,34,91
9:22,-1,Erik Johnson Defensive Rebound.,34,91
9:16,-1,Jon Hovermale Turnover.,34,91
9:05,2199,Tim Bond missed Three Point Jumper.,34,91
9:05,-1,Siena Heights Defensive Rebound.,34,91
8:52,-1,Erik Johnson Turnover.,34,91
8:52,2199,Tim Bond Steal.,34,91
8:49,2199,Tim Bond made Layup.,34,93
8:39,-1,Jon Hovermale made Layup.,36,93
8:39,2199,Foul on Blake Brown.,36,93
8:39,-1,Jon Hovermale made Free Throw.,37,93
8:24,-1,Foul on Kevin Smith II.,37,93
8:24,2199,Baylee Steele missed Free Throw.,37,93
8:24,2199,Eastern Michigan Deadball Team Rebound.,37,93
8:24,2199,Baylee Steele made Free Throw.,37,94
8:14,-1,Erik Johnson made Layup.,39,94
7:55,-1,Foul on Erik Johnson.,39,94
7:55,2199,Official TV Timeout,39,94
7:55,2199,James Thompson IV made Free Throw.,39,95
7:55,2199,James Thompson IV made Free Throw.,39,96
7:42,-1,Tremaine Brown Turnover.,39,96
7:41,2199,Willie Mangum IV Steal.,39,96
7:37,2199,Ty Toney missed Layup.,39,96
7:37,2199,Quaran Jones Offensive Rebound.,39,96
7:29,2199,Baylee Steele missed Layup.,39,96
7:29,2199,Baylee Steele Offensive Rebound.,39,96
7:27,-1,Foul on Carter Drazga.,39,96
7:27,2199,Baylee Steele made Free Throw.,39,97
7:27,2199,Baylee Steele made Free Throw.,39,98
7:13,-1,Erik Johnson Turnover.,39,98
7:04,2199,Quaran Jones made Jumper. Assisted by Willie Mangum IV.,39,100
6:42,-1,Carter Drazga missed Jumper.,39,100
6:42,-1,Keith Jordan Jr. Offensive Rebound.,39,100
6:37,-1,Keith Jordan Jr. missed Three Point Jumper.,39,100
6:37,2199,Willie Mangum IV Defensive Rebound.,39,100
6:27,2199,Willie Mangum IV missed Jumper.,39,100
6:27,-1,Siena Heights Defensive Rebound.,39,100
6:07,-1,Kevin Smith II made Three Point Jumper. Assisted by Tremaine Brown.,42,100
5:53,2199,James Thompson IV Turnover.,42,100
5:34,-1,Carter Drazga made Three Point Jumper. Assisted by Kevin Smith II.,45,100
5:16,-1,Foul on Erik Johnson.,45,100
5:16,2199,James Thompson IV made Free Throw.,45,101
5:16,2199,James Thompson IV made Free Throw.,45,102
5:05,-1,Tremaine Brown Turnover.,45,102
4:57,2199,Tim Bond made Jumper.,45,104
4:43,-1,Kevin Smith II Turnover.,45,104
4:42,2199,Tim Bond Steal.,45,104
4:30,2199,Lamar Wofford-Humphrey made Jumper. Assisted by Jordan Nobles.,45,106
3:59,-1,Carter Drazga made Jumper.,47,106
3:44,2199,Official TV Timeout,47,106
3:41,2199,Nick Madray missed Layup.,47,106
3:41,-1,Keith Jordan Jr. Block.,47,106
3:41,2199,Eastern Michigan Offensive Rebound.,47,106
3:30,2199,Jordan Nobles missed Three Point Jumper.,47,106
3:30,-1,Kevin Smith II Defensive Rebound.,47,106
3:23,-1,Carter Drazga Turnover.,47,106
3:16,2199,Jordan Nobles made Layup.,47,108
2:42,-1,Siena Heights  Turnover.,47,108
2:26,2199,Nick Madray made Layup. Assisted by Jalen Brown.,47,110
2:16,-1,Carter Drazga missed Three Point Jumper.,47,110
2:16,2199,Lamar Wofford-Humphrey Defensive Rebound.,47,110
1:57,2199,Lamar Wofford-Humphrey missed Three Point Jumper.,47,110
1:57,2199,Blake Brown Offensive Rebound.,47,110
1:54,2199,Blake Brown made Layup.,47,112
1:39,-1,Kevin Smith II made Three Point Jumper. Assisted by Tremaine Brown.,50,112
1:14,-1,Foul on Carter Drazga.,50,112
1:14,2199,Jalen Brown missed Free Throw.,50,112
1:14,2199,Eastern Michigan Deadball Team Rebound.,50,112
1:14,2199,Jalen Brown made Free Throw.,50,113
1:02,-1,Keith Jordan Jr. missed Jumper.,50,113
1:02,2199,Nick Madray Defensive Rebound.,50,113
0:52,-1,Foul on Kevin Smith II.,50,113
0:52,2199,Jalen Brown made Free Throw.,50,114
0:52,2199,Jalen Brown made Free Throw.,50,115
0:37,-1,Tremaine Brown made Layup.,52,115
0:22,-1,Foul on Tremaine Brown.,52,115
0:22,2199,Jordan Nobles made Free Throw.,52,116
0:22,2199,Jordan Nobles made Free Throw.,52,117
0:09,-1,Kevin Smith II made Three Point Jumper. Assisted by Tremaine Brown.,55,117
0:00,2199,End of Game,55,117
