Anderson (SC),Error,Charleston,232
13:02,-1,Randall Shaw Defensive Rebound.,9,14
12:41,-1,Jeremy Bouton missed Jumper.,9,14
12:41,-1,Anderson (SC) Offensive Rebound.,9,14
12:32,-1,Shawn Benard Turnover.,9,14
12:23,232,Jaylen McManus missed Jumper.,9,14
12:23,232,Evan Bailey Offensive Rebound.,9,14
12:11,232,Joe Chealey made Jumper.,9,16
11:53,-1,Carlos Dotson missed Jumper.,9,16
11:53,232,Nick Harris Defensive Rebound.,9,16
11:39,232,Evan Bailey missed Three Point Jumper.,9,16
11:39,-1,Shawn Benard Defensive Rebound.,9,16
11:26,-1,Randall Shaw made Jumper.,11,16
10:57,232,Joe Chealey Turnover.,11,16
10:57,232,Official TV Timeout,11,16
10:35,-1,Jeremy Bouton missed Layup.,11,16
10:35,232,Nick Harris Defensive Rebound.,11,16
10:22,232,Jarrell Brantley missed Layup.,11,16
10:22,-1,Jeremy Bouton Defensive Rebound.,11,16
9:59,-1,Chance Prandy missed Three Point Jumper.,11,16
9:59,-1,Lester Rochez Offensive Rebound.,11,16
9:55,-1,Lester Rochez Turnover.,11,16
9:28,232,Joe Chealey missed Three Point Jumper.,11,16
9:28,-1,Shawn Benard Defensive Rebound.,11,16
9:07,-1,Lester Rochez missed Jumper.,11,16
9:07,232,Marquise Pointer Defensive Rebound.,11,16
8:57,232,Jarrell Brantley missed Three Point Jumper.,11,16
8:57,-1,Chance Prandy Defensive Rebound.,11,16
8:33,-1,Shawn Benard made Jumper.,13,16
8:14,-1,Foul on Christian Jeffords.,13,16
8:14,232,Jarrell Brantley made Free Throw.,13,17
8:14,232,Jarrell Brantley made Free Throw.,13,18
7:51,-1,Christian Jeffords Turnover.,13,18
7:51,232,Grant Riller Steal.,13,18
7:47,232,Cameron Johnson missed Layup.,13,18
7:47,-1,Christian Jeffords Block.,13,18
7:46,-1,Anderson (SC) Defensive Rebound.,13,18
7:46,232,Official TV Timeout,13,18
7:33,-1,Christian Jeffords missed Three Point Jumper.,13,18
7:33,232,Jarrell Brantley Defensive Rebound.,13,18
7:23,232,Jarrell Brantley Turnover.,13,18
7:22,-1,Chance Prandy Steal.,13,18
7:15,-1,Chance Prandy Turnover.,13,18
7:07,232,Joe Chealey missed Three Point Jumper.,13,18
7:07,232,Cameron Johnson Offensive Rebound.,13,18
7:03,232,Cameron Johnson made Dunk.,13,20
6:43,-1,Christian Jeffords missed Three Point Jumper.,13,20
6:43,-1,Chance Prandy Offensive Rebound.,13,20
6:38,-1,Chance Prandy missed Jumper.,13,20
6:38,232,Nick Harris Block.,13,20
6:37,-1,Anderson (SC) Offensive Rebound.,13,20
6:16,232,Foul on Joe Chealey.,13,20
6:16,-1,Lex Davis made Free Throw.,14,20
6:16,-1,Lex Davis made Free Throw.,15,20
5:58,232,Cameron Johnson missed Three Point Jumper.,15,20
5:58,-1,Anderson (SC) Deadball Team Rebound.,15,20
5:30,232,Foul on Terrance O'Donohue.,15,20
5:30,-1,Lex Davis made Free Throw.,16,20
5:30,-1,Lex Davis made Free Throw.,17,20
5:10,232,Grant Riller missed Layup.,17,20
5:10,232,Cameron Johnson Offensive Rebound.,17,20
5:06,232,Cameron Johnson missed Layup.,17,20
5:06,-1,Anderson (SC) Defensive Rebound.,17,20
4:35,-1,Christian Jeffords missed Three Point Jumper.,17,20
4:35,-1,Chance Prandy Offensive Rebound.,17,20
4:23,-1,Christian Jeffords missed Jumper.,17,20
4:23,232,Marquise Pointer Defensive Rebound.,17,20
4:06,232,Grant Riller missed Three Point Jumper.,17,20
4:06,232,Charleston Offensive Rebound.,17,20
3:44,232,Grant Riller Turnover.,17,20
3:43,-1,Shawn Benard Steal.,17,20
3:31,-1,Lester Rochez made Layup. Assisted by Lex Davis.,19,20
3:08,-1,Foul on Chance Prandy.,19,20
3:08,232,Evan Bailey missed Free Throw.,19,20
3:08,232,Charleston Deadball Team Rebound.,19,20
3:08,232,Evan Bailey missed Free Throw.,19,20
3:08,-1,Chance Prandy Defensive Rebound.,19,20
2:46,-1,Randall Shaw missed Three Point Jumper.,19,20
2:46,-1,Lester Rochez Offensive Rebound.,19,20
2:41,232,Foul on Joe Chealey.,19,20
2:27,232,Foul on Marquise Pointer.,19,20
2:27,-1,Shawn Benard missed Free Throw.,19,20
2:27,-1,Anderson (SC) Deadball Team Rebound.,19,20
2:27,-1,Shawn Benard missed Free Throw.,19,20
2:27,232,Evan Bailey Defensive Rebound.,19,20
2:06,-1,Foul on Lester Rochez.,19,20
2:06,232,Evan Bailey made Free Throw.,19,21
2:06,232,Evan Bailey made Free Throw.,19,22
1:51,-1,Chance Prandy made Jumper.,21,22
1:31,232,Marquise Pointer missed Jumper.,21,22
1:31,-1,Randall Shaw Block.,21,22
1:30,-1,Lex Davis Defensive Rebound.,21,22
1:21,-1,Lex Davis made Layup.,23,22
1:11,232,Jaylen McManus missed Three Point Jumper.,23,22
1:11,-1,Lex Davis Defensive Rebound.,23,22
0:53,-1,Lester Rochez Turnover.,23,22
0:52,232,Marquise Pointer Steal.,23,22
0:49,232,Marquise Pointer made Layup.,23,24
0:37,-1,Anderson (SC)  Timeout,23,24
0:17,-1,Lex Davis missed Jumper.,23,24
0:17,232,Evan Bailey Defensive Rebound.,23,24
0:05,232,Cameron Johnson made Three Point Jumper. Assisted by Marquise Pointer.,23,27
0:00,232,End of 1st half,23,27
19:47,232,Jarrell Brantley missed Jumper.,23,27
19:47,-1,Jeremy Bouton Defensive Rebound.,23,27
19:30,-1,Carlos Dotson missed Jumper.,23,27
19:30,232,Nick Harris Block.,23,27
19:29,232,Nick Harris Defensive Rebound.,23,27
19:24,232,Grant Riller made Jumper.,23,29
19:04,-1,Maurice Howard Turnover.,23,29
19:03,232,Grant Riller Steal.,23,29
19:01,232,Grant Riller made Layup.,23,31
18:40,-1,Andrew Boynton missed Three Point Jumper.,23,31
18:40,232,Nick Harris Defensive Rebound.,23,31
18:32,-1,Foul on Randall Shaw.,23,31
18:32,232,Joe Chealey made Free Throw.,23,32
18:32,232,Joe Chealey missed Free Throw.,23,32
18:32,-1,Carlos Dotson Defensive Rebound.,23,32
18:08,-1,Randall Shaw made Jumper.,25,32
18:00,-1,Foul on Carlos Dotson.,25,32
17:54,232,Cameron Johnson Turnover.,25,32
17:53,-1,Carlos Dotson Steal.,25,32
17:39,232,Foul on Nick Harris.,25,32
17:24,-1,Randall Shaw missed Jumper.,25,32
17:24,232,Nick Harris Block.,25,32
17:23,232,Cameron Johnson Defensive Rebound.,25,32
17:18,232,Grant Riller made Layup. Assisted by Cameron Johnson.,25,34
16:45,-1,Carlos Dotson missed Layup.,25,34
16:45,232,Nick Harris Defensive Rebound.,25,34
16:40,232,Joe Chealey missed Layup.,25,34
16:40,232,Cameron Johnson Offensive Rebound.,25,34
16:25,232,Nick Harris made Dunk. Assisted by Jarrell Brantley.,25,36
16:04,-1,Randall Shaw made Three Point Jumper. Assisted by Maurice Howard.,28,36
15:44,-1,Foul on Carlos Dotson.,28,36
15:44,232,Official TV Timeout,28,36
15:44,232,Joe Chealey made Free Throw.,28,37
15:44,232,Joe Chealey made Free Throw.,28,38
15:37,232,Foul on Joe Chealey.,28,38
15:28,232,Foul on Nick Harris.,28,38
15:13,-1,Carlos Dotson missed Layup.,28,38
15:13,232,Jarrell Brantley Defensive Rebound.,28,38
15:05,232,Grant Riller missed Jumper.,28,38
15:05,-1,Maurice Howard Block.,28,38
15:04,232,Nick Harris Offensive Rebound.,28,38
14:40,232,Cameron Johnson missed Three Point Jumper.,28,38
14:40,232,Nick Harris Offensive Rebound.,28,38
14:37,-1,Foul on Carlos Dotson.,28,38
14:31,-1,Foul on Jeremy Bouton.,28,38
14:31,232,Jarrell Brantley made Free Throw.,28,39
14:31,232,Jarrell Brantley made Free Throw.,28,40
14:10,-1,Andrew Boynton made Jumper. Assisted by Maurice Howard.,30,40
13:56,-1,Foul on Jeremy Bouton.,30,40
13:56,232,Jarrell Brantley missed Free Throw.,30,40
13:56,232,Charleston Deadball Team Rebound.,30,40
13:56,232,Jarrell Brantley made Free Throw.,30,41
13:31,-1,Randall Shaw Turnover.,30,41
13:30,232,Chevez Goodwin Steal.,30,41
13:27,232,Cameron Johnson Turnover.,30,41
13:12,-1,Maurice Howard Turnover.,30,41
12:50,232,Chevez Goodwin made Layup. Assisted by Marquise Pointer.,30,43
12:50,-1,Foul on Carlos Dotson.,30,43
12:50,232,Chevez Goodwin missed Free Throw.,30,43
12:50,-1,Lester Rochez Defensive Rebound.,30,43
12:29,232,Foul on Marquise Pointer.,30,43
12:23,-1,Maurice Howard missed Layup.,30,43
12:23,-1,Lester Rochez Offensive Rebound.,30,43
12:19,232,Foul on Jarrell Brantley.,30,43
12:09,-1,Maurice Howard missed Layup.,30,43
12:09,232,Cameron Johnson Block.,30,43
12:09,-1,Anderson (SC) Offensive Rebound.,30,43
11:49,-1,Lester Rochez missed Jumper.,30,43
11:49,232,Jaylen McManus Defensive Rebound.,30,43
11:36,232,Marquise Pointer missed Three Point Jumper.,30,43
11:36,-1,Andrew Boynton Defensive Rebound.,30,43
11:15,-1,Andrew Boynton made Jumper.,32,43
10:49,-1,Foul on Lester Rochez.,32,43
10:49,232,Official TV Timeout,32,43
10:49,232,Chevez Goodwin missed Free Throw.,32,43
10:49,232,Charleston Deadball Team Rebound.,32,43
10:49,232,Chevez Goodwin missed Free Throw.,32,43
10:49,232,Evan Bailey Offensive Rebound.,32,43
10:47,-1,Foul on Andrew Boynton.,32,43
10:47,232,Evan Bailey made Free Throw.,32,44
10:47,232,Evan Bailey made Free Throw.,32,45
10:34,-1,Randall Shaw missed Jumper.,32,45
10:34,232,Jaylen McManus Defensive Rebound.,32,45
10:23,232,Jaylen McManus Turnover.,32,45
10:18,-1,Andrew Boynton made Jumper.,34,45
10:05,232,Jaylen McManus Turnover.,34,45
10:04,-1,Randall Shaw Steal.,34,45
9:56,-1,Andrew Boynton missed Three Point Jumper.,34,45
9:56,232,Evan Bailey Defensive Rebound.,34,45
9:34,-1,Foul on Chance Prandy.,34,45
9:34,232,Evan Bailey made Free Throw.,34,46
9:34,232,Evan Bailey made Free Throw.,34,47
9:09,-1,Randall Shaw missed Three Point Jumper.,34,47
9:09,232,Chevez Goodwin Defensive Rebound.,34,47
8:52,232,Evan Bailey missed Three Point Jumper.,34,47
8:52,-1,Anderson (SC) Defensive Rebound.,34,47
8:36,-1,Shawn Benard Turnover.,34,47
8:21,232,Marquise Pointer missed Jumper.,34,47
8:21,-1,Andrew Boynton Defensive Rebound.,34,47
8:01,-1,Randall Shaw missed Jumper.,34,47
8:01,232,Evan Bailey Defensive Rebound.,34,47
7:52,232,Marquise Pointer made Three Point Jumper. Assisted by Cameron Johnson.,34,50
7:32,-1,Anderson (SC)  Timeout,34,50
7:30,-1,Andrew Boynton made Three Point Jumper. Assisted by Chance Prandy.,37,50
7:16,232,Joe Chealey missed Three Point Jumper.,37,50
7:16,-1,Randall Shaw Defensive Rebound.,37,50
7:12,232,Official TV Timeout,37,50
6:48,-1,Chance Prandy missed Three Point Jumper.,37,50
6:48,232,Jarrell Brantley Defensive Rebound.,37,50
6:39,232,Joe Chealey missed Jumper.,37,50
6:39,-1,Andrew Boynton Defensive Rebound.,37,50
6:18,232,Foul on Jarrell Brantley.,37,50
6:09,-1,Randall Shaw missed Three Point Jumper.,37,50
6:09,-1,Andrew Boynton Offensive Rebound.,37,50
5:54,-1,Chance Prandy made Layup.,39,50
5:39,232,Cameron Johnson missed Three Point Jumper.,39,50
5:39,-1,Chance Prandy Defensive Rebound.,39,50
5:20,-1,Shawn Benard Turnover.,39,50
5:06,232,Jarrell Brantley missed Layup.,39,50
5:06,-1,Chance Prandy Block.,39,50
5:05,232,Charleston Offensive Rebound.,39,50
4:57,-1,Foul on Luke Musselwhite.,39,50
4:57,232,Nick Harris missed Free Throw.,39,50
4:57,232,Charleston Deadball Team Rebound.,39,50
4:57,232,Nick Harris missed Free Throw.,39,50
4:57,-1,Luke Musselwhite Defensive Rebound.,39,50
4:42,-1,Shawn Benard Turnover.,39,50
4:42,232,Jarrell Brantley Steal.,39,50
4:17,232,Marquise Pointer missed Three Point Jumper.,39,50
4:17,232,Jarrell Brantley Offensive Rebound.,39,50
3:58,232,Jaylen McManus made Three Point Jumper. Assisted by Jarrell Brantley.,39,53
3:33,-1,Randall Shaw made Jumper.,41,53
3:33,232,Foul on Jaylen McManus.,41,53
3:33,232,Official TV Timeout,41,53
3:33,-1,Randall Shaw missed Free Throw.,41,53
3:33,232,Charleston Deadball Team Rebound.,41,53
3:09,232,Marquise Pointer made Three Point Jumper. Assisted by Jarrell Brantley.,41,56
2:34,232,Foul on Marquise Pointer.,41,56
2:34,-1,Shawn Benard missed Free Throw.,41,56
2:34,-1,Anderson (SC) Deadball Team Rebound.,41,56
2:34,-1,Shawn Benard made Free Throw.,42,56
2:17,232,Evan Bailey missed Jumper.,42,56
2:17,232,Evan Bailey Offensive Rebound.,42,56
2:10,232,Jaylen McManus missed Three Point Jumper.,42,56
2:10,232,Evan Bailey Offensive Rebound.,42,56
2:07,-1,Foul on Chance Prandy.,42,56
2:07,232,Evan Bailey missed Free Throw.,42,56
2:07,232,Charleston Deadball Team Rebound.,42,56
2:07,232,Evan Bailey made Free Throw.,42,57
1:51,-1,Warren Vinson missed Layup.,42,57
1:51,232,Jaylen McManus Defensive Rebound.,42,57
1:34,232,Foul on Chevez Goodwin.,42,57
1:34,232,Chevez Goodwin Turnover.,42,57
1:23,-1,Luke Musselwhite missed Three Point Jumper.,42,57
1:23,232,Erik Goldbach Defensive Rebound.,42,57
0:56,232,Chevez Goodwin made Layup. Assisted by Grant Riller.,42,59
0:46,-1,Warren Vinson made Three Point Jumper.,45,59
0:21,232,Erik Goldbach missed Three Point Jumper.,45,59
0:21,-1,Anderson (SC) Defensive Rebound.,45,59
0:19,-1,Warren Vinson Block.,45,59
0:12,-1,Warren Vinson missed Three Point Jumper.,45,59
0:12,232,Evan Bailey Defensive Rebound.,45,59
0:00,232,End of Game,45,59
