Alabama,2483,Oregon,333
2:00,333,Donta Hall Offensive Rebound.,20,30
1:55,333,Donta Hall made Dunk.,22,30
1:43,2483,Foul on Tyler Dorsey.,22,30
1:43,2483,Tyler Dorsey Turnover.,22,30
1:31,333,Braxton Key Turnover.,22,30
1:31,2483,Dillon Brooks Steal.,22,30
1:19,333,Foul on Donta Hall.,22,30
1:19,2483,Dillon Brooks missed Free Throw.,22,30
1:19,2483,Oregon Deadball Team Rebound.,22,30
1:19,2483,Dillon Brooks made Free Throw.,22,31
0:52,2483,Foul on Chris Boucher.,22,31
0:52,333,Corban Collins made Free Throw.,23,31
0:52,333,Corban Collins missed Free Throw.,23,31
0:52,2483,Jordan Bell Defensive Rebound.,23,31
0:44,2483,Dillon Brooks missed Jumper.,23,31
0:44,333,Riley Norris Defensive Rebound.,23,31
0:30,333,Shannon Hale missed Three Point Jumper.,23,31
0:30,2483,Tyler Dorsey Defensive Rebound.,23,31
0:09,2483,Jordan Bell missed Layup.,23,31
0:09,333,Jimmie Taylor Block.,23,31
0:09,333,Riley Norris Defensive Rebound.,23,31
0:03,333,Riley Norris missed Three Point Jumper.,23,31
0:03,333,Alabama Deadball Team Rebound.,23,31
0:00,2483,End of 1st half,23,31
20:00,2483,Jump Ball won by Oregon,23,31
19:31,2483,Chris Boucher missed Layup.,23,31
19:31,333,Donta Hall Block.,23,31
19:31,333,Alabama Deadball Team Rebound.,23,31
19:12,333,Donta Hall Turnover.,23,31
19:12,2483,Tyler Dorsey Steal.,23,31
19:06,2483,Tyler Dorsey made Layup.,23,33
18:50,333,Dazon Ingram missed Layup.,23,33
18:50,2483,Chris Boucher Block.,23,33
18:50,2483,Oregon Defensive Rebound.,23,33
18:41,2483,Dylan Ennis Turnover.,23,33
18:41,333,Bola Olaniyan Steal.,23,33
18:33,2483,Foul on Payton Pritchard.,23,33
18:33,333,Dazon Ingram missed Free Throw.,23,33
18:33,333,Alabama Deadball Team Rebound.,23,33
18:33,333,Dazon Ingram missed Free Throw.,23,33
18:33,333,Bola Olaniyan Offensive Rebound.,23,33
18:32,333,Bola Olaniyan made Layup.,25,33
18:23,2483,Tyler Dorsey made Three Point Jumper. Assisted by Payton Pritchard.,25,36
17:57,333,Dazon Ingram made Jumper.,27,36
17:33,2483,Payton Pritchard missed Three Point Jumper.,27,36
17:33,333,Braxton Key Defensive Rebound.,27,36
17:20,2483,Foul on Jordan Bell.,27,36
17:04,333,Jimmie Taylor Turnover.,27,36
17:04,2483,Dylan Ennis Steal.,27,36
16:57,2483,Chris Boucher missed Layup.,27,36
16:57,333,Dazon Ingram Block.,27,36
16:57,333,Jimmie Taylor Defensive Rebound.,27,36
16:49,333,Braxton Key missed Layup.,27,36
16:49,2483,Chris Boucher Block.,27,36
16:49,333,Alabama Offensive Rebound.,27,36
16:34,333,Corban Collins made Three Point Jumper. Assisted by Riley Norris.,30,36
16:20,2483,Dylan Ennis made Layup. Assisted by Chris Boucher.,30,38
15:48,333,Dazon Ingram made Jumper.,32,38
15:32,2483,Tyler Dorsey missed Three Point Jumper.,32,38
15:32,2483,Chris Boucher Offensive Rebound.,32,38
15:08,2483,Dillon Brooks Turnover.,32,38
15:08,2483,Official TV Timeout,32,38
14:46,333,Ar'Mond Davis missed Three Point Jumper.,32,38
14:46,333,Braxton Key Offensive Rebound.,32,38
14:38,333,Braxton Key made Layup.,34,38
14:27,333,Foul on Jimmie Taylor.,34,38
14:26,2483,Casey Benson Turnover.,34,38
14:26,333,Ar'Mond Davis Steal.,34,38
14:23,333,Ar'Mond Davis Turnover.,34,38
14:23,2483,Dylan Ennis Steal.,34,38
14:08,333,Foul on Riley Norris.,34,38
13:56,333,Foul on Ar'Mond Davis.,34,38
13:54,2483,Chris Boucher made Dunk. Assisted by Dillon Brooks.,34,40
13:18,2483,Foul on Tyler Dorsey.,34,40
13:18,333,Dazon Ingram made Free Throw.,35,40
13:18,333,Dazon Ingram made Free Throw.,36,40
13:01,2483,Chris Boucher made Layup. Assisted by Dylan Ennis.,36,42
12:50,333,Ar'Mond Davis made Layup.,38,42
12:50,2483,Foul on Chris Boucher.,38,42
12:50,333,Ar'Mond Davis made Free Throw.,39,42
12:37,2483,Tyler Dorsey made Three Point Jumper. Assisted by Dillon Brooks.,39,45
12:21,333,Jimmie Taylor missed Jumper.,39,45
12:21,2483,Casey Benson Defensive Rebound.,39,45
12:11,2483,Dylan Ennis missed Layup.,39,45
12:11,2483,Dillon Brooks Offensive Rebound.,39,45
12:10,2483,Dillon Brooks made Two Point Tip Shot.,39,47
11:54,333,Ar'Mond Davis missed Three Point Jumper.,39,47
11:54,333,Jimmie Taylor Offensive Rebound.,39,47
11:47,333,Jimmie Taylor made Layup.,41,47
11:47,2483,Foul on Chris Boucher.,41,47
11:47,2483,Official TV Timeout,41,47
11:47,333,Jimmie Taylor made Free Throw.,42,47
11:38,333,Foul on Riley Norris.,42,47
11:32,2483,Dillon Brooks made Jumper. Assisted by Tyler Dorsey.,42,49
11:02,333,Avery Johnson Jr. made Jumper.,44,49
10:41,2483,Payton Pritchard made Jumper.,44,51
10:22,333,Avery Johnson Jr. missed Three Point Jumper.,44,51
10:22,2483,Oregon Defensive Rebound.,44,51
10:01,2483,Tyler Dorsey missed Three Point Jumper.,44,51
10:01,333,Dazon Ingram Defensive Rebound.,44,51
9:48,333,Avery Johnson Jr. missed Three Point Jumper.,44,51
9:48,2483,Jordan Bell Defensive Rebound.,44,51
9:39,2483,Dillon Brooks missed Layup.,44,51
9:39,333,Donta Hall Defensive Rebound.,44,51
9:20,333,Dazon Ingram made Jumper.,46,51
9:01,2483,Payton Pritchard made Jumper.,46,53
8:34,333,Avery Johnson Jr. made Jumper.,48,53
8:12,2483,Jordan Bell Turnover.,48,53
8:12,333,Donta Hall Steal.,48,53
7:56,333,Shannon Hale Turnover.,48,53
7:55,2483,Official TV Timeout,48,53
7:45,2483,Dylan Ennis missed Three Point Jumper.,48,53
7:45,333,Corban Collins Defensive Rebound.,48,53
7:23,333,Corban Collins missed Three Point Jumper.,48,53
7:23,333,Riley Norris Offensive Rebound.,48,53
7:09,333,Dazon Ingram missed Layup.,48,53
7:09,333,Donta Hall Offensive Rebound.,48,53
7:05,333,Donta Hall made Dunk.,50,53
6:53,2483,Dillon Brooks missed Jumper.,50,53
6:53,333,Riley Norris Defensive Rebound.,50,53
6:46,333,Braxton Key Turnover.,50,53
6:46,2483,Dillon Brooks Steal.,50,53
6:38,2483,Payton Pritchard missed Three Point Jumper.,50,53
6:38,2483,Casey Benson Offensive Rebound.,50,53
6:26,2483,Dillon Brooks Turnover.,50,53
6:15,333,Donta Hall made Dunk. Assisted by Corban Collins.,52,53
5:50,333,Foul on Avery Johnson Jr..,52,53
5:32,2483,Foul on Dylan Ennis.,52,53
5:32,2483,Dylan Ennis Turnover.,52,53
5:23,333,Foul on Braxton Key.,52,53
5:23,333,Braxton Key Turnover.,52,53
5:14,2483,Dylan Ennis missed Jumper.,52,53
5:14,333,Corban Collins Defensive Rebound.,52,53
4:42,333,Riley Norris missed Jumper.,52,53
4:42,2483,Dillon Brooks Block.,52,53
4:42,2483,Oregon Defensive Rebound.,52,53
4:23,2483,Jordan Bell Turnover.,52,53
4:23,333,Braxton Key Steal.,52,53
4:17,333,Dazon Ingram missed Layup.,52,53
4:17,2483,Dylan Ennis Block.,52,53
4:17,333,Donta Hall Offensive Rebound.,52,53
4:11,333,Donta Hall made Layup.,54,53
4:03,2483,Oregon  Timeout,54,53
3:52,2483,Tyler Dorsey made Three Point Jumper. Assisted by Dylan Ennis.,54,56
3:24,333,Corban Collins missed Three Point Jumper.,54,56
3:24,333,Donta Hall Offensive Rebound.,54,56
3:15,333,Donta Hall made Dunk. Assisted by Dazon Ingram.,56,56
2:42,2483,Tyler Dorsey missed Jumper.,56,56
2:42,333,Alabama Deadball Team Rebound.,56,56
2:38,2483,Official TV Timeout,56,56
2:14,333,Dazon Ingram Turnover.,56,56
2:14,2483,Dillon Brooks Steal.,56,56
1:45,2483,Dylan Ennis made Three Point Jumper. Assisted by Dillon Brooks.,56,59
1:15,333,Alabama  Timeout,56,59
1:13,333,Ar'Mond Davis missed Jumper.,56,59
1:13,2483,Dylan Ennis Defensive Rebound.,56,59
0:52,2483,Dillon Brooks made Jumper.,56,61
0:43,333,Alabama  Timeout,56,61
0:40,333,Braxton Key missed Three Point Jumper.,56,61
0:40,2483,Oregon Deadball Team Rebound.,56,61
0:34,333,Foul on Ar'Mond Davis.,56,61
0:34,2483,Tyler Dorsey made Free Throw.,56,62
0:34,2483,Tyler Dorsey made Free Throw.,56,63
0:29,333,Ar'Mond Davis missed Three Point Jumper.,56,63
0:29,2483,Chris Boucher Defensive Rebound.,56,63
0:17,333,Foul on Braxton Key.,56,63
0:17,2483,Dylan Ennis made Free Throw.,56,64
0:17,2483,Dylan Ennis made Free Throw.,56,65
0:11,333,Ar'Mond Davis missed Layup.,56,65
0:11,2483,Chris Boucher Block.,56,65
0:11,2483,Dillon Brooks Defensive Rebound.,56,65
0:00,2483,End of Game,56,65
