Pepperdine,30,USC,2492
4:36,30,Nick Rakocevic Turnover.,20,36
4:12,2492,Jonathan Allen missed Three Point Jumper.,20,36
4:12,30,Elijah Stewart Defensive Rebound.,20,36
4:04,30,Shaqquan Aaron missed Jumper.,20,36
4:04,30,USC Deadball Team Rebound.,20,36
4:04,2492,Foul on Chris Reyes.,20,36
4:04,30,Nick Rakocevic made Free Throw.,20,37
4:04,30,Nick Rakocevic made Free Throw.,20,38
3:41,2492,Jonathan Allen Turnover.,20,38
3:41,30,Official TV Timeout,20,38
3:32,30,Chimezie Metu missed Dunk.,20,38
3:32,2492,Nate Gehring Block.,20,38
3:29,2492,Jonathan Allen Defensive Rebound.,20,38
3:03,2492,Jeremy Major made Layup.,22,38
2:48,30,Jordan McLaughlin made Layup.,22,40
2:29,2492,Knox Hellums missed Layup.,22,40
2:29,30,Nick Rakocevic Block.,22,40
2:28,30,Chimezie Metu Defensive Rebound.,22,40
2:22,30,Chimezie Metu missed Layup.,22,40
2:22,30,USC Offensive Rebound.,22,40
2:03,30,Shaqquan Aaron missed Three Point Jumper.,22,40
2:03,2492,Jonathan Allen Defensive Rebound.,22,40
1:54,2492,Jeremy Major made Layup.,24,40
1:36,30,Chimezie Metu made Jumper.,24,42
1:26,2492,Jeremy Major made Three Point Jumper.,27,42
1:03,30,Shaqquan Aaron made Layup.,27,44
1:03,2492,Foul on Jonathan Allen.,27,44
1:03,30,Shaqquan Aaron made Free Throw.,27,45
0:55,30,Foul on Jonah Mathews.,27,45
0:54,2492,Elijah Lee Turnover.,27,45
0:52,30,Shaqquan Aaron Steal.,27,45
0:51,2492,Foul on Jonathan Allen.,27,45
0:51,30,Shaqquan Aaron made Free Throw.,27,46
0:51,30,Shaqquan Aaron made Free Throw.,27,47
0:28,2492,Lamond Murray Jr. made Three Point Jumper. Assisted by Jeremy Major.,30,47
0:07,2492,Foul on Elijah Lee.,30,47
0:07,30,De'Anthony Melton made Free Throw.,30,48
0:07,30,De'Anthony Melton missed Free Throw.,30,48
0:07,2492,Nolan Taylor Defensive Rebound.,30,48
0:00,2492,Jeremy Major missed Layup.,30,48
0:00,2492,Pepperdine Offensive Rebound.,30,48
0:00,30,End of 1st half,30,48
19:38,30,Elijah Stewart made Three Point Jumper. Assisted by Jordan McLaughlin.,30,51
19:02,2492,Jeremy Major missed Layup.,30,51
19:02,30,Nick Rakocevic Block.,30,51
19:00,2492,Jeremy Major Offensive Rebound.,30,51
18:59,2492,Jeremy Major made Two Point Tip Shot.,32,51
18:33,30,Chimezie Metu Turnover.,32,51
18:23,2492,Nolan Taylor missed Jumper.,32,51
18:23,30,Nick Rakocevic Defensive Rebound.,32,51
18:14,30,Shaqquan Aaron made Three Point Jumper.,32,54
17:41,2492,Jeremy Major made Three Point Jumper.,35,54
17:21,2492,Foul on Knox Hellums.,35,54
17:19,2492,Foul on Nolan Taylor.,35,54
17:19,30,Nick Rakocevic made Free Throw.,35,55
17:19,30,Nick Rakocevic made Free Throw.,35,56
17:06,2492,Chris Reyes missed Layup.,35,56
17:06,30,Jordan McLaughlin Block.,35,56
17:06,2492,Pepperdine Offensive Rebound.,35,56
17:01,2492,Lamond Murray Jr. missed Jumper.,35,56
17:01,30,Chimezie Metu Defensive Rebound.,35,56
16:54,2492,Foul on Chris Reyes.,35,56
16:54,30,Jordan McLaughlin missed Free Throw.,35,56
16:54,30,USC Deadball Team Rebound.,35,56
16:54,30,Jordan McLaughlin made Free Throw.,35,57
16:34,2492,Lamond Murray Jr. missed Three Point Jumper.,35,57
16:34,30,Nick Rakocevic Defensive Rebound.,35,57
16:25,2492,Foul on Nolan Taylor.,35,57
16:25,30,Jordan McLaughlin made Free Throw.,35,58
16:25,30,Jordan McLaughlin made Free Throw.,35,59
16:09,2492,Elijah Lee missed Three Point Jumper.,35,59
16:09,30,Chimezie Metu Defensive Rebound.,35,59
15:58,30,Elijah Stewart made Three Point Jumper. Assisted by Jordan McLaughlin.,35,62
15:44,30,Foul on Shaqquan Aaron.,35,62
15:44,30,Official TV Timeout,35,62
15:28,2492,Lamond Murray Jr. made Three Point Jumper.,38,62
15:12,30,Foul on Jordan McLaughlin.,38,62
15:12,30,Jordan McLaughlin Turnover.,38,62
14:46,2492,Chris Reyes made Jumper. Assisted by Jeremy Major.,40,62
14:25,30,Elijah Stewart made Three Point Jumper. Assisted by Jordan McLaughlin.,40,65
14:14,2492,Elijah Lee missed Layup.,40,65
14:14,30,Chimezie Metu Block.,40,65
14:12,30,Chimezie Metu Defensive Rebound.,40,65
14:08,30,Jordan McLaughlin made Layup.,40,67
13:55,2492,Jeremy Major missed Three Point Jumper.,40,67
13:55,30,Elijah Stewart Defensive Rebound.,40,67
13:42,30,Jordan McLaughlin made Three Point Jumper. Assisted by De'Anthony Melton.,40,70
13:14,2492,Jeremy Major missed Layup.,40,70
13:14,2492,Ryan Keenan Offensive Rebound.,40,70
13:10,2492,Ryan Keenan Turnover.,40,70
13:09,30,Jordan McLaughlin Steal.,40,70
13:06,30,Elijah Stewart Turnover.,40,70
12:51,2492,Lamond Murray Jr. missed Three Point Jumper.,40,70
12:51,30,Nick Rakocevic Defensive Rebound.,40,70
12:36,30,De'Anthony Melton Turnover.,40,70
12:24,2492,Craig LeCesne Turnover.,40,70
12:22,30,Nick Rakocevic Steal.,40,70
12:19,30,Elijah Stewart made Three Point Jumper.,40,73
11:59,2492,Jeremy Major made Layup.,42,73
11:59,30,Foul on Jonah Mathews.,42,73
11:59,30,Official TV Timeout,42,73
11:59,2492,Jeremy Major missed Free Throw.,42,73
11:59,30,Nick Rakocevic Defensive Rebound.,42,73
11:37,2492,Foul on Jeremy Major.,42,73
11:33,30,Elijah Stewart made Jumper. Assisted by De'Anthony Melton.,42,75
11:17,2492,Lamond Murray Jr. missed Layup.,42,75
11:17,30,Nick Rakocevic Defensive Rebound.,42,75
11:09,30,Nick Rakocevic made Dunk. Assisted by Elijah Stewart.,42,77
10:52,2492,Jeremy Major made Jumper.,44,77
10:34,30,De'Anthony Melton missed Layup.,44,77
10:34,2492,Craig LeCesne Defensive Rebound.,44,77
10:23,2492,Elijah Lee missed Jumper.,44,77
10:23,30,De'Anthony Melton Block.,44,77
10:22,2492,Elijah Lee Offensive Rebound.,44,77
10:18,2492,Lamond Murray Jr. missed Layup.,44,77
10:18,2492,Lamond Murray Jr. Offensive Rebound.,44,77
10:17,2492,Lamond Murray Jr. Turnover.,44,77
10:17,2492,Foul on Lamond Murray Jr..,44,77
10:01,30,Elijah Stewart missed Three Point Jumper.,44,77
10:01,2492,Chris Reyes Defensive Rebound.,44,77
9:32,2492,Chris Reyes made Jumper.,46,77
9:15,30,Jonah Mathews made Jumper. Assisted by Jordan McLaughlin.,46,79
8:51,30,Foul on De'Anthony Melton.,46,79
8:51,2492,Elijah Lee missed Layup.,46,79
8:51,30,Shaqquan Aaron Block.,46,79
8:51,2492,Pepperdine Offensive Rebound.,46,79
8:46,2492,Jeremy Major made Three Point Jumper. Assisted by Elijah Lee.,49,79
8:28,30,Chimezie Metu missed Layup.,49,79
8:28,2492,Nate Gehring Defensive Rebound.,49,79
8:06,2492,Elijah Lee missed Layup.,49,79
8:06,30,Shaqquan Aaron Defensive Rebound.,49,79
7:55,30,Jordan McLaughlin made Layup. Assisted by Shaqquan Aaron.,49,81
7:31,2492,Nate Gehring made Dunk.,51,81
7:16,30,Chimezie Metu made Dunk. Assisted by Shaqquan Aaron.,51,83
6:57,30,Official TV Timeout,51,83
6:43,2492,Knox Hellums made Three Point Jumper. Assisted by Elijah Lee.,54,83
6:24,2492,Foul on Jonathan Allen.,54,83
6:24,30,Chimezie Metu missed Free Throw.,54,83
6:24,2492,Nate Gehring Defensive Rebound.,54,83
6:13,2492,Elijah Lee made Layup.,56,83
5:56,30,Shaqquan Aaron made Three Point Jumper. Assisted by Jordan McLaughlin.,56,86
5:36,30,Foul on Chimezie Metu.,56,86
5:20,30,Foul on Jonah Mathews.,56,86
5:20,2492,Knox Hellums made Free Throw.,57,86
5:20,2492,Knox Hellums made Free Throw.,58,86
5:05,30,Shaqquan Aaron Turnover.,58,86
4:44,2492,Jonathan Allen made Three Point Jumper. Assisted by Knox Hellums.,61,86
4:19,30,Elijah Stewart missed Three Point Jumper.,61,86
4:19,2492,Elijah Lee Defensive Rebound.,61,86
4:13,2492,Elijah Lee missed Layup.,61,86
4:13,30,Elijah Stewart Block.,61,86
4:12,2492,Pepperdine Offensive Rebound.,61,86
4:11,2492,Chris Reyes Offensive Rebound.,61,86
4:11,2492,Chris Reyes made Layup.,63,86
4:11,2492,Pepperdine  Timeout,63,86
4:02,30,Jonah Mathews Turnover.,63,86
4:01,2492,Elijah Lee Steal.,63,86
3:57,2492,Knox Hellums missed Layup.,63,86
3:57,30,Elijah Stewart Block.,63,86
3:55,2492,Knox Hellums Offensive Rebound.,63,86
3:52,2492,Knox Hellums missed Layup.,63,86
3:52,30,Nick Rakocevic Defensive Rebound.,63,86
3:32,30,Official TV Timeout,63,86
3:32,2492,Foul on Nate Gehring.,63,86
3:32,30,Nick Rakocevic made Free Throw.,63,87
3:32,30,Nick Rakocevic made Free Throw.,63,88
3:11,30,Foul on Kurt Karis.,63,88
3:11,2492,Elijah Lee made Free Throw.,64,88
3:11,2492,Elijah Lee missed Free Throw.,64,88
3:11,30,Nick Rakocevic Defensive Rebound.,64,88
2:51,30,Nick Rakocevic made Dunk. Assisted by De'Anthony Melton.,64,90
2:30,2492,Chris Reyes missed Jumper.,64,90
2:30,2492,Elijah Lee Offensive Rebound.,64,90
2:28,2492,Elijah Lee missed Two Point Tip Shot.,64,90
2:28,30,Jonah Mathews Defensive Rebound.,64,90
2:13,30,Harrison Henderson missed Layup.,64,90
2:13,30,Nick Rakocevic Offensive Rebound.,64,90
2:11,30,Nick Rakocevic missed Layup.,64,90
2:11,2492,Chris Reyes Block.,64,90
2:08,2492,Jeremy Major Defensive Rebound.,64,90
2:05,2492,Jeremy Major missed Layup.,64,90
2:05,30,De'Anthony Melton Block.,64,90
2:04,30,Jonah Mathews Defensive Rebound.,64,90
2:00,2492,Foul on Chris Reyes.,64,90
2:00,30,Nick Rakocevic missed Free Throw.,64,90
2:00,30,USC Deadball Team Rebound.,64,90
2:00,30,Nick Rakocevic made Free Throw.,64,91
1:46,30,Foul on Harrison Henderson.,64,91
1:46,2492,Chris Reyes made Free Throw.,65,91
1:46,2492,Chris Reyes missed Free Throw.,65,91
1:46,30,Samer Dhillon Defensive Rebound.,65,91
1:38,30,Devin Fleming missed Jumper.,65,91
1:38,2492,Elijah Lee Defensive Rebound.,65,91
1:22,2492,Knox Hellums missed Three Point Jumper.,65,91
1:22,30,Devin Fleming Defensive Rebound.,65,91
1:07,30,Samer Dhillon missed Jumper.,65,91
1:07,2492,Pepperdine Defensive Rebound.,65,91
0:49,30,Foul on Harrison Henderson.,65,91
0:49,2492,Knox Hellums made Free Throw.,66,91
0:49,2492,Knox Hellums made Free Throw.,67,91
0:36,30,Harrison Henderson missed Three Point Jumper.,67,91
0:36,2492,Caleb Martin Defensive Rebound.,67,91
0:15,2492,Knox Hellums Turnover.,67,91
0:14,30,Devin Fleming Steal.,67,91
0:11,2492,Foul on Elijah Lee.,67,91
0:11,30,Kurt Karis made Free Throw.,67,92
0:11,30,Kurt Karis made Free Throw.,67,93
0:01,2492,Knox Hellums missed Three Point Jumper.,67,93
0:01,30,Samer Dhillon Defensive Rebound.,67,93
0:00,30,End of Game,67,93
