Central Arkansas,2546,Southeast Missouri State,2110
4:30,2110,Jeff Lowery missed Jumper.,26,22
4:30,2546,Antonius Cleveland Defensive Rebound.,26,22
4:17,2546,Milos Vranes Turnover.,26,22
4:15,2110,Jordan Howard Steal.,26,22
4:13,2110,Mathieu Kamba made Layup. Assisted by Jordan Howard.,28,22
3:58,2546,Milos Vranes made Three Point Jumper. Assisted by Antonius Cleveland.,28,25
3:31,2110,Jordan Howard made Three Point Jumper.,31,25
3:15,2546,Tahj Eaddy missed Three Point Jumper.,31,25
3:15,2110,Jordan Howard Defensive Rebound.,31,25
3:13,2110,C. Arkansas  Timeout,31,25
3:00,2110,Derreck Brooks missed Jumper.,31,25
3:00,2546,Antonius Cleveland Block.,31,25
2:57,2110,Derreck Brooks Offensive Rebound.,31,25
2:55,2110,Derreck Brooks made Jumper.,33,25
2:49,2546,Daniel Simmons Turnover.,33,25
2:31,2110,Mathieu Kamba made Jumper.,35,25
2:14,2546,Denzel Mahoney missed Three Point Jumper.,35,25
2:14,2110,Derreck Brooks Defensive Rebound.,35,25
1:48,2110,Jeff Lowery missed Three Point Jumper.,35,25
1:48,2546,Trey Kellum Defensive Rebound.,35,25
1:29,2546,Trey Kellum missed Jumper.,35,25
1:29,2546,Denzel Mahoney Offensive Rebound.,35,25
1:25,2546,Denzel Mahoney made Jumper.,35,27
1:04,2110,Jeff Lowery Turnover.,35,27
1:04,2110,Foul on Jeff Lowery.,35,27
0:49,2546,Denzel Mahoney missed Three Point Jumper.,35,27
0:49,2110,Derreck Brooks Defensive Rebound.,35,27
0:40,2110,Mathieu Kamba missed Jumper.,35,27
0:40,2546,Tahj Eaddy Defensive Rebound.,35,27
0:39,2110,Foul on Albert Christensson.,35,27
0:21,2546,Denzel Mahoney made Three Point Jumper. Assisted by Jamaal Calvin.,35,30
0:13,2110,C. Arkansas  Timeout,35,30
0:06,2110,Derreck Brooks made Jumper.,37,30
0:00,2546,End of 1st half,37,30
19:37,2546,Jamaal Calvin made Three Point Jumper. Assisted by Denzel Mahoney.,37,33
19:23,2110,Derreck Brooks Turnover.,37,33
19:22,2546,Trey Kellum Steal.,37,33
19:20,2546,Jamaal Calvin missed Jumper.,37,33
19:20,2110,Derreck Brooks Defensive Rebound.,37,33
19:07,2110,Jordan Howard missed Three Point Jumper.,37,33
19:07,2546,Jaylen Benton Defensive Rebound.,37,33
18:47,2546,Antonius Cleveland missed Three Point Jumper.,37,33
18:47,2110,Tanner Schmit Defensive Rebound.,37,33
18:35,2110,Tanner Schmit missed Jumper.,37,33
18:35,2546,Jamaal Calvin Defensive Rebound.,37,33
18:27,2546,Jaylen Benton made Layup.,37,35
18:15,2110,Derreck Brooks missed Jumper.,37,35
18:15,2546,Trey Kellum Block.,37,35
18:14,2110,C. Arkansas Offensive Rebound.,37,35
18:14,2110,Thatch Unruh missed Three Point Jumper.,37,35
18:14,2546,Antonius Cleveland Defensive Rebound.,37,35
17:57,2546,Jamaal Calvin missed Three Point Jumper.,37,35
17:56,2110,Mathieu Kamba Defensive Rebound.,37,35
17:41,2110,Thatch Unruh missed Three Point Jumper.,37,35
17:40,2546,Trey Kellum Defensive Rebound.,37,35
17:26,2546,Trey Kellum made Layup. Assisted by Jaylen Benton.,37,37
17:21,2110,C. Arkansas  Timeout,37,37
16:58,2110,Tanner Schmit Turnover.,37,37
16:57,2546,Jamaal Calvin Steal.,37,37
16:54,2110,Foul on Thatch Unruh.,37,37
16:54,2546,Antonius Cleveland made Free Throw.,37,38
16:54,2546,Antonius Cleveland made Free Throw.,37,39
16:39,2546,Foul on Antonius Cleveland.,37,39
16:38,2110,Albert Christensson missed Free Throw.,37,39
16:38,2110,C. Arkansas Deadball Team Rebound.,37,39
16:38,2110,Albert Christensson made Free Throw.,38,39
16:22,2110,Foul on Albert Christensson.,38,39
16:17,2546,Antonius Cleveland missed Three Point Jumper.,38,39
16:17,2546,Trey Kellum Offensive Rebound.,38,39
16:13,2546,Trey Kellum missed Jumper.,38,39
16:13,2546,Trey Kellum Offensive Rebound.,38,39
16:09,2546,Trey Kellum made Jumper.,38,41
15:51,2110,Jordan Howard missed Jumper.,38,41
15:51,2546,Antonius Cleveland Block.,38,41
15:50,2546,Trey Kellum Defensive Rebound.,38,41
15:48,2546,Trey Kellum Turnover.,38,41
15:48,2110,C. Arkansas  Timeout,38,41
15:36,2110,Jordan Howard Turnover.,38,41
15:27,2546,Jaylen Benton made Three Point Jumper. Assisted by Antonius Cleveland.,38,44
15:03,2110,Albert Christensson missed Jumper.,38,44
15:03,2546,Antonius Cleveland Defensive Rebound.,38,44
14:55,2546,Trey Kellum made Jumper. Assisted by Jaylen Benton.,38,46
14:55,2110,Foul on Albert Christensson.,38,46
14:55,2546,Trey Kellum missed Free Throw.,38,46
14:55,2546,Denzel Mahoney Offensive Rebound.,38,46
14:54,2546,Denzel Mahoney made Jumper.,38,48
14:46,2110,Jeff Lowery missed Layup.,38,48
14:46,2546,Antonius Cleveland Defensive Rebound.,38,48
14:34,2546,Denzel Mahoney made Three Point Jumper. Assisted by Trey Kellum.,38,51
14:25,2110,C. Arkansas  Timeout,38,51
14:13,2110,Jeff Lowery missed Jumper.,38,51
14:13,2546,Trey Kellum Block.,38,51
14:11,2110,Darraja Parnell Offensive Rebound.,38,51
14:00,2546,Foul on Jamaal Calvin.,38,51
13:37,2110,Jordan Howard missed Jumper.,38,51
13:37,2546,Denzel Mahoney Defensive Rebound.,38,51
13:32,2546,Jaylen Benton made Layup. Assisted by Jamaal Calvin.,38,53
13:08,2110,Derreck Brooks Turnover.,38,53
13:06,2546,Jamaal Calvin Steal.,38,53
13:06,2546,Trey Kellum made Layup. Assisted by Jamaal Calvin.,38,55
13:06,2110,Foul on Ethan Lee.,38,55
13:06,2546,Trey Kellum made Free Throw.,38,56
12:56,2546,Jonathan Dalton missed Jumper.,38,56
12:56,2110,Otas Iyekekpolor Defensive Rebound.,38,56
12:50,2546,Jaylen Benton made Three Point Jumper.,38,59
12:19,2110,Mathieu Kamba Turnover.,38,59
12:17,2546,Antonius Cleveland made Jumper.,38,61
12:12,2110,Aaron Weidenaar missed Three Point Jumper.,38,61
12:12,2546,Antonius Cleveland Defensive Rebound.,38,61
12:06,2546,Jaylen Benton made Three Point Jumper. Assisted by Jamaal Calvin.,38,64
11:44,2110,Mathieu Kamba Turnover.,38,64
11:41,2546,Jamaal Calvin Steal.,38,64
11:38,2546,Trey Kellum made Layup. Assisted by Jaylen Benton.,38,66
11:21,2546,Foul on Jamaal Calvin.,38,66
11:21,2110,C. Arkansas  Timeout,38,66
11:00,2110,Darraja Parnell missed Three Point Jumper.,38,66
11:00,2546,SE Missouri St Defensive Rebound.,38,66
10:38,2546,Antonius Cleveland missed Jumper.,38,66
10:38,2546,Jaylen Benton Offensive Rebound.,38,66
10:19,2546,Jaylen Benton missed Three Point Jumper.,38,66
10:19,2110,Aaron Weidenaar Defensive Rebound.,38,66
10:10,2110,Darraja Parnell made Jumper.,40,66
10:06,2110,Darraja Parnell made Free Throw.,41,66
9:47,2110,Foul on Darraja Parnell.,41,66
9:47,2546,Denzel Mahoney missed Jumper.,41,66
9:47,2110,Aaron Weidenaar Defensive Rebound.,41,66
9:47,2546,Foul on Daniel Simmons.,41,66
9:37,2110,Darraja Parnell made Free Throw.,42,66
9:37,2110,Darraja Parnell made Free Throw.,43,66
9:16,2546,Trey Kellum made Jumper. Assisted by Daniel Simmons.,43,68
9:01,2110,Derreck Brooks Turnover.,43,68
8:54,2546,Tahj Eaddy Steal.,43,68
8:52,2546,Trey Kellum made Dunk. Assisted by Tahj Eaddy.,43,70
8:48,2546,Foul on Milos Vranes.,43,70
8:48,2546,SE Missouri St  Timeout,43,70
8:48,2110,Derreck Brooks made Free Throw.,44,70
8:48,2110,Derreck Brooks made Free Throw.,45,70
8:41,2546,Daniel Simmons Turnover.,45,70
8:40,2110,Thatch Unruh Steal.,45,70
8:24,2110,Derreck Brooks missed Three Point Jumper.,45,70
8:24,2110,Darraja Parnell Offensive Rebound.,45,70
8:18,2110,Thatch Unruh made Three Point Jumper. Assisted by Darraja Parnell.,48,70
8:03,2110,Foul on Thatch Unruh.,48,70
7:54,2546,Daniel Simmons missed Three Point Jumper.,48,70
7:54,2110,Aaron Weidenaar Defensive Rebound.,48,70
7:41,2110,Derreck Brooks missed Three Point Jumper.,48,70
7:41,2110,Mathieu Kamba Offensive Rebound.,48,70
7:37,2110,Mathieu Kamba made Jumper.,50,70
7:37,2546,Foul on William Tchiengang.,50,70
7:37,2110,C. Arkansas  Timeout,50,70
7:37,2110,Mathieu Kamba missed Free Throw.,50,70
7:37,2546,Antonius Cleveland Defensive Rebound.,50,70
7:36,2546,Jamaal Calvin made Three Point Jumper. Assisted by Jaylen Benton.,50,73
7:16,2110,Mathieu Kamba missed Jumper.,50,73
7:16,2110,Derreck Brooks Offensive Rebound.,50,73
7:08,2110,Derreck Brooks missed Jumper.,50,73
7:08,2110,Derreck Brooks Offensive Rebound.,50,73
7:05,2110,Derreck Brooks Turnover.,50,73
7:04,2546,Trey Kellum Steal.,50,73
7:02,2546,Jamaal Calvin missed Three Point Jumper.,50,73
7:02,2546,Denzel Mahoney Offensive Rebound.,50,73
6:42,2546,Trey Kellum missed Jumper.,50,73
6:42,2110,Aaron Weidenaar Defensive Rebound.,50,73
6:23,2110,Thatch Unruh missed Three Point Jumper.,50,73
6:23,2546,Antonius Cleveland Defensive Rebound.,50,73
6:18,2546,Antonius Cleveland Turnover.,50,73
6:16,2110,Darraja Parnell Steal.,50,73
6:09,2110,Derreck Brooks missed Jumper.,50,73
6:09,2546,Denzel Mahoney Defensive Rebound.,50,73
5:47,2546,Trey Kellum made Jumper. Assisted by Jamaal Calvin.,50,75
5:31,2546,Foul on Denzel Mahoney.,50,75
5:31,2110,Darraja Parnell made Free Throw.,51,75
5:31,2110,Darraja Parnell made Free Throw.,52,75
5:08,2546,Tahj Eaddy made Three Point Jumper. Assisted by Daniel Simmons.,52,78
4:42,2110,Darraja Parnell missed Jumper.,52,78
4:42,2546,Trey Kellum Defensive Rebound.,52,78
4:28,2546,Tahj Eaddy Turnover.,52,78
4:28,2110,Darraja Parnell Steal.,52,78
4:25,2110,Jordan Howard made Layup. Assisted by Darraja Parnell.,54,78
4:05,2546,Antonius Cleveland Turnover.,54,78
4:03,2110,Ethan Lee Steal.,54,78
3:51,2110,Aaron Weidenaar made Three Point Jumper. Assisted by Ethan Lee.,57,78
3:33,2546,Daniel Simmons made Three Point Jumper. Assisted by Antonius Cleveland.,57,81
3:23,2110,Jordan Howard made Layup.,59,81
3:12,2546,SE Missouri St  Timeout,59,81
3:12,2546,SE Missouri St  Timeout,59,81
2:54,2546,Tahj Eaddy made Three Point Jumper. Assisted by Eli Sample.,59,84
2:36,2110,Aaron Weidenaar Turnover.,59,84
2:35,2546,Milos Vranes Steal.,59,84
2:32,2546,Daniel Simmons missed Three Point Jumper.,59,84
2:32,2546,Tahj Eaddy Offensive Rebound.,59,84
2:28,2546,Tahj Eaddy missed Jumper.,59,84
2:28,2110,Tanner Schmit Defensive Rebound.,59,84
2:23,2110,Jeff Lowery missed Jumper.,59,84
2:23,2546,William Tchiengang Defensive Rebound.,59,84
2:04,2546,Tahj Eaddy Turnover.,59,84
2:03,2110,Jeff Lowery Steal.,59,84
1:45,2110,Otas Iyekekpolor made Jumper.,61,84
1:21,2546,William Tchiengang Turnover.,61,84
1:21,2110,Darraja Parnell Steal.,61,84
1:11,2110,Otas Iyekekpolor made Jumper. Assisted by Darraja Parnell.,63,84
0:55,2546,Eli Sample made Three Point Jumper. Assisted by Daniel Simmons.,63,87
0:38,2110,Darraja Parnell missed Jumper.,63,87
0:38,2546,Milos Vranes Defensive Rebound.,63,87
0:30,2546,Milos Vranes missed Three Point Jumper.,63,87
0:30,2546,Tahj Eaddy Offensive Rebound.,63,87
0:00,2546,SE Missouri St  Turnover.,63,87
0:00,2546,End of Game,63,87
