Oral Roberts,2473,Oakland,198
12:37,2473,Nick Daniels Steal.,12,13
12:36,2473,Nick Daniels made Layup.,12,15
12:15,198,Albert Owens made Jumper.,14,15
12:03,2473,Nick Daniels missed Three Point Jumper.,14,15
12:03,198,Albert Owens Defensive Rebound.,14,15
11:42,198,Dezmond McDaniel missed Layup.,14,15
11:42,198,Oral Roberts Offensive Rebound.,14,15
11:39,2473,Official TV Timeout,14,15
11:33,2473,Foul on Isaiah Brock.,14,15
11:33,198,Albert Owens missed Free Throw.,14,15
11:33,198,Oral Roberts Deadball Team Rebound.,14,15
11:33,198,Albert Owens made Free Throw.,15,15
11:19,2473,Martez Walker missed Layup.,15,15
11:19,198,Albert Owens Block.,15,15
11:19,198,Emmanuel Nzekwesi Defensive Rebound.,15,15
11:19,198,Jontray Harris missed Three Point Jumper.,15,15
11:19,198,Emmanuel Nzekwesi Offensive Rebound.,15,15
11:14,2473,Foul on Jalen Hayes.,15,15
10:52,198,Emmanuel Nzekwesi missed Layup.,15,15
10:52,2473,Isaiah Brock Block.,15,15
10:50,198,Emmanuel Nzekwesi Offensive Rebound.,15,15
10:27,198,Albert Owens Turnover.,15,15
10:26,2473,Stevie Clark Steal.,15,15
10:24,2473,Jalen Hayes made Layup. Assisted by Stevie Clark.,15,17
10:24,198,Foul on Kris Martin.,15,17
10:24,2473,Jalen Hayes made Free Throw.,15,18
10:07,198,Emmanuel Nzekwesi Turnover.,15,18
10:06,2473,Stevie Clark Steal.,15,18
10:04,2473,Stevie Clark made Layup.,15,20
9:48,2473,Foul on Martez Walker.,15,20
9:35,2473,Foul on Isaiah Brock.,15,20
9:35,198,Albert Owens made Free Throw.,16,20
9:35,198,Albert Owens made Free Throw.,17,20
9:24,2473,Brad Brechting made Layup. Assisted by Sherron Dorsey-Walker.,17,22
9:04,198,Jalen Bradley made Three Point Jumper. Assisted by Jontray Harris.,20,22
8:36,2473,Sherron Dorsey-Walker made Three Point Jumper. Assisted by Stevie Clark.,20,25
8:23,198,Emmanuel Nzekwesi Turnover.,20,25
8:22,2473,Sherron Dorsey-Walker Steal.,20,25
8:20,2473,Sherron Dorsey-Walker made Dunk.,20,27
8:20,198,Foul on Emmanuel Nzekwesi.,20,27
8:20,2473,Sherron Dorsey-Walker made Free Throw.,20,28
8:02,198,Albert Owens made Jumper. Assisted by Jalen Bradley.,22,28
7:50,2473,Brad Brechting missed Layup.,22,28
7:50,2473,Nick Daniels Offensive Rebound.,22,28
7:43,2473,Sherron Dorsey-Walker missed Three Point Jumper.,22,28
7:43,198,Oral Roberts Defensive Rebound.,22,28
7:40,2473,Official TV Timeout,22,28
7:17,2473,Foul on Brad Brechting.,22,28
7:17,198,Chris Miller made Free Throw.,23,28
7:17,198,Chris Miller made Free Throw.,24,28
7:03,2473,Sherron Dorsey-Walker made Layup.,24,30
6:48,198,Chris Miller missed Jumper.,24,30
6:48,2473,Nick Daniels Defensive Rebound.,24,30
6:38,2473,Jalen Hayes made Three Point Jumper. Assisted by Brailen Neely.,24,33
6:34,198,Oral Roberts  Timeout,24,33
6:07,198,Chris Miller Turnover.,24,33
6:05,2473,Jalen Hayes Steal.,24,33
6:01,2473,Sherron Dorsey-Walker missed Jumper.,24,33
6:01,198,Albert Owens Defensive Rebound.,24,33
5:35,198,Chris Miller missed Layup.,24,33
5:35,2473,Jalen Hayes Defensive Rebound.,24,33
5:27,2473,Jalen Hayes made Layup. Assisted by Brailen Neely.,24,35
5:27,198,Foul on Chris Miller.,24,35
5:27,2473,Jalen Hayes made Free Throw.,24,36
5:14,198,Albert Owens made Jumper. Assisted by Jalen Bradley.,26,36
4:50,2473,Brad Brechting missed Jumper.,26,36
4:50,2473,Brad Brechting Offensive Rebound.,26,36
4:46,2473,Brad Brechting missed Layup.,26,36
4:46,198,Emmanuel Nzekwesi Defensive Rebound.,26,36
4:39,198,Albert Owens missed Layup.,26,36
4:39,2473,Brad Brechting Defensive Rebound.,26,36
4:29,2473,Brailen Neely missed Jumper.,26,36
4:29,198,Jalen Bradley Defensive Rebound.,26,36
4:22,198,Aaron Young missed Three Point Jumper.,26,36
4:22,2473,Brad Brechting Defensive Rebound.,26,36
4:16,198,Foul on Aaron Young.,26,36
4:16,2473,Jalen Hayes made Free Throw.,26,37
4:16,2473,Jalen Hayes made Free Throw.,26,38
4:02,198,Emmanuel Nzekwesi Turnover.,26,38
4:00,2473,Stevie Clark Steal.,26,38
3:57,2473,Stevie Clark made Layup.,26,40
3:50,198,Jalen Bradley Turnover.,26,40
3:49,2473,Stevie Clark Steal.,26,40
3:42,2473,Xavier Hill-Mais Turnover.,26,40
3:36,198,Chris Miller Turnover.,26,40
3:36,198,Foul on Chris Miller.,26,40
3:18,198,Foul on Emmanuel Nzekwesi.,26,40
3:18,2473,Jaevin Cumberland made Free Throw.,26,41
3:18,2473,Jaevin Cumberland missed Free Throw.,26,41
3:18,198,Chris Miller Defensive Rebound.,26,41
2:54,198,Albert Owens missed Three Point Jumper.,26,41
2:54,2473,Xavier Hill-Mais Defensive Rebound.,26,41
2:46,2473,Brad Brechting made Layup. Assisted by Stevie Clark.,26,43
2:22,198,Albert Owens missed Jumper.,26,43
2:22,198,Chris Miller Offensive Rebound.,26,43
2:15,198,Albert Owens made Jumper.,28,43
2:00,2473,Martez Walker Turnover.,28,43
2:00,2473,Foul on Martez Walker.,28,43
1:48,198,Aaron Young made Three Point Jumper. Assisted by Darian Harris.,31,43
1:20,198,Foul on Darian Harris.,31,43
1:20,2473,Brad Brechting made Free Throw.,31,44
1:20,2473,Brad Brechting made Free Throw.,31,45
1:07,198,Chris Miller Turnover.,31,45
0:52,2473,Stevie Clark made Three Point Jumper. Assisted by Sherron Dorsey-Walker.,31,48
0:37,198,Albert Owens missed Layup.,31,48
0:37,2473,Brad Brechting Block.,31,48
0:34,2473,Chris Palombizio Defensive Rebound.,31,48
0:29,2473,Xavier Hill-Mais made Layup. Assisted by Stevie Clark.,31,50
0:06,198,Jalen Bradley missed Three Point Jumper.,31,50
0:06,2473,Xavier Hill-Mais Defensive Rebound.,31,50
0:00,2473,End of 1st half,31,50
19:50,2473,Isaiah Brock made Dunk. Assisted by Stevie Clark.,31,52
19:32,198,Albert Owens made Jumper. Assisted by Emmanuel Nzekwesi.,33,52
19:17,2473,Stevie Clark Turnover.,33,52
19:09,198,Emmanuel Nzekwesi missed Three Point Jumper.,33,52
19:09,2473,Sherron Dorsey-Walker Defensive Rebound.,33,52
18:57,2473,Jalen Hayes missed Jumper.,33,52
18:57,198,Albert Owens Defensive Rebound.,33,52
18:47,198,Aaron Young missed Jumper.,33,52
18:47,2473,Isaiah Brock Block.,33,52
18:47,198,Oral Roberts Offensive Rebound.,33,52
18:39,198,Albert Owens missed Jumper.,33,52
18:39,2473,Jalen Hayes Defensive Rebound.,33,52
18:29,2473,Martez Walker Turnover.,33,52
18:29,2473,Foul on Martez Walker.,33,52
18:15,198,Kris Martin missed Jumper.,33,52
18:15,2473,Isaiah Brock Defensive Rebound.,33,52
18:08,2473,Nick Daniels missed Three Point Jumper.,33,52
18:08,2473,Isaiah Brock Offensive Rebound.,33,52
18:02,2473,Isaiah Brock Turnover.,33,52
18:00,198,Kris Martin Steal.,33,52
17:57,198,Emmanuel Nzekwesi missed Jumper.,33,52
17:57,2473,Isaiah Brock Block.,33,52
17:55,2473,Sherron Dorsey-Walker Defensive Rebound.,33,52
17:52,198,Foul on Jalen Bradley.,33,52
17:52,2473,Sherron Dorsey-Walker made Free Throw.,33,53
17:52,2473,Sherron Dorsey-Walker made Free Throw.,33,54
17:40,2473,Foul on Isaiah Brock.,33,54
17:36,198,Kris Martin Turnover.,33,54
17:34,2473,Brad Brechting Steal.,33,54
17:31,2473,Nick Daniels missed Three Point Jumper.,33,54
17:31,198,Emmanuel Nzekwesi Defensive Rebound.,33,54
17:27,198,Aaron Young Turnover.,33,54
17:27,2473,Stevie Clark Steal.,33,54
17:10,2473,Jalen Hayes made Layup. Assisted by Stevie Clark.,33,56
16:51,198,Emmanuel Nzekwesi Turnover.,33,56
16:38,198,Foul on Aaron Young.,33,56
16:38,2473,Jalen Hayes made Free Throw.,33,57
16:38,2473,Sherron Dorsey-Walker made Free Throw.,33,58
16:22,198,Jalen Bradley missed Jumper.,33,58
16:22,198,Emmanuel Nzekwesi Offensive Rebound.,33,58
16:18,198,Emmanuel Nzekwesi made Layup.,35,58
16:11,2473,Sherron Dorsey-Walker made Three Point Jumper.,35,61
16:03,198,Jalen Bradley missed Layup.,35,61
16:03,198,Albert Owens Offensive Rebound.,35,61
15:55,198,Albert Owens made Layup.,37,61
15:53,198,Foul on Kris Martin.,37,61
15:53,2473,Official TV Timeout,37,61
15:52,2473,Sherron Dorsey-Walker missed Three Point Jumper.,37,61
15:52,198,Darian Harris Defensive Rebound.,37,61
15:33,198,Emmanuel Nzekwesi Turnover.,37,61
15:14,2473,Nick Daniels missed Three Point Jumper.,37,61
15:14,2473,Jalen Hayes Offensive Rebound.,37,61
15:07,2473,Jalen Hayes made Layup.,37,63
14:56,198,Albert Owens missed Jumper.,37,63
14:56,198,Emmanuel Nzekwesi Offensive Rebound.,37,63
14:52,198,Emmanuel Nzekwesi missed Layup.,37,63
14:52,198,Emmanuel Nzekwesi Offensive Rebound.,37,63
14:50,198,Emmanuel Nzekwesi made Layup.,39,63
14:50,2473,Foul on Jalen Hayes.,39,63
14:50,198,Emmanuel Nzekwesi missed Free Throw.,39,63
14:50,2473,Jalen Hayes Defensive Rebound.,39,63
14:33,2473,Sherron Dorsey-Walker made Three Point Jumper.,39,66
14:16,198,Emmanuel Nzekwesi Turnover.,39,66
14:16,198,Foul on Emmanuel Nzekwesi.,39,66
13:59,198,Foul on Chris Miller.,39,66
13:58,2473,Sherron Dorsey-Walker made Three Point Jumper. Assisted by Stevie Clark.,39,69
13:39,198,Dezmond McDaniel made Three Point Jumper. Assisted by Jalen Bradley.,42,69
13:15,2473,Jalen Hayes made Layup. Assisted by Stevie Clark.,42,71
12:55,198,Chris Miller made Jumper. Assisted by Jalen Bradley.,44,71
12:34,2473,Stevie Clark made Three Point Jumper. Assisted by Sherron Dorsey-Walker.,44,74
12:17,198,Dezmond McDaniel Turnover.,44,74
12:15,2473,Jalen Hayes Steal.,44,74
12:12,2473,Sherron Dorsey-Walker made Three Point Jumper. Assisted by Stevie Clark.,44,77
11:52,2473,Foul on Jalen Hayes.,44,77
11:52,2473,Official TV Timeout,44,77
11:43,198,Albert Owens missed Jumper.,44,77
11:43,2473,Isaiah Brock Defensive Rebound.,44,77
11:15,2473,Jaevin Cumberland missed Three Point Jumper.,44,77
11:15,198,Kris Martin Defensive Rebound.,44,77
10:55,198,Albert Owens missed Jumper.,44,77
10:55,2473,Xavier Hill-Mais Defensive Rebound.,44,77
10:46,2473,Brailen Neely made Three Point Jumper. Assisted by Martez Walker.,44,80
10:28,198,Kris Martin Turnover.,44,80
10:28,198,Foul on Kris Martin.,44,80
9:57,2473,Martez Walker missed Three Point Jumper.,44,80
9:57,198,Albert Owens Defensive Rebound.,44,80
9:47,198,Albert Owens made Layup. Assisted by Emmanuel Nzekwesi.,46,80
9:33,2473,Jaevin Cumberland made Three Point Jumper. Assisted by Brailen Neely.,46,83
9:24,2473,Foul on Jaevin Cumberland.,46,83
9:19,2473,Foul on Jaevin Cumberland.,46,83
9:15,198,Jalen Bradley made Layup.,48,83
8:58,2473,Isaiah Brock made Layup. Assisted by Xavier Hill-Mais.,48,85
8:39,198,Dezmond McDaniel made Three Point Jumper. Assisted by Emmanuel Nzekwesi.,51,85
8:32,2473,Chris Palombizio missed Three Point Jumper.,51,85
8:32,198,Albert Owens Defensive Rebound.,51,85
8:18,198,Albert Owens missed Jumper.,51,85
8:18,2473,Xavier Hill-Mais Defensive Rebound.,51,85
7:56,2473,Xavier Hill-Mais missed Jumper.,51,85
7:56,198,Albert Owens Defensive Rebound.,51,85
7:50,198,Jalen Bradley missed Jumper.,51,85
7:50,198,Oral Roberts Offensive Rebound.,51,85
7:46,2473,Official TV Timeout,51,85
7:35,198,Chris Miller missed Layup.,51,85
7:35,2473,Jaevin Cumberland Defensive Rebound.,51,85
7:27,198,Foul on Aaron Young.,51,85
7:27,2473,Xavier Hill-Mais missed Free Throw.,51,85
7:27,198,Jalen Bradley Defensive Rebound.,51,85
7:20,198,Aaron Young missed Three Point Jumper.,51,85
7:20,2473,Brad Brechting Defensive Rebound.,51,85
6:58,2473,Xavier Hill-Mais Turnover.,51,85
6:53,198,Emmanuel Nzekwesi Steal.,51,85
6:53,198,Emmanuel Nzekwesi Turnover.,51,85
6:53,2473,Jaevin Cumberland Steal.,51,85
6:53,198,Foul on Emmanuel Nzekwesi.,51,85
6:53,2473,Xavier Hill-Mais missed Free Throw.,51,85
6:53,198,Jalen Bradley Defensive Rebound.,51,85
6:44,198,Jalen Bradley made Layup.,53,85
6:22,2473,Xavier Hill-Mais made Three Point Jumper. Assisted by Chris Palombizio.,53,88
5:57,198,Albert Owens missed Three Point Jumper.,53,88
5:57,2473,Xavier Hill-Mais Defensive Rebound.,53,88
5:42,2473,Brad Brechting missed Jumper.,53,88
5:42,198,Jalen Bradley Defensive Rebound.,53,88
5:34,198,Jalen Bradley made Jumper.,55,88
5:14,2473,Brad Brechting missed Layup.,55,88
5:14,198,Albert Owens Block.,55,88
5:12,198,Chris Miller Defensive Rebound.,55,88
5:05,198,Albert Owens missed Jumper.,55,88
5:05,2473,Jaevin Cumberland Defensive Rebound.,55,88
4:59,2473,Jaevin Cumberland Turnover.,55,88
4:58,198,Albert Owens Steal.,55,88
4:55,198,Dezmond McDaniel missed Three Point Jumper.,55,88
4:55,2473,Chris Palombizio Defensive Rebound.,55,88
4:38,2473,Brailen Neely missed Layup.,55,88
4:38,198,Jalen Bradley Defensive Rebound.,55,88
4:31,198,Aaron Young made Three Point Jumper. Assisted by Dezmond McDaniel.,58,88
4:09,2473,Xavier Hill-Mais missed Three Point Jumper.,58,88
4:09,198,Albert Owens Defensive Rebound.,58,88
3:58,198,Chris Miller missed Jumper.,58,88
3:58,2473,Brad Brechting Defensive Rebound.,58,88
3:52,198,Foul on Chris Miller.,58,88
3:52,2473,Brad Brechting made Free Throw.,58,89
3:52,2473,Brad Brechting made Free Throw.,58,90
3:37,198,Jalen Bradley missed Jumper.,58,90
3:33,2473,Oakland Defensive Rebound.,58,90
3:24,2473,Foul on Brad Brechting.,58,90
3:24,198,Aaron Anderson Turnover.,58,90
3:05,198,Aaron Young made Jumper. Assisted by Jalen Bradley.,60,90
2:49,2473,Brailen Neely missed Three Point Jumper.,60,90
2:49,198,Oral Roberts Defensive Rebound.,60,90
2:22,198,Chris Miller missed Layup.,60,90
2:22,2473,Brailen Neely Defensive Rebound.,60,90
2:13,2473,Chris Palombizio missed Layup.,60,90
2:13,2473,Nick Daniels Offensive Rebound.,60,90
1:55,2473,Brad Brechting missed Jumper.,60,90
1:55,198,Dezmond McDaniel Defensive Rebound.,60,90
1:36,198,Jalen Bradley made Jumper.,62,90
1:15,2473,Chris Palombizio made Layup.,62,92
0:50,198,Chris Miller missed Jumper.,62,92
0:50,2473,Brad Brechting Defensive Rebound.,62,92
0:41,2473,Brailen Neely missed Three Point Jumper.,62,92
0:41,198,Dezmond McDaniel Defensive Rebound.,62,92
0:32,198,Albert Owens made Layup. Assisted by Dezmond McDaniel.,64,92
0:00,2473,Brailen Neely Turnover.,64,92
0:00,2473,End of Game,64,92
