LSU Shreveport,Error,Northwestern State,2466
6:54,2466,Josh Boyd missed Layup.,17,19
6:54,-1,David Holmes Defensive Rebound.,17,19
6:40,2466,Foul on Tanner Hamilton.,17,19
6:40,-1,Tyrell Springer made Free Throw.,18,19
6:40,-1,Tyrell Springer made Free Throw.,19,19
6:26,-1,Foul on Tyrell Springer.,19,19
6:26,2466,Josh Boyd made Free Throw.,19,20
6:26,2466,Josh Boyd made Free Throw.,19,21
6:08,-1,CJ McGill missed Jumper.,19,21
6:08,2466,Malik Metoyer Defensive Rebound.,19,21
5:57,2466,Iziahiah Sweeney missed Layup.,19,21
5:57,2466,Iziahiah Sweeney Offensive Rebound.,19,21
5:52,2466,Iziahiah Sweeney missed Layup.,19,21
5:52,-1,Louisiana State Shreveport Defensive Rebound.,19,21
5:31,-1,David Holmes Turnover.,19,21
5:21,2466,Josh Boyd Turnover.,19,21
5:20,-1,Josh Walker Steal.,19,21
5:15,-1,Rashard Owens made Layup. Assisted by Tyrell Springer.,21,21
4:59,2466,Bailey Walker missed Layup.,21,21
4:59,2466,Malik Metoyer Offensive Rebound.,21,21
4:54,2466,Malik Metoyer missed Layup.,21,21
4:54,-1,Louisiana State Shreveport Defensive Rebound.,21,21
4:48,-1,Rashard Owens made Three Point Jumper. Assisted by Tyrell Springer.,24,21
4:28,2466,Josh Boyd made Three Point Jumper.,24,24
4:16,2466,Foul on Bailey Walker.,24,24
4:14,-1,Rashard Owens Turnover.,24,24
4:06,-1,Foul on Tyrell Springer.,24,24
3:50,-1,Foul on Uzonna Akazi.,24,24
3:50,2466,Official TV Timeout,24,24
3:50,2466,Ishmael Lane missed Free Throw.,24,24
3:50,2466,Northwestern St Deadball Team Rebound.,24,24
3:50,2466,Ishmael Lane made Free Throw.,24,25
3:30,2466,Foul on Tra'von Joseph.,24,25
3:30,-1,Uzonna Akazi made Free Throw.,25,25
3:30,-1,Uzonna Akazi made Free Throw.,26,25
3:24,2466,Sabri Thompson made Three Point Jumper.,26,28
3:10,-1,Bj Batts missed Three Point Jumper.,26,28
3:10,2466,Tra'von Joseph Defensive Rebound.,26,28
2:58,2466,Ishmael Lane missed Layup.,26,28
2:58,2466,Ishmael Lane Offensive Rebound.,26,28
2:55,2466,Ishmael Lane made Layup.,26,30
2:46,-1,CJ McGill missed Three Point Jumper.,26,30
2:46,2466,Sabri Thompson Defensive Rebound.,26,30
2:27,2466,Ishmael Lane Turnover.,26,30
2:20,-1,Josh Walker missed Layup.,26,30
2:20,2466,Ishmael Lane Block.,26,30
2:18,2466,Tra'von Joseph Defensive Rebound.,26,30
2:13,-1,Foul on Rashard Owens.,26,30
2:13,2466,Devonte Hall made Free Throw.,26,31
2:13,2466,Devonte Hall made Free Throw.,26,32
2:01,2466,Foul on Zeek Woodley.,26,32
2:01,-1,Josh Walker made Free Throw.,27,32
2:01,-1,Josh Walker missed Free Throw.,27,32
2:01,2466,Northwestern St Defensive Rebound.,27,32
1:41,2466,Zeek Woodley missed Jumper.,27,32
1:41,2466,Sabri Thompson Offensive Rebound.,27,32
1:37,-1,Foul on Uzonna Akazi.,27,32
1:37,2466,Tra'von Joseph made Free Throw.,27,33
1:37,2466,Tra'von Joseph made Free Throw.,27,34
1:20,-1,David Holmes missed Jumper.,27,34
1:20,-1,Louisiana State Shreveport Offensive Rebound.,27,34
1:12,-1,Bj Batts Turnover.,27,34
1:10,2466,Devonte Hall Steal.,27,34
1:08,2466,Sabri Thompson made Layup.,27,36
0:37,-1,David Holmes missed Jumper.,27,36
0:37,2466,Ishmael Lane Defensive Rebound.,27,36
0:31,2466,Sabri Thompson made Layup. Assisted by Tra'von Joseph.,27,38
0:27,-1,Louisiana State Shreveport  Timeout,27,38
0:00,-1,CJ McGill missed Three Point Jumper.,27,38
0:00,-1,Josh Walker Offensive Rebound.,27,38
0:00,-1,Josh Walker missed Layup.,27,38
0:00,2466,Northwestern St Defensive Rebound.,27,38
0:00,2466,End of 1st half,27,38
19:51,-1,Uzonna Akazi missed Jumper.,27,38
19:51,2466,Tra'von Joseph Defensive Rebound.,27,38
19:35,-1,Foul on Josh Walker.,27,38
19:33,2466,Zeek Woodley made Dunk. Assisted by Devonte Hall.,27,40
19:03,-1,Tyrell Springer made Jumper.,29,40
18:52,2466,Sabri Thompson made Three Point Jumper. Assisted by Tra'von Joseph.,29,43
18:36,2466,Foul on Zeek Woodley.,29,43
18:24,-1,Tyrell Springer missed Three Point Jumper.,29,43
18:24,2466,Sabri Thompson Defensive Rebound.,29,43
18:11,-1,Foul on Uzonna Akazi.,29,43
18:11,2466,Devonte Hall made Free Throw.,29,44
18:11,2466,Devonte Hall made Free Throw.,29,45
18:02,-1,Tyrell Springer Turnover.,29,45
17:54,2466,Ishmael Lane missed Jumper.,29,45
17:54,-1,Josh Walker Defensive Rebound.,29,45
17:51,2466,Foul on Tra'von Joseph.,29,45
17:38,-1,Uzonna Akazi Turnover.,29,45
17:36,2466,Devonte Hall Steal.,29,45
17:35,2466,Devonte Hall made Layup.,29,47
17:29,-1,Bj Batts made Jumper. Assisted by Tyrell Springer.,31,47
17:15,2466,Tra'von Joseph made Layup. Assisted by Devonte Hall.,31,49
16:53,-1,Bj Batts missed Three Point Jumper.,31,49
16:53,-1,Rashard Owens Offensive Rebound.,31,49
16:50,-1,Rashard Owens missed Layup.,31,49
16:50,2466,Ishmael Lane Defensive Rebound.,31,49
16:45,2466,Sabri Thompson missed Layup.,31,49
16:45,2466,Zeek Woodley Offensive Rebound.,31,49
16:39,2466,Zeek Woodley made Layup.,31,51
16:35,-1,Rashard Owens made Layup. Assisted by Tyrell Springer.,33,51
16:32,-1,Louisiana State Shreveport  Timeout,33,51
16:30,2466,Devonte Hall Turnover.,33,51
16:28,-1,Josh Walker Steal.,33,51
15:59,-1,Bj Batts made Jumper. Assisted by Tyrell Springer.,35,51
15:59,2466,Devonte Hall missed Three Point Jumper.,35,51
15:59,-1,Louisiana State Shreveport Defensive Rebound.,35,51
15:54,-1,Tyrell Springer made Layup.,37,51
15:53,2466,Foul on Bailey Walker.,37,51
15:49,-1,Tyrell Springer made Free Throw.,38,51
15:33,-1,Foul on Bj Batts.,38,51
15:29,-1,Foul on David Holmes.,38,51
15:29,2466,Malik Metoyer made Free Throw.,38,52
15:29,2466,Malik Metoyer missed Free Throw.,38,52
15:29,2466,Tanner Hamilton Offensive Rebound.,38,52
15:29,2466,Tanner Hamilton made Layup.,38,54
15:20,-1,Bj Batts made Three Point Jumper. Assisted by David Holmes.,41,54
15:07,2466,Josh Boyd missed Three Point Jumper.,41,54
15:07,2466,Bailey Walker Offensive Rebound.,41,54
15:03,2466,Bailey Walker missed Layup.,41,54
15:03,-1,David Holmes Block.,41,54
15:01,2466,Tanner Hamilton Offensive Rebound.,41,54
14:51,2466,Josh Boyd made Layup.,41,56
14:51,-1,Foul on David Holmes.,41,56
14:47,2466,Josh Boyd missed Free Throw.,41,56
14:47,-1,David Holmes Defensive Rebound.,41,56
14:31,-1,Rashard Owens made Three Point Jumper. Assisted by Tyrell Springer.,44,56
14:13,2466,Bailey Walker missed Layup.,44,56
14:13,2466,Malik Metoyer Offensive Rebound.,44,56
14:11,-1,Foul on Josh Walker.,44,56
14:10,2466,Iziahiah Sweeney made Layup. Assisted by Josh Boyd.,44,58
13:56,-1,David Holmes missed Layup.,44,58
13:56,2466,Reginald Kissoonlal Defensive Rebound.,44,58
13:50,2466,Bailey Walker Turnover.,44,58
13:49,-1,Tyrell Springer Steal.,44,58
13:46,-1,Tyrell Springer missed Layup.,44,58
13:46,-1,Rashard Owens Offensive Rebound.,44,58
13:41,-1,Tyrell Springer made Layup.,46,58
13:24,2466,Iziahiah Sweeney Turnover.,46,58
13:02,-1,Tyrell Springer made Layup.,48,58
12:31,2466,Iziahiah Sweeney missed Layup.,48,58
12:31,2466,Malik Metoyer Offensive Rebound.,48,58
12:27,2466,Malik Metoyer Turnover.,48,58
12:25,-1,Tyrell Springer Steal.,48,58
12:19,-1,Bj Batts missed Three Point Jumper.,48,58
12:19,2466,Malik Metoyer Defensive Rebound.,48,58
12:06,2466,Reginald Kissoonlal missed Three Point Jumper.,48,58
12:06,2466,Bailey Walker Offensive Rebound.,48,58
11:42,2466,Bailey Walker missed Three Point Jumper.,48,58
11:42,2466,Reginald Kissoonlal Offensive Rebound.,48,58
11:38,2466,Reginald Kissoonlal made Layup.,48,60
11:36,-1,Foul on Josh Walker.,48,60
11:36,2466,Official TV Timeout,48,60
11:36,2466,Reginald Kissoonlal missed Free Throw.,48,60
11:36,-1,Bj Batts Defensive Rebound.,48,60
11:27,-1,Tyrell Springer made Three Point Jumper.,51,60
11:12,2466,Tra'von Joseph made Layup. Assisted by Zeek Woodley.,51,62
10:59,-1,Tyrell Springer made Layup.,53,62
10:48,2466,Sabri Thompson missed Three Point Jumper.,53,62
10:48,2466,Devonte Hall Offensive Rebound.,53,62
10:43,-1,Foul on Greg Pollins.,53,62
10:43,2466,Devonte Hall missed Free Throw.,53,62
10:43,2466,Sabri Thompson Offensive Rebound.,53,62
10:43,2466,Devonte Hall missed Layup.,53,62
10:43,-1,Tyrell Springer Defensive Rebound.,53,62
10:42,2466,Foul on Tra'von Joseph.,53,62
10:34,-1,Tyrell Springer made Free Throw.,54,62
10:13,-1,Tyrell Springer missed Free Throw.,54,62
10:13,2466,Tra'von Joseph Defensive Rebound.,54,62
9:42,2466,Zeek Woodley missed Three Point Jumper.,54,62
9:42,2466,Sabri Thompson Offensive Rebound.,54,62
9:40,-1,Foul on Greg Pollins.,54,62
9:40,2466,Sabri Thompson missed Free Throw.,54,62
9:40,2466,Tra'von Joseph Offensive Rebound.,54,62
9:39,2466,Sabri Thompson Turnover.,54,62
9:37,-1,David Holmes made Layup. Assisted by Tyrell Springer.,56,62
9:17,2466,Devonte Hall missed Jumper.,56,62
9:17,2466,Zeek Woodley Offensive Rebound.,56,62
9:10,2466,Iziahiah Sweeney missed Layup.,56,62
9:10,-1,Rashard Owens Defensive Rebound.,56,62
9:01,-1,Tyrell Springer missed Three Point Jumper.,56,62
9:01,2466,Ishmael Lane Defensive Rebound.,56,62
8:50,2466,Ishmael Lane made Layup. Assisted by Devonte Hall.,56,64
8:50,-1,Foul on Tyrell Springer.,56,64
8:50,2466,Ishmael Lane made Free Throw.,56,65
8:50,2466,Northwestern St  Timeout,56,65
8:33,-1,Josh Walker made Layup.,58,65
8:19,2466,Sabri Thompson Turnover.,58,65
8:18,-1,David Holmes Steal.,58,65
8:16,2466,Foul on Devonte Hall.,58,65
8:16,-1,Josh Walker missed Free Throw.,58,65
8:16,-1,Louisiana State Shreveport Deadball Team Rebound.,58,65
8:16,-1,Josh Walker missed Free Throw.,58,65
8:16,2466,Malik Metoyer Defensive Rebound.,58,65
8:16,2466,Tra'von Joseph made Layup. Assisted by Devonte Hall.,58,67
8:03,-1,David Holmes made Jumper.,60,67
7:49,2466,Iziahiah Sweeney made Jumper.,60,69
7:25,-1,CJ McGill missed Jumper.,60,69
7:25,2466,Devonte Hall Defensive Rebound.,60,69
7:15,2466,Zeek Woodley made Layup. Assisted by Devonte Hall.,60,71
7:15,-1,Foul on David Holmes.,60,71
7:05,2466,Zeek Woodley missed Free Throw.,60,71
7:05,-1,Bj Batts Defensive Rebound.,60,71
6:44,-1,Rashard Owens missed Three Point Jumper.,60,71
6:44,2466,Tra'von Joseph Defensive Rebound.,60,71
6:18,-1,Foul on Uzonna Akazi.,60,71
6:18,2466,Malik Metoyer made Free Throw.,60,72
6:18,2466,Malik Metoyer made Free Throw.,60,73
6:00,-1,Uzonna Akazi missed Layup.,60,73
6:00,2466,Malik Metoyer Block.,60,73
5:59,2466,Tra'von Joseph Offensive Rebound.,60,73
5:29,2466,Josh Boyd Turnover.,60,73
5:19,-1,Tyrell Springer Turnover.,60,73
5:17,2466,Zeek Woodley Steal.,60,73
5:16,2466,Zeek Woodley made Dunk.,60,75
5:04,-1,Rashard Owens made Three Point Jumper. Assisted by Bj Batts.,63,75
4:58,-1,Louisiana State Shreveport  Timeout,63,75
4:44,2466,Josh Boyd Turnover.,63,75
4:31,-1,CJ McGill missed Three Point Jumper.,63,75
4:31,-1,Tyrell Springer Offensive Rebound.,63,75
4:26,-1,Tyrell Springer made Layup.,65,75
4:14,2466,Iziahiah Sweeney made Layup.,65,77
4:06,-1,Bj Batts missed Three Point Jumper.,65,77
4:06,2466,Malik Metoyer Defensive Rebound.,65,77
3:58,2466,Malik Metoyer missed Three Point Jumper.,65,77
3:58,2466,Tra'von Joseph Offensive Rebound.,65,77
3:35,2466,Malik Metoyer Turnover.,65,77
3:34,-1,Tyrell Springer Steal.,65,77
3:22,-1,CJ McGill missed Layup.,65,77
3:22,2466,Tra'von Joseph Defensive Rebound.,65,77
3:16,2466,Northwestern St  Timeout,65,77
3:04,-1,Foul on Malik Andrus.,65,77
3:04,2466,Official TV Timeout,65,77
3:04,2466,Devonte Hall missed Free Throw.,65,77
3:04,2466,Northwestern St Deadball Team Rebound.,65,77
3:04,2466,Devonte Hall made Free Throw.,65,78
2:46,-1,Josh Walker missed Three Point Jumper.,65,78
2:46,2466,Devonte Hall Defensive Rebound.,65,78
2:37,2466,Devonte Hall missed Jumper.,65,78
2:37,-1,Greg Pollins Defensive Rebound.,65,78
2:20,-1,Bj Batts made Three Point Jumper. Assisted by Tyrell Springer.,68,78
2:12,-1,Foul on Greg Pollins.,68,78
2:12,2466,Devonte Hall made Free Throw.,68,79
2:12,2466,Devonte Hall made Free Throw.,68,80
2:04,-1,CJ McGill made Three Point Jumper. Assisted by Tyrell Springer.,71,80
1:51,-1,Foul on Rashard Owens.,71,80
1:50,2466,Devonte Hall missed Free Throw.,71,80
1:50,2466,Northwestern St Deadball Team Rebound.,71,80
1:50,2466,Devonte Hall made Free Throw.,71,81
1:37,-1,Rashard Owens missed Three Point Jumper.,71,81
1:37,2466,Tra'von Joseph Defensive Rebound.,71,81
1:19,2466,Devonte Hall Turnover.,71,81
1:17,-1,Tyrell Springer Steal.,71,81
1:09,-1,Bj Batts missed Three Point Jumper.,71,81
1:09,2466,Zeek Woodley Defensive Rebound.,71,81
0:54,2466,Sabri Thompson made Three Point Jumper.,71,84
0:46,-1,Rashard Owens made Three Point Jumper. Assisted by Bj Batts.,74,84
0:43,-1,Louisiana State Shreveport  Timeout,74,84
0:31,-1,Foul on Bj Batts.,74,84
0:31,2466,Josh Boyd made Free Throw.,74,85
0:31,2466,Josh Boyd made Free Throw.,74,86
0:22,2466,Josh Boyd Turnover.,74,86
0:20,2466,Tanner Hamilton Steal.,74,86
0:17,-1,Foul on Tyrell Springer.,74,86
0:17,2466,Malik Metoyer made Free Throw.,74,87
0:17,2466,Malik Metoyer made Free Throw.,74,88
0:12,-1,Malik Andrus missed Layup.,74,88
0:12,2466,Malik Metoyer Defensive Rebound.,74,88
0:00,2466,End of Game,74,88
