Northwest University,Error,Seattle,2547
7:44,-1,Michael Dupree Defensive Rebound.,26,13
7:28,-1,Dak Shagren missed Three Point Jumper.,26,13
7:28,2547,Aaron Menzies Defensive Rebound.,26,13
7:16,-1,Foul on Justice Martion.,26,13
7:16,2547,Aaron Menzies made Free Throw.,26,14
7:16,2547,Aaron Menzies made Free Throw.,26,15
7:01,-1,Ben Tucakovic missed Three Point Jumper.,26,15
7:01,2547,Seattle Deadball Team Rebound.,26,15
6:59,-1,Foul on Paul Loranger.,26,15
6:48,2547,Emmanuel Chibuogwu missed Three Point Jumper.,26,15
6:48,-1,Michael Dupree Defensive Rebound.,26,15
6:36,-1,Michael Dupree Turnover.,26,15
6:27,2547,Foul on Aaron Menzies.,26,15
6:27,2547,Aaron Menzies Turnover.,26,15
6:17,-1,Ben Tucakovic made Jumper. Assisted by Dak Shagren.,28,15
6:04,2547,Aaron Menzies made Jumper. Assisted by Emmanuel Chibuogwu.,28,17
5:41,-1,Ben Tucakovic made Three Point Jumper. Assisted by Michael Dupree.,31,17
5:18,2547,Aaron Menzies made Jumper.,31,19
5:07,-1,Michael Dupree Turnover.,31,19
4:58,-1,Foul on Paul Loranger.,31,19
4:58,2547,Aaron Menzies made Free Throw.,31,20
4:58,2547,Aaron Menzies made Free Throw.,31,21
4:37,-1,Foul on Tre' Benton.,31,21
4:37,-1,Tre' Benton Turnover.,31,21
4:21,2547,Malik Montoya missed Three Point Jumper.,31,21
4:21,2547,Malik Montoya Offensive Rebound.,31,21
4:18,2547,Aaron Menzies made Layup. Assisted by Malik Montoya.,31,23
3:56,-1,Ben Tucakovic missed Three Point Jumper.,31,23
3:56,2547,Aaron Menzies Defensive Rebound.,31,23
3:38,-1,Foul on Paul Loranger.,31,23
3:38,2547,Official TV Timeout,31,23
3:38,2547,Aaron Menzies made Free Throw.,31,24
3:38,2547,Aaron Menzies missed Free Throw.,31,24
3:38,-1,Ben Tucakovic Defensive Rebound.,31,24
3:23,-1,Justice Martion Turnover.,31,24
3:22,2547,Emmanuel Chibuogwu Steal.,31,24
3:16,2547,Morgan Means made Jumper.,31,26
3:00,-1,Justice Martion missed Jumper.,31,26
3:00,2547,Aaron Menzies Defensive Rebound.,31,26
2:52,2547,Morgan Means Turnover.,31,26
2:51,-1,Michael Dupree Steal.,31,26
2:44,-1,Dak Shagren missed Jumper.,31,26
2:44,-1,Justice Martion Offensive Rebound.,31,26
2:40,-1,Justice Martion made Jumper.,33,26
2:12,2547,Zack Moore missed Layup.,33,26
2:12,2547,Aaron Menzies Offensive Rebound.,33,26
2:10,2547,Aaron Menzies made Jumper.,33,28
1:55,-1,Ben Tucakovic made Three Point Jumper. Assisted by Michael Dupree.,36,28
1:30,2547,Zack Moore Turnover.,36,28
1:29,-1,Justice Martion Steal.,36,28
1:22,-1,Ben Tucakovic Turnover.,36,28
1:09,2547,William Powell made Layup.,36,30
1:09,-1,Foul on Marko Nikolic.,36,30
1:09,2547,William Powell missed Free Throw.,36,30
1:09,2547,Aaron Menzies Offensive Rebound.,36,30
0:51,2547,Morgan Means missed Three Point Jumper.,36,30
0:51,2547,William Powell Offensive Rebound.,36,30
0:48,-1,Foul on Marko Nikolic.,36,30
0:48,2547,William Powell made Free Throw.,36,31
0:48,2547,William Powell made Free Throw.,36,32
0:35,-1,Kaelan Hicks Turnover.,36,32
0:35,2547,Jack Shaughnessy Steal.,36,32
0:09,2547,Brendan Westendorf missed Jumper.,36,32
0:09,-1,Ben Tucakovic Defensive Rebound.,36,32
0:01,-1,Michael Dupree missed Jumper.,36,32
0:01,2547,William Powell Block.,36,32
0:01,-1,Northwest College-Kirkland (WA) Offensive Rebound.,36,32
0:01,-1,Northwest College-Kirkland (WA)  Timeout,36,32
0:00,2547,End of 1st half,36,32
19:49,2547,Aaron Menzies missed Dunk.,36,32
19:49,2547,Aaron Menzies Offensive Rebound.,36,32
19:47,2547,Aaron Menzies missed Layup.,36,32
19:47,2547,Aaron Menzies Offensive Rebound.,36,32
19:44,2547,Aaron Menzies made Layup.,36,34
19:29,-1,Michael Dupree made Three Point Jumper. Assisted by Dak Shagren.,39,34
19:16,2547,Morgan Means made Jumper.,39,36
18:57,-1,Tre' Benton made Jumper.,41,36
18:40,2547,Aaron Menzies made Jumper. Assisted by Emmanuel Chibuogwu.,41,38
18:07,-1,Michael Dupree made Jumper.,43,38
18:01,2547,Brendan Westendorf Turnover.,43,38
18:00,-1,Michael Dupree Steal.,43,38
17:56,-1,Michael Dupree made Layup.,45,38
17:42,2547,Aaron Menzies missed Layup.,45,38
17:42,2547,Aaron Menzies Offensive Rebound.,45,38
17:40,-1,Foul on Justice Martion.,45,38
17:37,2547,William Powell made Layup.,45,40
17:26,-1,Tre' Benton Turnover.,45,40
17:26,2547,Emmanuel Chibuogwu Steal.,45,40
17:06,2547,Emmanuel Chibuogwu made Three Point Jumper. Assisted by Morgan Means.,45,43
16:47,-1,Justice Martion missed Jumper.,45,43
16:47,2547,William Powell Defensive Rebound.,45,43
16:34,2547,Morgan Means made Three Point Jumper. Assisted by Brendan Westendorf.,45,46
16:18,-1,Michael Dupree made Jumper.,47,46
15:54,2547,Morgan Means missed Three Point Jumper.,47,46
15:54,-1,Justice Martion Defensive Rebound.,47,46
15:42,-1,Dak Shagren made Three Point Jumper. Assisted by Justice Martion.,50,46
15:27,2547,Brendan Westendorf missed Jumper.,50,46
15:27,-1,Dak Shagren Block.,50,46
15:26,-1,Dak Shagren Defensive Rebound.,50,46
15:22,-1,Tre' Benton missed Three Point Jumper.,50,46
15:22,2547,Brendan Westendorf Defensive Rebound.,50,46
15:17,-1,Foul on Dak Shagren.,50,46
15:17,2547,Official TV Timeout,50,46
14:57,2547,Morgan Means made Jumper.,50,48
14:45,-1,Dak Shagren missed Three Point Jumper.,50,48
14:45,2547,Brendan Westendorf Defensive Rebound.,50,48
14:38,2547,Malik Montoya made Layup. Assisted by Brendan Westendorf.,50,50
14:30,2547,Foul on Morgan Means.,50,50
14:29,-1,Dak Shagren made Three Point Jumper. Assisted by Michael Dupree.,53,50
14:14,2547,Aaron Menzies missed Jumper.,53,50
14:14,-1,Michael Dupree Block.,53,50
14:13,-1,Dak Shagren Defensive Rebound.,53,50
14:00,-1,Dak Shagren missed Jumper.,53,50
14:00,2547,Aaron Menzies Defensive Rebound.,53,50
13:48,2547,Brendan Westendorf missed Jumper.,53,50
13:48,-1,Michael Dupree Defensive Rebound.,53,50
13:41,-1,Kaelan Hicks Turnover.,53,50
13:39,2547,Malik Montoya Steal.,53,50
13:34,2547,Brendan Westendorf missed Layup.,53,50
13:34,-1,Paul Loranger Defensive Rebound.,53,50
13:30,-1,Paul Loranger Turnover.,53,50
13:29,2547,Brendan Westendorf Steal.,53,50
13:13,2547,Emmanuel Chibuogwu missed Three Point Jumper.,53,50
13:13,2547,Seattle Deadball Team Rebound.,53,50
13:13,-1,Foul on Kaelan Hicks.,53,50
13:11,2547,William Powell made Layup. Assisted by Morgan Means.,53,52
12:56,2547,Foul on Zack Moore.,53,52
12:41,-1,Justice Martion missed Jumper.,53,52
12:41,2547,Emmanuel Chibuogwu Defensive Rebound.,53,52
12:25,2547,Morgan Means Turnover.,53,52
12:24,-1,Dak Shagren Steal.,53,52
12:20,-1,Justice Martion made Layup. Assisted by Dak Shagren.,55,52
12:00,2547,Zack Moore Turnover.,55,52
11:44,-1,Dak Shagren made Three Point Jumper. Assisted by Kaelan Hicks.,58,52
11:21,2547,Morgan Means missed Three Point Jumper.,58,52
11:21,2547,Seattle Offensive Rebound.,58,52
11:18,2547,Official TV Timeout,58,52
11:05,2547,Aaron Menzies missed Jumper.,58,52
11:05,-1,Ben Tucakovic Defensive Rebound.,58,52
10:54,-1,Ben Tucakovic missed Three Point Jumper.,58,52
10:54,-1,Kaelan Hicks Offensive Rebound.,58,52
10:50,-1,Tre' Benton missed Jumper.,58,52
10:50,2547,Aaron Menzies Defensive Rebound.,58,52
10:32,2547,Aaron Menzies missed Jumper.,58,52
10:32,-1,Tre' Benton Defensive Rebound.,58,52
10:07,-1,Ben Tucakovic missed Three Point Jumper.,58,52
10:07,2547,Morgan Means Defensive Rebound.,58,52
9:49,-1,Foul on Ben Tucakovic.,58,52
9:49,2547,William Powell made Free Throw.,58,53
9:49,2547,William Powell missed Free Throw.,58,53
9:49,-1,Tre' Benton Defensive Rebound.,58,53
9:38,-1,Paul Loranger made Jumper. Assisted by Tre' Benton.,60,53
9:21,-1,Foul on Michael Dupree.,60,53
9:21,2547,William Powell missed Free Throw.,60,53
9:21,2547,Seattle Deadball Team Rebound.,60,53
9:21,2547,William Powell made Free Throw.,60,54
9:00,2547,Foul on Zack Moore.,60,54
8:46,-1,Paul Loranger missed Jumper.,60,54
8:46,2547,William Powell Defensive Rebound.,60,54
8:26,2547,William Powell made Layup.,60,56
8:26,-1,Foul on Justice Martion.,60,56
8:26,2547,William Powell made Free Throw.,60,57
8:10,-1,Michael Dupree missed Jumper.,60,57
8:10,2547,Scott Ulaneo Defensive Rebound.,60,57
7:52,2547,William Powell Turnover.,60,57
7:52,2547,Official TV Timeout,60,57
7:41,-1,Paul Loranger missed Layup.,60,57
7:41,-1,Paul Loranger Offensive Rebound.,60,57
7:40,2547,Foul on Emmanuel Chibuogwu.,60,57
7:40,-1,Paul Loranger missed Free Throw.,60,57
7:40,-1,Northwest College-Kirkland (WA) Deadball Team Rebound.,60,57
7:40,-1,Paul Loranger made Free Throw.,61,57
7:24,2547,Morgan Means made Three Point Jumper. Assisted by William Powell.,61,60
6:53,-1,Tre' Benton missed Three Point Jumper.,61,60
6:53,2547,Morgan Means Defensive Rebound.,61,60
6:41,-1,Foul on Tre' Benton.,61,60
6:41,2547,Morgan Means made Free Throw.,61,61
6:41,2547,Morgan Means missed Free Throw.,61,61
6:41,2547,Brendan Westendorf Offensive Rebound.,61,61
6:35,2547,Brendan Westendorf missed Three Point Jumper.,61,61
6:35,-1,Ben Tucakovic Defensive Rebound.,61,61
6:09,-1,Michael Dupree Turnover.,61,61
6:09,2547,Aaron Menzies Steal.,61,61
5:47,2547,Aaron Menzies made Dunk. Assisted by Morgan Means.,61,63
5:36,-1,Northwest College-Kirkland (WA)  Timeout,61,63
5:22,-1,Ben Tucakovic missed Jumper.,61,63
5:22,2547,Morgan Means Defensive Rebound.,61,63
5:06,2547,William Powell Turnover.,61,63
4:48,-1,Dak Shagren missed Three Point Jumper.,61,63
4:48,2547,Aaron Menzies Defensive Rebound.,61,63
4:28,2547,Aaron Menzies made Dunk. Assisted by William Powell.,61,65
4:11,-1,Michael Dupree missed Three Point Jumper.,61,65
4:11,2547,Morgan Means Defensive Rebound.,61,65
3:54,2547,Brendan Westendorf made Three Point Jumper. Assisted by Morgan Means.,61,68
3:26,-1,Ben Tucakovic missed Jumper.,61,68
3:26,2547,Morgan Means Defensive Rebound.,61,68
3:17,2547,Morgan Means made Layup.,61,70
2:58,2547,Foul on Emmanuel Chibuogwu.,61,70
2:58,2547,Official TV Timeout,61,70
2:43,-1,Ben Tucakovic Turnover.,61,70
2:42,2547,Morgan Means Steal.,61,70
2:16,2547,Brendan Westendorf made Three Point Jumper.,61,73
2:06,2547,Foul on Brendan Westendorf.,61,73
1:59,-1,Michael Dupree made Layup.,63,73
1:58,-1,Northwest College-Kirkland (WA)  Timeout,63,73
1:52,-1,Foul on Michael Dupree.,63,73
1:52,2547,William Powell made Free Throw.,63,74
1:52,2547,William Powell made Free Throw.,63,75
1:38,-1,Justice Martion made Layup. Assisted by Michael Dupree.,65,75
1:27,-1,Foul on Justice Martion.,65,75
1:27,2547,William Powell made Free Throw.,65,76
1:27,2547,William Powell made Free Throw.,65,77
1:20,-1,Michael Dupree Turnover.,65,77
1:14,2547,Emmanuel Chibuogwu Steal.,65,77
1:06,2547,Aaron Menzies made Layup. Assisted by William Powell.,65,79
1:00,2547,Foul on Emmanuel Chibuogwu.,65,79
1:00,-1,Michael Dupree missed Free Throw.,65,79
1:00,-1,Northwest College-Kirkland (WA) Deadball Team Rebound.,65,79
1:00,-1,Michael Dupree missed Free Throw.,65,79
1:00,2547,William Powell Defensive Rebound.,65,79
0:42,2547,Malik Montoya Turnover.,65,79
0:41,-1,Morgan Ball Steal.,65,79
0:33,-1,Alex Smith Turnover.,65,79
0:05,2547,Zack Moore made Three Point Jumper. Assisted by Jack Shaughnessy.,65,82
0:00,2547,End of Game,65,82
