Sacramento State,279,Pacific,16
12:20,16,Justin Strings made Jumper.,16,12
12:02,279,Ray Bowles missed Jumper.,16,12
12:02,16,Grant Dressler Defensive Rebound.,16,12
11:54,16,Grant Dressler Turnover.,16,12
11:54,279,Official TV Timeout,16,12
11:38,279,D.J. Ursery made Jumper.,16,14
11:29,16,Izayah Mauriohoohoo-Le'Afa missed Jumper.,16,14
11:29,279,Jack Williams Defensive Rebound.,16,14
11:28,16,Foul on Joshua Patton.,16,14
11:10,279,D.J. Ursery missed Jumper.,16,14
11:10,279,Anthony Townes Offensive Rebound.,16,14
11:04,279,K.J. Smith missed Three Point Jumper.,16,14
11:04,16,Joshua Patton Defensive Rebound.,16,14
10:32,16,Grant Dressler missed Three Point Jumper.,16,14
10:32,279,Jack Williams Defensive Rebound.,16,14
10:21,16,Foul on Joshua Patton.,16,14
10:09,279,T.J. Wallace missed Jumper.,16,14
10:09,279,Jack Williams Offensive Rebound.,16,14
10:06,279,Jack Williams missed Layup.,16,14
10:06,16,Eric Stuteville Block.,16,14
10:04,16,Izayah Mauriohoohoo-Le'Afa Defensive Rebound.,16,14
10:00,16,Marcus Graves missed Layup.,16,14
10:00,279,Ray Bowles Block.,16,14
10:00,16,Sacramento St Offensive Rebound.,16,14
9:50,16,Eric Stuteville made Jumper.,18,14
9:31,279,Jack Williams missed Jumper.,18,14
9:31,279,Anthony Townes Offensive Rebound.,18,14
9:29,16,Foul on Marcus Graves.,18,14
9:23,279,Ray Bowles missed Three Point Jumper.,18,14
9:23,16,Justin Strings Defensive Rebound.,18,14
8:52,16,Justin Strings made Layup.,20,14
8:38,279,Ray Bowles missed Jumper.,20,14
8:38,16,Nick Hornsby Defensive Rebound.,20,14
8:30,16,Nick Hornsby missed Three Point Jumper.,20,14
8:30,279,Tonko Vuko Defensive Rebound.,20,14
8:25,16,Foul on Izayah Mauriohoohoo-Le'Afa.,20,14
8:17,279,David Taylor made Three Point Jumper. Assisted by T.J. Wallace.,20,17
8:00,16,Justin Strings made Three Point Jumper. Assisted by Izayah Mauriohoohoo-Le'Afa.,23,17
7:36,279,David Taylor made Layup.,23,19
7:18,16,Justin Strings missed Jumper.,23,19
7:18,279,Jack Williams Block.,23,19
7:18,279,Pacific Defensive Rebound.,23,19
7:18,279,Official TV Timeout,23,19
7:07,279,David Taylor missed Three Point Jumper.,23,19
7:07,16,Nick Hornsby Defensive Rebound.,23,19
6:54,16,Marcus Graves made Layup.,25,19
6:54,279,Foul on Tonko Vuko.,25,19
6:54,16,Marcus Graves made Free Throw.,26,19
6:35,279,Ray Bowles made Jumper.,26,21
6:04,16,Nick Hornsby missed Layup.,26,21
6:04,279,Jacob Lampkin Block.,26,21
6:02,16,Nick Hornsby Offensive Rebound.,26,21
5:59,16,Nick Hornsby missed Jumper.,26,21
5:59,279,Jack Williams Defensive Rebound.,26,21
5:54,16,Foul on Eric Stuteville.,26,21
5:54,279,Jack Williams made Free Throw.,26,22
5:54,279,Jack Williams made Free Throw.,26,23
5:35,16,Marcus Graves made Jumper. Assisted by Matt Battaglia.,28,23
5:12,279,T.J. Wallace made Jumper.,28,25
4:51,16,Eric Stuteville made Layup. Assisted by Marcus Graves.,30,25
4:36,279,Jack Williams missed Jumper.,30,25
4:36,16,Grant Dressler Defensive Rebound.,30,25
4:35,279,Foul on Jacob Lampkin.,30,25
4:18,16,Eric Stuteville Turnover.,30,25
4:06,279,David Taylor made Three Point Jumper. Assisted by T.J. Wallace.,30,28
3:39,279,Foul on D.J. Ursery.,30,28
3:39,279,Official TV Timeout,30,28
3:39,16,Nick Hornsby made Free Throw.,31,28
3:39,16,Nick Hornsby made Free Throw.,32,28
3:24,279,Ray Bowles made Layup.,32,30
3:06,16,Eric Stuteville Turnover.,32,30
3:05,279,T.J. Wallace Steal.,32,30
3:02,279,D.J. Ursery Turnover.,32,30
3:01,16,Marcus Graves Steal.,32,30
2:50,16,Marcus Graves missed Layup.,32,30
2:50,279,T.J. Wallace Defensive Rebound.,32,30
2:26,279,T.J. Wallace missed Jumper.,32,30
2:26,16,Izayah Mauriohoohoo-Le'Afa Defensive Rebound.,32,30
2:24,279,Foul on Ray Bowles.,32,30
2:12,279,Foul on Jack Williams.,32,30
1:58,16,Izayah Mauriohoohoo-Le'Afa missed Three Point Jumper.,32,30
1:58,279,T.J. Wallace Defensive Rebound.,32,30
1:48,279,Ray Bowles missed Jumper.,32,30
1:48,16,Justin Strings Defensive Rebound.,32,30
1:18,16,Marcus Graves missed Jumper.,32,30
1:18,279,Jack Williams Defensive Rebound.,32,30
1:17,16,Foul on Joshua Patton.,32,30
1:17,279,Jack Williams made Free Throw.,32,31
1:17,279,Jack Williams missed Free Throw.,32,31
1:17,16,Nick Hornsby Defensive Rebound.,32,31
0:56,16,Nick Hornsby missed Jumper.,32,31
0:56,279,Anthony Townes Block.,32,31
0:54,279,Ray Bowles Defensive Rebound.,32,31
0:52,16,Foul on Izayah Mauriohoohoo-Le'Afa.,32,31
0:45,279,Ray Bowles missed Free Throw.,32,31
0:45,16,Eric Stuteville Defensive Rebound.,32,31
0:39,16,Justin Strings missed Jumper.,32,31
0:39,279,Jack Williams Defensive Rebound.,32,31
0:22,279,Jack Williams missed Three Point Jumper.,32,31
0:22,16,Justin Strings Defensive Rebound.,32,31
0:00,279,End of 1st half,32,31
19:51,279,T.J. Wallace Turnover.,32,31
19:30,279,Foul on David Taylor.,32,31
19:26,16,Marcus Graves missed Jumper.,32,31
19:26,279,David Taylor Defensive Rebound.,32,31
19:05,279,Ray Bowles made Jumper.,32,33
18:52,16,Eric Stuteville missed Jumper.,32,33
18:52,279,Tonko Vuko Defensive Rebound.,32,33
18:47,16,Foul on Marcus Graves.,32,33
18:47,279,T.J. Wallace made Free Throw.,32,34
18:47,279,T.J. Wallace missed Free Throw.,32,34
18:47,279,Sami Eleraky Offensive Rebound.,32,34
18:37,279,T.J. Wallace made Three Point Jumper.,32,37
18:08,16,Eric Stuteville missed Jumper.,32,37
18:08,279,T.J. Wallace Defensive Rebound.,32,37
17:58,279,Ray Bowles missed Jumper.,32,37
17:58,16,Nick Hornsby Defensive Rebound.,32,37
17:48,16,Izayah Mauriohoohoo-Le'Afa Turnover.,32,37
17:48,279,T.J. Wallace Steal.,32,37
17:48,16,Sacramento St  Timeout,32,37
17:48,279,Official TV Timeout,32,37
17:39,279,David Taylor Turnover.,32,37
17:17,16,Eric Stuteville made Layup.,34,37
17:17,279,Foul on Sami Eleraky.,34,37
17:17,16,Eric Stuteville missed Free Throw.,34,37
17:17,279,Anthony Townes Defensive Rebound.,34,37
17:06,279,David Taylor missed Three Point Jumper.,34,37
17:06,16,Justin Strings Defensive Rebound.,34,37
16:58,16,Marcus Graves Turnover.,34,37
16:57,279,Anthony Townes Steal.,34,37
16:33,279,T.J. Wallace missed Jumper.,34,37
16:33,16,Eric Stuteville Block.,34,37
16:31,16,Eric Stuteville Defensive Rebound.,34,37
16:12,16,Grant Dressler missed Jumper.,34,37
16:12,279,David Taylor Defensive Rebound.,34,37
16:02,279,Ray Bowles missed Jumper.,34,37
16:02,279,Ray Bowles Offensive Rebound.,34,37
16:00,279,Ray Bowles made Layup.,34,39
15:30,16,Eric Stuteville made Layup. Assisted by Izayah Mauriohoohoo-Le'Afa.,36,39
15:30,279,Foul on Anthony Townes.,36,39
15:30,279,Official TV Timeout,36,39
15:30,16,Eric Stuteville missed Free Throw.,36,39
15:30,279,Anthony Townes Defensive Rebound.,36,39
15:15,279,T.J. Wallace made Jumper.,36,41
14:45,16,Justin Strings made Jumper.,38,41
14:13,279,Ray Bowles missed Three Point Jumper.,38,41
14:13,16,Trevis Jackson Defensive Rebound.,38,41
13:42,279,Foul on T.J. Wallace.,38,41
13:16,16,Nick Hornsby missed Jumper.,38,41
13:16,279,Anthony Townes Defensive Rebound.,38,41
13:10,279,Ray Bowles missed Jumper.,38,41
13:10,16,Nick Hornsby Block.,38,41
13:07,16,Grant Dressler Defensive Rebound.,38,41
12:44,16,Nick Hornsby made Jumper.,40,41
12:32,279,Jack Williams missed Jumper.,40,41
12:32,16,Nick Hornsby Defensive Rebound.,40,41
12:19,16,Grant Dressler made Three Point Jumper.,43,41
12:00,279,K.J. Smith missed Three Point Jumper.,43,41
12:00,16,Marcus Graves Defensive Rebound.,43,41
11:41,16,Marcus Graves made Jumper.,45,41
11:38,279,Pacific  Timeout,45,41
11:38,279,Official TV Timeout,45,41
11:21,279,K.J. Smith made Three Point Jumper. Assisted by T.J. Wallace.,45,44
10:53,16,Grant Dressler Turnover.,45,44
10:39,279,Ray Bowles made Three Point Jumper. Assisted by K.J. Smith.,45,47
10:12,16,Justin Strings Turnover.,45,47
10:01,279,T.J. Wallace missed Layup.,45,47
10:01,16,Izayah Mauriohoohoo-Le'Afa Defensive Rebound.,45,47
9:53,279,Foul on K.J. Smith.,45,47
9:53,16,Justin Strings missed Free Throw.,45,47
9:53,16,Sacramento St Deadball Team Rebound.,45,47
9:53,16,Justin Strings missed Free Throw.,45,47
9:53,16,Grant Dressler Offensive Rebound.,45,47
9:51,16,Grant Dressler made Layup.,47,47
9:32,16,Foul on Grant Dressler.,47,47
9:32,279,Ray Bowles missed Free Throw.,47,47
9:32,279,Pacific Deadball Team Rebound.,47,47
9:32,279,Ray Bowles missed Free Throw.,47,47
9:32,16,Izayah Mauriohoohoo-Le'Afa Defensive Rebound.,47,47
9:08,16,Marcus Graves missed Jumper.,47,47
9:08,279,Ray Bowles Defensive Rebound.,47,47
9:02,16,Foul on Justin Strings.,47,47
9:02,279,D.J. Ursery missed Free Throw.,47,47
9:02,279,Pacific Deadball Team Rebound.,47,47
9:02,279,D.J. Ursery missed Free Throw.,47,47
9:02,16,Justin Strings Defensive Rebound.,47,47
8:50,16,Justin Strings missed Layup.,47,47
8:50,279,K.J. Smith Defensive Rebound.,47,47
8:29,279,Ray Bowles missed Layup.,47,47
8:29,16,Marcus Graves Defensive Rebound.,47,47
8:26,279,Foul on Ray Bowles.,47,47
8:13,16,Foul on Izayah Mauriohoohoo-Le'Afa.,47,47
8:13,16,Izayah Mauriohoohoo-Le'Afa Turnover.,47,47
8:00,279,Jack Williams missed Jumper.,47,47
8:00,279,Tonko Vuko Offensive Rebound.,47,47
8:00,16,Foul on Justin Strings.,47,47
8:00,279,Official TV Timeout,47,47
7:57,279,Jack Williams made Jumper. Assisted by Ray Bowles.,47,49
7:57,16,Foul on Eric Stuteville.,47,49
7:57,279,Jack Williams made Free Throw.,47,50
7:31,16,Marcus Graves Turnover.,47,50
7:30,279,Tonko Vuko Steal.,47,50
7:30,16,Foul on Grant Dressler.,47,50
7:30,279,Ray Bowles made Free Throw.,47,51
7:30,279,Ray Bowles made Free Throw.,47,52
7:18,279,Foul on Tonko Vuko.,47,52
7:18,16,Joshua Patton missed Free Throw.,47,52
7:18,16,Nick Hornsby Offensive Rebound.,47,52
7:18,279,Foul on Tonko Vuko.,47,52
7:18,16,Nick Hornsby made Free Throw.,48,52
7:18,16,Nick Hornsby missed Free Throw.,48,52
7:18,279,Jack Williams Defensive Rebound.,48,52
7:11,16,Foul on Marcus Graves.,48,52
7:11,279,T.J. Wallace made Free Throw.,48,53
7:11,279,T.J. Wallace made Free Throw.,48,54
6:57,16,Grant Dressler missed Three Point Jumper.,48,54
6:57,279,Tonko Vuko Defensive Rebound.,48,54
6:39,16,Foul on Nick Hornsby.,48,54
6:39,16,Sacramento St  Timeout,48,54
6:39,279,T.J. Wallace made Free Throw.,48,55
6:39,279,T.J. Wallace made Free Throw.,48,56
6:27,16,Eric Stuteville missed Layup.,48,56
6:27,279,Tonko Vuko Defensive Rebound.,48,56
6:26,16,Foul on Eric Stuteville.,48,56
6:26,279,Tonko Vuko made Free Throw.,48,57
6:26,279,Tonko Vuko made Free Throw.,48,58
6:13,16,Marcus Graves missed Jumper.,48,58
6:13,279,Tonko Vuko Defensive Rebound.,48,58
6:11,16,Technical Foul on Sacramento St.,48,58
6:11,279,Jack Williams made Free Throw.,48,59
6:11,279,Jack Williams made Free Throw.,48,60
5:59,279,Tonko Vuko missed Layup.,48,60
5:59,16,Eric Stuteville Defensive Rebound.,48,60
5:38,16,Justin Strings Turnover.,48,60
5:38,279,Tonko Vuko Steal.,48,60
5:16,279,T.J. Wallace made Jumper. Assisted by Jack Williams.,48,62
5:06,16,Izayah Mauriohoohoo-Le'Afa missed Jumper.,48,62
5:06,279,Ray Bowles Defensive Rebound.,48,62
4:58,279,Foul on T.J. Wallace.,48,62
4:58,279,T.J. Wallace Turnover.,48,62
4:51,279,Foul on Jack Williams.,48,62
4:51,16,Justin Strings missed Free Throw.,48,62
4:51,16,Sacramento St Deadball Team Rebound.,48,62
4:51,16,Justin Strings made Free Throw.,49,62
4:29,279,Jack Williams missed Jumper.,49,62
4:29,16,Eric Stuteville Defensive Rebound.,49,62
4:16,16,Marcus Graves missed Layup.,49,62
4:16,279,Tonko Vuko Defensive Rebound.,49,62
4:07,279,Jack Williams missed Jumper.,49,62
4:07,279,Tonko Vuko Offensive Rebound.,49,62
3:45,279,T.J. Wallace missed Jumper.,49,62
3:45,16,Marcus Graves Defensive Rebound.,49,62
3:39,279,Foul on David Taylor.,49,62
3:39,279,Official TV Timeout,49,62
3:39,16,Marcus Graves made Free Throw.,50,62
3:39,16,Marcus Graves missed Free Throw.,50,62
3:39,279,Jack Williams Defensive Rebound.,50,62
3:27,279,David Taylor made Three Point Jumper. Assisted by Ray Bowles.,50,65
3:20,16,Jeff Wu Turnover.,50,65
3:04,279,David Taylor made Layup.,50,67
2:46,16,Justin Strings made Jumper.,52,67
2:46,279,Foul on Jack Williams.,52,67
2:46,16,Justin Strings made Free Throw.,53,67
2:37,279,David Taylor Turnover.,53,67
2:37,16,Chibueze Jacobs Steal.,53,67
2:37,279,Foul on Ray Bowles.,53,67
2:37,16,Chibueze Jacobs made Free Throw.,54,67
2:37,16,Chibueze Jacobs made Free Throw.,55,67
2:10,16,Foul on Nick Hornsby.,55,67
2:10,279,T.J. Wallace made Free Throw.,55,68
2:10,279,T.J. Wallace made Free Throw.,55,69
2:01,279,Foul on David Taylor.,55,69
2:01,16,Nick Hornsby missed Free Throw.,55,69
2:01,16,Sacramento St Deadball Team Rebound.,55,69
2:01,16,Nick Hornsby missed Free Throw.,55,69
2:01,279,Tonko Vuko Defensive Rebound.,55,69
1:36,279,T.J. Wallace Turnover.,55,69
1:35,16,Justin Strings Steal.,55,69
1:35,279,Foul on Jack Williams.,55,69
1:35,16,Justin Strings made Free Throw.,56,69
1:35,16,Justin Strings missed Free Throw.,56,69
1:35,279,Tonko Vuko Defensive Rebound.,56,69
1:28,279,Pacific  Timeout,56,69
1:27,16,Foul on Marcus Graves.,56,69
1:27,279,T.J. Wallace missed Free Throw.,56,69
1:27,279,Pacific Deadball Team Rebound.,56,69
1:27,279,T.J. Wallace made Free Throw.,56,70
1:18,279,Foul on T.J. Wallace.,56,70
1:18,16,Justin Strings made Free Throw.,57,70
1:18,16,Justin Strings made Free Throw.,58,70
1:10,16,Foul on Nick Hornsby.,58,70
1:10,279,T.J. Wallace made Free Throw.,58,71
1:10,279,T.J. Wallace made Free Throw.,58,72
1:04,16,Foul on Nick Hornsby.,58,72
1:04,16,Nick Hornsby Turnover.,58,72
0:39,16,Foul on Justin Strings.,58,72
0:39,279,Tonko Vuko made Free Throw.,58,73
0:39,279,Tonko Vuko made Free Throw.,58,74
0:27,16,Grant Dressler missed Three Point Jumper.,58,74
0:27,279,K.J. Smith Defensive Rebound.,58,74
0:00,279,End of Game,58,74
