Sonoma State,Error,UC Santa Barbara,2540
12:18,2540,Max Heidegger Defensive Rebound.,9,16
12:11,-1,Foul on Jordan Fleck.,9,16
12:11,2540,Gabe Vincent made Free Throw.,9,17
12:11,2540,Gabe Vincent made Free Throw.,9,18
11:58,-1,Jordan Fleck missed Three Point Jumper.,9,18
11:58,2540,Alex Hart Defensive Rebound.,9,18
11:43,2540,Gabe Vincent missed Jumper.,9,18
11:43,2540,Christian Terrell Offensive Rebound.,9,18
11:36,-1,Foul on Jordan Fleck.,9,18
11:36,2540,Official TV Timeout,9,18
11:36,2540,Jarriesse Blackmon made Free Throw.,9,19
11:36,2540,Jarriesse Blackmon missed Free Throw.,9,19
11:36,-1,Stephen Dorsey Defensive Rebound.,9,19
11:13,-1,Nate Molony-Benjamin made Layup. Assisted by Stephen Dorsey.,11,19
10:48,2540,Gabe Vincent made Three Point Jumper. Assisted by Eric Childress.,11,22
10:32,-1,Jackson Gion Turnover.,11,22
10:25,2540,Eric Childress Turnover.,11,22
10:07,-1,Ronnie Harris made Layup. Assisted by Jordan Fleck.,13,22
9:38,2540,Eric Childress made Three Point Jumper. Assisted by Max Heidegger.,13,25
9:15,-1,Jackson Gion missed Three Point Jumper.,13,25
9:15,2540,Eric Childress Defensive Rebound.,13,25
9:06,2540,Christian Terrell missed Three Point Jumper.,13,25
9:06,-1,Nate Molony-Benjamin Defensive Rebound.,13,25
8:55,-1,Jordan Fleck missed Three Point Jumper.,13,25
8:55,2540,Max Heidegger Defensive Rebound.,13,25
8:44,2540,Max Heidegger Turnover.,13,25
8:41,2540,Foul on Max Heidegger.,13,25
8:27,-1,Jordan Fleck missed Jumper.,13,25
8:27,2540,Jalen Canty Defensive Rebound.,13,25
7:59,-1,Foul on Topher Taylor.,13,25
7:59,2540,Official TV Timeout,13,25
7:57,2540,Gabe Vincent missed Three Point Jumper.,13,25
7:57,-1,Jordan Fleck Defensive Rebound.,13,25
7:30,2540,Foul on Jalen Canty.,13,25
7:30,-1,Naaman Hightower missed Free Throw.,13,25
7:30,-1,Sonoma St Deadball Team Rebound.,13,25
7:30,-1,Naaman Hightower missed Free Throw.,13,25
7:30,2540,Jalen Canty Defensive Rebound.,13,25
7:13,-1,Foul on Stephen Dorsey.,13,25
6:56,2540,Jalen Canty made Jumper. Assisted by Gabe Vincent.,13,27
6:34,-1,Noah Everly missed Three Point Jumper.,13,27
6:34,2540,Ami Lakoju Defensive Rebound.,13,27
6:21,2540,Max Heidegger made Layup.,13,29
6:01,-1,Noah Everly missed Three Point Jumper.,13,29
6:01,2540,Gabe Vincent Defensive Rebound.,13,29
5:35,2540,Jalen Canty made Jumper. Assisted by Gabe Vincent.,13,31
5:15,-1,Sonoma St  Timeout,13,31
5:00,-1,Nate Molony-Benjamin made Jumper. Assisted by Brian Johnson.,15,31
4:49,2540,Clifton Powell missed Layup.,15,31
4:49,-1,Nate Molony-Benjamin Block.,15,31
4:47,2540,Ami Lakoju Offensive Rebound.,15,31
4:43,2540,Alex Hart missed Jumper.,15,31
4:43,-1,Nate Molony-Benjamin Defensive Rebound.,15,31
4:21,-1,Brian Johnson made Layup.,17,31
3:52,2540,Max Heidegger Turnover.,17,31
3:50,-1,Topher Taylor Steal.,17,31
3:46,-1,Noah Everly missed Layup.,17,31
3:46,-1,Nate Molony-Benjamin Offensive Rebound.,17,31
3:45,-1,Nate Molony-Benjamin made Two Point Tip Shot.,19,31
3:45,2540,Foul on Alex Hart.,19,31
3:45,2540,Official TV Timeout,19,31
3:45,-1,Nate Molony-Benjamin made Free Throw.,20,31
3:26,-1,Foul on Nate Molony-Benjamin.,20,31
3:26,2540,Jalen Canty missed Free Throw.,20,31
3:26,2540,UC Santa Barbara Deadball Team Rebound.,20,31
3:26,2540,Jalen Canty missed Free Throw.,20,31
3:26,-1,Nate Molony-Benjamin Defensive Rebound.,20,31
3:05,-1,Brian Johnson made Layup. Assisted by Nate Molony-Benjamin.,22,31
2:41,2540,Max Heidegger missed Layup.,22,31
2:41,2540,Jalen Canty Offensive Rebound.,22,31
2:40,2540,Jalen Canty made Two Point Tip Shot.,22,33
2:29,-1,Brian Johnson missed Three Point Jumper.,22,33
2:29,-1,Nate Molony-Benjamin Offensive Rebound.,22,33
2:26,-1,Nate Molony-Benjamin Turnover.,22,33
1:59,2540,Gabe Vincent made Three Point Jumper. Assisted by Max Heidegger.,22,36
1:40,-1,Noah Everly missed Three Point Jumper.,22,36
1:40,2540,Jalen Canty Defensive Rebound.,22,36
1:32,2540,Gabe Vincent made Three Point Jumper. Assisted by Max Heidegger.,22,39
1:08,-1,Brian Johnson missed Jumper.,22,39
1:08,2540,Gabe Vincent Defensive Rebound.,22,39
0:45,2540,Eric Childress missed Jumper.,22,39
0:45,-1,Luke Cochran Defensive Rebound.,22,39
0:30,-1,Noah Everly made Three Point Jumper. Assisted by Khalid Johnson.,25,39
0:03,2540,Eric Childress missed Three Point Jumper.,25,39
0:03,-1,Mason Phillips Defensive Rebound.,25,39
0:00,2540,End of 1st half,25,39
19:45,-1,Luke Cochran Turnover.,25,39
19:32,2540,Max Heidegger missed Layup.,25,39
19:32,2540,Jalen Canty Offensive Rebound.,25,39
19:12,2540,Max Heidegger missed Jumper.,25,39
19:12,-1,Khalid Johnson Defensive Rebound.,25,39
18:55,-1,Jimmy Golden missed Three Point Jumper.,25,39
18:55,2540,Jalen Canty Defensive Rebound.,25,39
18:27,2540,Jalen Canty missed Layup.,25,39
18:27,-1,Khalid Johnson Defensive Rebound.,25,39
18:19,-1,Khalid Johnson Turnover.,25,39
18:14,2540,Eric Childress made Layup. Assisted by Jalen Canty.,25,41
17:55,2540,Foul on Jalen Canty.,25,41
17:55,-1,Armani Nicolis made Free Throw.,26,41
17:55,-1,Armani Nicolis made Free Throw.,27,41
17:38,2540,Eric Childress missed Three Point Jumper.,27,41
17:38,2540,Ami Lakoju Offensive Rebound.,27,41
17:36,2540,Ami Lakoju made Layup.,27,43
17:16,-1,Mason Phillips missed Three Point Jumper.,27,43
17:16,-1,Mason Phillips Offensive Rebound.,27,43
17:03,-1,Armani Nicolis Turnover.,27,43
17:02,2540,Jalen Canty Steal.,27,43
16:58,2540,Jalen Canty missed Layup.,27,43
16:58,2540,Ami Lakoju Offensive Rebound.,27,43
16:55,2540,Ami Lakoju missed Layup.,27,43
16:55,2540,Ami Lakoju Offensive Rebound.,27,43
16:51,2540,Ami Lakoju made Layup.,27,45
16:27,-1,Luke Cochran missed Jumper.,27,45
16:27,2540,Gabe Vincent Block.,27,45
16:25,2540,Eric Childress Defensive Rebound.,27,45
16:14,2540,Jalen Canty made Layup. Assisted by Eric Childress.,27,47
15:54,2540,Official TV Timeout,27,47
15:52,-1,Luke Cochran made Layup. Assisted by Khalid Johnson.,29,47
15:31,2540,Max Heidegger missed Three Point Jumper.,29,47
15:31,2540,Gabe Vincent Offensive Rebound.,29,47
15:23,2540,Jalen Canty made Layup. Assisted by Gabe Vincent.,29,49
14:59,2540,Foul on Jalen Canty.,29,49
14:59,-1,Nate Molony-Benjamin made Free Throw.,30,49
14:59,-1,Nate Molony-Benjamin missed Free Throw.,30,49
14:59,2540,Jalen Canty Defensive Rebound.,30,49
14:51,2540,Ami Lakoju missed Layup.,30,49
14:51,2540,Ami Lakoju Offensive Rebound.,30,49
14:48,2540,Ami Lakoju made Layup.,30,51
14:33,-1,Armani Nicolis missed Jumper.,30,51
14:33,2540,Eric Childress Defensive Rebound.,30,51
14:21,-1,Foul on Luke Cochran.,30,51
14:21,2540,Max Heidegger made Free Throw.,30,52
14:21,2540,Max Heidegger missed Free Throw.,30,52
14:21,-1,Nate Molony-Benjamin Defensive Rebound.,30,52
13:57,-1,Armani Nicolis made Three Point Jumper. Assisted by Luke Cochran.,33,52
13:32,2540,Ami Lakoju missed Layup.,33,52
13:32,2540,Jalen Canty Offensive Rebound.,33,52
13:23,2540,Eric Childress Turnover.,33,52
12:59,-1,Khalid Johnson missed Three Point Jumper.,33,52
12:59,2540,Christian Terrell Defensive Rebound.,33,52
12:53,2540,Christian Terrell Turnover.,33,52
12:45,2540,Foul on Felix White.,33,52
12:40,-1,Luke Cochran missed Jumper.,33,52
12:40,2540,Felix White Defensive Rebound.,33,52
12:16,2540,Gabe Vincent made Three Point Jumper. Assisted by Eric Childress.,33,55
11:46,-1,Jackson Gion made Jumper. Assisted by Jordan Fleck.,35,55
11:37,2540,Official TV Timeout,35,55
11:32,2540,Alex Hart made Jumper. Assisted by Christian Terrell.,35,57
11:32,-1,Foul on Jordan Fleck.,35,57
11:31,2540,Alex Hart missed Free Throw.,35,57
11:31,-1,Jordan Fleck Defensive Rebound.,35,57
11:08,-1,Jackson Gion missed Jumper.,35,57
11:08,2540,Felix White Defensive Rebound.,35,57
10:51,2540,Felix White missed Jumper.,35,57
10:51,2540,Alex Hart Offensive Rebound.,35,57
10:47,2540,Alex Hart made Two Point Tip Shot.,35,59
10:35,-1,Jackson Gion made Three Point Jumper. Assisted by Khalid Johnson.,38,59
10:10,2540,Gabe Vincent missed Jumper.,38,59
10:10,2540,Alex Hart Offensive Rebound.,38,59
10:07,2540,Alex Hart made Layup.,38,61
9:54,-1,Jackson Gion missed Three Point Jumper.,38,61
9:54,2540,Clifton Powell Defensive Rebound.,38,61
9:51,-1,Foul on Naaman Hightower.,38,61
9:41,-1,Foul on Ronnie Harris.,38,61
9:32,2540,Clifton Powell missed Jumper.,38,61
9:32,2540,Clifton Powell Offensive Rebound.,38,61
9:31,2540,Foul on Clifton Powell.,38,61
9:20,-1,Stephen Dorsey missed Jumper.,38,61
9:20,2540,Christian Terrell Defensive Rebound.,38,61
8:58,2540,Christian Terrell made Layup. Assisted by Maxwell Kupchak.,38,63
8:30,-1,Stephen Dorsey missed Jumper.,38,63
8:30,2540,Alex Hart Block.,38,63
8:27,2540,Alex Hart Defensive Rebound.,38,63
8:11,2540,Christian Terrell missed Three Point Jumper.,38,63
8:11,2540,Clifton Powell Offensive Rebound.,38,63
8:00,2540,Alex Hart missed Jumper.,38,63
8:00,-1,Brian Johnson Defensive Rebound.,38,63
7:30,-1,Ronnie Harris missed Jumper.,38,63
7:30,2540,Clifton Powell Defensive Rebound.,38,63
7:20,2540,UC Santa Barbara  Timeout,38,63
7:03,2540,Official TV Timeout,38,63
6:58,2540,Max Heidegger missed Layup.,38,63
6:58,2540,Clifton Powell Offensive Rebound.,38,63
6:55,2540,Clifton Powell made Layup.,38,65
6:34,-1,Stephen Dorsey made Layup. Assisted by Brian Johnson.,40,65
6:24,2540,Maxwell Kupchak missed Three Point Jumper.,40,65
6:24,-1,Jackson Gion Defensive Rebound.,40,65
6:17,2540,Foul on Alex Hart.,40,65
6:17,-1,Noah Everly made Free Throw.,41,65
6:17,-1,Noah Everly missed Free Throw.,41,65
6:17,2540,Christian Terrell Defensive Rebound.,41,65
5:57,2540,Alex Hart missed Jumper.,41,65
5:57,-1,Brian Johnson Defensive Rebound.,41,65
5:34,-1,Noah Everly missed Three Point Jumper.,41,65
5:34,-1,Sonoma St Offensive Rebound.,41,65
5:32,2540,Foul on Maxwell Kupchak.,41,65
5:32,2540,Foul on Clifton Powell.,41,65
5:32,-1,Brian Johnson missed Free Throw.,41,65
5:32,2540,Alex Hart Defensive Rebound.,41,65
5:20,2540,Max Heidegger missed Three Point Jumper.,41,65
5:20,2540,Alex Hart Offensive Rebound.,41,65
5:16,-1,Foul on Brian Johnson.,41,65
5:16,2540,Alex Hart made Free Throw.,41,66
5:16,2540,Alex Hart missed Free Throw.,41,66
5:16,2540,Clifton Powell Offensive Rebound.,41,66
5:06,2540,Christian Terrell Turnover.,41,66
4:53,-1,Jackson Gion missed Three Point Jumper.,41,66
4:53,2540,Christian Terrell Defensive Rebound.,41,66
4:46,-1,Foul on Jackson Gion.,41,66
4:46,2540,Clifton Powell made Free Throw.,41,67
4:46,2540,Clifton Powell made Free Throw.,41,68
4:31,-1,Topher Taylor missed Three Point Jumper.,41,68
4:31,-1,Ronnie Harris Offensive Rebound.,41,68
4:26,-1,Ronnie Harris made Layup.,43,68
4:12,-1,Foul on Ronnie Harris.,43,68
4:12,2540,Max Heidegger made Free Throw.,43,69
4:12,2540,Max Heidegger made Free Throw.,43,70
4:08,2540,Foul on Jarriesse Blackmon.,43,70
4:08,-1,Ronnie Harris missed Free Throw.,43,70
4:08,-1,Sonoma St Deadball Team Rebound.,43,70
4:08,-1,Ronnie Harris made Free Throw.,44,70
3:51,2540,Max Heidegger missed Jumper.,44,70
3:51,2540,Jarriesse Blackmon Offensive Rebound.,44,70
3:47,2540,Jarriesse Blackmon missed Jumper.,44,70
3:47,-1,Isaac Davidson Defensive Rebound.,44,70
3:42,-1,Noah Everly Turnover.,44,70
3:40,2540,Clifton Powell Turnover.,44,70
3:40,2540,Official TV Timeout,44,70
3:14,-1,Isaac Davidson missed Jumper.,44,70
3:14,2540,Maxwell Kupchak Defensive Rebound.,44,70
2:58,2540,Jarriesse Blackmon missed Jumper.,44,70
2:58,-1,Topher Taylor Defensive Rebound.,44,70
2:51,-1,Noah Everly missed Three Point Jumper.,44,70
2:51,2540,Jarriesse Blackmon Defensive Rebound.,44,70
2:43,2540,Max Heidegger missed Layup.,44,70
2:43,-1,Noah Everly Defensive Rebound.,44,70
2:35,-1,Brian Johnson made Layup. Assisted by Topher Taylor.,46,70
2:05,2540,Tide Osifeso made Three Point Jumper.,46,73
1:57,-1,Topher Taylor missed Three Point Jumper.,46,73
1:57,2540,Jarriesse Blackmon Defensive Rebound.,46,73
1:45,2540,Maxwell Kupchak missed Jumper.,46,73
1:45,-1,Brian Johnson Defensive Rebound.,46,73
1:37,-1,Topher Taylor made Three Point Jumper. Assisted by Ronnie Harris.,49,73
1:11,-1,Foul on Topher Taylor.,49,73
1:11,2540,Maxwell Kupchak made Free Throw.,49,74
1:11,2540,Maxwell Kupchak made Free Throw.,49,75
1:01,-1,Ronnie Harris Turnover.,49,75
0:52,2540,Jarriesse Blackmon Turnover.,49,75
0:41,-1,Ronnie Harris missed Three Point Jumper.,49,75
0:41,-1,Sonoma St Offensive Rebound.,49,75
0:38,-1,Sonoma St  Timeout,49,75
0:34,-1,Topher Taylor missed Three Point Jumper.,49,75
0:34,2540,J.D. Slajchert Defensive Rebound.,49,75
0:23,2540,Sam Walters missed Three Point Jumper.,49,75
0:23,-1,Isaac Davidson Defensive Rebound.,49,75
0:14,-1,Ronnie Harris made Jumper.,51,75
0:00,2540,End of Game,51,75
