Vermont,2579,South Carolina,261
13:34,2579,PJ Dozier Offensive Rebound.,35,56
13:34,2579,PJ Dozier made Layup.,35,58
13:34,261,Cam Ward missed Layup.,35,58
13:34,2579,Rakym Felder Defensive Rebound.,35,58
13:34,2579,Sedee Keita missed Jumper.,35,58
13:34,261,Anthony Lamb Defensive Rebound.,35,58
13:34,261,Josh Hearlihy made Jumper.,37,58
13:34,2579,Sindarius Thornwell missed Three Point Jumper.,37,58
13:34,261,Dre Wills Defensive Rebound.,37,58
11:13,261,Josh Hearlihy missed Three Point Jumper.,37,58
11:13,2579,Rakym Felder Defensive Rebound.,37,58
11:09,261,Foul on Dre Wills.,37,58
11:09,2579,Official TV Timeout,37,58
11:06,2579,Justin McKie made Layup. Assisted by Sindarius Thornwell.,37,60
10:38,261,Kurt Steidl missed Three Point Jumper.,37,60
10:38,2579,Justin McKie Defensive Rebound.,37,60
10:33,2579,Rakym Felder missed Layup.,37,60
10:33,2579,Sindarius Thornwell Offensive Rebound.,37,60
10:25,2579,Sindarius Thornwell missed Jumper.,37,60
10:25,261,Josh Hearlihy Block.,37,60
10:25,261,Kurt Steidl Defensive Rebound.,37,60
10:11,261,Dre Wills Turnover.,37,60
10:11,2579,Justin McKie Steal.,37,60
9:35,2579,Khadim Gueye missed Jumper.,37,60
9:35,261,Kurt Steidl Defensive Rebound.,37,60
9:27,2579,Foul on Khadim Gueye.,37,60
9:27,261,Dre Wills made Free Throw.,38,60
9:27,261,Dre Wills made Free Throw.,39,60
9:12,2579,Maik Kotsar made Jumper. Assisted by Duane Notice.,39,62
8:39,261,Cam Ward missed Three Point Jumper.,39,62
8:39,261,Drew Urquhart Offensive Rebound.,39,62
8:31,261,Dre Wills made Layup. Assisted by Cam Ward.,41,62
8:15,2579,Maik Kotsar missed Layup.,41,62
8:15,261,Cam Ward Defensive Rebound.,41,62
7:34,261,Drew Urquhart missed Jumper.,41,62
7:34,2579,Sindarius Thornwell Defensive Rebound.,41,62
7:26,2579,Maik Kotsar made Layup. Assisted by Duane Notice.,41,64
6:53,261,Ernie Duncan missed Three Point Jumper.,41,64
6:53,2579,Maik Kotsar Defensive Rebound.,41,64
6:25,2579,South Carolina  Timeout,41,64
6:25,2579,Official TV Timeout,41,64
6:22,2579,Foul on PJ Dozier.,41,64
6:12,2579,Foul on PJ Dozier.,41,64
6:12,261,Dre Wills missed Free Throw.,41,64
6:12,261,Anthony Lamb Offensive Rebound.,41,64
6:12,261,Anthony Lamb made Two Point Tip Shot.,43,64
5:36,2579,Maik Kotsar missed Layup.,43,64
5:36,261,Payton Henson Defensive Rebound.,43,64
5:36,261,Anthony Lamb made Jumper.,45,64
5:30,2579,Justin McKie missed Three Point Jumper.,45,64
5:30,2579,Chris Silva Offensive Rebound.,45,64
5:23,2579,Chris Silva Turnover.,45,64
5:18,261,Anthony Lamb missed Jumper.,45,64
5:18,2579,PJ Dozier Defensive Rebound.,45,64
5:06,2579,PJ Dozier made Layup.,45,66
5:00,261,Anthony Lamb Turnover.,45,66
5:00,2579,Justin McKie Steal.,45,66
5:00,2579,PJ Dozier Turnover.,45,66
4:48,2579,Sindarius Thornwell missed Jumper.,45,66
4:48,2579,Justin McKie Offensive Rebound.,45,66
4:48,2579,Sindarius Thornwell made Two Point Tip Shot.,45,68
3:58,261,Ernie Duncan missed Three Point Jumper.,45,68
3:58,261,Anthony Lamb Offensive Rebound.,45,68
3:55,261,Anthony Lamb Turnover.,45,68
3:55,2579,Sindarius Thornwell Steal.,45,68
3:49,2579,Duane Notice missed Layup.,45,68
3:49,261,Dre Wills Defensive Rebound.,45,68
3:10,261,Foul on Anthony Lamb.,45,68
3:10,261,Anthony Lamb Turnover.,45,68
3:10,2579,Duane Notice missed Three Point Jumper.,45,68
3:10,261,Ernie Duncan Defensive Rebound.,45,68
3:10,261,Payton Henson missed Layup.,45,68
3:10,2579,Jarrell Holliman Block.,45,68
3:10,2579,Ran Tut Defensive Rebound.,45,68
3:10,2579,Ran Tut missed Jumper.,45,68
3:10,261,Dre Wills Defensive Rebound.,45,68
3:10,261,Kurt Steidl made Three Point Jumper. Assisted by Dre Wills.,48,68
3:10,2579,PJ Dozier missed Jumper.,48,68
3:10,261,Payton Henson Defensive Rebound.,48,68
3:10,261,Dre Wills missed Layup.,48,68
3:10,2579,Ran Tut Defensive Rebound.,48,68
3:10,2579,Justin McKie missed Jumper.,48,68
3:10,261,Payton Henson Defensive Rebound.,48,68
1:25,261,Kurt Steidl missed Three Point Jumper.,48,68
1:25,261,Payton Henson Offensive Rebound.,48,68
1:25,261,Payton Henson made Layup.,50,68
1:14,2579,Justin McKie missed Jumper.,50,68
1:14,261,Darren Payen Defensive Rebound.,50,68
0:23,261,Darren Payen missed Jumper.,50,68
0:23,2579,Justin McKie Defensive Rebound.,50,68
0:00,2579,End of Game,50,68
