Lees McRae,Error,East Tennessee State,2193
16:41,2193,T.J. Cromer missed Three Point Jumper.,46,49
16:41,-1,Donte Falls Defensive Rebound.,46,49
16:34,-1,Lepreece Lynch made Layup. Assisted by Jonathan Honroe.,48,49
16:01,2193,T.J. Cromer missed Three Point Jumper.,48,49
16:01,2193,Tevin Glass Offensive Rebound.,48,49
15:57,2193,Tevin Glass missed Layup.,48,49
15:57,-1,Donte Falls Block.,48,49
15:57,2193,East Tennessee St Offensive Rebound.,48,49
15:57,2193,Official TV Timeout,48,49
15:49,-1,Foul on Rishad Felton.,48,49
15:49,2193,Desonta Bradford missed Free Throw.,48,49
15:49,2193,East Tennessee St Deadball Team Rebound.,48,49
15:49,2193,Desonta Bradford made Free Throw.,48,50
15:25,-1,Jordan Turner missed Jumper.,48,50
15:25,2193,East Tennessee St Defensive Rebound.,48,50
15:16,2193,T.J. Cromer made Three Point Jumper. Assisted by Hanner Mosquera-Perea.,48,53
14:52,-1,Rishad Felton made Three Point Jumper. Assisted by Chad Hicks.,51,53
14:35,2193,Hanner Mosquera-Perea Turnover.,51,53
14:23,-1,Rishad Felton made Three Point Jumper.,54,53
13:57,2193,Foul on Desonta Bradford.,54,53
13:57,2193,Desonta Bradford Turnover.,54,53
13:39,2193,Foul on Desonta Bradford.,54,53
13:26,-1,Lepreece Lynch missed Layup.,54,53
13:26,2193,Isaac Banks Defensive Rebound.,54,53
13:24,2193,Isaac Banks Turnover.,54,53
13:22,-1,Marcus Cassesa Steal.,54,53
13:21,-1,Marcus Cassesa made Layup.,56,53
13:06,-1,Foul on Chad Hicks.,56,53
13:06,2193,Jason Williams made Free Throw.,56,54
13:06,2193,Jason Williams made Free Throw.,56,55
12:48,-1,Rishad Felton made Three Point Jumper. Assisted by Marcus Cassesa.,59,55
12:25,2193,David Burrell missed Layup.,59,55
12:25,2193,Isaac Banks Offensive Rebound.,59,55
12:22,-1,Foul on Keith Heard II.,59,55
12:19,-1,Foul on Marcus Cassesa.,59,55
12:02,-1,Foul on Marcus Anderson.,59,55
12:02,2193,David Burrell made Free Throw.,59,56
12:02,2193,David Burrell made Free Throw.,59,57
11:48,-1,Marcus Anderson made Jumper.,61,57
11:35,2193,Isaac Banks missed Dunk.,61,57
11:35,2193,Isaac Banks Offensive Rebound.,61,57
11:33,2193,Isaac Banks Turnover.,61,57
11:33,2193,Official TV Timeout,61,57
11:11,-1,Donte Falls missed Three Point Jumper.,61,57
11:11,2193,A.J. Merriweather Defensive Rebound.,61,57
11:05,2193,Hanner Mosquera-Perea missed Layup.,61,57
11:05,-1,Donte Falls Defensive Rebound.,61,57
11:04,2193,Foul on A.J. Merriweather.,61,57
10:46,-1,Zach Wilmoth missed Layup.,61,57
10:46,2193,T.J. Cromer Block.,61,57
10:45,-1,Lees-McRae Offensive Rebound.,61,57
10:30,-1,Zach Wilmoth missed Three Point Jumper.,61,57
10:30,-1,Zach Wilmoth Offensive Rebound.,61,57
10:17,-1,Donte Falls missed Jumper.,61,57
10:17,2193,Hanner Mosquera-Perea Defensive Rebound.,61,57
10:09,2193,T.J. Cromer missed Three Point Jumper.,61,57
10:09,2193,Jermaine Long Offensive Rebound.,61,57
10:05,-1,Foul on Donte Falls.,61,57
10:05,2193,Jermaine Long made Free Throw.,61,58
10:05,2193,Jermaine Long made Free Throw.,61,59
9:53,-1,Donte Falls Turnover.,61,59
9:42,2193,T.J. Cromer missed Three Point Jumper.,61,59
9:42,-1,Tyriq Royal Defensive Rebound.,61,59
9:28,-1,Lepreece Lynch made Three Point Jumper.,64,59
9:05,2193,Hanner Mosquera-Perea missed Jumper.,64,59
9:05,2193,Hanner Mosquera-Perea Offensive Rebound.,64,59
9:01,2193,David Burrell made Layup.,64,61
8:39,-1,Lepreece Lynch made Jumper.,66,61
8:24,-1,Foul on Jordan Turner.,66,61
8:24,2193,Jermaine Long made Free Throw.,66,62
8:24,2193,Jermaine Long made Free Throw.,66,63
8:05,-1,Avery Wallis made Jumper.,68,63
7:54,2193,Desonta Bradford missed Layup.,68,63
7:54,2193,Desonta Bradford Offensive Rebound.,68,63
7:46,2193,David Burrell made Three Point Jumper. Assisted by Desonta Bradford.,68,66
7:37,-1,Jordan Turner made Layup.,70,66
7:13,-1,Foul on Tyriq Royal.,70,66
7:13,2193,Official TV Timeout,70,66
7:13,2193,David Burrell made Free Throw.,70,67
7:13,2193,David Burrell made Free Throw.,70,68
6:47,-1,Jordan Turner made Jumper. Assisted by Donte Falls.,72,68
6:29,-1,Foul on Jonathan Honroe.,72,68
6:28,2193,T.J. Cromer made Free Throw.,72,69
6:28,2193,T.J. Cromer made Free Throw.,72,70
6:10,2193,Foul on A.J. Merriweather.,72,70
6:10,2193,Technical Foul on A.J. Merriweather.,72,70
6:10,-1,Jordan Turner made Free Throw.,73,70
6:10,-1,Jordan Turner made Free Throw.,74,70
6:10,-1,Lepreece Lynch missed Free Throw.,74,70
6:10,-1,Lees-McRae Deadball Team Rebound.,74,70
6:10,-1,Lepreece Lynch made Free Throw.,75,70
5:54,2193,Hanner Mosquera-Perea made Layup. Assisted by Desonta Bradford.,75,72
5:46,-1,Lepreece Lynch made Layup.,77,72
5:33,2193,David Burrell missed Three Point Jumper.,77,72
5:33,-1,Donte Falls Defensive Rebound.,77,72
5:13,-1,Foul on Donte Falls.,77,72
5:13,-1,Donte Falls Turnover.,77,72
4:53,-1,Foul on Keith Heard II.,77,72
4:53,2193,T.J. Cromer missed Free Throw.,77,72
4:53,2193,East Tennessee St Deadball Team Rebound.,77,72
4:53,2193,T.J. Cromer made Free Throw.,77,73
4:28,-1,Donte Falls missed Three Point Jumper.,77,73
4:28,2193,T.J. Cromer Defensive Rebound.,77,73
4:26,-1,Foul on Chad Hicks.,77,73
4:26,2193,T.J. Cromer made Free Throw.,77,74
4:26,2193,T.J. Cromer missed Free Throw.,77,74
4:26,-1,Lepreece Lynch Defensive Rebound.,77,74
4:17,-1,Jordan Turner missed Three Point Jumper.,77,74
4:17,2193,Hanner Mosquera-Perea Defensive Rebound.,77,74
4:08,-1,Foul on Donte Falls.,77,74
4:08,2193,Desonta Bradford missed Free Throw.,77,74
4:08,2193,East Tennessee St Deadball Team Rebound.,77,74
4:08,2193,Desonta Bradford made Free Throw.,77,75
3:54,-1,Jonathan Honroe missed Layup.,77,75
3:54,2193,Desonta Bradford Block.,77,75
3:54,-1,Lees-McRae Offensive Rebound.,77,75
3:54,2193,Official TV Timeout,77,75
3:52,-1,Jonathan Honroe Turnover.,77,75
3:52,2193,Devontavius Payne Steal.,77,75
3:50,-1,Foul on Lepreece Lynch.,77,75
3:50,2193,Devontavius Payne missed Free Throw.,77,75
3:50,2193,East Tennessee St Deadball Team Rebound.,77,75
3:50,2193,Devontavius Payne missed Free Throw.,77,75
3:50,-1,Jonathan Honroe Defensive Rebound.,77,75
3:39,-1,Keegan Crabtree missed Layup.,77,75
3:39,2193,Hanner Mosquera-Perea Block.,77,75
3:37,2193,Devontavius Payne Defensive Rebound.,77,75
3:33,2193,Devontavius Payne Turnover.,77,75
3:32,-1,Jonathan Honroe Steal.,77,75
3:26,-1,Rishad Felton Turnover.,77,75
3:25,2193,T.J. Cromer Steal.,77,75
3:21,2193,T.J. Cromer made Layup.,77,77
3:15,2193,Foul on Hanner Mosquera-Perea.,77,77
3:14,-1,Marcus Anderson missed Free Throw.,77,77
3:14,-1,Lees-McRae Deadball Team Rebound.,77,77
3:14,-1,Marcus Anderson made Free Throw.,78,77
3:03,2193,Devontavius Payne missed Three Point Jumper.,78,77
3:03,-1,Charles Dickson Defensive Rebound.,78,77
2:43,-1,Jonathan Honroe made Jumper.,80,77
2:42,-1,Lees-McRae  Timeout,80,77
2:20,2193,T.J. Cromer missed Jumper.,80,77
2:20,2193,Hanner Mosquera-Perea Offensive Rebound.,80,77
2:16,2193,Hanner Mosquera-Perea made Dunk.,80,79
1:47,-1,Jonathan Honroe missed Three Point Jumper.,80,79
1:47,2193,Tevin Glass Defensive Rebound.,80,79
1:45,-1,Lees-McRae  Turnover.,80,79
1:30,2193,Hanner Mosquera-Perea made Layup. Assisted by Desonta Bradford.,80,81
1:28,2193,East Tennessee St  Timeout,80,81
1:16,-1,Lepreece Lynch missed Jumper.,80,81
1:16,2193,T.J. Cromer Defensive Rebound.,80,81
0:47,2193,Devontavius Payne missed Jumper.,80,81
0:47,-1,Lepreece Lynch Defensive Rebound.,80,81
0:30,-1,Rishad Felton missed Three Point Jumper.,80,81
0:30,2193,Hanner Mosquera-Perea Defensive Rebound.,80,81
0:25,-1,Foul on Rishad Felton.,80,81
0:25,2193,Desonta Bradford made Free Throw.,80,82
0:25,2193,Desonta Bradford made Free Throw.,80,83
0:15,-1,Foul on Lepreece Lynch.,80,83
0:15,-1,Lepreece Lynch Turnover.,80,83
0:13,-1,Foul on Rishad Felton.,80,83
0:13,2193,T.J. Cromer made Free Throw.,80,84
0:13,2193,T.J. Cromer made Free Throw.,80,85
0:13,2193,East Tennessee St  Timeout,80,85
0:07,-1,Lepreece Lynch missed Three Point Jumper.,80,85
0:07,2193,Tevin Glass Defensive Rebound.,80,85
0:00,2193,End of Game,80,85
