Nicholls,309,Louisiana,2447
10:50,309,Johnathan Stove Defensive Rebound.,9,22
10:25,309,Frank Bartley IV Turnover.,9,22
10:25,2447,DeAndre Harris Steal.,9,22
10:07,2447,Johnathan Bell missed Layup.,9,22
10:07,309,Justin Miller Defensive Rebound.,9,22
10:07,309,Jerekius Davis Block.,9,22
9:39,309,Foul on Johnathan Stove.,9,24
9:39,2447,DeAndre Harris missed Free Throw.,9,24
9:39,2447,Nicholls Deadball Team Rebound.,9,24
9:39,2447,DeAndre Harris made Free Throw.,10,24
9:22,309,Scott Plaisance missed Jumper.,10,24
9:22,2447,Nicholls Defensive Rebound.,10,24
9:09,309,Foul on Roydell Brown.,10,24
9:09,2447,Johnathan Bell made Free Throw.,11,24
9:09,2447,Johnathan Bell made Free Throw.,12,24
8:54,309,Frank Bartley IV Turnover.,12,24
8:53,2447,DeAndre Harris Steal.,12,24
8:51,309,Foul on Frank Bartley IV.,12,24
8:51,2447,DeAndre Harris made Free Throw.,13,24
8:51,2447,DeAndre Harris made Free Throw.,14,24
8:45,309,Justin Miller made Layup. Assisted by Jay Wright.,14,26
8:45,2447,Foul on Liam Thomas.,14,26
8:45,309,Justin Miller missed Free Throw.,14,26
8:45,2447,Nicholls Deadball Team Rebound.,14,26
8:45,309,Foul on Roydell Brown.,14,26
8:34,2447,Foul on Adam Ward.,14,26
8:34,309,Roydell Brown missed Free Throw.,14,26
8:34,309,UL Lafayette Deadball Team Rebound.,14,26
8:34,309,Roydell Brown made Free Throw.,14,27
8:21,2447,Ja'Dante' Frye made Jumper.,16,27
8:07,309,Foul on Justin Miller.,16,27
8:07,309,Justin Miller Turnover.,16,27
7:51,2447,Ja'Dante' Frye made Jumper.,18,27
7:26,2447,Foul on Luka Kamber.,18,27
7:26,309,Official TV Timeout,18,27
7:26,309,Johnathan Stove made Free Throw.,18,28
7:26,309,Johnathan Stove made Free Throw.,18,29
7:07,2447,Ja'Dante' Frye made Layup.,20,29
7:07,309,Foul on Johnathan Stove.,20,29
7:07,2447,Ja'Dante' Frye made Free Throw.,21,29
6:52,309,Jacob Broussard missed Three Point Jumper.,21,29
6:52,2447,Ja'Dante' Frye Defensive Rebound.,21,29
6:39,2447,DeAndre Harris missed Layup.,21,29
6:39,309,Bryce Washington Defensive Rebound.,21,29
6:28,309,Johnathan Stove Turnover.,21,29
6:26,2447,Johnathan Bell Steal.,21,29
6:24,309,Foul on Bryce Washington.,21,29
6:24,2447,Johnathan Bell missed Free Throw.,21,29
6:24,2447,Nicholls Deadball Team Rebound.,21,29
6:24,2447,Johnathan Bell made Free Throw.,22,29
6:12,309,Bryce Washington Turnover.,22,29
5:50,2447,Jahvaughn Powell Turnover.,22,29
5:31,309,Justin Miller made Jumper.,22,31
5:20,2447,Ja'Dante' Frye missed Three Point Jumper.,22,31
5:20,309,Justin Miller Defensive Rebound.,22,31
5:12,309,Johnathan Stove made Jumper.,22,33
4:52,2447,DeAndre Harris made Layup. Assisted by Luka Kamber.,24,33
4:34,309,Justin Miller made Layup. Assisted by Johnathan Stove.,24,35
4:20,2447,DeAndre Harris Turnover.,24,35
4:19,309,Bryce Washington Steal.,24,35
4:19,2447,Foul on Jahvaughn Powell.,24,35
4:19,309,Bryce Washington made Free Throw.,24,36
4:19,309,Bryce Washington missed Free Throw.,24,36
4:19,309,Scott Plaisance Offensive Rebound.,24,36
4:18,309,Scott Plaisance made Jumper.,24,38
3:58,309,Foul on Scott Plaisance.,24,38
3:58,309,Official TV Timeout,24,38
3:58,2447,DeAndre Harris made Free Throw.,25,38
3:58,2447,DeAndre Harris made Free Throw.,26,38
3:51,309,Scott Plaisance made Dunk. Assisted by Johnathan Stove.,26,40
3:29,2447,Ja'Dante' Frye missed Jumper.,26,40
3:29,2447,Luka Kamber Offensive Rebound.,26,40
3:25,2447,Luka Kamber Turnover.,26,40
3:25,309,Jerekius Davis Steal.,26,40
3:17,309,P.J. Hardy made Three Point Jumper. Assisted by Bryce Washington.,26,43
2:57,2447,Luka Kamber missed Layup.,26,43
2:57,2447,Luka Kamber Offensive Rebound.,26,43
2:53,2447,Luka Kamber made Layup.,28,43
2:43,2447,Foul on Luka Kamber.,28,43
2:43,309,Bryce Washington missed Free Throw.,28,43
2:43,309,UL Lafayette Deadball Team Rebound.,28,43
2:43,309,Bryce Washington missed Free Throw.,28,43
2:43,309,Jerekius Davis Offensive Rebound.,28,43
2:41,2447,Foul on Johnathan Bell.,28,43
2:41,309,Jerekius Davis missed Free Throw.,28,43
2:41,309,UL Lafayette Deadball Team Rebound.,28,43
2:41,309,Jerekius Davis made Free Throw.,28,44
2:22,2447,Lafayette Rutledge missed Three Point Jumper.,28,44
2:22,2447,Luka Kamber Offensive Rebound.,28,44
2:18,2447,Johnathan Bell made Jumper.,30,44
2:02,309,Johnathan Stove missed Layup.,30,44
2:02,309,Bryce Washington Offensive Rebound.,30,44
2:00,309,Bryce Washington made Jumper.,30,46
1:40,2447,Luka Kamber missed Jumper.,30,46
1:40,309,P.J. Hardy Defensive Rebound.,30,46
1:32,309,Jerekius Davis missed Three Point Jumper.,30,46
1:32,2447,Nicholls Defensive Rebound.,30,46
1:31,309,Foul on Scott Plaisance.,30,46
1:31,309,UL Lafayette  Timeout,30,46
1:31,2447,Johnathan Bell made Free Throw.,31,46
1:31,2447,Johnathan Bell made Free Throw.,32,46
1:21,309,Scott Plaisance made Layup. Assisted by Bryce Washington.,32,48
1:21,2447,Foul on Johnathan Bell.,32,48
1:21,309,Scott Plaisance missed Free Throw.,32,48
1:21,2447,Jahvaughn Powell Defensive Rebound.,32,48
1:13,309,Foul on Scott Plaisance.,32,48
1:13,2447,Johnathan Bell missed Free Throw.,32,48
1:13,2447,Nicholls Deadball Team Rebound.,32,48
1:13,2447,Johnathan Bell made Free Throw.,33,48
1:03,309,P.J. Hardy missed Three Point Jumper.,33,48
1:03,309,Bryce Washington Offensive Rebound.,33,48
1:00,309,Bryce Washington missed Jumper.,33,48
1:00,2447,Johnathan Bell Block.,33,48
0:58,2447,Luka Kamber Defensive Rebound.,33,48
0:43,2447,DeAndre Harris missed Jumper.,33,48
0:43,2447,Luka Kamber Offensive Rebound.,33,48
0:23,2447,DeAndre Harris made Layup.,35,48
0:00,309,Johnathan Stove missed Three Point Jumper.,35,48
0:00,2447,DeAndre Harris Defensive Rebound.,35,48
0:00,309,End of 1st half,35,48
19:39,2447,Liam Thomas missed Jumper.,35,48
19:39,309,Frank Bartley IV Defensive Rebound.,35,48
19:26,309,Bryce Washington missed Layup.,35,48
19:26,2447,Liam Thomas Block.,35,48
19:22,2447,Nicholls Defensive Rebound.,35,48
19:03,2447,Ja'Dante' Frye made Jumper.,37,48
18:54,309,Bryce Washington made Layup. Assisted by Jay Wright.,37,50
18:45,2447,Jahvaughn Powell Turnover.,37,50
18:27,309,Justin Miller made Jumper.,37,52
17:57,2447,Tre O'Neal made Layup. Assisted by Liam Thomas.,39,52
17:41,309,Justin Miller Turnover.,39,52
17:35,2447,Ja'Dante' Frye Turnover.,39,52
17:34,309,Frank Bartley IV Steal.,39,52
17:30,309,Frank Bartley IV made Layup.,39,54
17:05,2447,Liam Thomas made Jumper. Assisted by Johnathan Bell.,41,54
16:53,309,Bryce Washington missed Layup.,41,54
16:53,2447,Liam Thomas Defensive Rebound.,41,54
16:42,2447,Tre O'Neal made Jumper.,43,54
16:19,309,Justin Miller made Jumper. Assisted by Roydell Brown.,43,56
15:49,2447,Ja'Dante' Frye made Three Point Jumper. Assisted by Liam Thomas.,46,56
15:26,309,Official TV Timeout,46,56
15:26,309,Roydell Brown missed Jumper.,46,56
15:26,2447,Johnathan Bell Block.,46,56
15:26,309,UL Lafayette Offensive Rebound.,46,56
15:15,309,Bryce Washington missed Jumper.,46,56
15:15,309,Justin Miller Offensive Rebound.,46,56
15:09,309,Justin Miller missed Jumper.,46,56
15:09,2447,Liam Thomas Block.,46,56
15:09,309,UL Lafayette Offensive Rebound.,46,56
15:07,309,Bryce Washington missed Jumper.,46,56
15:07,2447,Stevie Repichowski Defensive Rebound.,46,56
14:43,2447,Tre O'Neal Turnover.,46,56
14:42,309,Bryce Washington Steal.,46,56
14:40,2447,Foul on Ja'Dante' Frye.,46,56
14:40,309,Frank Bartley IV missed Free Throw.,46,56
14:40,309,UL Lafayette Deadball Team Rebound.,46,56
14:40,309,Frank Bartley IV made Free Throw.,46,57
14:14,2447,Tre O'Neal missed Jumper.,46,57
14:14,2447,Nicholls Offensive Rebound.,46,57
14:11,2447,Jahvaughn Powell Turnover.,46,57
14:03,309,Jay Wright missed Jumper.,46,57
14:03,2447,Liam Thomas Block.,46,57
14:02,309,Bryce Washington Offensive Rebound.,46,57
13:57,309,Justin Miller missed Jumper.,46,57
13:57,309,Jay Wright Offensive Rebound.,46,57
13:53,309,Frank Bartley IV made Three Point Jumper. Assisted by Jay Wright.,46,60
13:23,2447,DeAndre Harris made Layup.,48,60
13:02,309,Bryce Washington missed Jumper.,48,60
13:02,2447,Liam Thomas Block.,48,60
13:01,2447,Tre O'Neal Defensive Rebound.,48,60
12:51,2447,Liam Thomas missed Three Point Jumper.,48,60
12:51,309,Bryce Washington Defensive Rebound.,48,60
12:44,309,Jay Wright missed Jumper.,48,60
12:44,309,Roydell Brown Offensive Rebound.,48,60
12:41,309,Roydell Brown made Layup.,48,62
12:38,309,UL Lafayette  Timeout,48,62
12:19,309,Foul on Jay Wright.,48,62
12:14,2447,Tre O'Neal missed Jumper.,48,62
12:14,309,Justin Miller Defensive Rebound.,48,62
11:53,309,Johnathan Stove made Jumper. Assisted by Frank Bartley IV.,48,64
11:30,2447,Johnathan Bell missed Layup.,48,64
11:30,2447,Adam Ward Offensive Rebound.,48,64
11:26,2447,Adam Ward made Layup.,50,64
11:14,309,Frank Bartley IV made Three Point Jumper. Assisted by Jay Wright.,50,67
10:46,2447,Johnathan Bell Turnover.,50,67
10:46,309,Official TV Timeout,50,67
10:29,309,Frank Bartley IV missed Three Point Jumper.,50,67
10:29,2447,DeAndre Harris Defensive Rebound.,50,67
10:22,2447,DeAndre Harris Turnover.,50,67
10:22,309,Frank Bartley IV Steal.,50,67
10:09,309,P.J. Hardy missed Three Point Jumper.,50,67
10:09,309,UL Lafayette Deadball Team Rebound.,50,67
10:09,2447,Foul on Ja'Dante' Frye.,50,67
10:05,309,Bryce Washington made Layup. Assisted by Frank Bartley IV.,50,69
9:53,2447,DeAndre Harris Turnover.,50,69
9:52,309,Frank Bartley IV Steal.,50,69
9:50,309,Frank Bartley IV made Dunk.,50,71
9:48,2447,Nicholls  Timeout,50,71
9:40,2447,Johnathan Bell missed Three Point Jumper.,50,71
9:40,2447,Adam Ward Offensive Rebound.,50,71
9:33,309,Foul on Frank Bartley IV.,50,71
9:31,2447,Lafayette Rutledge missed Three Point Jumper.,50,71
9:31,309,Bryce Washington Defensive Rebound.,50,71
9:17,309,P.J. Hardy made Three Point Jumper. Assisted by Bryce Washington.,50,74
9:03,2447,Jahvaughn Powell made Layup. Assisted by Adam Ward.,52,74
8:54,2447,Foul on Johnathan Bell.,52,74
8:54,309,Johnathan Stove made Free Throw.,52,75
8:54,309,Johnathan Stove missed Free Throw.,52,75
8:54,2447,Adam Ward Defensive Rebound.,52,75
8:36,2447,Johnathan Bell Turnover.,52,75
8:36,309,Bryce Washington Steal.,52,75
8:28,2447,Foul on Adam Ward.,52,75
8:28,309,Jay Wright made Free Throw.,52,76
8:28,309,Jay Wright missed Free Throw.,52,76
8:28,309,Bryce Washington Offensive Rebound.,52,76
8:24,309,Bryce Washington Turnover.,52,76
8:24,2447,Jahvaughn Powell Steal.,52,76
8:17,2447,Lafayette Rutledge made Three Point Jumper. Assisted by Jahvaughn Powell.,55,76
7:57,309,Jerekius Davis made Layup.,55,78
7:33,309,Foul on Johnathan Stove.,55,78
7:33,309,Official TV Timeout,55,78
7:33,2447,Technical Foul on Ja'Dante' Frye.,55,78
7:33,2447,Foul on Ja'Dante' Frye.,55,78
7:33,309,P.J. Hardy missed Free Throw.,55,78
7:33,309,UL Lafayette Deadball Team Rebound.,55,78
7:33,309,P.J. Hardy made Free Throw.,55,79
7:30,309,Jay Wright Steal.,55,79
7:30,2447,Jahvaughn Powell Turnover.,55,79
7:27,2447,Foul on Lafayette Rutledge.,55,79
7:27,309,Jay Wright missed Free Throw.,55,79
7:27,309,UL Lafayette Deadball Team Rebound.,55,79
7:27,309,Jay Wright missed Free Throw.,55,79
7:27,309,Justin Miller Offensive Rebound.,55,79
7:27,309,Justin Miller made Layup.,55,81
7:08,2447,Lafayette Rutledge Turnover.,55,81
7:07,309,Jerekius Davis Steal.,55,81
7:03,309,P.J. Hardy made Layup. Assisted by Jerekius Davis.,55,83
6:50,2447,Nicholls  Timeout,55,83
6:49,2447,Stevie Repichowski Turnover.,55,83
6:48,309,Jay Wright Steal.,55,83
6:47,309,Jay Wright made Dunk.,55,85
6:32,2447,Liam Thomas made Dunk. Assisted by DeAndre Harris.,57,85
6:17,309,Jay Wright made Layup. Assisted by P.J. Hardy.,57,87
6:05,2447,DeAndre Harris missed Layup.,57,87
6:05,309,Jay Wright Defensive Rebound.,57,87
5:56,309,Justin Miller Turnover.,57,87
5:55,2447,Jahvaughn Powell Steal.,57,87
5:51,2447,Jahvaughn Powell missed Three Point Jumper.,57,87
5:51,2447,Liam Thomas Offensive Rebound.,57,87
5:47,2447,Stevie Repichowski missed Three Point Jumper.,57,87
5:47,309,Justin Miller Defensive Rebound.,57,87
5:39,309,P.J. Hardy Turnover.,57,87
5:35,2447,DeAndre Harris made Layup.,59,87
5:35,309,Foul on Justin Miller.,59,87
5:35,2447,DeAndre Harris missed Free Throw.,59,87
5:35,309,Scott Plaisance Defensive Rebound.,59,87
5:27,309,Scott Plaisance made Layup. Assisted by Justin Miller.,59,89
5:13,2447,DeAndre Harris missed Three Point Jumper.,59,89
5:13,309,P.J. Hardy Block.,59,89
5:12,2447,Nicholls Offensive Rebound.,59,89
5:09,2447,Luka Kamber missed Three Point Jumper.,59,89
5:09,309,Scott Plaisance Defensive Rebound.,59,89
4:56,309,Jay Wright missed Jumper.,59,89
4:56,2447,Liam Thomas Defensive Rebound.,59,89
4:43,2447,DeAndre Harris made Layup.,61,89
4:26,309,P.J. Hardy made Three Point Jumper. Assisted by Scott Plaisance.,61,92
4:20,309,UL Lafayette  Timeout,61,92
3:54,309,Foul on Scott Plaisance.,61,92
3:54,2447,DeAndre Harris made Free Throw.,62,92
3:54,2447,DeAndre Harris made Free Throw.,63,92
3:31,2447,Foul on Liam Thomas.,63,92
3:31,309,Roydell Brown made Free Throw.,63,93
3:31,309,Roydell Brown made Free Throw.,63,94
3:24,309,Foul on Jacob Broussard.,63,94
3:24,2447,DeAndre Harris made Free Throw.,64,94
3:24,2447,DeAndre Harris made Free Throw.,65,94
3:07,309,Larenz Stalcup Turnover.,65,94
3:05,2447,DeAndre Harris Steal.,65,94
3:02,2447,DeAndre Harris Turnover.,65,94
2:48,309,Larenz Stalcup made Jumper. Assisted by Jerekius Davis.,65,96
2:26,2447,DeAndre Harris Turnover.,65,96
2:21,309,Mason Aucoin missed Three Point Jumper.,65,96
2:21,2447,Stevie Repichowski Defensive Rebound.,65,96
1:58,2447,Stevie Repichowski made Layup.,67,96
1:38,309,Larenz Stalcup Turnover.,67,96
1:36,2447,Johnathan Bell Steal.,67,96
1:33,2447,Johnathan Bell made Layup.,69,96
1:21,309,Jerekius Davis Turnover.,69,96
1:19,2447,Brett Weaver Steal.,69,96
1:12,2447,Brett Weaver missed Three Point Jumper.,69,96
1:12,309,Jerekius Davis Defensive Rebound.,69,96
1:05,2447,Foul on Liam Thomas.,69,96
1:05,309,Jerekius Davis made Free Throw.,69,97
1:05,309,Jerekius Davis made Free Throw.,69,98
0:51,2447,Luka Kamber missed Jumper.,69,98
0:51,309,Larenz Stalcup Block.,69,98
0:50,309,Jerekius Davis Defensive Rebound.,69,98
0:46,309,P.J. Hardy missed Layup.,69,98
0:46,2447,Nicholls Defensive Rebound.,69,98
0:18,2447,Johnathan Bell missed Three Point Jumper.,69,98
0:18,309,Larenz Stalcup Defensive Rebound.,69,98
0:08,309,Jerekius Davis made Three Point Jumper.,69,101
0:00,309,End of Game,69,101
