Presentation College,Error,South Dakota State,2571
7:43,2571,Lane Severyn Defensive Rebound.,19,35
7:24,-1,Foul on Isaiah Grace.,19,35
7:24,2571,Lane Severyn made Free Throw.,19,36
7:24,2571,Lane Severyn made Free Throw.,19,37
7:08,-1,Deiontay Walters missed Three Point Jumper.,19,37
7:08,-1,Quadre Lollis Offensive Rebound.,19,37
6:58,-1,Riyadh Asad missed Three Point Jumper.,19,37
6:58,-1,Isaiah Grace Offensive Rebound.,19,37
6:54,-1,Isaiah Grace made Jumper.,21,37
6:41,2571,Ian Theisen missed Layup.,21,37
6:41,-1,Quadre Lollis Defensive Rebound.,21,37
6:20,-1,Isaiah Grace missed Jumper.,21,37
6:20,2571,Ian Theisen Defensive Rebound.,21,37
6:02,-1,Foul on Isaiah Grace.,21,37
6:02,2571,Mike Daum made Free Throw.,21,38
6:02,2571,Mike Daum made Free Throw.,21,39
5:44,-1,Larry Johnson missed Layup.,21,39
5:44,-1,Mychal Deas Offensive Rebound.,21,39
5:42,-1,Mychal Deas made Layup.,23,39
5:32,2571,David Jenkins Jr. made Jumper.,23,41
5:16,-1,Julius Jackson made Jumper.,25,41
4:59,2571,David Jenkins Jr. made Three Point Jumper.,25,44
4:41,-1,Quadre Lollis Turnover.,25,44
4:40,2571,Lane Severyn Steal.,25,44
4:34,2571,Mike Daum made Three Point Jumper. Assisted by Reed Tellinghuisen.,25,47
4:11,-1,Mychal Deas missed Three Point Jumper.,25,47
4:11,-1,Larry Johnson Offensive Rebound.,25,47
4:08,-1,Larry Johnson missed Layup.,25,47
4:08,2571,Mike Daum Defensive Rebound.,25,47
4:01,-1,Foul on Mychal Deas.,25,47
4:01,2571,David Jenkins Jr. made Free Throw.,25,48
4:01,2571,David Jenkins Jr. made Free Throw.,25,49
3:47,-1,Julius Jackson missed Three Point Jumper.,25,49
3:47,-1,Tayton Maher Offensive Rebound.,25,49
3:42,-1,Larry Johnson missed Jumper.,25,49
3:42,2571,Skyler Flatten Defensive Rebound.,25,49
3:27,2571,Skyler Flatten made Three Point Jumper. Assisted by Ian Theisen.,25,52
3:09,-1,Larry Johnson missed Layup.,25,52
3:09,2571,Skyler Flatten Defensive Rebound.,25,52
2:48,2571,Ian Theisen made Layup.,25,54
2:33,2571,Foul on Ian Theisen.,25,54
2:33,2571,Official TV Timeout,25,54
2:30,2571,Foul on Skyler Flatten.,25,54
2:25,-1,Julius Jackson missed Jumper.,25,54
2:25,-1,Larry Johnson Offensive Rebound.,25,54
2:20,-1,Larry Johnson made Layup.,27,54
2:02,-1,Foul on Larry Johnson.,27,54
2:02,2571,Mike Daum missed Free Throw.,27,54
2:02,2571,South Dakota State Deadball Team Rebound.,27,54
2:02,2571,Mike Daum made Free Throw.,27,55
1:46,-1,Julius Jackson Turnover.,27,55
1:27,2571,Mike Daum made Jumper.,27,57
0:56,-1,Deiontay Walters missed Three Point Jumper.,27,57
0:56,2571,Mike Daum Defensive Rebound.,27,57
0:43,2571,David Jenkins Jr. made Jumper.,27,59
0:26,-1,Quadre Lollis made Layup.,29,59
0:26,2571,Foul on Mike Daum.,29,59
0:26,-1,Quadre Lollis made Free Throw.,30,59
0:04,2571,Skyler Flatten missed Three Point Jumper.,30,59
0:04,-1,Riyadh Asad Defensive Rebound.,30,59
0:00,2571,End of 1st half,30,59
19:48,-1,Larry Johnson missed Jumper.,30,59
19:48,2571,Reed Tellinghuisen Defensive Rebound.,30,59
19:32,2571,Mike Daum missed Jumper.,30,59
19:32,2571,Mike Daum Offensive Rebound.,30,59
19:27,2571,Mike Daum missed Jumper.,30,59
19:27,-1,Quadre Lollis Defensive Rebound.,30,59
19:17,-1,Larry Johnson Turnover.,30,59
19:08,2571,Mike Daum made Layup. Assisted by David Jenkins Jr..,30,61
18:53,-1,Julius Jackson missed Jumper.,30,61
18:53,2571,Skyler Flatten Block.,30,61
18:52,2571,Skyler Flatten Defensive Rebound.,30,61
18:47,2571,Reed Tellinghuisen made Dunk. Assisted by David Jenkins Jr..,30,63
18:22,-1,Deiontay Walters missed Jumper.,30,63
18:22,2571,Reed Tellinghuisen Defensive Rebound.,30,63
18:03,2571,Reed Tellinghuisen made Three Point Jumper. Assisted by Lane Severyn.,30,66
17:40,2571,Foul on Lane Severyn.,30,66
17:26,-1,Jalen Johnson made Three Point Jumper. Assisted by Deiontay Walters.,33,66
17:07,2571,Reed Tellinghuisen made Jumper.,33,68
16:51,-1,Larry Johnson missed Jumper.,33,68
16:51,-1,Quadre Lollis Offensive Rebound.,33,68
16:47,-1,Quadre Lollis made Layup.,35,68
16:40,2571,David Jenkins Jr. made Jumper.,35,70
16:21,-1,Jalen Johnson made Jumper. Assisted by Deiontay Walters.,37,70
16:04,2571,Mike Daum made Layup.,37,72
15:50,-1,Deiontay Walters missed Jumper.,37,72
15:50,2571,Mike Daum Defensive Rebound.,37,72
15:42,2571,Reed Tellinghuisen missed Three Point Jumper.,37,72
15:42,-1,Larry Johnson Defensive Rebound.,37,72
15:31,2571,Foul on Reed Tellinghuisen.,37,72
15:31,2571,Official TV Timeout,37,72
15:20,-1,Jalen Johnson made Three Point Jumper. Assisted by Mychal Deas.,40,72
15:04,2571,Chris Howell made Layup. Assisted by Reed Tellinghuisen.,40,74
15:04,-1,Foul on Mychal Deas.,40,74
15:04,2571,Chris Howell made Free Throw.,40,75
14:39,-1,Mychal Deas made Three Point Jumper. Assisted by Riyadh Asad.,43,75
14:26,2571,David Jenkins Jr. missed Jumper.,43,75
14:26,-1,Presentation College Defensive Rebound.,43,75
14:10,2571,Foul on Tevin King.,43,75
13:59,-1,Riyadh Asad missed Three Point Jumper.,43,75
13:59,2571,Brandon Key Defensive Rebound.,43,75
13:44,2571,Tevin King made Layup.,43,77
13:29,-1,Larry Johnson made Jumper.,45,77
13:15,2571,Tevin King missed Jumper.,45,77
13:15,2571,Chris Howell Offensive Rebound.,45,77
13:09,2571,Chris Howell missed Layup.,45,77
13:09,2571,Lane Severyn Offensive Rebound.,45,77
12:59,2571,Chris Howell made Jumper.,45,79
12:48,-1,Riyadh Asad missed Three Point Jumper.,45,79
12:48,2571,Ian Theisen Defensive Rebound.,45,79
12:31,2571,Brandon Key missed Three Point Jumper.,45,79
12:31,-1,Presentation College Defensive Rebound.,45,79
12:05,-1,Marcus Gatlin made Three Point Jumper. Assisted by Larry Johnson.,48,79
11:54,2571,Chris Howell made Three Point Jumper.,48,82
11:38,-1,Larry Johnson Turnover.,48,82
11:37,2571,Tevin King Steal.,48,82
11:33,-1,Foul on Julius Jackson.,48,82
11:33,2571,Official TV Timeout,48,82
11:33,2571,Tevin King missed Free Throw.,48,82
11:33,2571,South Dakota State Deadball Team Rebound.,48,82
11:33,2571,Tevin King missed Free Throw.,48,82
11:33,-1,Riyadh Asad Defensive Rebound.,48,82
11:15,-1,Jalen Johnson missed Three Point Jumper.,48,82
11:15,2571,Tevin King Defensive Rebound.,48,82
11:10,-1,Foul on Riyadh Asad.,48,82
10:53,2571,Ian Theisen made Layup.,48,84
10:28,-1,Marcus Gatlin missed Jumper.,48,84
10:28,2571,Chris Howell Defensive Rebound.,48,84
10:14,-1,Foul on Marcus Gatlin.,48,84
10:14,2571,Chris Howell made Free Throw.,48,85
10:14,2571,Chris Howell made Free Throw.,48,86
9:58,-1,Isaiah Grace Turnover.,48,86
9:57,2571,Brandon Key Steal.,48,86
9:54,2571,Brandon Key made Layup.,48,88
9:38,2571,Foul on Tevin King.,48,88
9:33,-1,Isaiah Grace missed Jumper.,48,88
9:33,2571,South Dakota State Defensive Rebound.,48,88
9:16,2571,Mike Daum made Three Point Jumper. Assisted by Reed Tellinghuisen.,48,91
8:55,-1,Marcus Gatlin missed Three Point Jumper.,48,91
8:55,2571,Reed Tellinghuisen Defensive Rebound.,48,91
8:36,2571,Mike Daum made Layup.,48,93
8:36,-1,Foul on Isaiah Grace.,48,93
8:36,2571,Mike Daum missed Free Throw.,48,93
8:36,-1,Isaiah Grace Defensive Rebound.,48,93
8:24,-1,Quadre Lollis missed Three Point Jumper.,48,93
8:24,2571,Reed Tellinghuisen Defensive Rebound.,48,93
8:14,2571,Ian Theisen missed Three Point Jumper.,48,93
8:14,-1,Isaiah Grace Defensive Rebound.,48,93
8:03,-1,Quadre Lollis missed Layup.,48,93
8:03,2571,Ian Theisen Defensive Rebound.,48,93
7:42,2571,David Jenkins Jr. missed Three Point Jumper.,48,93
7:42,-1,Isaiah Grace Defensive Rebound.,48,93
7:27,-1,Deiontay Walters made Jumper.,50,93
7:08,2571,Skyler Flatten missed Three Point Jumper.,50,93
7:08,2571,David Jenkins Jr. Offensive Rebound.,50,93
6:59,2571,Reed Tellinghuisen missed Three Point Jumper.,50,93
6:59,-1,Isaiah Grace Defensive Rebound.,50,93
6:44,-1,Quadre Lollis missed Layup.,50,93
6:44,2571,South Dakota State Defensive Rebound.,50,93
6:42,2571,Official TV Timeout,50,93
6:31,2571,Chris Howell missed Jumper.,50,93
6:31,-1,Isaiah Grace Defensive Rebound.,50,93
6:13,-1,Mychal Deas missed Three Point Jumper.,50,93
6:13,2571,Tevin King Defensive Rebound.,50,93
6:03,2571,Tevin King made Three Point Jumper. Assisted by Ian Theisen.,50,96
5:49,2571,Foul on Brandon Key.,50,96
5:49,-1,Deiontay Walters made Free Throw.,51,96
5:49,-1,Deiontay Walters made Free Throw.,52,96
5:49,-1,Deiontay Walters missed Free Throw.,52,96
5:49,2571,Chris Howell Defensive Rebound.,52,96
5:37,2571,Tevin King missed Jumper.,52,96
5:37,-1,Deiontay Walters Defensive Rebound.,52,96
5:29,-1,Quadre Lollis missed Layup.,52,96
5:29,2571,Tevin King Block.,52,96
5:28,-1,Mychal Deas Offensive Rebound.,52,96
5:23,-1,Mychal Deas made Layup.,54,96
5:14,2571,Chris Howell made Layup. Assisted by Brandon Key.,54,98
5:14,-1,Foul on Sean Schuring.,54,98
5:14,2571,Chris Howell made Free Throw.,54,99
4:58,-1,Mychal Deas missed Three Point Jumper.,54,99
4:58,2571,South Dakota State Defensive Rebound.,54,99
4:45,2571,Brandon Key made Three Point Jumper.,54,102
4:21,-1,Mychal Deas missed Jumper.,54,102
4:21,2571,Lane Severyn Defensive Rebound.,54,102
4:15,2571,Tevin King made Three Point Jumper. Assisted by Brandon Key.,54,105
3:57,2571,Foul on Ian Theisen.,54,105
3:57,2571,Official TV Timeout,54,105
3:57,-1,Quadre Lollis made Free Throw.,55,105
3:57,-1,Quadre Lollis made Free Throw.,56,105
3:39,-1,Foul on Larry Johnson.,56,105
3:39,2571,Ian Theisen made Free Throw.,56,106
3:39,2571,Ian Theisen made Free Throw.,56,107
3:24,-1,Isaiah Grace missed Layup.,56,107
3:24,2571,Brandon Key Defensive Rebound.,56,107
3:12,2571,Chris Howell made Jumper.,56,109
3:01,-1,Deiontay Walters made Jumper.,58,109
2:27,2571,Tevin King missed Layup.,58,109
2:27,-1,Larry Johnson Block.,58,109
2:26,2571,Lane Severyn Offensive Rebound.,58,109
2:23,2571,Lane Severyn made Layup.,58,111
2:05,2571,Foul on Chris Howell.,58,111
2:05,-1,Sean Schuring made Free Throw.,59,111
2:05,-1,Sean Schuring made Free Throw.,60,111
1:52,2571,Brandon Key missed Three Point Jumper.,60,111
1:52,-1,Larry Johnson Defensive Rebound.,60,111
1:39,-1,Sean Schuring made Three Point Jumper. Assisted by Larry Johnson.,63,111
1:20,2571,Brandon Key Turnover.,63,111
0:56,-1,Deiontay Walters made Layup.,65,111
0:26,-1,Foul on Isaiah Grace.,65,111
0:26,2571,Brandon Key missed Free Throw.,65,111
0:26,-1,Isaiah Grace Defensive Rebound.,65,111
0:20,-1,Deiontay Walters made Three Point Jumper.,68,111
0:00,2571,End of Game,68,111
