Idaho State,2692,Weber State,304
13:05,304,Novak Topalovic Turnover.,15,5
12:45,2692,Zach Braxton missed Layup.,15,5
12:45,304,Kyle Ingram Defensive Rebound.,15,5
12:25,304,Kyle Ingram made Jumper. Assisted by Jared Stutzman.,17,5
12:08,2692,Dusty Baker Turnover.,17,5
12:06,304,Brandon Boyd Steal.,17,5
12:01,304,Balint Mocsan missed Layup.,17,5
12:01,304,Jared Stutzman Offensive Rebound.,17,5
11:54,304,Jared Stutzman made Two Point Tip Shot.,19,5
11:39,2692,Dusty Baker missed Jumper.,19,5
11:39,304,Balint Mocsan Defensive Rebound.,19,5
11:22,304,Balint Mocsan missed Three Point Jumper.,19,5
11:22,2692,Jerrick Harding Defensive Rebound.,19,5
11:13,2692,Jerrick Harding made Layup.,19,7
10:45,304,Kyle Ingram Turnover.,19,7
10:45,2692,Official TV Timeout,19,7
10:29,2692,Jerrick Harding made Layup.,19,9
10:01,304,Foul on Balint Mocsan.,19,9
10:01,304,Balint Mocsan Turnover.,19,9
9:48,2692,Jerrick Harding Turnover.,19,9
9:47,304,Balint Mocsan Steal.,19,9
9:45,304,Balint Mocsan made Layup.,21,9
9:28,2692,Brekkott Chapman made Jumper.,21,11
9:13,304,Sam Dowd Turnover.,21,11
9:04,2692,Jerrick Harding made Layup.,21,13
8:40,304,Brandon Boyd missed Jumper.,21,13
8:40,2692,Brekkott Chapman Defensive Rebound.,21,13
8:28,2692,Ryan Richardson missed Jumper.,21,13
8:28,304,Jared Stutzman Defensive Rebound.,21,13
8:05,304,Geno Luzcando missed Jumper.,21,13
8:05,2692,Michal Kozak Block.,21,13
8:02,2692,Ricky Nelson Defensive Rebound.,21,13
7:59,2692,Ryan Richardson made Layup. Assisted by Ricky Nelson.,21,15
7:51,304,Idaho State  Timeout,21,15
7:32,304,Brandon Boyd Turnover.,21,15
7:30,2692,Ricky Nelson Steal.,21,15
7:23,2692,Michal Kozak missed Layup.,21,15
7:23,304,Kyle Ingram Block.,21,15
7:20,304,Kyle Ingram Defensive Rebound.,21,15
7:00,304,Jared Stutzman made Layup.,23,15
6:42,2692,Ryan Richardson made Jumper.,23,17
6:19,304,Kyle Ingram missed Layup.,23,17
6:19,2692,Ryan Richardson Block.,23,17
6:16,2692,Michal Kozak Defensive Rebound.,23,17
6:12,2692,Ricky Nelson made Jumper.,23,19
5:50,304,Jared Stutzman missed Three Point Jumper.,23,19
5:50,2692,Jerrick Harding Defensive Rebound.,23,19
5:41,2692,Ricky Nelson Turnover.,23,19
5:39,304,Brandon Boyd Steal.,23,19
5:37,304,Brandon Boyd made Layup.,25,19
5:22,304,Foul on Erik Nakken.,25,19
5:12,2692,Jerrick Harding made Layup.,25,21
4:53,2692,Foul on Jerrick Harding.,25,21
4:40,304,Geno Luzcando made Layup.,27,21
4:22,304,Foul on Blake Truman.,27,21
4:22,2692,Zach Braxton made Free Throw.,27,22
4:22,2692,Zach Braxton made Free Throw.,27,23
4:10,2692,Foul on Brekkott Chapman.,27,23
4:01,2692,Foul on Ricky Nelson.,27,23
3:53,304,Blake Truman missed Three Point Jumper.,27,23
3:53,2692,Brekkott Chapman Defensive Rebound.,27,23
3:36,2692,Brekkott Chapman Turnover.,27,23
3:34,304,Geno Luzcando Steal.,27,23
3:34,304,Geno Luzcando Turnover.,27,23
3:34,2692,Official TV Timeout,27,23
3:24,2692,Jerrick Harding missed Three Point Jumper.,27,23
3:24,2692,Jerrick Harding Offensive Rebound.,27,23
3:15,2692,Brekkott Chapman missed Three Point Jumper.,27,23
3:15,304,Geno Luzcando Defensive Rebound.,27,23
2:45,304,Geno Luzcando missed Three Point Jumper.,27,23
2:45,2692,Brekkott Chapman Defensive Rebound.,27,23
2:37,2692,Ryan Richardson missed Three Point Jumper.,27,23
2:37,304,Erik Nakken Defensive Rebound.,27,23
2:18,304,Brandon Boyd made Layup.,29,23
2:01,304,Foul on Blake Truman.,29,23
2:01,2692,Zach Braxton made Free Throw.,29,24
2:01,2692,Zach Braxton made Free Throw.,29,25
1:47,304,Erik Nakken missed Three Point Jumper.,29,25
1:47,304,Jacob McCord Offensive Rebound.,29,25
1:44,2692,Foul on Zach Braxton.,29,25
1:43,304,Brandon Boyd missed Three Point Jumper.,29,25
1:43,2692,Dusty Baker Defensive Rebound.,29,25
1:24,2692,Jerrick Harding made Layup.,29,27
1:08,304,Jacob McCord missed Three Point Jumper.,29,27
1:08,2692,Jerrick Harding Defensive Rebound.,29,27
1:00,2692,Jerrick Harding missed Layup.,29,27
1:00,304,Jacob McCord Defensive Rebound.,29,27
0:39,304,Erik Nakken missed Three Point Jumper.,29,27
0:39,2692,Ryan Richardson Defensive Rebound.,29,27
0:14,2692,Ryan Richardson Turnover.,29,27
0:13,304,Geno Luzcando Steal.,29,27
0:11,304,Geno Luzcando made Dunk. Assisted by Brandon Boyd.,31,27
0:03,2692,Jerrick Harding Turnover.,31,27
0:01,304,Brandon Boyd Turnover.,31,27
0:01,2692,Jerrick Harding missed Three Point Jumper.,31,27
0:01,304,Idaho State Defensive Rebound.,31,27
0:00,2692,End of 1st half,31,27
19:49,2692,Zach Braxton missed Jumper.,31,27
19:49,304,Novak Topalovic Defensive Rebound.,31,27
19:21,304,Jared Stutzman missed Three Point Jumper.,31,27
19:21,2692,Zach Braxton Defensive Rebound.,31,27
19:04,2692,Dusty Baker Turnover.,31,27
19:03,304,Geno Luzcando Steal.,31,27
18:39,304,Balint Mocsan made Jumper.,33,27
18:15,2692,Michal Kozak made Three Point Jumper. Assisted by Jerrick Harding.,33,30
17:53,304,Geno Luzcando missed Layup.,33,30
17:53,2692,Michal Kozak Defensive Rebound.,33,30
17:45,2692,Zach Braxton made Jumper. Assisted by Michal Kozak.,33,32
17:13,304,Jared Stutzman missed Three Point Jumper.,33,32
17:13,2692,Zach Braxton Defensive Rebound.,33,32
17:05,2692,Ryan Richardson missed Three Point Jumper.,33,32
17:05,304,Balint Mocsan Defensive Rebound.,33,32
16:51,304,Balint Mocsan missed Three Point Jumper.,33,32
16:51,2692,Jerrick Harding Defensive Rebound.,33,32
16:44,2692,Dusty Baker missed Layup.,33,32
16:44,304,Novak Topalovic Defensive Rebound.,33,32
16:35,2692,Foul on Michal Kozak.,33,32
16:35,304,Jared Stutzman made Free Throw.,34,32
16:35,304,Jared Stutzman missed Free Throw.,34,32
16:35,2692,Michal Kozak Defensive Rebound.,34,32
16:24,2692,Zach Braxton missed Layup.,34,32
16:24,2692,Michal Kozak Offensive Rebound.,34,32
16:16,2692,Ryan Richardson made Jumper.,34,34
15:53,2692,Official TV Timeout,34,34
15:43,304,Novak Topalovic Turnover.,34,34
15:40,2692,Ryan Richardson Steal.,34,34
15:37,304,Foul on Jared Stutzman.,34,34
15:37,2692,Michal Kozak made Free Throw.,34,35
15:37,2692,Michal Kozak made Free Throw.,34,36
15:25,304,Brandon Boyd made Three Point Jumper. Assisted by Geno Luzcando.,37,36
14:59,2692,Brekkott Chapman made Layup.,37,38
14:44,304,Geno Luzcando made Layup.,39,38
14:28,2692,Zach Braxton missed Jumper.,39,38
14:28,304,Brandon Boyd Defensive Rebound.,39,38
14:09,304,Jared Stutzman made Layup.,41,38
13:49,2692,Brekkott Chapman Turnover.,41,38
13:47,304,Novak Topalovic Steal.,41,38
13:29,2692,Foul on Zach Braxton.,41,38
13:29,304,Jared Stutzman missed Free Throw.,41,38
13:29,304,Idaho State Deadball Team Rebound.,41,38
13:29,304,Jared Stutzman missed Free Throw.,41,38
13:29,2692,Michal Kozak Defensive Rebound.,41,38
13:15,2692,Ryan Richardson Turnover.,41,38
13:14,304,Jared Stutzman Steal.,41,38
13:07,304,Novak Topalovic made Layup. Assisted by Jared Stutzman.,43,38
12:54,304,Foul on Brandon Boyd.,43,38
12:43,2692,Ryan Richardson missed Three Point Jumper.,43,38
12:43,304,Balint Mocsan Defensive Rebound.,43,38
12:15,304,Novak Topalovic missed Layup.,43,38
12:15,2692,Jerrick Harding Defensive Rebound.,43,38
11:57,2692,Jerrick Harding made Layup.,43,40
11:36,304,Balint Mocsan made Layup.,45,40
11:16,2692,Foul on Jerrick Harding.,45,40
11:16,2692,Jerrick Harding Turnover.,45,40
11:16,2692,Official TV Timeout,45,40
11:03,304,Brandon Boyd made Layup.,47,40
11:03,2692,Foul on Dusty Baker.,47,40
11:03,304,Brandon Boyd made Free Throw.,48,40
10:50,2692,Jerrick Harding made Layup.,48,42
10:31,304,Novak Topalovic Turnover.,48,42
10:17,2692,Jerrick Harding made Jumper.,48,44
9:55,304,Brandon Boyd made Jumper.,50,44
9:33,2692,Ricky Nelson Turnover.,50,44
9:20,304,Balint Mocsan missed Three Point Jumper.,50,44
9:20,2692,Trevon Ary-Turner Defensive Rebound.,50,44
9:12,2692,Trevon Ary-Turner missed Jumper.,50,44
9:12,304,Jared Stutzman Defensive Rebound.,50,44
8:51,304,Jared Stutzman made Layup.,52,44
8:35,304,Foul on Jared Stutzman.,52,44
8:35,2692,Jerrick Harding made Free Throw.,52,45
8:35,2692,Jerrick Harding made Free Throw.,52,46
8:13,304,Geno Luzcando Turnover.,52,46
8:04,2692,Jerrick Harding missed Layup.,52,46
8:04,304,Novak Topalovic Block.,52,46
8:01,304,Geno Luzcando Defensive Rebound.,52,46
7:45,304,Balint Mocsan missed Three Point Jumper.,52,46
7:45,2692,Trevon Ary-Turner Defensive Rebound.,52,46
7:37,2692,Dusty Baker missed Three Point Jumper.,52,46
7:37,304,Geno Luzcando Defensive Rebound.,52,46
7:20,304,Brandon Boyd missed Three Point Jumper.,52,46
7:20,2692,Trevon Ary-Turner Defensive Rebound.,52,46
7:17,304,Foul on Geno Luzcando.,52,46
7:17,2692,Official TV Timeout,52,46
6:59,2692,Zach Braxton made Jumper.,52,48
6:39,2692,Foul on Trevon Ary-Turner.,52,48
6:23,304,Jared Stutzman made Three Point Jumper. Assisted by Brandon Boyd.,55,48
5:58,2692,Zach Braxton made Dunk.,55,50
5:32,304,Brandon Boyd made Three Point Jumper. Assisted by Jared Stutzman.,58,50
5:15,2692,Jerrick Harding made Jumper.,58,52
4:37,304,Novak Topalovic missed Dunk.,58,52
4:37,304,Balint Mocsan Offensive Rebound.,58,52
4:16,304,Novak Topalovic missed Jumper.,58,52
4:16,304,Geno Luzcando Offensive Rebound.,58,52
4:08,304,Idaho State  Timeout,58,52
3:52,304,Foul on Novak Topalovic.,58,52
3:52,304,Novak Topalovic Turnover.,58,52
3:52,2692,Official TV Timeout,58,52
3:31,2692,Zach Braxton missed Layup.,58,52
3:31,304,Novak Topalovic Defensive Rebound.,58,52
3:06,304,Novak Topalovic made Layup. Assisted by Brandon Boyd.,60,52
2:48,2692,Jerrick Harding missed Three Point Jumper.,60,52
2:48,304,Balint Mocsan Defensive Rebound.,60,52
2:29,304,Jared Stutzman made Layup.,62,52
2:05,2692,Ryan Richardson made Three Point Jumper.,62,55
1:37,304,Brandon Boyd Turnover.,62,55
1:36,2692,Jerrick Harding Steal.,62,55
1:30,304,Foul on Geno Luzcando.,62,55
1:28,2692,Jerrick Harding made Three Point Jumper. Assisted by Dusty Baker.,62,58
1:01,2692,Foul on Ryan Richardson.,62,58
0:45,304,Balint Mocsan missed Layup.,62,58
0:45,2692,Michal Kozak Defensive Rebound.,62,58
0:31,2692,Jerrick Harding Turnover.,62,58
0:29,304,Geno Luzcando Steal.,62,58
0:28,304,Geno Luzcando Turnover.,62,58
0:28,2692,Weber State  Timeout,62,58
0:18,2692,Jerrick Harding made Layup.,62,60
0:17,2692,Weber State  Timeout,62,60
0:17,2692,Foul on Ricky Nelson.,62,60
0:17,304,Balint Mocsan missed Free Throw.,62,60
0:17,304,Novak Topalovic Offensive Rebound.,62,60
0:15,2692,Foul on Dusty Baker.,62,60
0:15,304,Novak Topalovic missed Free Throw.,62,60
0:15,2692,Zach Braxton Defensive Rebound.,62,60
0:06,2692,Jerrick Harding Turnover.,62,60
0:04,2692,Foul on Jerrick Harding.,62,60
0:04,304,Geno Luzcando missed Free Throw.,62,60
0:04,2692,Ryan Richardson Defensive Rebound.,62,60
0:02,2692,Ryan Richardson missed Three Point Jumper.,62,60
0:02,304,Idaho State Defensive Rebound.,62,60
0:00,2692,End of Game,62,60
