Davidson,257,Richmond,2166
6:18,2166,Will Magarity missed Jumper.,19,17
6:18,257,Nick Sherod Defensive Rebound.,19,17
6:11,257,Nick Sherod missed Three Point Jumper.,19,17
6:11,2166,Peyton Aldridge Defensive Rebound.,19,17
5:55,257,Foul on Grant Golden.,19,17
5:47,2166,Peyton Aldridge missed Jumper.,19,17
5:47,257,Grant Golden Defensive Rebound.,19,17
5:25,257,Jacob Gilyard missed Layup.,19,17
5:25,2166,Peyton Aldridge Block.,19,17
5:24,2166,Peyton Aldridge Defensive Rebound.,19,17
5:08,2166,Jordan Watkins made Three Point Jumper. Assisted by Peyton Aldridge.,22,17
4:43,257,De'Monte Buckingham missed Layup.,22,17
4:43,2166,Oskar Michelsen Block.,22,17
4:40,257,De'Monte Buckingham Offensive Rebound.,22,17
4:38,257,De'Monte Buckingham made Jumper.,22,19
4:30,2166,Jon Axel Gudmundsson missed Layup.,22,19
4:30,257,Nathan Cayo Block.,22,19
4:28,257,Nathan Cayo Defensive Rebound.,22,19
4:21,257,De'Monte Buckingham made Jumper.,22,21
4:00,2166,Peyton Aldridge missed Three Point Jumper.,22,21
4:00,257,Jacob Gilyard Defensive Rebound.,22,21
3:45,257,Grant Golden Turnover.,22,21
3:45,257,Official TV Timeout,22,21
3:24,257,Foul on Solly Stansbury.,22,21
3:24,2166,Kellan Grady made Free Throw.,23,21
3:24,2166,Kellan Grady made Free Throw.,24,21
3:06,257,Nick Sherod made Three Point Jumper. Assisted by Jacob Gilyard.,24,24
2:42,2166,Kellan Grady missed Jumper.,24,24
2:42,257,Julius Johnson Defensive Rebound.,24,24
2:26,257,Nick Sherod Turnover.,24,24
2:17,257,Foul on Nick Sherod.,24,24
2:09,2166,KiShawn Pritchett made Jumper.,26,24
1:54,2166,Foul on Will Magarity.,26,24
1:54,257,De'Monte Buckingham missed Free Throw.,26,24
1:54,257,Richmond Deadball Team Rebound.,26,24
1:54,257,De'Monte Buckingham made Free Throw.,26,25
1:38,2166,Kellan Grady made Three Point Jumper. Assisted by Rusty Reigel.,29,25
1:12,257,Nathan Cayo Turnover.,29,25
0:57,257,Foul on Khwan Fore.,29,25
0:48,2166,Peyton Aldridge Turnover.,29,25
0:30,257,Grant Golden missed Three Point Jumper.,29,25
0:30,2166,Peyton Aldridge Defensive Rebound.,29,25
0:24,2166,Davidson  Timeout,29,25
0:02,2166,KiShawn Pritchett Turnover.,29,25
0:01,257,Jacob Gilyard Steal.,29,25
0:00,257,End of 1st half,29,25
19:42,257,Khwan Fore made Layup.,29,27
19:14,2166,Oskar Michelsen missed Three Point Jumper.,29,27
19:14,257,De'Monte Buckingham Defensive Rebound.,29,27
18:57,257,Nick Sherod made Jumper.,29,29
18:41,2166,Peyton Aldridge missed Jumper.,29,29
18:41,257,De'Monte Buckingham Defensive Rebound.,29,29
18:25,257,Grant Golden made Jumper.,29,31
18:13,2166,Davidson  Timeout,29,31
17:59,257,Foul on Grant Golden.,29,31
17:45,2166,Peyton Aldridge missed Three Point Jumper.,29,31
17:45,257,Grant Golden Defensive Rebound.,29,31
17:28,257,De'Monte Buckingham missed Jumper.,29,31
17:28,2166,Kellan Grady Defensive Rebound.,29,31
17:20,2166,Jon Axel Gudmundsson missed Three Point Jumper.,29,31
17:20,2166,Oskar Michelsen Offensive Rebound.,29,31
17:10,2166,Kellan Grady made Three Point Jumper. Assisted by Rusty Reigel.,32,31
16:38,257,Joe Kirby missed Three Point Jumper.,32,31
16:38,2166,Jon Axel Gudmundsson Defensive Rebound.,32,31
16:25,2166,Jon Axel Gudmundsson missed Three Point Jumper.,32,31
16:25,2166,Rusty Reigel Offensive Rebound.,32,31
16:12,2166,Peyton Aldridge Turnover.,32,31
16:01,2166,Foul on Kellan Grady.,32,31
16:01,257,Jacob Gilyard made Free Throw.,32,32
16:01,257,Jacob Gilyard missed Free Throw.,32,32
16:01,2166,Peyton Aldridge Defensive Rebound.,32,32
15:52,2166,Kellan Grady missed Three Point Jumper.,32,32
15:52,257,Nick Sherod Defensive Rebound.,32,32
15:33,257,Official TV Timeout,32,34
15:32,257,Nick Sherod made Jumper.,32,34
15:32,2166,Foul on Will Magarity.,32,34
15:32,257,Official TV Timeout,32,34
15:32,257,Nick Sherod made Free Throw.,32,35
15:18,257,Foul on Julius Johnson.,32,35
15:05,2166,Jon Axel Gudmundsson missed Jumper.,32,35
15:05,2166,Peyton Aldridge Offensive Rebound.,32,35
15:03,2166,Peyton Aldridge missed Jumper.,32,35
15:03,257,De'Monte Buckingham Defensive Rebound.,32,35
14:31,257,Foul on Nick Sherod.,32,35
14:29,257,Khwan Fore missed Jumper.,32,35
14:29,2166,Peyton Aldridge Defensive Rebound.,32,35
14:27,2166,Peyton Aldridge missed Jumper.,32,35
14:27,257,Nick Sherod Defensive Rebound.,32,35
14:14,257,Grant Golden missed Three Point Jumper.,32,35
14:14,2166,Jordan Watkins Defensive Rebound.,32,35
13:51,2166,Kellan Grady made Jumper.,34,35
13:34,257,De'Monte Buckingham Turnover.,34,35
13:34,2166,Jordan Watkins Steal.,34,35
13:34,2166,Jordan Watkins Turnover.,34,35
13:08,257,Grant Golden made Layup.,34,37
12:49,2166,Peyton Aldridge missed Three Point Jumper.,34,37
12:49,257,Grant Golden Defensive Rebound.,34,37
12:37,2166,Foul on Oskar Michelsen.,34,37
12:27,2166,Foul on Jordan Watkins.,34,37
12:14,257,Jacob Gilyard missed Three Point Jumper.,34,37
12:14,2166,Peyton Aldridge Defensive Rebound.,34,37
11:49,2166,Kellan Grady made Three Point Jumper. Assisted by Jon Axel Gudmundsson.,37,37
11:23,257,Nick Sherod made Three Point Jumper. Assisted by Khwan Fore.,37,40
10:57,2166,Peyton Aldridge missed Jumper.,37,40
10:57,257,Grant Golden Defensive Rebound.,37,40
10:40,2166,Foul on Kellan Grady.,37,40
10:40,257,Official TV Timeout,37,40
10:40,257,Khwan Fore missed Free Throw.,37,40
10:40,257,Richmond Deadball Team Rebound.,37,40
10:40,257,Khwan Fore made Free Throw.,37,41
10:18,257,Foul on Jacob Gilyard.,37,41
10:13,257,Foul on Nathan Cayo.,37,41
10:13,2166,Peyton Aldridge made Free Throw.,38,41
10:13,2166,Peyton Aldridge made Free Throw.,39,41
9:58,2166,Foul on Oskar Michelsen.,39,41
9:58,257,Nick Sherod made Free Throw.,39,42
9:58,257,Nick Sherod made Free Throw.,39,43
9:42,2166,Kellan Grady missed Layup.,39,43
9:42,257,Solly Stansbury Defensive Rebound.,39,43
9:31,257,Khwan Fore Turnover.,39,43
9:12,2166,Peyton Aldridge made Jumper. Assisted by KiShawn Pritchett.,41,43
9:12,257,Foul on Jacob Gilyard.,41,43
9:12,2166,Peyton Aldridge made Free Throw.,42,43
8:47,257,Nathan Cayo missed Layup.,42,43
8:47,2166,Jon Axel Gudmundsson Defensive Rebound.,42,43
8:42,2166,Jon Axel Gudmundsson missed Layup.,42,43
8:42,257,Nick Sherod Defensive Rebound.,42,43
8:34,257,De'Monte Buckingham made Jumper.,42,45
8:15,2166,Kellan Grady missed Three Point Jumper.,42,45
8:15,257,De'Monte Buckingham Defensive Rebound.,42,45
8:08,2166,Foul on KiShawn Pritchett.,42,45
8:08,257,De'Monte Buckingham missed Free Throw.,42,45
8:08,257,Richmond Deadball Team Rebound.,42,45
8:08,257,De'Monte Buckingham missed Free Throw.,42,45
8:08,2166,Peyton Aldridge Defensive Rebound.,42,45
7:57,2166,Kellan Grady made Dunk.,44,45
7:45,257,Grant Golden made Layup.,44,47
7:24,257,Official TV Timeout,44,47
7:24,257,Foul on Nick Sherod.,44,47
7:24,257,Official TV Timeout,44,47
7:24,2166,Peyton Aldridge missed Free Throw.,44,47
7:24,257,Nick Sherod Defensive Rebound.,44,47
7:08,257,Khwan Fore made Layup.,44,49
6:36,2166,Will Magarity missed Three Point Jumper.,44,49
6:36,257,Grant Golden Defensive Rebound.,44,49
6:30,257,De'Monte Buckingham made Three Point Jumper. Assisted by Nick Sherod.,44,52
6:12,2166,KiShawn Pritchett missed Three Point Jumper.,44,52
6:12,257,Nick Sherod Defensive Rebound.,44,52
5:51,257,Grant Golden missed Jumper.,44,52
5:51,2166,Oskar Michelsen Defensive Rebound.,44,52
5:44,257,Foul on De'Monte Buckingham.,44,52
5:44,2166,Jon Axel Gudmundsson made Free Throw.,45,52
5:44,2166,Jon Axel Gudmundsson made Free Throw.,46,52
5:30,2166,Foul on Oskar Michelsen.,46,52
5:30,257,De'Monte Buckingham made Free Throw.,46,53
5:30,257,De'Monte Buckingham made Free Throw.,46,54
5:01,2166,Kellan Grady made Three Point Jumper. Assisted by Peyton Aldridge.,49,54
4:33,257,Jacob Gilyard missed Three Point Jumper.,49,54
4:33,2166,Oskar Michelsen Defensive Rebound.,49,54
4:19,2166,Kellan Grady made Layup.,51,54
3:53,257,Khwan Fore made Jumper.,51,56
3:45,2166,Jon Axel Gudmundsson Turnover.,51,56
3:44,257,Nick Sherod Steal.,51,56
3:26,257,De'Monte Buckingham missed Layup.,51,56
3:26,2166,Oskar Michelsen Defensive Rebound.,51,56
3:14,2166,Kellan Grady made Dunk.,53,56
3:06,257,Richmond  Timeout,53,56
2:52,257,Nick Sherod made Three Point Jumper. Assisted by Jacob Gilyard.,53,59
2:30,2166,Kellan Grady missed Layup.,53,59
2:30,257,Nick Sherod Defensive Rebound.,53,59
2:04,2166,Foul on Rusty Reigel.,53,59
2:04,257,Grant Golden made Free Throw.,53,60
2:04,257,Grant Golden made Free Throw.,53,61
1:51,257,Foul on Grant Golden.,53,61
1:51,2166,Peyton Aldridge made Free Throw.,54,61
1:51,2166,Peyton Aldridge made Free Throw.,55,61
1:43,2166,Foul on Kellan Grady.,55,61
1:43,257,Khwan Fore made Free Throw.,55,62
1:43,257,Khwan Fore made Free Throw.,55,63
1:26,2166,KiShawn Pritchett missed Three Point Jumper.,55,63
1:26,257,Jacob Gilyard Defensive Rebound.,55,63
1:14,2166,Foul on KiShawn Pritchett.,55,63
1:14,257,Jacob Gilyard made Free Throw.,55,64
1:14,257,Jacob Gilyard made Free Throw.,55,65
1:00,2166,Peyton Aldridge missed Three Point Jumper.,55,65
0:59,257,Grant Golden Defensive Rebound.,55,65
0:59,2166,Foul on Jon Axel Gudmundsson.,55,65
0:59,257,Grant Golden made Free Throw.,55,66
0:59,257,Grant Golden made Free Throw.,55,67
0:49,2166,Rusty Reigel Turnover.,55,67
0:48,257,Khwan Fore Steal.,55,67
0:44,2166,Foul on Kellan Grady.,55,67
0:44,257,Jacob Gilyard made Free Throw.,55,68
0:44,257,Jacob Gilyard made Free Throw.,55,69
0:38,257,Foul on Khwan Fore.,55,69
0:38,2166,Kellan Grady made Free Throw.,56,69
0:38,2166,Kellan Grady missed Free Throw.,56,69
0:38,257,Grant Golden Defensive Rebound.,56,69
0:17,257,Grant Golden missed Layup.,56,69
0:17,2166,Jordan Watkins Defensive Rebound.,56,69
0:12,2166,Jordan Watkins made Layup.,58,69
0:00,257,End of Game,58,69
