Rice,2638,UTEP,242
15:09,242,Foul on A.J. Lapray.,39,39
15:09,2638,Official TV Timeout,39,39
15:09,2638,Trey Touchet made Free Throw.,39,40
15:09,2638,Trey Touchet made Free Throw.,39,41
14:48,242,Ako Adams missed Jumper.,39,41
14:48,2638,Kobe Magee Defensive Rebound.,39,41
14:30,242,Foul on Tim Harrison.,39,41
14:30,2638,Trey Wade missed Free Throw.,39,41
14:30,2638,UTEP Deadball Team Rebound.,39,41
14:30,2638,Trey Wade missed Free Throw.,39,41
14:30,242,Connor Cashaw Defensive Rebound.,39,41
14:13,242,Bishop Mency missed Three Point Jumper.,39,41
14:13,2638,Trey Wade Block.,39,41
14:10,2638,Kobe Magee Defensive Rebound.,39,41
14:04,2638,Isiah Osborne made Layup. Assisted by Kobe Magee.,39,43
13:49,2638,Foul on Jake Flaggert.,39,43
13:48,242,Ako Adams missed Three Point Jumper.,39,43
13:48,242,Connor Cashaw Offensive Rebound.,39,43
13:39,242,Connor Cashaw missed Jumper.,39,43
13:39,242,Austin Meyer Offensive Rebound.,39,43
13:31,242,Connor Cashaw made Layup. Assisted by Najja Hunter.,41,43
13:17,2638,Tirus Smith made Dunk. Assisted by Jake Flaggert.,41,45
12:54,242,Ako Adams missed Layup.,41,45
12:47,2638,Trey Wade Defensive Rebound.,41,45
12:35,2638,Tirus Smith made Jumper.,41,47
12:10,242,Connor Cashaw made Jumper.,43,47
11:47,2638,Official TV Timeout,43,47
11:32,2638,Isiah Osborne made Jumper.,43,49
11:03,242,Miles Lester missed Jumper.,43,49
11:03,2638,Paul Thomas Defensive Rebound.,43,49
10:46,2638,Isiah Osborne made Layup.,43,51
10:39,242,Rice  Timeout,43,51
10:39,2638,Official TV Timeout,43,51
10:23,242,Bishop Mency made Layup. Assisted by Connor Cashaw.,45,51
10:00,2638,Paul Thomas Turnover.,45,51
9:59,242,A.J. Lapray Steal.,45,51
9:55,242,Connor Cashaw missed Jumper.,45,51
9:55,2638,Isiah Osborne Defensive Rebound.,45,51
9:26,2638,Matt Willms made Dunk. Assisted by Evan Gilyard.,45,53
9:07,242,A.J. Lapray missed Three Point Jumper.,45,53
9:07,2638,Evan Gilyard Defensive Rebound.,45,53
8:54,2638,Isiah Osborne missed Dunk.,45,53
8:54,242,A.J. Lapray Defensive Rebound.,45,53
8:46,242,Foul on A.J. Lapray.,45,53
8:46,242,A.J. Lapray Turnover.,45,53
8:34,2638,Isiah Osborne made Three Point Jumper. Assisted by Trey Touchet.,45,56
8:18,2638,Foul on Tirus Smith.,45,56
8:18,242,Bishop Mency missed Free Throw.,45,56
8:18,242,Rice Deadball Team Rebound.,45,56
8:18,242,Bishop Mency made Free Throw.,46,56
7:56,2638,Evan Gilyard Turnover.,46,56
7:55,242,Najja Hunter Steal.,46,56
7:52,242,Miles Lester made Layup.,48,56
7:37,2638,Isiah Osborne missed Three Point Jumper.,48,56
7:37,2638,Trey Touchet Offensive Rebound.,48,56
7:18,2638,Trey Wade made Three Point Jumper. Assisted by Trey Touchet.,48,59
6:58,242,Bishop Mency missed Three Point Jumper.,48,59
6:58,2638,Evan Gilyard Defensive Rebound.,48,59
6:40,2638,Trey Touchet missed Jumper.,48,59
6:40,2638,Trey Wade Offensive Rebound.,48,59
6:37,2638,Trey Wade made Layup.,48,61
6:29,242,Rice  Timeout,48,61
6:29,2638,Official TV Timeout,48,61
6:21,242,Connor Cashaw made Layup. Assisted by Ako Adams.,50,61
6:06,2638,Tirus Smith made Layup. Assisted by Isiah Osborne.,50,63
5:51,2638,Foul on Trey Touchet.,50,63
5:51,242,Connor Cashaw made Free Throw.,51,63
5:51,242,Connor Cashaw made Free Throw.,52,63
5:24,2638,Trey Touchet made Jumper.,52,65
5:00,2638,Foul on Tirus Smith.,52,65
5:00,242,Connor Cashaw made Free Throw.,53,65
5:00,242,Connor Cashaw made Free Throw.,54,65
4:33,2638,Jake Flaggert made Three Point Jumper.,54,68
4:22,242,A.J. Lapray missed Three Point Jumper.,54,68
4:22,2638,Tirus Smith Defensive Rebound.,54,68
4:16,242,Foul on Connor Cashaw.,54,68
3:47,2638,Trey Wade made Jumper.,54,70
3:40,2638,Foul on Evan Gilyard.,54,70
3:40,2638,Official TV Timeout,54,70
3:40,242,Ako Adams missed Free Throw.,54,70
3:40,2638,Tirus Smith Defensive Rebound.,54,70
3:13,2638,Tirus Smith Turnover.,54,70
3:12,242,Ako Adams Steal.,54,70
3:07,242,Connor Cashaw missed Three Point Jumper.,54,70
3:07,2638,Jake Flaggert Block.,54,70
3:04,242,Bishop Mency Offensive Rebound.,54,70
2:58,242,Connor Cashaw missed Three Point Jumper.,54,70
2:58,242,Rice Offensive Rebound.,54,70
2:55,2638,Foul on Jake Flaggert.,54,70
2:55,242,Malik Osborne made Free Throw.,55,70
2:55,242,Malik Osborne made Free Throw.,56,70
2:30,2638,Omega Harris made Three Point Jumper. Assisted by Trey Wade.,56,73
2:19,242,Najja Hunter missed Three Point Jumper.,56,73
2:19,2638,Trey Wade Defensive Rebound.,56,73
1:48,2638,Kobe Magee made Three Point Jumper.,56,76
1:41,242,Rice  Timeout,56,76
1:38,242,Ako Adams made Jumper.,58,76
1:21,2638,Tirus Smith missed Dunk.,58,76
1:21,242,Najja Hunter Defensive Rebound.,58,76
1:18,2638,Foul on Omega Harris.,58,76
1:18,242,Austin Meyer made Free Throw.,59,76
1:18,242,Austin Meyer missed Free Throw.,59,76
1:18,2638,Isiah Osborne Defensive Rebound.,59,76
1:04,2638,Tirus Smith missed Layup.,59,76
1:04,2638,Tirus Smith Offensive Rebound.,59,76
1:02,242,Foul on Robert Martin.,59,76
1:02,2638,Tirus Smith made Free Throw.,59,77
1:02,2638,Foul on Trey Wade.,59,77
1:02,2638,Trey Wade Turnover.,59,77
1:02,242,Tim Harrison missed Free Throw.,59,77
1:02,242,Rice Deadball Team Rebound.,59,77
1:02,242,Tim Harrison missed Free Throw.,59,77
1:02,242,Austin Meyer Offensive Rebound.,59,77
0:53,242,Austin Meyer Turnover.,59,77
0:29,2638,Isiah Osborne made Three Point Jumper. Assisted by Kobe Magee.,59,80
0:16,242,Tim Harrison made Three Point Jumper. Assisted by Miles Lester.,62,80
0:00,2638,End of Game,62,80
