Furman,2678,VMI,231
15:49,231,Daniel Fowler missed Jumper.,3,4
15:49,2678,Austin Vereen Defensive Rebound.,3,4
15:40,2678,Fred Iruafemi Turnover.,3,4
15:37,231,Daniel Fowler Steal.,3,4
15:34,231,John Davis III Turnover.,3,4
15:33,2678,Keith Smith Steal.,3,4
15:27,2678,Austin Vereen made Three Point Jumper. Assisted by Keith Smith.,3,7
15:11,231,John Davis III missed Three Point Jumper.,3,7
15:11,2678,Keith Smith Defensive Rebound.,3,7
15:03,2678,Bubba Parham made Three Point Jumper. Assisted by Austin Vereen.,3,10
14:15,231,Jordan Lyons missed Three Point Jumper.,3,10
14:15,2678,Sarju Patel Defensive Rebound.,3,10
14:07,2678,Keith Smith Turnover.,3,10
13:36,231,Jordan Lyons missed Jumper.,3,10
13:36,231,Jalen Williams Offensive Rebound.,3,10
13:30,231,Jalen Williams missed Layup.,3,10
13:30,2678,Keith Smith Defensive Rebound.,3,10
13:00,2678,Austin Vereen missed Three Point Jumper.,3,10
13:00,231,Jalen Williams Defensive Rebound.,3,10
12:35,231,Jordan Lyons made Jumper.,5,10
12:15,2678,Sarju Patel missed Layup.,5,10
12:15,231,Jalen Williams Defensive Rebound.,5,10
12:05,2678,Foul on Keith Smith.,5,10
12:05,231,Devin Sibley made Free Throw.,6,10
12:05,231,Devin Sibley missed Free Throw.,6,10
12:05,2678,Austin Vereen Defensive Rebound.,6,10
11:43,2678,Greg Parham made Jumper. Assisted by Fred Iruafemi.,6,12
11:37,231,Devin Sibley missed Three Point Jumper.,6,12
11:37,2678,Fred Iruafemi Defensive Rebound.,6,12
11:19,2678,Bubba Parham made Three Point Jumper. Assisted by Sarju Patel.,6,15
10:48,231,Matt Rafferty made Layup.,8,15
10:28,2678,Sarju Patel missed Three Point Jumper.,8,15
10:28,231,Matt Rafferty Defensive Rebound.,8,15
10:21,231,Daniel Fowler made Three Point Jumper. Assisted by John Davis III.,11,15
9:58,2678,Fred Iruafemi Turnover.,11,15
9:58,2678,Official TV Timeout,11,15
9:39,231,Daniel Fowler missed Three Point Jumper.,11,15
9:39,231,Matt Rafferty Offensive Rebound.,11,15
9:36,231,Matt Rafferty made Layup.,13,15
9:36,2678,Foul on Will Miller.,13,15
9:36,231,Matt Rafferty missed Free Throw.,13,15
9:36,2678,Will Miller Defensive Rebound.,13,15
9:21,2678,Sarju Patel Turnover.,13,15
9:19,231,John Davis III Steal.,13,15
8:52,231,Daniel Fowler made Three Point Jumper. Assisted by Devin Sibley.,16,15
8:30,2678,Tyler Creammer Turnover.,16,15
8:28,231,Devin Sibley Steal.,16,15
8:18,231,John Davis III made Jumper.,18,15
8:18,2678,Foul on Sarju Patel.,18,15
8:11,2678,Keith Smith missed Jumper.,18,15
8:11,231,Matt Rafferty Defensive Rebound.,18,15
7:58,2678,Foul on Keith Smith.,18,15
7:58,2678,Official TV Timeout,18,15
7:58,231,John Davis III made Free Throw.,19,15
7:58,231,John Davis III made Free Throw.,20,15
7:43,2678,Tyler Creammer missed Jumper.,20,15
7:43,231,Jalen Williams Defensive Rebound.,20,15
7:38,231,Jordan Lyons made Three Point Jumper.,23,15
7:05,2678,Bubba Parham Turnover.,23,15
7:03,231,Clay Mounce Steal.,23,15
6:58,2678,Foul on Tyler Creammer.,23,15
6:58,231,Daniel Fowler missed Free Throw.,23,15
6:58,231,Furman Deadball Team Rebound.,23,15
6:58,231,Daniel Fowler made Free Throw.,24,15
6:52,2678,Bubba Parham Turnover.,24,15
6:34,231,John Davis III made Three Point Jumper. Assisted by Jalen Williams.,27,15
6:21,2678,Bubba Parham missed Three Point Jumper.,27,15
6:21,231,Andrew Brown Defensive Rebound.,27,15
6:11,231,Jordan Lyons made Three Point Jumper. Assisted by Andrew Brown.,30,15
6:10,2678,VMI  Timeout,30,15
6:03,2678,Greg Parham missed Three Point Jumper.,30,15
6:03,2678,Austin Vereen Offensive Rebound.,30,15
5:43,2678,Fred Iruafemi Turnover.,30,15
5:22,231,Matt Rafferty missed Layup.,30,15
5:22,2678,Fred Iruafemi Block.,30,15
5:22,2678,VMI Defensive Rebound.,30,15
5:05,2678,Fred Iruafemi missed Jumper.,30,15
5:05,231,Andrew Brown Defensive Rebound.,30,15
4:48,231,John Davis III made Layup.,32,15
4:40,2678,Keith Smith missed Three Point Jumper.,32,15
4:40,231,Devin Sibley Defensive Rebound.,32,15
4:34,231,Jordan Lyons Turnover.,32,15
4:19,2678,Sarju Patel missed Jumper.,32,15
4:19,231,Devin Sibley Defensive Rebound.,32,15
4:12,231,Devin Sibley missed Jumper.,32,15
4:12,2678,Fred Iruafemi Defensive Rebound.,32,15
4:01,2678,Myles Lewis missed Jumper.,32,15
4:01,2678,VMI Offensive Rebound.,32,15
3:51,2678,Bubba Parham Turnover.,32,15
3:51,2678,Foul on Bubba Parham.,32,15
3:51,2678,Official TV Timeout,32,15
3:44,231,Clay Mounce made Three Point Jumper. Assisted by Daniel Fowler.,35,15
3:29,231,Foul on Matt Rafferty.,35,15
3:22,2678,Sarju Patel made Three Point Jumper. Assisted by Bubba Parham.,35,18
2:48,231,Devin Sibley Turnover.,35,18
2:48,231,Foul on Devin Sibley.,35,18
2:38,2678,Keith Smith Turnover.,35,18
2:36,231,Daniel Fowler Steal.,35,18
2:32,231,John Davis III made Layup.,37,18
2:11,2678,Bubba Parham missed Jumper.,37,18
2:11,231,Clay Mounce Defensive Rebound.,37,18
1:56,231,John Davis III missed Jumper.,37,18
1:56,2678,Tyler Creammer Defensive Rebound.,37,18
1:54,2678,Tyler Creammer Turnover.,37,18
1:46,231,Matt Rafferty Turnover.,37,18
1:45,2678,Austin Vereen Steal.,37,18
1:37,231,Foul on Alex Hunter.,37,18
1:21,2678,Austin Vereen Turnover.,37,18
1:19,231,Clay Mounce Steal.,37,18
1:11,231,Clay Mounce made Layup. Assisted by Daniel Fowler.,39,18
1:03,2678,Greg Parham Turnover.,39,18
1:01,231,Clay Mounce Steal.,39,18
0:58,231,John Davis III missed Layup.,39,18
0:58,2678,Bubba Parham Defensive Rebound.,39,18
0:35,2678,Bubba Parham missed Three Point Jumper.,39,18
0:35,2678,Tyler Creammer Offensive Rebound.,39,18
0:33,231,Foul on Matt Rafferty.,39,18
0:33,2678,Tyler Creammer missed Free Throw.,39,18
0:33,231,Alex Hunter Defensive Rebound.,39,18
0:08,231,Jalen Williams made Dunk. Assisted by Daniel Fowler.,41,18
0:00,2678,End of 1st half,41,18
19:50,231,Devin Sibley made Layup. Assisted by Matt Rafferty.,43,18
19:37,2678,Tyler Creammer missed Jumper.,43,18
19:37,231,Matt Rafferty Defensive Rebound.,43,18
19:28,231,Daniel Fowler made Layup. Assisted by John Davis III.,45,18
18:56,2678,Bubba Parham made Jumper. Assisted by Will Miller.,45,20
18:41,2678,Foul on Keith Smith.,45,20
18:41,231,John Davis III missed Free Throw.,45,20
18:41,231,Furman Deadball Team Rebound.,45,20
18:41,231,John Davis III made Free Throw.,46,20
18:27,2678,Garrett Gilkeson missed Layup.,46,20
18:27,231,Matt Rafferty Block.,46,20
18:27,2678,VMI Offensive Rebound.,46,20
18:27,231,Foul on Matt Rafferty.,46,20
18:27,2678,Tyler Creammer made Free Throw.,46,21
18:27,2678,Tyler Creammer made Free Throw.,46,22
18:09,231,Devin Sibley made Three Point Jumper. Assisted by Daniel Fowler.,49,22
17:56,2678,Will Miller Turnover.,49,22
17:54,231,John Davis III Steal.,49,22
17:28,231,Daniel Fowler made Three Point Jumper.,52,22
17:17,2678,Bubba Parham missed Jumper.,52,22
17:17,231,Jalen Williams Defensive Rebound.,52,22
17:09,231,Andrew Brown made Three Point Jumper. Assisted by Daniel Fowler.,55,22
17:07,2678,VMI  Timeout,55,22
17:07,2678,Official TV Timeout,55,22
16:59,2678,Austin Vereen missed Layup.,55,22
16:59,231,Andrew Brown Defensive Rebound.,55,22
16:52,231,Jalen Williams Turnover.,55,22
16:52,231,Foul on Jalen Williams.,55,22
16:37,231,Foul on Jalen Williams.,55,22
16:37,2678,Bubba Parham made Free Throw.,55,23
16:37,2678,Bubba Parham made Free Throw.,55,24
16:29,231,Geoff Beans missed Three Point Jumper.,55,24
16:29,2678,Greg Parham Defensive Rebound.,55,24
16:21,2678,Greg Parham Turnover.,55,24
16:21,2678,Foul on Greg Parham.,55,24
16:06,231,Alex Hunter made Three Point Jumper. Assisted by Devin Sibley.,58,24
15:56,231,Foul on Geoff Beans.,58,24
15:56,2678,Official TV Timeout,58,24
15:34,2678,Bubba Parham missed Three Point Jumper.,58,24
15:34,231,Furman Defensive Rebound.,58,24
15:12,231,Daniel Fowler missed Three Point Jumper.,58,24
15:12,2678,Austin Vereen Defensive Rebound.,58,24
14:56,231,Foul on Daniel Fowler.,58,24
14:50,2678,Fred Iruafemi Turnover.,58,24
14:38,2678,Foul on Fred Iruafemi.,58,24
14:24,231,Devin Sibley missed Layup.,58,24
14:24,231,Clay Mounce Offensive Rebound.,58,24
14:19,231,Clay Mounce made Dunk.,60,24
14:06,231,Foul on Geoff Beans.,60,24
14:06,2678,Austin Vereen made Free Throw.,60,25
14:06,2678,Austin Vereen made Free Throw.,60,26
13:39,231,Devin Sibley missed Three Point Jumper.,60,26
13:39,2678,Sarju Patel Defensive Rebound.,60,26
13:26,2678,Greg Parham made Three Point Jumper. Assisted by Garrett Gilkeson.,60,29
13:04,2678,Foul on Garrett Gilkeson.,60,29
13:04,231,Geoff Beans made Free Throw.,61,29
13:04,231,Geoff Beans made Free Throw.,62,29
12:55,231,Foul on Alex Hunter.,62,29
12:55,2678,Austin Vereen made Free Throw.,62,30
12:55,2678,Austin Vereen made Free Throw.,62,31
12:39,231,Jordan Lyons made Three Point Jumper. Assisted by Clay Mounce.,65,31
12:23,2678,Tyler Creammer missed Jumper.,65,31
12:23,231,Matt Rafferty Block.,65,31
12:23,2678,VMI Offensive Rebound.,65,31
12:07,2678,Austin Vereen made Jumper.,65,33
11:51,231,Devin Sibley missed Three Point Jumper.,65,33
11:51,2678,Austin Vereen Defensive Rebound.,65,33
11:41,2678,Greg Parham missed Three Point Jumper.,65,33
11:41,2678,Garrett Gilkeson Offensive Rebound.,65,33
11:36,2678,Garrett Gilkeson made Layup.,65,35
11:31,2678,Official TV Timeout,65,35
11:05,231,Matt Rafferty Turnover.,65,35
10:50,2678,Sarju Patel missed Jumper.,65,35
10:50,231,Matt Rafferty Block.,65,35
10:48,231,Jonathan Jean Defensive Rebound.,65,35
10:43,231,Jordan Lyons made Three Point Jumper. Assisted by Jonathan Jean.,68,35
10:29,2678,Garrett Gilkeson missed Jumper.,68,35
10:29,231,Andrew Brown Defensive Rebound.,68,35
10:22,231,Matt Rafferty made Layup. Assisted by Jonathan Jean.,70,35
10:20,2678,VMI  Timeout,70,35
10:07,2678,Tyler Creammer missed Jumper.,70,35
10:07,231,Jonathan Jean Defensive Rebound.,70,35
9:55,231,Jordan Lyons missed Three Point Jumper.,70,35
9:55,2678,Garrett Gilkeson Defensive Rebound.,70,35
9:53,231,Foul on Andrew Brown.,70,35
9:53,2678,Garrett Gilkeson made Free Throw.,70,36
9:53,2678,Garrett Gilkeson made Free Throw.,70,37
9:32,231,Andrew Brown made Three Point Jumper. Assisted by Jonathan Jean.,73,37
9:11,2678,Bubba Parham made Three Point Jumper. Assisted by Keith Smith.,73,40
8:53,231,Matt Rafferty made Three Point Jumper. Assisted by Jordan Lyons.,76,40
8:42,2678,Garrett Gilkeson missed Three Point Jumper.,76,40
8:42,2678,Tyler Creammer Offensive Rebound.,76,40
8:36,2678,Tyler Creammer missed Jumper.,76,40
8:36,231,Matt Rafferty Defensive Rebound.,76,40
8:06,231,Daniel Fowler missed Three Point Jumper.,76,40
8:06,231,Andrew Brown Offensive Rebound.,76,40
8:03,231,Furman  Turnover.,76,40
7:46,2678,Garrett Gilkeson missed Jumper.,76,40
7:46,2678,Garrett Gilkeson Offensive Rebound.,76,40
7:41,2678,Garrett Gilkeson missed Layup.,76,40
7:41,2678,Will Miller Offensive Rebound.,76,40
7:40,2678,Will Miller made Layup.,76,42
7:40,231,Foul on Matt Rafferty.,76,42
7:40,2678,Official TV Timeout,76,42
7:40,2678,Will Miller made Free Throw.,76,43
7:29,2678,Foul on Bubba Parham.,76,43
7:29,231,Jalen Williams missed Free Throw.,76,43
7:29,231,Furman Deadball Team Rebound.,76,43
7:29,231,Jalen Williams made Free Throw.,77,43
7:11,2678,Austin Vereen made Three Point Jumper. Assisted by Keith Smith.,77,46
6:44,231,Jalen Williams Turnover.,77,46
6:42,2678,Garrett Gilkeson Steal.,77,46
6:39,2678,Austin Vereen missed Three Point Jumper.,77,46
6:39,231,Geoff Beans Defensive Rebound.,77,46
6:12,231,Jalen Williams made Layup. Assisted by Clay Mounce.,79,46
5:54,2678,Bubba Parham made Three Point Jumper. Assisted by Austin Vereen.,79,49
5:31,231,Clay Mounce missed Layup.,79,49
5:31,2678,Bubba Parham Defensive Rebound.,79,49
5:23,2678,Keith Smith missed Layup.,79,49
5:23,231,Jalen Williams Block.,79,49
5:15,2678,Bubba Parham made Three Point Jumper.,79,52
4:56,2678,Foul on Bubba Parham.,79,52
4:45,231,Devin Sibley made Layup.,81,52
4:38,2678,Keith Smith missed Jumper.,81,52
4:38,231,Devin Sibley Defensive Rebound.,81,52
4:26,231,Alex Hunter made Layup.,83,52
4:20,2678,Bubba Parham missed Three Point Jumper.,83,52
4:20,231,Furman Defensive Rebound.,83,52
3:55,2678,Foul on Myles Lewis.,83,52
3:55,2678,Official TV Timeout,83,52
3:55,2678,Official TV Timeout,83,52
3:55,231,Devin Sibley made Free Throw.,84,52
3:55,231,Devin Sibley missed Free Throw.,84,52
3:55,2678,Will Miller Defensive Rebound.,84,52
3:51,2678,Myles Lewis missed Jumper.,84,52
3:51,231,Jonathan Jean Defensive Rebound.,84,52
3:45,231,Devin Sibley missed Three Point Jumper.,84,52
3:45,231,Geoff Beans Offensive Rebound.,84,52
3:17,231,Jordan Lyons made Three Point Jumper. Assisted by Alex Hunter.,87,52
2:51,2678,Myles Lewis made Jumper.,87,54
2:35,231,Jonathan Jean missed Layup.,87,54
2:35,2678,VMI Defensive Rebound.,87,54
2:28,2678,Greg Parham missed Three Point Jumper.,87,54
2:28,231,Brady Schuck Defensive Rebound.,87,54
2:18,231,Jordan Lyons missed Layup.,87,54
2:18,2678,Will Miller Block.,87,54
2:16,231,Seve Stavroff Offensive Rebound.,87,54
2:05,231,Brady Schuck missed Three Point Jumper.,87,54
2:05,2678,Greg Parham Defensive Rebound.,87,54
1:59,2678,Tragen Fahl Turnover.,87,54
1:57,231,Brady Schuck Steal.,87,54
1:39,231,Geoff Beans Turnover.,87,54
1:37,2678,Myles Lewis Steal.,87,54
1:32,2678,Myles Lewis made Jumper. Assisted by Greg Parham.,87,56
1:08,231,Jordan Lyons missed Three Point Jumper.,87,56
1:08,2678,Myles Lewis Defensive Rebound.,87,56
0:32,231,Foul on Geoff Beans.,87,56
0:32,2678,Myles Lewis missed Free Throw.,87,56
0:32,2678,VMI Deadball Team Rebound.,87,56
0:32,2678,Myles Lewis made Free Throw.,87,57
0:17,231,Geoff Beans missed Three Point Jumper.,87,57
0:17,2678,Tragen Fahl Defensive Rebound.,87,57
0:01,2678,Ta'Vonne Bond Turnover.,87,57
0:00,2678,End of Game,87,57
