Louisiana Tech,276,Marshall,2348
10:13,276,Rondale Watson made Dunk. Assisted by Jon Elmore.,14,16
9:56,276,Foul on Ajdin Penava.,14,16
9:54,2348,Derric Jean made Three Point Jumper. Assisted by Amorie Archibald.,17,16
9:42,276,Jon Elmore made Layup.,17,18
9:17,2348,Derric Jean Turnover.,17,18
9:02,2348,Foul on Anthony Duruji.,17,18
8:55,276,C.J. Burks missed Layup.,17,18
8:55,2348,Derric Jean Defensive Rebound.,17,18
8:45,276,Foul on C.J. Burks.,17,18
8:42,2348,Derric Jean missed Jumper.,17,18
8:42,276,Jannson Williams Defensive Rebound.,17,18
8:38,276,Jannson Williams Turnover.,17,18
8:37,2348,Joniah White Steal.,17,18
8:35,2348,Joniah White made Layup.,19,18
8:13,276,Jarrod West made Three Point Jumper. Assisted by C.J. Burks.,19,21
7:52,2348,Derric Jean made Three Point Jumper. Assisted by Jacobi Boykins.,22,21
7:40,276,Jarrod West Turnover.,22,21
7:40,276,Official TV Timeout,22,21
7:31,2348,Jacobi Boykins made Dunk. Assisted by DaQuan Bracey.,24,21
7:15,276,C.J. Burks missed Jumper.,24,21
7:15,2348,Anthony Duruji Defensive Rebound.,24,21
7:07,2348,Derric Jean missed Three Point Jumper.,24,21
7:07,276,C.J. Burks Block.,24,21
7:05,2348,Derric Jean Offensive Rebound.,24,21
6:50,2348,Derric Jean made Layup. Assisted by Joniah White.,26,21
6:37,276,Jon Elmore missed Layup.,26,21
6:37,2348,Jacobi Boykins Defensive Rebound.,26,21
6:28,276,Foul on Jarrod West.,26,21
6:28,2348,DaQuan Bracey missed Free Throw.,26,21
6:28,2348,Louisiana Tech Deadball Team Rebound.,26,21
6:28,2348,DaQuan Bracey made Free Throw.,27,21
6:18,276,Jarrod West missed Layup.,27,21
6:18,2348,Louisiana Tech Defensive Rebound.,27,21
6:18,276,Foul on Ajdin Penava.,27,21
6:02,2348,DaQuan Bracey Turnover.,27,21
5:49,276,C.J. Burks made Jumper. Assisted by Jarrod West.,27,23
5:27,2348,Joniah White made Layup. Assisted by Jacobi Boykins.,29,23
5:13,276,Jon Elmore made Layup. Assisted by Ajdin Penava.,29,25
4:52,2348,DaQuan Bracey Turnover.,29,25
4:25,276,Jon Elmore Turnover.,29,25
4:10,2348,Oliver Powell missed Jumper.,29,25
4:10,276,C.J. Burks Defensive Rebound.,29,25
3:59,2348,Foul on Oliver Powell.,29,25
3:59,276,Official TV Timeout,29,25
3:47,276,C.J. Burks made Layup.,29,27
3:32,2348,DaQuan Bracey missed Layup.,29,27
3:32,276,Ajdin Penava Block.,29,27
3:30,276,Jon Elmore Defensive Rebound.,29,27
3:24,276,C.J. Burks missed Three Point Jumper.,29,27
3:24,2348,DaQuan Bracey Defensive Rebound.,29,27
3:19,276,Foul on Ajdin Penava.,29,27
3:19,2348,Foul on Oliver Powell.,29,27
3:00,2348,Jacobi Boykins missed Three Point Jumper.,29,27
3:00,276,Jon Elmore Defensive Rebound.,29,27
2:53,2348,Foul on Exavian Christon.,29,27
2:53,276,Jon Elmore made Free Throw.,29,28
2:53,276,Jon Elmore made Free Throw.,29,29
2:33,2348,DaQuan Bracey missed Jumper.,29,29
2:33,276,Jarrod West Defensive Rebound.,29,29
2:25,276,Rondale Watson missed Layup.,29,29
2:25,2348,Jy'lan Washington Defensive Rebound.,29,29
2:11,276,Foul on Jannson Williams.,29,29
2:11,2348,Joniah White missed Free Throw.,29,29
2:11,2348,Louisiana Tech Deadball Team Rebound.,29,29
2:11,2348,Joniah White missed Free Throw.,29,29
2:11,276,C.J. Burks Defensive Rebound.,29,29
2:00,276,C.J. Burks made Three Point Jumper. Assisted by Rondale Watson.,29,32
1:43,276,Foul on Jannson Williams.,29,32
1:43,276,Technical Foul on Jannson Williams.,29,32
1:43,276,Foul on Jannson Williams.,29,32
1:43,2348,Derric Jean made Free Throw.,30,32
1:43,2348,Derric Jean missed Free Throw.,30,32
1:43,2348,Louisiana Tech Deadball Team Rebound.,30,32
1:43,2348,DaQuan Bracey made Free Throw.,31,32
1:43,2348,DaQuan Bracey missed Free Throw.,31,32
1:43,276,C.J. Burks Defensive Rebound.,31,32
1:36,276,Marshall  Timeout,31,32
1:21,276,Jarrod West missed Three Point Jumper.,31,32
1:21,2348,Amorie Archibald Defensive Rebound.,31,32
1:03,2348,Amorie Archibald missed Jumper.,31,32
1:03,2348,Joniah White Offensive Rebound.,31,32
1:00,2348,Joniah White missed Layup.,31,32
1:00,2348,Joniah White Offensive Rebound.,31,32
0:57,2348,Joniah White missed Layup.,31,32
0:57,276,Dani Koljanin Defensive Rebound.,31,32
0:50,2348,Foul on Jy'lan Washington.,31,32
0:50,276,Jon Elmore made Free Throw.,31,33
0:50,276,Jon Elmore made Free Throw.,31,34
0:35,2348,Jacobi Boykins missed Jumper.,31,34
0:35,276,Jon Elmore Defensive Rebound.,31,34
0:33,2348,Foul on Jy'lan Washington.,31,34
0:33,276,Jon Elmore made Free Throw.,31,35
0:33,276,Jon Elmore made Free Throw.,31,36
0:23,2348,Louisiana Tech  Timeout,31,36
0:04,2348,Foul on Derric Jean.,31,36
0:04,2348,Derric Jean Turnover.,31,36
0:00,276,Jon Elmore missed Three Point Jumper.,31,36
0:00,2348,Louisiana Tech Defensive Rebound.,31,36
0:00,276,End of 1st half,31,36
19:53,276,C.J. Burks missed Jumper.,31,36
19:53,276,Marshall Offensive Rebound.,31,36
19:50,2348,Foul on Joniah White.,31,36
19:49,276,C.J. Burks made Layup. Assisted by Jon Elmore.,31,38
19:33,2348,DaQuan Bracey made Three Point Jumper. Assisted by Anthony Duruji.,34,38
19:14,276,Jon Elmore missed Jumper.,34,38
19:14,276,Milan Mijovic Offensive Rebound.,34,38
19:11,276,Milan Mijovic missed Layup.,34,38
19:11,2348,Joniah White Defensive Rebound.,34,38
19:00,2348,Joniah White missed Layup.,34,38
19:00,276,Rondale Watson Defensive Rebound.,34,38
18:53,276,Rondale Watson Turnover.,34,38
18:52,2348,Derric Jean Steal.,34,38
18:49,2348,DaQuan Bracey missed Three Point Jumper.,34,38
18:49,2348,Jacobi Boykins Offensive Rebound.,34,38
18:32,2348,Derric Jean Turnover.,34,38
18:17,276,Jon Elmore made Three Point Jumper. Assisted by Jarrod West.,34,41
17:56,2348,DaQuan Bracey made Layup. Assisted by Jacobi Boykins.,36,41
17:56,276,Foul on Jarrod West.,36,41
17:56,2348,DaQuan Bracey made Free Throw.,37,41
17:39,276,Jarrod West missed Three Point Jumper.,37,41
17:39,2348,DaQuan Bracey Defensive Rebound.,37,41
17:32,276,Foul on C.J. Burks.,37,41
17:24,2348,Anthony Duruji missed Three Point Jumper.,37,41
17:24,276,Jon Elmore Defensive Rebound.,37,41
17:19,276,Rondale Watson missed Layup.,37,41
17:19,2348,Anthony Duruji Defensive Rebound.,37,41
17:00,2348,DaQuan Bracey Turnover.,37,41
16:59,276,Jarrod West Steal.,37,41
16:57,276,Rondale Watson made Dunk. Assisted by C.J. Burks.,37,43
16:25,2348,Derric Jean missed Layup.,37,43
16:25,2348,Anthony Duruji Offensive Rebound.,37,43
16:19,2348,Anthony Duruji missed Layup.,37,43
16:19,276,Milan Mijovic Defensive Rebound.,37,43
16:11,276,Jon Elmore missed Layup.,37,43
16:11,276,Rondale Watson Offensive Rebound.,37,43
16:08,2348,Foul on Anthony Duruji.,37,43
16:08,276,Rondale Watson made Free Throw.,37,44
16:08,276,Rondale Watson made Free Throw.,37,45
15:52,2348,Oliver Powell Turnover.,37,45
15:50,276,Milan Mijovic Steal.,37,45
15:46,276,C.J. Burks missed Three Point Jumper.,37,45
15:46,2348,Oliver Powell Defensive Rebound.,37,45
15:27,2348,Oliver Powell missed Layup.,37,45
15:27,276,Rondale Watson Defensive Rebound.,37,45
15:14,276,Jarrod West missed Layup.,37,45
15:14,2348,Oliver Powell Block.,37,45
15:13,2348,Oliver Powell Defensive Rebound.,37,45
15:13,2348,Oliver Powell Turnover.,37,45
15:13,276,Official TV Timeout,37,45
15:03,276,C.J. Burks made Layup. Assisted by Jon Elmore.,37,47
14:42,276,Foul on Milan Mijovic.,37,47
14:42,2348,DaQuan Bracey made Free Throw.,38,47
14:42,2348,DaQuan Bracey missed Free Throw.,38,47
14:42,276,Jon Elmore Defensive Rebound.,38,47
14:29,276,Jon Elmore made Layup.,38,49
14:10,2348,Anthony Duruji missed Jumper.,38,49
14:10,2348,Oliver Powell Offensive Rebound.,38,49
14:06,2348,Oliver Powell missed Dunk.,38,49
14:06,276,Jannson Williams Defensive Rebound.,38,49
13:56,276,Jon Elmore missed Layup.,38,49
13:56,2348,Derric Jean Defensive Rebound.,38,49
13:51,2348,Jacobi Boykins made Three Point Jumper. Assisted by Derric Jean.,41,49
13:15,276,Marshall  Turnover.,41,49
12:49,2348,DaQuan Bracey made Layup.,43,49
12:27,276,Rondale Watson Turnover.,43,49
12:26,2348,Oliver Powell Steal.,43,49
12:23,2348,DaQuan Bracey made Layup. Assisted by Exavian Christon.,45,49
12:00,276,Jarrod West missed Layup.,45,49
12:00,2348,Oliver Powell Defensive Rebound.,45,49
11:49,2348,DaQuan Bracey missed Layup.,45,49
11:49,276,Rondale Watson Defensive Rebound.,45,49
11:44,2348,Foul on Jacobi Boykins.,45,49
11:44,276,Official TV Timeout,45,49
11:44,276,Official TV Timeout,45,49
11:30,276,Ajdin Penava missed Dunk.,45,49
11:30,2348,Anthony Duruji Defensive Rebound.,45,49
11:00,2348,DaQuan Bracey Turnover.,45,49
10:59,276,Jannson Williams Steal.,45,49
10:56,2348,Foul on Exavian Christon.,45,49
10:56,276,C.J. Burks made Free Throw.,45,50
10:56,276,C.J. Burks missed Free Throw.,45,50
10:56,2348,Oliver Powell Defensive Rebound.,45,50
10:49,2348,Jacobi Boykins missed Three Point Jumper.,45,50
10:49,276,Jon Elmore Defensive Rebound.,45,50
10:32,276,Jon Elmore made Jumper.,45,52
10:14,276,Foul on C.J. Burks.,45,52
10:14,2348,Jacobi Boykins made Free Throw.,46,52
10:14,2348,Jacobi Boykins made Free Throw.,47,52
10:02,276,Jon Elmore made Layup.,47,54
9:43,2348,Foul on Anthony Duruji.,47,54
9:43,2348,Anthony Duruji Turnover.,47,54
9:25,276,Ajdin Penava Turnover.,47,54
9:18,2348,Jacobi Boykins made Three Point Jumper. Assisted by Derric Jean.,50,54
9:00,276,C.J. Burks made Jumper.,50,56
8:40,2348,Jacobi Boykins Turnover.,50,56
8:36,276,Jon Elmore Steal.,50,56
8:34,276,Jon Elmore made Layup.,50,58
8:08,2348,Jy'lan Washington Turnover.,50,58
7:49,2348,Foul on Exavian Christon.,50,58
7:49,276,Official TV Timeout,50,58
7:34,276,Ajdin Penava missed Jumper.,50,58
7:34,2348,Exavian Christon Defensive Rebound.,50,58
7:20,2348,Joniah White Turnover.,50,58
7:19,276,Jannson Williams Steal.,50,58
7:04,276,Ajdin Penava missed Three Point Jumper.,50,58
7:04,2348,Exavian Christon Defensive Rebound.,50,58
6:41,2348,Jacobi Boykins missed Three Point Jumper.,50,58
6:41,276,Jannson Williams Defensive Rebound.,50,58
6:27,276,Jannson Williams missed Three Point Jumper.,50,58
6:27,2348,Derric Jean Defensive Rebound.,50,58
6:16,2348,Jy'lan Washington missed Layup.,50,58
6:16,276,Ajdin Penava Block.,50,58
6:14,2348,Jy'lan Washington Offensive Rebound.,50,58
6:12,2348,Jy'lan Washington missed Layup.,50,58
6:12,276,Jannson Williams Block.,50,58
6:12,276,Marshall Defensive Rebound.,50,58
5:59,276,Jarrod West made Three Point Jumper. Assisted by Jon Elmore.,50,61
5:27,2348,Joniah White missed Layup.,50,61
5:27,276,Ajdin Penava Block.,50,61
5:25,276,Jannson Williams Defensive Rebound.,50,61
5:25,2348,Foul on Joniah White.,50,61
5:25,276,Jannson Williams made Free Throw.,50,62
5:25,276,Jannson Williams made Free Throw.,50,63
5:11,2348,DaQuan Bracey Turnover.,50,63
5:00,276,Jon Elmore made Layup. Assisted by Ajdin Penava.,50,65
4:51,276,Foul on Ajdin Penava.,50,65
4:51,2348,DaQuan Bracey missed Free Throw.,50,65
4:51,2348,Louisiana Tech Deadball Team Rebound.,50,65
4:51,2348,DaQuan Bracey made Free Throw.,51,65
4:51,2348,Louisiana Tech  Timeout,51,65
4:51,276,Official TV Timeout,51,65
4:25,276,Rondale Watson missed Layup.,51,65
4:25,2348,Anthony Duruji Block.,51,65
4:23,2348,Louisiana Tech Defensive Rebound.,51,65
4:08,2348,Oliver Powell missed Jumper.,51,65
4:08,276,Jon Elmore Defensive Rebound.,51,65
3:54,2348,Foul on Anthony Duruji.,51,65
3:54,276,Official TV Timeout,51,65
3:54,276,Jon Elmore made Free Throw.,51,66
3:54,276,Jon Elmore made Free Throw.,51,67
3:44,2348,Jacobi Boykins missed Three Point Jumper.,51,67
3:44,276,Jon Elmore Defensive Rebound.,51,67
3:26,276,Rondale Watson missed Layup.,51,67
3:26,2348,Oliver Powell Defensive Rebound.,51,67
3:15,2348,Derric Jean missed Layup.,51,67
3:15,276,Jannson Williams Block.,51,67
3:12,276,C.J. Burks Defensive Rebound.,51,67
3:06,276,C.J. Burks made Three Point Jumper.,51,70
2:44,2348,Derric Jean made Three Point Jumper. Assisted by Anthony Duruji.,54,70
2:16,276,Jon Elmore Turnover.,54,70
2:15,2348,Oliver Powell Steal.,54,70
2:11,2348,DaQuan Bracey missed Layup.,54,70
2:11,2348,Oliver Powell Offensive Rebound.,54,70
2:10,2348,Oliver Powell made Dunk.,56,70
2:08,2348,Louisiana Tech  Timeout,56,70
1:42,276,Jarrod West made Three Point Jumper. Assisted by C.J. Burks.,56,73
1:25,2348,Derric Jean made Layup.,58,73
1:17,2348,Foul on Jacobi Boykins.,58,73
1:17,276,C.J. Burks made Free Throw.,58,74
1:17,276,C.J. Burks missed Free Throw.,58,74
1:17,2348,Oliver Powell Defensive Rebound.,58,74
1:04,2348,Exavian Christon made Layup.,60,74
0:47,276,C.J. Burks Turnover.,60,74
0:46,2348,Oliver Powell Steal.,60,74
0:42,276,Foul on C.J. Burks.,60,74
0:42,2348,Jacobi Boykins made Free Throw.,61,74
0:42,2348,Jacobi Boykins made Free Throw.,62,74
0:42,2348,Jacobi Boykins made Free Throw.,63,74
0:41,2348,Foul on Jacobi Boykins.,63,74
0:41,276,Jon Elmore made Free Throw.,63,75
0:41,276,Jon Elmore made Free Throw.,63,76
0:32,2348,Jacobi Boykins made Layup.,65,76
0:06,276,C.J. Burks made Layup.,65,78
0:02,2348,Jacobi Boykins Turnover.,65,78
0:00,276,End of Game,65,78
