Maine,171,Columbia,311
3:07,171,Myles Hanson missed Layup.,23,35
3:07,311,Ilija Stojiljkovic Defensive Rebound.,23,35
3:05,171,Foul on Myles Hanson.,23,35
3:05,311,Ilija Stojiljkovic missed Free Throw.,23,35
3:05,171,Lukas Meisner Defensive Rebound.,23,35
2:49,171,Lukas Meisner made Jumper.,23,37
2:38,311,Foul on Dusan Majstorovic.,23,37
2:38,311,Dusan Majstorovic Turnover.,23,37
2:27,171,Gabe Stefanini Turnover.,23,37
2:26,311,Isaiah White Steal.,23,37
2:23,311,Isaiah White Turnover.,23,37
2:21,171,Gabe Stefanini Steal.,23,37
2:15,171,Quinton Adlesh made Three Point Jumper. Assisted by Myles Hanson.,23,40
2:00,311,Isaiah White missed Three Point Jumper.,23,40
2:00,171,Lukas Meisner Defensive Rebound.,23,40
1:52,171,Gabe Stefanini made Three Point Jumper. Assisted by Mike Smith.,23,43
1:49,311,Maine  Timeout,23,43
1:38,311,Vernon Lowndes Jr. missed Three Point Jumper.,23,43
1:38,311,Andrew Fleming Offensive Rebound.,23,43
1:35,171,Foul on Lukas Meisner.,23,43
1:35,311,Andrew Fleming made Free Throw.,24,43
1:35,311,Andrew Fleming missed Free Throw.,24,43
1:35,171,Quinton Adlesh Defensive Rebound.,24,43
1:08,171,Columbia  Timeout,24,43
1:05,171,Mike Smith missed Three Point Jumper.,24,43
1:05,311,Isaiah White Defensive Rebound.,24,43
0:53,171,Foul on Lukas Meisner.,24,43
0:53,311,Ilija Stojiljkovic made Free Throw.,25,43
0:53,311,Ilija Stojiljkovic missed Free Throw.,25,43
0:53,171,Myles Hanson Defensive Rebound.,25,43
0:34,171,Myles Hanson made Three Point Jumper. Assisted by Mike Smith.,25,46
0:25,311,Aaron Calixte made Jumper.,27,46
0:01,171,Mike Smith Turnover.,27,46
0:00,171,End of 1st half,27,46
19:46,311,Dusan Majstorovic missed Three Point Jumper.,27,46
19:46,171,Nate Hickman Defensive Rebound.,27,46
19:32,171,Mike Smith missed Three Point Jumper.,27,46
19:32,311,Ilker Er Defensive Rebound.,27,46
19:21,311,Isaiah White missed Three Point Jumper.,27,46
19:21,311,Ilker Er Offensive Rebound.,27,46
19:18,311,Ilker Er made Jumper.,29,46
19:03,171,Patrick Tape made Jumper. Assisted by Lukas Meisner.,29,48
18:30,311,Aaron Calixte made Layup.,31,48
18:09,171,Patrick Tape missed Jumper.,31,48
18:09,311,Ilija Stojiljkovic Defensive Rebound.,31,48
17:59,311,Aaron Calixte Turnover.,31,48
17:59,171,Mike Smith Steal.,31,48
17:53,171,Patrick Tape Turnover.,31,48
17:36,311,Aaron Calixte made Three Point Jumper.,34,48
17:11,171,Lukas Meisner made Three Point Jumper. Assisted by Mike Smith.,34,51
16:54,311,Ilker Er missed Jumper.,34,51
16:54,311,Ilker Er Offensive Rebound.,34,51
16:52,311,Ilker Er made Layup.,36,51
16:31,171,Nate Hickman missed Three Point Jumper.,36,51
16:31,311,Dusan Majstorovic Defensive Rebound.,36,51
16:23,311,Ilker Er missed Three Point Jumper.,36,51
16:23,171,Lukas Meisner Defensive Rebound.,36,51
16:05,171,Mike Smith made Layup.,36,53
16:05,311,Foul on Aaron Calixte.,36,53
16:05,171,Mike Smith made Free Throw.,36,54
15:46,311,Aaron Calixte missed Jumper.,36,54
15:46,171,Lukas Meisner Defensive Rebound.,36,54
15:35,171,Lukas Meisner made Three Point Jumper. Assisted by Mike Smith.,36,57
15:24,311,Aaron Calixte Turnover.,36,57
15:22,171,Rodney Hunter Steal.,36,57
14:57,311,Foul on Ilija Stojiljkovic.,36,57
14:57,171,Official TV Timeout,36,57
14:57,171,Mike Smith made Free Throw.,36,58
14:57,171,Mike Smith made Free Throw.,36,59
14:28,171,Foul on Jaron Faulds.,36,59
14:28,311,Miks Antoms missed Free Throw.,36,59
14:28,311,Maine Deadball Team Rebound.,36,59
14:28,311,Miks Antoms missed Free Throw.,36,59
14:28,311,Ilker Er Offensive Rebound.,36,59
14:26,171,Foul on Rodney Hunter.,36,59
14:26,311,Ilker Er missed Free Throw.,36,59
14:26,311,Maine Deadball Team Rebound.,36,59
14:26,311,Ilker Er made Free Throw.,37,59
14:17,171,Kyle Castlin made Layup. Assisted by Rodney Hunter.,37,61
14:09,171,Foul on Gabe Stefanini.,37,61
14:03,311,Ilker Er missed Jumper.,37,61
14:03,171,Jaron Faulds Defensive Rebound.,37,61
13:50,171,Kyle Castlin made Layup.,37,63
13:33,311,Ilker Er missed Three Point Jumper.,37,63
13:33,171,Kyle Castlin Defensive Rebound.,37,63
13:21,171,Mike Smith missed Jumper.,37,63
13:21,171,Jaron Faulds Offensive Rebound.,37,63
12:58,171,Rodney Hunter made Layup.,37,65
12:46,171,Foul on Jaron Faulds.,37,65
12:46,311,Vernon Lowndes Jr. missed Free Throw.,37,65
12:46,311,Maine Deadball Team Rebound.,37,65
12:46,311,Vernon Lowndes Jr. made Free Throw.,38,65
12:27,171,Kyle Castlin missed Jumper.,38,65
12:27,311,Vernon Lowndes Jr. Defensive Rebound.,38,65
12:18,171,Foul on Kyle Castlin.,38,65
12:16,311,Danny Evans missed Three Point Jumper.,38,65
12:16,311,Miks Antoms Offensive Rebound.,38,65
12:08,311,Danny Evans missed Layup.,38,65
12:08,171,Jaron Faulds Block.,38,65
12:06,171,Quinton Adlesh Defensive Rebound.,38,65
11:54,171,Kyle Castlin made Layup. Assisted by Quinton Adlesh.,38,67
11:39,171,Foul on Jaron Faulds.,38,67
11:39,171,Official TV Timeout,38,67
11:39,311,Vernon Lowndes Jr. made Free Throw.,39,67
11:39,311,Vernon Lowndes Jr. made Free Throw.,40,67
11:21,171,Myles Hanson missed Jumper.,40,67
11:21,171,Myles Hanson Offensive Rebound.,40,67
11:17,171,Myles Hanson made Layup.,40,69
11:09,171,Foul on Lukas Meisner.,40,69
11:09,311,Miks Antoms missed Free Throw.,40,69
11:09,171,Columbia Defensive Rebound.,40,69
10:53,311,Foul on Miks Antoms.,40,69
10:44,171,Patrick Tape made Dunk. Assisted by Quinton Adlesh.,40,71
10:18,311,Aaron Calixte Turnover.,40,71
10:17,171,Patrick Tape Steal.,40,71
10:10,171,Patrick Tape made Layup. Assisted by Quinton Adlesh.,40,73
9:41,311,Celio Araujo made Layup.,42,73
9:26,171,Myles Hanson missed Three Point Jumper.,42,73
9:26,311,Isaiah White Defensive Rebound.,42,73
9:18,171,Foul on Patrick Tape.,42,73
9:18,311,Celio Araujo made Free Throw.,43,73
9:18,311,Celio Araujo made Free Throw.,44,73
9:01,171,Quinton Adlesh made Jumper.,44,75
8:43,311,Aaron Calixte made Three Point Jumper. Assisted by Isaiah White.,47,75
8:12,311,Foul on Ilija Stojiljkovic.,47,75
8:12,171,Nate Hickman made Free Throw.,47,76
8:12,171,Nate Hickman made Free Throw.,47,77
8:05,311,Isaiah White made Layup.,49,77
7:42,171,Foul on Nate Hickman.,49,77
7:42,171,Nate Hickman Turnover.,49,77
7:42,171,Official TV Timeout,49,77
7:29,311,Aaron Calixte made Three Point Jumper. Assisted by Isaiah White.,52,77
7:09,171,Nate Hickman made Layup.,52,79
6:55,311,Aaron Calixte missed Three Point Jumper.,52,79
6:55,171,Myles Hanson Defensive Rebound.,52,79
6:43,171,Nate Hickman missed Layup.,52,79
6:43,311,Ilker Er Defensive Rebound.,52,79
6:34,311,Ilker Er missed Three Point Jumper.,52,79
6:34,311,Dusan Majstorovic Offensive Rebound.,52,79
6:28,311,Dusan Majstorovic missed Layup.,52,79
6:28,171,Columbia Defensive Rebound.,52,79
6:27,311,Foul on Ilija Stojiljkovic.,52,79
6:13,171,Nate Hickman missed Jumper.,52,79
6:13,171,Columbia Offensive Rebound.,52,79
6:07,171,Patrick Tape made Layup. Assisted by Gabe Stefanini.,52,81
5:57,311,Aaron Calixte missed Jumper.,52,81
5:57,171,Myles Hanson Defensive Rebound.,52,81
5:49,171,Nate Hickman missed Three Point Jumper.,52,81
5:49,311,Ilker Er Defensive Rebound.,52,81
5:40,311,Danny Evans made Three Point Jumper. Assisted by Dusan Majstorovic.,55,81
5:24,171,Nate Hickman missed Layup.,55,81
5:21,311,Dusan Majstorovic Block.,55,81
5:20,311,Aaron Calixte Defensive Rebound.,55,81
5:17,311,Ilker Er missed Three Point Jumper.,55,81
5:17,311,Dusan Majstorovic Offensive Rebound.,55,81
5:13,311,Dusan Majstorovic missed Two Point Tip Shot.,55,81
5:13,311,Dusan Majstorovic Offensive Rebound.,55,81
5:12,171,Foul on Peter Barba.,55,81
5:12,311,Dusan Majstorovic made Free Throw.,56,81
5:12,311,Dusan Majstorovic made Free Throw.,57,81
4:45,171,Gabe Stefanini missed Three Point Jumper.,57,81
4:45,171,Patrick Tape Offensive Rebound.,57,81
4:27,171,Kyle Castlin Turnover.,57,81
4:27,311,Dusan Majstorovic Steal.,57,81
4:26,311,Dusan Majstorovic Turnover.,57,81
4:25,171,Gabe Stefanini Turnover.,57,81
4:24,311,Dusan Majstorovic Steal.,57,81
4:17,311,Miks Antoms made Layup. Assisted by Danny Evans.,59,81
4:01,171,Nate Hickman missed Three Point Jumper.,59,81
4:01,311,Aaron Calixte Defensive Rebound.,59,81
3:59,171,Foul on Gabe Stefanini.,59,81
3:59,171,Official TV Timeout,59,81
3:59,311,Aaron Calixte made Free Throw.,60,81
3:59,311,Aaron Calixte made Free Throw.,61,81
3:38,171,Jaron Faulds missed Jumper.,61,81
3:38,311,Maine Defensive Rebound.,61,81
3:36,171,Foul on Peter Barba.,61,81
3:36,311,Danny Evans missed Free Throw.,61,81
3:36,311,Maine Deadball Team Rebound.,61,81
3:36,311,Danny Evans made Free Throw.,62,81
3:11,311,Foul on Miks Antoms.,62,81
3:11,171,Nate Hickman made Free Throw.,62,82
3:11,171,Nate Hickman made Free Throw.,62,83
3:02,311,Aaron Calixte missed Layup.,62,83
3:02,171,Nate Hickman Defensive Rebound.,62,83
2:53,171,Kyle Castlin missed Three Point Jumper.,62,83
2:53,311,Miks Antoms Defensive Rebound.,62,83
2:29,311,Vernon Lowndes Jr. made Layup.,64,83
2:18,171,Luke Bolster missed Layup.,64,83
2:18,311,Ilija Stojiljkovic Defensive Rebound.,64,83
2:10,311,Vernon Lowndes Jr. made Three Point Jumper.,67,83
1:52,171,Randy Brumant missed Jumper.,67,83
1:52,311,Ilija Stojiljkovic Defensive Rebound.,67,83
1:34,311,Dennis Ashley made Layup.,69,83
1:34,171,Foul on Gabe Stefanini.,69,83
1:34,311,Dennis Ashley missed Free Throw.,69,83
1:34,171,Kyle Castlin Defensive Rebound.,69,83
1:12,171,Luke Bolster missed Jumper.,69,83
1:12,311,Ilija Stojiljkovic Defensive Rebound.,69,83
1:00,311,Foul on Vernon Lowndes Jr..,69,83
1:00,311,Vernon Lowndes Jr. Turnover.,69,83
0:54,171,Randy Brumant missed Layup.,69,83
0:54,311,Ilija Stojiljkovic Defensive Rebound.,69,83
0:40,311,Ilija Stojiljkovic missed Three Point Jumper.,69,83
0:40,311,Dennis Ashley Offensive Rebound.,69,83
0:21,311,Celio Araujo missed Layup.,69,83
0:21,311,Ilija Stojiljkovic Offensive Rebound.,69,83
0:17,311,Ilija Stojiljkovic made Two Point Tip Shot.,71,83
0:00,171,End of Game,71,83
