Incarnate Word,2447,Nicholls,2916
0:32,2916,Simi Socks missed Jumper.,22,32
0:32,2447,Ryghe Lyons Block.,22,32
0:29,2447,Kimani Jackson Defensive Rebound.,22,32
0:25,2447,Nicholls  Timeout,22,32
0:01,2447,Kevin Johnson made Three Point Jumper.,22,35
0:00,2447,End of 1st half,22,35
19:53,2447,Tevon Saddler made Jumper. Assisted by Kevin Johnson.,22,37
19:36,2916,Shawn Johnson Turnover.,22,37
19:10,2447,Tevon Saddler Turnover.,22,37
19:09,2916,Charles Brown III Steal.,22,37
18:56,2916,Charles Brown III missed Jumper.,22,37
18:56,2916,Konstantin Kulikov Offensive Rebound.,22,37
18:54,2916,Konstantin Kulikov made Layup.,24,37
18:44,2447,Kevin Johnson missed Jumper.,24,37
18:44,2447,Ryghe Lyons Offensive Rebound.,24,37
18:34,2447,Tevon Saddler made Three Point Jumper. Assisted by Lafayette Rutledge.,24,40
18:12,2916,Simi Socks Turnover.,24,40
17:49,2447,Lafayette Rutledge missed Three Point Jumper.,24,40
17:49,2916,Shawn Johnson Block.,24,40
17:47,2447,Nicholls Offensive Rebound.,24,40
17:42,2447,Kevin Johnson missed Jumper.,24,40
17:42,2916,Shawn Johnson Defensive Rebound.,24,40
17:07,2916,Shawn Johnson missed Jumper.,24,40
17:07,2447,Tevon Saddler Defensive Rebound.,24,40
17:03,2447,Ryghe Lyons Turnover.,24,40
17:03,2916,Cody Graham Steal.,24,40
16:55,2916,Cody Graham Turnover.,24,40
16:55,2447,Ryghe Lyons Steal.,24,40
16:43,2447,Lafayette Rutledge made Three Point Jumper.,24,43
16:34,2916,Konstantin Kulikov missed Layup.,24,43
16:34,2916,Incarnate Word Offensive Rebound.,24,43
16:34,2447,Foul on Lafayette Rutledge.,24,43
16:31,2916,Cody Graham missed Three Point Jumper.,24,43
16:31,2447,Nicholls Defensive Rebound.,24,43
16:28,2916,Foul on Konstantin Kulikov.,24,43
16:15,2447,Lafayette Rutledge missed Three Point Jumper.,24,43
16:15,2447,Kevin Johnson Offensive Rebound.,24,43
16:01,2447,Ryghe Lyons missed Jumper.,24,43
16:01,2447,Kimani Jackson Offensive Rebound.,24,43
15:58,2916,Foul on Sam Burmeister.,24,43
15:58,2447,Official TV Timeout,24,43
15:58,2447,Kimani Jackson made Free Throw.,24,44
15:58,2447,Kimani Jackson made Free Throw.,24,45
15:53,2916,Sam Burmeister made Three Point Jumper. Assisted by Cody Graham.,27,45
15:29,2447,Ryghe Lyons missed Jumper.,27,45
15:29,2447,Lafayette Rutledge Offensive Rebound.,27,45
15:08,2447,Tevon Saddler missed Layup.,27,45
15:08,2447,Kimani Jackson Offensive Rebound.,27,45
15:05,2447,Kimani Jackson made Dunk.,27,47
15:05,2447,Technical Foul on Kimani Jackson.,27,47
15:05,2916,Sam Burmeister missed Free Throw.,27,47
15:05,2916,Incarnate Word Deadball Team Rebound.,27,47
15:05,2916,Sam Burmeister made Free Throw.,28,47
14:55,2916,Shawn Johnson made Three Point Jumper. Assisted by Cody Graham.,31,47
14:26,2447,Ryghe Lyons made Layup.,31,49
14:23,2447,Nicholls  Timeout,31,49
14:23,2447,Official TV Timeout,31,49
14:06,2916,Charles Brown III Turnover.,31,49
13:35,2447,Ryghe Lyons missed Jumper.,31,49
13:35,2916,Incarnate Word Deadball Team Rebound.,31,49
13:22,2447,Foul on Tevon Saddler.,31,49
13:14,2916,Jalin Hart Turnover.,31,49
13:12,2447,Kevin Johnson Steal.,31,49
13:10,2447,Kevin Johnson made Layup.,31,51
13:00,2447,Foul on Kevin Johnson.,31,51
12:59,2916,Jalin Hart Turnover.,31,51
12:58,2447,Ryghe Lyons Steal.,31,51
12:46,2447,Jahvaughn Powell missed Layup.,31,51
12:46,2447,Kevin Johnson Offensive Rebound.,31,51
12:43,2447,Kevin Johnson made Layup.,31,53
12:33,2916,Christian Peevy Turnover.,31,53
12:15,2447,Kevin Johnson missed Three Point Jumper.,31,53
12:15,2916,Christian Peevy Defensive Rebound.,31,53
12:02,2916,Sam Burmeister made Three Point Jumper. Assisted by Jalin Hart.,34,53
11:43,2447,Ryghe Lyons made Dunk. Assisted by Jahvaughn Powell.,34,55
11:34,2916,Sam Burmeister missed Three Point Jumper.,34,55
11:34,2447,Kimani Jackson Defensive Rebound.,34,55
11:15,2447,Ryghe Lyons Turnover.,34,55
11:14,2916,Sam Burmeister Steal.,34,55
11:12,2916,Sam Burmeister missed Layup.,34,55
11:12,2916,Christian Peevy Offensive Rebound.,34,55
11:08,2916,Christian Peevy missed Layup.,34,55
11:08,2916,Charles Brown III Offensive Rebound.,34,55
11:04,2447,Foul on Kevin Johnson.,34,55
11:04,2447,Official TV Timeout,34,55
11:04,2916,Charles Brown III made Free Throw.,35,55
11:04,2916,Charles Brown III made Free Throw.,36,55
10:50,2447,Jahvaughn Powell Turnover.,36,55
10:39,2916,Christian Peevy made Jumper.,38,55
10:07,2447,Lafayette Rutledge made Three Point Jumper.,38,58
9:52,2916,Charles Brown III missed Jumper.,38,58
9:52,2447,Kevin Johnson Defensive Rebound.,38,58
9:36,2447,Kimani Jackson Turnover.,38,58
9:36,2447,Foul on Kimani Jackson.,38,58
9:24,2916,Charles Brown III missed Jumper.,38,58
9:24,2447,Jahvaughn Powell Defensive Rebound.,38,58
9:05,2447,Legend Robertin made Dunk. Assisted by Kevin Johnson.,38,60
8:58,2916,Charles Brown III Turnover.,38,60
8:58,2916,Foul on Charles Brown III.,38,60
8:42,2916,Foul on Simi Socks.,38,60
8:42,2447,Legend Robertin missed Free Throw.,38,60
8:42,2447,Nicholls Deadball Team Rebound.,38,60
8:42,2447,Legend Robertin missed Free Throw.,38,60
8:42,2916,Simi Socks Defensive Rebound.,38,60
8:26,2916,Keaton Hervey made Layup.,40,60
8:06,2447,Tevon Saddler Turnover.,40,60
8:06,2447,Foul on Tevon Saddler.,40,60
7:56,2447,Foul on Legend Robertin.,40,60
7:56,2447,Official TV Timeout,40,60
7:56,2916,Christian Peevy made Free Throw.,41,60
7:56,2916,Christian Peevy made Free Throw.,42,60
7:34,2447,Ryghe Lyons missed Jumper.,42,60
7:34,2916,Incarnate Word Defensive Rebound.,42,60
7:21,2447,Foul on Kevin Johnson.,42,60
7:21,2447,Foul on Jahvaughn Powell.,42,60
7:21,2447,Technical Foul on Jahvaughn Powell.,42,60
7:21,2916,Christian Peevy made Free Throw.,43,60
7:21,2916,Christian Peevy made Free Throw.,44,60
7:21,2916,Cody Graham made Free Throw.,45,60
7:21,2916,Cody Graham made Free Throw.,46,60
6:58,2447,Ryghe Lyons made Jumper.,46,62
6:40,2916,Jalin Hart missed Three Point Jumper.,46,62
6:40,2447,Lafayette Rutledge Defensive Rebound.,46,62
6:17,2447,Lafayette Rutledge missed Three Point Jumper.,46,62
6:17,2447,Kimani Jackson Offensive Rebound.,46,62
6:06,2447,Ryghe Lyons made Jumper.,46,64
5:49,2447,Foul on Kimani Jackson.,46,64
5:49,2916,Christian Peevy made Free Throw.,47,64
5:49,2916,Christian Peevy made Free Throw.,48,64
5:30,2447,Jahvaughn Powell made Layup.,48,66
5:19,2916,Christian Peevy made Layup.,50,66
5:02,2447,Jahvaughn Powell Turnover.,50,66
5:02,2447,Foul on Jahvaughn Powell.,50,66
4:54,2916,Christian Peevy missed Jumper.,50,66
4:54,2447,Kimani Jackson Defensive Rebound.,50,66
4:44,2447,Nicholls  Timeout,50,66
4:32,2447,Ryghe Lyons Turnover.,50,66
4:31,2916,Jalin Hart Steal.,50,66
4:20,2916,Christian Peevy missed Layup.,50,66
4:20,2447,Nicholls Defensive Rebound.,50,66
4:18,2916,Foul on Konstantin Kulikov.,50,66
3:54,2447,Kevin Johnson missed Jumper.,50,66
3:54,2447,Tevon Saddler Offensive Rebound.,50,66
3:50,2447,Tevon Saddler made Two Point Tip Shot.,50,68
3:43,2916,Jalin Hart missed Layup.,50,68
