Wake Forest,153,North Carolina,154
14:24,153,Luke Maye made Layup. Assisted by Theo Pinson.,41,49
14:08,154,Brandon Childress made Layup.,43,49
13:55,153,Sterling Manley made Layup. Assisted by Theo Pinson.,43,51
13:34,153,Foul on Sterling Manley.,43,51
13:22,154,Keyshawn Woods made Jumper.,45,51
12:45,153,Brandon Huffman missed Jumper.,45,51
12:45,154,Olivier Sarr Defensive Rebound.,45,51
12:27,154,Keyshawn Woods missed Three Point Jumper.,45,51
12:27,153,Brandon Huffman Defensive Rebound.,45,51
12:09,153,Brandon Huffman Turnover.,45,51
12:09,154,Brandon Childress Steal.,45,51
12:09,153,Foul on Brandon Huffman.,45,51
11:51,153,Official TV Timeout,45,51
11:49,154,Brandon Childress made Three Point Jumper. Assisted by Bryant Crawford.,48,51
11:32,153,Theo Pinson made Layup.,48,53
11:16,153,Foul on Theo Pinson.,48,53
11:16,154,Doral Moore missed Free Throw.,48,53
11:16,154,Wake Forest Deadball Team Rebound.,48,53
11:16,154,Doral Moore missed Free Throw.,48,53
11:16,153,Luke Maye Defensive Rebound.,48,53
11:05,153,Brandon Huffman missed Jumper.,48,53
11:05,154,Doral Moore Block.,48,53
11:05,153,North Carolina Offensive Rebound.,48,53
10:52,153,Kenny Williams missed Three Point Jumper.,48,53
10:52,153,Kenny Williams Offensive Rebound.,48,53
10:45,153,Joel Berry II made Three Point Jumper. Assisted by Kenny Williams.,48,56
10:32,154,Olivier Sarr made Three Point Jumper. Assisted by Brandon Childress.,51,56
10:26,153,Joel Berry II Turnover.,51,56
10:26,154,Olivier Sarr missed Three Point Jumper.,51,56
10:26,153,Theo Pinson Defensive Rebound.,51,56
10:26,153,Theo Pinson Turnover.,51,56
10:26,154,Bryant Crawford missed Dunk.,51,56
10:26,153,Joel Berry II Defensive Rebound.,51,56
10:26,153,Joel Berry II made Jumper.,51,58
10:22,154,Olivier Sarr Turnover.,51,58
10:22,153,Kenny Williams Steal.,51,58
9:33,154,Foul on Mitchell Wilbekin.,51,58
9:33,153,Kenny Williams made Free Throw.,51,59
9:33,153,Kenny Williams made Free Throw.,51,60
9:21,154,Brandon Childress made Layup.,53,60
9:11,154,Foul on Doral Moore.,53,60
9:08,153,Kenny Williams missed Three Point Jumper.,53,60
9:08,154,Wake Forest Defensive Rebound.,53,60
8:44,154,Brandon Childress Turnover.,53,60
8:44,153,Kenny Williams Steal.,53,60
8:39,153,Kenny Williams made Dunk.,53,62
8:19,154,Terrence Thompson made Three Point Jumper. Assisted by Brandon Childress.,56,62
8:06,153,Joel Berry II missed Layup.,56,62
8:06,154,Doral Moore Block.,56,62
8:06,154,Terrence Thompson Defensive Rebound.,56,62
7:56,154,Keyshawn Woods made Three Point Jumper. Assisted by Bryant Crawford.,59,62
7:40,153,Official TV Timeout,59,62
7:29,154,Foul on Brandon Childress.,59,62
7:26,153,Luke Maye Turnover.,59,62
7:02,154,Bryant Crawford made Three Point Jumper. Assisted by Doral Moore.,62,62
6:48,153,Foul on Andrew Platek.,62,62
6:48,153,Andrew Platek Turnover.,62,62
6:30,154,Bryant Crawford missed Jumper.,62,62
6:30,154,Doral Moore Offensive Rebound.,62,62
6:23,154,Doral Moore missed Jumper.,62,62
6:23,153,Luke Maye Defensive Rebound.,62,62
6:01,153,Luke Maye Turnover.,62,62
5:49,154,Terrence Thompson missed Three Point Jumper.,62,62
5:49,154,Wake Forest Deadball Team Rebound.,62,62
5:45,153,Foul on Garrison Brooks.,62,62
5:42,154,Keyshawn Woods missed Jumper.,62,62
5:42,153,Luke Maye Defensive Rebound.,62,62
5:31,153,Kenny Williams made Three Point Jumper. Assisted by Luke Maye.,62,65
5:08,154,Doral Moore made Dunk. Assisted by Brandon Childress.,64,65
4:52,153,Luke Maye missed Jumper.,64,65
4:52,154,Doral Moore Defensive Rebound.,64,65
4:20,154,Brandon Childress missed Three Point Jumper.,64,65
4:20,153,Joel Berry II Defensive Rebound.,64,65
4:12,153,Joel Berry II missed Layup.,64,65
4:12,154,Brandon Childress Defensive Rebound.,64,65
4:02,154,Keyshawn Woods made Jumper. Assisted by Brandon Childress.,66,65
3:42,154,Foul on Brandon Childress.,66,65
3:42,153,Official TV Timeout,66,65
3:30,153,Luke Maye missed Layup.,66,65
3:30,153,Garrison Brooks Offensive Rebound.,66,65
3:27,154,Foul on Olivier Sarr.,66,65
3:27,153,Garrison Brooks missed Free Throw.,66,65
3:27,153,North Carolina Deadball Team Rebound.,66,65
3:27,153,Garrison Brooks missed Free Throw.,66,65
3:27,154,Keyshawn Woods Defensive Rebound.,66,65
3:06,153,Foul on Theo Pinson.,66,65
3:06,154,Keyshawn Woods made Free Throw.,67,65
3:06,154,Keyshawn Woods missed Free Throw.,67,65
3:06,153,Luke Maye Defensive Rebound.,67,65
2:46,153,Cameron Johnson missed Jumper.,67,65
2:46,154,Doral Moore Defensive Rebound.,67,65
2:26,154,Bryant Crawford made Jumper.,69,65
2:13,153,Luke Maye missed Three Point Jumper.,69,65
2:13,153,Theo Pinson Offensive Rebound.,69,65
2:02,153,Luke Maye made Layup. Assisted by Theo Pinson.,69,67
1:59,153,North Carolina  Timeout,69,67
1:36,154,Brandon Childress missed Three Point Jumper.,69,67
1:36,154,Keyshawn Woods Offensive Rebound.,69,67
1:30,154,Jump Ball won by Wake Forest,69,67
1:06,154,Bryant Crawford missed Three Point Jumper.,69,67
1:06,153,Theo Pinson Defensive Rebound.,69,67
0:51,154,Foul on Olivier Sarr.,69,67
0:51,153,Theo Pinson made Free Throw.,69,68
0:51,153,Theo Pinson made Free Throw.,69,69
0:34,153,Foul on Kenny Williams.,69,69
0:34,154,Doral Moore missed Free Throw.,69,69
0:34,153,Theo Pinson Defensive Rebound.,69,69
0:13,153,Joel Berry II made Jumper.,69,71
0:10,154,Wake Forest  Timeout,69,71
0:07,154,Keyshawn Woods missed Three Point Jumper.,69,71
0:07,153,Kenny Williams Defensive Rebound.,69,71
0:01,154,Foul on Bryant Crawford.,69,71
0:01,153,Kenny Williams made Free Throw.,69,72
0:01,153,Kenny Williams made Free Throw.,69,73
0:01,154,Wake Forest  Timeout,69,73
0:00,153,End of Game,69,73
