Wofford,2430,UNC Greensboro,2747
14:03,2747,Wofford Deadball Team Rebound.,13,10
14:03,2747,Donovan Theme-Love missed Free Throw.,13,10
14:03,2430,Garrett Collins Defensive Rebound.,13,10
13:43,2430,Garrett Collins made Three Point Jumper. Assisted by Marvin Smith.,13,13
13:26,2747,Fletcher Magee missed Jumper.,13,13
13:26,2430,Isaiah Miller Defensive Rebound.,13,13
12:55,2430,Isaiah Miller made Jumper.,13,15
12:27,2747,Fletcher Magee made Layup.,15,15
12:19,2430,Marvin Smith Turnover.,15,15
12:04,2747,Keve Aluma made Jumper. Assisted by Storm Murphy.,17,15
11:44,2430,Kyrin Galloway made Layup. Assisted by Isaiah Miller.,17,17
11:44,2747,Foul on Keve Aluma.,17,17
11:44,2430,Official TV Timeout,17,17
11:44,2430,Kyrin Galloway made Free Throw.,17,18
11:22,2747,Fletcher Magee missed Three Point Jumper.,17,18
11:22,2430,Garrett Collins Defensive Rebound.,17,18
11:19,2747,Foul on Keve Aluma.,17,18
11:04,2430,Garrett Collins missed Three Point Jumper.,17,18
11:04,2430,Kyrin Galloway Offensive Rebound.,17,18
11:02,2747,Foul on Storm Murphy.,17,18
11:00,2430,Malik Massey made Three Point Jumper. Assisted by Kyrin Galloway.,17,21
10:39,2747,Cameron Jackson missed Layup.,17,21
10:39,2747,Cameron Jackson Offensive Rebound.,17,21
10:35,2747,Cameron Jackson missed Two Point Tip Shot.,17,21
10:35,2430,Kylia Sykes Defensive Rebound.,17,21
10:20,2430,Garrett Collins made Three Point Jumper. Assisted by Kylia Sykes.,17,24
10:03,2747,Foul on Matthew Pegram.,17,24
10:03,2747,Matthew Pegram Turnover.,17,24
9:48,2430,Garrett Collins missed Three Point Jumper.,17,24
9:48,2747,Cameron Jackson Defensive Rebound.,17,24
9:35,2747,Fletcher Magee made Three Point Jumper. Assisted by Storm Murphy.,20,24
9:26,2430,Demetrius Troy Turnover.,20,24
9:24,2747,Cameron Jackson Steal.,20,24
9:14,2747,Fletcher Magee made Three Point Jumper. Assisted by Storm Murphy.,23,24
9:13,2430,Foul on Francis Alonso.,23,24
9:13,2747,Fletcher Magee made Free Throw.,24,24
8:46,2430,Marvin Smith missed Jumper.,24,24
8:46,2747,Trevor Stumpe Defensive Rebound.,24,24
8:34,2747,Fletcher Magee missed Three Point Jumper.,24,24
8:34,2430,Marvin Smith Defensive Rebound.,24,24
8:06,2430,Francis Alonso missed Jumper.,24,24
8:06,2747,Wofford Defensive Rebound.,24,24
7:47,2747,Trevor Stumpe made Layup.,26,24
7:18,2747,Foul on Matthew Pegram.,26,24
7:18,2430,Official TV Timeout,26,24
7:18,2430,Francis Alonso made Free Throw.,26,25
7:18,2430,Francis Alonso made Free Throw.,26,26
6:51,2747,Trevor Stumpe missed Three Point Jumper.,26,26
6:51,2430,Garrett Collins Defensive Rebound.,26,26
6:36,2430,Garrett Collins made Three Point Jumper. Assisted by Demetrius Troy.,26,29
6:14,2747,Storm Murphy made Three Point Jumper. Assisted by Trevor Stumpe.,29,29
5:43,2430,Garrett Collins missed Three Point Jumper.,29,29
5:43,2747,Trevor Stumpe Defensive Rebound.,29,29
5:28,2747,Derrick Brooks made Three Point Jumper. Assisted by Trevor Stumpe.,32,29
5:25,2430,UNC Greensboro  Timeout,32,29
5:01,2430,Marvin Smith Turnover.,32,29
4:48,2747,Trevor Stumpe made Jumper.,34,29
4:29,2430,Kyrin Galloway made Dunk. Assisted by Isaiah Miller.,34,31
4:00,2747,Dishon Lowery missed Layup.,34,31
4:00,2747,Cameron Jackson Offensive Rebound.,34,31
3:48,2430,Foul on Isaiah Miller.,34,31
3:48,2747,Donovan Theme-Love made Free Throw.,35,31
3:48,2747,Donovan Theme-Love made Free Throw.,36,31
3:27,2430,Isaiah Miller missed Jumper.,36,31
3:27,2747,Fletcher Magee Defensive Rebound.,36,31
3:18,2747,Fletcher Magee made Three Point Jumper.,39,31
2:52,2747,Foul on Storm Murphy.,39,31
2:32,2430,James Dickey missed Jumper.,39,31
2:32,2747,Cameron Jackson Block.,39,31
2:30,2747,Cameron Jackson Defensive Rebound.,39,31
2:13,2747,Fletcher Magee missed Jumper.,39,31
2:13,2430,UNC Greensboro Defensive Rebound.,39,31
1:48,2430,Malik Massey made Layup.,39,33
1:24,2747,Fletcher Magee made Three Point Jumper. Assisted by Storm Murphy.,42,33
1:06,2430,Francis Alonso missed Three Point Jumper.,42,33
1:06,2430,James Dickey Offensive Rebound.,42,33
1:00,2430,James Dickey missed Layup.,42,33
1:00,2747,Cameron Jackson Block.,42,33
0:59,2430,Garrett Collins Offensive Rebound.,42,33
0:59,2747,Foul on Storm Murphy.,42,33
0:59,2430,Garrett Collins missed Free Throw.,42,33
0:59,2747,Trevor Stumpe Defensive Rebound.,42,33
0:47,2747,Cameron Jackson made Dunk. Assisted by Trevor Stumpe.,44,33
0:37,2430,Garrett Collins missed Three Point Jumper.,44,33
0:37,2747,Derrick Brooks Defensive Rebound.,44,33
0:11,2747,Fletcher Magee made Three Point Jumper. Assisted by Derrick Brooks.,47,33
0:00,2430,Malik Massey Turnover.,47,33
0:00,2747,Cameron Jackson Steal.,47,33
0:00,2430,End of 1st half,47,33
19:44,2747,Trevor Stumpe missed Jumper.,47,33
19:44,2430,James Dickey Block.,47,33
19:42,2430,Demetrius Troy Defensive Rebound.,47,33
19:29,2430,Foul on James Dickey.,47,33
19:29,2430,James Dickey Turnover.,47,33
19:03,2747,Fletcher Magee missed Jumper.,47,33
19:03,2430,Demetrius Troy Defensive Rebound.,47,33
18:55,2430,Demetrius Troy missed Three Point Jumper.,47,33
18:55,2747,Storm Murphy Defensive Rebound.,47,33
18:42,2747,Trevor Stumpe Turnover.,47,33
18:23,2430,Francis Alonso missed Layup.,47,33
18:23,2430,James Dickey Offensive Rebound.,47,33
18:14,2430,Jordy Kuiper missed Three Point Jumper.,47,33
18:14,2430,James Dickey Offensive Rebound.,47,33
18:10,2430,James Dickey made Layup.,47,35
17:40,2747,Trevor Stumpe missed Three Point Jumper.,47,35
17:40,2430,Francis Alonso Defensive Rebound.,47,35
17:20,2430,Francis Alonso made Jumper.,47,37
16:56,2747,Trevor Stumpe made Three Point Jumper. Assisted by Derrick Brooks.,50,37
16:40,2430,Francis Alonso made Three Point Jumper. Assisted by Demetrius Troy.,50,40
16:10,2747,Cameron Jackson made Jumper.,52,40
15:55,2430,James Dickey made Dunk. Assisted by Demetrius Troy.,52,42
15:39,2747,Fletcher Magee missed Jumper.,52,42
15:39,2430,Francis Alonso Defensive Rebound.,52,42
15:32,2430,Francis Alonso Turnover.,52,42
15:31,2747,Storm Murphy Steal.,52,42
15:27,2747,Storm Murphy made Layup.,54,42
15:13,2430,Francis Alonso made Three Point Jumper. Assisted by Demetrius Troy.,54,45
14:54,2747,Fletcher Magee missed Three Point Jumper.,54,45
14:54,2747,Cameron Jackson Offensive Rebound.,54,45
14:50,2747,Cameron Jackson missed Layup.,54,45
14:50,2430,Jordy Kuiper Defensive Rebound.,54,45
14:46,2430,Official TV Timeout,54,45
14:34,2430,Foul on Jordy Kuiper.,54,45
14:34,2430,Jordy Kuiper Turnover.,54,45
14:18,2747,Foul on Cameron Jackson.,54,45
14:18,2747,Cameron Jackson Turnover.,54,45
13:56,2430,Jordy Kuiper missed Three Point Jumper.,54,45
13:56,2430,Marvin Smith Offensive Rebound.,54,45
13:53,2747,Foul on Derrick Brooks.,54,45
13:53,2430,Marvin Smith made Free Throw.,54,46
13:53,2430,Marvin Smith made Free Throw.,54,47
13:47,2747,Fletcher Magee missed Jumper.,54,47
13:47,2430,James Dickey Defensive Rebound.,54,47
13:15,2430,James Dickey missed Jumper.,54,47
13:15,2747,Donovan Theme-Love Defensive Rebound.,54,47
12:56,2747,Matthew Pegram missed Layup.,54,47
12:56,2430,James Dickey Defensive Rebound.,54,47
12:38,2430,Malik Massey missed Three Point Jumper.,54,47
12:38,2430,James Dickey Offensive Rebound.,54,47
12:27,2430,Marvin Smith missed Three Point Jumper.,54,47
12:27,2430,UNC Greensboro Deadball Team Rebound.,54,47
12:24,2747,Foul on Matthew Pegram.,54,47
12:13,2430,Francis Alonso made Three Point Jumper.,54,50
11:45,2430,Foul on Malik Massey.,54,50
11:45,2430,Official TV Timeout,54,50
11:42,2747,Trevor Stumpe missed Layup.,54,50
11:42,2747,Trevor Stumpe Offensive Rebound.,54,50
11:36,2747,Matthew Pegram Turnover.,54,50
11:34,2430,Malik Massey Steal.,54,50
11:31,2430,Kyrin Galloway made Layup. Assisted by Isaiah Miller.,54,52
11:20,2747,Fletcher Magee missed Three Point Jumper.,54,52
11:20,2747,Trevor Stumpe Offensive Rebound.,54,52
11:02,2747,Nathan Hoover missed Layup.,54,52
11:02,2747,Wofford Offensive Rebound.,54,52
10:50,2430,Foul on Jordy Kuiper.,54,52
10:44,2747,Nathan Hoover missed Three Point Jumper.,54,52
10:44,2430,Garrett Collins Defensive Rebound.,54,52
10:42,2747,Foul on Keve Aluma.,54,52
10:23,2430,Garrett Collins made Three Point Jumper. Assisted by Isaiah Miller.,54,55
10:07,2747,Nathan Hoover Turnover.,54,55
10:06,2430,James Dickey Steal.,54,55
10:02,2430,Francis Alonso missed Three Point Jumper.,54,55
10:02,2747,Keve Aluma Defensive Rebound.,54,55
9:42,2430,Foul on Francis Alonso.,54,55
9:31,2430,Foul on Isaiah Miller.,54,55
9:31,2747,Cameron Jackson missed Free Throw.,54,55
9:31,2747,Wofford Deadball Team Rebound.,54,55
9:31,2747,Cameron Jackson missed Free Throw.,54,55
9:31,2747,Trevor Stumpe Offensive Rebound.,54,55
9:27,2747,Fletcher Magee missed Three Point Jumper.,54,55
9:27,2430,Isaiah Miller Defensive Rebound.,54,55
8:56,2430,Francis Alonso made Layup.,54,57
8:34,2747,Storm Murphy Turnover.,54,57
8:23,2747,Foul on Storm Murphy.,54,57
8:21,2430,Foul on Garrett Collins.,54,57
8:21,2430,Garrett Collins Turnover.,54,57
8:04,2747,Trevor Stumpe made Three Point Jumper. Assisted by Storm Murphy.,57,57
7:50,2430,Francis Alonso made Three Point Jumper. Assisted by Demetrius Troy.,57,60
7:45,2430,Official TV Timeout,57,60
7:45,2430,UNC Greensboro  Timeout,57,60
7:21,2747,Derrick Brooks missed Layup.,57,60
7:21,2430,Marvin Smith Block.,57,60
7:21,2747,Wofford Deadball Team Rebound.,57,60
7:21,2747,Foul on Derrick Brooks.,57,60
7:21,2747,Derrick Brooks Turnover.,57,60
6:53,2430,Francis Alonso missed Layup.,57,60
6:53,2747,Cameron Jackson Block.,57,60
6:51,2747,Cameron Jackson Defensive Rebound.,57,60
6:45,2747,Trevor Stumpe missed Three Point Jumper.,57,60
6:45,2430,Francis Alonso Defensive Rebound.,57,60
6:32,2747,Foul on Fletcher Magee.,57,60
6:32,2430,Francis Alonso made Free Throw.,57,61
6:32,2430,Francis Alonso made Free Throw.,57,62
6:07,2747,Fletcher Magee Turnover.,57,62
5:50,2430,Demetrius Troy missed Jumper.,57,62
5:50,2747,Trevor Stumpe Defensive Rebound.,57,62
5:24,2747,Trevor Stumpe missed Three Point Jumper.,57,62
5:24,2747,Derrick Brooks Offensive Rebound.,57,62
5:19,2747,Cameron Jackson made Layup. Assisted by Derrick Brooks.,59,62
5:09,2430,Francis Alonso missed Three Point Jumper.,59,62
5:09,2747,Wofford Defensive Rebound.,59,62
4:50,2747,Foul on Cameron Jackson.,59,62
4:50,2747,Cameron Jackson Turnover.,59,62
4:28,2430,James Dickey made Layup. Assisted by Jordy Kuiper.,59,64
4:06,2747,Derrick Brooks Turnover.,59,64
3:57,2430,Malik Massey made Jumper.,59,66
3:28,2747,Trevor Stumpe Turnover.,59,66
3:21,2430,Malik Massey Turnover.,59,66
3:02,2747,Cameron Jackson made Jumper.,61,66
2:58,2747,Wofford  Timeout,61,66
2:36,2430,Francis Alonso missed Three Point Jumper.,61,66
2:36,2430,Jordy Kuiper Offensive Rebound.,61,66
2:14,2430,Marvin Smith missed Jumper.,61,66
2:14,2747,Derrick Brooks Defensive Rebound.,61,66
1:53,2747,Trevor Stumpe Turnover.,61,66
1:42,2430,Jordy Kuiper missed Three Point Jumper.,61,66
1:42,2747,Storm Murphy Defensive Rebound.,61,66
1:21,2747,Fletcher Magee missed Three Point Jumper.,61,66
1:21,2747,Derrick Brooks Offensive Rebound.,61,66
1:18,2747,Storm Murphy made Three Point Jumper. Assisted by Derrick Brooks.,64,66
1:11,2747,Wofford  Timeout,64,66
0:49,2430,Jordy Kuiper missed Three Point Jumper.,64,66
0:49,2430,Marvin Smith Offensive Rebound.,64,66
0:45,2747,Foul on Fletcher Magee.,64,66
0:45,2430,Marvin Smith missed Free Throw.,64,66
0:45,2430,UNC Greensboro Deadball Team Rebound.,64,66
0:45,2430,Marvin Smith made Free Throw.,64,67
0:25,2747,Storm Murphy Turnover.,64,67
0:20,2430,Francis Alonso Steal.,64,67
0:19,2747,Foul on Derrick Brooks.,64,67
0:19,2430,Marvin Smith missed Free Throw.,64,67
0:19,2430,UNC Greensboro Deadball Team Rebound.,64,67
0:19,2430,Marvin Smith made Free Throw.,64,68
0:07,2747,Fletcher Magee missed Three Point Jumper.,64,68
0:07,2430,James Dickey Defensive Rebound.,64,68
0:07,2747,Foul on Trevor Stumpe.,64,68
0:07,2747,Wofford  Timeout,64,68
0:07,2430,James Dickey made Free Throw.,64,69
0:07,2430,James Dickey missed Free Throw.,64,69
0:07,2747,Trevor Stumpe Defensive Rebound.,64,69
0:02,2747,Trevor Stumpe made Three Point Jumper.,67,69
0:01,2747,Foul on Fletcher Magee.,67,69
0:01,2430,Marvin Smith made Free Throw.,67,70
0:01,2430,Marvin Smith made Free Throw.,67,71
0:00,2430,End of Game,67,69
