NC State,228,Clemson,152
8:25,228,Donte Grantham missed Jumper.,16,10
8:25,152,Omer Yurtseven Defensive Rebound.,16,10
8:17,152,Braxton Beverly Turnover.,16,10
8:01,228,Donte Grantham made Three Point Jumper. Assisted by Gabe DeVoe.,16,13
7:44,152,Omer Yurtseven Turnover.,16,13
7:44,152,Foul on Omer Yurtseven.,16,13
7:44,228,Official TV Timeout,16,13
7:37,228,Gabe DeVoe made Three Point Jumper. Assisted by Shelton Mitchell.,16,16
7:14,152,Lennard Freeman made Layup.,18,16
6:53,228,Shelton Mitchell made Layup.,18,18
6:20,152,Lavar Batts Jr. missed Three Point Jumper.,18,18
6:20,228,Elijah Thomas Defensive Rebound.,18,18
6:10,228,Marcquise Reed missed Three Point Jumper.,18,18
6:10,152,Lavar Batts Jr. Defensive Rebound.,18,18
6:04,152,Lavar Batts Jr. missed Layup.,18,18
6:04,152,Lennard Freeman Offensive Rebound.,18,18
6:02,152,Lennard Freeman made Layup.,20,18
5:35,228,Shelton Mitchell made Layup.,20,20
5:16,228,Foul on Shelton Mitchell.,20,20
5:10,228,Foul on Aamir Simms.,20,20
5:10,152,Abdul-Malik Abu made Free Throw.,21,20
5:10,152,Abdul-Malik Abu made Free Throw.,22,20
5:00,228,Shelton Mitchell missed Three Point Jumper.,22,20
5:00,228,Elijah Thomas Offensive Rebound.,22,20
4:53,228,Gabe DeVoe missed Three Point Jumper.,22,20
4:53,152,Abdul-Malik Abu Defensive Rebound.,22,20
4:41,152,Lennard Freeman missed Layup.,22,20
4:41,228,Elijah Thomas Block.,22,20
4:40,152,Lennard Freeman Offensive Rebound.,22,20
4:28,152,Abdul-Malik Abu missed Jumper.,22,20
4:28,228,Elijah Thomas Defensive Rebound.,22,20
4:16,152,Foul on Lennard Freeman.,22,20
4:03,152,Foul on Abdul-Malik Abu.,22,20
4:03,228,Elijah Thomas made Free Throw.,22,21
4:03,228,Elijah Thomas made Free Throw.,22,22
3:47,152,Lavar Batts Jr. missed Jumper.,22,22
3:47,152,Lavar Batts Jr. Offensive Rebound.,22,22
3:44,152,Lavar Batts Jr. missed Layup.,22,22
3:44,228,Elijah Thomas Defensive Rebound.,22,22
3:37,228,Marcquise Reed made Three Point Jumper. Assisted by Elijah Thomas.,22,25
3:13,152,Torin Dorn missed Three Point Jumper.,22,25
3:13,228,Gabe DeVoe Block.,22,25
3:10,228,Marcquise Reed Defensive Rebound.,22,25
3:00,228,Marcquise Reed Turnover.,22,25
2:58,228,Official TV Timeout,22,25
2:43,152,Lennard Freeman missed Layup.,22,25
2:43,228,Clemson Defensive Rebound.,22,25
2:29,228,David Skara Turnover.,22,25
2:28,152,Lennard Freeman Steal.,22,25
2:23,152,Sam Hunt missed Layup.,22,25
2:23,228,Donte Grantham Block.,22,25
2:22,228,Gabe DeVoe Defensive Rebound.,22,25
2:16,228,Elijah Thomas made Layup.,22,27
1:57,228,Foul on Elijah Thomas.,22,27
1:57,152,Torin Dorn made Free Throw.,23,27
1:57,152,Torin Dorn made Free Throw.,24,27
1:33,228,Marcquise Reed missed Three Point Jumper.,24,27
1:33,228,Mark Donnal Offensive Rebound.,24,27
1:20,152,Foul on Torin Dorn.,24,27
1:20,228,Donte Grantham made Free Throw.,24,28
1:20,228,Donte Grantham made Free Throw.,24,29
1:04,152,Allerik Freeman Turnover.,24,29
0:46,228,Marcquise Reed made Layup. Assisted by Mark Donnal.,24,31
0:36,152,NC State  Timeout,24,31
0:19,152,Torin Dorn Turnover.,24,31
0:05,228,Gabe DeVoe missed Layup.,24,31
0:05,228,Donte Grantham Offensive Rebound.,24,31
0:01,228,Donte Grantham made Jumper.,24,33
0:00,228,End of 1st half,24,33
19:47,152,Omer Yurtseven missed Layup.,24,33
19:47,228,Elijah Thomas Defensive Rebound.,24,33
19:38,228,Marcquise Reed Turnover.,24,33
19:29,152,Omer Yurtseven missed Three Point Jumper.,24,33
19:29,228,Marcquise Reed Defensive Rebound.,24,33
19:22,228,Elijah Thomas missed Layup.,24,33
19:22,152,Omer Yurtseven Block.,24,33
19:21,152,Allerik Freeman Defensive Rebound.,24,33
19:13,228,Foul on Elijah Thomas.,24,33
19:13,152,Torin Dorn made Free Throw.,25,33
19:13,152,Torin Dorn made Free Throw.,26,33
18:55,228,Shelton Mitchell made Three Point Jumper. Assisted by Marcquise Reed.,26,36
18:39,152,Abdul-Malik Abu made Layup.,28,36
18:39,228,Foul on Gabe DeVoe.,28,36
18:39,152,Abdul-Malik Abu missed Free Throw.,28,36
18:39,228,Marcquise Reed Defensive Rebound.,28,36
18:26,228,Mark Donnal made Dunk. Assisted by Marcquise Reed.,28,38
18:07,152,Allerik Freeman Turnover.,28,38
17:57,228,Shelton Mitchell missed Layup.,28,38
17:57,152,Omer Yurtseven Block.,28,38
17:55,152,NC State Defensive Rebound.,28,38
17:45,152,Abdul-Malik Abu Turnover.,28,38
17:44,152,Foul on Abdul-Malik Abu.,28,38
17:42,152,Foul on Allerik Freeman.,28,38
17:42,228,Gabe DeVoe made Free Throw.,28,39
17:42,228,Gabe DeVoe missed Free Throw.,28,39
17:42,152,Torin Dorn Defensive Rebound.,28,39
17:33,152,Braxton Beverly made Jumper.,30,39
17:22,228,Gabe DeVoe missed Three Point Jumper.,30,39
17:22,152,Torin Dorn Defensive Rebound.,30,39
17:11,152,Braxton Beverly made Three Point Jumper. Assisted by Torin Dorn.,33,39
16:59,152,Foul on Lavar Batts Jr..,33,39
16:46,228,Donte Grantham missed Dunk.,33,39
16:46,152,Omer Yurtseven Defensive Rebound.,33,39
16:39,152,Allerik Freeman missed Three Point Jumper.,33,39
16:39,228,Mark Donnal Defensive Rebound.,33,39
16:29,228,Gabe DeVoe made Layup. Assisted by Marcquise Reed.,33,41
16:11,152,Omer Yurtseven made Jumper. Assisted by Braxton Beverly.,35,41
15:58,228,Marcquise Reed missed Three Point Jumper.,35,41
15:58,152,Omer Yurtseven Defensive Rebound.,35,41
15:47,152,Allerik Freeman Turnover.,35,41
15:46,228,Gabe DeVoe Steal.,35,41
15:44,228,Gabe DeVoe missed Layup.,35,41
15:44,228,Mark Donnal Offensive Rebound.,35,41
15:42,228,Mark Donnal made Two Point Tip Shot.,35,43
15:19,152,Omer Yurtseven made Jumper. Assisted by Allerik Freeman.,37,43
15:02,228,Shelton Mitchell made Layup.,37,45
14:51,152,Omer Yurtseven missed Jumper.,37,45
14:51,228,Marcquise Reed Defensive Rebound.,37,45
14:34,228,Gabe DeVoe missed Layup.,37,45
14:34,152,Omer Yurtseven Block.,37,45
14:33,228,Clemson Offensive Rebound.,37,45
14:33,228,Official TV Timeout,37,45
14:18,152,Foul on Lavar Batts Jr..,37,45
14:18,228,Marcquise Reed made Free Throw.,37,46
14:18,228,Marcquise Reed made Free Throw.,37,47
14:18,228,Marcquise Reed made Free Throw.,37,48
13:53,152,Torin Dorn missed Dunk.,37,48
13:53,152,Lennard Freeman Offensive Rebound.,37,48
13:50,228,Foul on Mark Donnal.,37,48
13:50,152,Lennard Freeman made Free Throw.,38,48
13:50,152,Lennard Freeman missed Free Throw.,38,48
13:50,228,Donte Grantham Defensive Rebound.,38,48
13:31,228,Donte Grantham missed Three Point Jumper.,38,48
13:31,152,Braxton Beverly Defensive Rebound.,38,48
13:18,152,Lennard Freeman made Layup. Assisted by Braxton Beverly.,40,48
12:52,228,Donte Grantham missed Layup.,40,48
12:52,228,Donte Grantham Offensive Rebound.,40,48
12:48,152,Foul on Lennard Freeman.,40,48
12:48,228,Donte Grantham made Free Throw.,40,49
12:48,228,Donte Grantham made Free Throw.,40,50
12:42,152,Braxton Beverly Turnover.,40,50
12:41,228,Donte Grantham Steal.,40,50
12:40,228,Donte Grantham made Dunk.,40,52
12:37,152,NC State  Timeout,40,52
12:21,152,Allerik Freeman Turnover.,40,52
12:02,228,Mark Donnal made Dunk. Assisted by Shelton Mitchell.,40,54
11:50,228,Foul on Mark Donnal.,40,54
11:50,228,Official TV Timeout,40,54
11:50,152,Lavar Batts Jr. missed Free Throw.,40,54
11:50,152,NC State Deadball Team Rebound.,40,54
11:50,152,Lavar Batts Jr. made Free Throw.,41,54
11:36,152,Foul on Abdul-Malik Abu.,41,54
11:36,228,Marcquise Reed made Free Throw.,41,55
11:36,228,Marcquise Reed made Free Throw.,41,56
11:14,152,Omer Yurtseven missed Jumper.,41,56
11:14,228,Elijah Thomas Block.,41,56
11:13,152,NC State Offensive Rebound.,41,56
11:07,152,Allerik Freeman missed Three Point Jumper.,41,56
11:07,228,Marcquise Reed Defensive Rebound.,41,56
10:46,228,Marcquise Reed missed Jumper.,41,56
10:46,152,Omer Yurtseven Defensive Rebound.,41,56
10:38,152,Braxton Beverly made Layup.,43,56
10:08,228,Marcquise Reed missed Layup.,43,56
10:08,152,Omer Yurtseven Defensive Rebound.,43,56
9:55,152,Torin Dorn missed Three Point Jumper.,43,56
9:55,228,Marcquise Reed Defensive Rebound.,43,56
9:35,228,Elijah Thomas made Layup. Assisted by Shelton Mitchell.,43,58
9:23,152,Braxton Beverly Turnover.,43,58
9:22,228,Shelton Mitchell Steal.,43,58
8:54,228,Marcquise Reed made Layup. Assisted by Shelton Mitchell.,43,60
8:41,152,Braxton Beverly missed Three Point Jumper.,43,60
8:41,152,Torin Dorn Offensive Rebound.,43,60
8:36,152,Torin Dorn missed Jumper.,43,60
8:36,152,Torin Dorn Offensive Rebound.,43,60
8:33,152,Torin Dorn missed Layup.,43,60
8:33,228,Elijah Thomas Block.,43,60
8:32,228,Donte Grantham Defensive Rebound.,43,60
8:28,228,Marcquise Reed made Layup. Assisted by Gabe DeVoe.,43,62
8:25,152,NC State  Timeout,43,62
8:08,152,Allerik Freeman missed Jumper.,43,62
8:08,228,Elijah Thomas Block.,43,62
8:06,228,Elijah Thomas Defensive Rebound.,43,62
8:03,228,Shelton Mitchell Turnover.,43,62
7:51,152,Lavar Batts Jr. missed Layup.,43,62
7:51,152,Allerik Freeman Offensive Rebound.,43,62
7:45,228,Foul on Gabe DeVoe.,43,62
7:45,152,Allerik Freeman made Free Throw.,44,62
7:45,152,Allerik Freeman made Free Throw.,45,62
7:19,228,Gabe DeVoe made Layup. Assisted by Marcquise Reed.,45,64
7:07,152,Allerik Freeman missed Three Point Jumper.,45,64
7:07,152,Torin Dorn Offensive Rebound.,45,64
7:02,152,Torin Dorn missed Layup.,45,64
7:02,228,Elijah Thomas Defensive Rebound.,45,64
6:57,228,Donte Grantham missed Layup.,45,64
6:57,152,Braxton Beverly Defensive Rebound.,45,64
6:50,152,Allerik Freeman missed Three Point Jumper.,45,64
6:50,152,Lavar Batts Jr. Offensive Rebound.,45,64
6:27,228,Foul on Marcquise Reed.,45,64
6:27,152,Torin Dorn missed Free Throw.,45,64
6:27,152,NC State Deadball Team Rebound.,45,64
6:27,152,Torin Dorn made Free Throw.,46,64
6:22,152,Foul on Allerik Freeman.,46,64
6:22,228,Gabe DeVoe made Free Throw.,46,65
6:22,228,Gabe DeVoe missed Free Throw.,46,65
6:22,152,Torin Dorn Defensive Rebound.,46,65
6:11,152,Allerik Freeman made Layup.,48,65
5:48,228,Marcquise Reed made Layup.,48,67
5:34,152,Braxton Beverly missed Three Point Jumper.,48,67
5:34,228,Gabe DeVoe Defensive Rebound.,48,67
5:13,228,Shelton Mitchell made Jumper.,48,69
4:54,152,Allerik Freeman made Three Point Jumper.,51,69
4:53,152,NC State  Timeout,51,69
4:32,228,Gabe DeVoe missed Jumper.,51,69
4:32,152,Omer Yurtseven Defensive Rebound.,51,69
4:21,152,Allerik Freeman missed Layup.,51,69
4:21,228,Elijah Thomas Block.,51,69
4:20,228,Elijah Thomas Defensive Rebound.,51,69
4:04,228,Gabe DeVoe Turnover.,51,69
3:57,152,Braxton Beverly made Three Point Jumper. Assisted by Lavar Batts Jr..,54,69
3:31,228,Shelton Mitchell missed Layup.,54,69
3:31,152,Omer Yurtseven Defensive Rebound.,54,69
3:18,152,Omer Yurtseven made Layup. Assisted by Braxton Beverly.,56,69
3:04,228,Elijah Thomas made Dunk. Assisted by Donte Grantham.,56,71
3:00,228,Clemson  Timeout,56,71
2:41,152,Lavar Batts Jr. made Jumper.,58,71
2:21,228,Elijah Thomas made Layup. Assisted by Donte Grantham.,58,73
2:12,152,Allerik Freeman made Layup.,60,73
1:42,228,Shelton Mitchell made Three Point Jumper. Assisted by Marcquise Reed.,60,76
1:21,152,Allerik Freeman missed Three Point Jumper.,60,76
1:21,152,Omer Yurtseven Offensive Rebound.,60,76
1:18,152,Omer Yurtseven made Two Point Tip Shot.,62,76
0:48,228,Marcquise Reed missed Layup.,62,76
0:48,152,Lavar Batts Jr. Defensive Rebound.,62,76
0:35,152,Lavar Batts Jr. Turnover.,62,76
0:34,228,Marcquise Reed Steal.,62,76
0:09,228,Marcquise Reed made Jumper.,62,78
0:00,228,End of Game,62,78
